	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6344.DES460 + 0.02% MMS - 5 min"	"8229.dtt 030 min"	"11466.yO1 test hyb"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38146.03II01 batch p2"	"38147.03II01 batch p3"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42379.CC UL 2B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YKL048C"	-1.133	-2.621	-3.599	-0.954	-0.278	-0.237	-0.645	-1.527	-1.483	-1.347	-0.0675	0.2	-0.286	-1.064	-1.145	-0.121	-1.499	-1.192	-0.061	-0.677	0.275	0.473	0.598	0.005	0.204	-0.646	0.17	-0.627	-0.524	-0.424
"YKR056W"	-4.495	-3.298	-4.34	-1.986	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	-0.155	0.011	-1.751	-1.199	-1.647	-1.576	-3.056	-2.089	-1.061	-1.306	0.453	-0.153	0.354	-0.184	0.121	-0.119	0.381	0.003	-0.35	-0.205
"YLL044W"	-4.871	-3.79	-6.48	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.136	0.838	-2.227	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935	0.404	1.047	1.262	0.148	-0.086	0.119	-0.048	0.277	0.573	-0.126
"YLL045C"	-3.851	-3.857	-6.618	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.056	0.857	-2.165	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362	0.827	1.202	0.88	0.187	0.172	0.471	0.516	0.426	0.367	0.357
"YLR002C"	-3.541	-3.154	-4.959	-2.747	-1.603	-1.661	-1.599	-2.578	-3.265	-3.45	-0.324	-0.058	0.135	-1.828	-1.445	-1.159	-2.422	-2.55	-1.453	-0.718	0.8	0.572	1.033	0.395	-0.152	0.01	0.156	-0.304	-0.105	-0.149
"YLR060W"	-3.165	-4.941	-5.967	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.076	0.317	-2.464	-2.734	-2.666	-1.403	-2.64	-2.996	-2.646	-3.346	1.231	-0.617	-0.885	0.017	-0.001	-0.021	-0.252	0.166	0.883	0.608
"YLR174W"	4.526	4.487	-0.519	5.205	4.807	3.605	4.155	3.221	3.353	1.759	0.133	-0.822	2.778	0.917	5.021	4.133	0.607	4.301	4.563	2.849	-0.43	-0.429	-0.816	-0.153	-0.315	-0.721	0.186	0.423	0.094	0.38
"YLR196W"	-5.083	-4.437	-5.836	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	-0.191	0.147	-1.216	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-2.265	0.23	0.648	0.766	0.423	-0.47	0.217	-0.291	0.63	0.189	0.875
"YLR293C"	-3.594	-3.488	-6.281	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.168	0.595	-2.235	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899	-2.582	1.044	0.721	1.327	0.211	0.538	0.846	0.955	0.153	0.17	0.121
"YLR339C"	-3.243	-4.988	-6.865	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	0.014	0.757	-2.977	-4.034	-3.474	-3.052	-3.409	-3.723	-3.161	-3.508	0.661	0.329	0.647	0.188	0.344	0.433	0.762	0.154	0.316	0.547
"YML008C"	-2.795	-4.23	-4.829	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.296	0.155	-1.469	-3.199	-2.808	-2.562	-2.241	-2.487	-2.113	-3.059	-0.793	-0.613	-0.823	0.005	-0.341	0.205	0.408	0.225	-0.316	0.355
"YML022W"	-3.236	-3.146	-3.98	-2.802	-1.809	-2.266	-2.26	-2.846	-3.092	-3.144	-0.035	0.4	-1.833	-1.063	-0.857	-1.066	-2.661	-1.545	-1.447	-1.36	-0.005	-0.843	-0.945	0.069	0.507	-0.455	0.175	0.314	-0.085	0.696
"YML073C"	0.912	-3.862	-6.033	-4.919	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	-0.28	0.837	-1.975	-2.783	-3.737	-2.652	-3.765	-3.151	-2.415	-2.901	0.727	0.699	0.834	0.314	0.095	0.129	0.014	0.326	-0.399	0.269
"YMR116C"	-3.012	-4.551	-6.865	-3.586	-2.408	-2.851	-2.888	-2.906	-3.561	-4.003	0.293	0.839	-2.539	-3.221	-3.026	-3.645	-3.169	-3.586	-2.54	-4.038	0.97	0.436	0.652	0.389	0.369	0.285	0.128	0.486	0.552	-0.274
"YMR135C"	1.727	2.425	4.053	1.018	0.618	0.733	1.325	2.843	3.141	3.078	-0.203	-0.402	0.918	1.855	1.912	1.307	1.655	2.038	1.939	0.744	-1.15	-0.247	0.547	-0.209	-0.169	-0.153	-0.079	-0.216	-0.292	-0.412
"YMR235C"	-1.54	-3.534	-5.187	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	-0.11	0.181	-1.782	-1.798	-1.514	-1.305	-1.982	-1.573	-1.264	-1.301	-0.087	0.555	0.235	0.157	-0.085	-0.125	-0.383	-0.204	0.299	0.584
"YMR242C"	-4.702	-3.971	-6.226	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.19	1.079	-2.4615	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	0.544	0.486	-0.038	0.177	0.012	0.193	-0.266	0.263	0.061	-0.106
"YMR259C"	-1.997	-1.686	-1.928	-1.485	-0.82	-1.366	-0.751	-1.453	-1.969	-1.982	-0.149	0.044	-0.5015	-2.435	-1.561	-1.535	-1.883	-0.785	-0.608	-0.812	-0.131	0.207	-0.027	-0.016	-0.164	0.303	-0.163	-0.183	0.434	0.542
"YMR260C"	-3.404	-2.549	-5.138	-3.636	-1.666	-1.968	-2.005	-1.338	-1.729	-2.229	0.323	0.785	-1.548	-2.426	-1.742	-0.914	-2.447	-2.023	-1.573	-1.636	-0.071	0.335	0.35	0.119	0.06	-0.423	-0.134	0.395	-0.47	-0.523
"YNL009W"	2.337	3.672	5.794	2.794	3.455	2.625	2.456	4.699	4.803	3.897	-0.017	-0.464	2.142	1.866	3.281	1.58	2.736	2.572	2.335	2.0	-0.113	-0.388	-0.737	-0.428	0.21	-0.428	-0.132	-0.485	-0.269	NaN
"YNL096C"	-4.113	-4.038	-6.106	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.169	0.453	-2.8625	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779	1.374	0.626	0.422	0.165	0.048	0.693	0.035	0.329	0.181	-0.155
"YNL178W"	-4.244	-4.338	-6.62	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.117	0.795	-2.479	-2.898	-2.059	-1.999	-2.548	-2.616	-2.364	-2.764	1.0	0.946	0.783	0.26	0.062	0.31	-0.064	0.382	0.154	0.188
"YNL202W"	1.453	3.275	4.045	0.831	0.877	1.151	1.164	4.114	4.24	4.085	-0.296	-0.426	0.803	3.102	3.266	2.131	2.621	3.407	2.624	2.808	-1.378	-1.044	-1.072	-0.165	0.19	-0.722	0.294	-0.352	-0.659	NaN
"YOL077C"	-5.186	-3.02	-6.552	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	-0.085	0.684	-2.39	-2.855	-2.586	-2.262	-5.145	-2.894	-2.392	-2.446	0.651	0.69	0.907	0.25	-0.236	-0.267	-0.354	0.314	-0.234	0.686
"YOR031W"	2.7555	6.023	2.537	3.26	2.427	3.88	4.039	5.635	5.711	5.6	0.014	-0.5115	2.836	3.458	3.419	2.425	2.437	3.733	2.674	3.196	-1.179	0.375	0.187	0.687	0.779	-0.453	0.196	-0.228	-1.246	NaN
"YOR175C"	-0.4435	-2.083	-3.7925	0.227	-0.528	-0.806	-0.705	-1.33	-1.323	-1.64	0.005	0.146	-0.956	-0.251	-0.895	-1.343	-0.592	-0.489	-0.413	-0.644	-0.612	-0.289	-0.234	-0.341	-0.009	-0.065	-0.096	0.123	0.119	-0.011
"YOR178C"	4.6505	4.682	3.121	3.591	4.802	5.508	5.525	6.246	5.242	4.229	-0.171	0.1175	3.538	1.503	0.471	1.354	2.364	0.468	0.164	1.444	-1.361	-0.638	-0.804	-0.281	-0.025	-0.084	0.027	-1.126	0.056	-0.423
"YOR198C"	-1.0295	-4.452	-5.562	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.182	-0.1755	-2.297	-2.009	-2.131	-2.231	-1.499	-1.557	-2.015	-2.312	-0.01	0.741	1.002	0.025	-0.102	-0.198	-0.425	0.082	-0.963	0.68
"YOR326W"	-2.4275	-3.4635	-4.9875	-2.219	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.205	-0.108	-1.467	-1.109	-1.568	-0.579	-1.296	-1.215	-0.751	-1.621	0.012	-0.149	0.222	-0.066	-0.22	-0.289	-0.163	-0.115	0.056	0.063
"YOR369C"	-3.6225	-3.724	-6.5475	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	0.27	0.428	-2.309	-3.362	-2.395	-1.842	-3.032	-3.003	-2.641	-3.203	0.437	0.678	0.833	0.435	0.071	0.499	0.122	0.604	0.31	0.436
"YPL037C"	-2.6595	-3.9955	-5.417	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.237	0.382	-1.648	-2.236	-1.607	-1.219	-1.437	-1.831	-1.289	-0.859	0.775	0.766	0.92	0.169	0.356	-0.219	0.394	0.089	-0.273	-0.401
"YPL050C"	-1.673	-2.2165	-4.275	-1.498	-1.232	-1.195	-1.188	-1.143	-1.8	-1.614	0.089	0.3665	-0.945	-2.307	-1.635	-1.108	-2.003	-1.757	-1.195	-1.724	-0.577	-0.022	0.013	0.029	-0.055	-0.168	-0.283	0.156	0.054	-0.309
"YPL079W"	-4.616	-3.892	-6.4765	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.143	0.9105	-1.673	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	1.415	0.686	0.904	0.111	-0.085	-0.041	-0.49	0.079	-0.077	-0.697
"YPL081W"	-4.5065	-3.4025	-6.801	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.171	0.7545	-1.844	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	0.488	0.653	0.958	0.148	-0.431	-0.027	-0.209	0.294	0.037	-0.885
"YPL090C"	-3.9615	-4.364	-6.197	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.062	0.804	-2.061	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	1.0	0.726	0.304	0.215	-0.215	-0.168	-0.628	0.401	-0.11	-0.22
"YPL220W"	-3.389	-3.187	-6.1465	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.236	0.7055	-1.925	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	-3.007	1.328	0.669	0.05	0.277	0.135	-0.112	0.162	0.367	0.503	1.29
"YPL243W"	-1.27	-4.1455	-5.276	-1.931	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	0.174	0.4795	-1.188	-1.274	-1.14	-1.1	-1.424	-1.503	-1.355	-1.773	-0.372	0.655	0.384	-0.131	-0.142	-0.133	-0.252	-0.037	0.078	-0.796
"YPR102C"	-3.521	-4.045	-6.451	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.435	0.697	-2.384	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247	0.749	1.257	0.915	0.274	-0.026	-0.003	-0.216	0.455	0.005	-0.536
"YPR110C"	-5.7185	-3.662	-6.318	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	0.102	0.6265	-2.108	-2.851	-1.853	-0.937	-3.882	-3.113	-2.597	-2.759	0.808	-0.589	-0.943	0.129	-0.279	0.069	-0.497	0.25	0.738	-0.677
"YPR187W"	-2.5615	-3.609	-5.408	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	-0.181	0.4865	-1.604	-2.584	-2.061	-1.502	-2.896	-2.213	-1.752	-2.009	0.171	0.507	0.61	0.099	-0.052	-0.069	0.194	0.329	-0.449	-0.529
