	"115.heat shock 20 min repeat"	"810.DES460 (wild type) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7530.DBY msn2msn4 37C - 20 min"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7762.Na+FK 15min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"32250.DBY8778_heat_shock2_0min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33780.delYPL230w_stationary_phase_7hours"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YDR531W"	-0.264	-0.164	0.95	-1.013	-0.764	-1.002	-1.84	-3.125	-0.352	-0.914	-0.902	-1.052	-0.596	-0.414	-0.922	-1.171	-1.187	-2.081	-1.441	0.555	0.064	0.218	0.166	0.287	0.009	0.074	0.363	0.371	0.292	0.041	-1.081	-0.185	-0.659	-0.132
"YER043C"	-1.519	-1.02	-1.069	-3.945	-2.553	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.18	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-1.353	-0.932	0.621	-0.459	-0.873	-0.847	-0.24	-1.475	-1.657	-1.941	0.617	-3.094	-2.202	-3.464	-2.554
"YFR028C"	-0.517	-0.386	-0.225	-1.14	-0.627	-0.875	-2.027	-4.271	-1.011	-1.222	-1.037	-1.293	-1.141	-0.829	-1.142	-1.447	-1.092	-1.864	-1.575	0.293	0.041	0.409	0.55	0.269	0.278	0.214	0.415	0.412	0.43	-0.303	-1.414	-0.743	-1.116	-0.889
"YGL049C"	0.231	0.188	0.103	-0.138	-0.919	-0.555	-2.05	-4.12	-0.516	-0.565	-1.033	-1.097	-1.227	-0.75	-0.621	-0.562	-1.692	-1.763	-2.23	0.256	0.367	0.117	0.308	0.428	0.345	0.059	-0.108	0.295	0.426	0.553	-1.466	-1.503	-0.942	-0.767
"YGR185C"	-0.852	-0.608	-0.603	-3.192	-1.31	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.653	-0.08	0.602	-0.412	-0.817	-0.325	0.501	-0.696	-0.772	-0.521	0.381	-3.17	-2.312	-1.219	-0.749
"YGR229C"	-0.791	-0.207	-0.699	-0.832	-0.754	-0.943	-2.847	-4.256	-1.104	-1.1	-1.987	-1.316	-1.823	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	-0.303	0.584	-0.552	-0.863	-0.679	-0.417	-0.021	-0.107	-0.127	-0.449	0.266	-0.391	-1.098	-1.232	-1.084
"YGR261C"	0.064	0.016	0.091	-0.763	-0.824	-1.464	-2.682	-3.233	-0.875	-0.822	-1.189	-1.363	-0.811	-1.146	-1.125	-0.876	-1.657	-2.505	-2.45	-0.205	0.188	-0.149	-0.33	-0.158	0.013	0.178	-0.127	0.118	0.317	0.955	-0.535	-0.702	-0.274	-0.442
"YGR264C"	-2.2015	-0.823	-1.481	-3.787	-3.156	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-3.49	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-1.433	-0.687	-0.327	-1.307	-1.941	-1.727	-0.064	-1.042	-1.599	-1.584	0.321	-3.556	-3.082	-2.661	-1.432
"YHR117W"	0.155	-0.001	-0.22	-0.188	0.162	0.052	-0.923	-2.879	-0.323	-0.338	-1.008	-1.167	-0.145	-0.128	-0.504	-0.476	-0.69	-1.09	-1.259	-0.423	0.226	0.341	-0.196	-0.216	-0.075	0.561	0.114	0.164	0.287	0.182	-0.733	-1.25	-0.57	-0.471
"YHR123W"	0.6315	0.78	-0.026	-1.168	-1.05	-1.135	-3.763	-4.132	-1.118	-1.492	-1.439	-2.046	-2.216	-1.72	-1.965	-2.024	-2.917	-2.775	-2.647	-0.13	0.302	0.35	0.273	0.147	0.038	0.214	0.003	-0.1	-0.165	1.014	-1.868	-2.231	-1.371	-1.081
"YHR128W"	-1.9425	-1.348	-0.959	-4.359	-3.111	-3.742	-4.967	-6.006	-3.351	-3.988	-3.361	-3.012	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	-1.544	-0.271	0.231	-1.512	-1.948	-1.706	-0.22	-1.488	-1.979	-2.009	-0.182	-1.933	-2.571	-2.818	-2.024
"YIL078W"	-1.524	-0.993	-0.876	-2.907	-2.219	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.751	-0.495	0.022	-0.809	-1.737	-1.78	0.325	-0.715	-1.447	-1.466	0.333	-3.116	-2.548	-1.874	-1.442
"YLR060W"	-0.649	-0.552	-0.984	-3.165	-2.296	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.685	-0.147	0.313	-0.832	-1.345	-0.976	0.212	-0.7	-1.106	-0.9	-0.409	-2.734	-2.996	-2.55	-2.175
"YLR062C"	-2.343	-1.496	-0.734	-4.53	-3.067	-4.077	-5.705	-6.896	-3.6	-3.985	-3.965	-3.18	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.466	-0.665	0.544	-0.791	-1.826	-1.148	0.071	-1.204	-2.069	-1.789	0.128	-3.806	-4.001	-3.141	-2.876
"YLR441C"	-1.733	-1.301	-0.785	NaN	NaN	-1.352	NaN	-12.655	-3.365	-4.013	-3.241	-3.024	-5.658	-2.294	-2.747	-3.345	-3.329	-3.986	-4.389	-1.246	-0.659	-0.794	-2.025	-2.771	-2.153	-0.573	-1.695	-2.857	-2.738	0.292	-4.558	-3.819	-3.731	-2.62
"YML063W"	-1.871	-1.399	-1.162	-4.408	-2.778	-2.904	-4.048	-13.273	-3.657	-3.146	-3.415	-2.83	-5.57	-2.159	-2.658	-2.875	-3.123	-3.364	-4.059	-1.12	-0.647	-0.147	-1.72	-2.549	-1.757	0.025	-1.375	-2.354	-2.098	0.41	-4.819	-3.578	-3.41	-2.743
"YNL096C"	-2.093	-1.163	-1.426	-4.113	-3.235	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.812	-0.544	0.129	-1.344	-2.046	-1.198	-0.401	-1.25	-1.701	-1.39	-0.111	-3.52	-3.372	-3.108	-2.343
"YOL097C"	-1.899	-0.891	-1.374	-4.26	-2.906	-2.768	-0.491	-6.314	-2.427	-2.464	-0.2345	-1.513	-3.246	-2.063	-2.609	-2.685	-3.398	-4.044	-4.151	-1.031	-0.398	-0.018	-1.099	-1.846	-1.576	0.096	-0.971	-1.674	-1.734	-0.19	-2.626	-3.051	-2.287	-1.692
"YOR243C"	-3.234	-1.007	-1.244	-3.8055	-2.1915	-2.2855	-3.3625	-4.3935	-2.588	-2.1815	-1.6325	-2.414	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	-2.009	-0.757	-0.574	-1.837	-1.872	-1.457	-0.461	-1.498	-1.652	-1.335	-0.001	-1.759	-2.065	-1.997	-1.377
"YPL079W"	-2.597	-1.32	-1.356	-4.616	-3.3525	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-3.112	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-1.381	-0.813	-0.874	-2.117	-2.574	-1.965	-1.34	-1.758	-2.209	-2.429	0.114	-2.865	-3.431	-2.489	-2.116
"YPL081W"	-2.158	-0.685	-1.149	-4.5065	-3.083	-3.086	-3.4025	-6.801	-2.5355	-2.916	-2.428	-2.3315	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-1.776	-0.087	-1.007	-2.363	-2.576	-1.786	-1.48	-2.106	-2.383	-2.29	-0.123	-3.083	-2.717	-2.936	-2.468
"YPR033C"	-1.614	-0.742	-0.901	-2.7945	-1.908	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-1.149	-0.27	-0.235	-1.042	-1.74	-1.464	-0.073	-0.843	-1.18	-1.134	-0.264	-2.1325	-1.9695	-1.6665	-1.289
