	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"7760.Na 45min"	"8247.steady state 36 dec C: y14n095"	"8520.DES460 + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YCRX16C"	-1.652	-2.03	-1.217	-1.941	-2.404	-1.971	0.996	0.974	0.803	-1.642	-1.763	-2.452	-0.469	0.307	0.2085	-0.0345	0.119	-0.359	-0.344	-0.3535	-0.393	-1.447	-0.137	-0.039	0.037	-0.0475	0.087	0.1525	-2.117	-0.439	-1.794	-1.195	-0.998	-2.277	-1.643	-2.145	-2.682	-2.184	-1.936	-2.005	-2.971	-2.553	-1.558	-1.362	-0.96	-1.629
"YDL014W"	-3.382	-2.366	-1.899	-2.465	-4.46	-4.776	1.4755	1.341	1.058	-1.992	-3.37	-2.641	5.0E-4	-0.095	-0.232	-0.289	-0.252	-0.9035	-0.7165	-0.782	-1.0865	-1.546	-0.174	-0.758	-0.477	-0.4475	-0.3335	-0.206	-4.277	0.121	-3.718	-3.081	-3.399	-4.482	-2.119	-3.4	-2.687	-2.521	-1.377	-2.864	-3.081	-2.681	-2.986	-2.123	-2.192	-3.258
"YDL050C"	-2.278	-1.047	-1.363	-2.322	-2.45	-2.283	0.067	0.319	0.813	-1.515	-1.678	-2.937	0.174	0.408	0.123	0.284	0.131	-0.464	-0.641	-0.679	-0.749	-2.059	0.024	-0.42	0.02	0.046	-0.081	0.318	-2.875	-0.127	-2.137	-1.852	-1.796	-3.019	-1.414	-2.287	-2.228	-1.877	-1.387	-2.371	-2.39	-2.294	-2.015	-1.907	-2.446	-2.598
"YDL051W"	-2.35	-2.784	-2.026	-2.447	-3.059	-3.066	0.273	0.817	0.807	-1.688	-3.639	-3.563	-0.208	0.028	0.163	0.016	-0.038	-0.819	-0.865	-0.759	-0.815	-1.945	0.096	-0.585	-0.102	-0.085	-0.159	-0.231	-3.388	0.14	-2.805	-1.933	-2.491	-3.192	-2.373	-2.38	-2.435	-2.444	-2.047	-2.607	-2.117	-3.291	-2.863	-2.803	-2.324	-2.58
"YDL060W"	-2.485	-1.469	-1.838	-2.459	-2.961	-1.9	0.303	0.807	0.586	-1.932	-2.808	-2.3	0.129	0.744	0.215	-0.223	-0.054	-0.475	-0.624	-0.813	-0.602	-0.546	-0.674	-0.276	0.002	0.181	0.204	0.308	-2.833	0.112	-2.676	-1.819	-2.62	-2.496	-2.964	-3.2	-2.179	-1.891	-1.444	-2.574	-1.437	-1.951	-2.235	-1.724	-2.051	-2.296
"YDL063C"	-3.209	-3.024	-2.433	-2.945	-2.864	-2.304	0.263	1.0	0.922	-2.352	0.085	-3.701	-0.321	0.384	-0.15	-0.175	-0.129	-1.055	-0.695	-0.866	-0.74	-1.966	-0.032	-1.032	-0.289	-0.035	-0.007	-0.145	-3.467	0.095	-3.005	-2.816	-2.525	-3.127	-3.065	-3.912	-2.986	-2.206	-2.188	-2.459	-3.077	-2.855	-3.121	-1.95	-1.545	-2.039
"YDL124W"	3.398	3.375	2.513	2.524	3.037	2.927	-1.409	-1.287	-1.851	3.54	4.364	1.202	0.568	0.214	0.832	0.39	0.619	1.503	1.483	1.673	1.628	3.951	0.539	1.581	1.33	0.96	0.867	0.801	2.293	0.071	3.568	3.134	2.977	3.876	2.349	3.418	2.865	3.897	3.054	3.299	4.106	2.923	3.349	3.681	2.555	2.808
"YDL148C"	-4.262	-3.284	-1.419	-2.868	-3.476	-2.829	0.984	0.896	0.854	-3.097	-3.372	-4.257	0.08	0.313	0.234	-0.134	-0.092	-1.195	-1.228	-1.243	-1.078	-2.173	-0.809	-1.132	0.503	0.599	0.741	0.598	-3.488	0.026	-2.998	-1.35	-1.648	0.058	-2.374	-2.66	-2.849	-1.971	-1.869	-1.765	-2.934	-1.825	-2.401	-2.235	-2.478	-2.319
"YDL153C"	-4.549	-4.333	-1.678	-3.047	-4.369	-3.668	1.087	1.042	1.016	-2.998	-3.698	-2.931	-0.236	-0.252	0.179	-0.117	-0.267	-1.238	-1.204	-1.057	-0.948	-2.642	-0.705	-1.011	0.234	0.432	0.491	0.268	-4.079	0.076	-2.5	-2.189	-1.85	-5.47	-2.409	-3.278	-2.478	-2.582	-2.011	-1.891	-1.822	-2.384	-2.786	-2.056	-2.46	-1.216
"YDR032C"	2.621	2.386	2.085	1.969	2.575	2.651	-0.844	-1.201	-1.099	2.744	2.223	-1.615	0.48	0.345	-0.254	-0.159	0.221	0.703	1.116	1.22	1.496	0.924	1.262	1.438	0.347	0.395	0.549	0.198	2.935	0.072	2.422	2.381	3.219	2.667	2.011	2.887	2.996	3.105	3.317	3.225	4.115	3.714	4.659	3.971	4.542	4.07
"YDR083W"	-2.781	-3.602	-1.574	-2.743	-3.018	-3.242	0.97	1.266	0.774	-2.515	-3.47	-2.922	-0.269	0.511	0.177	-0.043	-0.375	-0.98	-0.861	-1.012	-1.087	-1.78	-0.644	-0.837	0.429	0.319	0.308	0.329	-3.386	-0.044	-3.178	-2.503	-1.496	-2.713	NaN	-2.971	-3.133	-2.902	-2.678	-2.916	-2.089	-2.822	-1.884	-1.268	-0.75	-1.59
"YDR101C"	-3.513	-3.404	-1.887	-3.0	-3.74	-3.659	1.358	1.377	1.43	-2.204	-4.306	-4.667	0.188	0.024	0.107	0.093	-0.233	-1.295	-1.139	-1.223	-1.21	-2.352	-0.225	-1.528	-0.079	0.113	0.039	-0.231	-3.253	-0.103	-3.244	-2.428	-3.315	-3.048	-5.251	-2.911	-2.551	-2.764	-2.644	-3.486	-3.361	-2.827	-3.089	-2.576	-3.128	-2.094
"YDR120C"	-3.186	-2.84	-1.943	-2.699	-2.817	-2.359	1.226	1.101	1.033	-2.025	-2.742	-3.115	0.119	-0.388	0.056	0.332	-0.397	-1.021	-0.972	-1.131	-0.769	-2.465	-0.104	-1.373	-0.023	0.114	0.064	-0.179	-2.159	-0.02	-3.752	-2.621	-2.093	-2.616	NaN	-3.661	-3.766	-3.542	-2.798	-2.198	-4.601	-2.119	-2.564	-1.71	-1.973	-2.809
"YDR184C"	-3.745	-3.004	-1.647	-2.64	-3.408	-2.671	0.902	1.162	0.854	-1.547	-3.504	-1.842	0.067	0.262	0.004	0.06	-0.249	-0.618	-0.514	-0.569	-0.682	-1.882	0.007	-0.286	0.281	0.187	0.323	0.05	-3.644	-0.2535	-3.588	-2.225	-2.068	-3.208	NaN	-3.0325	-3.0895	-2.2905	-3.084	-0.915	-2.793	-2.1695	-2.957	-1.5655	-2.0565	-1.032
"YDR321W"	-1.45	-2.499	-1.277	-2.037	-2.545	-2.484	0.767	0.698	0.858	-1.816	-3.554	-4.43	0.275	-0.392	-0.017	-0.202	0.099	-0.549	-0.652	-0.505	-0.69	-1.545	0.555	-0.592	-0.425	-0.308	-0.113	-0.126	-2.221	0.05	-2.479	-1.895	-1.458	-3.214	-2.472	-2.671	-3.009	-4.335	-2.664	-2.832	-3.642	-4.82	-2.058	-2.768	-2.173	-2.168
"YDR391C"	2.866	2.203	1.608	2.222	2.543	2.198	-1.064	-1.127	-0.787	1.418	3.005	-0.924	0.299	0.31	0.089	-0.22	0.172	0.431	0.632	0.364	0.713	2.406	-0.115	0.587	0.614	0.352	0.54	0.905	2.907	0.027	3.456	3.28	3.107	3.318	1.543	2.277	2.282	1.582	2.007	1.702	2.421	2.137	0.737	1.464	1.453	1.011
"YDR399W"	-3.808	-4.226	-1.273	-3.084	-3.396	-2.921	0.899	1.164	1.022	-2.786	-4.676	-4.784	0.177	0.163	-0.101	-0.402	-0.062	-1.012	-0.93	-1.286	-1.01	-4.052	0.01	-1.141	-0.254	-0.238	-0.221	-0.158	-2.993	-0.051	-2.911	-2.011	-2.094	-2.321	-4.807	-3.393	-4.366	-4.453	-2.615	-4.282	-3.815	-3.846	-3.723	-1.731	-3.639	-3.377
"YDR413C"	-2.496	-2.392	-1.602	-1.803	-2.779	-2.502	1.14	1.079	0.937	-1.55	-2.622	-2.057	-0.135	0.08	0.208	-0.05	-0.231	-0.698	-0.723	-0.491	-0.622	-1.14	-0.235	-0.677	0.153	0.222	0.298	0.039	-2.652	-1.041	-2.964	-1.766	-1.818	-2.336	-1.988	-2.095	-2.112	-1.61	-2.009	-1.569	-1.985	-1.746	-2.423	-1.855	-1.578	-1.085
"YDR496C"	-5.251	-3.9025	-2.571	-3.671	-4.953	-4.7405	1.31	1.402	1.146	-2.809	-3.1645	-4.393	-0.0525	0.187	0.0765	-0.09	-0.191	-1.128	-1.238	-1.2075	-1.315	-3.5775	-0.7585	-1.2795	0.452	0.59	0.507	0.392	-5.1875	0.163	-3.216	-2.317	-1.02	-1.917	-2.456	-2.2185	-2.1355	-2.6255	-1.32	-2.303	-2.1025	-2.312	-2.664	-2.334	-2.6665	-2.11
"YDR512C"	1.176	1.168	-0.035	1.172	1.296	1.442	-0.305	-0.448	-0.299	1.558	1.552	-1.469	0.209	0.041	-0.211	0.127	0.069	0.255	0.444	0.453	0.481	0.826	0.449	0.329	0.221	-0.086	-0.042	-0.481	1.921	-0.803	2.135	1.87	2.081	1.168	1.154	1.19	1.737	1.865	1.448	1.359	1.636	1.381	2.535	1.497	1.124	1.181
"YDR513W"	2.412	1.899	1.699	2.432	2.488	2.811	-0.911	-0.977	-0.919	2.567	3.15	-2.242	0.319	0.291	0.198	0.281	0.278	0.833	0.765	0.554	0.191	1.71	0.031	0.503	0.467	0.294	0.112	0.053	2.825	0.181	3.768	3.163	3.445	3.813	2.567	3.148	3.15	3.558	2.907	3.371	4.006	3.043	3.039	2.327	3.011	2.25
"YDR533C"	2.65	2.639	2.419	3.253	4.202	4.401	-1.204	-1.427	-1.547	4.932	4.381	2.124	0.351	1.154	-0.03	0.35	0.251	1.132	1.765	1.872	1.897	2.384	0.421	2.198	1.163	1.17	0.965	1.007	4.974	0.098	2.364	2.16	3.034	5.494	3.294	3.92	3.369	2.416	3.567	2.801	4.442	3.558	4.309	3.029	3.625	3.254
"YER110C"	-2.284	-3.748	-1.949	-3.479	-2.781	-3.755	0.115	0.844	0.554	-3.971	-5.799	-3.969	0.022	-0.14	0.239	0.074	-0.079	-0.634	-0.7	-0.884	-0.851	-1.865	0.086	-0.832	-0.968	-0.412	-0.281	-0.175	-3.165	0.199	-0.285	-0.333	-0.636	-0.061	-2.719	-4.092	-3.027	-3.583	-2.822	-4.794	-2.965	-2.05	-3.102	-2.172	-1.662	-2.658
"YER126C"	-3.132	-2.634	-1.396	-3.488	-4.626	-4.459	0.995	1.185	0.966	-2.383	-4.455	-5.367	0.014	0.251	0.385	0.309	0.017	-0.783	-0.603	-0.92	-0.742	-3.035	-0.496	-0.564	0.437	0.26	0.453	0.391	-5.253	-0.476	-5.806	-2.916	-3.166	-3.761	-3.063	-2.043	-2.284	-3.4505	-1.8395	-1.628	-1.6815	-1.8555	-1.6975	-1.4685	-1.2225	-1.029
"YGL078C"	-4.33	-3.709	-1.968	-3.238	-4.399	-3.428	1.47	1.485	1.169	-2.465	-4.866	-4.455	0.148	-0.231	0.117	-0.065	-0.061	-1.352	-1.279	-1.448	-1.38	-3.376	-0.457	-1.112	-0.176	0.13	-0.033	-0.177	-4.147	0.004	-3.538	-2.819	-2.52	-3.576	-3.661	-4.176	-2.945	-2.745	-2.258	-2.219	-3.367	-1.981	-2.643	-2.457	-2.919	-2.236
"YGL123W"	-1.71	-2.557	-1.674	-2.339	-3.47	-4.378	1.27	1.264	1.189	-1.236	-3.781	-5.982	0.589	0.007	0.027	-0.229	0.274	-0.334	-0.318	-0.467	-0.511	-2.323	-0.32	-0.495	-0.145	-0.201	-0.32	-0.118	-3.308	0.216	-2.292	-1.348	-1.987	-4.123	-1.237	-1.047	-2.466	-2.204	-2.415	-1.618	-1.9	-1.946	-2.404	-1.944	-2.333	-2.058
"YGL147C"	-2.372	-3.006	-1.899	-2.704	-4.102	-4.319	1.427	1.186	1.241	-1.232	-3.892	-7.507	0.278	0.068	0.326	0.219	0.431	-0.407	-0.382	-0.492	-0.74	-2.522	0.098	-0.708	-0.118	-0.051	-0.216	-0.008	-3.829	0.071	-2.3925	-1.8665	-2.087	-3.1585	-2.138	-2.793	-3.253	-3.352	-2.829	-1.129	-2.987	-3.054	-2.849	-2.553	-2.63	-3.298
"YGL171W"	-4.302	-4.243	-1.503	-2.091	-3.818	-3.208	1.073	1.03	0.854	-3.363	-5.822	-4.649	0.029	0.38	0.01	-0.194	-0.251	-1.056	-0.851	-0.938	-0.759	-3.247	-0.538	-0.752	0.058	0.362	0.29	0.276	-3.658	-0.154	-3.355	-2.839	-2.722	-3.848	-2.656	NaN	-2.777	-2.687	-2.71	-3.711	-2.26	-1.978	-1.505	-1.626	-3.002	-3.004
"YGR008C"	3.569	3.526	2.106	3.322	3.458	3.861	-2.063	-2.251	-1.107	3.108	3.053	-0.346	0.241	0.39	-0.078	0.023	0.562	0.625	1.074	0.941	1.306	2.784	0.252	1.52	0.923	0.664	0.671	0.744	3.879	0.132	3.801	2.668	2.409	5.566	3.508	3.992	3.382	3.152	3.308	2.632	2.091	1.98	1.853	1.488	1.715	1.631
"YGR103W"	-4.795	-5.229	-3.278	-4.485	-5.118	-3.624	1.487	1.243	1.223	-3.985	-4.825	-5.518	-0.038	-0.468	0.129	-0.29	-0.084	-1.602	-1.459	-1.251	-1.138	-3.571	-1.01	-1.159	0.068	0.46	0.298	0.176	-5.075	0.129	-4.921	-3.6885	-3.2185	-4.287	-1.469	-2.261	-4.308	-2.93	-2.48	-2.75	-2.366	-3.142	-2.479	-3.181	-3.975	-2.5
"YGR123C"	-3.5875	-3.2965	-1.9375	-3.0495	-4.1895	-3.748	1.116	0.996	0.986	-1.517	-4.447	-4.328	0.022	-0.064	-0.141	0.106	-0.2795	-0.925	-0.737	-0.754	-0.832	-1.73	-0.328	-0.6	-0.159	0.033	-0.091	-0.408	-4.594	0.2875	-2.795	-1.547	-2.966	-3.836	-1.6565	-1.7785	-1.7395	-2.0045	-1.422	-1.597	-2.078	-1.407	-1.67	-1.483	-2.132	-1.731
"YGR128C"	-2.985	-3.042	-1.3415	-2.4315	-3.197	-2.749	0.453	0.922	0.782	-2.352	-3.032	-4.271	-0.071	0.391	0.096	-0.15	-0.059	-0.65	-0.361	-0.594	-0.493	-2.422	-0.143	-0.446	0.155	0.21	0.293	0.147	-2.534	0.033	-2.714	-1.919	-1.414	-0.921	-4.806	-2.6405	-2.081	-2.224	-1.335	-1.582	-1.682	-2.0775	-1.5745	-1.3425	-1.8025	-2.6165
"YGR158C"	-1.5985	-1.3315	-1.0915	-0.914	-1.451	-1.544	0.972	0.674	0.497	-1.001	-2.111	-2.421	0.139	-0.209	-0.275	-0.199	-0.1195	-0.51	-0.535	-0.523	-0.354	-1.232	0.139	-0.634	-0.186	-0.059	-0.087	-0.26	-1.6075	0.128	-1.299	-0.52	-1.474	-2.299	-2.7335	-1.874	-1.3705	-1.5995	-1.547	-1.848	-1.223	-1.64	-2.056	-3.052	-1.622	-1.8995
"YGR160W"	-6.235	-5.9475	-4.248	-5.567	-6.207	-4.6575	1.617	1.4	1.481	-2.687	-4.796	NaN	0.109	0.436	-0.184	-0.447	-0.422	-1.904	-1.726	-1.399	-1.188	-3.857	-0.593	-1.076	-0.833	-0.628	-0.418	-0.665	-6.3385	0.2235	-4.64	-4.207	-4.966	-4.708	-7.282	-5.339	-5.2565	-4.8055	-3.1145	-4.4545	-5.111	-5.62	-4.079	-6.344	-4.482	-3.988
"YGR214W"	-1.7475	-2.4095	-1.2835	-2.2525	-3.7315	-4.254	1.051	0.967	0.903	-1.42	-4.3	-5.16	0.303	0.067	0.128	-0.029	0.356	-0.269	-0.327	-0.522	-0.515	-2.222	0.159	-0.475	0.105	-0.051	0.132	0.224	-3.3975	-0.096	-2.003	0.027	-1.347	-3.805	-1.819	-2.207	-2.933	-2.931	-2.636	-1.891	-2.058	-1.289	-1.54	-2.769	-2.078	-2.448
"YHL011C"	-2.744	-2.467	-1.4255	-2.107	-3.0145	-3.024	1.122	1.023	0.785	-1.5	-2.604	-3.592	0.22	0.065	-0.008	0.173	-0.339	-0.992	-0.454	-0.452	-0.192	-1.859	0.289	-0.123	-0.118	-0.055	0.196	0.074	-3.2715	0.231	-2.38	-1.532	-2.437	-2.086	-0.784	-1.746	-2.302	-2.095	-1.778	-1.435	-2.228	-0.755	-1.476	-0.993	-1.577	-1.669
"YHR020W"	-2.592	-3.22	-1.1335	-2.5795	-3.3085	-3.731	0.957	0.868	0.727	-2.358	-4.019	-4.045	0.286	-0.091	-0.16	-0.26	0.1685	-0.256	-0.316	-0.509	-0.544	-2.165	-0.066	-0.521	-0.158	-0.307	-0.2	-0.279	-3.5805	0.075	-3.021	-1.53	-2.574	-3.861	-2.132	-2.031	-1.903	-2.306	-1.471	-2.26	-2.475	-3.496	-2.501	-2.595	-3.397	-2.597
"YHR148W"	-3.0225	-2.0375	-1.108	-2.8705	-3.2345	-2.692	1.152	1.341	0.758	-1.443	-3.086	-3.377	-0.085	0.482	-0.024	0.176	0.0325	-0.504	-0.553	-0.819	-1.037	-2.43	-0.173	-0.559	0.099	0.045	0.421	0.369	-3.95	0.093	-2.565	-2.119	-2.035	-2.893	-3.323	-3.249	-3.362	-1.915	-4.073	-2.256	-2.333	-1.169	-2.863	-0.905	-1.588	-2.152
"YHR169W"	-3.982	-3.384	-1.629	-2.497	-3.146	-2.919	1.313	1.037	1.078	-2.003	-4.241	-3.088	0.076	0.007	-0.009	-0.3	-0.2335	-1.087	-1.018	-0.983	-0.761	-1.985	0.035	-0.908	-0.036	0.024	0.12	-0.093	-3.6155	0.096	-2.583	-1.533	-1.636	-2.087	NaN	-3.404	-3.113	-3.352	-2.985	-4.577	-5.35	-4.569	-2.461	-3.238	-2.71	-2.794
"YHR170W"	-5.3995	-4.622	-2.4275	-4.14	-4.723	-3.947	1.401	1.292	0.893	-2.551	-4.51	-4.858	0.213	-0.257	0.037	-0.156	-0.1305	-1.052	-1.528	-1.479	-1.253	-2.244	-0.578	-1.224	0.319	0.314	0.522	0.268	-5.252	0.187	-3.576	-2.405	-2.772	-3.601	-2.751	-3.22	-3.476	-3.076	-2.087	-2.821	-3.173	-3.089	-2.219	-3.041	-4.036	-2.383
"YHR199C"	1.2085	0.9215	0.21	0.8095	1.3135	1.3685	-0.268	-0.57	-0.85	1.215	1.593	0.48	0.192	-0.067	-0.17	0.274	0.209	0.442	0.586	0.676	0.828	2.128	0.785	0.786	0.078	0.075	0.275	0.326	1.4135	0.159	1.623	1.586	1.641	1.317	3.69	3.838	2.393	2.773	3.081	2.392	1.858	2.615	2.314	1.927	2.155	1.706
"YIL018W"	1.619	-2.4325	-1.4745	-2.2685	-3.509	-3.965	1.253	1.177	1.056	-1.216	-4.365	-5.749	0.222	-0.012	-0.233	-0.299	0.074	-0.299	-0.4	-0.417	-0.409	-1.963	-0.014	-0.454	0.069	-0.051	-0.005	0.159	-3.4165	0.152	-2.641	-1.895	-1.899	-4.06	-2.249	-2.277	-2.962	-2.689	-2.573	-1.901	-1.909	-1.868	-1.919	-2.534	-1.992	-2.409
"YIL019W"	-4.4845	-3.631	-1.9705	-3.3725	-2.9215	-2.461	1.333	1.208	0.846	-2.382	-2.459	-3.212	-0.207	0.229	0.446	0.65	-0.205	-0.919	-1.125	-1.105	-1.259	-2.101	-0.283	-0.6	0.197	0.297	0.621	0.371	-3.595	-0.224	-4.534	-3.09	-3.039	-4.006	-1.861	NaN	-3.058	-3.118	-3.455	-4.402	-3.036	-2.762	-3.255	-2.302	-3.424	-4.0
"YIR012W"	-1.5825	-1.894	-1.3355	-1.7575	-1.855	-2.3105	1.162	0.869	0.737	-0.977	-4.7	-4.69	0.222	-0.185	0.194	-0.101	0.0135	0.005	-0.614	-0.573	-0.491	-2.396	0.082	-0.434	-0.04	0.29	0.032	0.0	-2.0615	0.015	-2.037	-1.743	-2.222	-3.439	-3.007	-1.988	-1.517	-1.046	-0.878	-2.635	-2.14	-2.658	-1.846	-3.403	-1.67	-2.629
