	"584.17 deg growth"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"830.1.5 mM diamide (10 min)"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1254.mec1_plus_gamma_60_min"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"32255.DBY8778_heat_shock2_60min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"42047.L1CompR 09 hr 05 min Leucine Batch vs Chemostat Comparison"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42196.L2 Comp 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42198.L2 Comp 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42199.L2 Comp 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YFL013C"	-0.593	-0.116	-0.533	-0.251	-0.514	0.055	-0.483	-0.988	0.338	-0.045	-1.4065	0.177	0.043	-0.309	-0.473	0.259	-2.3235	-2.0345	-4.8615	NaN	-2.5275	-1.549	-1.404	-1.8355	-0.739	-1.793	-1.344	-2.466	-0.717	-1.8605	-1.1645	-0.8845	-1.1655
"YGL043W"	-1.236	-0.071	-0.274	-0.164	-0.117	-0.351	-0.326	0.037	0.288	0.067	-1.363	0.113	0.208	0.207	0.166	0.552	-1.113	-0.849	-2.653	-1.797	-1.574	-1.075	-0.74	-2.101	-0.658	-2.298	-1.155	0.705	-0.878	-0.986	-1.019	-0.873	-1.02
"YGL154C"	-0.866	0.042	0.054	0.019	0.031	-0.138	0.114	0.023	-0.366	-0.017	-0.838	0.004	0.009	-0.106	-0.18	-0.268	-1.85	-2.482	-2.899	-2.901	-2.63	-2.368	-1.015	-2.869	-2.768	-2.876	-2.172	-1.281	-1.728	-2.017	-2.272	-2.077	-2.273
"YGL185C"	-1.396	0.304	0.443	-0.134	-0.099	-0.067	-0.047	-0.054	0.004	-0.04	-0.989	-0.291	-0.263	0.524	0.11	0.341	-1.37	-2.919	-3.54	-1.144	-2.837	-1.593	-2.098	-2.462	-1.011	-1.856	-1.85	-2.322	-1.876	-1.586	-1.075	-3.575	-1.076
"YGL223C"	-0.796	0.1	-0.179	NaN	-0.11	-0.113	-0.081	0.476	0.088	0.342	-1.522	0.281	0.409	0.287	-0.582	-0.164	-3.608	-3.63	NaN	-2.884	-3.401	-2.732	-2.494	-1.858	-1.361	-1.936	-1.721	-2.74	-0.945	-1.056	-1.157	-1.51	-1.158
"YGL248W"	-1.416	0.73	0.393	0.457	-0.221	0.143	0.313	0.193	-0.022	0.17	-0.815	-0.372	-0.378	0.726	0.594	1.166	-2.244	-1.466	-3.592	-1.023	-4.606	-1.983	-3.259	-1.219	-2.404	-2.935	-1.812	-0.682	-1.449	-1.771	-1.131	-1.622	-1.132
"YGR012W"	-1.103	-0.022	0.177	-0.514	-0.543	0.067	-0.047	-0.065	0.094	-0.066	-1.399	0.09	0.382	0.373	0.098	0.102	-1.46	-1.535	-4.086	-0.963	-3.103	-1.134	-3.293	-1.173	-1.476	-1.952	-1.577	-1.741	-1.502	-1.313	-1.252	-1.12	-1.253
"YGR288W"	-1.346	0.042	0.179	-0.039	-0.068	0.303	0.191	0.031	0.103	-0.269	-0.97	-0.066	-0.005	1.213	-0.162	0.221	-2.38	-2.755	-2.712	NaN	-4.025	-1.743	-3.637	-1.481	-1.344	-2.249	-2.198	-3.421	-1.533	-1.345	-2.25	-1.524	-2.251
"YHL027W"	-0.69	0.079	-0.184	0.4695	0.091	0.089	0.1715	-0.417	-0.173666666666667	0.041	-0.3655	-0.4375	-0.323	-0.754	0.006	0.246	-2.105	-1.574	-3.309	-1.254	-2.883	-0.866	-0.585	-1.087	-1.217	-2.737	-1.991	-1.084	-1.149	-0.989	-1.155	-0.883	-1.156
"YIL036W"	-0.709	0.222	0.563	-0.2365	-0.229	-0.125	0.334	0.142	0.2485	-0.185	-1.295	0.068	-0.092	0.195	-0.354	-0.254	-2.577	-1.465	-3.412	NaN	-3.096	-1.386	-4.171	-1.441	-1.627	-1.558	-1.327	-2.635	-1.087	-1.501	-1.235	-1.235	-1.236
"YIL044C"	-0.512	0.17	0.068	0.054	-0.39	0.123	-0.018	0.058	0.0095	0.169	-1.597	0.256	0.12	0.256	-0.228	-0.043	-1.934	-1.896	-2.122	-2.101	-2.714	-1.495	-1.813	-2.149	-1.398	-1.748	-1.575	-1.566	-1.14	-0.959	-1.029	-1.197	-1.03
"YIL056W"	-0.721	-0.169	0.674	0.152	-1.276	-0.281	1.151	0.984	0.5445	0.051	-1.17	-0.138	0.056	0.57	0.952	1.483	-2.859	-2.607	-3.607	-2.964	-3.032	-2.187	-5.408	-2.425	-2.685	-2.145	-2.373	-3.043	-1.483	-1.694	-1.69	-1.6	-1.691
"YIL105C"	-0.987	0.0965	-0.221	-0.0263333333333333	0.052	0.113	-0.2675	-0.1375	0.244333333333333	0.289	0.096	0.016	-0.043	0.2015	0.266	0.349	-1.6365	-2.3565	-3.0415	-1.0165	-1.229	-0.426	-1.8855	-1.5745	-1.3245	-1.661	-1.3915	-1.944	-0.4675	-1.0895	-0.5995	-0.6485	-0.6005
"YIL145C"	-0.321	0.189	-0.311	0.082	-0.261	0.284	-0.227	0.077	-0.0835	0.185	-0.942	-0.027	-0.027	-0.506	-0.094	-0.147	-1.933	-2.313	-3.123	-1.314	-3.522	-1.74	-1.925	-1.217	-1.407	-1.409	-1.445	-0.967	-0.964	-1.093	-1.223	-1.048	-1.224
"YIL164C"	-0.586	-0.157	0.227	0.3135	-0.205	0.175	-0.086	-0.044	-0.0925	-0.318	-1.173	-0.082	-0.048	-0.367	-0.672	-0.063	-2.132	-2.837	-2.547	-2.076	-3.577	-1.447	-2.116	-2.177	-2.899	-3.073	-3.395	-0.982	-1.574	-1.553	-1.791	-1.552	-1.792
"YIL165C"	-0.636	-0.025	0.335	0.0245	-0.643	-0.13	-0.106	-0.054	-0.21	-0.094	-1.414	-0.105	-0.133	-0.21	-0.666	-0.281	-1.726	-2.474	-4.026	-1.899	-3.699	-1.337	-3.468	-3.176	-2.174	-3.03	-2.622	-3.166	-1.356	-1.846	-1.856	-1.541	-1.857
"YIR035C"	0.363	0.155	-0.089	0.0245	-0.38	0.04	0.449	0.102	-0.1895	0.249	-0.538	-0.324	-0.205	-0.326	-0.122	-0.124	-1.542	-2.094	-3.255	-1.298	-3.088	-2.477	-1.523	-2.026	-1.404	-0.388	-1.5	-2.177	-1.344	-1.893	-1.72	-2.587	-1.721
"YJL100W"	-0.153	-0.188	0.696	0.383	0.02	-0.033	0.834	0.277	-0.2545	0.043	-0.853	0.033	-0.161	-0.3005	0.067	0.191	-2.088	-2.666	-5.123	-2.09	-2.2445	-0.8235	-1.9525	-2.37	-1.92	-1.1665	-1.532	-1.566	-1.337	-1.0675	-1.298	-1.406	-1.299
"YJL201W"	-1.111	-0.047	-0.355	-0.38	-0.168	0.124	-0.352	0.073	0.07	-0.207	-1.256	0.301	0.512	-0.467	-0.409	-0.742	-2.298	-2.128	-3.027	NaN	-3.288	-1.436	-3.118	-2.012	-1.311	-1.512	-1.301	-1.802	-1.542	-1.95	-2.137	-1.715	-2.138
"YJR036C"	-1.163	0.196	0.828	0.168	-0.289	0.129	0.348	0.379	-0.1755	-0.143	-0.163	-0.39	-0.302	0.654	-0.442	-0.171	-1.83	-1.722	-3.13	-2.302	-2.639	-1.882	-1.222	-2.691	-2.117	-2.144	-2.175	-2.866	-1.972	-1.846	-1.947	-1.694	-1.948
"YJR052W"	-1.141	0.149	-0.181	0.162	-0.12	-0.083	-0.436	0.323	0.0155	0.066	-0.834	-0.068	-0.092	-0.172	0.418	0.253	-2.201	-2.323	-3.22	NaN	-3.241	-1.671	-5.639	-2.357	-2.283	-1.714	-1.972	-2.414	-1.032	-1.824	-1.527	-1.952	-1.528
"YJR111C"	-0.318	-0.041	-0.535	-0.176	-0.02	0.185	-0.219	-0.02	0.1665	0.044	-1.13	-0.021	0.072	-0.406	0.594	0.353	-2.533	-2.222	-3.328	-2.66	-2.66	-1.594	-1.628	-1.041	-1.677	-2.455	-2.571	-1.24	-1.422	-1.665	-1.691	-1.603	-1.689
"YJR125C"	-1.542	-0.249	0.802	-0.054	0.053	-0.056	0.273	-0.36	0.3675	-0.248	0.399	-0.129	-0.223	0.252	0.234	0.4	-2.095	-1.408	-3.097	-1.421	-2.411	-0.842	-0.68	-1.471	-0.773	-1.74	-1.343	-1.108	-0.5	-0.967	-0.544	-0.528	-0.545
"YKL022C"	-0.898	0.165	-0.456	0.233	-0.243	0.239	-0.421	0.118	0.0305	-0.22	-0.8	0.102	0.071	0.253	0.171	0.201	-1.729	-1.747	-3.071	-2.582	-3.418	-1.093	-1.907	-1.611	-2.575	-2.674	-1.204	-1.72	-1.412	-2.145	-1.431	-1.177	-1.432
"YKL070W"	-0.621	-0.114	0.069	0.287	-0.158	-0.121	-0.243	-0.299	-0.082	0.297	-1.658	0.004	0.061	0.214	0.023	-0.136	-1.941	0.806	-2.979	-0.615	-1.719	-0.92	-2.947	-0.661	-1.652	-1.423	-0.912	-2.545	-0.683	-0.968	-1.314	-0.864	-1.315
"YKR014C"	-0.418	0.006	0.402	0.256	-0.198	0.034	0.031	-0.068	0.241	0.018	-1.352	-0.038	-0.056	0.288	0.227	0.27	-1.202	-1.648	-3.664	-2.2	-1.815	-0.323	-2.309	-2.407	-1.439	-1.357	-1.681	-1.989	-1.032	-0.838	-0.949	-0.838	-0.95
"YLL003W"	-0.968	-0.251	-0.523	0.06	0.354	-0.065	-0.555	-0.073	-0.084	-0.021	-0.883	0.105	0.218	0.18	-0.246	-0.214	2.65	NaN	3.208	2.326	3.437	-0.736	NaN	2.291	1.237	2.742	2.043	NaN	NaN	NaN	1.727	NaN	1.726
"YLL029W"	-0.927	-0.108	0.219	0.104	-0.033	-0.033	0.341	0.189	0.235	0.041	-0.899	0.014	-0.006	0.493	-0.432	-0.039	-2.629	-1.395	-4.466	-1.442	-3.155	-0.913	-1.558	-1.818	-1.089	-1.435	-1.644	-2.119	-1.033	-1.397	-1.434	-1.224	-1.435
"YLR160C"	-0.648	0.068	0.564	0.104	0.574	-0.014	0.408	0.114	0.07	-0.291	0.156	-0.584	-0.308	-0.012	0.472	0.365	-1.105	-1.231	-4.009	-1.349	-2.475	-1.649	NaN	-2.074	-2.0	-1.886	-1.068	-0.135	-1.08	-1.265	-1.065	-0.951	-1.066
"YLR206W"	-1.0785	-0.00599999999999999	0.469	0.1885	-0.106	0.067	0.227	0.0195	0.0955	-0.014	-1.0215	-0.1835	-0.265	0.0115	0.288	0.016	-1.648	-0.698	-3.3105	-1.114	-1.3905	-0.063	-1.5895	-1.7665	-1.2825	-1.578	-0.8815	0.351	-0.628	-1.358	-0.478	-0.327	-0.479
"YLR290C"	-0.394	0.464	0.78	0.575	0.133	-0.012	0.272	0.338	0.202	-0.172	-0.472	-0.162	-0.23	1.061	-0.289	-0.373	-2.109	-1.164	-3.616	-1.23	-2.484	-1.245	-1.014	-1.272	-1.855	-2.573	-2.257	-1.526	-0.893	-1.152	-1.203	-1.052	-1.204
"YLR387C"	-0.474	0.158	0.829	0.357	0.292	-0.171	-0.066	0.133	0.266	0.066	-1.57	-0.054	0.015	-0.078	-0.142	-0.183	-3.663	-0.824	-3.809	-2.463	-2.919	-1.807	-4.371	-0.709	-2.007	-2.258	-2.15	-2.658	-1.337	-1.423	-1.547	-1.604	-1.548
"YLR451W"	-0.838	-0.06	-0.957	-0.134	0.161	0.225	-0.5825	-0.374	-0.0815	-0.189	-0.6575	0.05	-0.0365	-0.41	-0.623	-0.595	-2.378	-3.539	-6.777	-2.935	-1.383	-1.223	-2.116	-3.178	-2.194	-2.746	-1.885	-1.752	-2.221	-2.21	-1.498	-1.238	-1.499
"YMR061W"	-0.885	-0.172	-0.514	-0.221	0.242	-0.197	-0.456	-0.087	0.016	0.116	-0.567	-0.48	-0.618	-0.917	-0.849	-0.663	-2.529	-1.859	-3.647	-3.777	-2.833	-1.555	-2.809	-1.751	-1.702	-1.58	-1.761	-2.104	-0.83	-1.161	-1.038	-0.543	-1.039
"YMR066W"	-0.437	-0.336	-0.582	0.014	-0.097	-0.073	-0.798	-0.146	-0.179	-0.094	-1.091	0.033	0.158	-0.793	-0.096	-0.134	-1.787	-1.884	-4.868	-2.182	-2.269	-1.267	-1.581	-2.893	-2.16	-1.995	-1.464	-2.072	-1.517	-2.793	-2.163	-1.423	-2.164
"YMR132C"	-1.096	-0.459	-0.693	-0.024	-0.173	-0.2	-0.564	-0.195	0.029	-0.011	-0.507	0.118	0.228	-0.078	-0.092	-0.581	-2.444	-1.789	-3.037	-2.98	-3.587	-1.418	-3.526	-1.57	-2.392	-2.896	-2.749	-1.834	-1.446	-1.977	-3.243	-1.422	-3.244
"YMR236W"	-1.044	-0.07	0.327	-0.136	-0.219	-0.17	0.201	-0.174	0.207	0.445	0.732	0.423	0.379	0.251	0.137	-0.157	-0.695	-1.258	-3.3	-0.574	-2.201	-0.58	-1.148	-1.91	0.849	-1.704	-0.857	-1.379	-0.584	-1.062	-0.917	-0.414	-0.918
"YMR262W"	-0.899	0.029	0.618	-0.017	-0.169	-0.205	0.771	-0.814	0.069	-0.31	-1.2715	-0.019	-0.01	0.662	-0.258	-0.075	-1.553	-1.486	-3.466	-0.973	-2.629	-1.03	-1.731	-1.93	-1.344	-2.217	-2.419	-3.234	-1.284	-1.681	-1.691	-1.08	-1.692
"YNL076W"	-1.435	-0.032	-0.327	-0.329	-0.209	0.21	-0.441	0.074	0.143	0.077	-0.8995	0.107	0.019	-0.281	0.291	-0.297	-2.999	-1.62	-3.16	-1.13	-3.65	-0.725	-1.469	-1.191	-1.235	-1.176	-1.357	-2.351	-0.877	-1.199	-1.374	-1.445	-1.375
"YNL125C"	-0.776	-0.071	0.751	0.294	-0.442	0.106	0.563	0.288	0.023	-0.303	-0.7025	0.114	-0.048	0.304	-0.192	-0.292	-1.741	-2.807	-3.689	-1.957	-4.257	-1.795	-2.383	-0.53	-2.3	-3.213	-1.465	-3.253	-0.526	-1.006	-2.055	-2.079	-2.056
"YNL180C"	-0.032	-0.308	-0.045	0.091	-0.441	-0.356	0.044	-0.079	0.364	0.005	0.662	0.253	0.167	0.223	1.194	0.755	-2.571	-2.298	-2.572	-1.532	-2.716	-1.25	-2.563	-2.05	-2.536	-2.463	-1.538	-2.527	-1.351	-2.092	-1.939	-1.425	-1.968
"YNL228W"	-1.279	-0.159	-1.733	0.042	-0.325	-0.046	-1.223	0.038	-0.18	0.282	-1.7485	0.218	0.203	-0.862	0.172	-0.334	-1.981	-2.414	-2.728	-1.61	-2.878	-1.805	-1.508	-2.877	-3.069	-2.786	-3.03	-2.613	-2.139	-3.055	-3.268	-2.062	-3.225
"YNR057C"	-1.426	0.115	-0.039	0.364	-0.02	-0.03	-0.265	0.048	0.148	-0.349	-1.242	0.246	0.281	-0.006	-0.098	-0.384	-2.515	-2.718	-2.466	-1.825	-2.724	-1.172	-1.246	-1.171	-1.671	-1.569	-1.747	-0.106	-1.567	-1.772	-1.654	-1.505	-1.655
"YOL111C"	-0.677	-0.09	0.342	-0.282	-0.411	0.111	0.304	0.69	0.192	0.11	1.653	-0.079	0.127	-0.16	0.081	0.253	-3.02	-3.383	-2.878	NaN	-2.652	-1.57	-2.05	-1.351	-1.049	-1.387	-2.048	-2.298	-1.168	NaN	NaN	-1.906	NaN
"YOL118C"	-0.717	0.148	0.699	0.531	0.68	-0.117	0.68	0.003	-0.164	-0.409	-1.257	0.056	0.031	-0.315	0.162	0.686	-2.862	-3.159	-4.062	-1.685	-3.494	-1.763	-1.916	-1.313	-1.844	-3.303	-2.39	-1.788	-0.692	-1.198	-1.387	-1.264	-1.388
"YOL119C"	-0.937	0.7	1.496	0.671	0.055	0.367	1.085	0.066	0.289	-0.446	-1.132	-0.116	-0.172	0.357	-0.102	0.249	-3.075	-2.875	-3.543	-3.391	-3.135	-2.033	-1.57	-1.798	-1.702	-2.718	-2.509	-2.232	-2.063	-2.101	-2.394	-2.534	-2.395
"YOR129C"	-1.328	-0.14	-0.952	-0.173	0.372	-0.116	-0.664	-0.028	0.038	-0.247	-1.057	0.052	0.159	0.114	-0.374	-0.239	-1.925	-2.271	-3.501	-1.223	-3.694	-2.215	-2.417	-1.368	-1.578	-2.212	-1.397	-1.983	-0.653	-1.48	-2.056	-1.497	-2.057
"YOR179C"	-1.199	0.213	0.174	-0.089	0.063	0.046	-0.085	-0.084	-0.004	0.227	-0.434	-0.148	-0.098	-0.421	-0.8	-0.814	-1.15	-1.935	-3.024	-1.558	-2.168	-0.89	-2.953	-2.071	-1.636	-0.851	-2.641	-1.423	-1.425	NaN	-1.358	-3.142	-1.359
"YOR189W"	-0.715	0.053	0.171	0.322	-0.254	0.077	-0.133	-0.206	-0.054	-0.2	-1.055	0.116	-0.005	-0.454	0.205	-0.231	-2.948	-1.341	-3.979	NaN	-1.886	-1.141	-0.938	-2.264	-1.973	-1.379	-1.342	-1.916	-0.934	-1.447	-0.892	-0.706	-0.893
"YOR203W"	-0.641	-0.309	-0.63	-0.123	-0.889	-0.432	-0.207	-0.25	0.078	-0.166	-1.307	0.349	0.319	-0.279	0.602	0.511	-1.628	-1.713	-4.281	-2.503	-3.017	-0.869	-2.474	-2.631	-2.999	-2.823	-2.468	-2.715	-1.999	-2.645	-2.293	-2.391	-2.294
"YOR221C"	-1.0195	0.509	-0.192	-0.0455	-0.0885	0.0825	-0.0675	-0.423	0.222	-0.1155	-0.44	0.1425	0.0765	-0.006	-0.155	-0.094	-0.912	-1.866	-2.048	-1.794	-1.937	-0.684	-1.697	-1.329	-0.935	-1.64	-0.462	-0.668	-1.006	-1.292	-1.522	-1.255	-1.533
"YOR337W"	-0.962	-0.1775	-1.4085	-0.645	0.4465	0.06	-0.842	-0.115	0.2175	0.516	-0.326	0.003	-0.047	-0.975	-0.002	-0.239	-2.778	-1.873	-2.908	-1.83	-2.779	-1.806	-1.577	-2.668	-2.344	-1.985	-1.974	-2.811	-1.142	-1.398	-1.61	-1.615	-1.611
"YPL011C"	-0.794	-0.353	-0.175	-0.214	-0.024	0.052	-0.224	-0.336	-0.005	0.248	-1.133	0.132	0.065	-0.614	-0.133	-0.342	-2.485	-2.464	-3.677	-3.561	-1.963	-1.575	-1.914	-1.419	-0.919	-1.515	-1.628	-1.507	-0.792	-1.861	-1.385	-1.131	-1.386
"YPL151C"	-0.81	0.032	-0.208	-0.263	-0.033	-0.038	-0.295	0.189	0.121	-0.056	-0.735	0.164	0.203	-0.259	-0.36	-0.599	-1.236	-2.378	-3.181	-1.1	-1.247	-1.865	-1.947	-1.827	-0.731	-1.218	-2.051	-1.712	-0.95	NaN	-2.105	-2.084	-2.106
"YPL199C"	-0.893	-0.098	-0.272	-0.188	0.004	0.095	-0.252	-0.166	0.21	-0.043	-0.566	0.119	-0.191	-0.497	-0.185	-0.552	-2.126	-4.403	-3.076	-2.318	-4.218	-2.416	-1.442	-2.671	-2.4	-2.331	-3.107	-2.489	-1.667	-2.501	-2.381	-2.202	-2.382
"YPL270W"	-0.795	0.067	0.437	0.324	0.015	-0.202	0.1925	0.172	-0.057	-0.218	-0.476	0.012	-0.025	0.529	0.211	0.218	-2.534	-2.183	-4.487	-0.771	-1.843	-0.567	-0.974	-1.785	-1.407	-0.996	-1.817	-1.837	-0.853	-1.103	-1.087	-0.733	-1.088
"YPR008W"	-0.7585	0.408	-0.082	-0.09	-0.57	-0.083	-0.249	-0.257	0.198	0.034	-1.124	-0.6	-0.261	-0.084	0.02	-0.218	-2.255	-1.206	-3.481	NaN	-2.496	-0.99	-1.225	-1.501	-0.913	-1.227	-1.598	-2.648	-0.264	-0.514	-1.205	-0.6	-1.206
"YPR111W"	-0.964	-0.066	-0.364	-0.016	0.43	0.022	-0.183	0.069	0.065	-0.065	-1.067	-0.015	-0.047	-0.491	-0.728	-0.275	-2.754	NaN	NaN	-1.981	-4.142	-2.596	-3.087	-2.819	-2.795	-2.159	-3.093	-1.269	-2.325	-3.744	-2.688	-2.935	-2.689
"YPR128C"	-0.8825	-0.02	-0.162	-0.135	0.055	-0.1	-0.129	0.101	0.016	0.028	-0.563	0.41	0.559	0.145	-0.325	-0.268	-3.15	-2.973	-3.099	-4.233	-3.226	-2.149	-1.944	-2.895	-1.567	-2.474	-1.907	-2.236	-1.76	-2.768	-2.183	-1.787	-2.144
