	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"120.w303a vs w303a fkh1 fkh2"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"1011.YPD 8 h (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"5357.1.5 mM diamide (5 min)"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7762.Na+FK 15min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33779.delYPL230w_stationary_phase_5hours"	"38150.03II01 batch p6"
"YBR267W"	-2.82	-3.032	-3.366	-0.482	-2.585	-2.932	-3.102	-1.652	-2.116	-0.18	-0.643	-1.449	-0.3775	-0.28	-0.657	-1.549	-1.207	-0.365	-1.943	-2.118	-1.376	-0.242	-1.005	-2.037	-1.742	-4.409	0.58	0.632	-1.753	-1.6515	-1.315	-1.837	-2.002	-1.729	-3.123	-0.343
"YCL054W"	-3.412	-3.545	-2.942	-0.206	-2.871	-3.741	-3.668	-1.939	-2.492	-0.424	-0.3985	-1.4	-0.5595	-0.498	-0.861	-1.758	-1.484	-0.414	-1.599	-1.884	-1.438	-0.396	-1.11	-1.505	-1.54	-4.039	0.06	0.341	-2.36	-2.153	-2.292	-3.522	-2.713	-1.597	-3.761	-1.006
"YCL059C"	-1.314	-3.484	-4.242	-0.28	-3.611	-4.218	-3.675	-1.116	-2.587	-0.183	-0.4365	-1.655	-0.103	-0.304	-0.314	-1.379	-0.797	-0.277	-1.281	-2.524	-2.535	-0.088	-0.821	-2.387	-3.161	-4.664	0.417	0.393	-1.8365	-2.7715	-3.1135	-2.026	-2.614	-1.156	-4.436	-0.12
"YDL014W"	-3.042	-3.382	-2.366	-0.766	-2.465	-4.46	-4.776	-0.427	-1.573	5.0E-4	-0.1375	-0.6405	-0.077	-0.1375	-0.417	-1.557	-0.087	0.357	-1.127	-1.546	-1.339	-0.09	-1.088	-1.519	-1.665	-4.277	0.768	0.951	-2.397	-1.798	-2.13	-3.385	-3.081	-1.742	-4.482	0.274
"YDL031W"	-2.218	-2.88	-2.3335	-0.384	-2.1535	-2.805	-2.451	-1.406	-1.7075	-0.2675	-0.474	-1.276	-0.369	-0.356	-0.285	-0.664	-0.9355	-0.281	-0.7915	-1.3565	-1.355	-0.002	0.0705	-0.546	-1.206	-2.6385	-0.143	0.04	-1.222	-0.946	-1.487	-2.448	-1.757	-0.802	-2.16	-0.801
"YDL051W"	-0.847	-2.35	-2.784	-0.234	-2.447	-3.059	-3.066	-0.618	-1.127	-0.208	-0.434	-1.158	0.0375	-0.1085	0.029	-0.731	-0.284	-0.171	-1.06	-1.945	-1.858	0.1	-0.991	-1.64	-1.961	-3.388	0.48	0.512	-0.955	-2.057	-2.057	-1.953	-1.933	-0.581	-3.192	0.212
"YDL063C"	-0.926	-3.209	-3.024	-0.483	-2.945	-2.864	-2.304	-2.024	-2.149	-0.321	-0.453	-1.83	-0.5165	-0.6475	-1.126	-1.427	-1.224	-0.883	-1.208	-1.966	-2.2	-0.429	-1.362	-1.489	-1.406	-3.467	0.412	0.455	-2.17	-2.404	-2.722	-2.239	-2.816	-1.409	-3.127	-1.967
"YDL072C"	1.925	1.895	1.51	-0.021	1.618	1.813	2.009	1.243	1.508	0.139	0.535	0.896	0.079	0.0925	0.704	1.293	0.656	0.507	0.785	1.336	1.476	0.244	0.816	1.06	1.247	1.938	-0.3	-0.407	1.803	2.255	2.552	1.595	1.99	1.37	2.416	0.759
"YDL166C"	-0.89	-1.776	-1.35	0.206	-1.387	-1.864	-1.585	-0.36	-0.398	-0.21	-0.178	-0.477	0.039	0.1135	-0.49	-1.323	-0.075	-0.287	-1.455	-1.334	-1.168	-0.084	-0.976	-1.175	-1.423	-1.853	0.274	0.682	-1.248	-1.297	-1.13	-1.71	-0.734	-1.145	-1.481	-0.714
"YDR060W"	-1.1235	-2.954	-1.678	-0.804	-1.598	-1.5655	-1.223	-1.385	-1.552	-0.2695	-0.48	-1.5495	-0.273	-0.138333333333333	-0.6365	-1.411	-0.9035	-0.74	-1.2565	-1.628	-1.349	-0.1375	-0.8535	-0.8725	-1.035	-2.5035	-0.3295	-0.0615	-2.149	-2.491	-2.84	-1.0675	-1.373	-0.857	-2.2405	-0.5845
"YDR120C"	-2.644	-3.186	-2.84	-0.188	-2.699	-2.817	-2.359	-1.527	-2.287	0.119	-0.059	-0.792	-0.204	-0.35	-0.254	-1.344	-0.579	-0.084	-1.629	-2.465	-1.515	0.289	-1.066	-1.415	-1.734	-2.159	1.157	0.319	-2.098	-2.546	-1.866	-3.238	-2.621	-1.347	-2.616	-0.092
"YDR165W"	-2.444	-3.154	-2.85	-0.307	-2.419	-2.874	-2.762	-1.089	-2.006	0.127	-0.088	-1.442	-0.104	0.001	-0.284	-1.398	-0.479	-0.358	-1.455	-2.129	-1.683	-0.102	-0.891	-1.967	-1.516	-2.787	-0.057	0.208	-1.116	-1.7495	-2.081	-2.796	-1.809	-1.222	-3.205	-0.342
"YDR299W"	-2.03	NaN	-5.126	-0.409	-3.609	-4.521	-3.496	-2.111	-2.959	-0.149	-0.739	-1.984	-0.385	-0.548	-0.961	-1.966	-1.417	-0.521	-1.773	-2.876	-2.118	-0.584	-1.374	-2.405	-2.732	-4.453	0.542	0.524	-2.276	-3.535	-3.266	-3.149	-0.984	-0.915	-3.212	-0.667
"YDR361C"	-2.014	-2.862	-3.438	-0.195	-3.115	-3.356	-3.263	-1.141	-2.149	-0.081	-0.428	-1.959	-0.115	-0.132	-0.117	-1.049	-0.642	-0.22	-1.071	-1.767	-1.519	-0.099	-0.855	-1.74	-1.823	-3.92	0.394	0.464	-1.086	-1.975	-1.673	NaN	-2.362	-1.056	-3.998	0.107
"YDR380W"	4.069	5.331	4.696	-0.171	4.835	5.562	5.325	1.898	3.397	0.202	0.544	0.246	0.426	0.145	0.452	2.986	0.55	0.44	2.727	3.44	3.386	0.388	1.259	2.279	2.576	5.956	-1.279	-1.162	0.722	2.257	2.561	3.142	2.861	0.727	0.31	-0.258
"YDR391C"	2.3	2.866	2.203	0.31	2.222	2.543	2.198	1.157	1.706	0.299	-0.814	0.918	-0.167	-0.197	0.826	2.341	0.437	0.543	1.855	2.406	2.32	0.429	1.866	2.259	2.223	2.907	-0.806	-1.155	3.216	2.07	2.054	2.676	3.28	1.624	3.318	0.225
"YDR398W"	-4.395	-5.035	-4.358	-0.762	-3.115	-4.082	-3.388	-2.086	-2.576	0.05	-0.222	-1.667	-0.455	-0.39	-0.329	-1.798	-1.099	-0.216	-1.142	-2.147	-1.57	-0.035	-0.887	-1.277	-2.006	-4.269	0.1	-0.063	-2.002	NaN	NaN	-3.627	-2.67	-1.184	-3.061	-0.464
"YDR412W"	-2.971	-2.735	-2.09	0.058	-1.984	-2.552	-2.649	-1.042	-1.5	-0.083	-0.168	-0.896	-0.242	-0.138	-0.013	-0.638	-0.567	0.456	-0.562	-1.139	-0.694	0.514	-0.205	-0.762	-1.264	-2.914	-0.252	0.009	-1.107	-1.812	-1.237	-2.903	-2.181	-0.9	-2.305	-0.359
"YDR413C"	-2.352	-2.496	-2.392	-0.251	-1.803	-2.779	-2.502	-1.066	-1.765	-0.135	-0.599	-1.067	-0.331	-0.416	-0.093	-0.755	-0.764	0.201	-0.736	-1.14	-0.978	0.315	-0.414	-1.054	-1.243	-2.652	0.411	0.319	-1.454	-1.77	-1.885	-2.225	-1.766	-0.868	-2.336	-0.807
"YER103W"	6.316	6.403	4.997	-0.284	6.844	7.074	7.18	2.21	2.946	0.156	0.231	1.019	1.317	1.326	2.255	3.502	0.918	1.505	3.348	2.907	3.177	0.999	2.83	3.212	3.412	7.359	-0.048	0.631	1.983	4.083	3.2	5.558	3.148	1.463	4.268	-0.414
"YFR053C"	5.157	5.916	4.876	0.554	5.265	6.125	6.12	3.498	4.383	0.789	1.216	3.217	0.733	0.49	0.877	2.802	2.113	0.599	1.858	2.367	2.42	0.492	1.656	2.43	2.51	4.784	1.449	1.191	3.821	3.025	3.455	5.614	4.594	2.95	5.992	1.335
"YGL111W"	-1.886	-2.705	-2.506	-0.277	-2.165	-2.854	-2.867	-1.109	-1.882	0.262	-0.249	-1.241	-0.055	-0.188	-0.38	-1.234	-0.821	-0.238	-1.235	-1.614	-1.309	0.021	-0.941	-1.429	-1.56	-2.724	0.47	0.095	-0.936	-1.862	-1.54	-2.854	-2.001	-1.053	-3.063	-0.139
"YGL171W"	-3.422	-4.302	-4.243	-0.119	-2.091	-3.818	-3.208	-2.597	-3.432	0.029	-0.567	-1.546	-0.231	-0.422	-1.036	-2.1	-1.316	-0.697	-2.007	-3.247	-2.573	-0.599	-1.828	-2.897	-2.938	-3.658	0.864	0.156	-2.812	-2.994	-3.129	-3.124	-2.839	-1.317	-3.848	-0.32
"YGR023W"	1.59	2.163	1.462	0.044	1.663	2.596	2.773	0.383	0.748	0.186	0.19	-0.02	0.053	0.215	0.352	1.056	0.078	0.242	0.756	0.89	0.634	0.199	0.59	0.793	0.874	2.256	0.322	0.117	-0.882	NaN	-0.67	1.955	1.919	0.602	2.305	0.286
"YGR086C"	1.771	1.9	1.682	-0.486	1.347	1.766	1.876	0.538	0.856	0.687	0.416	0.561	0.74	0.359	1.223	2.507	0.352	1.148	1.618	2.011	1.959	0.559	1.556	2.192	2.099	2.105	0.068	0.366	3.183	3.195	2.924	1.971	1.132	0.384	2.095	0.575
"YGR103W"	-2.926	-4.795	-5.229	-0.526	-4.485	-5.118	-3.624	-1.959	-3.378	-0.038	-0.6	-1.889	-0.172	-0.253	-0.508	-1.567	-1.131	-0.147	-1.592	-3.571	-3.093	0.163	-1.225	-2.866	-3.724	-5.075	0.586	1.013	-2.813	-3.487	-3.212	-3.088	-3.6885	-1.8095	-4.287	-0.8815
"YGR111W"	1.5195	1.7315	1.748	0.644	1.239	1.854	1.9695	0.862	1.217	0.316	0.499	0.711	0.381	0.368	0.657	1.583	0.317	0.364	1.074	1.444	1.545	0.695	1.502	1.619	1.846	1.747	-0.133	-0.017	2.44	1.8865	2.3505	0.961	1.253	0.788	2.046	0.638
"YGR123C"	-1.982	-3.5875	-3.2965	-0.389	-3.0495	-4.1895	-3.748	-0.857	-1.835	0.022	0.278	-0.839	-0.181	-0.189	0.101	-1.64	-0.23	0.378	-1.22	-1.73	-1.141	0.229	-0.923	-1.647	-1.535	-4.594	0.1655	0.1835	-1.606	-2.099	-1.394	-2.047	-1.547	-0.279	-3.836	0.378
"YGR160W"	-5.206	-6.235	-5.9475	-0.902	-5.567	-6.207	-4.6575	-1.966	-3.134	0.109	-0.223	-1.99	-0.589	-1.034	-1.153	-3.109	-0.643	-0.704	-3.117	-3.857	-2.834	-0.935	-2.737	-3.507	-3.412	-6.3385	1.131	0.7565	-2.6695	-4.147	-3.2215	-3.421	-4.207	-2.649	-4.708	-0.772
"YHR016C"	2.38766666666667	2.94566666666667	2.61933333333333	-0.194	2.163	2.52366666666667	2.28866666666667	1.319	1.736	-0.1135	-0.1785	-0.3415	0.315	0.158	0.3795	1.4385	0.7105	0.156	0.9745	1.362	1.1185	-0.0135	0.6975	1.002	1.577	2.662	-0.426	-0.191	2.386	0.404	1.458	3.116	1.924	1.281	3.443	-0.089
"YHR052W"	-3.848	-4.2445	-3.5175	0.157	-3.5215	-4.3935	-3.9395	-1.274	-1.975	-0.107	-0.376	-1.364	0.07	-0.158	-0.994	-2.447	-0.72	-0.841	-2.417	-2.621	-1.95	-0.625	-1.349	-2.318	-2.298	-4.9395	0.874	0.657	-1.695	-2.641	-2.604	-2.268	-1.875	-1.073	-3.47	-1.483
"YHR066W"	-2.6315	-3.7505	-3.0515	-0.186	-2.9815	-3.762	-3.552	-1.993	-2.473	-0.274	-0.773	-1.685	-0.341	-0.403	-0.577	-2.029	-1.255	-0.401	-1.659	-2.447	-1.738	-0.001	-1.335	-2.494	-2.346	-4.347	0.67	0.363	-2.15	-3.667	-3.295	-2.551	-1.906	-1.292	-2.382	-0.665
"YHR085W"	-1.11633333333333	-1.46033333333333	-0.746333333333333	-0.5955	-1.10333333333333	-1.623	-0.881666666666667	-0.734	-0.768	-0.277	-0.1395	-0.637	-5.0E-4	-0.1735	1.195	1.404	-0.4825	-0.071	-0.4855	-0.8395	-0.7655	-0.0925	-0.2715	-0.5575	-0.606	-1.463	0.3175	0.208	-1.133	-0.938	-1.6835	-1.186	-1.1885	-0.7105	-1.2405	-0.108
"YHR089C"	-3.2685	-4.5225	-3.658	-0.877	-3.523	-4.938	-4.6915	-0.732	-1.926	-0.406	-0.54	-0.986	-0.162	0.204	-0.07	-1.105	-0.122	0.224	-0.986	-2.24	-2.024	0.259	-0.489	-1.588	-2.465	-4.9325	0.509	0.745	-1.829	-1.666	-2.254	-2.896	-1.269	-0.961	-3.956	0.123
"YHR104W"	4.5615	4.906	4.6215	0.293	4.247	4.658	4.7775	2.174	2.864	0.357	0.454	1.735	0.144	0.236	0.521	3.233	0.886	0.256	2.72	3.95	4.176	0.449	2.268	3.382	3.895	5.319	0.063	-0.205	4.627	4.033	4.789	4.201	2.775	1.678	3.963	0.266
"YHR144C"	-1.2665	-1.6225	-1.253	-0.041	-1.664	-1.475	-1.4285	-0.611	-0.994	0.099	-0.034	-0.363	-0.074	-0.079	-0.126	-0.542	-0.281	-0.246	-0.874	-0.822	-0.671	0.118	-0.024	-0.646	-0.726	-1.917	0.231	0.227	-0.854	-0.95	-0.923	-1.668	-1.559	-0.495	-2.884	0.055
"YHR148W"	-1.6105	-3.0225	-2.0375	-0.105	-2.8705	-3.2345	-2.692	-1.294	-1.681	-0.085	-0.397	-0.88	-0.22	-0.466	-0.419	-2.068	-0.676	-0.509	-2.063	-2.43	-1.54	-0.185	-1.509	-2.013	-1.969	-3.95	0.128	0.204	-1.694	-2.946	-1.944	-1.484	-2.119	-1.032	-2.893	-0.696
"YIL019W"	-2.3275	-4.4845	-3.631	-0.371	-3.3725	-2.9215	-2.461	-2.26	-2.869	-0.207	-0.544	-1.236	-0.071	-0.059	0.107	-0.974	-1.093	0.433	-0.826	-2.101	-1.513	0.149	-1.142	-2.081	-2.613	-3.595	1.517	0.684	-2.979	-2.516	-2.439	-2.769	-3.09	-1.904	-4.006	-0.521
"YIL096C"	-2.468	-2.835	-2.2225	0.161	-1.884	-0.384	-2.05	-1.622	-1.921	0.141	-0.304	-1.109	-0.241	-0.55	-0.655	-1.181	-0.753	-0.532	-1.245	-1.959	-1.959	0.002	-0.622	-1.383	-1.453	-1.556	0.492	0.138	-2.298	-1.501	-2.323	-2.015	-2.653	-1.272	-2.167	-0.353
"YJL109C"	-2.08766666666667	-2.39833333333333	-2.722	-0.487	-2.64066666666667	-3.525	-3.447	-1.8695	-2.0655	-0.1435	-0.2405	-0.987	-0.585	-0.3015	-0.6785	-1.063	-0.8935	-0.509	-0.908	-1.2615	-1.151	-0.283	-0.5665	-0.6225	-0.641	-3.01866666666667	0.383	0.226	-1.7995	-1.4715	-1.9285	-2.7495	-2.029	-0.9375	-2.9815	-0.452
"YJL130C"	-1.42066666666667	-1.699	-1.453	-0.463	-1.519	-1.76266666666667	-1.628	-0.4005	-0.4615	-0.2545	-0.263	0.1845	0.763	0.692	-0.2215	-0.8195	-0.3015	-0.116	-0.4445	-0.9595	-0.945	0.127	-0.2515	-0.434	-0.4905	-1.73966666666667	0.014	0.07	-0.4445	-1.2205	-1.549	-1.7485	-1.225	0.235	0.344	0.091
"YJL200C"	-2.412	-3.818	-2.434	-0.104	-2.957	-4.048	-3.5515	-1.311	-2.186	0.049	-0.302	-0.402	-0.074	-0.091	-0.05	-1.314	-0.396	-0.085	-1.279	-2.038	-1.272	0.32	-0.818	-1.397	-1.321	-3.9785	-0.254	-0.491	-1.528	-1.416	-0.476	-2.276	-1.213	-0.006	-3.653	0.203
"YJR002W"	-3.138	-3.52066666666667	-2.819	-0.234	-2.21066666666667	-2.34	-3.20666666666667	-1.7525	-1.834	0.074	-0.3005	-1.178	-0.124	-0.2725	-0.333	-1.4075	-0.906	-0.285	-1.3115	-2.0865	-1.753	-0.0145	-0.9595	-1.7065	-1.7065	-3.31866666666667	0.489	0.0575	-2.1325	-0.062	-4.135	-2.667	-2.36	-1.269	-2.426	-0.028
"YJR063W"	-2.0025	-2.675	-2.1255	-0.087	-2.576	-2.555	-2.2705	-0.818	-1.453	-0.062	0.214	-0.532	0.089	-0.301	-0.712	-1.662	-0.101	-0.778	-2.045	-1.804	-1.2	-0.793	-1.258	-1.476	-1.422	-3.415	0.37	0.601	-1.687	-1.705	-1.471	-1.046	-1.173	-0.947	-2.958	-0.613
"YKL009W"	-3.0175	-1.833	-3.58	0.057	-3.253	-4.1895	-4.13	-1.13	-2.089	0.094	-0.348	-1.817	0.071	0.013	-0.572	-1.886	-0.42	-0.606	-2.265	-2.841	-2.079	-0.191	-1.492	-2.592	-2.565	-4.4285	0.871	0.678	-2.346	-3.411	-2.954	-3.974	-2.782	-1.967	-4.823	-0.211
"YKL035W"	4.094	2.459	4.283	0.649	2.527	1.539	2.1225	2.201	3.083	0.651	1.094	2.48	0.583	0.613	0.727	2.435	1.021	1.141	2.237	3.062	3.076	0.49	1.378	2.695	2.942	4.293	1.623	1.151	3.537	2.844	3.616	3.778	2.265	1.148	3.697	1.499
"YKL151C"	3.971	4.653	4.533	-0.172	3.849	4.45	4.63	1.31	1.978	0.258	-0.02	0.27	-0.086	0.181	0.761	2.972	0.322	0.221	1.652	2.498	2.582	0.155	1.567	2.276	2.615	4.996	1.08	0.713	2.035	1.691	2.673	1.93	2.443	0.886	3.988	0.196
"YKL172W"	-4.013	-1.667	-3.445	0.089	-3.361	-3.445	-4.261	-2.199	-2.883	-0.027	-0.341	-1.391	-0.144	-0.167	-0.522	-1.759	-1.065	-0.333	-1.871	-3.036	-1.901	-0.032	-1.198	-2.379	-2.395	-3.684	0.227	0.653	-1.545	-2.735	-3.284	-2.526	-2.308	-1.814	-3.42	-0.401
"YKR011C"	2.771	2.754	3.114	0.652	2.849	3.092	2.411	1.911	2.145	0.173	0.326	0.863	0.448	0.371	0.783	2.477	0.929	0.907	2.375	2.968	2.696	0.807	2.134	2.517	2.312	2.868	-1.014	-0.815	1.898	2.361	1.712	2.879	2.342	1.769	2.508	-0.319
"YKR024C"	-2.831	-3.382	-3.489	-0.332	-2.212	-3.285	-2.848	-2.537	-2.842	-0.1	-0.499	-1.407	-0.054	1.054	-1.766	-1.941	-1.179	-1.473	-1.982	-2.204	-1.977	-1.237	-1.533	-1.791	-1.689	-3.49	-0.086	0.045	-1.386	-1.781	-1.463	-3.27	-0.742	-1.324	-2.389	-0.893
"YLL034C"	-0.6405	-1.612	-2.0675	-0.569	-3.2805	-1.701	-2.521	-1.5155	-1.64	-0.198	-0.515	-1.2645	-0.215	-0.19	-0.8245	-1.3705	-0.688	-0.716	-1.1245	-1.646	-1.5305	-0.275	-0.8	-1.032	-1.272	-2.249	0.6525	0.2815	-1.8215	-2.185	-2.875	-3.176	-2.392	-1.464	-2.619	-0.392
"YLR129W"	-4.191	-4.096	-3.022	-0.412	-2.347	-3.676	-3.658	-0.933	-2.548	-0.062	-0.584	-1.522	-0.078	-0.151	-1.291	-2.104	-0.708	-1.103	-2.216	-2.343	-1.807	-0.794	-1.667	-1.65	-1.427	-4.108	0.643	-0.066	-2.339	-1.808	-2.519	-4.157	-2.07	-0.673	-4.119	-0.621
"YLR175W"	-4.217	-4.176	-3.679	-0.245	-3.07	-4.552	-4.902	-1.304	-2.338	0.04	0.092	-0.863	-0.186	-0.209	0.101	-1.253	-0.786	0.436	-1.022	-2.188	-1.419	0.272	-0.552	-1.892	-1.798	-4.431	0.473	0.53	-2.326	-2.547	-1.5	-3.342	-1.884	-1.078	-4.338	-0.749
"YLR197W"	-3.755	-4.98	-4.044	-0.061	-3.638	-4.76	-5.179	-1.149	-2.263	0.348	-0.036	-0.823	-0.107	-0.238	0.063	-0.987	-0.644	0.476	-0.92	-2.28	-1.776	0.362	-0.4	-1.768	-2.254	-5.072	0.312	0.201	-1.851	-3.105	-1.563	-2.322	-2.603	-0.567	-4.545	0.245
"YLR221C"	-1.904	-3.146	-2.286	0.223	-2.172	-2.998	-2.528	-1.239	-2.179	-0.119	-0.676	-1.26	-0.169	-0.338	-0.215	-1.338	-0.714	-0.207	-1.486	-2.46	-2.021	-0.06	-1.05	-2.325	-2.724	-3.231	0.546	0.369	-2.299	-2.384	-2.051	-2.169	-2.382	-1.054	-3.361	0.121
"YML070W"	1.196	2.181	2.533	0.191	2.004	2.545	2.492	0.482	1.081	0.186	0.814	1.355	0.048	-0.001	0.837	2.664	0.302	0.664	2.433	2.792	3.338	0.536	1.796	2.927	3.463	2.664	0.449	0.472	3.834	3.247	4.889	1.053	1.196	0.28	1.618	0.747
"YML093W"	-3.602	-4.507	-2.615	-0.284	-2.741	-3.357	-3.472	-2.269	-2.686	-0.22	-0.47	-1.304	-0.22	-0.296	-0.738	-2.001	-1.399	-0.394	-1.621	-2.468	-1.633	-0.246	-1.272	-1.583	-1.493	-3.703	0.244	0.405	-1.188	-2.063	-2.58	-3.959	-2.717	-1.858	-4.548	-0.586
"YMR152W"	1.897	1.96	1.808	0.432	1.791	1.87	2.16	0.939	1.405	0.42	0.422	1.237	0.238	0.206	0.497	1.173	0.338	0.559	0.881	1.124	0.856	0.347	0.616	0.828	0.889	2.475	0.658	0.22	1.291	-1.17	1.093	1.592	1.674	0.733	2.029	-0.056
"YMR310C"	-3.178	-3.117	-2.423	-0.463	-2.264	-2.522	-1.974	-1.198	-1.727	0.202	0.258	-0.716	0.173	0.013	0.266	-0.857	-0.481	0.374	-0.763	-1.65	-1.224	-0.096	-1.142	-1.241	-1.118	-2.882	0.546	0.729	-2.046	-1.603	-1.376	-2.869	-1.577	-0.888	-3.588	-0.509
