	"686.YP ethanol vs reference pool"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"865.Amino acid + adenine starvation 6 h"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"6344.DES460 + 0.02% MMS - 5 min"	"8227.dtt 000 min"	"8229.dtt 030 min"	"8233.dtt 120 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YBR121C"	-1.014	-1.543	-2.186	-2.714	-4.037	-5.791	-0.496	-2.366	-2.465	-0.0545	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.2445	0.03	0.425	0.134	0.006	0.001	-2.249	-0.124	-0.147	-2.264	-2.181
"YBR143C"	-1.0625	-2.197	-1.932	-2.537	-3.195	-4.642	-0.249	-2.012	-2.112	0.3835	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.121	0.012	0.772	0.848	-0.106	0.241	-1.699	0.193	-0.03	-2.02	-1.336
"YBR154C"	-0.38	-1.369	-1.387	-1.563	-3.531	-4.423	-0.008	-1.73	-1.85	0.4915	-1.6075	-1.5735	-2.257	-2.6225	-3.012	-3.8995	-0.1695	-0.063	0.762	0.408	-0.707	0.37	-1.281	0.156	0.294	-2.065	-1.162
"YBR157C"	0.7	-0.683	-0.263	-0.094	-1.091	-5.88	0.523	-0.894	NaN	-0.794	2.4645	3.1805	2.2105	3.091	3.578	2.4985	0.0625	0.278	-0.169	0.43	0.631	0.194	3.803	0.115	0.047	0.627	0.725
"YBR191W"	-0.917	-2.249	-1.912	-2.071	-3.167	-5.241	-0.337	-2.563	-2.467	0.373	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.149	0.359	1.239	0.799	-0.852	0.68	-1.3105	0.299	0.44	-3.657	-2.872
"YBR283C"	-0.625	-0.531	-0.816	-1.137	-1.689	-3.351	-0.212	-1.617	-1.52	-0.261	-0.8295	-1.4515	-1.437	-1.68	-1.8725	-2.0585	-0.239	0.096	0.917	0.358	-0.141	0.555	-0.909	0.054	0.013	-1.065	-1.424
"YBR288C"	-0.437	-1.173	-0.889	-1.298	-2.229	-3.524	0.203	-0.751	-1.088	-0.134	-1.0805	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.254	-0.02	0.12	0.224	0.079	-0.057	-0.958	0.079	0.013	-1.104	-0.943
"YCR002C"	-0.894	-1.293	-1.572	-1.667	-3.669	-5.182	0.23	-0.658	-1.575	-0.205	-0.8665	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.204	0.097	0.252	-0.044	0.499	0.106	-1.48	0.136	0.273	-1.051	-1.189
"YCR013C"	-0.735	0.95	0.742	0.949	-3.099	-5.566	0.245	-1.264	-1.02	-0.09	0.8845	1.107	0.635	-1.827	-2.591	-3.6275	0.2485	0.082	0.823	0.502	0.724	0.455	0.07	0.02	0.04	-1.621	0.762
"YCR053W"	-1.076	-1.952	-1.707	-1.033	-3.556	-4.283	0.121	-1.41	-1.635	0.083	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.0675	0.175	0.406	0.028	0.179	-0.175	-1.451	0.123	-0.013	-2.601	-2.352
"YCR072C"	-0.527	-2.412	-2.205	-2.8	-4.4	-4.875	-0.877	-1.346	0.208	0.207	-1.4095	-1.6045	-1.42	-0.9395	-2.6635	-1.797	-1.019	-0.357	0.912	0.291	-1.051	0.011	-1.254	0.198	0.328	-2.44	-2.009
"YDL084W"	-0.562	-0.38	-0.522	-1.213	-2.134	-4.827	-0.037	-1.38	-1.906	-0.01	-0.822	-1.559	-1.782	-1.626	-2.01	-2.373	-0.258	-0.073	0.57	0.342	-0.162	0.447	-2.008	0.391	0.413	-1.245	-1.409
"YDL103C"	0.0	-0.262	-0.747	-0.703	-2.99	-2.758	0.111	-0.689	-1.001	0.11	0.052	-1.0	-0.538	-1.404	-2.3	-0.654	0.285	0.055	0.142	0.054	0.298	0.099	-0.286	0.07	0.176	0.017	0.329
"YDL185W"	-0.754	-0.571	-0.915	-1.477	-2.522	-4.417	0.173	-1.308	-2.012	-0.42	-0.21	-0.395	-0.701	-1.557	-2.084	-3.0	0.166	0.27	0.057	0.165	0.23	0.384	-0.976	-0.304	-0.221	-0.7525	-1.035
"YDL192W"	-0.328	-0.928	-0.927	-1.408	-1.026	-2.919	0.782	-2.056	-2.008	0.143	-1.152	-1.284	-1.38	-1.203	-1.441	-2.326	0.293	0.219	0.525	0.392	0.587	0.307	-1.095	0.215	0.111	-1.046	-2.042
"YDL195W"	-0.611	-0.192	-0.369	0.033	-2.022	-4.61	-0.154	-1.162	-1.279	-0.2	-0.98	-1.029	-1.091	-2.271	-2.24	-2.391	-0.078	0.058	0.121	0.023	0.061	0.3	-0.602	-0.297	-0.192	-0.682	0.096
"YDL225W"	-0.07	-0.435	-0.872	-1.155	-2.271	-3.558	-0.053	-0.621	-0.882	0.184	-0.537	-0.981	-1.021	-0.994	-1.953	-1.522	-0.036	0.122	-0.227	0.433	0.33	0.073	-0.459	0.138	0.08	-0.606	0.256
"YDR002W"	-0.537	-1.054	-1.992	-1.109	-2.756	-4.542	-0.215	-1.99	-1.796	0.535	-1.447	-1.309	-0.91	-1.672	-2.746	-2.987	0.305	-0.207	0.794	0.43	0.012	0.179	-1.802	0.452	0.267	-2.057	-1.446
"YDR023W"	1.176	-1.347	-2.164	-2.077	-2.907	-5.745	-0.489	-1.813	-1.696	0.054	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.146	0.024	0.446	0.294	-0.154	0.317	-2.091	0.03	0.041	-1.458	-1.86
"YDR024W"	-0.241	-0.392	-0.165	-1.076	-1.347	-2.531	-0.137	-0.483	-1.417	-0.183	-1.21	-1.6	-1.619	-1.359	-1.971	-1.969	-0.098	-0.448	-0.111	-0.054	-0.364	0.025	-0.502	-0.012	-0.102	-0.797	-0.822
"YDR025W"	-1.0	-2.573	-2.592	-2.705	-3.393	-6.697	-0.41	-3.471	-3.326	0.188	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.038	0.236	0.906	0.308	-0.766	0.298	-1.7675	0.2095	0.205	-3.127	-2.535
"YDR033W"	0.441	-0.27	-2.058	-2.065	-4.249	-4.128	-0.035	-0.823	-1.162	-0.468	0.617	-0.195	-0.803	-2.882	-2.514	-3.186	0.213	0.303	0.686	0.695	-0.613	0.451	-1.563	-0.273	-0.172	-0.399	-1.223
"YDR091C"	-0.878	-1.68	-1.547	-1.362	-3.384	-4.4	-0.366	-2.03	-2.498	0.056	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	-0.787	-0.04	0.866	0.18	-0.482	0.359	-1.376	-0.013	-0.028	-2.299	-1.095
"YDR101C"	-0.843	-2.55	-2.315	-2.948	-4.145	-4.667	-0.448	-1.752	-2.552	0.349	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	-0.817	-0.233	0.936	0.052	-1.341	0.191	-2.013	0.204	0.01	-2.116	-1.524
"YDR146C"	-0.21	-0.15	-1.794	0.047	-1.841	-2.89	-0.39	-0.963	-1.456	-0.147	-0.439	-1.414	-1.572	-1.533	-2.359	-2.317	-0.477	0.013	0.454	-0.287	-0.603	0.036	-1.142	-0.097	-0.109	-0.5955	-0.415
"YDR174W"	-0.036	-0.391	-0.831	-0.446	-1.951	-3.526	0.125	-0.961	-0.668	-0.215	-0.462	-0.509	-0.313	-1.209	-1.705	-1.726	0.279	-0.1	0.538	0.103	0.354	0.24	-1.288	-0.0475	-0.0755	-0.677	-0.407
"YDR189W"	-0.252	-0.822	-0.735	-0.956	-1.871	-2.842	0.409	-0.824	-1.156	-0.138	-0.801	-0.693	-0.704	-1.597	-1.904	-2.063	-0.331	0.053	-0.243	0.022	0.566	0.365	-0.9815	-0.1815	-0.1255	-1.293	-0.6975
"YDR211W"	-0.215	-1.573	-0.984	-1.38	-1.706	-4.77	-0.375	-1.476	-2.096	0.132	-1.299	-1.28	-1.43	-2.119	-2.043	-3.034	0.019	0.113	0.018	0.237	-0.221	0.245	-1.1775	0.3765	0.3695	-1.222	-0.503
"YDR233C"	-0.435	-0.675	-0.513	-1.091	-2.587	-3.48	0.06	-1.566	-1.509	0.008	-0.294	-0.467	-0.606	-2.047	-2.27	-2.451	0.402	0.175	0.484	0.384	0.437	0.053	-0.709	-0.0985	0.013	-0.561	-0.638
"YDR245W"	-0.965	-1.899	-1.947	-1.19	-1.932	-3.6715	-0.433	-1.5755	-2.319	0.0245	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-2.201	-0.352	0.047	0.7345	0.549	-0.3695	0.291	-1.29866666666667	0.198	0.169333333333333	-2.011	-1.94
"YDR341C"	-0.658	-1.763	-1.574	-1.681	-3.212	-5.262	-0.347	-2.134	-2.218	0.208	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	-0.067	0.023	0.542	0.23	-0.408	-0.093	-1.562	0.041	0.102	-2.272	-1.053
"YDR348C"	-0.022	0.229	-0.52	-0.09	-1.848	-2.174	0.46	-0.407	-0.537	-0.138	-0.56	-0.993	-0.932	-0.755	-1.265	-1.835	-0.029	0.164	-0.104	-0.12	0.209	0.223	-0.942	-0.401	-0.225	-0.615	-0.409
"YDR454C"	-0.541	-0.938	-1.715	-1.528	-2.876	-4.275	-0.127	-2.414	-2.283	0.441	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	-0.312	-0.106	0.952	0.562	-0.324	0.095	-1.702	0.439	0.469	-1.067	-1.891
"YEL033W"	-0.1	-0.904	-0.461	-1.116	-1.182	-3.14	-0.538	-1.324	-1.817	-0.33	-0.667	-1.114	-1.185	-0.678	-1.408	-1.97	-0.145	0.11	0.627	0.203	0.047	0.203	-0.6555	0.1335	0.359	-0.612	-0.574
"YEL042W"	-0.433	-0.736	-1.264	-1.261	-3.201	-4.334	-0.045	-1.329	-1.924	-0.405	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	-0.436	-0.001	1.117	0.935	-0.412	0.571	-1.2195	-0.362	-0.1995	-1.936	-1.891
"YER006W"	-0.585	-2.285	-1.487	-2.061	-2.345	-4.571	-0.793	-1.673	-1.513	0.172	-1.622	-2.01	-1.682	-2.195	-2.03	-3.232	-0.194	-0.234	0.724	0.291	-0.971	0.356	-1.125	0.1695	0.2635	-1.381	-0.554
"YER023W"	-0.64	-0.972	-1.289	-1.904	-4.379	-4.606	0.315	-1.289	-1.281	-0.16	-0.148	-1.09	-0.659	-1.477	-2.502	-2.506	-0.264	0.18	0.371	0.354	0.309	0.365	-1.07	-0.16	0.007	-0.791	-0.748
"YER025W"	-0.987	-1.903	-1.256	-1.55	-2.274	-4.542	-0.653	-1.79	-1.489	-0.094	-1.42	-1.739	-2.023	-1.728	-2.125	-2.385	-0.318	0.079	0.835	0.48	-0.382	0.355	-1.106	0.16	0.01	-1.171	-0.293
"YER031C"	-0.42	-1.025	-1.399	-1.638	-1.835	-4.144	-0.061	-1.251	-1.502	0.134	-0.227	-0.58	-0.58	-0.886	-1.885	-1.955	-0.17	0.285	0.723	0.218	-0.085	0.188	-1.034	-0.099	0.216	-1.185	-0.6
"YER036C"	-1.29	-1.303	-1.79	-1.796	-2.411	-4.997	-0.752	-2.077	0.802	0.1	-1.417	-1.192	-1.479	-1.672	-2.281	-3.078	-0.518	-0.107	0.813	0.514	-0.55	0.478	-0.908	-0.002	-0.673	-1.376	-0.468
"YER043C"	-1.172	-2.553	-2.767	-3.397	-4.78	-6.476	0.178	-3.096	-3.18	0.187	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.136	0.078	0.527	-0.011	0.212	0.714	-1.415	-0.222	0.0	-2.542	-1.767
"YER049W"	-0.877	-1.562	-2.16	-1.746	-3.769	-4.541	-0.289	-0.962	-1.396	0.386	-1.832	-2.135	-2.046	-2.64	-3.518	-2.735	-0.779	-0.447	0.771	0.413	-0.475	0.3	-1.47	0.051	0.308	-0.396	-0.527
"YER086W"	-0.928	-1.076	-1.236	-1.424	-3.61	-5.173	-0.135	-2.311	-2.028	-0.071	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	-0.317	0.098	0.761	0.297	0.072	0.134	-0.886	0.176	0.204	0.075	-0.714
"YER090W"	-0.608	-1.299	-1.569	-1.173	-3.804	-5.004	0.132	-1.889	-1.861	0.341	-0.616	-1.078	-1.311	-2.327	-2.585	-3.495	-0.105	0.039	0.477	0.459	0.286	-0.432	-0.819	0.112	-0.001	-1.879	-0.537
"YER117W"	-0.475	-1.817	-2.008	-1.95	-2.832	-5.642	-0.332	-2.843	-2.483	0.632	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	-0.148	-0.014	1.184	0.571	-0.824	0.537	-1.876	0.4475	0.465	-2.632	-2.128
"YER118C"	-0.744	-0.898	-0.913	-1.822	-2.598	-3.457	-0.011	-0.87	-1.557	0.161	-0.974	-1.116	-1.35	-1.371	-2.206	-1.965	-0.522	0.066	0.369	0.709	-0.085	0.187	-1.1755	0.06	0.094	-1.824	-1.358
"YER122C"	-0.456	-0.701	-0.789	-0.896	-1.428	-4.276	-0.146	-1.046	-1.526	-0.297	-0.622	-0.585	-0.838	-1.324	-1.945	-2.168	-0.281	0.213	0.09	0.282	0.196	0.049	-0.675	0.0875	0.1865	-0.185	-0.512
"YFL004W"	-0.661	-0.561	-0.988	-0.32	-1.866	-3.639	0.144	-0.677	-0.945	0.061	-0.02	-0.901	-1.486	-1.927	-2.26	-2.284	0.077	0.042	0.397	0.215	-0.086	0.146	-0.2735	-0.0425	-0.2185	-1.581	-0.351
"YFL039C"	-0.492	-0.727	-1.186	-1.097	-2.57	-3.733	-0.14	-1.117	-1.321	-0.288	-0.136	-0.479	-0.492	-1.583	-2.201	-2.764	0.435	0.174	0.24	-0.187	0.442	-0.168	-0.53	0.0416666666666667	-0.0493333333333333	-0.306	-0.127
"YFL045C"	-1.298	-1.88	-1.85	-2.231	-2.163	-4.897	0.562	-2.463	-2.891	-0.064	-1.282	-1.424	-2.201	-1.923	-2.307	-2.378	-0.447	0.236	0.329	0.176	0.574	0.741	-0.93	0.174	0.2195	-1.289	-0.612
"YFR009W"	-1.1	-1.513	-2.017	-1.914	-3.004	-4.932	-0.037	-1.586	-1.585	0.004	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	0.111	0.072	0.017	0.372	-0.025	0.224	-0.923	-0.092	-0.0845	-0.675	0.059
"YGL049C"	-0.521	-0.919	-0.946	-0.555	-2.05	-4.12	-0.178	-1.033	-1.097	-0.364	-0.75	-0.621	-0.562	-1.692	-1.763	-2.23	0.248	0.04	-0.202	0.129	-0.049	0.088	-0.776	-0.378	-0.643	-1.747	-1.199
"YGL067W"	-0.823	-0.871	-1.172	-1.39	-3.029	-2.893	0.007	-1.274	-1.53	-0.084	-0.488	-1.044	-1.214	-1.327	-1.617	-2.053	0.241	0.037	0.102	0.383	0.342	0.532	-0.958	0.111	0.213	-0.974	-0.466
"YGL107C"	0.132	-0.826	-0.737	-1.19	-2.708	-3.138	-0.192	-0.231	-0.847	-0.566	-0.379	-0.57	-0.373	-1.618	-1.576	-1.936	-0.486	-0.078	0.12	-0.08	-0.038	0.239	-0.233	0.067	0.027	-0.545	-0.768
"YGL120C"	-0.996	-1.947	-2.077	-2.282	-4.088	-5.111	-0.266	-1.739	-2.813	0.082	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-0.698	-0.218	0.665	0.512	-0.665	0.141	-2.122	0.22	0.251	-3.416	-3.124
"YGL175C"	-0.131	-0.553	-0.538	-0.249	-1.98	-2.125	-0.17	0.23	-0.153	-0.017	-0.471	-0.513	-0.532	-0.715	-1.228	-0.811	-0.413	-0.301	-0.585	-0.415	0.061	0.06	-0.387	-0.109	-0.17	0.097	-1.194
"YGL202W"	-0.833	-0.668	-1.935	-1.435	-3.334	-4.405	0.482	-2.233	-1.883	0.094	-0.475	-1.963	-2.379	-2.119	-2.237	-2.614	-0.463	-0.072	0.545	0.454	0.47	-0.502	-2.572	-0.011	-0.128	-1.598	-0.754
"YGL238W"	-0.667	-1.08	-0.967	-1.048	-1.585	-4.337	-0.202	-1.39	-1.824	-0.177	-1.294	-1.238	-1.24	-1.654	-1.937	-2.674	-0.222	0.118	0.138	0.067	-0.011	0.316	-0.873	-0.048	-0.067	-1.404	-0.827
"YGL245W"	-1.136	-1.579	-1.475	-2.145	-4.799	-6.655	0.162	-1.699	-2.088	-0.228	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.058	0.202	0.595	0.525	0.103	0.039	-1.658	0.199	0.216	-0.955	-1.196
"YGR001C"	-0.29	-0.631	-0.842	-0.607	-2.12	-3.271	0.303	-0.824	-1.121	0.262	-0.803	-0.879	-0.942	-1.426	-1.682	-2.24	0.18	0.244	0.411	0.264	-0.106	-0.215	-0.542	0.211	0.268	-1.069	-1.466
"YGR037C"	-0.191	-0.73	-1.659	-1.49	-3.63	-4.976	0.513	-1.298	-1.04	-0.117	-0.786	-1.612	-1.441	-1.964	-2.717	-2.416	0.985	0.122	0.283	0.076	1.172	0.136	-1.319	0.105	0.038	-1.614	-1.227
"YGR085C"	-0.601	-2.202	-2.29	-2.146	-3.406	-6.059	-0.411	-3.013	-2.215	0.853	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.284	0.311	1.232	0.772	-0.755	0.538	-2.156	0.237	0.236	-2.792	-1.785
"YGR124W"	-1.414	-1.917	-2.741	-2.43	-2.597	-4.207	-0.716	-1.518	-0.014	0.279	-1.658	-2.324	-2.426	-2.945	-3.169	-3.758	-0.276	0.357	0.47	0.364	0.574	0.286	-2.916	-0.1835	-0.177	-2.935	-1.881
"YGR158C"	-0.555	-1.675	-1.137	-1.405	-2.12	-2.421	-0.086	-1.084	-1.384	-0.131	-1.184	-1.068	-1.121	-1.365	-1.801	-2.176	-0.245	-0.1195	0.33	0.426	-0.617	0.252	-0.8485	0.172	0.214	-1.133	-0.896
"YGR173W"	-0.507	-1.194	-1.375	-1.91	-2.218	-3.699	-0.365	-1.747	-1.752	0.087	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	-0.177	-0.01	0.363	0.236	-0.615	0.093	-1.2535	0.6255	0.686	-1.798	-1.525
"YGR185C"	-0.665	-1.31	-2.13	-2.168	-5.306	-6.361	-0.24	-2.6	-2.266	0.18	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.052	0.0675	0.864	0.695	-0.051	-0.156	-2.438	-0.002	-0.011	-2.768	-2.277
"YGR195W"	0.163	-0.534	-0.67	-0.486	-2.179	-3.999	-0.253	-0.971	-1.268	0.11	-0.81	-0.914	-0.934	-1.872	-1.878	-1.911	0.03	0.0195	0.374	0.384	-0.201	0.054	-0.547	0.062	0.158	-0.497	-1.17
"YGR198W"	-0.379	-1.174	-1.571	-0.871	-3.294	-3.171	-0.278	-0.374	-0.673	-0.185	-1.039	-1.595	-1.333	-2.111	-1.821	-2.356	0.379	0.043	0.044	0.166	-0.089	0.257	-1.409	0.075	-0.083	-1.245	-0.713
"YGR200C"	-0.601	-1.152	-1.152	-1.306	-2.863	-3.668	-0.501	-1.597	-1.625	0.036	-1.1	-1.274	-1.456	-1.861	-2.863	-2.446	-0.413	-0.065	0.649	0.314	-0.726	0.252	-1.091	0.181	0.057	-1.471	-1.208
"YGR261C"	-0.663	-0.824	-1.213	-1.464	-2.682	-3.233	-0.034	-1.189	-1.363	-0.243	-1.146	-1.125	-0.876	-1.657	-2.505	-2.45	0.056	-0.015	-0.117	0.088	0.374	0.085	-1.102	-0.245	-0.19	-0.84	-0.303
"YGR285C"	-1.082	-1.794	-1.645	-1.67	-4.078	-6.1	-1.364	-1.877	-1.393	0.204	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.255	-0.0025	0.579	0.141	-0.046	0.02	-2.068	0.541	0.392	-2.607	-2.062
"YHL034C"	-0.123	0.087	-1.162	-1.589	-1.801	-3.26	-0.231	0.441	-0.038	-0.603	-0.844	-0.827	-1.108	-1.2	-1.905	-1.822	0.298	0.1675	0.211	0.121	0.679	0.047	-0.837	-0.119	-0.471	0.18	-0.305
"YHR019C"	-1.258	-1.467	-1.831	-2.048	-4.051	-5.077	-0.152	-2.664	-2.76	0.101	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	-0.226	0.0315	0.567	0.377	-0.153	0.141	-1.834	-0.009	0.239	-1.261	-1.476
"YHR047C"	-1.037	-1.862	-1.732	-2.047	-3.032	-4.423	-0.463	-0.614	0.114	-0.018	-1.388	-1.632	-1.63	-1.978	-3.102	-3.056	0.063	0.1175	0.147	0.075	0.282	-0.022	-1.841	0.128	-0.01	-1.7	-0.778
"YHR049W"	-0.273	-1.584	-2.256	-1.62	-3.623	-4.702	0.354	-1.668	-1.451	0.074	-0.826	-1.17	-1.96	-1.968	-2.952	-2.443	-0.452	0.231	0.912	0.849	-0.988	-0.007	-2.05	0.888	1.044	-1.88	-0.561
"YHR063C"	-0.78	-1.345	-1.469	-2.215	-3.309	-4.42	0.536	-0.927	-0.253	-0.33	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	-0.231	-0.1345	0.121	0.326	0.466	-0.235	-1.701	0.23	0.017	-1.304	-0.857
"YHR064C"	-1.126	-1.668	-1.77	-1.712	-3.329	-5.238	-0.745	-2.559	-0.22	0.189	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.343	-0.0065	0.687	0.664	-0.292	-0.324	-2.056	0.195	0.172	-2.097	-0.834
"YHR065C"	-0.754	-1.573	-1.183	-2.105	-3.857	-4.644	-0.255	-1.01	1.123	0.168	-1.197	-1.073	-1.503	-1.762	-2.801	-2.479	-0.566	-0.2015	0.565	0.695	-1.107	-0.007	-0.852	-0.032	-0.197	-1.67	-1.428
"YHR068W"	-1.125	-2.251	-3.015	-2.166	-4.28	-6.532	-0.652	-2.526	-1.119	-0.048	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.04	-0.0565	0.495	0.663	0.043	-0.048	-2.29	0.084	0.06	-2.467	-1.861
"YHR133C"	-1.051	-1.163	-1.453	-1.561	-1.885	-3.501	0.012	-1.622	-0.998	0.27	-1.072	-1.703	-1.806	-1.64	-1.82	-2.45	0.02	0.1275	0.519	0.295	0.168	-0.059	-0.395	-0.179	-0.077	-0.652	-1.683
"YHR193C"	-0.427	-1.548	-1.341	-1.99	-3.11	-4.166	-0.325	-1.955	-1.2	0.223	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.25	0.2695	0.871	0.844	-0.116	-0.136	-1.764	0.559	0.679	-1.013	-1.572
"YIL021W"	0.037	-0.313	-0.81	-1.022	-1.965	-3.289	-0.007	-0.937	-0.841	0.008	-0.373	-1.198	-1.127	-1.2	-1.693	-1.565	-0.772	0.19	0.706	0.452	-0.089	0.246	-1.047	-0.042	0.075	0.5	-1.142
"YIL039W"	-0.214	-0.673	-1.325	-1.46	-3.668	-4.517	-0.029	-1.3	-0.337	-0.078	-0.319	-1.043	-1.386	-1.646	-2.122	-1.552	-0.363	-0.1685	0.557	0.134	0.384	0.065	-1.385	-0.19	-0.293	-0.821	-2.291
