	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18434.2mM MD 100min"	"21664..24 mM H2O2- 170 minutes/redo"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"
"YBR143C"	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-2.033	-2.231	-2.012	-2.112	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	0.245	-0.025	0.029	-1.699	-1.293	-1.6145	-1.085	-1.415	-0.781	-1.93	-2.1985	-2.2705	-0.593	0.082	0.035	-0.106	0.153	-0.001
"YBR164C"	-0.512	-0.731	-0.462	-1.134	-1.248	-1.637	-2.78	-3.277	-0.715	-0.631	-1.258	-1.624	-0.848	-1.114	-1.4825	-1.3225	-2.355	-1.882	0.024	0.0845	0.0025	-1.384	0.019	-1.161	0.758	-0.024	0.02	-0.481	-0.074	-0.142	-0.517	0.085	-0.02	-0.153	-0.138	-0.093
"YBR181C"	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-3.798	-4.564	-3.3	-3.365	-3.159	1.639	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.2545	0.336	0.2295	-2.337	-1.347	-1.9755	-0.2795	-0.7395	-0.783	-2.1035	-1.475	-1.652	-1.044	0.02	0.216	-0.064	-0.048	0.014
"YBR249C"	-1.844	-0.483	-0.404	-0.479	-0.216	0.351	-3.39	-6.025	-1.662	-1.506	-1.86	-1.223	-0.2215	-1.147	-1.6935	-2.9975	-3.288	-3.9875	0.188	0.165	0.14	-0.835	-2.119	-1.5	-1.609	-1.66	-0.816	-2.428	-2.593	-2.899	-0.374	-0.184	0.171	0.274	0.374	0.305
"YBR283C"	-0.212	-0.173	-0.506	-0.531	-0.816	-1.137	-1.689	-3.351	-1.183	-1.494	-1.617	-1.52	-0.8295	-1.4515	-1.437	-1.68	-1.8725	-2.0585	-0.2425	-0.165	-0.0665	-0.909	-0.57	-0.73	0.626	0.048	0.509	0.9	0.529	-0.461	-0.54	0.436	0.459	0.457	0.406	0.49
"YCR034W"	-2.623	-1.309	-1.032	-0.877	-1.912	-1.771	-3.204	-4.331	-2.664	-2.639	-1.895	-2.489	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-0.05	-0.274	0.2975	-1.8	-0.406	-0.372	-1.277	-1.089	0.075	-0.556	-1.911	-0.387	0.523	-0.075	0.237	0.205	0.233	0.277
"YCR044C"	0.734	0.315	-0.006	-0.084	-1.079	-0.32	-1.836	-2.699	-0.423	-0.808	-0.595	-1.147	-0.3045	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.0085	0.097	-0.177	-0.741	-0.245	-0.243	-0.362	0.521	0.812	0.149	-0.076	0.773	0.413	-0.094	-0.275	-0.183	0.035	-0.005
"YCR053W"	-2.562	-1.828	-2.374	-1.952	-1.707	-1.033	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.272	-0.2715	-0.025	-1.451	0.395	0.019	-0.008	-0.434	-1.068	0.731	-0.926	0.001	0.183	0.2805	0.4365	0.2835	0.321	0.342
"YCR057C"	-5.726	-3.143	-3.143	-2.651	-1.732	-2.636	-3.423	-5.109	-2.464	-2.855	-1.301	-1.536	-1.605	-1.7665	-1.5195	-1.962	-2.812	-2.1505	-0.257	-0.3365	0.0055	-1.771	0.125	-0.007	-0.54	-0.67	-0.83	-0.928	-0.334	0.771	0.962	-0.214666666666667	-0.313	-0.218333333333333	-0.210333333333333	-0.179
"YDL083C"	-3.139	-3.706	-3.045	-3.08	-2.854	-2.909	-3.106	-3.908	-3.133	-3.246	-3.0	-2.921	-1.695	-2.301	-2.71	-2.252	-2.052	-3.014	-0.4095	-0.3085	-0.076	-2.197	-1.47266666666667	-0.807	-0.512666666666667	-1.395	-0.403	-1.53133333333333	-0.473	0.0220000000000001	-0.613	1.094	1.162	0.916	0.809	1.229
"YDL145C"	-1.107	-1.055	-0.538	-0.699	-0.983	-0.273	-1.274	-2.9335	-0.0685	-0.908	-0.552	-0.7575	-0.48	-0.659	-0.7075	-1.115	-1.5045	-1.4735	0.1045	0.004	-0.1375	-1.1885	-0.599333333333333	-0.623666666666667	-0.185333333333333	-0.395333333333333	-0.4185	-0.494333333333333	-0.577	-0.754666666666667	-0.5185	-0.078	-0.422	-0.344	0.132	0.135
"YDL219W"	-1.943	-1.18	-1.038	-1.374	-1.684	-1.34	-3.152	-2.848	-1.832	-1.416	-1.124	-1.699	-1.042	-1.324	-1.54	-1.026	-2.015	-0.521	-0.0175	0.192	-0.106	-1.316	0.2645	-0.396	-0.452	-0.031	-0.2315	-0.645	0.048	0.078	-0.201	0.067	-0.046	-0.166	-0.269	0.183
"YDL225W"	-0.282	-0.501	-0.156	-0.435	-0.872	-1.155	-2.271	-3.558	-0.069	-0.11	-0.621	-0.882	-0.537	-0.981	-1.021	-0.994	-1.953	-1.522	-0.2005	-0.121	-0.057	-0.459	0.3845	0.3045	-0.4205	-0.302	-0.5315	-0.1005	-0.159	-0.0465	-0.243	0.26	0.003	0.097	0.144	0.253
"YDR023W"	-1.814	-2.122	-1.859	-1.347	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.1395	-0.2235	-0.019	-2.091	-0.969	-1.065	-0.5345	0.444	-1.183	-0.5105	-0.4765	-0.456	-0.522	0.154	-0.03	-0.098	0.023	0.043
"YDR024W"	-0.562	-0.866	-1.044	-0.392	-0.165	-1.076	-1.347	-2.531	-0.918	-0.991	-0.483	-1.417	-1.21	-1.6	-1.619	-1.359	-1.971	-1.969	-0.51	-0.415	-0.412	-0.502	0.8495	0.9675	0.156	0.643	0.4525	0.8415	0.667	0.948	-0.229	-1.078	-1.301	-0.883	-0.412	-0.208
"YDR068W"	1.727	1.01	1.445	1.116	1.102	0.903	0.97	-0.888	0.674	0.755	0.267	0.473	0.116	0.034	0.265	0.263	-0.285	-0.119	0.0865	0.036	-0.013	0.176	-0.668	0.5525	-0.8405	0.1925	0.17	-0.1645	-0.808	-0.1705	-0.056	0.173	0.066	-0.081	-0.172	0.089
"YDR071C"	0.37	-0.7	-0.661	-0.825	-1.203	-1.492	-2.459	-4.374	-0.239	-0.204	-0.581	-0.861	-0.648	-0.696	-0.953	-1.937	-3.125	-2.557	0.118	0.175	0.015	-1.47	-0.509	-0.1565	-0.6785	0.106	-0.309	-0.319	-0.508	-1.025	-0.549	0.048	0.011	-0.104	-0.127	-0.266
"YDR098C"	-1.292	-0.427	-0.397	-0.455	-1.205	-0.434	-1.722	-3.797	-1.164	-0.535	-0.94	-1.178	-1.054	-1.53	-1.498	-1.355	-2.09	-2.226	0.165	0.5235	0.063	-1.138	-0.432	-0.3835	-0.87	-0.9405	-0.808	-0.088	-1.2215	-0.1925	0.168	0.039	-0.058	-0.541	-0.288	-0.202
"YDR211W"	-2.225	-1.565	-1.024	-1.573	-0.984	-1.38	-1.706	-4.77	-2.051	-1.869	-1.476	-2.096	-1.299	-1.28	-1.43	-2.119	-2.043	-3.034	0.102	-0.13	0.515	-1.1775	-0.318	-0.408	-0.127	-0.2075	0.1605	0.29	0.485	0.295	-0.1505	0.129	0.181	-0.255	-0.042	0.013
"YDR223W"	1.746	1.828	2.484	2.763	3.652	2.034	2.43	0.407	3.672	2.812	2.866	2.65	3.012	3.874	4.487	3.088	2.15	1.519	-0.145	-0.251	0.264	1.669	-0.1695	0.134	-0.2555	0.64	0.6325	0.4865	0.166	-0.132	0.4955	-0.406	-1.447	0.278	0.163	0.029
"YDR225W"	-0.991	-1.548	-0.458	-1.084	-1.369	-1.946	-1.961	-3.079	-0.952	-1.286	-1.34	-1.559	-0.716	-1.089	-1.464	-0.806	-0.748	-1.186	0.384	0.201	-0.098	-0.9675	-2.208	-0.781	-2.1215	-2.2495	-0.4695	-2.6615	-1.9045	-2.123	-1.392	-1.18	-1.192	-0.397	-0.783	-0.797
"YDR245W"	0.179	-1.6455	-1.349	-1.899	-1.947	-1.19	-1.932	-3.6715	-1.483	-1.5815	-1.5755	-2.319	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-2.201	0.026	-0.15	0.0415	-1.29866666666667	-0.542	-1.24166666666667	-0.332	-0.889666666666667	-0.137333333333333	-1.171	-1.09866666666667	0.366333333333333	0.526	-0.0625	-0.135	-0.2835	-0.1535	-0.154
"YDR277C"	2.397	2.377	2.388	2.097	2.591	2.645	3.712	3.975	3.116	3.287	2.556	2.925	2.291	2.071	2.921	2.764	3.981	3.816	-2.478	-0.314	-0.002	1.765	1.972	0.719	0.718	1.152	0.853	1.807	1.548	-0.693	0.596	-1.291	-1.43	-0.78	-0.876	-0.75
"YDR321W"	-3.554	-2.231	-2.695	0.364	-2.84	-3.04	-3.093	-4.43	-3.362	-3.039	-2.9	-2.71	-2.273	-2.389	-2.828	-2.704	-2.582	-2.75	0.016	0.2	-0.017	-2.035	-0.822	-0.15	-0.767	-0.235	-0.23	-0.458	-0.726	-1.643	-0.42	-0.222	0.256	-0.074	0.132	0.409
"YDR341C"	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-5.262	-2.587	-2.171	-2.134	-2.218	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.215	0.174	0.1	-1.562	-0.986	-0.189	-0.134	0.237	0.204	-1.675	-1.41	-1.293	0.265	0.333	0.264	0.016	0.326	0.644
"YDR385W"	-2.252	-1.858	-1.887	-1.775	-1.783	-1.985	-3.158	-5.463	-2.682	-2.3	-1.065	-2.811	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.035	0.229	-0.147	-1.86	-0.969	-0.842	0.026	-0.5	-0.273	-0.579	-1.632	-0.911	-0.819	0.657	0.584	0.348	0.421	0.566
"YDR418W"	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-3.315	-3.181	-2.797	-2.605	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.21	0.222	0.253	-2.345	-1.587	-2.28	-1.337	-0.824	-0.603	-1.27	-1.335	-1.527	-1.222	0.296	0.404	0.411	0.289	0.218
"YDR447C"	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-3.574	-3.565	-2.813	-3.129	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-0.139	-0.1	0.176	-2.1165	-1.308	-2.449	-0.8435	-0.958	-0.269	-2.6125	-0.931	-1.366	-0.856	-0.21	0.026	-0.219	-0.146	-0.163
"YDR471W"	-3.952	-3.834	-3.394	-2.619	-2.514	-2.857	-3.599	-4.747	-3.144	-2.929	-2.398	-0.312	-2.034	-2.122	-2.633	-0.472	-2.405	-2.908	-0.166	0.145	0.415	-1.7695	-1.00233333333333	-1.83766666666667	-0.679666666666667	-1.34433333333333	-1.45666666666667	-1.376	-1.178	-1.27	0.0355	-0.226	0.009	-0.1	-0.194	-0.098
"YEL040W"	-3.201	-3.812	-3.508	-3.911	-4.238	-3.616	-3.786	-4.551	-2.739	-2.682	-3.347	-3.816	-4.284	-4.461	-3.561	-3.111	-3.855	-3.066	-0.448	-0.363	-0.591	-3.1215	-1.9245	-1.855	-1.358	-1.60225	-1.377	-2.24925	-1.784	-1.46175	-1.0545	0.765	0.702	0.532	0.859	0.712
"YEL051W"	-1.244	-1.426	-0.68	-1.211	-1.113	-1.066	-1.395	-3.143	-0.871	-0.749	-1.269	-1.334	-0.85	-0.911	-0.985	-1.877	-1.866	-2.73	0.111	0.011	-0.169	-1.3115	-0.7	-0.75225	-0.2075	-0.3045	-0.56175	-0.488	-0.5845	-0.6615	-0.1165	0.542	0.487	0.517	0.187	0.073
"YEL054C"	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-2.98	-7.056	-3.039	-3.52	-3.003	-2.232	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.166	0.22	0.091	-2.202	-0.921	-1.5125	-0.8505	-0.40875	-0.7475	-1.65225	-0.97375	-0.85225	-0.54	0.407	1.153	0.419	0.376	0.419
"YER003C"	-2.114	-0.687	0.127	-0.002	-0.405	-0.421	-2.213	-3.453	-1.159	-1.648	-2.174	-1.49	-0.423	-1.14	-1.544	-2.241	-2.079	-1.818	0.062	0.372	0.183	-0.626	-0.138	-0.259	0.42425	0.0470000000000001	-0.58475	-0.00125000000000003	0.12775	0.2295	-0.558	0.312	0.454	0.398	0.273	0.123
"YER006W"	-4.011	-2.738	-2.065	-2.285	-1.487	-2.061	-2.345	-4.571	-1.934	-1.931	-1.673	-1.513	-1.622	-2.01	-1.682	-2.195	-2.03	-3.232	-0.136	-0.345	-0.159	-1.125	-0.9095	-0.628	-0.455	-1.06875	-0.83	-0.833	-0.29325	-0.5815	0.1415	0.668	-0.032	0.03	0.104	-0.168
"YER043C"	-3.945	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.18	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.058	-0.158	-0.103	-1.415	-0.4685	-0.4185	-0.396	-0.0355	-0.174	-0.177	-0.5885	0.368	-0.046	1.229	1.004	1.113	1.138	0.543
"YER086W"	-3.714	-1.791	-1.128	-1.076	-1.236	-1.424	-3.61	-5.173	-2.869	-2.152	-2.311	-2.028	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	-0.12	-0.119	0.09	-0.886	-0.7135	-0.286	0.255	0.229	-0.0515	-0.333	2.133	-0.26	-0.16	0.441	0.546	0.705	0.6	0.589
"YER102W"	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-3.101	-3.625	-3.37	-3.204	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	-0.113	0.154	0.299	-2.388	-1.1825	-1.6615	-0.338	-1.3825	-1.13	-1.329	-1.511	-2.0335	-0.38	0.186	0.253	0.251	0.311	0.678
"YER110C"	-5.799	-1.967	-2.319	-2.157	-1.988	-1.816	-3.498	-3.969	-2.964	-2.885	-1.922	-1.599	-1.633	-2.152	-2.411	-2.787	-4.061	-3.78	-0.193	-0.072	0.239	-1.251	-0.0395	-1.106	0.0065	-0.013	-0.3375	-0.7315	-0.0145	-0.4715	-0.612	-0.002	-0.127	-0.098	0.328	0.211
"YER117W"	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-3.05	-3.141	-2.843	-2.483	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.248	0.265	0.308	-1.876	-1.73	-1.61025	-0.277	-1.559	-0.74175	-1.7845	-1.627	-1.41925	-0.5685	-0.402	-0.127	-0.292	-0.288	-0.232
"YER131W"	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.621	-2.795	-2.905	0.589	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	0.158	0.302	0.487	-2.4735	-1.626	-1.05433333333333	-1.10225	-1.8175	-1.43125	-2.40475	-1.9645	-1.44425	-0.584	0.239	0.558	0.239	-0.01	0.273
"YFL004W"	-0.875	-1.074	-0.267	-0.561	-0.988	-0.32	-1.866	-3.639	-0.234	-0.755	-0.677	-0.945	-0.02	-0.901	-1.486	-1.927	-2.26	-2.284	0.386	0.395	0.083	-0.2735	0.6685	0.0475	-0.313	-0.09025	-0.12675	-0.9885	-0.1225	-0.10825	-0.3215	-0.17	-0.008	-0.14	-0.093	-0.044
"YFL026W"	-0.377	-1.202	-2.179	-2.781	-2.369	-1.269	-3.285	-4.221	-1.463	-1.599	-2.415	0.326	-1.918	-1.354	-1.849	-1.838	-2.007	-2.33	-0.628	-0.171	0.214	-0.9305	-0.499	-1.4045	-0.19275	-0.456	-0.91825	0.49775	0.675	0.451	-0.326	1.045	1.164	1.324	1.307	1.086
"YFL045C"	-2.266	-1.703	-1.447	-1.88	-1.85	-2.231	-2.163	-4.897	-2.591	-2.185	-2.463	-2.891	-1.282	-1.424	-2.201	-1.923	-2.307	-2.378	-0.073	0.157	0.031	-0.93	-1.251	-1.35625	-1.07675	-1.06575	-0.630666666666667	-0.6475	-0.5895	-0.39475	-0.7065	0.757	0.522	1.057	0.855	0.828
"YFR031BC"	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-3.328	-3.949	-3.594	-3.523	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	-0.065	0.092	-0.05	-2.438	-2.611	-1.7855	-1.054	-1.396	-1.6985	-2.3955	-2.1645	-1.889	-0.79	NaN	NaN	NaN	NaN	NaN
"YGL021W"	-0.962	-1.135	-0.58	-1.292	-2.697	-1.335	-2.714	-5.572	-0.617	-0.183	-1.086	-2.056	-1.041	-1.254	-2.515	-2.192	-3.105	-2.246	-0.195	-0.238	0.296	-1.476	-0.729666666666667	-0.67	-0.0756666666666667	0.15	0.726	-0.720333333333333	0.260666666666667	0.154	0.617	0.36	-0.062	-0.184	0.645	0.177
"YGL031C"	-3.366	-4.285	-3.732	-2.9	-1.846	-3.104	-3.683	-5.763	-3.041	-2.881	-3.063	-2.704	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	0.23	0.117	0.114	-2.655	-1.7085	-1.5165	-0.7065	-1.451	-1.669	-1.9775	-1.7695	-1.4745	-0.85	0.167	0.6	0.34	0.672	0.608
"YGL076C"	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-3.32	-2.996	-2.857	-1.957	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	-0.018	0.068	-0.016	-1.8735	-1.65966666666667	-1.7195	-1.04966666666667	-1.15	-1.555	-1.43425	-1.37866666666667	-2.27433333333333	-0.1865	0.507	0.478	0.563	0.316	0.406
"YGL099W"	-3.43	-2.011	-2.123	-1.774	-2.004	-2.335	-2.895	-5.764	-2.454	-1.59	-1.291	-1.425	-1.738	-1.805	-1.984	-2.516	-3.273	-3.42	0.188	-0.31	0.157	-2.114	-1.366	-1.0975	1.14666666666667	-0.155	-1.13966666666667	-0.982333333333333	-0.293	-0.475666666666667	-0.097	0.3	0.381	0.484	0.098	0.274
"YGL120C"	-4.557	-3.087	-2.692	-1.947	-2.077	-2.282	-4.088	-5.111	-3.171	-3.229	-1.739	-2.813	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-0.136	-0.349	0.0	-2.122	-2.046	-2.171	-0.13	-1.677	-1.159	-1.388	-1.757	-1.097	-0.005	-0.205	-0.225	-0.15	-0.078	-0.216
"YGL123W"	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-4.112	-3.654	-3.701	-3.959	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.225	0.42	0.027	-2.357	-2.2445	-2.4195	-0.519	-1.198	-0.354333333333333	-1.59466666666667	-1.7885	-1.60366666666667	-0.835	-0.12	0.054	0.274	0.173	0.214
"YGL147C"	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-3.0	-3.753	-3.466	-3.166	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.094	-0.229	0.326	-2.532	-1.48766666666667	-2.29233333333333	-0.484666666666667	-0.847	-1.67033333333333	-2.272	-2.204	-2.02933333333333	-0.615	-0.407	-0.123	-0.089	-0.1475	-0.072
"YGL148W"	-3.561	-2.137	-1.719	-1.873	-1.574	-2.182	-2.826	-3.915	-2.983	-2.53	-2.64	-1.768	-1.926	-2.049	-2.327	-1.666	-1.996	2.781	0.078	0.054	0.038	-2.275	0.303	-0.714666666666667	1.15133333333333	1.07166666666667	-0.0576666666666667	0.93	-0.498333333333333	1.01833333333333	0.042	-0.215	-0.315	-0.245	-0.363	-0.437
"YGL201C"	-1.127	-0.534	-0.722	-0.803	0.666	-0.426	-0.914	-2.46	2.014	-0.599	0.238	-1.299	-0.608	-0.593	-0.683	-0.833	-0.894	-1.548	-0.114	-0.108	-0.174	-0.088	0.299	0.4595	0.397	0.0775	-0.149	0.281	0.7025	-0.0625	0.036	0.085	-0.566	-0.564	0.01	0.066
"YGL202W"	-0.928	-0.343	-0.79	-0.668	-1.935	-1.435	-3.334	-4.405	-1.664	-1.938	-2.233	-1.883	-0.475	-1.963	-2.379	-2.119	-2.237	-2.614	0.218	0.425	0.433	-2.572	0.4305	-0.071	0.3165	-0.725	-0.741	0.4785	-0.3785	-0.562	-0.049	0.675	0.528	0.833	0.898	0.635
"YGL232W"	-0.272	-0.432	-0.207	-0.348	-0.412	-1.617	-2.079	-2.628	-0.067	-0.242	-0.3	-0.56	-0.845	-1.042	-1.033	-1.825	-1.906	-2.353	0.036	0.09	-0.39	-0.912	-0.265	-0.313	-0.5175	-0.4045	-0.2135	-0.359	-0.037	-0.064	0.638	-0.054	-0.2	-0.09	-0.435	-0.048
"YGL238W"	-1.068	-1.334	-0.793	-1.08	-0.967	-1.048	-1.585	-4.337	-1.52	-1.275	-1.39	-1.824	-1.294	-1.238	-1.24	-1.654	-1.937	-2.674	-0.077	-0.12	0.04	-0.873	-0.44	-0.223666666666667	-1.428	-0.293666666666667	-0.672	-0.592666666666667	-0.880333333333333	0.0975	-0.456	0.047	-0.144	-0.451	0.109	0.106
"YGL245W"	-1.773	-0.806	-1.565	-1.579	-1.475	-2.145	-4.799	-6.655	-1.774	-1.33	-1.699	-2.088	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.167	0.044	-0.194	-1.658	-0.77	-0.602666666666667	-0.476	0.555333333333333	-0.611333333333333	-0.327	-0.719666666666667	-0.135666666666667	-0.222	0.98	0.724	0.194	0.078	0.224
