	"297.Kb vs. Ctrl"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"979.wt_plus_gamma_30_min"	"980.wt_plus_gamma_45_min"	"981.wt_plus_gamma_60_min"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1251.mec1_plus_gamma_20_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"1257.mec1_plus_gamma_120_min"	"6344.DES460 + 0.02% MMS - 5 min"	"11466.yO1 test hyb"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33779.delYPL230w_stationary_phase_5hours"
"YGR183C"	0.787	1.39	-0.555	2.516	2.937	3.093	2.609	1.742	3.487	3.414	2.347	1.266	1.583	1.511	1.834	-0.123	0.052	0.402	0.08	0.687	2.594	2.333	1.945	2.742	3.301	3.204	2.341	0.327	0.115	-0.012	-0.08	0.114	0.103	-0.015	1.505	1.655	1.484	3.056	2.247
"YGR229C"	-0.006	-0.267	0.636	-0.832	-0.57	-0.382	-0.754	-1.164	-0.943	-2.847	-4.256	-1.104	-1.1	-1.987	-1.316	0.153	0.23	0.579	-0.188	0.256	-1.823	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	0.385	0.401	0.183	0.105	0.017	-0.072	-0.2585	-1.347	-1.148	-1.043	-1.013	-0.089
"YGR264C"	0.167	-1.489	0.85	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-3.49	-0.645	-0.626	-0.864	-0.537	-0.749	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-0.485	-0.043	-0.304	0.047	-0.416	-0.903	-0.026	-2.468	-2.271	-1.973	-2.307	-3.33
"YHR068W"	-0.203	-1.125	0.941	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-0.676	-0.564	-0.881	-0.494	-0.598	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-0.361	-0.081	-0.146	0.036	-0.205	-0.194	-0.0565	-2.29	-2.248	-2.194	-2.769	-2.406
"YHR208W"	-0.389	-1.326	0.831	-3.191	-1.767	-1.529	-1.413	-1.397	-1.898	-3.12	-4.064	-2.446	-2.137	-1.934	-1.898	-0.924	-0.586	-0.75	-0.016	-0.37	-2.228	-1.185	-1.232	-1.339	-2.263	-2.683	-2.939	0.073	0.387	-0.25	-0.12	-0.392	-0.279	0.044	-1.267	-2.423	-2.871	-2.838	-3.596
"YIL018W"	-0.462	-1.109	1.177	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-3.362	-3.505	-3.056	-3.151	-1.025	-0.493	-0.722	-0.084	-0.182	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.537	-0.584	-0.331	-0.161	0.029	-0.182	0.074	-2.495	-1.554	-1.838	-2.126	-4.06
"YIL052C"	-0.286	-0.87	0.998	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-2.82	-2.793	-2.559	-2.622	-0.819	-0.543	-0.098	-0.4	-0.261	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-0.521	-0.222	-0.274	-0.04	0.063	0.332	0.236	-1.743	-2.098	-1.465	-1.774	-2.821
"YIL078W"	0.202	-1.288	0.771	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-0.509	-0.482	-0.609	-0.551	-0.52	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.278	0.024	-0.114	0.203	-0.128	-0.267	0.1345	-2.348	-2.032	-1.748	-2.266	-1.996
"YJL102W"	-0.012	1.107	-0.893	2.492	2.984	3.449	2.087	2.331	2.098	1.633	1.726	1.293	1.691	1.226	-0.324	0.171	0.301	0.298	0.325	0.348	2.264	1.631	1.06	1.082	1.106	1.627	1.54	-0.012	-0.18	-0.405	0.054	0.278	0.339	-0.0615	-0.042	-0.7315	-0.9035	-0.717	1.815
"YJR155W"	-0.329	0.926	-0.545	2.018	1.913	1.985	1.927	2.816	2.757	4.25	1.909	0.962	1.689	1.485	0.592	0.348	0.492	0.102	0.094	0.178	1.807	1.913	3.029	3.8	3.105	4.435	2.971	0.093	0.193	-0.157	-0.035	0.111	0.077	0.229	2.418	1.666	1.852	1.228	3.253
"YLL044W"	-0.073	-1.193	1.115	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-3.313	-3.031	-3.269	-2.156	-1.047	-0.658	-0.71	0.119	-0.208	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.547	-0.069	-0.531	-0.231	-0.165	0.198	0.136	-2.227	-2.068	-1.296	-1.624	-3.806
"YLR061W"	-0.246	-1.105	1.127	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-3.239	-3.818	-3.021	-3.058	-0.693	-0.879	-0.702	-0.114	-0.067	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.439	-0.386	-0.219	0.245	-0.057	0.059	0.465	-2.482	-2.455	-2.442	-1.358	-4.004
"YLR175W"	-0.123	-1.501	1.304	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	-3.996	-3.068	-3.13	-3.152	-0.38	0.051	-0.253	-0.32	-0.454	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	-0.58	0.148	-0.081	-0.055	-0.222	-0.182	-0.038	-2.422	-4.349	-4.036	-3.935	-4.338
"YLR195C"	0.442	-0.357	0.42	-0.917	-0.536	-0.474	-0.942	-1.298	-1.786	-3.103	-2.38	-1.553	-0.876	-1.244	-1.689	-0.219	0.04	-0.282	-0.241	-0.277	-1.285	-0.778	-0.97	-1.176	-2.67	-2.925	-2.939	-0.006	0.363	-0.151	-0.004	0.015	-0.171	0.066	-0.53	-1.405	-1.655	-1.209	-1.102
"YLR284C"	-0.499	0.348	-0.371	2.165	1.552	1.89	2.032	2.135	1.098	3.911	0.139	1.97	1.349	1.784	1.576	0.369	0.403	0.252	0.09	0.363	2.34	1.843	1.043	0.845	4.004	2.72	2.015	0.428	0.009	0.095	0.15	0.247	0.156	NaN	1.111	2.444	0.919	1.393	1.702
"YLR372W"	-0.475	-0.988	1.022	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.512	-3.069	-2.683	-2.643	2.656	-0.462	-0.347	-0.668	-0.164	-0.342	-4.078	-2.106	-2.838	-3.773	-2.844	-3.456	-3.544	-0.685	-0.546	-0.267	0.071	-0.092	-0.277	-0.066	-2.188	-2.724	-2.645	-3.321	-3.936
"YML026C"	-0.256	-0.867	0.972	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-5.271	-3.779	-3.636	-3.131	-3.217	-1.072	-0.69	-0.267	-0.468	-0.345	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	-0.337	-0.184	0.014	0.154	0.161	0.258	0.137	-1.928	-1.38	-1.795	-2.033	-4.595
"YML073C"	-0.091	-0.935	1.148	0.912	-3.01	-3.061	-2.182	-1.884	-2.135	-3.862	-6.033	-3.5	-3.371	-3.087	-2.501	-0.742	-0.55	-0.054	0.003	-0.209	-4.919	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	-0.299	-0.168	0.167	0.425	0.347	0.306	-0.28	-1.975	-1.508	-1.352	-1.388	-3.765
"YMR116C"	-0.57	-1.829	1.09	-3.012	-3.687	-4.292	-3.142	-3.089	-3.798	-4.551	-6.865	-2.937	-3.905	-3.535	-3.312	-1.092	-0.528	-0.773	-0.094	0.24	-3.586	-2.408	-2.851	-2.888	-2.906	-3.561	-4.003	-1.199	-1.022	-0.663	-0.217	-0.324	0.007	0.293	-2.539	-1.735	-1.857	-2.397	-3.169
"YMR131C"	0.161	-1.212	0.906	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.547	-2.98	1.316	-3.081	-0.543	-0.184	-0.073	-0.206	-0.432	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	0.367	0.685	0.241	0.523	0.058	-0.167	-0.17	-1.789	-2.424	-2.153	-2.254	-4.181
"YMR217W"	0.058	-1.12	1.158	-5.293	-3.056	-3.049	-2.634	-2.518	-3.785	-4.735	-5.29	-3.48	-2.869	-2.622	-2.591	-0.686	-0.288	-0.201	0.261	-0.202	-4.287	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	-0.803	-0.172	-0.071	0.14	-0.045	-0.097	-0.132	-2.4545	-3.375	-3.165	-3.375	-4.222
"YMR242C"	-0.037	-1.39	1.333	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-3.832	-4.338	-3.636	-3.62	-0.91	-0.595	-0.638	-0.161	-0.178	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-0.634	-0.463	-0.32	0.265	0.006	0.134	0.19	-2.4615	-1.91	-1.653	-2.005	-4.607
"YNL132W"	0.334	-0.762	0.683	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-2.512	-0.446	-0.134	-0.246	-0.026	-0.689	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.389	0.448	0.121	0.212	0.115	-0.092	-0.156	-1.281	-1.711	-2.293	-1.116	-3.989
"YNL178W"	-0.172	-0.979	1.102	-4.244	-3.755	-3.785	-3.505	-1.857	-3.159	-4.338	-6.62	-3.239	-3.307	-3.272	-3.183	-1.14	-0.661	-0.783	-0.333	-0.288	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	-0.778	-0.324	-0.115	0.066	0.125	0.268	0.117	-2.479	-2.364	-1.472	-2.901	-2.548
"YNL248C"	0.26	-1.052	1.227	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.866	-3.014	-1.941	-3.947	-0.854	-0.565	-0.257	-0.263	-0.709	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	-0.17	0.589	0.104	0.188	0.043	-0.091	0.027	-2.53	-2.132	-2.131	-1.762	-6.193
"YNL308C"	0.026	-0.848	0.756	-4.351	-2.623	-2.15	-2.256	-1.607	-1.693	-1.227	-2.686	-2.614	-2.202	-1.792	-1.906	0.187	0.276	0.097	-0.015	-0.252	-3.207	-1.872	-1.62	-2.065	-2.036	-2.775	-2.852	0.244	0.677	-0.017	0.002	-0.444	-0.159	-0.256	-1.38	-2.027	-2.17	-2.173	-3.307
"YNL313C"	0.227	-1.115	0.673	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-3.129	-2.948	-1.668	-1.914	-0.317	0.097	-0.179	0.097	-0.267	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	0.506	0.663	0.147	-0.035	0.033	-0.188	-0.1	-1.051	-1.141	-1.014	-1.746	-3.85
"YOR001W"	-0.119	-0.608	0.804	-0.0135000000000001	-0.4975	-1.241	-0.804	-0.602	0.475	-1.861	-4.782	-0.814	-1.537	0.7055	-1.9675	-0.028	0.164	-0.115	0.058	-0.128	-1.783	-1.107	-1.027	-1.018	-1.551	-2.081	-2.136	-0.444	0.279	0.14	0.234	-0.057	-0.376	-0.136	-0.616	-1.539	-0.239	-1.808	-1.64
"YOR164C"	0.145	-0.251	0.294	-0.523	-0.4595	-0.137	-0.568	-0.779	-0.894	-2.555	-4.0095	-0.8525	-0.972	-1.1575	0.5865	-0.444	-0.41	-0.507	-0.127	-0.54	-0.15	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	0.091	0.032	0.339	0.203	0.187	0.029	0.001	-0.949	-0.86	-1.284	-1.593	-0.256
"YOR207C"	-0.409	-0.848	0.446	-4.0855	-1.0065	-1.41	-1.2535	-0.549	-0.833	-0.93	-9.516	-2.939	-2.781	-1.55	-1.8585	-0.082	-0.433	0.341	0.323	-0.319	-2.59	-1.41	-1.254	-1.542	-0.757	-0.982	-1.766	-0.183	0.125	0.117	0.428	-0.144	-0.642	0.451	-0.479	-0.805	-0.542	-1.022	-1.56
"YOR243C"	0.394	-0.887	1.139	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-2.588	-2.1815	-1.6325	-2.414	-0.423	-0.311	-0.179	0.097	-0.282	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	-0.436	0.313	-0.06	0.066	-0.065	-0.282	-0.109	-1.712	-3.47	-3.174	-2.665	-2.825
"YOR272W"	0.353	-0.572	1.356	-4.8145	-2.3895	-2.6015	-1.5575	-1.682	-1.968	-3.353	-4.712	-3.033	-2.763	-1.779	-1.376	-0.552	-0.406	0.241	-0.244	-0.337	-3.311	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	0.596	0.794	0.409	0.556	0.226	0.108	-0.615	-1.264	-3.316	-3.358	-3.168	-3.502
"YOR293W"	-0.269	-1.549	0.782	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.496	-3.442	-3.1085	-3.0195	-2.64	-0.863	-0.613	-0.514	-0.301	-0.356	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	0.222	-0.408	-0.181	0.102	0.327	0.251	0.191	-1.85	-2.084	-1.687	-1.647	-3.853
"YOR312C"	0.049	-0.553	1.167	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.99	-3.177	-3.0	-2.5975	-0.674	-0.564	-0.242	0.043	0.251	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	-0.041	-0.152	0.183	0.533	0.435	0.442	0.097	-1.883	-1.896	-1.884	-1.656	-4.531
"YOR369C"	-0.309	-1.178	1.207	-3.6225	-4.255	-3.641	-2.7865	-2.805	-3.7395	-3.724	-6.5475	-3.0405	-3.6415	-3.752	-3.809	-1.05	-0.602	-0.779	-0.425	-0.195	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	-0.809	-0.479	-0.133	-0.02	0.072	0.162	0.27	-2.309	-2.411	-2.056	-3.073	-3.032
"YPL050C"	0.208	-0.237	0.423	-1.673	-1.242	-0.8915	-1.0575	-1.3725	-1.293	-2.2165	-4.275	-1.6985	-1.5115	-1.9345	4.011	-0.366	-0.242	-0.004	-0.496	-0.745	-1.498	-1.232	-1.195	-1.188	-1.143	-1.8	-1.614	0.25	0.299	0.314	0.022	0.19	0.196	0.089	-0.945	-1.132	-0.985	-1.113	-2.003
"YPL079W"	-0.306	-1.022	1.126	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-3.112	-1.097	-0.824	-0.431	-0.393	0.142	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.389	-0.359	-0.327	0.26	-0.185	0.199	0.143	-1.673	-0.914	-1.505	-1.34	-3.573
"YPL081W"	-0.3	-0.796	0.779	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-6.801	-2.5355	-2.916	-2.428	-2.3315	-0.444	-0.604	-0.125	-0.306	0.019	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-0.049	-0.091	-0.034	0.404	-0.163	0.333	0.171	-1.844	-1.297	-1.616	-1.991	-3.939
"YPL090C"	-0.046	-1.0	0.871	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-3.398	-3.223	-3.3795	-3.2385	0.347	-0.613	-0.3	-0.319	-0.564	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.139	-0.193	0.121	0.556	0.391	0.333	-0.062	-2.061	-1.549	-1.897	-1.742	-4.101
"YPL142C"	-0.214	-0.787	1.2695	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.825	-3.3035	-2.8235	-2.16	-0.641	-0.413	-0.029	-0.038	0.304	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	-0.09	0.008	0.296	0.518	0.477	0.527	0.304	-2.011	-2.008	-1.318	-1.85	-3.677
"YPL147W"	-0.209	1.0	-0.977	2.51633333333333	2.51233333333333	3.635	3.046	3.802	3.194	5.74466666666667	5.18233333333333	2.73866666666667	2.89133333333333	2.694	2.44766666666667	0.265	0.081	0.29	-0.196	-0.0845	2.811	2.8035	2.074	2.4785	4.8195	4.6645	4.599	-0.104	-0.131	-0.4595	-0.1	-0.2455	-0.1325	-0.05	2.8235	1.559	2.987	2.248	1.753
"YPR044C"	-0.211	-0.976	0.928	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.15066666666667	-2.388	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	-2.81333333333333	-0.696	-0.5225	-0.1735	-0.1345	-0.1385	-3.0915	-1.926	-2.14	-2.1115	-1.2955	-1.702	-1.9615	-0.2425	-0.102	-0.023	0.1375	0.1415	0.36	0.1355	-2.074	-1.543	-1.509	-1.406	-2.862
"YPR060C"	-0.088	-0.882	0.5105	-3.5465	-3.094	-2.8645	-3.075	-3.446	-3.377	-2.069	-3.801	-1.7345	-1.7935	-1.8045	-2.859	-0.297	-0.174	-0.366	-0.748	-0.825	-2.71	-2.301	-1.98	-2.627	-2.107	-3.352	-2.894	0.069	0.223	-0.032	0.209	-0.21	-0.092	0.102	-2.467	-1.932	-1.911	-2.332	-2.784
"YPR102C"	-0.074	-1.197	1.2	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-3.673	-3.277	-0.672	-0.564	-0.511	-0.452	-0.063	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	-0.441	-0.473	0.018	0.309	0.074	0.141	0.435	-2.384	-1.817	-1.601	-2.033	-4.015
"YPR145W"	-0.033	-1.036	0.9065	-3.263	-1.5905	-1.524	-1.9485	-2.5015	-0.508	-3.737	-5.02	-0.8115	-0.8305	-1.2765	-0.775	-0.11	-0.042	-0.162	-0.525	-0.922	-2.229	-1.892	-2.228	-2.21	-3.369	-3.625	-3.498	0.313	0.292	-0.192	-0.204	-0.16	-0.276	0.072	-2.303	-3.472	-3.473	-3.152	-3.779
