	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8234.dtt 240 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"33779.delYPL230w_stationary_phase_5hours"
"YDL204W"	5.01	5.128	3.772	3.877	4.936	4.887	3.701	4.204	5.851	3.859	1.908	1.623	2.302	3.068	1.978	0.739	0.748	0.411	0.793	5.38	0.558	1.001	0.78	1.285	1.427	2.083	3.647	2.333	3.582	1.588	3.467	5.29	4.309	3.58	4.036	5.864
"YDR087C"	-3.126	-4.143	-1.477	-2.758	-3.643	-3.468	-2.287	-2.337	-4.139	-2.758	-1.178	-0.623	-1.394	-1.122	-0.868	0.597	0.158	0.565	0.383	-4.13	0.011	0.047	0.196	-0.149	0.058	-0.894	-1.552	-0.9	-1.728	-0.48	-0.235	-2.177	-2.326	-1.631	-1.654	-3.396
"YDR101C"	-3.513	-3.404	-1.887	-3.0	-3.74	-3.659	-2.603	-2.204	-4.306	-2.997	-0.408	-0.26	-1.446	-2.224	-1.291	-0.079	0.113	0.039	-0.231	-3.253	0.167	-0.503	-0.308	0.166	0.016	-2.313	-2.638	-2.302	-2.703	-1.391	-2.51	-2.283	-2.391	-2.526	-2.423	-3.048
"YDR171W"	6.083	5.56	3.369	5.126	6.153	6.24	4.969	3.606	5.287	2.742	2.484	2.594	3.323	3.81	1.778	1.295	1.215	0.923	1.239	5.398	0.703	0.6615	0.7975	0.665	0.2335	3.812	4.059	3.831	4.1315	2.748	3.636	3.7045	4.2405	4.457	3.991	4.639
"YDR184C"	-3.745	-3.004	-1.647	-2.64	-3.408	-2.671	-2.056	-1.547	-3.504	-1.291	0.031	0.395	-0.818	-0.843	-1.159	0.281	0.187	0.323	0.05	-3.644	0.04	-0.058	-0.0835	0.1955	-0.1125	-2.2845	-2.3745	-2.525	-2.677	-1.4855	-2.1205	-1.8805	-1.369	-1.7455	-1.4265	-3.208
"YGL029W"	-4.276	-3.685	-2.188	-2.755	-4.337	-3.57	-3.043	-2.603	-3.653	-2.591	-1.375	-1.07	-1.875	-2.004	-2.608	-0.004	0.128	0.118	0.154	-3.874	0.234	-0.367	-0.536	-0.672	-0.583	-2.146	-2.307	-2.689	-2.615	-1.315	-2.028	-2.743	-2.568	-2.408	-2.714	-3.548
"YGL078C"	-4.33	-3.709	-1.968	-3.238	-4.399	-3.428	-2.908	-2.465	-4.866	-2.562	-1.266	-1.65	-1.965	-2.33	-1.775	-0.176	0.13	-0.033	-0.177	-4.147	-0.019	-0.666	-0.591	0.235	0.154	-2.29	-2.646	-2.367	-3.155	-1.739	-1.822	-2.412	-1.981	-2.624	-2.185	-3.576
"YGR043C"	5.04	5.049	4.045	2.61	5.232	4.833	2.615	3.773	5.679	2.993	1.103	1.133	1.385	1.588	2.619	0.361	0.435	0.551	0.49	5.961	-0.088	-0.321	0.377	0.169	0.467	3.806	4.694	4.377	4.705	2.476	3.152	4.843	4.573	3.904	3.572	6.098
"YGR103W"	-4.795	-5.229	-3.278	-4.485	-5.118	-3.624	-3.378	-3.985	-4.825	-2.869	-2.083	-2.322	-2.563	-2.583	-2.287	0.068	0.46	0.298	0.176	-5.075	-0.224	-0.706	-0.843	-0.376	-0.248	-1.783	-3.531	-2.144	-3.733	-1.172	-1.25	-3.338	-2.813	-3.487	-3.212	-4.287
"YGR194C"	3.229	2.5445	1.3745	2.0745	2.773	2.7325	1.892	1.643	4.003	2.469	0.013	0.256	0.45	0.86	0.93	0.306	0.311	0.103	0.448	3.219	0.128	-0.002	0.515	0.671	0.075	1.414	1.793	1.835	1.848	1.1	1.394	2.398	2.295	1.954	2.186	4.12
"YGR200C"	-2.517	-2.347	-0.997	-2.0035	-2.659	-2.1245	-2.119	-2.036	-3.964	-2.069	-0.75	-0.395	-1.366	-1.508	-0.897	-0.259	-0.105	-0.143	-0.042	-2.24	-0.069	-0.963	-0.275	-0.118	-0.209	-1.926	-1.817	-1.337	-1.948	-1.246	-1.613	-1.278	-1.265	-1.256	-1.206	-2.289
"YGR248W"	6.0655	5.962	4.6435	5.4885	6.052	5.5355	4.562	4.584	5.321	3.331	1.535	1.453	2.141	3.308	1.281	-0.329	-0.514	-0.538	-0.48	7.005	0.941	1.336	1.309	1.535	1.46	3.643	4.063	3.786	4.364	3.817	4.078	5.148	4.241	3.191	3.907	6.811
"YHR140W"	2.763	2.129	2.7715	2.249	2.5795	2.139	0.231	1.512	3.244	1.016	1.137	0.827	1.34	1.699	0.554	-0.472	-0.571	-0.073	-0.076	3.218	0.444	0.41	0.896	0.116	0.416	1.265	2.054	1.409	2.162	0.782	0.653	2.311	2.463	2.866	3.685	3.676
"YHR169W"	-3.982	-3.384	-1.629	-2.497	-3.146	-2.919	-2.447	-2.003	-4.241	-1.793	-0.536	-0.121	-1.147	-1.817	-0.963	-0.036	0.024	0.12	-0.093	-3.6155	-0.099	-0.458	-0.538	-0.567	-0.538	-2.161	-2.467	-2.641	-2.68	-2.004	-2.588	-2.299	-1.845	-2.046	-1.6	-2.087
"YJL161W"	3.34	3.0215	1.284	2.924	2.9465	2.6305	2.506	2.738	4.563	2.695	0.703	0.567	1.42	1.765	1.854	-0.183	0.38	0.235	0.239	3.716	0.797	1.302	0.843	1.254	1.053	1.293	3.069	1.958	2.959	2.167	2.006	1.595	3.742	2.787	2.882	4.871
"YJR063W"	-2.675	-2.1255	-1.323	-2.576	-2.555	-2.2705	-1.453	-1.153	-3.233	-2.039	0.199	-0.132	-0.514	-0.533	-1.182	-0.022	-0.192	0.177	0.079	-3.415	0.098	0.18	-0.02	0.196	0.201	-1.47	-1.753	-1.789	-1.665	-0.98	-1.824	-2.148	-1.687	-1.705	-1.471	-2.958
"YJR073C"	1.2565	2.4985	1.956	2.6115	3.1755	2.9115	2.237	2.761	3.353	-0.231	0.627	0.572	0.779	0.498	1.507	0.432	0.322	0.2	0.356	1.949	0.466	0.294	-0.058	0.502	0.404	1.006	2.429	0.681	2.31	0.241	0.063	1.94	2.237	2.204	2.752	2.375
"YJR096W"	3.153	3.311	1.34	3.07	3.2195	3.4165	2.648	2.827	5.037	2.856	1.09	1.075	1.931	2.208	1.503	0.734	0.664	0.613	0.561	3.707	-0.002	0.182	0.612	1.107	1.231	1.443	2.467	1.545	2.535	1.129	1.466	3.394	2.197	1.08	0.896	3.463
"YKL009W"	-1.833	-3.58	-2.2705	-3.253	-4.1895	-4.13	-2.089	-1.69	-5.997	-3.014	-1.03	-1.007	-1.509	-2.08	-1.783	0.637	0.464	0.62	0.364	-4.4285	0.229	-0.663	-0.286	0.039	0.082	-2.068	-3.064	-2.401	-2.756	-1.702	-2.015	-2.988	-2.346	-3.411	-2.954	-4.823
"YKL091C"	4.009	3.851	2.35	2.683	3.567	3.623	2.351	2.383	5.27	2.75	0.618	0.291	1.135	1.905	0.892	0.487	0.4	0.547	0.567	3.699	0.877	0.73	0.906	1.309	0.853	2.098	2.411	2.025	2.836	1.68	2.41	2.549	3.123	3.564	3.452	4.146
"YKL099C"	-4.464	-3.88	-1.863	-2.796	-3.564	-3.037	-2.672	-2.33	-4.145	-2.489	-1.064	-1.018	-1.379	-1.462	-1.348	0.581	0.541	0.829	0.496	-3.926	0.026	-0.274	-0.248	0.041	-0.092	-1.553	-2.49	-2.151	-2.457	-1.111	-1.786	-2.241	-2.269	-2.646	-2.556	-3.486
"YKR024C"	-3.382	-3.489	-1.214	-2.212	-3.285	-2.848	-2.842	-2.27	-4.227	-2.358	-0.591	0.326	-1.438	-1.387	-1.06	0.164	-0.03	0.129	0.027	-3.49	-0.12	-0.517	-0.58	0.156	-0.157	-2.248	-1.997	-2.177	-2.155	-1.04	-2.312	-2.167	-1.386	-1.781	-1.463	-2.389
"YKR060W"	-2.755	-2.43	-1.475	-1.512	-2.593	-2.337	-1.758	-1.31	-3.243	-1.826	-0.129	-0.34	-0.936	-1.276	-1.309	0.415	0.338	0.354	0.289	-2.833	-0.102	-0.385	0.143	-0.056	-0.012	-1.303	-1.445	-0.887	-1.345	-0.499	-0.918	-2.018	-1.346	-1.622	-1.627	-2.055
"YLL008W"	-4.973	-4.981	-1.744	-3.751	-4.808	-4.019	-3.718	-3.309	-5.659	-3.126	-0.94	-0.367	-1.584	-1.752	-1.714	0.238	0.101	0.158	0.17	-4.642	-0.015	0.271	-0.386	-0.389	-0.351	-1.38	-2.679	-2.135	-3.343	-1.163	-2.053	-3.401	-2.672	-3.707	-2.763	-3.042
"YLR009W"	-4.735	-4.564	-1.981	-2.897	-4.204	-3.864	-2.25	-2.132	-4.675	-2.78	-0.8	-0.306	-1.218	-1.049	-1.555	0.143	0.159	0.256	0.043	-4.344	0.322	0.257	-0.385	0.315	-0.081	-2.528	-2.856	-2.352	-2.849	-1.508	-2.119	-2.61	-3.247	-2.788	-2.344	-3.361
"YLR178C"	6.029	5.987	4.932	5.265	6.066	5.98	4.583	3.987	5.949	3.949	1.283	1.482	2.254	2.719	2.276	0.928	0.763	0.831	0.788	6.29	0.242	0.495	0.387	0.614	0.578	3.054	4.616	3.16	4.484	2.849	3.063	4.856	NaN	6.734	2.862	5.3
"YLR198C"	-4.57	-4.694	-2.132	-3.371	-4.643	-4.805	-1.942	-2.411	-5.143	-3.057	-1.551	-1.326	-1.193	-1.249	-1.66	0.459	0.442	0.529	0.457	-4.143	-0.291	-0.574	-0.541	0.642	-0.324	-1.828	-2.99	-1.933	-3.258	-1.012	-0.803	-2.61	-3.295	-2.296	-2.75	-3.761
"YLR221C"	-3.146	-2.286	NaN	-2.172	-2.998	-2.528	-2.179	-1.971	-2.998	-1.622	-1.061	-0.935	-1.464	-1.55	-1.559	0.135	0.239	0.225	0.093	-3.231	0.201	-0.211	-0.395	-0.117	-0.462	-1.642	-1.987	-1.412	-1.88	-0.684	-1.246	-1.972	-2.299	-2.384	-2.051	-3.361
"YLR251W"	3.829	3.611	1.665	2.862	3.682	3.696	1.8	1.474	3.169	2.154	0.299	0.354	0.712	0.973	1.508	0.339	0.147	0.094	0.369	4.136	0.171	1.082	0.964	1.14	0.93	2.672	3.255	2.948	3.449	2.357	2.886	4.012	2.741	2.182	1.972	2.615
"YLR252W"	3.483	2.704	1.238	2.656	3.133	3.23	2.042	2.041	2.929	1.905	0.086	-0.053	0.906	0.953	1.124	-0.022	0.139	0.028	0.072	3.837	0.354	0.879	0.722	1.129	0.954	2.461	3.244	2.696	2.994	2.971	2.948	4.12	2.993	2.889	1.971	3.058
"YLR356W"	2.487	1.967	2.031	1.848	2.234	2.179	1.802	1.761	4.015	1.522	0.511	0.518	1.069	1.385	1.604	0.623	0.432	0.664	0.775	2.688	0.285	0.352	0.023	0.397	0.139	0.887	2.34	0.753	2.031	1.398	0.762	1.547	3.011	0.93	2.27	3.571
"YLR435W"	-2.95	-2.628	-1.607	-2.012	-2.917	-2.415	-1.935	-1.756	-4.216	-1.636	-0.452	-0.578	-1.062	-1.032	-1.591	0.342	0.35	0.423	0.269	-3.297	0.023	-0.17	-0.453	0.215	-0.118	-1.721	-1.63	-1.722	-1.86	-0.747	-1.302	-1.628	-1.873	-2.285	-2.143	-4.563
"YLR449W"	-3.266	-2.903	-1.724	-3.009	-3.738	-3.97	-2.105	-2.712	-6.206	-3.248	-1.002	-1.185	-1.287	-0.986	-2.041	0.231	0.094	-0.002	-0.062	-4.241	0.062	-0.652	-0.265	0.009	-0.012	-1.28	-2.205	-1.303	-1.937	-0.737	-1.674	-2.384	-2.546	-2.406	-2.76	-4.694
"YML093W"	-4.507	-2.615	-1.452	-2.741	-3.357	-3.472	-2.686	-2.477	-4.947	-2.751	0.178	-0.748	-0.974	-1.264	-1.695	0.084	0.387	0.195	0.03	-3.703	-0.114	-0.616	-0.359	-0.011	0.028	-2.27	-2.15	-2.133	-2.251	-1.6	-2.982	-1.888	-1.188	-2.063	-2.58	-4.548
"YMR170C"	5.429	5.057	4.658	4.008	5.21	5.684	1.875	3.094	6.85	1.1	2.458	2.338	2.414	3.862	2.755	0.403	0.353	0.278	0.362	6.459	0.438	0.79	0.964	0.8	1.105	3.996	5.241	4.639	5.187	2.971	4.111	5.551	5.091	3.697	4.67	6.253
"YMR239C"	-3.656	-2.175	-1.498	-2.426	-2.921	-2.351	-2.534	-2.067	-4.414	-1.968	-0.851	-1.04	-1.526	-1.853	-1.451	-0.005	0.254	0.196	-1.0	-3.237	-0.687	-0.305	-0.172	-0.042	-0.015	-2.145	-2.016	-2.286	-1.855	-1.3	-1.678	-1.678	-1.633	-1.262	-1.666	-4.048
"YMR310C"	-3.117	-2.423	-1.416	-2.264	-2.522	-1.974	-1.727	-1.738	-2.999	-1.935	-0.253	-0.254	-0.17	0.432	-0.954	-0.393	-0.207	-0.262	-0.264	-2.882	0.497	-0.043	-0.339	-0.469	0.04	-1.905	-2.014	-2.268	-2.193	-1.209	-1.955	-1.748	-2.046	-1.603	-1.376	-3.588
"YNL015W"	2.433	3.124	1.885	2.455	3.302	2.984	2.177	2.881	4.235	1.889	-0.268	-0.314	0.687	1.056	1.721	0.157	-0.221	-0.417	-0.313	3.501	0.156	0.547	0.497	-0.27	-0.052	2.136	2.526	1.905	3.328	1.307	1.656	2.546	2.624	1.933	1.92	2.634
"YNL061W"	-4.928	-3.927	-1.543	-4.143	-4.404	-3.948	-2.673	-2.373	-4.329	-2.724	-0.494	-0.93	-1.304	-1.247	-1.224	0.048	-0.047	0.329	0.104	-5.38	-0.164	-0.208	-0.562	-0.086	-0.257	-2.222	-2.816	-3.009	-2.646	-1.805	-1.852	-2.079	-2.95	-1.877	-1.981	-2.571
"YNL062C"	-3.459	-2.934	-1.18	-2.143	-3.093	-2.844	-1.917	-1.508	-4.157	-2.538	-0.24	-0.254	-0.524	-1.294	-1.0	0.245	0.334	0.266	-0.064	-2.71	0.219	0.03	-0.21	0.339	0.113	-1.524	-1.877	-1.859	-1.999	-0.781	-1.432	-1.761	-2.052	-1.603	-1.653	-2.838
"YNL075W"	-3.86	-3.164	-2.073	-2.558	-3.304	-2.768	-2.078	-1.5	-4.782	-2.433	-0.675	-0.41	-1.076	-1.627	-1.121	0.652	0.664	0.792	0.371	-3.301	0.049	-0.14	-0.452	-0.283	-0.161	-2.283	-2.467	-2.43	-2.281	-1.483	-1.527	-1.948	-2.144	-2.146	-1.758	-3.779
"YNL174W"	-5.157	-4.699	-1.913	-4.233	-5.579	-4.714	-2.857	-2.718	-5.141	-3.149	-1.233	-1.213	-2.277	-3.085	-2.295	-0.028	0.184	0.145	0.069	-5.426	-0.055	-0.214	-0.155	0.107	-0.288	-2.247	-2.751	-1.893	-3.06	-0.692	-0.919	-2.201	-2.499	-2.707	-3.421	-3.816
"YNL175C"	-5.334	-4.901	-2.739	-4.11	-4.362	-3.931	-2.567	-2.692	-4.877	-3.06	-0.668	-1.49	-1.726	-1.834	-2.163	0.084	0.211	0.411	0.191	-5.147	-0.007	-0.172	-0.34	-0.058	-0.283	-1.968	-3.176	-1.923	-3.247	-1.188	-1.148	-2.569	-2.751	-2.87	-3.229	-2.5475
"YNL182C"	-6.33	-4.05	-1.434	-2.807	-4.805	-3.807	-2.522	-2.311	-4.184	-2.39	-0.455	-0.326	-1.089	-1.675	-1.55	0.034	0.088	0.181	-0.054	-4.61	0.22	-0.318	-0.257	0.324	-0.085	-2.961	-2.723	-3.01	-2.68	-1.75	-2.38	-2.335	-2.586	-2.665	-1.791	-3.607
"YNL274C"	4.473	4.225	2.898	3.953	4.076	3.915	4.548	4.443	3.911	3.128	1.095	0.889	1.262	1.676	1.538	0.795	0.533	0.354	0.474	3.943	0.387	0.349	0.313	0.859	0.705	2.438	3.316	2.486	3.407	2.356	2.599	4.038	3.85	3.129	3.712	2.245
"YNR002C"	3.999	1.509	0.904	2.301	2.855	2.921	1.473	2.246	3.522	1.168	0.892	0.494	1.249	1.54	0.799	0.024	-0.154	0.122	0.239	2.872	0.123	0.334	0.261	0.25	0.459	1.683	1.508	1.709	2.139	0.695	1.385	1.144	1.222	1.976	1.393	2.62
"YNR053C"	-5.074	-4.159	-1.498	-3.104	-3.74	-3.215	-2.944	-2.392	-3.029	-1.2595	-0.461	-0.695	-1.823	-1.865	-1.845	-0.263	0.098	-0.065	-0.25	-4.11	0.287	-1.019	-0.494	-0.006	0.118	-3.512	-2.838	-3.727	-2.72	-2.141	-3.054	-2.365	-2.116	-3.169	-1.468	-4.56
"YOL077C"	-5.439	-5.04	-2.828	-4.336	-5.22	-4.28	-2.83	-2.938	-5.186	-2.1355	-1.67	-1.642	-2.412	-2.687	-2.119	-0.046	0.218	0.219	0.147	-4.7	0.262	-0.241	-0.377	0.223	0.13	-1.957	-3.214	-2.073	-3.346	-1.725	-1.498	-3.013	-3.209	-3.568	-2.005	-5.145
"YOR052C"	2.928	3.124	1.507	2.471	3.237	3.288	2.571	2.168	3.063	2.315	0.506	0.564	1.42	1.652	-0.7435	1.075	0.612	0.798	0.711	3.265	0.529	0.742	1.042	0.777	0.242	2.196	2.138	1.895	1.896	2.022	2.462	2.004	NaN	2.623	1.961	2.334
"YOR091W"	-3.01	-2.688	-0.519	-1.642	-2.72	-2.309	-2.094	-1.799	-3.211	-1.963	-1.149	-0.978	-1.308	-0.264	-0.4405	0.288	0.21	0.241	0.083	-2.366	0.392	-0.325	0.054	0.519	0.16	-1.427	-2.017	-1.366	-1.821	-0.466	-1.296	-1.776	-2.086	-1.911	-2.001	-3.639
"YOR173W"	3.872	2.477	1.749	1.8935	2.9735	2.3675	2.0415	1.231	1.42266666666667	0.836	0.508	0.475	0.896	1.3345	1.45066666666667	0.087	0.296	0.0235	-0.2435	2.7515	0.26	0.766	0.4455	0.4595	0.282	2.0265	2.194	1.2845	1.784	1.569	1.6965	2.645	1.9015	1.4565	1.38	2.5715
"YOR206W"	-5.087	-3.702	-2.15	-3.585	-5.083	-4.513	-2.894	-2.77	-5.827	-2.919	-0.849	-1.25	-1.803	-2.42	-1.716	0.361	0.416	0.385	0.214	-5.066	-0.011	-0.305	-0.576	0.207	0.154	-2.692	-2.957	-2.678	-3.013	-1.99	-2.178	-2.89	-2.693	-3.011	-2.376	-4.817
"YOR294W"	-4.574	-3.828	-2.336	-3.73	-4.407	-3.632	-2.434	-2.234	-5.6475	-2.791	-1.186	-1.288	-1.656	-1.818	-1.381	-0.025	0.175	0.284	0.001	-4.852	-0.312	-0.424	-0.757	-0.442	-0.168	-2.448	-2.729	-3.161	-2.527	-2.264	-2.113	-2.423	-3.102	-3.764	-2.77	-5.145
"YPL043W"	-4.246	-4.0	-1.47	-3.773	-4.198	-4.087	-2.529	-2.671	-4.668	-3.242	-0.485	-0.18	-0.585	-1.281	-1.6305	-0.064	0.141	-0.107	-0.004	-4.555	-0.136	-0.416	-0.349	0.104	-0.075	-2.795	-2.77	-2.896	-2.597	-2.053	-2.451	-3.038	-2.009	-2.192	-2.094	-4.308
