	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"964.1 mM Menadione (160 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1312.diauxic shift timecourse: 13.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33779.delYPL230w_stationary_phase_5hours"
"YER126C"	-3.132	-2.634	-3.488	-4.626	-4.459	-2.724	-2.571	-2.383	-1.734	-0.766	-4.455	-5.367	-2.355	0.669	-0.278	-0.297	-2.191	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	-1.087	-1.491	-1.223	-5.253	-5.806	-2.916	-0.975	-3.761
"YGL120C"	-3.316	-3.231	-3.301	-3.954	-3.877	-1.855	-2.25	-1.851	-1.325	-0.824	-4.557	-5.111	-3.171	-0.809	-1.328	0.496	-0.663	-0.384	-1.588	-1.59	-0.047	-1.027	-1.427	-0.665	-1.354	-2.071	-3.8	-3.466	-2.416	-1.313	-3.546
"YGR145W"	-5.791	-5.902	-3.702	-3.7955	-3.4415	-2.86	-3.204	-2.632	-2.307	-1.609	-4.245	-4.024	-2.214	-0.859	-2.002	-0.687	-1.856	-1.727	-2.735	-2.278	-0.988	-2.264	-2.469	-1.49	-1.533	-2.065	-4.7725	-4.182	-3.769	-0.711	-4.009
"YGR160W"	-6.235	-5.9475	-5.567	-6.207	-4.6575	-5.116	-3.134	-2.687	-2.046	-1.56	-4.796	NaN	-2.892	-0.752	-2.706	-1.341	-3.109	-3.117	-3.857	-2.834	-2.737	-3.507	-3.412	-2.317	-2.325	-3.533	-6.3385	-4.64	-4.207	-2.649	-4.708
"YGR245C"	-5.097	-5.1995	-3.9345	-4.2355	-3.9115	-2.202	-3.099	-3.022	-2.579	-1.802	-4.207	-3.799	-3.273	-1.086	-2.905	-0.819	-1.64	-1.451	-2.621	-2.539	-1.117	-2.046	-2.492	-1.821	-2.034	-1.375	-4.6765	-4.281	-2.645	-1.008	-3.415
"YHR052W"	-4.2445	-3.5175	-3.5215	-4.3935	-3.9395	-2.417	-1.975	-1.663	-1.389	-0.911	-4.199	-4.447	-2.565	-0.112	-1.298	-0.675	-2.447	-2.417	-2.621	-1.95	-1.349	-2.318	-2.298	-1.184	-1.408	-1.056	-4.9395	-2.827	-1.875	-1.073	-3.47
"YHR065C"	-3.0405	-2.4595	-1.6845	-3.2925	-3.089	-2.602	-1.917	-1.847	-1.032	-0.555	-4.558	-4.644	-1.784	0.089	-0.6	-0.262	-1.74	-1.377	-1.883	-1.189	-1.16	-2.011	-1.74	-1.107	-1.509	-0.841	-3.37	NaN	-0.921	0.069	-3.429
"YHR066W"	-3.7505	-3.0515	-2.9815	-3.762	-3.552	-2.046	-2.473	-2.073	-1.432	-1.036	-4.885	-5.203	-2.974	0.104	-0.918	-0.452	-2.029	-1.659	-2.447	-1.738	-1.335	-2.494	-2.346	-1.151	-1.507	-0.692	-4.347	-3.068	-1.906	-1.292	-2.382
"YIL064W"	-2.354	-2.7345	-2.1515	-2.514	-2.1275	-1.887	-1.639	-1.635	-1.362	-0.967	-2.326	-2.687	-2.125	-0.175	0.083	-0.094	-0.997	-1.059	-1.511	-1.65	-0.805	-1.392	-1.751	-1.18	-1.396	-0.373	-2.1995	-2.286	-1.123	-0.782	-2.035
"YIR026C"	-3.1325	-3.9735	-2.8615	-3.1245	-3.013	-1.851	-2.178	-2.28	-1.724	-1.223	-4.983	-4.724	-2.112	-0.1885	-0.5095	-0.541	-1.034	-1.125	-2.044	-2.065	-1.152	-2.068	-2.269	-1.2	-1.332	-0.768	-2.938	-2.844	-2.131	-1.637	-2.578
"YJL125C"	-1.985	-2.022	-1.6395	-2.175	-1.945	-0.942	-1.466	-1.267	-0.908	-0.592	-2.303	-4.009	-1.988	0.05	-0.454	-0.751	-0.853	-0.784	-1.002	-0.899	-0.456	-0.897	-1.045	-0.708	-0.766	-0.65	-1.7655	-1.659	-1.219	-0.403	-1.31
"YJR002W"	-3.52066666666667	-2.819	-2.21066666666667	-2.34	-3.20666666666667	-2.205	-1.834	-1.98	-1.6755	-1.28	-2.9885	-4.416	-2.066	-0.77	-1.388	-0.186	-1.4075	-1.3115	-2.0865	-1.753	-0.9595	-1.7065	-1.7065	-1.132	-1.223	-1.0915	-3.31866666666667	-3.252	-2.36	-1.269	-2.426
"YJR072C"	-1.074	-1.67	-1.367	-1.958	-2.223	-1.041	-0.449	-0.447	0.11	0.213	-2.021	-3.523	-1.871	-0.209	0.229	-0.171	0.024	-0.118	-0.743	-0.365	-0.495	-1.185	-1.219	-0.218	-0.332	-0.162	-2.364	-2.081	-1.246	-0.582	-2.376
"YKL024C"	-1.171	-1.839	-1.0715	-1.356	-1.345	-0.684	-0.453	-0.501	-0.167	0.12	-2.211	-5.4	-1.547	0.013	-0.178	-0.609	-0.272	-0.501	-0.525	-0.195	-0.692	-0.792	-0.847	0.404	-0.292	0.019	-1.1135	-1.603	-1.504	-0.325	-1.568
"YKL125W"	-1.171	-1.394	-0.879	-1.222	-1.143	-0.7	-1.361	-1.162	-0.932	-0.747	-1.489	-3.218	-0.969	1.794	-0.636	-0.109	-0.525	-0.71	-0.755	-0.82	-0.562	-0.689	-0.919	-0.381	-0.109	-0.041	-1.188	-1.379	-1.048	-0.543	-1.425
"YKL181W"	-2.313	NaN	-2.149	-2.822	-2.81	-1.73	-1.655	-1.54	-1.193	-0.807	-3.28	-4.28	-2.604	-0.398	-0.802	-0.428	-1.315	-1.164	-1.865	-1.322	-1.328	-2.131	-1.876	-0.64	-1.0	-0.935	-2.802	-2.543	-1.721	-0.975	-2.308
"YKL191W"	-2.458	-2.92	-2.358	-2.347	-1.981	-2.122	-2.463	-2.032	-1.357	-0.956	-2.611	-4.342	-2.195	-0.666	-1.213	-1.059	-1.454	-0.854	-1.484	-1.085	-1.14	-1.892	-1.631	-0.943	-0.916	-0.839	-2.641	-2.759	-2.339	-1.095	-2.326
"YLL008W"	-4.973	-4.981	-3.751	-4.808	-4.019	-3.12	-3.718	-3.309	-2.293	-1.589	-5.659	-6.113	-2.364	-0.775	-2.335	-1.084	-1.385	-1.558	-2.724	-1.847	-1.295	-2.071	-2.458	-1.692	-1.714	-2.027	-4.642	-4.08	-2.614	-1.681	-3.042
"YLL022C"	-1.197	-1.843	-1.017	-0.956	-1.5	-0.309	-0.812	-1.092	-0.734	-0.117	-1.863	-3.451	-1.605	-0.263	-0.021	-0.258	0.375	-0.247	-0.703	-0.809	-0.316	-0.416	-0.817	-0.325	-0.246	-0.297	-1.332	-1.323	-1.314	-0.433	-1.775
"YLR009W"	-4.735	-4.564	-2.897	-4.204	-3.864	-3.541	-2.25	-2.132	-1.593	-0.994	-4.675	-5.388	-2.737	0.097	-1.804	-0.578	-2.459	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	-1.908	-1.555	-1.589	-4.344	-3.436	-1.875	-1.385	-3.361
"YLR175W"	-4.176	-3.679	-3.07	-4.552	-4.902	-4.195	-2.338	-2.257	-1.632	-1.183	-5.607	-5.468	-3.996	-0.031	-1.455	-0.12	-1.253	-1.022	-2.188	-1.419	-0.552	-1.892	-1.798	-1.352	-1.58	-1.769	-4.431	-4.177	-1.884	-1.078	-4.338
