	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"801.Heat Shock 030inutes"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1673.alpha factor release sample021"	"2064.Hypo-osmotic shock - 5 min"	"2554.Hypo-osmotic shock -15 minutes"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"7542.DES459 (mec1) - log phase (MMS time "	"7547.33C no sorbitol 30 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"21631..24 mM H2O2- 190 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"38154.03II01 batch p10"
"YDR165W"	-2.85	-1.603	0.192	-2.419	-2.874	-2.762	0.933	0.831	1.095	0.852	-0.962	-1.294	-0.968	-4.096	-2.538	-2.179	-5.309	-2.69	-3.015	-2.243	-3.057	0.362	-0.18	0.194	0.078	0.086	0.24	0.015	0.184	0.437	-2.129	-1.683	-1.967	-1.516	-2.787	-0.0125	-3.068	-1.809	-1.222	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255	-0.152	-0.569	-2.779
"YDR347W"	-0.062	0.646	-0.156	0.654	0.476	0.439	0.055	-0.186	-0.118	-0.164	0.35	0.758	0.575	0.529	0.668	0.452	-1.818	-0.34	-0.056	-0.715	0.355	-0.073	0.094	0.265	0.097	-0.037	-0.422	-0.35	0.147	0.084	-0.195	-0.305	-0.526	-0.49	0.76	-0.156	0.038	0.403	0.413	1.633	1.556	2.151	1.071	0.796	1.599	0.1	0.176	0.727
"YDR412W"	-2.09	-1.963	0.007	-1.984	-2.552	-2.649	1.278	0.221	1.045	0.885	-0.316	-1.061	-0.841	-2.38	-1.406	-1.391	-3.774	-1.447	-2.216	-1.595	-2.732	0.154	-0.128	0.616	-0.189	0.163	0.067	-0.082	0.195	0.286	-1.139	-0.694	-0.762	-1.264	-2.914	-0.189	-2.5	-2.181	-0.9	-1.814	-1.32	-2.305	-1.963	-0.516	-1.726	-0.162	-0.213	-1.328
"YDR447C"	-2.299	-1.47	-0.11	-2.149	-3.242	-3.562	1.205	0.463	1.022	0.931	-1.401	-1.567	-1.217	-4.882	-3.934	-3.531	-5.332	-2.316	-3.574	-3.565	-4.249	-0.076	0.067	0.067	-0.264	-0.352	-0.806	-0.288	0.557	-0.058	-2.33	-1.793	-2.456	-2.291	-2.593	-0.0465	-3.102	-1.842	-0.319	-3.67	-2.356	-4.358	-3.418	-2.211	-3.223	-0.219	-0.388	-1.595
"YDR496C"	-3.9025	-2.571	0.376	-3.671	-4.953	-4.7405	1.31	0.204	1.402	1.146	-1.787	-2.2355	-1.793	-3.1645	-1.29	-2.3365	-4.393	-2.7355	-4.5275	-2.8145	-3.995	0.1345	-0.0075	0.9565	0.1285	0.421	0.307	-0.0685	0.073	0.6705	-3.5775	-2.461	-3.151	-2.808	-5.1875	-0.991	-3.216	-2.317	-1.143	-1.074	-1.347	-1.917	-1.733	-1.551	-1.65	-0.427	-0.964	-1.981
"YGL076C"	-2.09	-1.909	-0.117	-1.99	-2.744	-3.119	1.317	0.657	1.147	1.006	-1.311	-1.333	-1.087	-3.969	-3.136	-2.73	-5.667	-2.396	-3.32	-2.996	-4.142	0.076	0.36	0.469	0.077	-0.078	-0.326	-0.169	-0.287	0.052	-1.847	-1.305	-1.888	-1.94	-2.656	0.157	-2.625	-1.336	-0.429	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	0.563	0.831	-1.751
"YGL123W"	-2.557	-1.674	-0.342	-2.339	-3.47	-4.378	1.27	0.232	1.264	1.189	-1.165	-1.272	-1.163	-3.781	-3.757	-3.726	-5.982	-3.013	-4.112	-3.654	-3.511	0.658	0.164	0.145	-0.415	-0.515	-1.227	-0.651	-1.025	-0.597	-2.323	-2.087	-2.138	-2.024	-3.308	0.356	-2.292	-1.348	-0.249	-4.217	-3.27	-4.123	-3.488	-2.693	-2.743	0.274	-0.177	-1.46
"YGL135W"	-2.285	-1.835	-0.54	-2.468	-3.231	-3.984	1.167	0.143	1.101	0.43	-1.569	-1.448	-1.169	-3.221	-2.573	-2.455	-5.687	-2.615	-3.217	-3.23	-3.581	0.53	-0.033	0.147	-0.449	-0.647	-0.602	-0.229	-0.499	-0.508	-2.546	-2.004	-2.237	-2.539	-3.406	0.111	-2.824	-1.612	-0.164	-3.443	-2.903	-3.617	-3.009	-1.968	-2.509	-0.057	-0.448	-1.329
"YGL229C"	1.382	0.649	-0.239	0.773	1.113	1.115	-0.815	-0.684	-0.943	-0.669	0.584	0.442	-0.163	1.479	0.74	0.768	-1.886	0.851	0.499	0.222	1.526	-0.177	-0.623	-0.838	-0.257	-0.442	-0.272	0.377	0.579	-0.787	1.382	0.873	1.597	1.564	1.706	0.172	1.252	1.108	0.847	1.004	0.526	1.863	0.786	1.144	0.871	-0.92	-0.607	0.766
"YGR002C"	-0.114	0.193	-0.067	0.254	0.472	0.222	-0.115	-0.081	0.015	-0.088	-0.168	-0.132	-0.04	0.189	0.002	-0.171	-0.887	0.592	0.692	0.237	-0.467	0.065	-0.05	-0.099	0.043	-0.001	0.002	0.106	-0.369	0.012	1.037	0.621	0.645	0.542	0.559	-0.231	0.177	0.279	-0.222	0.966	1.104	1.166	0.855	0.177	0.671	-0.137	-0.022	0.408
"YGR034W"	-2.191	-1.353	-0.3	-2.26	-3.059	-2.884	1.076	0.841	1.008	1.165	-1.034	-1.2	-1.029	-3.922	-3.172	-3.096	-6.281	-2.746	-3.268	-2.935	-3.635	0.213	0.014	0.055	-0.366	-0.257	-0.84	-0.45	-0.386	-0.366	-2.077	-1.514	-1.605	-1.776	-2.708	-0.153	-2.451	-0.862	-0.506	-2.986	-3.003	-4.347	-3.643	-2.741	-2.179	0.331	-0.046	-1.784
"YGR123C"	-3.2965	-1.9375	0.125	-3.0495	-4.1895	-3.748	1.116	0.618	0.996	0.986	-1.145	-1.265	-1.031	-4.447	-2.7	-2.234	-4.328	-2.958	-2.878	-2.97	-2.118	0.234	-0.043	0.657	0.108	-0.136	0.265	0.342	-0.591	0.309	-1.73	-1.141	-1.647	-1.535	-4.594	-0.1525	-2.795	-1.547	-0.279	-2.403	-3.664	-3.836	-3.389	-2.052	-2.048	0.026	-0.42	-1.701
"YHR066W"	-3.0515	-1.2655	0.285	-2.9815	-3.762	-3.552	1.163	1.059	1.097	0.948	-1.254	-1.432	-1.036	-4.885	-2.062	-1.572	-5.203	-2.29	-2.974	-2.008	-2.742	0.218	0.107	0.878	0.314	0.714	0.457	0.066	-0.456	0.816	-2.447	-1.738	-2.494	-2.346	-4.347	-0.526	-3.068	-1.906	-1.292	-1.623	-1.898	-2.382	-1.908	-1.368	-1.089	0.127	-0.32	-1.669
"YHR167W"	-0.7325	-0.0495	-0.448	-0.551	-0.889	-0.934	0.459	-0.695	0.309	0.581	-0.052	0.011	0.0	-0.722	-0.993	-0.862	-1.425	0.456	-0.835	-0.655	-0.551	0.021	-0.42	-0.281	-0.407	0.057	-0.59	-0.231	-1.338	-0.196	-0.554	-0.54	-0.322	-0.734	-0.879	-0.156	-0.818	-0.955	-0.302	-0.735	-0.708	-1.407	-1.28	-0.642	-0.38	-0.487	-0.505	-1.084
"YHR203C"	-2.0645	-1.586	-0.115	-1.915	-2.8785	-3.5975	1.231	0.14	1.011	0.884	-1.34	-1.236	-1.061	-3.926	-2.827	-3.148	-5.944	-2.51	-3.917	-3.774	-4.669	0.112	0.117	0.166	-0.331	-0.441	-0.531	-0.22	-0.494	-0.417	-2.455	-1.726	-2.243	-1.865	-2.809	0.363	-2.942	-1.743	-0.662	-4.467	-3.308	-3.717	-3.449	-2.785	-3.424	0.175	0.062	-1.066
"YIL018W"	-2.4325	-1.4745	-0.462	-2.2685	-3.509	-3.965	1.253	0.476	1.177	1.056	-1.189	-1.193	-0.959	-4.365	-3.03	-2.782	-5.749	-2.754	-3.362	-3.505	-3.907	0.094	0.018	0.212	-0.284	-0.39	-0.737	-0.289	-1.031	-0.457	-1.963	-1.389	-2.403	-4.283	-3.4165	0.024	-2.641	-1.895	-1.146	-4.277	-3.397	-4.06	-3.676	-2.806	-2.821	-0.036	-0.465	-1.836
"YIL088C"	0.649	0.5625	-0.003	0.167	0.5325	0.315	-0.341	0.348	-0.473	-0.185	0.732	0.866	0.623	1.144	1.481	1.468	-1.391	1.586	0.652	1.021	1.122	0.025	0.504	0.36	0.652	0.076	-0.012	-0.096	NaN	0.045	0.776	0.695	0.485	0.715	0.5605	0.234	0.175	-0.219	0.09	1.584	1.209	1.108	0.962	0.889	-0.084	0.341	0.528	0.821
"YIL127C"	-3.181	-1.5835	-0.006	-1.7815	-2.8895	-2.6295	0.921	0.269	0.899	0.804	-1.348	-1.43	-0.818	-3.825	-3.066	-2.308	-4.521	-2.293	-3.072	-1.756	-2.484	0.309	-0.282	0.546	0.007	0.349	-0.403	-0.503	-0.131	0.638	-1.876	-1.539	-2.052	-2.118	-2.6085	-0.546	-2.784	-1.905	-1.009	-2.676	-1.774	-3.693	-1.968	-1.42	-1.731	-0.001	-0.759	-1.807
"YIL133C"	-2.6465	-1.3105	-0.501	-2.027	-3.384	-3.811	1.02	0.059	0.983	0.899	-1.053	-1.185	-0.69	-3.333	-3.196	-3.135	-5.79	-2.633	-2.93	-2.571	-4.433	0.352	0.095	0.099	-0.283	-0.445	-0.409	0.028	-0.5	-0.311	-2.339	-1.436	-2.453	-1.872	-3.3115	-0.279	-2.292	-0.756	-0.822	-4.387	-3.183	-4.098	-3.154	-2.466	-3.633	0.297	-0.014	-1.899
"YJL011C"	-0.349	-0.519666666666667	-0.0565	-0.787333333333333	-1.194	-1.35133333333333	0.32	1.0805	1.163	0.2165	-0.101	-0.6665	-0.3375	-0.175	-0.2355	-0.342	-2.389	-0.1805	-0.1405	-0.593	-1.816	-0.009	-0.1495	0.528	-0.998	0.5635	-0.0985	-0.191	-0.3415	0.518	-1.3515	-1.144	-1.302	-1.153	-1.324	-0.825	-2.215	-1.399	-0.667	-0.834	-1.094	-2.744	-1.98	-0.5	-1.512	-0.618	-1.101	-1.255
"YJL122W"	-2.6115	-1.7245	-0.025	-2.3555	-3.015	-2.6085	1.424	-0.425	1.147	1.228	-1.164	-1.395	-1.032	-4.13	-2.475	-2.636	NaN	-2.124	-2.718	-2.694	-1.834	-0.017	0.155	1.039	0.281	0.289	0.386	0.117	-1.423	0.66	-2.152	-1.354	-2.238	-2.159	-2.9625	-0.915	-3.081	-2.605	-1.588	-2.529	-2.241	-3.406	-2.805	-1.521	-1.919	-0.4	-0.845	-2.194
"YJL148W"	-2.695	-1.757	0.044	-2.0075	-3.2015	-2.403	1.362	0.13	1.211	1.227	-1.158	-1.454	-1.124	-3.572	-2.334	-2.266	-4.104	-1.997	-3.006	-1.938	-3.662	-0.054	0.141	0.662	0.211	0.466	-0.178	-0.448	0.131	0.484	-2.592	-1.966	-1.856	-2.304	-2.967	-0.057	-3.84	-2.82	-1.72	-3.568	-2.484	-3.944	-2.823	-2.113	-2.731	-0.571	-1.303	-2.044
"YJR145C"	-2.2535	-1.5005	-0.156	-1.8995	-2.8575	-3.3335	1.17	0.514	1.341	0.963	-1.165	-1.379	-1.129	-4.507	-3.488	-3.177	-6.528	-2.54	-3.551	-3.547	-4.857	0.181	0.189	0.253	-0.21	-0.477	-0.338	-0.112	-0.446	-0.258	-2.162	-1.723	-2.369	-1.818	-2.7805	-0.217	-2.804	-2.063	-0.731	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	-0.15	-0.344	-1.447
"YKL006W"	-2.75	-1.283	-0.49	-1.949	-3.315	-3.5445	0.961	0.748	1.354	1.089	-1.025	-1.268	-0.864	-4.299	-3.901	-3.389	-5.113	-2.919	-3.049	-3.027	-4.545	0.239	0.188	0.198	-0.201	-0.319	-0.716	-0.234	-0.528	-0.25	-2.111	-1.56	-2.103	-1.94	-3.02	0.283	-2.654	-1.672	-0.75	-4.432	-3.39	-4.756	-4.221	-2.993	-3.593	0.038	-0.458	-2.032
"YKL009W"	-3.58	-2.2705	0.274	-3.253	-4.1895	-4.13	1.489	1.196	1.639	1.192	-1.429	-1.644	-0.979	-5.997	-3.719	-3.38	-6.168	-3.014	-3.144	-2.368	-4.341	0.086	0.069	0.842	-0.059	0.232	-0.109	-0.141	-0.271	0.572	-2.841	-2.079	-2.592	-2.565	-4.4285	-0.46	-4.247	-2.782	-1.967	-2.602	-2.728	-4.823	-3.636	-3.036	-2.444	-0.304	-0.839	-3.422
"YKL143W"	-4.765	-2.227	-0.042	-3.755	-3.979	-3.248	0.94	-0.322	0.262	1.044	-3.108	-3.11	0.47	-4.748	-1.715	-2.281	-3.827	-4.588	-2.756	-2.421	-2.734	0.247	0.034	1.063	0.396	0.532	-0.074	-0.484	-0.495	0.611	-2.976	-2.881	-2.458	-3.373	-4.275	-0.284	-4.409	-3.625	-1.211	-2.618	-1.955	-3.914	-2.07	-1.525	-1.384	-0.096	-0.989	-2.402
"YKL172W"	-3.445	-2.112	0.385	-3.361	-3.445	-4.261	1.453	0.394	1.071	1.0	-1.843	-2.049	-1.584	-4.354	-2.219	-1.661	-5.305	-2.232	-2.545	-1.257	-3.248	0.208	0.255	1.104	0.187	0.535	-0.002	-0.45	-0.044	0.81	-3.036	-1.901	-2.379	-2.395	-3.684	-0.342	-3.007	-2.308	-1.814	-2.694	-2.344	-3.42	-2.734	-1.952	-1.96	0.087	-0.608	-1.836
"YKL189W"	0.554	0.167	-0.14	0.874	0.607	0.317	-0.337	-0.255	-0.053	0.32	0.489	0.73	0.534	1.449	0.764	1.243	-1.718	0.445	0.167	0.651	0.845	0.059	-0.04	-0.305	0.061	0.278	-0.093	-0.139	-0.212	-0.274	0.988	0.801	0.67	0.809	0.569	-0.367	0.439	0.725	0.362	1.01	1.273	2.109	1.297	0.887	0.91	0.184	0.341	0.568
"YKL193C"	1.904	1.304	0.023	1.556	1.56	1.755	-0.72	0.338	-0.713	0.181	0.422	1.163	0.86	2.373	1.236	1.35	-3.378	1.15	1.772	2.165	1.68	-0.263	-0.201	-0.368	-0.12	-0.404	-0.263	-0.246	0.059	-0.246	1.947	1.76	1.391	1.383	1.803	0.242	1.663	1.242	1.287	2.435	1.821	2.642	1.834	1.267	0.838	0.238	0.737	2.218
"YLL045C"	-2.105	-1.781	0.01	-2.319	-3.116	-3.722	1.394	0.799	1.348	1.206	-1.667	-1.25	-0.851	-3.851	-3.176	-2.506	-6.618	-2.711	-3.169	-3.335	-3.66	0.309	0.283	0.345	-0.098	-0.117	-0.211	0.25	-0.565	-0.079	-2.243	-1.5	-1.924	-1.585	-3.545	0.499	-2.751	-1.345	-0.707	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	0.252	0.779	-2.09
"YLR009W"	-4.564	-1.981	-0.152	-2.897	-4.204	-3.864	1.074	0.443	1.035	0.872	-1.474	-1.593	-0.994	-4.675	-2.624	-2.259	-5.388	-2.78	-2.737	-2.637	-3.455	0.388	0.1	0.565	-0.095	0.274	0.007	-0.052	-0.455	0.366	-2.802	-2.013	-2.902	-2.825	-4.344	-1.042	-3.436	-1.875	-1.385	-2.229	-1.452	-3.361	-1.953	-1.228	-1.257	0.244	-0.536	-2.19
"YLR075W"	-1.416	-1.799	-0.132	-1.232	-1.85	-2.416	1.136	0.519	1.067	1.166	-1.055	-0.288	-0.291	-4.356	-3.127	-2.622	-6.109	-1.697	-2.552	-2.46	-4.079	0.521	-0.119	0.104	-0.327	-0.268	-0.973	-0.241	-0.479	-0.19	-1.009	-0.921	-0.98	-0.965	-1.842	0.296	-2.582	-1.699	-0.756	-4.584	-2.951	-4.051	-3.6	-2.245	-2.384	-0.19	-0.533	-1.092
"YLR146C"	-2.662	-1.251	0.178	-1.0	-1.451	-1.801	1.062	0.88	1.222	0.663	0.131	-0.862	-0.678	-1.534	-0.974	-1.003	-3.233	-0.931	-1.237	-1.465	-0.897	0.114	0.029	0.512	0.388	-0.102	0.062	0.06	-0.258	-0.034	-0.95	-0.537	-1.078	-0.965	-2.028	-0.02	-2.104	-1.566	-0.766	-1.986	-1.383	-2.001	-1.605	-1.637	-0.775	-0.078	-0.186	-0.805
"YLR176C"	1.607	0.542	-0.191	1.544	1.08	1.102	-0.78	0.231	-0.787	-0.615	0.032	0.37	-0.19	1.712	1.336	1.148	-1.128	0.966	1.357	0.776	0.581	-0.147	-0.181	0.505	0.306	0.099	0.241	0.424	0.469	-0.146	0.607	0.56	0.647	0.617	1.489	0.285	0.823	0.559	0.184	0.206	-0.105	1.077	0.575	0.159	0.609	0.141	-0.085	-0.373
"YLR185W"	-1.728	-1.583	-0.299	-1.439	-2.305	-2.948	1.047	-0.8	1.135	0.922	-0.712	-1.085	-0.637	-4.508	-3.498	-3.001	-5.928	-2.356	-2.94	-2.559	-4.019	-0.13	0.292	0.315	-0.186	-0.173	-0.721	-0.21	-0.366	-0.086	-1.553	-1.116	-2.083	-1.909	-2.487	0.016	-2.373	-1.212	-0.44	-3.712	-3.007	-3.488	-3.242	-2.643	-3.35	-0.089	-0.048	-1.615
"YLR186W"	-2.221	-1.684	0.073	-2.011	-2.976	-2.122	1.199	1.22	1.306	0.805	-0.48	-0.877	-0.815	-4.787	-2.844	-2.506	-5.516	-2.004	-3.036	-2.821	-2.372	-0.091	-0.273	0.398	0.065	0.127	-0.153	-0.03	-0.377	0.191	-1.642	-0.861	-1.814	-1.695	-3.083	-0.561	-2.466	-2.202	-0.992	-3.381	-2.552	-4.173	-2.896	-1.936	-2.714	-0.607	-0.746	-1.736
"YLR196W"	-5.04	-1.973	0.201	-3.221	-4.896	-4.532	1.483	0.57	1.407	1.059	-1.297	-1.459	-1.106	-5.083	-3.01	-3.156	-5.836	-2.118	-2.858	-2.859	-4.378	0.143	0.039	0.856	0.126	0.437	0.57	0.125	-0.588	0.472	-2.793	-1.956	-2.637	-2.454	-5.097	-0.907	-3.697	-2.702	-1.684	-2.901	-2.83	-3.658	-2.412	-1.969	-2.265	-0.392	-0.521	-1.73
"YLR264W"	-1.77	-1.106	-0.1	-1.722	-2.019	-2.178	0.631	1.107	0.922	0.819	-0.695	-0.856	-0.664	-3.105	-2.523	-2.018	-5.152	-2.413	-2.945	-2.94	-3.525	0.339	0.317	0.519	0.029	-0.141	-0.659	-0.239	-0.421	-0.015	-1.665	-1.642	-1.413	-1.913	-1.005	-0.408	-1.947	-1.632	-0.719	-3.507	-2.202	-3.145	-2.797	-2.013	-2.667	-0.263	-0.447	-1.148
"YLR276C"	-3.855	-2.573	0.214	-3.331	-3.732	-4.143	1.132	0.857	1.168	0.994	-1.298	-1.687	-1.31	-4.467	-2.163	-1.657	-5.399	-2.381	-2.386	-2.199	-3.49	0.077	0.066	0.944	0.109	0.496	0.5	0.14	-0.1	0.76	-2.531	-1.558	-2.431	-2.252	-2.51	-0.932	-4.014	-2.707	-1.724	-2.141	-1.833	-3.838	-1.145	-2.088	-2.066	0.006	-0.349	-1.878
"YLR324W"	1.216	1.272	0.046	1.451	1.353	1.128	-0.548	-0.091	-0.85	-0.671	0.418	0.435	0.7	1.154	1.007	1.225	-2.063	0.687	0.443	0.436	0.607	-0.218	0.158	-0.2	0.318	0.037	-0.494	-0.275	0.586	0.014	0.177	0.355	0.081	0.309	1.173	-1.071	0.723	0.551	0.104	0.96	0.87	1.129	0.812	0.32	0.315	-0.17	0.015	0.583
"YLR435W"	-2.628	-1.607	0.115	-2.012	-2.917	-2.415	1.251	0.9	1.0	0.731	-1.472	-1.557	-0.898	-4.216	-2.534	-2.556	-3.819	-1.636	-1.506	-2.134	-2.605	0.163	-0.105	0.547	0.219	0.337	0.12	-0.296	-0.466	0.75	-2.747	-2.318	-2.528	-2.588	-3.297	-0.276	-2.231	-2.112	-1.349	-2.298	-2.662	-4.563	-2.595	-2.03	-1.817	0.088	-0.749	-1.683
