	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7536.25C -- 30 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"
"YCR072C"	-4.048	-3.359	-3.587	-2.626	-3.503	-2.949	-2.405	-1.6695	-0.3485	0.288	-2.43	-4.777	-2.891	-4.875	-2.593	-3.092	-1.745	-0.038	0.0515	-0.006	0.241	-0.0405	-0.898	-0.682	-0.247	-1.693	0.934	0.441	0.27	-0.102	-0.038	0.197	-4.635	-4.551	-2.819	-2.44	-3.703	-2.838	-1.67	-0.14	-0.053
"YCRX02C"	1.695	1.234	1.339	1.233	1.386	1.175	0.689	0.043	-0.178	-0.129	0.766	1.94	1.387	-2.485	0.74	0.48	0.468	-0.02	0.0535	0.106	-0.087	-0.005	-0.009	-0.144	0.147	0.439	0.481	0.09	0.07	0.219	0.44	0.009	1.406	0.859	1.066	0.426	2.352	0.858	0.763	0.166	0.2
"YDL031W"	-2.88	-2.123	-2.3335	-2.1535	-2.805	-2.451	-1.2305	-1.7765	-1.1785	0.309	-1.7075	-2.5295	-1.061	-3.3365	-1.2945	-2.234	-0.7395	0.019	-0.155	-0.307	0.172	0.1475	-0.226	-0.373	-0.408	-0.746	1.519	0.833	0.4315	-0.344	-0.1975	-0.398	-2.6385	-2.583	-0.845	-1.181	-2.16	-0.888	-0.525	-0.066	-0.352
"YDL063C"	-3.209	-2.218	-3.024	-2.945	-2.864	-2.304	-1.93	-2.076	-1.031	-0.27	-2.149	0.085	-2.723	-3.701	-2.057	-0.719	-0.812	0.174	-0.182	-0.208	0.661	-0.15	-0.211	-0.372	-0.679	-1.359	0.467	-0.012	0.357	-0.171	-0.077	0.05	-3.467	-3.005	-2.274	-2.579	-3.127	-2.796	-1.54	NaN	-0.558
"YDL148C"	-4.262	-3.299	-3.284	-2.868	-3.476	-2.829	-1.654	-1.64	-1.39	0.231	-2.829	-3.372	-1.757	-4.257	-2.115	-2.168	-1.247	0.079	-0.172	0.243	-0.499	0.234	-0.69	-0.397	-1.199	-1.344	1.033	0.598	0.625	0.136	0.226	0.021	-3.488	-2.998	-1.234	-1.942	0.058	-4.494	NaN	0.127	0.061
"YDL201W"	-2.68	2.807	-2.05	-1.932	-2.515	-1.652	-2.201	-1.009	-0.578	0.17	-1.494	-3.282	-2.32	-4.94	-1.858	-2.29	-1.271	0.108	0.193	-0.7	-0.856	-0.17	-0.966	-0.37	-1.268	-1.212	1.03	0.802	0.307	-0.086	-0.089	-0.027	-2.398	-2.621	-2.098	-1.705	-2.492	-1.838	-1.138	0.053	-0.085
"YDR001C"	3.722	3.661	3.273	3.0	3.255	3.511	1.006	2.674	1.498	0.381	1.935	3.121	1.716	-0.134	1.691	0.879	1.39	0.087	0.635	0.299	0.235	-0.076	0.248	0.526	0.436	0.881	-0.522	-0.967	-1.413	0.981	0.677	-0.446	3.574	3.999	2.067	1.884	3.563	2.644	1.706	0.174	0.206
"YDR087C"	-3.126	-4.331	-4.143	-2.758	-3.643	-3.468	-1.886	-2.122	-1.097	-0.262	-2.287	-4.139	-2.976	-4.944	-2.758	-2.528	-1.891	0.061	-0.167	-1.178	-0.623	0.311	-1.394	-0.239	-1.59	-1.122	0.613	0.961	0.132	0.019	0.017	-0.364	-4.13	-3.928	-2.338	-2.16	-3.396	-3.436	-2.083	-0.443	-0.431
"YDR091C"	-2.613	-2.378	-2.435	-2.061	-2.869	-2.781	-2.561	-1.776	-1.404	-0.155	-1.892	-3.288	-2.045	-4.4	-2.163	-2.925	-1.056	0.006	-0.228	-0.464	0.014	0.11	-1.225	-0.707	-1.189	-1.822	1.021	0.33	0.618	-0.379	-0.24	0.194	-2.972	-2.978	-3.117	-2.299	-2.953	-2.242	-1.817	0.161	0.009
"YDR101C"	-3.513	-3.593	-3.404	-3.0	-3.74	-3.659	-2.724	-2.357	-1.309	0.141	-2.603	-4.306	-3.203	-4.667	-2.997	-3.385	-2.021	0.113	0.136	-0.408	-0.26	0.107	-1.446	-0.856	-1.5	-2.224	1.419	1.035	0.633	-0.484	-0.194	-0.084	-3.253	-3.244	-2.088	-2.116	-3.048	-2.294	-1.739	0.315	0.328
"YDR122W"	1.836	1.871	1.621	1.676	1.959	1.688	0.927	0.637	0.549	-0.04	0.895	1.064	1.105	-0.769	1.388	0.854	0.933	-0.086	-0.026	0.528	-0.432	-0.031	0.135	0.105	0.183	-0.193	-0.716	-0.276	-0.348	0.047	0.0	0.077	1.558	0.934	-0.445	-0.344	-0.454	-0.5965	-0.69	-0.446	-0.461
"YDR165W"	-3.154	-3.024	-2.85	-2.419	-2.874	-2.762	-1.9	-1.702	-1.335	0.245	-2.006	-4.096	-2.538	-5.309	-2.69	-3.015	-1.593	0.27	0.071	-0.821	-0.154	-0.044	-1.071	-0.217	-1.185	-1.573	0.902	0.528	0.372	0.181	0.147	0.137	-2.787	-3.068	-2.479	-2.722	-3.205	-2.632	-2.085	0.894	-0.133
"YDR293C"	1.352	0.953	1.063	1.203	1.308	1.209	0.673	1.44	0.665	-0.155	0.284	1.262	0.974	0.38	1.255	0.915	0.392	-0.004	0.13	0.25	0.28	-0.102	0.317	0.203	0.265	0.392	0.119	0.022	0.237	0.152	0.052	-0.043	0.977	1.951	1.194	1.174	2.591	1.78	1.243	0.358	0.371
"YDR312W"	-3.237	-2.732	-2.335	-2.086	-2.512	-2.345	-1.557	-1.579	-1.303	0.231	-2.137	-2.564	-1.147	-3.564	-1.377	-1.829	-1.059	-0.002	0.046	-0.219	-0.669	0.281	-0.671	-0.673	-0.955	-1.026	0.892	0.466	0.131	0.316	0.229	-0.286	-3.04	-2.314	-1.874	-1.157	-2.572	-1.141	-0.295	-0.374	-0.399
"YDR324C"	-3.512	-3.118	-2.824	-2.336	-3.184	-3.012	-3.403	-1.851	-0.909	0.162	-1.933	-3.361	-2.361	-4.131	-2.225	-2.212	-1.56	-0.215	0.243	0.565	-0.462	-0.173	-0.545	-1.175	-1.874	-2.235	0.8	0.766	0.127	-0.138	-0.056	0.055	-3.609	-2.29	-1.857	-2.128	-3.2975	-2.27	-0.931	-0.646	-0.346
"YDR361C"	-2.862	-3.79	-3.438	-3.115	-3.356	-3.263	-2.556	-2.99	-2.171	-0.08	-2.149	-3.61	-2.016	-3.634	-2.237	-2.072	-1.782	0.0655	-0.087	-0.971	-0.392	0.226	-1.018	0.118	-0.817	-1.206	1.359	0.755	0.516	0.118	0.038	-0.289	-3.92	-2.614	-2.708	-2.048	-3.998	-2.423	-1.849	-0.017	-0.234
"YGL078C"	-4.33	-1.515	-3.709	-3.238	-4.399	-3.428	-2.77	-2.236	-1.661	0.392	-2.908	-4.866	-2.556	-4.455	-2.562	-2.914	-1.927	0.198	0.166	-1.266	-1.65	0.117	-1.965	-0.663	-1.838	-2.33	1.63	0.88	0.589	-0.332	-0.29	-0.539	-4.147	-3.538	-3.53	-2.245	-3.576	-1.995	-1.225	-0.251	-0.183
"YGL099W"	-2.253	-2.322	-2.456	-2.097	-3.122	-3.311	-2.018	-1.655	-0.817	-0.153	-1.773	-3.43	-2.011	-5.764	-2.268	-2.454	-1.468	0.124	-0.113	-0.739	-0.052	0.157	-1.114	-0.609	-1.325	-1.172	1.181	0.613	0.271	-0.333	-0.325	-0.085	-3.381	-1.974	-2.608	-2.453	-3.506	-2.525	-1.211	0.09	-0.247
"YGL120C"	-3.316	-3.34	-3.231	-3.301	-3.954	-3.877	-1.855	-1.614	-0.802	0.047	-2.25	-4.557	-3.087	-5.111	-3.085	-3.171	-1.816	-0.116	0.34	-0.568	-0.914	0.0	-1.38	-0.398	-1.53	-1.892	1.31	0.805	0.261	0.08	0.14	-0.056	-3.8	-3.466	-2.891	-3.416	-3.546	-0.554	-2.329	0.126	0.075
"YGL156W"	3.625	0.544	3.375	3.179	3.485	2.874	0.949	2.125	1.312	0.104	0.469	4.377	4.521	2.804	2.322	3.372	1.231	0.119	0.322	0.942	1.149	0.22	1.059	0.31	1.174	1.511	-0.888	-1.333	-0.884	0.837	0.903	-0.379	3.58	0.46	2.0345	2.183	2.233	1.841	1.3495	0.276	0.328
"YGR123C"	-3.5875	-2.638	-3.2965	-3.0495	-4.1895	-3.748	-2.491	-2.061	-1.298	0.264	-1.835	-4.447	-2.7	-4.328	-2.958	-2.878	-2.101	0.124	-0.031	0.184	0.35	-0.141	-0.632	0.223	-0.436	-0.801	1.047	0.275	0.889	-0.3045	-0.263	0.054	-4.594	-2.795	-2.403	-3.664	-3.836	-3.389	-2.052	-0.135	0.128
"YGR128C"	-2.985	-2.926	-3.042	-2.4315	-3.197	-2.749	-2.704	-1.641	-1.342	0.008	-2.282	-3.032	-2.601	-4.271	-2.83	-2.816	-1.872	0.001	-0.086	-0.678	-0.137	0.096	-0.832	-0.675	-1.261	-1.376	1.113	0.644	0.408	-0.194	-0.1135	-0.1095	-2.534	-2.714	-1.071	-0.84	-0.921	-0.334	-1.481	-0.569	-0.026
"YGR173W"	-2.503	-1.765	-1.71	-1.958	-2.8095	-2.487	-1.968	-1.243	-0.655	0.118	-1.136	-3.271	-1.888	-3.699	-1.899	-2.709	-1.1	-0.074	0.374	-0.246	-0.381	-0.074	-0.809	-0.317	-1.128	-0.503	0.442	0.721	-0.154	0.6215	0.5445	-0.1435	-2.734	-1.911	-2.164	-1.798	-2.139	-1.259	-0.642	-0.503	-0.33
"YHL011C"	-2.744	-2.4425	-2.467	-2.107	-3.0145	-3.024	-1.817	-1.337	-1.155	0.461	-1.603	-2.604	-1.684	-3.592	-1.461	-2.503	-0.853	0.116	0.245	-0.563	-0.696	-0.008	-1.046	-0.163	-0.682	-0.992	1.155	0.659	0.68	0.034	0.0025	-0.119	-3.2715	-2.38	-2.033	-1.74	-2.086	-0.98	-1.253	0.071	0.234
"YHL012W"	-3.1785	-2.451	-2.6885	-1.335	-2.4345	-1.7405	-1.383	-1.019	-0.166	-0.317	-2.024	-1.028	-0.227	-1.655	-0.17	-0.148	-0.836	-0.179	-0.617	-0.451	0.412	0.081	-0.615	-0.286	-0.381	-0.87	0.405	-0.189	0.143	-0.123	0.358	0.135	-2.8315	-1.374	0.829	0.738	0.903	0.637	0.158	-1.124	-0.109
"YHR052W"	-4.2445	-2.638	-3.5175	-3.5215	-4.3935	-3.9395	-2.417	-2.069	-1.327	0.332	-1.975	-4.199	-3.017	-4.447	-2.516	-2.565	-1.729	-0.033	-0.005	0.224	0.038	0.119	-0.916	-0.513	-0.139	-1.026	1.748	0.835	0.892	-0.0525	-0.1435	-0.243	-4.9395	-2.827	-1.892	-3.411	-3.47	-2.114	-2.463	-0.53	-0.324
"YHR066W"	-3.7505	-3.058	-3.0515	-2.9815	-3.762	-3.552	-2.046	-1.966	-1.468	0.35	-2.473	-4.885	-2.062	-5.203	-2.29	-2.974	-1.469	0.045	-0.101	-0.577	-0.354	0.466	-1.209	-0.886	-1.043	-1.541	0.844	0.275	0.291	0.128	0.0555	-0.048	-4.347	-3.068	-1.623	-1.898	-2.382	-1.908	-1.368	-0.703	-0.621
"YHR080C"	1.1355	0.8735	0.7865	0.957	1.152	0.949	0.555	0.647	0.033	-0.351	0.714	1.941	1.991	-0.639	1.004	0.799	0.548	-0.177	-0.593	-0.254	0.316	-0.036	0.218	0.33	0.437	0.36	-0.167	-0.273	-0.036	-0.629	-0.4615	0.112	1.292	0.99	1.858	1.513	2.273	1.43	1.721	-0.893	-0.288
"YHR144C"	-1.6225	-1.6005	-1.253	-1.664	-1.475	-1.4285	-0.764	-1.161	-0.047	0.283	-0.994	-1.986	-1.399	-2.344	-0.694	-1.554	-0.497	-0.054	-0.135	0.255	0.005	0.203	-0.229	-0.228	-0.155	-0.313	0.094	0.153	-0.258	0.12	-0.018	-0.03	-1.917	-2.195	-1.576	-1.94	-2.884	-2.401	-1.871	0.209	-0.14
"YHR148W"	-3.0225	-1.8445	-2.0375	-2.8705	-3.2345	-2.692	-1.426	-1.706	-0.865	0.161	-1.681	-3.086	-1.904	-3.377	-1.802	-1.557	-1.354	-0.032	-0.041	0.109	-0.264	-0.024	-0.468	-0.414	0.165	-0.255	1.032	0.755	0.291	-0.0075	-0.132	-0.128	-3.95	-2.565	-1.681	-1.749	-2.893	-1.982	-1.373	0.218	0.047
"YHR170W"	-5.3995	-6.3835	-4.622	-4.14	-4.723	-3.947	-3.256	-2.797	-1.852	0.4	-2.518	-4.51	-1.901	-4.858	-2.326	-2.759	-2.023	-0.027	0.177	-0.356	-0.812	0.037	-1.218	0.012	-1.234	-1.32	1.886	1.65	0.916	-0.0285	0.109	-0.306	-5.252	-3.576	-3.186	-2.544	-3.601	-2.58	-2.061	0.705	0.222
"YIL107C"	2.137	NaN	1.9595	1.993	2.0835	1.712	0.607	1.722	1.031	-0.007	1.394	3.104	2.688	2.169	2.078	2.196	1.676	-0.198	0.192	0.309	0.399	0.117	0.566	-0.192	0.641	0.736	0.377	-0.902	-0.689	0.7225	0.807	0.005	2.0415	0.972	1.951	2.139	2.091	2.0635	1.178	0.1295	0.2125
"YJL055W"	0.7225	1.2275	0.539	0.8065	0.87	1.045	0.296	0.115	0.12	0.266	0.997	0.504	0.536	0.858	0.292	0.708	0.494	-0.212	-0.188	0.141	0.175	0.167	0.087	0.134	-0.127	0.476	-0.488	0.259	-0.838	0.159	0.577	0.178	1.165	1.327	1.165	1.141	1.138	0.661	0.507	0.069	-0.118
"YJL161W"	3.34	3.39	3.0215	2.924	2.9465	2.6305	1.56	3.025	1.951	0.444	2.506	4.563	3.611	-0.11	2.695	2.121	2.002	0.004	0.513	0.703	0.567	0.132	1.42	0.326	1.446	1.765	-1.423	-1.311	-0.873	0.5915	0.41	-0.008	3.716	3.191	3.856	2.853	4.871	3.407	2.38	0.856	0.999
"YJL200C"	-3.818	-2.8885	-2.434	-2.957	-4.048	-3.5515	-2.543	-2.129	-1.102	0.114	-2.186	-3.392	-2.349	-4.345	-1.103	-2.728	-0.418	-0.017	-0.307	-0.373	0.412	0.579	-0.79	-0.761	-1.013	-1.824	0.973	0.716	0.785	0.193	0.008	0.076	-3.9785	-2.786	-2.974	-2.875	-3.653	-2.812	-2.005	0.526	0.467
"YJR063W"	-2.675	-1.716	-2.1255	-2.576	-2.555	-2.2705	-1.893	-1.634	-1.035	0.223	-1.453	-3.233	-2.702	-3.68	-2.039	-1.586	-1.29	-0.089	-0.04	0.199	-0.132	0.019	-0.514	-0.444	0.382	-0.533	1.436	0.992	0.799	-0.14	-0.2275	-0.039	-3.415	-1.276	-1.51	-1.289	-2.958	-2.455	-1.224	0.018	0.376
"YJR070C"	-4.6905	-4.6305	-4.824	-3.895	-4.828	-4.332	-3.794	-2.253	-1.098	0.059	-2.536	-5.317	-3.975	-7.226	-3.689	-3.471	-1.678	0.112	-0.111	-1.084	-0.895	-0.067	-1.659	-0.143	-2.06	-1.736	1.238	1.747	0.478	-0.5145	-0.235	-0.206	-4.7655	-3.81	-3.069	-2.355	-3.754	-3.104	-2.692	0.349	0.024
"YKL010C"	0.964	1.508	1.71	0.818	0.742	0.755	0.382	0.741	0.235	-0.004	-0.066	0.313	0.008	-1.774	0.292	0.502	1.087	-0.164	0.03	0.512	0.473	-0.01	0.333	0.073	0.177	0.924	0.151	-0.307	-0.054	0.1655	0.058	0.264	0.986	0.439	0.72	0.916	0.845	0.812	-0.072	0.444	0.134
"YKL064W"	0.983	5.268	0.474	0.772	0.878	0.9495	0.796	1.003	0.073	0.125	0.404	1.385	0.893	1.25	1.649	1.69	0.585	-0.077	0.133	0.22	0.113	0.083	0.218	0.158	0.35	0.515	0.148	-0.131	-0.024	0.3675	0.29	-0.053	0.9065	1.082	1.802	1.467	2.437	2.031	1.342	0.11	0.003
"YKL099C"	-4.464	-4.014	-3.88	-2.796	-3.564	-3.037	-3.158	-2.266	-1.372	0.039	-2.672	-4.145	-2.015	-3.312	-2.489	-2.585	-1.7	0.088	-0.215	-1.064	-1.018	0.19	-1.379	-0.563	-1.674	-1.462	0.738	0.741	0.457	0.184	0.164	-0.506	-3.926	NaN	-1.88	-1.394	-3.486	-1.59	-1.288	-0.476	-0.364
"YKL144C"	-2.123	-1.42	-1.605	-1.446	-1.323	-1.766	-1.136	-0.807	-0.636	0.048	-0.904	-2.495	-2.005	-4.032	-1.29	-2.354	-1.205	-0.026	0.159	-0.211	-0.437	-0.339	0.213	-0.025	0.034	-0.219	0.188	0.376	-0.006	0.573	0.563	0.092	-1.651	-1.218	-1.487	-1.129	-2.097	-1.472	-0.707	-0.341	-0.139
"YKL163W"	1.74	NaN	1.452	1.1	2.387	2.486	0.238	1.322	1.226	1.389	0.32	1.297	1.046	-0.67	0.456	0.253	0.177	0.459	1.409	0.175	-0.118	-0.035	-0.01	-0.267	0.013	0.246	-0.097	0.247	0.113	0.202	-0.123	0.146	3.465	1.66	1.958	0.717	2.477	2.34	0.812	1.384	1.147
"YKR025W"	-1.502	1.505	-1.585	-1.383	-1.224	-1.936	-0.837	-1.039	-0.251	0.373	-1.129	-2.594	-1.113	-3.468	-0.946	-1.607	-0.548	-0.039	0.167	-0.376	-0.597	-0.141	-0.443	0.132	-0.469	-0.703	0.272	0.711	0.294	0.56	0.547	-0.408	-2.209	-1.748	-1.816	-1.242	-2.437	-1.583	-0.878	-0.05	-0.329
"YKR056W"	-4.01	-3.863	-3.872	-2.945	-3.217	-3.127	-2.566	-1.683	-1.237	-0.079	-2.718	-4.495	-2.575	-4.34	-2.352	-2.379	-1.64	0.009	-0.068	-0.142	-0.231	-0.129	-0.661	-0.495	-0.744	-1.379	1.262	0.502	0.529	-0.114	0.076	-0.181	-3.682	-2.586	-1.199	-1.647	-3.056	-2.089	-1.061	0.063	-0.215
"YKR081C"	-4.459	-3.157	-3.308	-1.58	-3.81	-3.431	-2.31	-1.773	-1.322	0.18	-2.342	-4.081	-2.662	-4.632	-2.467	-3.278	-1.186	-0.04	0.004	-0.7	-0.032	0.336	-1.37	-0.403	-1.151	-1.509	1.661	0.953	0.491	-0.052	0.043	-0.448	-3.505	-2.666	-3.386	-2.103	-3.261	-2.433	-1.814	0.15	0.079
"YLL008W"	-4.973	-6.033	-4.981	-3.751	-4.808	-4.019	-3.12	-2.387	-1.409	0.179	-3.718	-5.659	-3.509	-6.113	-3.126	-2.364	-2.137	0.116	0.067	-0.94	-0.367	-0.01	-1.584	-0.626	-1.748	-1.752	1.287	0.683	0.524	-0.169	0.149	-0.613	-4.642	-4.08	-1.915	-1.563	-3.042	-2.072	-1.554	0.03	-0.225
"YLL039C"	3.942	3.74966666666667	3.18766666666667	3.84166666666667	4.33133333333333	4.529	1.61066666666667	1.96633333333333	2.48233333333333	0.203	1.78366666666667	1.05933333333333	0.920333333333333	-0.482666666666667	0.859666666666667	0.806333333333333	0.912	0.2175	0.581666666666667	0.834666666666667	0.686333333333333	0.287	1.292	0.905333333333333	1.29966666666667	1.34266666666667	-0.849666666666667	-0.713333333333333	-0.773	0.633666666666667	0.993666666666667	-0.1555	4.756	3.453	1.088	1.858	1.867	1.365	1.293	0.584	0.233
"YLR003C"	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	-2.485	-1.894	-1.589	0.066	-2.267	-3.378	-2.664	-3.267	-1.976	-2.206	-1.007	-0.23	-0.04	-1.128	-1.1	0.049	-1.113	-0.615	-1.535	-1.517	0.551	0.764	0.416	0.186	0.261	-0.179	-3.305	-2.573	-2.516	-1.754	-3.839	-2.794	-1.764	0.031	-0.175
"YLR009W"	-4.735	-4.567	-4.564	-2.897	-4.204	-3.864	-3.541	-2.235	-1.527	0.008	-2.25	-4.675	-2.624	-5.388	-2.78	-2.737	-1.835	0.188	-0.235	-0.8	-0.306	-0.064	-1.218	-0.605	-1.827	-1.049	1.343	1.123	0.471	-0.354	-0.035	-0.499	-4.344	-3.436	-2.229	-1.452	-3.361	-1.953	-1.228	0.039	-0.134
"YLR025W"	0.781	1.14	0.945	0.862	0.691	0.827	0.366	0.594	0.223	-0.122	0.211	1.378	0.245	-0.904	1.001	0.744	0.502	-0.193	0.157	0.107	-0.046	0.296	0.337	0.1	0.321	0.712	-0.451	0.353	-0.408	0.495	0.545	-0.099	1.063	0.97	0.981	0.629	1.673	1.091	1.201	-0.158	-0.28
