	"686.YP ethanol vs reference pool"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7539.25C -- 90 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"
"YDR071C"	-0.191	0.35	-0.087	-0.7	-0.661	-0.825	-1.203	-1.492	-2.459	-4.374	-0.581	-0.861	-0.965	-0.648	-0.696	-0.953	-1.937	-3.125	-2.557	0.014	-0.089	-0.22	0.092	0.282	-0.013	0.288	0.267	-1.47	-0.28
"YDR189W"	-0.252	0.53	0.078	-0.795	-0.307	-0.822	-0.735	-0.956	-1.871	-2.842	-0.824	-1.156	-0.968	-0.801	-0.693	-0.704	-1.597	-1.904	-2.063	-0.139	-0.167	-0.126	-0.062	0.053	-0.037	-0.191	0.261	-0.9815	-0.113
"YDR300C"	-0.07	-0.092	-0.532	-1.055	-0.777	-0.844	-1.426	-1.012	-3.24	-3.71	-0.751	-1.331	-1.907	-0.879	-1.502	-1.321	-2.003	-3.096	-3.345	0.205	0.268	0.119	-0.065	-0.102	0.114	0.355	0.384	-1.091	0.655
"YDR372C"	-0.412	0.386	-0.245	-0.683	-0.256	-0.8	-0.731	-0.865	-1.786	-3.333	-1.157	-0.361	-1.235	-0.7	-0.716	-0.859	-1.291	-1.344	-1.268	0.115	0.086	-0.078	-0.153	0.127	0.087	0.364	-0.241	-0.666	-0.012
"YDR507C"	-0.415	-0.139	-0.869	-1.03	-0.143	-0.691	-0.795	-1.28	-2.939	-1.493	-1.413	-1.411	-2.127	-1.263	-1.576	-2.121	-1.959	-1.473	-1.836	-0.133	0.322	0.346	-0.23	0.084	0.103	0.35	-0.228	-0.943	0.193
"YEL042W"	-0.433	-0.074	-0.782	-0.84	-0.254	-0.736	-1.264	-1.261	-3.201	-4.334	-1.329	-1.924	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	0.67	0.778	0.67	-0.299	-0.001	0.19	1.029	0.069	-1.2195	0.015
"YEL077C"	0.322	0.103	-0.438	0.562	-0.214	0.184	0.391	1.197	0.122	-1.802	-0.102	-0.234	0.459	0.428	0.784	0.378	1.735	0.986	1.544	-0.042	0.018	0.006	0.066	0.318	0.293	0.329	0.036	0.4915	-0.0895
"YER032W"	-0.1	-0.138	-0.822	-0.534	0.457	-0.223	-1.13	-0.907	-1.819	-2.478	-1.006	0.112	-1.419	-0.38	-0.712	-0.913	-1.235	-1.923	-1.341	-0.024	0.104	0.116	-0.205	-0.093	-0.06	0.316	0.181	-0.957	-0.031
"YER049W"	-0.877	-0.145	-0.969	-2.05	-2.231	-1.562	-2.16	-1.746	-3.769	-4.541	-0.962	-1.396	-3.216	-1.832	-2.135	-2.046	-2.64	-3.518	-2.735	0.392	0.226	0.114	-0.327	-0.447	0.033	0.468	0.445	-1.47	0.411
"YER086W"	-0.928	0.06	-1.06	-1.791	-1.128	-1.076	-1.236	-1.424	-3.61	-5.173	-2.311	-2.028	-2.719	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	0.489	0.417	0.394	-0.321	0.098	0.018	0.673	0.051	-0.886	0.165
"YER090W"	-0.608	0.178	-0.647	-1.619	-1.095	-1.299	-1.569	-1.173	-3.804	-5.004	-1.889	-1.861	-1.857	-0.616	-1.078	-1.311	-2.327	-2.585	-3.495	0.319	0.278	0.113	0.322	0.039	-0.111	0.037	0.057	-0.819	0.125
"YER107C"	-0.041	0.047	-0.085	-0.466	-0.387	-0.528	-0.901	-0.803	-1.533	-2.516	-0.792	-1.097	-0.603	-0.772	-1.033	-0.424	-1.136	-1.224	-1.828	0.132	-0.002	-0.034	0.0	0.196	-0.022	0.281	0.251	-0.656	-0.357
"YFR009W"	-1.1	-0.042	-0.473	-1.89	-1.318	-1.513	-2.017	-1.914	-3.004	-4.932	-1.586	-1.585	-1.488	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	0.116	0.417	0.287	0.165	0.072	0.628	0.057	0.138	-0.923	0.089
"YGL016W"	-0.539	-0.421	-1.177	-0.664	-0.675	-0.604	-1.474	-1.127	-3.034	-4.265	-1.104	-1.391	-1.719	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	-0.018	0.476	0.353	-0.301	0.126	-0.196	0.396	0.186	-1.374	0.395
"YGL021W"	-0.423	0.077	-1.07	-1.135	-0.58	-1.292	-2.697	-1.335	-2.714	-5.572	-1.086	-2.056	-1.377	-1.041	-1.254	-2.515	-2.192	-3.105	-2.246	-0.243	-0.342	0.012	-0.476	0.094	-0.129	-0.41	-0.096	-1.476	0.081
"YGL105W"	-0.997	-0.105	-0.918	-1.577	-1.617	-1.427	-1.362	-1.984	-3.587	-6.011	-1.68	-1.068	-2.334	-1.237	-1.41	-1.635	-1.622	-1.876	-2.025	0.205	0.011	0.12	-0.182	0.307	0.147	0.363	0.186	-1.57	-0.782
"YGL207W"	-0.475	-0.09	-0.484	-0.471	-0.419	-0.298	-0.737	-0.919	-2.137	-2.772	-0.532	-0.925	-1.163	-1.123	-1.089	-1.517	-2.2	-2.806	-2.861	0.116	0.266	0.174	-0.035	0.273	-0.003	0.239	0.164	-0.862	0.074
"YGL232W"	-0.088	-0.124	-0.635	-0.432	-0.207	-0.348	-0.412	-1.617	-2.079	-2.628	-0.3	-0.56	-1.152	-0.845	-1.042	-1.033	-1.825	-1.906	-2.353	-0.004	0.013	0.127	-0.012	NaN	0.002	0.133	0.078	-0.912	-0.354
"YGL245W"	-1.136	-0.519	-1.348	-0.806	-1.565	-1.579	-1.475	-2.145	-4.799	-6.655	-1.699	-2.088	-1.847	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.02	0.255	0.296	0.338	0.202	-0.104	0.4	0.439	-1.658	-0.4
"YGR001C"	-0.29	0.106	-0.693	-0.557	-0.407	-0.631	-0.842	-0.607	-2.12	-3.271	-0.824	-1.121	-1.378	-0.803	-0.879	-0.942	-1.426	-1.682	-2.24	0.207	0.255	0.082	0.205	0.244	-0.238	0.136	0.249	-0.542	-0.286
"YGR037C"	-0.191	0.135	0.251	-0.802	-0.574	-0.73	-1.659	-1.49	-3.63	-4.976	-1.298	-1.04	-1.429	-0.786	-1.612	-1.441	-1.964	-2.717	-2.416	0.657	0.394	0.334	-0.035	0.122	0.364	0.786	0.006	-1.319	0.018
"YGR038W"	-0.165	-0.007	-0.364	0.418	-0.112	-0.571	-0.925	-1.722	-0.733	-2.432	-0.589	-1.329	0.98	-0.533	-0.664	-0.924	-0.557	-0.825	-0.459	-0.398	-0.272	-0.033	0.15	0.212	0.188	0.292	0.049	-0.236	-0.037
"YGR185C"	-0.665	-0.308	-1.289	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-2.6	-2.266	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.413	0.46	0.36	-0.065	0.0675	0.162	0.592	0.643	-2.438	-0.453
"YGR229C"	-0.267	-0.369	-0.945	-0.57	-0.382	-0.754	-1.164	-0.943	-2.847	-4.256	-1.987	-1.316	-1.823	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	0.105	0.233	0.184	-0.125	-0.2585	0.425	0.501	-0.218	-1.347	-0.105
"YGR261C"	-0.663	0.27	-0.24	-0.985	-0.742	-0.824	-1.213	-1.464	-2.682	-3.233	-1.189	-1.363	-0.811	-1.146	-1.125	-0.876	-1.657	-2.505	-2.45	0.214	0.127	0.333	0.013	-0.015	-0.01	-0.05	0.345	-1.102	0.559
"YHR019C"	-1.258	-0.381	-1.072	-1.631	-1.096	-1.467	-1.831	-2.048	-4.051	-5.077	-2.664	-2.76	-2.07	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.321	0.417	0.408	0.107	0.0315	-0.353	0.986	0.074	-1.834	-0.178
"YHR025W"	-1.09	-0.261	-0.468	-1.376	-1.47	-1.274	-1.993	-1.868	-2.666	-5.429	-2.199	-0.368	-1.781	-1.065	-1.97	-1.896	-1.471	-2.319	-2.178	0.482	0.707	0.582	-0.002	-0.0015	0.003	0.7	0.04	-1.627	-0.417
"YHR047C"	-1.037	-0.358	-0.68	-1.272	-1.298	-1.862	-1.732	-2.047	-3.032	-4.423	-0.614	0.114	-0.677	-1.388	-1.632	-1.63	-1.978	-3.102	-3.056	0.113	0.456	0.371	0.038	0.1175	-0.116	-0.118	-0.652	-1.841	0.176
"YHR063C"	-0.78	0.113	-0.665	-1.956	-1.527	-1.345	-1.469	-2.215	-3.309	-4.42	-0.927	-0.253	-2.142	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	-0.101	-0.195	-0.196	-0.461	-0.1345	-0.303	-0.172	-0.004	-1.701	-0.82
"YHR068W"	-1.125	-0.085	-0.95	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-2.526	-1.119	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.003	0.132	0.041	-0.023	-0.0565	0.011	0.791	-0.253	-2.29	0.437
"YHR123W"	-0.716	0.006	0.46	-0.611	-0.799	-1.05	-1.555	-1.135	-3.763	-4.132	-1.439	-2.046	-2.216	-1.72	-1.965	-2.024	-2.917	-2.775	-2.647	0.109	-0.305	-0.273	-0.295	0.0655	-0.449	-0.304	0.302	-1.21	0.318
"YHR193C"	-0.427	-0.452	-1.11	-1.571	-1.259	-1.548	-1.341	-1.99	-3.11	-4.166	-1.955	-1.2	-1.731	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.272	0.284	0.461	-0.197	0.2695	0.195	0.846	-0.184	-1.764	0.376
"YIL021W"	0.037	-0.122	-0.469	-0.477	-0.145	-0.313	-0.81	-1.022	-1.965	-3.289	-0.937	-0.841	-0.964	-0.373	-1.198	-1.127	-1.2	-1.693	-1.565	0.027	0.137	0.076	-0.088	0.19	0.2	0.247	0.048	-1.047	-0.061
"YIL027C"	0.433	0.199	-0.214	-0.313	-0.169	-0.551	-0.978	-0.472	-2.465	-2.625	-0.619	-0.861	-0.496	-0.577	-0.847	-0.792	-1.07	-1.756	-0.921	0.363	0.424	0.276	-0.156	0.0745	0.23	0.759	0.204	-0.659	-0.252
"YIL142W"	-0.94	-0.221	-0.364	-1.311	-0.946	-0.871	-1.0	-1.055	-1.422	-4.403	-1.504	-1.073	-1.649	-0.922	-1.189	-0.899	-0.687	-1.213	-1.276	0.502	0.346	0.291	-0.303	-0.23	0.232	0.235	0.215	-1.338	0.233
"YJL002C"	-1.028	0.109	-0.573	-1.923	-1.637	-1.454	-1.243	-1.658	-2.469	-4.487	-1.766	-0.803	-0.96	-0.838	-0.942	-1.17	-1.748	-2.556	-2.618	-0.085	0.173	0.206	-0.152	0.138	-0.467	0.625	-0.148	-1.272	-0.112
"YJL014W"	-1.0	0.084	-0.652	-1.661	-1.298	-1.283	-1.494	-1.383	-2.624	-3.962	-1.425	-1.317	-1.546	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	0.242	0.241	0.193	-0.075	0.1285	0.041	0.155	0.256	-1.31	0.182
"YJL075C"	-0.309	0.164	-0.852	-0.665	-0.552	-1.13	-0.784	-0.834	-2.151	-3.941	-0.957	-1.004	-1.736	-0.961	-0.869	-1.011	-1.434	-1.779	-1.075	-0.085	-0.173	-0.107	0.034	0.0505	0.347	-0.176	0.379	0.432	-0.811
"YJL145W"	0.019	0.012	-1.178	-1.698	-1.277	-0.742	-1.431	-2.509	-2.136	-3.628	-1.336	-1.747	-1.535	-1.17	-1.678	-1.482	-2.303	-2.334	-2.853	0.329	0.133	0.285	0.227	-0.0215	0.238	0.036	0.477	-1.334	0.372
"YJL192C"	-0.097	0.238	-0.329	-0.896	-0.752	-0.943	-1.258	-1.255	-3.649	-4.214	-1.29	-1.458	-1.028	-0.659	-1.289	-0.942	-1.68	-2.446	-1.599	0.071	0.1	0.006	0.238	0.018	0.138	0.373	0.022	-1.156	-0.154
"YJR076C"	-0.276	-0.189	-0.556	-1.057	-0.4	-0.896	-1.242	-1.448	-2.55	-4.614	-1.375	0.846	-0.818	-0.547	-0.839	-0.776	-1.815	-2.814	-3.117	-0.201	-0.015	0.012	0.053	0.028	-0.064	0.016	0.166	-1.327	-0.484
"YJR143C"	-0.945	0.051	-1.047	-1.012	-1.037	-1.648	-1.487	-1.713	-4.675	-5.523	-2.573	-3.031	-1.799	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	0.031	0.303	0.224	-0.023	0.2165	-0.256	0.812	0.108	-1.896	0.273
"YKL080W"	-1.216	0.453	-0.877	-2.001	-1.655	-1.941	-1.25	-1.469	-4.229	-5.94	-1.461	-1.699	-0.56	-0.824	-1.299	-1.962	-2.874	-2.944	-2.866	0.145	0.246	0.058	0.108	0.3535	0.26	0.655	0.05	-1.244	-0.522
"YKL165C"	-0.085	-0.2655	0.881	-1.0355	-0.6145	-1.064	-1.329	-1.511	-1.2315	-2.698	-0.528	-1.4815	-1.8745	-1.2755	-1.4585	-1.317	-1.469	-1.4585	-1.192	0.057	0.2325	0.075	-0.2695	0.093	-0.255	0.151	-0.222	-0.082	-0.276
"YKL212W"	-0.313	-0.189	-0.537	-1.053	-0.648	-0.845	-1.247	-1.079	-3.014	-4.806	-1.651	-1.64	-1.923	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	0.18	0.429	0.461	-0.203	-0.31	0.314	0.589	-0.114	-1.089	0.113
"YKR084C"	-0.575	0.508	-0.142	-0.719	-0.518	-0.631	-0.785	-1.131	-2.455	-3.0	-0.683	-1.442	-0.679	-0.587	-0.362	-0.256	-1.177	-2.183	-1.971	-0.357	-0.339	-0.356	0.089	0.148	-0.016	-0.441	0.151	-0.614	-0.339
"YLL002W"	-0.385	-0.106	-0.704	-1.07	-0.526	-0.637	-1.072	-0.958	-1.55	-1.746	0.13	-0.433	-0.333	-0.505	-0.672	-0.632	-1.028	-1.608	-1.385	-0.706	-0.155	-0.057	-0.004	-0.118	-0.039	0.174	-0.068	-0.785	-0.358
"YLL066C"	0.394	-0.151	-0.715	0.701	0.564	0.332	-0.036	1.392	0.585	-1.443	0.136	0.334	0.852	0.531	1.081	0.843	1.929	1.103	1.65	-0.115	0.164	-0.002	-0.016	0.318	-0.207	0.543	0.031	0.579	0.019
"YLR008C"	-0.243	-0.149	-0.539	-0.359	-0.913	-1.359	-2.075	-1.504	-2.048	-2.631	-1.258	-1.947	-1.092	-1.603	-1.736	-1.493	-1.242	-1.503	-2.347	0.628	0.304	0.354	-0.266	0.019	0.124	0.591	0.309	-1.283	0.115
"YLR100W"	-0.548	0.239	0.104	-0.608	-0.831	-0.795	-1.172	-1.003	-2.507	-4.853	-1.268	-1.167	-0.294	-0.746	-1.184	-1.09	-1.855	-2.159	-2.128	0.27	0.435	0.412	0.134	0.113	0.234	0.197	-0.113	-1.441	0.262
"YLR101C"	-0.598	0.081	-0.224	-0.914	-0.819	-0.823	-1.233	-1.344	-2.239	-3.161	-0.811	-1.629	-0.557	-1.115	-1.073	-1.203	-1.911	-2.069	-2.518	0.041	-0.04	0.087	-0.17	-0.041	-0.087	0.12	-0.028	-1.499	0.067
"YLR116W"	0.339	-0.037	0.159	0.53	0.25	0.726	0.807	0.926	0.227	-2.836	0.372	0.248	0.547	0.387	0.582	0.669	1.272	1.085	1.108	0.219	0.039	0.041	-0.068	-0.262	-0.252	0.003	0.189	-0.006	0.248
"YLR192C"	-0.465	-0.475	-0.49	-1.224	-1.761	-1.243	-1.651	-1.665	-2.456	-4.349	-1.867	-1.0	-1.685	-1.655	-2.008	-1.414	-1.566	-2.165	-2.147	0.232	0.376	0.29	0.162	0.347	0.165	0.544	0.18	-1.922	-0.1
"YLR208W"	-0.592	-0.287	-0.463	-1.031	-0.743	-0.814	-1.266	NaN	-1.968	-4.432	-1.568	-2.018	-1.032	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	0.257	-0.029	-0.033	-0.107	0.063	0.327	0.626	-0.011	-1.044	-0.067
"YLR314C"	-0.501	-0.113	-0.739	-0.873	-0.356	-0.859	-1.783	-1.658	-2.218	-5.585	-1.368	-1.023	-2.781	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	-0.097	-0.076	0.056	0.07	0.203	-0.223	-0.112	-0.115	-1.17	0.329
"YML008C"	-1.234	-0.278	-1.819	-2.419	-1.034	-0.545	-0.575	-2.236	-4.23	-4.829	-1.94	-1.09	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.64	0.677	0.657	-0.059	0.296	-0.263	0.639	0.175	-1.469	-0.269
"YML022W"	-0.734	-0.127	-1.119	-1.772	-1.782	-1.805	-1.985	-2.389	-3.146	-3.98	-2.096	-2.796	-2.802	-1.809	-2.266	-2.26	-2.846	-3.092	-3.144	0.387	0.356	0.301	-0.284	-0.035	-0.523	1.057	0.533	-1.833	-0.223
"YML074C"	-0.67	-0.202	-1.095	-2.119	-1.152	-1.538	-0.951	-2.161	-2.837	-5.319	-1.664	-0.962	-1.88	-0.727	-1.207	-1.673	-2.826	-3.214	-3.466	0.244	0.335	0.143	-0.277	0.124	0.186	0.675	-0.25	-1.767	-0.938
"YMR001C"	-0.396	-0.571	NaN	-0.867	0.187	-0.562	-2.749	-1.732	-2.913	-3.219	-1.485	-2.528	-1.97	-1.026	-2.089	-2.337	-2.372	-2.823	-2.825	-0.104	-0.273	-0.003	-0.116	-0.064	0.086	0.291	-0.125	0.47	0.507
"YMR208W"	-0.846	0.036	-0.62	-0.769	0.126	-0.871	-0.82	-1.063	-2.542	-3.618	-0.674	-1.088	-1.048	-0.429	-0.931	-1.136	-1.98	-2.454	-2.354	-0.139	-0.068	-0.023	-0.305	0.047	0.002	0.27	-0.031	-0.6815	-0.262
"YMR235C"	-1.348	0.14	-0.555	-1.45	-1.143	-1.493	-1.783	-1.785	-3.534	-5.187	-1.879	-2.052	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.161	0.165	0.111	0.325	-0.11	-0.084	0.392	0.422	-1.782	0.335
"YNL153C"	-0.265	-0.136	-0.236	-1.355	-0.952	-0.942	-1.797	-1.139	-2.968	-3.338	-1.461	-1.561	-1.544	-1.309	-1.594	-1.341	-1.523	-2.302	-1.649	0.211	0.302	0.152	-0.103	-0.14	0.216	0.519	0.041	-1.5535	-0.491
"YNL189W"	-0.751	-0.263	-0.53	-0.61	-0.397	-0.902	-1.084	-1.349	-2.367	-4.06	-1.183	-1.19	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	0.254	0.097	0.057	0.114	-0.06	0.14	0.478	0.083	-1.6445	-0.191
"YNR043W"	-1.019	-0.111	-0.812	-1.8155	-1.672	-1.574	-1.86	-2.628	-2.934	-5.1565	-1.949	-1.8335	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.634	0.55	0.51	-0.371	0.057	-0.084	0.064	-0.11	-1.878	0.102
"YOR164C"	-0.251	0.06	-0.388	-0.4595	-0.137	-0.568	-0.779	-0.894	-2.555	-4.0095	-1.1575	0.5865	-0.15	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	0.016	0.102	-0.045	0.38	0.001	-0.208	0.047	0.076	-0.949	0.066
