	"686.YP ethanol vs reference pool"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"853.YPD_4_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"38152.03II01 batch p8"	"38154.03II01 batch p10"
"YDR117C"	-0.671	-0.043	0.099	0.115	-0.242	-1.177	-0.681	-0.838	-0.837	-0.535	-1.737	-2.494	-0.455	-0.634	-1.141	-1.292	-0.967	-1.278	-1.618	-1.45	-1.497	0.279	-0.613	-0.657	-0.815	-0.467	-0.633	0.119	-0.108
"YDR261C"	-0.25	-0.146	-0.234	0.037	0.014	-1.682	-0.874	-1.912	-2.394	-2.402	-2.845	-3.44	-1.059	-1.515	-1.794	-0.941	-1.565	-1.827	-1.083	-1.671	-1.836	-1.042	-1.649	-0.432	-1.773	-1.239	-1.22	0.162	-0.303
"YDR337W"	0.353	0.556	0.81	0.571	0.486	0.862	0.815	-0.209	-0.214	-0.014	-0.206	-1.639	0.377	0.108	-0.18	-0.005	0.09	0.079	-0.267	-0.302	-0.312	1.541	-0.01	-0.163	-0.194	0.458	0.458	0.643	1.166
"YDR454C"	-0.541	0.364	0.023	-0.544	0.066	-1.267	-0.469	-0.938	-1.715	-1.528	-2.876	-4.275	-2.035	-2.414	-2.283	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	-0.426	-1.702	-1.004	-1.232	-1.295	-1.888	0.321	0.02
"YEL002C"	-0.033	0.162	0.103	0.17	0.11	-0.266	-0.023	-0.277	-0.498	-0.859	-2.448	-4.407	-0.56	-1.136	-1.694	-0.169	-0.404	-0.526	-0.691	-1.498	-0.781	0.295	-0.4945	-0.807	-0.966	-1.219	-1.51	0.654	0.548
"YEL042W"	-0.433	-0.416	-0.703	-0.623	0.591	-0.84	-0.254	-0.736	-1.264	-1.261	-3.201	-4.334	-1.439	-1.329	-1.924	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	-0.62	-1.2195	-1.211	-1.754	-1.366	-1.753	-0.213	-0.283
"YER009W"	-0.807	0.624	0.131	0.507	0.158	-0.518	-0.602	-0.827	-1.398	-0.688	-2.671	-4.765	-1.222	-2.143	-1.906	-0.939	-1.407	-1.465	-2.034	-2.393	-2.025	-0.306	-0.484	-0.713	-1.282	-1.276	-1.476	0.691	0.204
"YER043C"	-1.172	-0.299	-0.75	-0.657	-0.122	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-6.476	-1.977	-3.096	-3.18	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-0.943	-1.415	-2.241	-2.015	-2.503	-2.487	0.37	0.303
"YER044C"	-0.271	1.362	1.396	1.335	0.37	1.071	0.462	0.086	-0.051	-0.427	-2.164	-2.109	0.822	0.614	-0.502	0.874	0.627	0.658	-0.088	-0.518	-1.119	1.679	-0.579	1.427	0.944	0.64	0.221	1.378	1.143
"YER118C"	-0.744	-0.253	-0.552	-0.556	0.011	-1.275	-0.813	-0.898	-0.913	-1.822	-2.598	-3.457	-1.195	-0.87	-1.557	-0.974	-1.116	-1.35	-1.371	-2.206	-1.965	-0.764	-1.1755	-1.379	-1.062	-1.075	-0.815	-0.124	-0.337
"YFL037W"	-0.936	-0.148	-0.043	0.04	-0.011	-1.504	-0.525	-0.941	-2.235	-2.915	-3.125	-5.562	-1.354	-1.971	-1.476	-0.453	-1.132	-1.914	-1.322	-2.034	-1.369	-0.639	-0.947	-0.866	-1.95	-1.91	-1.394	0.837	0.418
"YFR009W"	-1.1	-0.465	-0.451	-0.698	-0.708	-1.89	-1.318	-1.513	-2.017	-1.914	-3.004	-4.932	-1.105	-1.586	-1.585	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	0.242	-0.923	-1.049	-1.896	-2.023	-2.107	-0.576	-1.643
"YFR028C"	-0.237	-0.409	-0.493	-0.446	-0.298	-1.025	-0.58	-0.627	-1.456	-0.875	-2.027	-4.271	-1.222	-1.037	-1.293	-0.829	-1.142	-1.447	-1.092	-1.864	-1.575	0.088	-1.1065	-0.549	-0.851	-0.917	-0.84	-0.418	-0.592
"YGL001C"	-0.494	0.185	0.033	-0.034	-0.06	-0.043	-0.607	-0.912	-1.369	-1.474	-2.878	-4.137	-0.576	0.039	-0.673	-0.098	-0.843	-1.195	-1.719	-2.358	-2.176	0.162	-1.066	0.658	-0.327	-1.091	-1.437	0.908	0.715
"YGL021W"	-0.423	-0.439	-0.466	-0.288	-0.084	-1.135	-0.58	-1.292	-2.697	-1.335	-2.714	-5.572	-0.183	-1.086	-2.056	-1.041	-1.254	-2.515	-2.192	-3.105	-2.246	-0.24	-1.476	0.299	-1.477	-1.567	-1.729	0.399	-0.284
"YGL067W"	-0.823	0.045	-0.179	-0.221	0.398	-0.73	-0.426	-0.871	-1.172	-1.39	-3.029	-2.893	-1.366	-1.274	-1.53	-0.488	-1.044	-1.214	-1.327	-1.617	-2.053	-0.144	-0.958	-0.831	-1.328	-1.144	-1.455	-0.044	-0.742
"YGR185C"	-0.665	-0.228	-0.633	-0.921	0.085	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-1.736	-2.6	-2.266	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.512	-2.438	-1.116	-2.21	-2.316	-2.459	0.313	-0.217
"YGR228W"	-0.415	-0.367	-0.71	-0.812	0.105	-1.174	-0.93	-1.867	-1.765	-1.615	-3.591	-3.357	-1.333	-2.083	-2.363	-1.452	-1.636	-2.0	-1.052	-2.915	-2.078	-0.316	-0.946	-0.941	-1.095	-0.967	-0.772	-0.128	0.661
"YHR019C"	-1.258	-0.145	-0.811	-1.205	0.104	-1.631	-1.096	-1.467	-1.831	-2.048	-4.051	-5.077	-2.825	-2.664	-2.76	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	-1.231	-1.834	-2.529	-2.505	-2.098	-2.32	0.636	-0.107
"YHR024C"	-0.4065	0.19	0.308	0.418	-0.2705	-0.2445	-0.463	-1.304	-1.795	-1.262	-2.8215	-3.2155	-0.59	-0.873	-0.714	-0.693	-1.1645	-0.7885	-1.418	-1.672	-1.759	0.369	-0.922	-0.013	-1.12	-0.9555	-0.956	0.549	0.416
"YHR042W"	-0.308	-0.616	-0.999	-0.639	0.109	-0.886	-0.658	-0.737	-1.128	-1.322	-2.228	-4.647	-1.459	-1.35	-1.381	-1.232	-1.325	-1.914	-1.986	-1.732	-1.698	0.029	-1.098	-0.926	-1.279	-1.738	-0.748	-0.365	0.26
"YHR181W"	-0.492	0.265	0.08	0.022	0.195	-0.235	-0.805	-0.896	-1.109	-0.415	-1.135	-3.0	-1.019	-1.297	-2.082	-0.733	-0.592	-0.622	-1.106	-2.04	-0.804	0.399	-0.777	-0.852	-1.05	-1.031	-1.021	0.316	-0.337
"YIL021W"	0.037	0.058	0.115	-0.156	0.506	-0.477	-0.145	-0.313	-0.81	-1.022	-1.965	-3.289	-0.717	-0.937	-0.841	-0.373	-1.198	-1.127	-1.2	-1.693	-1.565	-0.238	-1.047	-0.332	-0.672	-0.538	-0.726	0.09	0.186
"YIL027C"	0.433	0.282	0.067	-0.227	0.351	-0.313	-0.169	-0.551	-0.978	-0.472	-2.465	-2.625	-0.414	-0.619	-0.861	-0.577	-0.847	-0.792	-1.07	-1.756	-0.921	0.282	-0.659	0.386	-0.036	-0.354	-0.367	0.313	0.115
"YIL078W"	-1.288	-0.35	-0.747	-1.162	-0.266	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.288	-2.5	-2.462	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.921	-2.348	-1.855	-2.573	-2.57	-2.6	-0.444	-0.364
"YIL098C"	1.087	0.996	1.218	1.201	1.693	1.657	1.667	0.568	0.395	1.117	0.545	-1.84	0.752	0.311	-0.14	0.478	0.426	0.714	0.917	0.339	0.515	2.083	0.216	0.713	1.053	0.9	0.69	1.146	1.382
"YJL097W"	0.123	0.175	-0.053	-0.125	0.347	0.261	-0.063	-0.584	-1.604	-2.089	-2.596	-4.683	-0.608	-0.944	-1.483	-0.265	-1.025	-1.409	-1.461	-2.558	-2.276	0.473	-1.401	-0.552	-1.172	-1.561	-1.85	-0.0255	-0.3195
"YJL138C"	-0.635	0.001	-0.7	-1.07	0.283	-1.169	-1.274	-1.167	-1.195	-1.358	-3.125	-5.625	-2.285	-1.674	-1.959	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	-1.338	-1.828	-1.962	-1.973	-1.925	-2.479	-0.367	-0.61
"YJL171C"	-0.55	0.4825	0.5405	0.827	0.6385	-0.6645	-0.5435	-1.1525	-1.6235	-0.4	-2.4145	-3.3795	-1.299	-1.258	-1.8955	-0.4755	-0.775	-0.9285	-1.8325	-2.014	-1.1115	1.431	-1.154	-0.2655	-0.9865	-1.3015	-0.9875	0.1355	-0.0315
"YJR007W"	-0.919	-0.532	-0.71	-0.739	-0.19	-1.704	-1.629	-2.107	-1.68	-2.662	-3.21	-8.057	-1.339	-1.824	-1.91	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	-0.932	-1.685	-1.34	-1.412	-1.481	-1.506	-0.285	-0.572
"YJR101W"	-0.013	0.408	0.533	0.1495	-0.0115	-0.1365	-0.2035	-0.8335	-0.8405	-0.46	-1.3215	-2.4895	-0.6025	-0.316	-0.4425	-0.4115	-0.602	-0.736	-0.748	-1.031	-0.8475	-0.027	-0.6795	-0.514	-0.333	-0.624	-0.4895	0.3645	-0.0965
"YJR143C"	-0.945	-0.615	-0.98	-0.955	-0.313	-1.012	-1.037	-1.648	-1.487	-1.713	-4.675	-5.523	-2.716	-2.573	-3.031	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	-0.563	-1.896	-1.659	-2.672	-2.162	-2.24	-0.574	-1.136
"YKL212W"	-0.313	-0.239	-0.208	-0.276	-0.315	-1.053	-0.648	-0.845	-1.247	-1.079	-3.014	-4.806	-1.065	-1.651	-1.64	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	-0.47	-1.089	-0.821	-1.816	-1.943	-2.101	0.125	0.036
"YKR059W"	-0.733	0.054	-0.518	-0.836	-0.14	-1.383	-1.242	-1.181	-1.543	-1.54	-2.817	-4.998	-2.103	-2.531	-2.238	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	-1.393	-1.996	-1.593	-1.627	-1.854	-2.344	-0.41	-0.837
"YLR008C"	-0.243	0.115	-0.094	-0.223	-0.011	-0.359	-0.913	-1.359	-2.075	-1.504	-2.048	-2.631	-1.066	-1.258	-1.947	-1.603	-1.736	-1.493	-1.242	-1.503	-2.347	-0.514	-1.283	-1.139	-0.976	-1.314	-1.174	-0.166	-0.101
"YLR209C"	-0.46	0.25	0.03	0.051	0.011	0.056	0.082	-0.473	-1.747	-1.52	-2.896	-3.171	-0.214	-0.524	-1.124	-0.089	-0.605	-0.964	-1.123	-1.447	-1.271	0.023	-1.471	0.365	-0.76	-0.534	-0.367	0.908	0.626
"YLR293C"	-1.282	0.22	-0.265	-0.515	-0.185	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-1.751	-2.233	-2.661	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	-1.218	-2.235	-1.494	-1.553	-1.559	-1.887	0.176	-0.479
"YLR413W"	-2.452	-2.013	-3.16	-2.894	-0.658	-4.864	-5.057	-4.832	-4.874	-5.063	-5.414	-5.846	-3.865	-3.034	-3.629	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	-2.398	-3.737	-3.484	-3.83	-3.616	-3.594	-1.971	-2.072
"YML085C"	-0.692	0.306	0.143	0.158	0.036	-1.29	-0.837	-0.889	-2.478	-1.372	-3.379	-4.526	-1.049	-2.04	-2.802	-0.504	-1.408	-1.564	-1.907	-2.298	-2.55	NaN	-1.886	-0.427	-1.682	-1.451	-1.872	0.146	-0.007
"YML124C"	-0.907	0.192	0.29	0.137	-0.229	-1.328	-0.738	-1.32	-2.318	-1.733	-3.412	-4.107	-1.596	-2.277	-1.951	-0.766	-1.625	-0.926	-1.685	-2.001	-2.075	NaN	-1.572	-0.397	-1.541	-0.942	-1.329	-0.448	-0.519
"YMR235C"	-1.348	-0.032	-0.341	-0.449	-0.05	-1.45	-1.143	-1.493	-1.783	-1.785	-3.534	-5.187	-1.883	-1.879	-2.052	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	-0.118	-1.782	-1.233	-1.955	-1.504	-1.586	-0.396	-0.039
"YNL153C"	-0.265	0.206	0.15	-0.082	0.54	-1.355	-0.952	-0.942	-1.797	-1.139	-2.968	-3.338	-1.382	-1.461	-1.561	-1.309	-1.594	-1.341	-1.523	-2.302	-1.649	0.176	-1.5535	-0.165	-0.307	-0.723	-0.696	-0.375	-0.649
"YNL189W"	-0.751	-0.062	-0.29	-0.436	0.05	-0.61	-0.397	-0.902	-1.084	-1.349	-2.367	-4.06	-0.875	-1.183	-1.19	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.975	-1.6445	-0.42	-0.967	-1.047	-1.062	0.262	0.119
"YNR043W"	-1.019	-0.39	-0.693	-0.77	-0.7845	-1.8155	-1.672	-1.574	-1.86	-2.628	-2.934	-5.1565	-1.9175	-1.949	-1.8335	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	-1.088	-1.878	-0.688	-1.559	-1.841	-1.612	0.125	-0.544
"YOR164C"	-0.251	0.189	0.183	0.005	0.146	-0.4595	-0.137	-0.568	-0.779	-0.894	-2.555	-4.0095	-0.972	-1.1575	0.5865	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	0.186	-0.949	0.11	-0.345	-0.763	-1.272	0.447	0.615
"YOR209C"	-0.652	-0.228	-0.669	-0.975	-0.434	-0.84	-1.275	-1.5995	-1.2605	-1.766	-2.998	-6.004	-1.865	-1.647	-1.516	-0.801	-0.906	-1.227	-1.897	-2.681	-2.954	0.099	-1.009	-0.975	-1.757	-1.232	-1.354	-0.072	-0.187
"YOR232W"	-0.398	0.513	0.626	0.342	0.4355	-0.6385	-0.4815	-1.4585	-1.791	-1.397	-1.6365	-2.046	-0.5265	-1.5795	-1.436	-1.061	-1.406	-1.348	-1.334	-1.039	-1.303	0.467	-0.664	-0.379	-1.007	-0.64	-0.655	0.704	0.931
"YOR239W"	-0.538	-0.353	-0.241	-0.228	0.185	-0.777	-0.5165	-1.1765	-1.31	-2.145	-3.232	-5.0985	-1.0745	-1.633	-1.8425	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.478	-1.366	-1.752	-1.963	-1.992	-1.951	-0.599	0.315
"YOR253W"	-1.267	0.086	-0.282	-0.554	0.068	-1.568	-1.429	-1.46	-1.575	-1.759	-2.7935	-5.157	-1.475	-1.538	-2.16	-1.318	-1.139	-1.299	-1.872	-2.672	-2.633	-0.28	-0.978	-0.462	-0.742	-0.782	-0.632	0.089	-0.043
"YOR309C"	-1.663	-1.218	-2.476	-2.675	-0.927	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.9105	-3.8235	-2.194	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-2.034	-3.451	-3.577	-2.601	-2.983	-2.775	-2.874	-3.595
"YOR326W"	-0.926	-0.44	-0.328	-0.637	-0.3455	-1.798	-0.945	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-1.3315	-2.6115	-1.9335	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	-1.305	-1.467	-1.037	-1.606	-1.497	-1.522	-0.462	-0.073
"YPL273W"	-1.52	-0.0823333333333333	-0.916	-1.504	-0.282	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-1.092	-2.628	-1.99	-1.821	-2.3675	-2.6985	-0.924	-1.113
"YPR033C"	-0.59	-0.289	-0.8065	-1.045	-0.5595	-1.8465	-1.291	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.0735	-2.759	-2.6225	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-1.271	-2.107	-1.213	-2.213	-2.318	-2.374	-0.3105	-0.49
"YPR074C"	-1.655	0.247	0.1035	0.099	-0.3835	-2.5595	-2.0485	-2.134	-3.2975	-2.2945	-5.337	-5.42	-2.2005	-3.7185	-4.2955	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	-1.242	-3.132	-2.906	-3.257	-3.973	-3.946	-1.324	-1.191
"YPR114W"	-0.609	-0.25	-0.397	-0.3655	0.0945	-0.744	-1.103	-1.7955	-2.1515	-1.837	-2.9825	-3.903	-1.604	-1.798	-1.748	-1.276	-1.338	-1.177	-1.633	-1.738	-2.533	0.007	-1.335	-1.544	-1.596	-1.586	-1.907	0.05	0.286
"YPR129W"	0.202	0.308	0.218	-0.0485	-0.3545	-0.7765	-0.883	-0.8795	-1.3305	-1.0935	-1.8015	-6.025	-0.4075	-1.057	-0.8035	-0.966	-1.085	-1.288	-1.298	-2.61	-2.139	-0.017	-0.88	-0.248	-0.59	-1.173	-0.655	0.72	0.869
