	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"991.constant 0.32 mM H2O2 (120 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4782.DBYtrr1 vs. wild type DBY7286"	"8230.dtt 060 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34365.batch 02X25 6"	"40957.H2O2_II_120_min"	"42194.L2 Comp 07 hr 58 min Leucine Batch vs Chemostat Comparison"
"YLR009W"	-4.735	-4.564	-2.897	-4.204	-3.864	-1.651	-2.235	-1.527	-2.25	-2.132	-4.675	-2.624	-2.259	-2.408	-5.388	-2.737	-2.106	-1.804	-0.137	-1.547	0.131	0.287	-3.455	-2.226	-1.984	-2.757	-3.216	-2.799	-1.817	0.246	-0.876	-1.908	-1.555	-4.344	-2.856	-2.849	-2.61	-3.247	-1.23	-0.096	-0.188	-0.543	-0.085	-0.907	-1.872	-0.424	-1.242	-3.489	-3.436	-1.385	-1.829	-2.229	-3.361	-1.953	-2.074	-0.385	-1.844
"YLR051C"	-1.956	-1.549	-1.676	-2.137	-2.331	-0.99	-1.147	-0.711	-1.66	-1.398	-2.92	-1.697	-1.342	-1.739	-2.766	-1.169	-1.218	-0.885	-0.605	-1.584	-0.124	-0.144	-2.192	-1.441	-1.147	-1.277	-1.295	-0.923	-0.605	0.279	-0.496	-0.704	-1.399	-2.127	-1.101	-1.376	-1.247	-1.926	-0.329	-0.284	-0.559	-0.222	0.246	-0.054	-0.587	-0.059	-0.284	-1.927	-2.014	-0.711	-1.499	-1.68	-2.885	-1.77	-0.382	0.03	-1.41
"YLR449W"	-3.266	-2.903	-3.009	-3.738	-3.97	-1.414	-1.932	-1.31	-2.105	-2.712	-6.206	-3.515	-3.262	-2.978	NaN	-2.597	-2.685	-2.232	-0.897	-1.129	-0.606	-0.45	-3.782	-2.95	-3.268	-3.547	-4.626	-3.56	-1.866	0.023	-0.432	-1.475	-2.041	-4.241	-2.205	-1.937	-2.384	-2.546	-1.103	-1.529	-0.305	-0.243	-0.141	-1.398	-2.325	-0.365	-0.872	-3.053	-5.408	-1.224	-2.699	-3.658	-4.694	-2.945	-1.819	-0.382	-2.781
"YMR131C"	-4.819	-4.183	-3.849	-4.525	-4.347	-1.821	-1.871	-1.365	-2.255	-2.188	-5.631	-3.641	-3.811	-2.698	-6.665	-3.547	-1.744	-1.814	-0.664	-1.304	-0.012	0.036	-4.277	-2.776	-2.829	-3.214	-5.241	-4.266	-2.274	-0.753	-0.659	-1.36	-1.718	-4.674	-2.526	-2.228	-2.286	-1.937	-1.157	-1.858	-1.222	-0.733	-0.317	-0.263	-2.27	-0.65	-0.863	-2.123	-3.866	-1.519	-3.736	-1.412	-4.181	-2.68	-2.124	-1.12	-1.249
"YMR290C"	-3.64	-3.689	-2.957	-3.89	-3.624	-2.05	-2.714	-2.071	-2.545	-2.5	-5.132	-3.842	-3.455	-3.073	-5.217	-3.243	-1.688	-1.734	-0.356	-1.003	-0.39	-0.12	-4.614	-3.037	-3.295	-3.716	-3.665	-2.938	-2.712	-0.174	-0.595	-1.688	-1.853	-4.129	-2.521	-2.513	-1.971	-2.171	-0.577	-1.419	-0.928	-0.412	-0.624	-0.671	-1.254	-0.452	-0.405	-3.16	-4.343	-1.826	-3.98	-4.028	-4.544	-3.558	-3.084	-0.19	-1.427
"YNL060C"	-2.662	-3.546	-2.78	-3.921	-3.668	-1.743	-2.68	-1.681	-2.747	-2.318	-5.032	-2.43	-2.244	-2.105	-3.243	-2.119	-2.374	-1.613	-0.436	-1.043	-0.565	-0.628	-2.933	-1.673	-1.634	-1.725	-1.617	-1.851	-1.749	0.307	-0.79	-1.153	-1.36	-4.389	-2.692	-3.038	-2.461	-3.386	-0.779	-0.139	-0.544	0.191	0.433	-0.268	-1.339	-0.232	-0.71	-1.655	-3.38	-1.556	-2.13	-1.761	-3.208	-2.173	-1.811	0.719	-0.81
"YNL062C"	-3.459	-2.934	-2.143	-3.093	-2.844	-1.304	-1.093	-1.064	-1.917	-1.508	-4.157	-2.785	-2.295	-2.256	-6.263	-2.304	-1.303	-0.811	-0.108	-0.691	-0.435	-0.4	-2.028	-1.559	-1.91	-1.803	-2.639	-2.206	-0.73	-0.011	-0.605	-0.681	-1.0	-2.71	-1.877	-1.999	-1.761	-2.052	-0.662	-1.461	-0.86	-0.379	0.142	-0.456	-1.835	-0.254	-0.371	-3.32	-4.112	-1.365	-2.778	-2.698	-2.838	-2.509	-0.771	-0.142	-1.779
"YNL110C"	-4.43	-3.64	-3.768	-4.56	-4.991	-1.967	-2.683	-1.811	-2.66	-2.463	-5.108	-3.05	-2.608	-1.92	-3.296	-2.565	-2.263	-1.894	-0.979	-1.508	-0.096	-0.092	-4.151	-2.141	-1.741	-2.144	-2.985	-3.387	-1.875	-0.074	-0.867	-1.219	-2.027	-5.064	-2.547	-2.308	-2.18	-2.701	-1.094	-2.084	-0.677	-0.356	0.154	-0.724	-2.004	0.049	0.406	-4.233	-4.907	-1.921	-3.973	-3.18	-4.747	-2.546	-1.619	-0.279	-2.003
"YNL132W"	-4.679	-5.146	-3.658	-3.329	-4.954	-2.891	-2.634	-1.292	-2.754	-3.143	-5.826	-3.389	-2.815	-3.25	-6.392	-3.285	-1.847	-1.242	-0.612	-1.282	-0.245	-1.268	-4.353	-2.313	-2.799	-2.936	-4.377	-4.049	-1.988	-0.543	-1.132	-1.479	-1.974	-3.45	-2.48	-2.637	-2.541	-2.688	-0.7	-1.317	-1.658	-0.548	-0.103	-1.409	-1.701	-0.32	-0.041	-3.651	-4.311	-1.778	-3.564	-2.994	-3.989	-2.673	-1.684	-0.62	-0.733
"YNL227C"	-1.71	-0.968	-1.193	-0.471	-1.355	-0.71	-1.229	-0.882	-1.113	-1.64	-2.564	-1.37	-0.465	-0.54	-3.134	-1.802	-0.799	-1.134	-0.696	-0.957	-0.135	0.057	-2.221	-0.906	-0.898	-0.729	-2.085	-1.89	-0.415	0.424	-0.408	-0.585	-0.162	-1.165	-1.499	-1.394	-1.162	-1.058	-0.343	0.549	0.16	0.185	0.631	0.674	-0.207	-0.363	-0.339	-2.481	-2.201	-0.588	-1.013	-2.353	-3.556	-1.838	-0.402	0.125	-0.658
"YNL308C"	-3.929	-1.689	-2.757	-3.366	-3.336	-2.013	-2.095	-1.938	-3.186	-2.995	-4.351	-2.623	-2.15	-2.256	-2.686	-2.614	-2.488	-1.944	-0.437	-1.741	0.032	-0.506	-3.207	-1.872	-1.62	-2.065	-2.775	-2.852	-0.831	0.05	-0.826	-1.164	-1.01	-3.272	-2.602	-2.545	-2.764	-2.623	-0.526	-0.784	-0.309	0.158	0.214	-0.473	-1.459	0.013	-0.756	-4.501	-4.586	-1.77	-1.77	-1.512	-3.307	-2.409	-1.082	0.103	-2.2
"YOL077C"	-5.439	-5.04	-4.336	-5.22	-4.28	-2.172	-3.046	-2.24	-2.83	-2.938	-5.186	-0.2885	-3.087	-2.568	-6.552	-4.174	-3.012	-2.307	-1.18	-1.688	-0.183	-0.165	-3.705	-2.565	-2.549	-3.046	-3.894	-4.326	-1.821	-0.638	-0.569	-1.67	-2.119	-4.7	-3.214	-3.346	-3.013	-3.209	-0.322	-2.356	-1.027	0.382	-0.16	-1.73	-2.002	0.107	-2.092	-4.174	-4.969	-1.991	-4.679	-2.855	-5.145	-2.894	-2.759	-1.394	-0.842
"YOR242C"	-1.352	-0.515	-1.379	-1.247	-0.933	-0.865	-0.646	-0.143	-0.448	-0.693	-0.744	-0.76	-0.441	-0.4445	-2.172	-0.7555	-0.595	0.075	-0.013	0.517	0.025	-0.353	-1.795	-1.148	-1.054	-1.054	-1.659	-1.735	-0.101	0.585	-0.2835	-0.313	-0.0875	-0.418	-1.215	-0.83	-0.626	-1.94	0.012	0.157	0.188	0.46	0.295	1.025	0.268	0.055	0.476	-2.181	-1.106	-0.434	-1.048	-0.258	-1.55	-1.119	-0.571	0.507	-0.519
"YOR252W"	-2.343	-1.831	-2.11	-2.252	-1.787	-0.971	-1.609	-1.13	-1.58	-1.059	-1.9195	-1.25	-0.867	-0.6775	-2.9525	-2.196	-2.203	-1.213	-0.379	-0.995	-0.107	-0.288	-1.792	-1.262	-1.139	-1.067	-1.544	-1.207	-0.189	0.488	-0.628	-0.8735	-1.321	-2.365	-2.101	-2.076	-1.668	-1.98	-0.552	-0.994	-0.919	0.301	-0.192	-0.857	-1.071	0.285	-0.323	-1.654	-1.317	-1.367	-1.116	-1.691	-2.721	-1.585	-0.664	-0.597	-1.241
"YOR309C"	-4.991	-4.328	-3.697	-5.523	-5.514	-2.373	-2.572	-2.067	-2.476	-2.675	-6.798	-4.4185	-4.0545	-4.227	-6.859	-3.709	-2.156	-1.868	-0.444	-0.792	-0.154	0.003	-5.839	-3.084	-3.704	-4.353	-5.449	-5.009	-2.569	0.177	-0.4265	-1.4355	-1.968	-4.939	-3.13	-3.264	-3.161	-3.189	-0.52	-1.508	-1.512	-1.078	-0.344	-3.251	-1.68	-0.327	-1.092	-2.204	-2.102	-1.1	-2.645	-2.543	-4.097	-3.518	-3.28	-0.01	-1.61
"YOR310C"	-5.053	-4.365	-3.309	-4.639	-3.004	-2.161	-2.388	-1.986	-2.348	-2.686	-6.006	-3.92	-3.4655	-3.0705	-7.1385	-3.766	-2.005	-2.056	-0.937	-0.941	-0.127	-0.065	-5.777	-2.773	-3.838	-4.105	-5.099	-4.866	-2.782	0.029	-0.732	-1.645	-1.8115	-4.948	-3.17	-3.489	-2.765	-2.68	-0.445	-1.821	-1.241	-0.377	-0.195	-1.593	-2.173	-0.015	-0.362	-3.619	-4.326	-1.468	-4.099	-4.564	-5.14	-4.292	-3.229	-0.271	-1.425
"YPL068C"	-1.903	-1.534	-0.897	-1.35	-1.447	-0.887	-1.063	-0.492	-0.914	-0.664	-2.2615	-1.6305	-1.6865	-1.5695	-2.7665	-1.6175	-0.322	-0.083	-0.023	-0.285	0.367	0.3	-2.515	-1.564	-1.617	-1.192	-2.021	-2.076	-0.652	0.251	0.2015	-0.052	0.105	-1.924	-0.909	-1.215	-1.036	-2.639	-0.064	-0.446	-0.192	-0.262	-0.017	-1.083	-0.203	0.034	0.131	-1.601	-2.115	-0.978	-1.728	-1.973	-2.503	-1.918	-0.221	0.461	0.294
"YPL212C"	-2.8775	-2.504	-2.069	-3.0655	-2.0715	-1.3275	-0.9905	-0.9265	-1.24433333333333	-1.38833333333333	-3.33233333333333	-2.51233333333333	-2.52533333333333	-1.83233333333333	-2.626	-1.874	-0.4875	-0.8875	-0.3715	0.081	-0.311	-0.3015	-2.621	-2.0305	-2.322	-2.2515	-2.134	-0.999	-0.691	0.261	-0.698333333333333	-1.161	-1.126	-2.912	-2.107	-1.7865	-2.41	-1.7645	-0.228	-0.4685	-0.512	-0.2065	-0.413	0.2225	-1.08	-0.2275	-0.1605	-2.2795	-2.6875	-1.0725	-1.685	-2.339	-3.1355	-2.7785	-0.8255	-0.2035	-1.0875
