	"81.cdc15 090 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1300.DBY7286 Low-Pi vs. High-Pi"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5242.DES460 (wt) - mock irradiation - 90 min"	"5243.DES459 (mec1) - mock irradiation - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6824.Sporulation t0"	"7762.Na+FK 15min"	"11466.yO1 test hyb"	"11827.Pomona College Bio164: WT/dna2-1"	"12734.Nitrogen Depletion 12 h"	"12737.Nitrogen Depletion 2 d"	"12739.Nitrogen Depletion 30 min."	"14761.Ca 30min (1)"	"15181.Ca 30min (2)"	"15182.Ca 60min (2)"	"15635.Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34368.batch 02X25 7"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YDR418W"	0.622	-3.707	-3.13	-2.237	-2.192	-2.976	-3.074	-5.866	-2.797	-2.605	0.581	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	-0.199	0.253	-0.029	0.215	-0.976	0.211	0.368	-0.076	0.075	-2.345	-0.039	-2.678	-2.291	-2.015	-0.25	0.086	0.225	-0.911	0.062	-0.227	-0.004	-4.005	-2.423	-3.057	0.545	-2.546	-1.225	-1.928
"YEL054C"	-0.79	-3.654	-2.711	-1.871	-1.511	-2.981	-2.98	-7.056	-3.003	-2.232	0.546	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	-0.249	0.091	0.065	0.328	-1.249	0.346	0.428	0.171	0.263	-2.202	0.26	-2.696	-2.388	-2.279	-0.411	-0.198	0.4435	-0.75	-0.136	-1.0525	-0.2605	-4.422	-2.487	-2.936	0.71	-2.85	-1.931	-1.45
"YER043C"	0.277	-3.945	-1.445	-2.553	-2.767	-3.397	-4.78	-6.476	-3.096	-3.18	0.452	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.09	-0.103	-0.29	0.064	-0.538	0.078	0.334	-0.009	-0.24	-1.415	-0.044	-2.015	-2.487	-0.649	-1.042	-0.545	-0.656	-0.823	0.277	-0.933	-0.702	-3.094	-2.542	-2.202	0.534	-2.554	0.303	-1.655
"YER052C"	-0.507	-4.017	-1.285	-0.627	-0.211	-0.107	-3.288	-5.276	0.12	-0.269	0.431	-2.141	-0.12	-0.18	-1.066	-2.746	-2.953	-2.839	0.405	-0.239	-0.107	-0.163	0.059	0.607	-0.088	-0.214	-0.011	-0.365	0.415	-1.588	-0.766	0.673	0.994	0.425	0.733	-0.113	0.271	-0.698	-0.516	-0.812	-1.132	-0.82	-0.713	-0.063	-0.593	-0.8
"YER102W"	-0.2995	-3.932	-3.965	-2.924	-2.3	-2.578	-3.64	-6.434	-3.37	-3.204	0.662	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	-0.18	0.299	0.289	0.177	-0.795	0.334	0.105	0.068	-0.067	-2.388	-0.272	-2.133	-1.328	-1.178	-0.686	-0.331	0.537	-0.206	-0.107	-0.313	-0.284	-3.324	-2.758	-2.329	0.521	-2.774	-1.112	-1.941
"YGL016W"	-0.499	-1.929	-0.664	-0.604	-1.474	-1.127	-3.034	-4.265	-1.104	-1.391	0.399	-1.719	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.089	0.106	0.259	0.169	-0.413	0.126	0.212	-0.196	0.445	-1.374	0.059	-1.867	-2.353	-1.151	-1.129	-0.803	-0.591	-0.847	-0.05	-0.442	-0.661	-0.024	-0.788	-0.881	-0.141	-1.284	-1.853	-0.261
"YGL076C"	0.104	-3.969	-3.136	-2.564	-2.446	-2.401	-3.976	-5.667	-2.857	-1.957	0.372	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	-0.264	-0.016	0.171	0.324	-1.298	0.104	0.226	-0.125	-0.091	-1.8735	0.4215	-2.237	-1.742	-1.62	-0.8405	-0.689	-0.1085	-1.4615	0.2195	-1.469	-0.5705	-4.003	-3.509	-3.315	0.629	-2.886	-1.751	-1.4
"YGL195W"	-0.073	-1.338	-1.0485	-0.5865	-0.955	-1.078	-1.5115	-3.33	-0.649	-1.521	-0.264	-2.169	-1.356	-2.0895	-2.3115	-2.4845	-2.527	-2.439	-0.079	-0.12	-0.248	0.277	0.1855	-0.3755	0.4965	-0.143	0.015	-0.5745	0.687	-1.9695	-2.333	-0.8305	-0.038	-0.195	-0.068	-0.7815	-0.168	-0.196	0.0255	-1.0155	-1.17	-1.6385	0.3705	-0.9105	-0.5415	-0.446
"YGR085C"	0.559	-3.713	-3.301	-2.202	-2.29	-2.146	-3.406	-6.059	-3.013	-2.215	0.451	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.365	0.278	0.084	-0.038	-1.614	0.311	0.004	0.29	0.274	-2.156	0.415	-2.078	-1.73	-1.073	-0.55	-0.041	0.267	-0.919	0.105	-0.89	-0.76	-4.004	-2.792	-3.003	0.226	-2.491	-1.448	-1.866
"YGR124W"	-0.262	-2.537	-1.595	-1.917	-2.741	-2.43	-2.597	-4.207	-1.518	-0.014	0.38	-2.554	-1.658	-2.324	-2.426	-2.945	-3.169	-3.758	0.104	-0.188	-0.096	-0.114	0.425	0.357	0.184	-0.278	0.316	-2.916	-0.6225	-2.723	-1.788	0.802	0.9245	0.6425	0.2665	-0.1415	-0.268	0.4015	0.46	-2.742	-2.935	-2.662	0.24	-0.946	-0.534	-1.634
"YGR148C"	0.436	-3.45	-3.596	-3.033	-2.31	-2.615	-3.884	-5.757	-2.956	-2.722	0.293	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	-0.289	0.022	-0.208	0.079	-0.739	0.25	0.029	-0.28	0.068	-2.7095	-0.1935	-1.848	-1.162	-0.573	-0.412	-0.681	0.1415	-0.479	-0.193	-0.531	-0.405	-3.53	-2.779	-2.693	0.763	-2.588	-0.946	-1.405
"YGR185C"	0.283	-3.192	-1.697	-1.31	-2.13	-2.168	-5.306	-6.361	-2.6	-2.266	0.491	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.076	0.181	0.26	0.199	-0.796	0.0675	0.098	0.162	0.501	-2.438	0.818	-2.21	-2.459	-0.288	-0.52	-0.432	-0.067	-0.616	-0.191	-0.508	-0.057	-3.17	-2.768	-2.312	0.025	-0.749	-0.217	-0.361
"YGR236C"	-1.322	5.885	5.633	5.548	6.013	4.335	5.413	6.474	5.567	5.087	-0.73	2.582	2.144	3.123	3.07	4.433	4.451	5.04	0.466	0.085	0.159	-0.193	0.356	-0.4745	-0.213	-0.214	0.206	4.122	0.256	0.879	1.811	-0.313	0.892	0.802	-0.008	0.725	0.255	0.792	0.242	6.492	7.961	6.182	-0.816	2.895	-0.417	1.165
"YGR264C"	-0.529	-3.787	-2.696	-3.156	-2.945	-3.206	-5.206	-4.616	-2.811	-3.49	0.362	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-0.388	-0.079	-0.156	-0.338	-1.171	-0.026	0.1	0.088	-0.064	-2.468	-0.182	-2.246	-2.376	-1.342	-1.045	-1.035	-0.701	-1.536	0.147	-1.007	0.092	-3.556	-2.673	-3.082	-0.011	-1.432	-0.831	-2.253
"YGR285C"	0.163	-3.959	-2.444	-1.794	-1.645	-1.67	-4.078	-6.1	-1.877	-1.393	-0.065	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-0.269	0.15	-0.78	0.531	-0.813	-0.0025	0.047	-0.248	0.416	-2.068	-0.84	-2.035	-2.483	-1.291	-0.448	-0.156	-0.408	-0.836	-0.264	-1.114	-0.641	-2.948	-2.607	-2.554	1.074	-1.5	0.058	-0.679
"YHL033C"	0.263	-3.758	-2.864	-1.944	-1.277	-2.205	-3.984	-6.65	-3.005	-2.318	0.49	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	-0.046	0.08	0.071	0.519	-0.737	-0.0885	0.221	0.348	0.265	-1.956	-0.04	-1.93	-1.445	-1.169	-0.168	-0.037	0.256	-0.942	-0.224	-0.591	0.371	-1.38	-1.757	-1.385	0.672	-1.49	-0.649	-1.142
"YIL052C"	0.187	-3.856	-3.261	-2.61	-2.22	-3.178	-2.895	-6.278	-2.559	-2.622	0.135	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-0.151	0.24	0.09	0.191	-0.736	0.236	0.211	-0.239	0.229	-1.743	0.291	-2.008	-1.026	-0.844	-0.52	-0.577	0.327	-1.191	-0.305	-1.426	-0.623	-3.32	-2.562	-2.677	-0.19	-2.473	-2.032	-2.14
"YIL078W"	-0.08	-2.907	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-2.5	-2.462	0.423	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.087	0.141	-0.013	-0.063	-0.014	0.1345	0.001	-0.127	0.325	-2.348	-0.297	-2.573	-2.6	-0.463	-1.354	-0.84	-0.486	-0.524	0.158	-0.443	-0.206	-3.116	-1.937	-2.548	0.153	-1.442	-0.364	-1.579
"YKL057C"	0.126	-0.863	-0.583	-0.509	-0.361	-0.944	-2.185	-3.042	-0.658	-1.514	0.153	-0.726	-0.758	-0.87	-1.246	-2.406	-2.666	-2.892	0.289	0.767	0.09	-0.11	-0.395	-0.0605	-0.212	-0.153	-0.277	-0.117	0.334	-1.466	-1.901	-0.557	-0.539	-0.392	-0.546	0.235	0.05	0.379	0.113	-1.525	-1.192	-1.348	-0.055	-0.208	0.258	-0.918
"YKL180W"	0.224	-2.661	-2.738	-1.831	-1.633	-1.857	-2.561	-5.237	-2.593	-2.296	0.427	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	-0.104	0.469	0.535	0.161	-1.054	0.5	0.449	0.441	0.239	-2.393	-0.477	-2.025	-1.757	-1.285	-0.762	-0.561	0.019	-0.687	0.049	-1.153	-0.598	-3.827	-3.339	-2.962	0.417	-2.998	-1.363	-2.531
"YKL217W"	0.459	5.715	6.332	5.515	5.188	5.504	6.057	5.508	4.881	4.935	-0.324	5.204	5.036	4.489	4.2	6.184	7.178	6.94	0.317	0.102	-0.055	-0.129	0.896	-0.09	-0.035	-0.215	-0.338	3.157	-0.215	0.068	0.252	-0.376	0.157	0.541	-0.109	0.786	0.278	2.397	-0.381	5.399	6.083	6.592	-0.709	3.437	2.822	1.386
"YKR097W"	0.064	5.028	6.83	6.862	7.33	5.367	5.07	4.713	5.974	6.148	-0.357	6.922	6.534	5.735	5.448	6.528	6.693	5.565	-0.164	0.087	0.198	-0.276	0.115	-0.231	0.225	0.317	0.348	5.059	0.388	2.05	3.323	0.091	-0.339	-0.465	-0.048	-0.85	0.061	-0.292	-0.446	4.862	5.975	5.295	0.15	4.865	-0.712	2.264
"YLL020C"	0.406	2.548	2.425	2.393	2.931	3.266	3.846	2.385	1.519	1.423	0.231	1.886	1.633	2.494	2.677	3.623	3.679	3.754	0.875	0.281	0.084	-0.139	0.565	0.022	-0.174	0.15	-0.06	2.314	-0.217	1.227	1.421	-0.309	0.667	0.374	0.304	-1.051	-0.031	0.356	0.003	2.446	2.618	2.687	-0.253	1.354	0.397	-0.4
"YLL045C"	0.331	-3.851	-3.176	-2.189	-1.64	-2.221	-3.857	-6.618	-3.185	-2.744	0.265	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.053	0.223	0.18	0.567	-0.349	-0.056	0.145	0.258	0.228	-2.165	0.265	-1.749	-1.237	-1.497	-0.319	-0.259	-0.068	-0.696	-0.345	-0.288	-0.105	-3.449	-2.833	-3.87	0.521	-2.191	-2.09	-2.416
"YLR060W"	-0.007	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-2.672	-2.566	0.369	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.055	-0.212	-0.082	-0.136	-0.573	0.076	-0.073	0.144	0.212	-2.464	-0.349	-1.72	-1.452	-0.624	-0.265	-0.036	-0.3	-0.772	-0.194	-0.247	-0.34	-2.734	-2.666	-2.996	0.079	-2.175	-0.664	-2.153
"YLR061W"	0.401	-4.925	-4.297	-3.603	-2.908	-3.127	-4.939	-6.591	-3.021	-3.058	0.289	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.377	0.078	0.433	0.475	-1.212	0.465	0.401	0.087	-0.322	-2.482	0.823	-1.368	-1.363	-1.581	-0.26	-0.586	0.044	-1.111	-0.103	-0.938	-0.516	-2.468	-2.246	-2.793	-0.085	-2.108	-2.073	-2.364
"YLR062C"	0.395	-4.53	-4.418	-3.067	-3.127	-4.077	-5.705	-6.896	-3.965	-3.18	0.213	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.086	0.023	0.353	0.548	-1.663	0.278	0.095	-0.324	0.071	-2.675	0.466	-2.666	-2.16	-1.833	-0.934	-0.34	0.441	-1.213	-0.105	-2.077	-1.822	-3.806	-3.723	-4.001	0.584	-2.876	-2.5	-2.878
"YLR208W"	-0.1945	-0.669	-1.031	-0.814	-1.266	NaN	-1.968	-4.432	-1.568	-2.018	0.127	-1.032	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	0.256	-0.252	-0.148	-0.113	-0.413	0.063	-0.193	0.327	0.185	-1.044	-0.344	-1.398	-1.525	-0.09	0.392	0.573	0.05	0.536	-0.169	-0.194	-0.153	-0.742	-0.841	-1.02	-0.108	-0.541	0.304	-0.392
"YLR312C"	0.835	4.821	5.627	5.561	5.97	4.818	6.051	6.5	4.286	4.34	-0.922	4.955	5.214	4.896	5.569	6.764	7.043	6.406	NaN	0.426	0.788	0.125	0.74	-0.288	0.672	-0.091	0.407	3.462	0.048	4.618	4.296	1.404	0.652	0.746	0.541	1.063	0.092	1.837	0.996	3.148	4.818	4.667	-0.319	2.954	2.334	1.073
"YMR247C"	-1.0405	-1.184	-0.471	-0.257	-0.548	-0.227	-1.4055	-2.271	-0.286	-1.2405	-0.23	-1.0935	-0.8245	-1.069	-1.032	-2.104	-2.2935	-2.7345	0.116	0.0375	-0.0235	0.153	-0.4355	0.0395	-0.1465	-0.202	0.2115	-0.0393333333333333	0.171	-1.431	-1.718	-0.557	-0.3195	-0.00949999999999998	0.1975	0.093	0.0175	-0.132	-0.2675	-1.134	-0.541	-0.704	-0.333	0.265	-0.116	-0.301
"YMR325C"	-0.151	0.549	0.712	0.944	1.429	0.946	0.944	-0.674	1.116	0.97	0.12	0.391	0.567	1.246	1.528	1.374	1.072	0.939	0.333	-0.103	-0.04	0.233	0.238	-0.031	-0.183	0.158	-0.124	0.8585	-0.087	0.872	0.365	0.095	-0.249	-0.121	-0.16	-0.098	-0.237	-0.481	-0.191	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YNL096C"	NaN	-4.113	-3.765	-3.235	-2.81	-3.616	-4.038	-6.106	-2.761	-3.165	0.255	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.267	-0.057	-0.048	-0.139	-1.154	0.169	0.049	-0.25	-0.401	-2.8625	0.338	-2.296	-1.704	-1.727	-0.486	-0.811	0.254	-1.367	0.272	-2.207	-0.804	-3.52	-2.764	-3.372	0.368	-2.343	-1.178	-2.045
"YNL119W"	0.235	-6.697	-3.692	-2.909	-2.2	-3.337	-5.354	-6.231	-2.99	-2.998	0.312	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.737	-0.324	-0.225	-0.525	-1.256	0.044	-0.017	-0.54	-0.098	-1.92	-0.297	-1.803	-1.486	-1.461	-0.934	0.101	-0.29	-0.682	-0.189	-1.269	-1.136	-3.587	-2.801	-2.748	0.26	-2.198	-1.947	-2.566
"YNL178W"	0.236	-4.244	-3.755	-3.505	-1.857	-3.159	-4.338	-6.62	-3.272	-3.183	0.244	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	-0.421	0.438	-0.138	0.155	-0.422	0.117	-0.084	-0.073	0.08	-2.479	0.263	-2.566	-2.071	-1.057	-0.642	-0.63	0.177	-0.629	-0.133	-0.732	-0.648	-2.898	-2.059	-2.616	-0.267	-2.957	-2.545	-2.772
"YNL301C"	0.361	-2.992	-2.551	-2.036	-1.241	-3.266	-5.123	-6.272	-3.098	-2.59	0.426	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	-0.335	0.135	0.423	0.463	-1.027	-0.02	0.13	-0.001	-0.125	-2.232	-0.685	-2.389	-1.836	-1.422	-0.605	-0.469	-0.532	-0.949	-0.277	-1.225	-0.816	-4.167	-3.163	-3.032	0.265	-3.041	-1.619	-2.51
"YNR043W"	0.149	-3.5005	-1.8155	-1.574	-1.86	-2.628	-2.934	-5.1565	-1.949	-1.8335	0.1	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.232	-0.264	-0.532	0.129	0.076	0.057	-0.073	-0.084	0.102	-1.878	0.599	-1.559	-1.612	-0.485	-0.533	-0.762	-0.044	0.747	0.009	-0.247	-0.201	-1.759	-1.955	-1.673	0.298	-0.943	-0.544	-1.433
"YOR031W"	-1.783	2.7555	1.852	2.213	0.9345	2.678	6.023	2.537	1.24	3.299	0.123	3.26	2.427	3.88	4.039	5.635	5.711	5.6	0.951	0.098	-0.241	0.357	-0.138	0.014	0.089	0.107	-0.104	2.836	1.286	2.282	2.926	-0.246	1.373	1.164	0.246	-0.597	0.021	0.43	0.539	3.458	3.419	3.733	0.079	3.621	2.39	3.276
"YOR032C"	NaN	1.409	0.91	2.276	2.372	2.21	3.784	3.271	1.946	2.901	-0.027	1.009	1.033	2.599	2.772	3.53	4.701	3.536	1.013	0.234	0.101	0.313	-0.295	-0.11	0.164	-0.302	0.021	1.863	0.202	2.379	2.397	0.314	0.64	0.001	0.134	0.425	0.108	-0.088	0.179	1.284	0.931	1.236	-0.463	0.603	-0.557	-1.119
"YPL079W"	-0.155	-4.616	-4.1965	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.0255	-3.112	0.148	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.616	0.031	-0.058	0.193	-0.4	0.143	0.437	-0.072	-1.34	-1.673	0.801	-2.001	-1.575	-1.506	-0.341	-0.591	0.111	-0.636	-0.057	-1.111	-0.789	-2.865	-2.753	-3.431	0.251	-2.116	-1.662	-2.983
"YPL081W"	0.191	-4.5065	-3.3595	-3.083	-2.508	-3.086	-3.4025	-6.801	-2.428	-2.3315	0.181	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-0.531	0.099	0.136	0.289	-0.246	0.171	0.383	-0.228	-1.48	-1.844	0.527	-1.895	-1.527	-1.583	-0.084	-0.366	0.504	-0.852	0.082	-0.856	-0.371	-3.083	-2.359	-2.717	0.17	-2.468	-1.555	-2.32
"YPL090C"	0.193	-3.9615	-3.256	-2.4215	-2.57	-2.203	-4.364	-6.197	-3.3795	-3.2385	0.286	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.373	-0.045	0.066	0.182	-1.207	-0.062	0.12	-0.096	0.105	-2.061	0.704	-2.127	-1.342	-1.184	-0.43	-0.31	-0.416	-0.679	-0.462	-0.443	-1.019	-4.244	-3.265	-3.571	0.196	-2.515	-1.851	-2.573
"YPL142C"	0.436	-3.1395	-2.973	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.8235	-2.16	0.25	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	-0.295	0.2	-0.016	0.275	-0.598	0.304	0.082	0.271	0.035	-2.011	-1.038	-1.836	-1.22	-1.409	-0.422	-0.3	0.306	-0.626	-0.203	-1.032	-0.69	-3.763	-3.021	-3.278	0.091	-2.674	-1.942	-2.419
"YPR033C"	0.096	-2.7945	-1.8465	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.759	-2.6225	0.345	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.247	0.015	0.183	0.302	-0.614	0.242	-0.105	0.135	-0.073	-2.107	0.183	-2.213	-2.374	-0.609	-0.132	-0.005	0.055	-0.231	-0.181	-0.809	-0.749	-2.1325	-2.033	-1.9695	-0.0325	-1.289	-0.49	-1.4035
