	"39.alpha factor release sample027"	"56.Elutriation2:Sample2:Time3.5hrs"	"93.cdc15 180 min"	"108.heat shock 15 min"	"406.heat shock 37 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"651.alpha factor release sample019"	"680.YP glucose vs reference pool"	"685.YP sucrose vs reference pool"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"972.1 mM Menadione (10 min)redo"	"981.wt_plus_gamma_60_min"	"991.constant 0.32 mM H2O2 (120 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1105.alpha factor release sample023"	"1170.pho85 delete vs. wild type"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"6681.trr - 0.1 mM H2O2 - 30 min"	"12744.heat shock 17 to 37, 20 minutes"	"13063.wt/crz1 Ca 30min (1)"	"13496.G0 mRNP vs. Poly"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34351.wt_hypo_osmotic_shock_60min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38153.03II01 batch p9"	"40976.MD_II_140_min"	"42192.L2 Comp 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YIL155C"	-0.2885	0.4405	0.4965	2.11166666666667	-0.0823333333333333	1.03233333333333	0.606666666666667	-0.05	-1.264	-1.109	0.6615	1.725	2.2955	2.221	2.5535	1.566	2.7135	2.4965	1.8295	1.8615	1.871	2.293	1.7625	-0.45	0.568	0.2265	1.8305	1.9575	0.968	1.4335	0.1365	-0.891	0.65	0.862	0.023	-0.336	-0.301	-0.185	1.316	0.3635	0.1195	0.722	0.671	2.422	3.229	2.528	0.377	2.436	2.744	1.892	2.155	-0.128	1.729	0.164	0.093	0.155	NaN	-0.104
"YIL172C"	-0.115	-0.1075	0.729	1.13933333333333	-0.145666666666667	1.01233333333333	0.891	-0.147	-1.164	-0.4655	0.5075	2.633	2.448	3.4115	2.6745	1.4735	1.503	1.087	1.9225	1.922	1.904	1.691	1.4855	0.05	0.286	0.139666666666667	1.606	1.6545	1.207	0.9045	-0.0705	0.282	0.7485	0.8135	-0.0735	0.0945	-0.0145	0.3595	1.59333333333333	-0.273	-0.235	0.507	0.268	1.494	2.054	0.485	0.404	2.74	2.509	2.288	1.733	-0.513	0.576	1.905	-0.1375	1.349	0.21	0.516
"YJL166W"	-0.166	0.326	1.238	1.501	0.444	2.2645	1.883	-0.088	-0.779	-0.5	1.13	3.137	3.667	3.5	3.101	2.498	3.751	3.849	2.392	2.57	2.339	2.197	2.526	0.255	0.478	0.562	3.028	2.833	2.507	2.963	0.107	0.48	1.878	1.383	0.146	0.059	0.081	0.826	2.077	-0.544	-0.06	1.267	-0.043	4.107	3.65	3.802	-0.458	2.806	3.428	3.524	3.809	-0.003	-2.127	0.984	-0.299	0.741	-0.554	0.636
"YJL221C"	0.162	0.156	-0.5205	1.938	-0.158	0.9115	0.951	0.157	-0.807	-0.202	0.379	2.795	2.403	2.926	2.899	1.331	1.289	1.46	1.809	1.723	2.396	2.034	1.365	0.02	0.159	0.229	1.53	1.706	1.16	1.231	0.091	0.19	1.428	1.105	-0.018	0.055	0.034	0.335	1.755	-0.018	-0.453	0.339	-0.522	1.607	1.803	0.295	-0.144	2.415	2.217	1.735	1.358	0.173	0.94	2.064	0.745	0.144	-0.869	0.545
"YKL006W"	0.803	0.785	0.194	-1.828	-0.245	-3.315	-3.5445	0.229	0.748	0.897	-1.718	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-2.6	-3.049	-3.027	-2.997	-2.743	0.743	-0.823	0.584	-4.545	-2.315	-2.442	-2.791	0.49	-0.605	-0.989	-1.748	0.239	-0.563	-0.045	-0.509	-3.02	0.142	0.097	-1.927	0.133	-4.432	-3.39	-2.92	0.108	-4.756	-4.221	-2.993	-3.593	0.062	-2.715	-1.35	NaN	-1.41	1.592	0.921
"YKL085W"	-0.221	0.557	0.977	2.516	-0.31	2.557	2.992	0.078	-2.016	-1.445	0.708	4.338	4.621	4.735	3.853	2.829	3.112	1.63	2.486	2.52	2.675	1.921	2.371	-0.768	0.33	0.614	3.733	3.587	2.72	2.135	-0.224	-0.127	3.036	3.032	-0.104	0.321	0.227	0.436	2.286	0.92	1.842	2.442	0.624	3.126	3.575	3.463	-0.215	2.917	3.615	3.704	3.219	0.453	-1.639	3.561	1.731	-0.214	1.246	0.626
"YKL141W"	-0.141	0.022	NaN	1.653	0.61	1.526	1.914	-0.084	-1.641	-0.364	0.613	3.018	4.073	3.933	2.821	2.412	1.502	0.0	1.408	1.988	2.335	1.625	1.643	0.216	0.06	0.458	3.948	3.124	2.215	2.058	0.018	0.331	2.174	3.126	0.14	0.201	0.119	-0.026	1.887	0.606	0.649	1.538	1.531	3.281	4.116	3.983	0.306	2.82	3.791	4.053	3.155	0.342	-3.325	1.583	-1.185	-1.298	0.709	0.207
"YLR075W"	0.566	0.608	-0.233	-1.006	0.588	-1.85	-2.416	0.053	0.519	0.505	-0.767	-4.356	-3.127	-2.622	-2.246	-2.047	-2.366	-1.991	-1.197	-2.552	-2.46	-2.807	-2.616	-0.338	-0.477	0.111	-4.079	-1.489	-1.706	-1.888	0.47	-0.154	-0.886	-1.906	0.521	-0.037	0.118	0.513	-1.842	0.374	0.62	-1.445	0.031	-4.584	-2.951	-2.268	0.145	-4.051	-3.6	-2.245	-2.384	0.135	-2.962	-0.743	-1.841	-1.589	0.873	1.03
"YLR185W"	0.24	0.072	-0.91	-1.94	0.69	-2.305	-2.948	0.093	-0.8	0.915	-1.103	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-1.464	-2.94	-2.559	-2.616	-2.445	0.672	-0.74	-0.132	-4.019	-2.046	-2.136	-2.209	0.834	-0.387	-1.231	-1.487	-0.13	0.468	-0.076	-0.299	-2.487	0.479	-1.172	-0.933	0.213	-3.712	-3.007	-2.345	-0.156	-3.488	-3.242	-2.643	-3.35	0.18	-1.79	-0.887	-1.927	-0.658	1.282	0.485
"YLR388W"	0.504	0.74	0.916	-1.974	0.428	-2.879	-3.074	0.077	-0.165	0.277	-0.766	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-1.651	-3.204	-3.058	-2.742	-2.362	0.212	-0.044	0.493	-4.025	-2.079	-2.671	-2.555	0.298	-0.405	-1.207	-1.452	0.353	0.512	0.422	-0.221	-2.761	0.372	-1.633	-0.623	0.278	-3.674	-2.798	-2.25	0.418	-3.762	-3.521	-2.816	-2.864	0.373	-1.723	-0.893	-2.105	0.368	1.327	0.337
"YLR395C"	0.066	-0.055	0.278	0.736	0.198	0.832	0.885	-0.093	-1.118	-0.721	-0.135	1.93	2.713	2.793	2.278	2.066	2.005	1.17	1.497	1.492	1.422	1.297	1.174	0.484	0.051	0.479	2.788	2.213	1.866	2.062	-0.187	-0.61	1.447	2.095	-0.299	-0.07	-0.351	-0.193	0.715	0.392	-0.486	1.186	-0.608	2.189	3.275	2.806	0.024	0.94	2.407	2.411	1.027	-0.048	-2.43	1.515	0.854	-0.692	0.841	0.021
"YML063W"	0.595	0.422	-0.833	-2.023	0.601	-3.191	-3.74	0.083	0.813	0.237	-1.162	-4.408	-3.73	-3.027	-2.778	-2.416	-2.904	-4.048	-1.348	-3.657	-3.146	-3.415	-2.83	0.261	-0.631	0.26	-5.57	-2.159	-2.658	-2.875	0.249	-1.102	-1.512	-2.032	0.161	0.128	0.262	-0.529	-3.158	0.238	0.933	-2.699	0.212	-4.819	-3.531	-2.707	0.213	-4.008	-3.578	-2.829	-3.392	0.149	-2.072	-1.204	-1.337	-0.77	0.452	1.335
"YNL162W"	0.514	0.316	0.122	-2.024	-0.791	-3.17	-3.58	0.083	0.924	0.826	-1.168	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-1.564	-2.86	-2.872	-2.421	-2.763	0.605	-0.499	-0.202	-3.999	-2.089	-2.0	-2.0	0.343	-0.772	-0.845	-1.624	0.096	0.087	0.199	-0.493	-2.998	0.337	-0.112	-1.777	-0.056	-2.704	-2.701	-2.189	-0.312	-3.916	-3.323	-2.825	-3.105	-0.288	-1.293	-1.198	-1.637	-1.464	0.224	0.488
"YOR312C"	0.065	0.666	-1.037	-2.426	0.531	-2.723	-3.7	-0.189	0.785	0.746	-1.31	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-2.054	-2.99	-3.177	-3.0	-2.5975	0.163	-0.242	0.073	-4.638	-2.15	-2.511	-2.402	-0.155	-0.793	-1.537	-2.235	-0.041	0.442	0.16	-0.092	-2.873	0.303	0.692	-2.611	0.263	-4.379	-3.433	-3.512	-0.477	-4.531	-3.454	-2.689	-2.886	-0.048	-2.438	-1.223	-1.228	-1.84	0.809	0.668
"YPL079W"	0.463	-0.037	-0.3245	-2.261	-0.714	-3.115	-3.828	-0.085	0.65	0.504	-1.356	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-1.7255	-3.085	-3.172	-3.0255	-3.112	0.325	-0.431	-0.144	-4.735	-2.781	-2.741	-3.087	0.687	-0.275	-1.078	-1.496	0.262	-0.041	0.053	-0.779	-3.135	0.531	-0.056	-1.721	-0.312	-2.865	-2.753	-2.74	-0.329	-3.573	-3.431	-2.725	-2.785	-0.03	-1.659	-1.481	-2.506	-0.899	1.198	0.819
"YPL090C"	0.102	0.983	0.716	-2.294	0.101	-3.529	-3.965	-0.097	0.319	0.086	-1.299	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-1.463	-3.398	-3.223	-3.3795	-3.2385	0.577	-0.3	0.204	-5.307	-2.412	-2.833	-2.954	0.142	-0.484	-1.221	-1.174	0.091	0.186	0.133	-0.429	-3.272	0.157	1.259	-2.305	-0.353	-4.244	-3.265	-3.165	-0.253	-4.101	-3.571	-2.951	-2.658	0.033	-1.846	-1.433	-1.106	-1.081	1.605	0.416
"YPL135W"	0.565	0.222	1.299	2.361	-0.014	0.745	0.653	0.97	-0.677	-1.295	0.136	1.3985	2.441	2.5035	2.0905	1.31	1.675	3.229	1.7905	1.9355	2.225	2.1165	2.152	-0.03	-0.473	0.109	2.266	1.725	1.406	1.463	0.341	0.52	1.586	2.21	0.716	-0.235	-0.392	-0.076	0.567	0.486	-0.687	0.707	0.061	1.653	2.356	2.31	-0.339	0.713	2.677	2.271	1.676	0.492	-0.684	0.738	-0.454	-0.995	-2.152	0.111
"YPL142C"	0.152	0.579	1.032	-1.892	-0.164	-2.913	-3.225	0.101	0.966	0.564	-0.871	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-2.088	-2.825	-3.3035	-2.8235	-2.16	0.423	-0.029	0.246	-4.155	-2.082	-2.303	-2.376	0.061	-1.025	-1.553	-1.909	0.263	0.447	0.15	-0.187	-3.034	0.253	-0.9975	-1.946	0.086	-3.763	-3.021	-2.696	-0.287	-3.677	-3.278	-2.971	-3.35	0.053	-2.574	-0.778	-1.262	-0.82	0.326	0.937
"YPL185W"	-0.655	-0.325	NaN	2.006	-0.396	1.028	1.322	-0.521	-0.652	-0.7	-0.124	3.009	3.0735	2.0505	2.949	2.416	3.7425	1.741	2.343	2.3785	2.766	2.5035	1.497	-0.58	-0.292	0.03	0.821	0.385	0.81	0.844	-0.494	-0.195	1.692	1.766	-0.407	-0.402	-0.109	0.01	NaN	0.472	-0.7745	-0.15	0.096	0.978	2.22	2.109	-0.259	2.176	2.7	1.669	2.305	-0.443	-0.429	1.195	0.71	-0.07	-2.026	-0.301
"YPL198W"	0.271	0.534	-0.183	-1.974	0.332	-3.084	-3.342	0.069	1.049	0.228	-0.965	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-1.632	-3.4825	-3.3185	-3.022	-2.766	0.332	-0.87	-0.155	-3.875	-2.024	-2.227	-2.449	-0.051	-0.726	-1.761	-1.912	0.137	-0.077	-0.033	-0.544	-2.581	0.348	1.0015	-1.667	-0.1945	-4.2325	-3.528	-3.0615	-0.412	-3.4955	-4.5575	-2.68	-3.5	0.3165	-2.1	-1.5495	-0.786	-1.756	1.1025	1.1855
"YPR043W"	0.007	0.691	0.088	-1.716	-0.437	-2.447	-2.429	0.079	0.547	0.772	-0.76	-2.5775	-2.728	-2.4415	-1.9305	-1.707	-1.435	-1.9405	-1.6525	-2.7405	-3.037	-2.62	-1.9725	0.153	-0.206	-0.141	-2.953	-1.763	-1.831	-1.864	-0.155	-0.417	-0.339	-1.609	-0.195	0.403	0.421	-0.157	-1.976	0.449	-0.9055	-0.65	-0.464	-3.698	-2.612	-2.615	-0.125	-3.516	-2.939	-2.785	-3.169	0.061	-1.905	-0.842	-0.768	-0.526	-0.33	0.438
