	"58.Elutriation2:Sample2:Time5.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1014.YPD 2 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"21661..24 mM H2O2- 049 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40957.H2O2_II_120_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YCRX21C"	0.148	-0.224	-0.1535	0.783	1.11	0.817	0.325	-0.409	0.097	1.6765	2.4675	1.4695	0.257	0.298	0.014	0.142	0.043	0.167	0.818	0.952	1.1195	1.047	1.198	-0.173	1.2875	0.72	-0.217	-0.25	-0.016	0.126	-0.064	3.301	4.587	2.077	3.063	3.681	3.951	3.898	3.874	3.525	2.111	2.796	3.123	3.343	3.807	3.86	4.464	4.13	2.699	3.115	2.991
"YDL051W"	0.328	0.817	-0.086	-3.639	-2.402	-2.07	-2.856	-3.563	-0.208	-1.892	-2.325	-2.819	0.05	0.21	0.185	0.419	0.163	-0.038	-0.819	-0.865	-0.759	-0.815	-1.475	0.208	-0.585	-1.28	0.407	0.666	-0.235	0.033	-0.106	-0.479	-1.07	-0.766	-2.373	-2.38	-2.435	-2.444	-2.047	-1.511	-0.421	-2.179	-2.607	-2.117	-3.291	-2.247	-2.863	-2.803	-2.27	-2.324	-2.58
"YDL060W"	0.271	0.807	-0.219	-2.808	-1.985	-0.75	-1.737	-2.3	0.129	-0.803	-0.796	-0.503	0.057	0.262	0.172	0.978	0.215	-0.054	-0.475	-0.624	-0.813	-0.602	0.405	0.321	-0.276	-1.344	-0.538	-0.488	-0.598	-0.164	-0.32	-2.552	-2.565	-1.067	-2.964	-3.2	-2.179	-1.891	-1.444	-0.777	-0.632	-1.884	-2.574	-1.437	-1.951	-2.138	-2.235	-1.724	-2.708	-2.051	-2.296
"YDL062W"	0.11	0.109	-0.478	-2.463	-1.977	-1.244	-2.106	-2.509	-0.315	-1.846	-1.327	-1.243	-0.264	0.184	0.108	0.396	0.026	-0.356	-1.17	-0.953	-0.808	-0.782	-1.526	0.341	-0.863	-0.947	0.195	0.044	-0.617	-0.194	-0.179	-0.642	-2.07	-2.333	-2.45	-0.797	-2.494	-1.732	-1.407	0.035	-0.864	-2.46	-3.104	-2.492	-2.114	-2.435	-3.81	-1.86	-2.459	-3.472	-2.197
"YDL063C"	-0.033	1.0	-0.17	0.085	-2.723	-1.826	-1.564	-3.701	-0.321	-1.236	-1.229	-1.954	0.174	-0.182	0.015	0.435	-0.15	-0.129	-1.055	-0.695	-0.866	-0.74	-1.359	0.308	-1.032	-1.1	0.296	0.141	-0.905	1.064	-0.023	-1.289	-2.266	-3.033	-3.065	-3.912	-2.986	-2.206	-2.188	-1.121	-0.856	-2.243	-2.459	-3.077	-2.855	-2.076	-3.121	-1.95	-1.227	-1.545	-2.039
"YDL128W"	-0.00299999999999997	0.664	0.531	1.772	1.446	0.659	0.54	-2.01	0.132	0.305	0.139	-0.809	-0.346	0.091	-0.008	-0.187	0.113	0.231	0.226	-0.325	-0.001	-0.118	0.498	0.128	-0.268	0.098	0.088	0.171	0.154	0.49	-0.233	-0.279	-0.454	-2.386	-1.794	-1.379	-1.902	-1.185	-1.468	-1.404	-1.886	-1.32	-0.766	-3.124	-2.198	-0.593	-0.822	-0.238	-0.732	-1.17	-0.959
"YDL148C"	0.242	0.896	-0.406	-3.372	-1.757	-1.631	-2.269	-4.257	0.08	-2.056	-2.527	-2.281	0.079	-0.172	0.109	0.488	0.234	-0.092	-1.195	-1.228	-1.243	-1.078	-1.344	0.32	-1.132	-0.985	-0.174	-0.01	-0.82	-0.163	-0.03	-2.547	-2.328	-1.403	-2.374	-2.66	-2.849	-1.971	-1.869	-1.294	-1.147	-2.532	-1.765	-2.934	-1.825	-1.154	-2.401	-2.235	-1.604	-2.478	-2.319
"YDL153C"	-0.048	1.042	-0.066	-3.698	-2.049	-1.855	-0.684	-2.931	-0.236	-1.682	-0.597	-0.757	0.237	0.003	0.491	0.213	0.179	-0.267	-1.238	-1.204	-1.057	-0.948	-1.921	0.451	-1.011	-0.996	0.111	-0.074	-1.003	-0.337	-0.312	-1.269	-2.459	-1.13	-2.409	-3.278	-2.478	-2.582	-2.011	-1.578	-0.638	-1.745	-1.891	-1.822	-2.384	-1.516	-2.786	-2.056	-3.027	-2.46	-1.216
"YDL243C"	-0.1745	-0.6295	-0.081	0.9645	0.7905	1.0535	1.617	-0.5955	-0.083	1.157	2.0405	0.7085	0.063	-0.122	0.076	0.1075	-0.1025	0.087	0.153	0.501	0.494	0.407	0.8845	-0.052	0.4145	0.6255	-0.235	-0.1915	0.005	-0.0345	0.183	2.132	1.0895	0.8375	0.503	2.811	1.727	1.505	1.4615	1.6845	0.9495	1.946	1.9355	2.8595	2.5185	2.3025	2.532	2.1425	1.9535	1.34	1.1635
"YDR091C"	0.288	0.996	-0.21	-3.288	-2.045	-1.362	-3.384	-4.4	0.232	-1.728	-3.222	-3.423	0.006	-0.228	0.529	-0.128	0.11	-0.04	-0.82	-0.819	-0.665	-0.694	-1.822	0.359	-0.858	-1.376	-0.013	-0.028	-0.362	0.006	0.212	-2.177	-2.626	-2.07	-3.483	-2.823	-2.809	-1.954	-2.542	-1.621	-0.805	-1.168	-1.998	-1.019	-2.627	-2.36	-2.647	-2.595	-1.098	-2.9	-1.659
"YDR101C"	0.094	1.377	-0.271	-4.306	-3.203	-2.948	-4.145	-4.667	0.188	-1.96	-3.177	-3.516	0.113	0.136	0.45	0.072	0.107	-0.233	-1.295	-1.139	-1.223	-1.21	-2.224	0.191	-1.528	-2.013	0.204	0.01	-0.547	0.016	0.144	-2.808	-3.442	-2.64	-5.251	-2.911	-2.551	-2.764	-2.644	-1.66	-1.395	-1.821	-3.486	-3.361	-2.827	-2.477	-3.089	-2.576	-2.129	-3.128	-2.094
"YDR119W"	-0.211	0.348	-0.025	-1.325	-1.357	-0.886	-2.546	-1.953	0.056	-1.434	-1.863	-2.202	0.135	-0.104	0.397	0.051	-0.233	0.053	-0.342	-0.214	-0.008	-0.11	-1.042	0.205	-0.389	-1.305	0.027	-0.064	-0.285	0.127	0.161	-0.48	-1.41	-3.199	NaN	-2.382	-2.303	-3.081	-1.636	-1.805	-2.027	-2.282	-2.029	-2.61	-3.014	-2.285	-2.692	-1.427	-3.923	-2.336	-1.685
"YDR120C"	0.014	1.101	-0.341	-2.742	-1.641	-1.472	-1.298	-3.115	0.119	-1.239	-1.042	-1.857	0.134	0.116	0.05	0.226	0.056	-0.397	-1.021	-0.972	-1.131	-0.769	-2.16	0.122	-1.373	-1.427	0.211	0.252	-0.344	-0.325	-0.19	-2.241	-2.842	-1.919	NaN	-3.661	-3.766	-3.542	-2.798	-2.611	-1.11	-2.233	-2.198	-4.601	-2.119	-2.03	-2.564	-1.71	-2.6	-1.973	-2.809
"YDR121W"	-0.117	0.669	0.019	-1.721	-0.669	-0.908	-0.281	-1.056	-0.207	-0.662	0.162	-0.111	0.091	-0.121	0.168	0.057	-0.074	0.052	-0.187	-0.048	0.105	0.212	-0.279	-0.098	0.206	-0.575	0.077	0.104	-0.118	-0.48	-0.458	-0.61	-0.767	-1.229	-2.3	-1.478	-1.234	-1.42	-0.547	-1.405	-0.753	-1.685	-1.569	-2.918	-2.107	-2.239	-2.272	-2.487	-1.618	-2.379	-1.928
"YDR152W"	0.063	0.784	-0.314	-1.214	-0.852	-0.108	-0.668	-2.843	0.195	-0.703	-0.686	-0.982	0.16	0.198	0.053	0.089	-0.042	0.083	-0.377	-0.58	-0.42	-0.465	-0.799	0.032	-0.317	-1.106	0.344	0.416	-0.078	-0.249	-0.275	-0.86	-1.081	-0.699	-2.481	-1.643	-1.916	-2.412	-1.388	-1.929	-0.856	-0.693	-1.62	-1.091	-1.611	-1.785	-2.746	-1.481	-1.081	-1.995	-1.943
"YDR189W"	0.048	0.259	0.53	-0.905	-0.795	-0.956	-1.871	-2.842	0.236	-0.693	-1.904	-2.063	0.152	0.075	0.262	-0.126	-0.041	0.053	0.119	0.139	0.072	0.067	-0.37	0.365	-0.006	-0.9815	-0.1815	-0.1255	-0.454	-0.6995	-0.0445	-0.551	-0.334	-0.9035	-1.001	-0.8915	-0.926	-1.087	-0.8815	-0.4315	-0.484	-1.0955	-1.19	-1.7685	-0.959	-1.8095	-1.331	-1.6005	-1.5185	-2.192	-1.5875
"YDR211W"	0.061	0.538	-0.288	-2.225	-1.565	-1.38	-1.706	-4.77	0.2	-1.28	-2.043	-3.034	0.109	0.365	0.519	0.325	0.515	0.113	-0.246	-0.112	-0.162	-0.004	-0.649	0.245	-0.119	-1.1775	0.3765	0.3695	-0.186	-0.2585	0.122	-1.9165	-0.96	-1.9775	-4.418	-1.87	-1.8185	-1.65	-2.364	-1.2315	-1.0535	-1.5095	-1.5375	-1.348	-1.3985	-1.462	-2.338	-2.0095	-1.387	-1.441	-1.6565
"YDR225W"	0.378	0.653	-0.699	-0.991	-1.548	-1.946	-1.961	-3.079	0.33	-1.089	-0.748	-1.186	0.55	-0.125	0.324	0.295	-0.098	0.195	-0.843	-0.837	-0.992	-1.296	-1.939	0.591	-1.407	-0.9675	0.094	0.0945	0.7065	0.45	0.3375	-3.348	-3.181	-1.24	-2.696	-3.601	-3.4225	-3.0715	-2.3385	-2.2635	-2.4755	-2.092	-1.969	-2.7755	-2.784	-3.724	-2.859	-3.689	-2.335	-1.6715	-1.9635
"YDR294C"	-0.108	-0.316	0.206	0.809	0.623	0.609	1.111	-1.491	0.319	0.451	0.687	0.022	0.013	0.448	-0.136	-0.075	-0.029	-0.035	0.149	0.122	0.38	0.333	0.59	-0.068	0.436	-0.176	-0.196	-0.151	-0.031	0.031	-0.152	1.095	1.477	1.405	2.495	2.175	2.501	1.895	1.98	2.192	1.07	0.97	0.576	0.304	1.05	1.429	1.507	0.983	1.095	0.933	1.07
"YDR321W"	-0.403	0.698	-0.022	-3.554	-2.231	-3.04	-3.093	-4.43	0.275	-2.389	-2.582	-2.75	-0.053	0.241	0.049	0.343	-0.017	0.099	-0.549	-0.652	-0.505	-0.69	-1.592	0.294	-0.592	-2.035	0.373	0.17	-0.34	-0.125	0.08	-1.032	-1.368	-0.907	-2.472	-2.671	-3.009	-4.335	-2.664	-1.929	-1.435	-1.125	-2.832	-3.642	-4.82	-2.012	-2.058	-2.768	-1.957	-2.173	-2.168
"YDR331W"	0.183	0.392	-0.162	-1.86	-1.348	-1.064	-1.384	-2.808	0.323	-0.952	-0.511	-0.854	0.113	0.153	0.073	-0.107	0.507	-0.006	-0.384	-0.406	-0.265	-0.416	-0.483	0.174	-0.291	-0.819	-0.018	0.022	0.049	0.13	0.154	-0.405	-0.901	-2.404	-1.934	-1.71	-1.765	-1.679	-1.828	-1.803	-1.752	-2.137	-2.536	-0.683	-2.088	-3.191	-2.257	-2.598	-2.271	-1.352	-2.469
"YDR339C"	0.204	0.67	0.087	-2.0	-1.995	-1.235	1.715	-3.903	0.226	-0.83	-1.143	-1.499	-0.019	0.274	0.052	-0.149	0.043	-0.091	-0.449	-0.592	-0.476	-0.582	-0.767	0.1	-0.482	-0.929	0.03	0.273	0.092	0.029	0.004	0.815	-0.796	-2.148	-1.799	-1.837	-1.709	-1.623	-1.568	-1.576	-1.306	-2.954	-1.396	-2.415	-2.409	-3.172	-2.858	-2.335	-2.812	-1.954	-3.423
"YDR341C"	0.376	0.703	-0.222	-3.559	-2.27	-1.681	-3.212	-5.262	0.32	-1.942	-3.294	-3.559	0.152	0.147	0.313	0.29	0.1	0.023	-0.26	-0.281	-0.087	-0.274	-1.251	-0.093	-0.272	-1.562	0.041	0.102	-0.3	-0.332	0.09	-0.568	-0.957	-2.03	-0.843	-1.313	-1.64	-2.047	-1.454	-1.449	-1.32	-1.751	-0.888	-1.566	-1.986	-3.202	-2.38	-3.139	-1.96	-2.088	-2.352
"YDR353W"	0.048	0.56	-0.333	-1.147	-1.68	-1.201	-2.014	-4.007	0.547	-1.27	-1.858	-1.37	0.529	0.584	0.218	0.295	0.135	0.083	0.741	1.164	1.098	0.978	0.786	0.128	1.086	-2.418	0.04	-0.072	0.096	0.13	-0.413	2.932	3.768	2.251	3.293	3.828	3.388	3.218	3.857	3.374	1.531	2.4	3.239	3.158	3.469	1.904	1.881	0.929	1.323	2.413	1.469
"YDR381W"	0.41	0.544	-0.274	-0.922	-1.515	-0.798	-0.13	-2.721	0.45	-0.111	0.25	-0.64	0.281	-0.033	0.381	0.282	-0.404	0.3	0.137	-0.006	-0.298	-0.469	-0.585	0.326	-0.161	-1.17	0.236	0.147	0.533	0.244	-0.299	-0.412	-0.504	-2.104	-1.856	-1.711	-2.094	-2.341	-1.066	-1.681	-0.645	-1.74	-0.966	-2.883	-2.114	-2.688	-2.501	-3.4	-3.097	-1.65	-2.237
"YDR385W"	0.223	0.949	-0.199	-2.252	-1.858	-1.985	-3.158	-5.463	0.365	-1.431	-2.214	-3.65	0.207	0.294	0.187	0.284	-0.147	0.076	-0.553	-0.745	-0.767	-0.69	-1.544	0.34	-0.789	-1.86	-0.018	-0.111	-0.02	-0.615	-0.353	-1.155	-1.702	-2.592	-1.851	-1.998	-2.451	-3.1	-1.291	-1.531	-1.63	-2.015	-2.324	-3.076	-2.561	-3.868	-3.022	-3.422	-2.794	-2.877	-2.375
"YDR399W"	-0.065	1.164	0.047	-4.676	-3.277	-2.773	-3.073	-4.784	0.177	-0.506	-2.216	-2.373	0.13	-0.287	0.108	-0.051	-0.101	-0.062	-1.012	-0.93	-1.286	-1.01	-3.107	0.571	-1.141	-1.693	0.415	0.328	0.257	0.483	0.128	-2.321	-4.555	-2.495	-4.807	-3.393	-4.366	-4.453	-2.615	-2.876	-1.666	-3.821	-4.282	-3.815	-3.846	-4.204	-3.723	-1.731	-3.375	-3.639	-3.377
"YDR413C"	0.148	1.079	-0.072	-2.622	-2.121	-1.58	-1.42	-2.057	-0.135	-1.311	-1.349	-1.81	0.15	-0.168	0.077	0.298	0.208	-0.231	-0.698	-0.723	-0.491	-0.622	-1.288	0.212	-0.677	-1.613	0.282	0.188	-0.138	-0.343	-0.277	-0.968	-1.55	-1.506	-1.988	-2.095	-2.112	-1.61	-2.009	-1.533	-0.865	-1.837	-1.569	-1.985	-1.746	-3.373	-2.423	-1.855	-2.541	-1.578	-1.085
"YDR429C"	0.477	0.747	-0.037	-2.84	-2.516	-2.02	-1.165	-3.313	0.082	-1.916	-1.579	-1.738	-0.12	0.191	0.531	0.244	-0.031	0.031	-0.324	-0.522	-0.557	-0.706	-0.086	0.429	-0.616	-2.084	-0.121	-0.046	0.129	-0.027	0.163	-1.516	-1.112	-1.192	-1.505	-1.86	-2.192	-1.402	-0.708	-1.636	-0.375	-2.483	-1.334	-2.263	-2.018	-2.161	-1.919	-2.958	-2.88	-3.064	-2.112
"YEL040W"	0.619	0.681	-0.701	-3.201	-3.812	-3.616	-3.786	-4.551	0.103	-4.461	-3.855	-3.066	0.044	-0.078	0.283	0.8	-0.591	-0.115	-0.62	-0.676	-0.762	-0.969	-1.381	0.329	-1.23	-3.1215	-0.113	-0.1205	-0.301	0.191	-0.4135	-2.7215	-2.913	-2.3985	-2.554	-2.6355	-2.0865	-2.2665	-1.5645	-1.171	-1.6505	-1.7475	-1.835	-2.23	-2.901	-2.1515	-2.125	-2.8375	-2.6615	-2.2145	-2.394
"YER110C"	-0.156	0.844	-0.359	-5.799	-1.967	-1.816	-3.498	-3.969	0.022	-2.152	-4.061	-3.78	-0.0335	-0.331	0.312	1.421	0.239	-0.079	-0.634	-0.7	-0.884	-0.851	-1.14	0.285	-0.832	-1.251	0.357	0.112	-0.496	0.321	-0.583	-1.331	-1.551	-1.936	-2.719	-4.092	-3.027	-3.583	-2.822	-1.715	-1.47	-1.566	-4.794	-2.965	-2.05	-2.304	-3.102	-2.172	-1.437	-1.662	-2.658
"YER146W"	0.126	0.523	-0.323	-1.259	-0.779	-1.126	-1.83	-2.824	-0.166	-1.193	-1.581	-1.09	0.157	-0.137	0.222	-0.107	-0.278	0.053	-0.067	-0.086	-0.116	-0.125	-0.611	0.418	-0.163	-1.349	-0.0205	0.0425	0.3005	0.354	-0.715	-0.796	-0.2445	-1.4525	-1.6665	-2.139	-1.746	-1.6755	-1.164	-0.7745	-0.892	-1.5835	-1.5235	-2.1235	-1.656	-1.971	-1.62	-1.934	-2.295	-2.23	-1.856
"YER186C"	-0.167	0.328	0.245	0.5	0.984	1.177	-0.233	-1.521	0.406	0.781	0.201	0.144	0.135	-0.033	0.192	-0.016	-0.11	0.214	-0.089	0.022	0.108	0.06	-0.494	0.123	0.062	1.0525	0.0625	0.0775	0.1555	-0.0505	0.1905	-0.174	-0.024	-1.804	-1.8575	-1.8815	-1.553	-1.541	-1.349	-1.146	-1.2225	-1.093	-1.928	-1.1985	-2.5915	-1.4625	-1.245	-1.439	-3.302	-1.6025	-1.1795
"YFR005C"	-0.107	0.465	-0.332	-1.517	-1.008	-2.188	-2.379	-1.828	-0.203	-0.982	-1.895	-1.511	-0.102	-0.094	0.124	-0.003	0.151	-0.126	-0.196	-0.239	-0.334	-0.394	-0.57	0.093	-0.443	-0.7195	-0.163	0.077	0.0565	0.0765	0.59	-1.037	0.254	-2.504	-0.815	-1.526	-1.242	-2.399	-1.955	-0.946	1.084	-2.053	-0.722	0.635	-0.681	-0.623	-1.713	-2.612	-1.551	-0.3095	1.2205
"YGL008C"	0.738	0.579	-0.139	-2.727	-1.377	-2.092	-4.675	-3.936	0.556	-1.748	-4.969	-4.679	-0.262	0.579	0.273	0.55	0.025	0.121	-0.302	-0.859	-0.685	-0.529	-1.608	0.262	-0.254	-3.185	-0.145	0.075	-0.755	0.904	-0.105	-1.203	-1.715	-3.265	-2.378	-2.57	-2.233	-3.006	-1.883	-1.094	-1.403	-0.946	-2.347	-0.82	-1.735	-1.604	-1.223	-1.457	-1.388	-2.112	-1.248
"YGL169W"	0.09	0.589	-0.073	-3.307	-1.775	-0.953	-1.674	-4.274	0.183	-0.531	-0.89	-1.304	0.148	0.237	0.094	0.06	0.107	-0.169	-0.604	-0.524	-0.693	-0.392	-1.122	0.104	-0.595	-0.428	0.099	0.276	-0.124	-0.248	0.035	-1.029	-2.117	-1.838	-2.33	-2.366	-2.171	-1.934	-1.337	-1.822	-1.421	-2.672	-3.02	-2.266	-2.733	-2.601	-2.215	-2.79	-1.897	-2.509	-2.958
"YGL225W"	0.446	0.767	-0.226	-2.616	-2.746	-1.309	-0.784	-3.965	0.438	-1.448	-0.926	-1.408	0.34	-0.023	0.263	0.148	-0.221	-0.063	-0.627	-0.623	-0.501	-0.665	-1.68	0.457	-0.743	-2.085	0.2	0.272	-0.159	-0.244	-0.041	-1.607	-1.729	-1.28	-1.475	-2.272	-2.215	-2.401	-1.385	-1.146	-1.59	-2.399	-3.02	-2.542	-2.546	-2.115	-1.972	-2.407	-2.049	-2.916	-2.393
