	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"977.wt_plus_gamma_10_min"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YDR171W"	6.617	6.083	5.56	3.369	5.126	6.153	6.24	-5.215	-4.977	-4.278	4.502	4.969	3.606	5.287	2.383	5.134	0.676	0.998	3.1	0.664	0.202	-0.688	-0.469	2.515	2.579	2.315	2.345	2.274	5.398	3.7045	4.2405	4.457	3.991	5.035	3.784	4.403	4.639	3.151	-0.676	-0.382	2.45	3.21	3.845	-0.254	0.685	3.068	0.271	0.406	0.796	0.815	0.887
"YDR321W"	-0.919	-1.45	-2.499	-1.277	-2.037	-2.545	-2.484	0.767	0.698	0.858	-0.492	-1.398	-1.816	-3.554	-4.43	-3.362	-0.904	-0.944	-1.247	0.275	0.173	-0.017	-0.202	-0.549	-0.652	-0.505	-0.69	-0.592	-2.221	-1.914	-1.529	-2.227	-1.51	-2.479	-1.895	-1.458	-3.214	-2.319	0.714	0.255	-1.441	-1.764	-2.007	0.438	0.231	-0.908	-0.101	NaN	-0.221	-0.555	-1.019
"YDR324C"	-3.084	-3.512	-2.824	-1.838	-2.336	-3.184	-3.012	1.059	1.134	0.753	-1.77	-1.933	-2.199	-3.361	-4.131	-2.212	-1.56	-1.137	-1.492	-0.062	-0.242	-0.173	-0.165	-1.127	-1.207	-1.127	-1.102	-1.405	-3.609	0.597	0.049	2.651	-0.984	-2.29	-1.944	-1.5535	-3.2975	-1.1195	0.329	0.361	-1.697	-1.8785	-1.4765	0.267	-0.183	-0.516	-0.2025	-0.426	-0.097	0.472	-0.363
"YDR361C"	-2.014	-2.862	-3.438	-1.872	-3.115	-3.356	-3.263	1.206	1.136	1.083	-1.141	-2.149	-2.256	-3.61	-3.634	-2.072	-1.782	-1.074	-1.083	-0.081	-0.428	0.226	0.155	-0.763	-0.487	-0.55	-0.547	0.504	-3.92	-1.034	-1.086	-1.975	-1.673	-2.614	-2.362	-3.229	-3.998	-1.706	0.686	0.358	-1.0	-1.58	-1.234	-0.208	0.013	-0.326	0.131	NaN	0.049	0.029	-0.712
"YDR492W"	-2.16	-2.792	-2.895	-2.322	-2.409	-2.677	-2.102	0.628	1.105	1.242	-2.044	-2.901	-2.212	-1.91	-2.336	-1.701	1.385	1.33	-0.997	-0.159	-0.119	-0.47	-0.282	-1.659	-2.176	-1.422	-1.525	-1.541	-3.429	-2.721	-2.908	-2.561	-1.444	-1.412	-1.121	-0.545	-0.938	-0.661	0.021	-0.504	-0.742	-0.71	-0.679	-0.178	0.338	-0.334	-0.322	-0.364	-0.351	-0.354	-0.667
"YER035W"	2.741	2.138	1.519	1.373	1.902	2.029	2.055	-1.48	-1.411	-0.853	1.603	1.55	1.257	1.708	0.526	1.768	0.409	-0.157	1.357	-0.198	-0.457	-0.06	-0.218	0.631	0.749	0.383	0.589	0.403	1.286	1.12	0.769	0.828	0.992	1.242	1.084	2.313	3.211	0.876	0.351	0.187	1.484	1.768	1.293	0.189	0.227	0.344	0.053	0.411	-0.093	0.606	-0.496
"YER062C"	2.766	2.845	2.087	0.508	3.141	3.036	2.455	-1.977	-2.212	-1.612	0.099	0.421	0.674	-2.234	-4.272	-1.905	0.69	1.016	0.947	0.382	0.562	0.629	0.923	-0.046	-0.108	-0.263	-0.048	-0.29	3.057	0.805	3.727	3.061	3.342	0.884	0.288	2.193	-0.087	0.169	0.919	0.293	1.243	1.283	1.129	0.635	-0.016	0.81	0.436	0.536	0.307	0.209	0.054
"YER126C"	-2.129	-3.132	-2.634	-1.396	-3.488	-4.626	-4.459	0.995	1.185	0.966	-1.531	-2.571	-2.383	-4.455	-5.367	-2.355	-1.557	-0.569	-0.278	0.014	-0.275	0.385	0.309	-0.783	-0.603	-0.92	-0.742	-0.564	-5.253	-2.484	-1.4275	-3.7255	-2.172	-5.806	-2.916	-3.166	-3.761	-3.045	0.626	0.195	-2.419	-2.383	-2.346	-0.316	0.902	-0.306	-0.495	0.1	-0.427	-0.767	0.379
"YER127W"	-2.534	-2.809	-2.38	-1.464	-1.952	-3.051	-2.807	1.253	1.264	0.934	-1.506	-1.778	-1.278	-3.292	-4.439	-2.835	-1.457	-0.221	-1.1	-0.123	-0.475	0.2	0.066	-0.749	-0.876	-0.944	-0.855	-0.767	-3.328	-1.5735	-1.208	-1.702	-1.294	-4.459	-2.508	-1.991	-3.601	-2.336	0.065	0.38	-2.268	-2.811	-2.543	-0.164	0.039	-1.139	-0.803	-0.216	-0.525	-0.695	0.29
"YGL135W"	-0.599	-1.664	-2.285	-1.835	-2.468	-3.231	-3.984	1.167	1.101	0.43	0.255	-0.77	-1.323	-3.221	-5.687	-3.217	-0.503	-0.456	-1.15	0.488	0.605	-0.045	0.125	-0.631	-0.72	-0.506	-0.566	-0.722	-3.406	-0.271	-0.281	-1.702	-0.717	-2.824	-1.612	-1.861	-3.617	-1.68	0.478	0.474	-0.852	-0.688	-1.329	0.247	0.258	0.716	0.217	0.069	0.044	-0.125	-0.165
"YGL165C"	1.423	0.77	0.354	0.349	0.71	0.878	0.541	-0.524	-1.069	-0.652	0.231	-0.093	0.126	0.403	2.042	0.933	0.095	0.049	-0.005	-0.103	-0.415	-0.187	-0.038	-0.006	0.342	0.14	0.225	0.284	0.905	1.518	1.358	1.903	1.449	0.593	0.499	1.472	0.456	0.286	0.049	0.246	0.658	1.405	1.193	-0.126	0.402	-0.354	0.028	-0.182	0.321	-0.163	0.154
"YGR103W"	-2.926	-4.795	-5.229	-3.278	-4.485	-5.118	-3.624	1.487	1.243	1.223	-1.959	-3.378	-3.985	-4.825	-5.518	-2.251	-2.179	-1.363	NaN	-0.038	-0.6	0.129	-0.29	-1.602	-1.459	-1.251	-1.138	-1.159	-5.075	-3.338	-2.813	-3.487	-3.212	-4.921	-3.6885	-3.2185	-4.287	-2.101	0.6545	0.3745	-2.612	-2.781	-2.564	-0.262	-0.093	-0.4975	-0.7415	-0.738	-0.8395	-0.881	-0.4055
"YGR123C"	-1.982	-3.5875	-3.2965	-1.9375	-3.0495	-4.1895	-3.748	1.116	0.996	0.986	-0.857	-1.835	-1.517	-4.447	-4.328	-2.878	-2.101	-1.671	-0.82	0.022	0.278	-0.141	0.106	-0.925	-0.737	-0.754	-0.832	-0.6	-4.594	-1.537	-1.606	-2.099	-1.394	-2.795	-1.547	-2.966	-3.836	-1.757	0.817	0.681	-1.318	-2.132	-1.701	-0.246	-0.082	-0.76	-0.989	-1.194	-1.092	-1.115	-1.294
"YHL011C"	-2.166	-2.744	-2.467	-1.4255	-2.107	-3.0145	-3.024	1.122	1.023	0.785	-0.687	-1.603	-1.5	-2.604	-3.592	-2.503	-0.853	-0.987	-0.517	0.22	0.491	-0.008	0.173	-0.992	-0.454	-0.452	-0.192	-0.123	-3.2715	-1.151	-0.486	-1.872	-1.335	-2.38	-1.532	-2.437	-2.086	-2.085	0.928	0.469	-1.084	-1.117	-1.384	0.396	-0.141	0.422	0.116	0.025	0.101	0.016	-0.352
"YHR020W"	-1.45	-2.592	-3.22	-1.1335	-2.5795	-3.3085	-3.731	0.957	0.868	0.727	-0.834	-1.864	-2.358	-4.019	-4.045	-2.898	-0.871	-0.671	-0.896	0.286	0.385	-0.16	-0.26	-0.256	-0.316	-0.509	-0.544	-0.521	-3.5805	-2.96	-0.954	-2.847	-1.259	-3.021	-1.53	-2.574	-3.861	-2.653	0.663	0.59	-1.795	-2.496	-1.926	0.521	-0.92	-0.973	0.684	0.388	0.45	0.37	0.35
"YHR089C"	-3.2685	-4.5225	-3.658	-1.743	-3.523	-4.938	-4.6915	1.373	1.353	1.252	-0.732	-1.926	-2.485	-3.409	-4.276	-2.292	-1.143	-1.447	-2.346	-0.406	-0.54	-0.45	-0.99	-0.969	-1.045	-0.945	-0.855	-1.238	-4.9325	-2.127	-1.829	-1.666	-2.254	-3.579	-1.269	-3.412	-3.956	-2.851	1.323	0.776	-1.909	-1.913	-2.256	0.229	-0.026	-0.31	-0.477	-0.03	-0.196	-0.381	-0.466
"YHR148W"	-1.6105	-3.0225	-2.0375	-1.108	-2.8705	-3.2345	-2.692	1.152	1.341	0.758	-1.294	-1.681	-1.443	-3.086	-3.377	-1.557	-1.354	-0.509	-0.325	-0.085	-0.397	-0.024	0.176	-0.504	-0.553	-0.819	-1.037	-0.559	-3.95	-2.008	-1.694	-2.946	-1.944	-2.565	-2.119	-2.035	-2.893	-1.715	0.24	-0.084	-1.415	-1.268	-1.811	0.169	-0.306	0.119	-0.765	-0.339	-0.412	-0.482	-0.588
"YHR170W"	-3.765	-5.3995	-4.622	-2.4275	-4.14	-4.723	-3.947	1.401	1.292	0.893	-1.62	-2.518	-2.551	-4.51	-4.858	-2.759	-2.023	-0.994	-1.596	0.213	0.35	0.037	-0.156	-1.052	-1.528	-1.479	-1.253	-1.224	-5.252	-1.571	-1.429	-1.963	-0.887	-3.576	-2.405	-2.772	-3.601	-0.333	0.179	-0.068	-2.287	-1.783	-1.833	0.06	-0.019	0.129	-0.227	-0.101	-0.291	-0.394	-0.333
"YHR209W"	2.033	2.62	2.462	2.2015	2.599	2.9485	2.711	-1.0	-1.148	-0.713	0.824	1.373	1.861	2.459	0.871	1.187	0.489	0.465	1.8095	-0.068	0.246	0.173	-0.003	0.752	1.002	0.559	0.872	1.169	3.3265	1.88	2.04	1.225	1.263	1.731	1.916	1.889	2.567	1.255	-1.265	-0.04	1.631	1.854	1.344	-0.476	0.463	0.589	-0.154	0.961	0.095	0.258	-0.33
"YIL103W"	-0.971	-1.282	-2.1455	-0.6275	-0.4715	-1.163	-1.311	1.032	0.788	0.553	-0.681	-1.451	-1.2	-1.36	-2.625	-1.6	-1.252	-0.558	-0.6295	0.258	-0.158	0.125	0.05	-0.523	-0.193	-0.29	-0.127	-0.17	-0.7685	-1.179	-2.382	NaN	-1.884	-1.623	-1.048	-0.949	-1.746	-0.826	0.547	0.091	-0.274	-0.602	-1.166	-0.24	0.02	-0.736	-0.037	0.173	0.047	-0.201	-0.18
"YIL110W"	-1.073	-1.127	-1.4665	-1.381	-1.02	-1.0115	-1.114	1.05	0.92	0.477	-0.629	-0.955	-1.002	-2.095	-3.072	-1.151	-1.175	-0.742	-0.799	0.342	0.095	-0.125	-0.066	-0.775	-0.645	-0.88	-0.672	-0.794	-0.919	-0.534	-0.873	NaN	-1.888	-1.788	-1.112	-2.155	-2.182	-2.239	0.047	-0.372	-3.018	-1.055	-1.379	0.103	-0.005	-0.184	-0.155	0.128	0.002	-0.102	-0.22
"YIL136W"	4.318	2.297	4.5115	1.479	3.5705	4.093	3.794	-1.978	-2.354	-1.294	2.451	3.611	3.364	5.349	4.74	3.895	1.585	2.211	1.4755	-0.273	-0.698	0.28	0.608	0.302	1.101	0.717	0.784	0.522	3.8555	5.21	3.99	3.268	4.282	3.125	1.974	2.176	5.469	2.611	-0.646	-0.679	3.653	3.715	4.429	-0.775	0.834	0.984	-0.1	0.496	-0.202	-0.032	0.454
"YIR026C"	-1.3285	-3.1325	-3.9735	-2.1735	-2.8615	-3.1245	-3.013	0.96	1.1	0.874	-1.222	-2.178	-2.28	-4.983	-4.724	-2.112	-1.738	-1.321	-0.5095	0.08	-0.251	0.057	0.24	-0.786	-0.361	-0.354	0.033	0.108	-2.938	-0.835	-0.938	NaN	-2.694	-2.844	-2.131	-2.196	-2.578	-1.433	0.072	0.511	-1.51	-2.481	-1.388	0.093	-0.528	-0.398	-0.722	-0.786	-0.621	-0.751	-0.793
"YJL190C"	-0.9235	-2.166	-2.525	-1.748	-2.8085	-3.022	-3.838	1.36	1.453	1.126	0.344	-0.378	-1.241	-3.794	-6.079	-3.969	-0.403	-0.609	-0.576	0.176	0.638	0.048	0.142	-0.064	-0.298	-0.671	-0.598	-0.548	-3.7855	-0.37	-1.42	-2.112	-1.674	-3.078	-2.014	-2.354	-4.874	-2.045	1.018	0.818	-1.212	-1.344	-2.179	0.579	0.02	0.774	0.01	0.317	0.285	0.116	-0.15
"YJR002W"	-3.138	-3.52066666666667	-2.819	-1.96566666666667	-2.21066666666667	-2.34	-3.20666666666667	1.18	1.003	0.922	-1.7525	-1.834	-1.98	-2.9885	-4.416	-2.066	-1.712	-0.8725	-1.388	0.074	-0.3005	-0.0345	-0.0775	-1.094	-1.179	-1.0475	-0.9885	-1.1995	-3.31866666666667	-1.865	-2.1325	-0.062	-4.135	-3.252	-2.36	-2.97	-2.426	-0.998	0.046	0.057	-2.922	-1.861	-1.183	-0.039	-0.333	-0.772	-0.16	-0.054	-0.046	-0.285	0.414
"YJR041C"	-3.138	-3.1145	-2.365	-1.486	-1.6395	-2.2375	-2.9255	1.119	0.549	0.773	-1.667	-2.186	-1.824	-3.864	-4.286	-1.873	-1.532	-0.002	-0.947	-0.003	-0.051	-0.142	-0.016	-0.894	-0.554	-0.9	-0.563	-0.744	-2.673	-1.45	-1.599	-4.965	NaN	-2.796	-2.274	-3.021	-3.443	-2.248	0.296	0.2	-1.418	-2.109	-1.513	0.109	-0.632	-1.226	-0.174	-0.63	-0.435	-0.457	-0.299
"YJR063W"	-2.0025	-2.675	-2.1255	-1.323	-2.576	-2.555	-2.2705	1.345	1.244	0.823	-0.818	-1.453	-1.153	-3.233	-3.68	-1.586	-1.29	-0.813	-0.93	-0.062	0.214	0.019	0.057	-0.981	-0.38	-0.722	-0.584	-0.571	-3.415	-2.148	-1.687	-1.705	-1.471	-1.276	-1.173	-2.068	-2.958	-1.617	0.33	0.458	-1.445	-1.552	-1.768	-0.197	0.071	-0.592	-0.792	-1.484	-0.371	-0.695	-0.94
"YJR070C"	-3.0685	-4.6905	-4.824	-1.8185	-3.895	-4.828	-4.332	1.246	1.272	1.129	-1.091	-2.536	-2.577	-5.317	-7.226	-3.471	-1.678	-1.615	-1.698	0.391	-0.005	-0.067	-0.189	-0.79	-0.694	-0.862	-0.886	-0.858	-4.7655	-1.376	-2.297	-3.782	-2.739	-3.81	-2.429	-4.096	-3.754	-2.357	0.158	0.79	-1.64	-2.535	-2.011	0.144	-0.091	0.225	-0.922	-0.935	-0.606	-0.929	-1.058
