	"59.alpha factor release sample013"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"517.2.5mM DTT 090 min"	"518.2.5mM DTT 120 min"	"585.21 deg growth"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"976.wt_plus_gamma_5_min"	"977.wt_plus_gamma_10_min"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1249.mec1_plus_gamma_5_min"	"4872.1M sorbitol - 60 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8521.dun1- + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32251.DBY8778_heat_shock2_5min"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"38152.03II01 batch p8"	"38154.03II01 batch p10"	"40950.H2O2_II_42_min"
"YHR052W"	-0.168	-2.373	-3.848	-4.2445	-2.638	-3.5175	-2.1725	-3.5215	-4.3935	-3.9395	-0.688	-1.327	1.116	-1.1255	-1.6975	-2.417	-0.895	-2.069	-1.327	-0.683	-1.975	-4.199	-4.447	-2.565	-2.428	-1.756	-1.729	-0.902	-1.298	0.404	-1.569	0.119	-1.058	-1.0745	0.7085	-0.916	-1.822	-2.621	-1.95	-2.318	-2.298	-0.0525	0.517	0.643	0.345	-1.882	-0.299	-1.527	-1.056	-4.9395	-2.268	1.617	-2.249	-2.227	-6.321
"YHR170W"	-0.122	-1.1565	-3.765	-5.3995	-6.3835	-4.622	-2.4275	-4.14	-4.723	-3.947	-1.652	-1.933	0.721	-1.2945	-1.526	-3.256	-1.343	-2.797	-1.852	-1.421	-2.518	-4.51	-4.858	-2.759	-2.694	-1.887	-2.023	-0.994	-1.596	0.516	-1.519	0.037	-1.052	-1.9105	0.6455	-1.218	-1.252	-2.244	-2.093	-1.733	-1.888	-0.0285	0.319	0.314	0.268	-1.761	-1.358	-1.98	-2.142	-5.252	-2.606	-0.25	-2.287	-1.833	-2.751
"YJL148W"	0.034	-1.532	-3.4665	-2.7525	-2.493	-2.695	-1.757	-2.0075	-3.2015	-2.403	-1.826	-1.911	0.747	-1.378	-1.9615	-2.156	-0.833	-2.051	-1.352	-0.878	-2.197	-3.572	-4.104	-3.006	-1.938	-2.149	-1.666	-1.0	-2.035	0.852	-1.451	-0.06	-1.025	-0.902	0.7915	-1.812	-1.595	-2.592	-1.966	-1.856	-2.304	-0.0265	0.21	0.357	0.392	-1.839	-0.839	-1.931	-1.415	-2.967	-3.149	1.593	-2.545	-2.044	-5.274
"YJL208C"	0.009	-1.452	-2.5145	-2.433	-2.4605	-2.228	-1.104	-0.7505	-1.906	-1.574	-0.747	-1.028	0.416	-1.106	-1.3195	-1.637	-0.8155	-1.718	-1.252	-0.538	-1.442	-2.326	-3.324	-1.817	-1.294	-0.845	-1.376	-0.927	-0.754	0.664	-0.997	-0.175	-0.331	-0.8485	0.319	-1.098	-1.134	-2.018	-0.017	-1.762	-1.654	0.0185	-0.002	0.052	0.023	-1.129	-0.939	-1.502	-0.984	-2.466	-2.898	-0.252	-0.661	-0.664	-1.663
"YKR056W"	-0.033	-2.701	-3.646	-4.01	-3.863	-3.872	-1.682	-2.945	-3.217	-3.127	-0.927	-1.859	0.441	-1.414	-1.83	-2.566	-1.013	-1.683	-1.237	-0.68	-2.718	-4.495	-4.34	-2.379	-1.808	-1.061	-1.64	-0.643	-1.196	0.071	-1.471	-0.129	-0.769	-0.816	0.28	-0.661	-1.875	-2.896	-1.713	-3.105	-2.539	-0.114	0.172	0.225	0.11	-1.751	0.317	-2.381	-1.627	-3.682	-1.97	0.024	-1.01	-0.554	NaN
"YKR081C"	-0.16	-1.614	-4.01	-4.459	-3.157	-3.308	-1.663	-1.58	-3.81	-3.431	-1.922	-2.174	0.73	-1.567	-2.224	-2.31	-1.263	-1.773	-1.322	-1.033	-2.342	-4.081	-4.632	-3.278	-2.505	-1.918	-1.186	-1.03	-2.216	0.751	-1.47	0.336	-1.096	-1.565	0.57	-1.37	-2.185	-2.808	-1.645	-2.276	-2.28	-0.052	0.3	0.418	0.371	-1.349	-0.879	-2.388	-1.678	-3.505	-2.229	0.805	-2.161	-1.814	NaN
"YLR002C"	-0.026	-1.475	-4.018	-4.273	-2.83	-3.029	-1.506	-2.585	-3.425	-2.737	-1.084	-1.722	0.521	-1.282	-1.886	-2.86	-1.019	-2.281	-1.425	-0.984	-2.267	-3.541	-4.959	-2.611	-1.589	-1.157	-1.144	-0.616	-1.19	0.86	-1.324	0.14	-0.85	-1.211	0.252	-0.83	-1.598	-2.016	-1.608	-0.819	-1.697	-0.266	0.124	0.389	0.109	0.135	-0.89	-2.201	-1.401	-4.018	-1.465	0.15	-1.479	-1.304	-2.544
"YLR074C"	0.143	-1.427	-1.631	-2.317	NaN	-2.776	-1.668	-2.544	-2.782	-2.818	-1.235	-1.542	0.704	-1.087	-1.373	-1.62	-0.386	-0.994	-0.218	0.01	-1.543	-0.268	-3.562	-1.612	-1.427	-0.793	-1.198	-0.604	-0.489	-0.457	-0.682	-0.041	-0.479	-0.21	0.332	-0.11	-1.305	-1.486	-1.16	-1.441	-1.604	-0.301	0.14	0.032	0.266	-1.251	0.406	-0.354	-0.684	-2.675	-1.669	0.166	-1.267	-0.871	-5.496
"YLR129W"	0.249	-2.09	-4.191	-4.096	-2.921	-3.022	-1.526	-2.347	-3.676	-3.658	-1.285	-1.526	0.412	-1.33	-1.9	-3.455	-0.998	-1.722	-0.985	-1.266	-2.548	-4.83	-4.914	-3.12	-2.647	-2.185	-1.83	-0.62	-1.108	0.913	-1.251	0.139	-0.849	-0.967	0.38	-1.033	-1.53	-2.343	-1.807	-1.65	-1.427	-0.141	-0.11	0.012	-0.053	-2.011	-1.801	-2.144	-1.903	-4.108	-4.157	0.006	-2.048	-2.087	NaN
"YLR276C"	0.092	-1.271	-3.536	-4.199	NaN	-3.855	-2.573	-3.331	-3.732	-4.143	-0.624	-1.136	0.876	-1.577	-2.11	-3.073	-1.215	-2.068	-1.492	-0.867	-2.616	-4.467	-5.399	-2.386	-2.199	-1.65	-1.72	-0.791	-1.604	0.462	-1.28	-0.088	-0.961	-1.363	0.907	-1.106	-1.579	-2.531	-1.558	-2.431	-2.252	0.27	0.455	0.547	0.335	-1.452	-0.808	-2.204	-1.363	-2.51	-3.95	-0.33	-2.272	-1.878	-3.799
"YLR405W"	-0.409	-1.238	-1.958	NaN	-1.481	-1.393	-0.942	-0.775	-1.312	-1.233	-0.458	-0.867	0.205	-0.989	-1.507	-1.319	-0.492	-1.336	-0.341	-0.256	-1.183	-2.588	-2.37	-1.531	-1.301	-0.494	-1.569	-0.805	-1.248	0.958	-1.095	0.256	-0.715	-0.387	0.046	-1.091	-0.867	-1.381	-1.421	-1.425	-1.286	-0.458	-0.163	-0.377	-0.401	-1.164	-0.087	-0.73	-0.572	-1.618	-1.804	0.446	-0.625	-0.998	-6.081
"YML093W"	0.063	-1.261	-3.602	-4.507	2.565	-2.615	-1.452	-2.741	-3.357	-3.472	-1.704	-1.954	0.465	-1.317	-2.27	-2.92	-1.019	-1.785	-1.353	-1.529	-2.686	-4.947	-5.889	-2.797	-2.437	-1.818	-1.655	-0.788	-2.157	0.743	-1.525	0.305	-1.199	-1.18	0.532	-0.974	-1.376	-2.468	-1.633	-1.583	-1.493	-0.124	0.084	0.387	0.03	-1.522	-1.725	-2.234	-1.586	-3.703	-3.959	-0.824	-2.518	-2.353	-1.403
"YNL061W"	0.009	-1.292	-3.447	-4.928	-4.17	-3.927	-1.543	-4.143	-4.404	-3.948	-1.39	-1.88	0.88	-1.749	-1.98	-2.724	-1.279	-2.446	-1.607	-1.215	-2.673	-4.329	-4.27	-2.519	-2.417	-1.876	-1.315	-0.788	-2.061	0.753	-1.324	-0.042	-0.85	-1.362	0.578	-1.304	-1.115	-2.599	-1.44	-2.111	-2.07	-0.141	0.048	-0.047	0.104	-1.513	-0.913	-2.252	-1.619	-5.38	-3.059	0.73	-1.554	-1.501	-2.625
"YNL248C"	0.303	-1.458	-4.024	-4.791	-4.364	-4.315	-1.698	-3.398	-4.455	-4.373	-1.118	-2.114	0.293	-1.343	-1.97	-3.395	-1.163	-2.352	-1.798	-1.572	-2.425	-5.716	-5.215	-3.866	-3.014	-1.941	-1.594	-1.291	-1.474	1.045	-1.471	0.124	-0.797	-1.15	0.416	-1.222	-1.852	-2.958	-1.972	-2.005	-1.857	-0.171	0.201	0.016	-0.007	-2.53	-1.743	-3.695	-2.517	-4.868	-3.442	0.503	-2.94	-3.147	NaN
"YNL313C"	-0.348	-1.588	-3.06	-3.472	-3.287	-3.026	-1.419	-2.399	-2.935	-3.02	-1.406	-1.771	0.293	-1.083	-1.945	-1.887	-0.75	-1.152	-0.746	-0.92	-2.31	-4.999	-5.714	-3.129	-2.948	-1.668	-1.095	-0.443	-0.949	1.131	-0.781	0.106	-0.631	-0.934	0.285	-0.846	-1.094	-1.939	-1.572	-1.225	-1.032	0.259	0.014	0.14	-0.09	-1.051	-0.725	-1.891	-1.385	-3.009	-3.183	-0.399	-2.192	-1.686	-2.893
"YOL130W"	0.208	-0.675	-1.709	-1.297	-1.446	-1.455	-0.935	-0.928	-0.993	-1.075	-0.054	-1.126	0.519	-0.781	-0.749	0.248	-0.377	-0.618	-0.533	-0.2	-1.285	0.861	-0.2475	-1.108	1.0325	1.209	-0.311	-0.229	0.335	0.705	-0.394	-0.063	-0.438	-0.505	0.033	-0.546	-0.341	-0.783	-1.11	-0.241	-0.317	-0.286	-0.195	-0.189	-0.086	0.505	0.63	-0.173	-0.11	-1.888	-2.157	0.473	-1.098	-0.511	-5.598
"YOR206W"	0.003	-1.46	-3.294	-5.087	-4.715	-3.702	-2.15	-3.585	-5.083	-4.513	-1.165	-1.699	0.925	-1.51	-2.192	-3.849	-1.554	-2.605	-1.361	-1.575	-2.894	-5.827	-6.4785	-3.1625	-1.9445	-2.2495	-1.949	-0.721	-2.182	1.152	-1.748	-0.2	-1.225	-1.499	0.811	-1.803	-2.025	-3.65	-2.191	-2.398	-2.168	-0.476	0.361	0.416	0.214	-1.792	-1.752	-3.051	-1.987	-5.066	-3.782	-0.678	-2.558	-2.141	-4.382
"YOR243C"	0.171	-1.284	-3.173	-3.594	-2.991	-3.234	-2.239	-2.436	-3.633	-3.982	-1.091	-1.742	0.998	-1.413	-1.884	-2.5655	-1.168	-1.407	-1.357	-1.273	-1.985	-3.8055	-4.3935	-2.588	-2.1815	-1.6325	-0.821	-0.76	-1.541	0.674	-0.77	-0.005	-0.732	-1.245	0.512	-1.441	-1.497	-1.872	-1.457	-1.652	-1.335	0.0	0.261	0.255	-0.021	-1.712	-1.55	-1.441	-0.981	-4.099	-2.442	-0.785	-1.778	-1.962	-3.948
