	"797.Heat Shock 000 minutes (series 3)"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1303.diauxic shift timecourse: 0 hr"	"1686.YP raffinose vs reference pool"	"4872.1M sorbitol - 60 min"	"9832.cdc15 080 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"33779.delYPL230w_stationary_phase_5hours"
"YMR011W"	-0.778	-0.59	-2.477	-3.381	-3.29	-3.525	NaN	-2.802	-4.162	3.646	3.052	-2.75	-2.986	-2.517	-3.183	-2.255	-2.278	-2.421	0.306	-0.266	-0.734	0.302	-0.906	-1.753	-1.857	0.051	0.041	-0.2	-0.049	0.08	-0.001	-0.728	-0.497	-0.076	-2.874
"YMR093W"	0.92	-0.824	-1.169	-3.661	-3.154	-2.81	-2.924	-3.98	-4.21	-2.075	-2.079	-3.288	-1.991	-1.912	-2.558	-2.591	-3.429	-3.183	0.129	0.099	0.05	0.056	-1.289	-2.043	-1.757	-0.173	-0.081	-1.094	-0.989	-0.312	-0.276	-0.693	0.772	0.356	-3.843
"YMR179W"	0.412	-0.035	-0.649	-0.436	0.468	0.242	0.252	-0.928	-2.298	-0.73	-0.856	-1.432	-0.559	-0.739	-0.584	-0.864	-1.444	-1.006	0.049	-0.035	-0.089	-0.8725	-0.252	0.369	0.313	-0.022	-0.014	0.2	-0.044	-0.089	-0.017	-0.179	0.486	0.206	-1.43
"YMR184W"	-0.371	1.258	-1.096	-0.461	-0.485	-0.186	0.312	-1.978	-2.499	-0.47	-0.115	-0.616	-0.167	-0.064	-0.106	-0.804	-1.987	-1.492	-0.025	0.72	-0.114	0.1455	0.681	0.188	0.393	0.216	0.078	0.385	0.348	-0.05	-0.008	0.265	0.786	0.343	-0.281
"YMR217W"	1.301	-1.98	-5.293	-3.056	-3.049	-2.634	-3.785	-4.735	-5.29	-3.48	-2.869	-4.287	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	0.221	0.117	0.291	0.292	-1.947	-2.445	-2.596	0.353	0.478	-0.272	-0.144	-0.356	-0.463	-0.595	1.042	0.538	-4.222
"YMR307W"	0.605	-1.3	-2.669	-1.341	-0.597	-1.909	-1.803	-5.132	-5.877	-2.484	-2.482	-3.55	-1.413	-2.493	-3.39	-4.432	-5.016	-4.56	0.389	0.961	0.827	0.889	-3.414	-3.754	-3.788	0.012	0.138	0.678	0.67	0.677	0.654	0.236	1.079	0.845	-2.866
"YMR321C"	0.793	-0.637	-2.201	-2.459	-2.58	-2.138	-2.298	-3.288	-3.811	-2.632	-2.309	-2.252	-1.952	-1.913	-2.8	-2.409	-2.567	-2.424	0.031	-0.035	-0.034	0.281	-1.245	-1.722	-2.353	0.456	0.441	0.792	0.849	0.529	0.199	0.429	0.739	0.157	-2.994
"YNL102W"	0.147	-0.886	-1.8025	-0.002	-0.233	-0.7725	-0.554	-1.9295	-2.5705	-1.348	-1.224	-1.4035	-0.7415	-1.173	-1.1615	-2.116	-1.161	-1.4995	-0.005	-0.1555	0.0385	-0.477	-1.309	-0.906	-0.2905	-0.0275	-0.055	-0.0455	0.041	-0.1795	-0.1315	-0.3885	-0.2785	0.092	-1.086
"YNL129W"	-0.109	0.354	-0.937	-0.984	-1.01	-1.061	-1.147	-2.312	-3.084	-0.388	-0.297	-1.954	-1.235	-1.731	-1.698	-1.993	-3.256	-1.829	-0.041	-0.676	0.156	-0.426	1.939	2.249	2.044	-0.003	0.088	0.316	0.38	-0.054	0.032	0.099	-0.312	0.137	-1.488
"YNL132W"	0.542	-2.429	-5.826	-3.389	-2.815	-3.25	-3.653	-4.956	-6.392	-3.285	-3.141	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	0.159	0.07	-0.079	-0.412	-2.527	-2.718	-2.565	-0.001	0.148	-0.644	-0.235	-0.428	-0.608	-0.501	0.1	0.017	-3.989
"YNL247W"	0.677	-0.894	-2.799	-1.535	-1.024	-1.064	-1.928	-3.191	-4.64	-2.34	-2.065	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.054	-0.212	-0.061	-0.352	-1.822	-2.534	-2.379	0.067	-0.046	-0.03	0.074	-0.342	-0.435	-0.142	0.343	-0.034	-2.994
"YNL248C"	1.182	-1.572	-5.716	-3.559	-4.488	-3.442	-3.857	-4.575	-5.215	-3.866	-3.014	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	0.275	-0.129	0.124	-0.365	-1.743	-2.276	-2.278	0.097	0.268	-0.788	-0.839	-0.452	-0.461	-0.074	0.584	0.481	-6.193
"YNL262W"	0.4825	-0.2675	0.567	-0.5155	-1.033	-1.502	0.1475	-1.2985	-1.605	-0.462	-0.201	-0.771	-0.343	-0.436	-0.6235	-1.2805	-0.891	0.1105	-0.025	-0.073	-0.046	-0.13	0.1685	-0.278	-0.2815	-0.161	-0.108	-0.3255	-0.1245	0.138	-0.059	-0.12	-0.104	0.095	-1.25
"YOR004W"	1.253	-1.041	-1.3775	-2.901	-0.943	-0.096	-1.3515	-3.012	-5.273	-0.599	-0.6875	-2.961	-2.503	-2.135	-1.689	-2.507	-2.832	-2.931	0.104	-0.437	0.021	-0.011	-0.205	0.181	0.14	0.471	0.326	-0.937	-0.903	-0.57	-0.575	0.247	1.188	1.041	-4.043
"YOR198C"	0.2155	0.387	-1.0295	-1.107	-0.782	-1.3675	-1.933	-4.452	-5.562	-0.8245	-1.185	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.139	0.035	0.253	-1.138	-2.749	-2.555	-2.772	-0.149	-0.209	-0.384	-0.492	-0.527	-0.364	0.169	-0.625	-0.601	-1.499
"YOR309C"	0.8	-1.687	-6.798	-4.4185	-4.0545	-4.227	-3.942	-4.234	-6.859	-3.709	-3.9105	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	0.27	-0.639	0.043	-0.073	-2.601	-2.983	-2.775	-0.085	0.043	-1.204	-1.253	-0.292	-0.073	-0.626	0.394	0.641	-4.097
"YOR310C"	1.0465	-1.494	-6.006	-3.92	-3.4655	-3.0705	-3.319	-4.7765	-7.1385	-3.766	-3.585	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.222	-0.53	0.202	-0.765	-2.67	-2.757	-2.944	-0.037	0.008	-1.071	-1.288	-0.297	-0.218	-0.651	0.561	0.573	-5.14
"YPL079W"	0.917	-1.792	-4.616	-4.1965	-3.787	-3.3525	-2.6495	-3.892	-6.4765	-3.085	-3.172	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.055	0.427	0.031	0.0155	-2.001	-1.716	-1.575	0.284	0.34	0.269	0.169	0.531	0.089	-0.191	0.408	0.582	-3.573
"YPL101W"	0.62	NaN	-1.8845	-0.916	-1.8135	-0.9135	-0.1515	-1.5185	-4.317	-1.501	-1.475	NaN	2.0	NaN	NaN	-2.0	NaN	2.503	-0.026	NaN	NaN	0.528	1.019	-0.31	0.252	-0.019	-0.005	-0.134	-0.186	-0.211	-0.103	-0.184	-0.178	-0.215	-1.092
"YPL160W"	0.415	-1.2135	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.005	-0.246	0.0515	-0.3725	-2.4615	-2.584	-2.827	-0.174	-0.216	-0.049	-0.27	-0.212	-0.2815	-0.3115	-0.1965	-0.2565	-3.512
"YPL273W"	0.938	-0.8795	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.151	0.003	0.0235	-0.748	-1.821	-2.3675	-2.6985	0.446	0.535	0.699	0.706	0.552	0.323	-0.389	0.253	0.101	-3.012
"YPR102C"	1.1555	-1.671	-3.521	-3.2315	-3.2945	-3.3515	-2.6455	-4.045	-6.451	-3.5055	-4.118	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.326	0.306	0.219	0.423	-2.243	-1.685	-1.678	0.446	0.519	0.485	0.435	0.158	0.161	0.418	0.635	0.767	-4.015
"YPR163C"	1.063	-0.617	-3.6815	-2.265	-2.266	-1.717	-0.93	-2.9485	-5.4905	-2.5635	-2.469	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	0.338	-0.132	-0.06	-0.246	-1.345	-1.666	-1.832	-0.247	-0.331	-0.311	-0.101	-0.048	-0.291	-0.258	-0.122	0.246	-3.575
