	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"8234.dtt 240 min"	"8526.dun1- + 0.02% MMs - 30 min"	"21631..24 mM H2O2- 190 minutes"	"21634..24 mM H2O2- 155 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21645..24 mM H2O2- 020 minutes"	"21655..24 mM H2O2- 014 minutes"	"21659..24 mM H2O2- 077 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"40947.H2O2_II_14_min"
"YGL031C"	-5.763	-5.191	-2.42	-2.92	-3.061	-3.473	-2.732	-0.081	0.295	0.828	-2.062	-1.531	0.4	1.343	-2.166	-0.402	-3.814	-2.458	-2.773	-2.852	-1.578	-0.989
"YGL076C"	-5.667	-4.142	-2.037	-2.836	-2.79	-3.782	-2.239	0.048	0.157	0.5965	-2.2815	-1.4805	0.0595	0.1045	-2.0235	-1.3025	-4.003	-3.509	-3.347	-3.315	-2.544	0.433
"YGL099W"	-5.764	-2.755	-1.738	-2.516	-3.273	-3.42	-1.564	-0.415	-0.518	-0.093	-1.542	-1.151	-0.089	-0.064	-1.409	-1.481	-2.608	-2.453	-3.506	-2.525	-1.211	0.938
"YGL123W"	-5.982	-3.511	-2.071	-2.388	-2.65	-3.558	-1.983	-0.14	0.356	0.435	-2.59	-1.527	-0.263	0.58	-1.469	-0.894	-4.217	-3.27	-4.123	-3.488	-2.693	-1.049
"YGL135W"	-5.687	-3.581	-2.03	-2.267	-2.874	-3.825	-1.561	0.116	0.111	0.147	-2.517	-1.401	-0.329	0.183	-1.665	-1.563	-3.443	-2.903	-3.617	-3.009	-1.968	-0.165
"YGL189C"	-5.824	NaN	NaN	-1.466	4.087	0.848	-2.208	0.082	0.449	1.286	-1.177	-1.019	-0.319	1.06	-1.28	0.15	-2.732	-2.356	-1.887	-2.385	-1.727	-0.334
"YGR085C"	-6.059	-4.359	-2.106	-3.306	-3.54	-4.179	-1.876	0.199	-0.292	0.595	-2.277	-1.731	1.306	0.771	-2.39	-1.047	-4.004	-2.792	-3.45	-3.003	-2.048	0.196
"YGR103W"	-5.518	-4.861	-2.978	-2.768	-3.578	-3.882	-2.287	-0.227	-0.438	-0.103	-2.693	-1.396	0.88	0.562	-1.708	-2.689	-3.1195	-2.6665	-4.287	-2.4	-2.155	-1.361
"YGR148C"	-5.757	-5.063	-2.455	-3.022	-3.649	-4.092	-2.548	0.041	0.2	1.1055	-2.094	-1.6535	0.6635	1.137	-2.135	-0.974	-3.53	-2.779	-3.103	-2.693	-1.897	-0.734
"YHL033C"	-6.65	-4.25	-2.112	-2.601	-2.923	-4.209	-1.747	-0.1205	0.186	0.734	-2.542	-1.705	0.361	0.417	-2.271	-0.906	-1.38	-1.757	-0.001	-1.385	-1.492	-0.281
"YHR010W"	-4.514	-4.159	-2.399	-1.71	-2.032	-2.684	-2.034	0.0185	0.109	0.969	-2.255	-1.965	-0.249	0.281	-2.495	-1.115	-3.363	-2.267	-3.56	-2.961	-1.715	-0.871
"YHR019C"	-5.077	-2.07	-1.385	-3.117	-3.721	-4.387	-1.344	0.1975	0.411	0.6	-1.939	-1.674	-0.138	-0.285	-1.581	-0.343	-0.939	-1.261	-0.462	-1.349	-0.665	0.389
"YHR064C"	-5.238	-2.977	-1.449	-2.957	-3.678	-3.675	-1.038	-0.262	-0.033	-0.084	-1.303	-1.476	-0.07	-0.491	-1.708	-1.213	-2.793	-2.097	-2.415	-2.781	-1.789	-0.473
"YHR203C"	-5.944	-4.669	-2.276	-2.575	-3.081	-3.941	-1.982	0.119	0.363	0.736	-2.766	-2.208	-0.338	-0.066	-2.562	-1.102	-4.467	-3.308	-3.717	-3.449	-2.785	0.354
"YIL018W"	-5.749	-3.907	-1.842	-2.661	-3.27	-3.914	-2.148	-0.217	0.024	0.481	-3.137	-2.522	-0.156	0.312	-2.878	-1.42	-4.277	-3.397	-4.06	-3.676	-2.806	0.974
"YIL052C"	-6.278	-4.174	-2.279	-2.162	-2.5	-3.158	-2.17	-0.08	0.112	0.634	-0.967	-1.057	0.433	0.375	-1.624	-0.66	-3.32	-2.562	-2.821	-2.677	-1.94	0.675
"YIL133C"	-5.79	-4.433	-2.003	-2.615	-3.007	-3.393	-2.404	-0.3515	-0.279	0.4	-2.663	-1.997	0.058	-0.108	-2.483	-1.892	-4.387	-3.183	-4.098	-3.154	-2.466	0.99
"YJL188C"	-4.633	-3.453	-1.897	-2.169	-2.54	-2.776	-1.98	-0.077	0.42	0.233	-2.615	-2.259	-0.261	0.919	-2.471	-1.363	-2.879	-1.947	-2.777	-2.447	-2.254	-0.824
"YJR145C"	-6.528	-4.857	-1.988	-2.519	-3.105	-3.178	-1.921	0.166	-0.217	0.683	-2.312	-1.852	0.162	-0.06	-2.291	-0.953	-4.335	-3.373	-4.108	-3.771	-2.74	0.049
"YKL201C"	-0.705	0.762	1.329	-0.229	-0.533	-0.35	0.454	-0.342	0.039	-0.181	1.26	0.459	0.007	-0.045	0.962	-0.034	0.88	0.658	1.571	0.966	0.204	NaN
"YLL045C"	-6.618	-3.66	-2.096	-2.943	-3.021	-3.731	-1.957	-0.256	0.499	0.616	-2.707	-1.621	0.834	0.242	-2.21	-0.956	-3.449	-2.833	-3.788	-3.87	-2.635	0.533
"YLR044C"	-6.198	-2.978	-0.64	-1.373	-0.923	-2.628	0.404	0.123	0.667	0.901	-1.262	-0.661	0.393	-0.803	-0.586	0.159	-3.282	-3.407	-2.618	-3.903	-3.397	-0.372
"YLR061W"	-6.591	-4.326	-2.164	-3.309	-3.833	-3.91	-1.984	0.174	-0.374	0.611	-2.534	-1.593	0.063	-0.033	-2.311	-2.05	-2.468	-2.246	-4.004	-2.793	-2.94	-0.249
"YLR150W"	-6.397	-3.403	-1.162	-1.785	-1.84	-2.771	-1.56	0.46	0.657	0.895	-2.098	-1.443	0.604	0.046	-1.45	0.015	-3.064	-2.211	-2.235	-2.285	-1.844	-0.022
"YLR293C"	-6.281	-2.473	-1.576	-2.379	-3.03	-3.186	-1.215	0.036	0.346	0.624	-0.814	-0.723	0.621	-0.177	-0.613	0.244	-3.113	-2.525	-2.822	-2.422	-1.899	-0.237
"YLR339C"	-6.865	-3.117	-1.977	-2.461	-3.161	-3.973	-1.739	-0.196	0.105	0.328	-2.756	-1.964	-0.306	-0.141	-2.141	-1.098	-4.034	-3.474	-3.409	-3.723	-3.161	0.35
"YLR340W"	-6.819	-3.499	-1.834	-2.702	-3.206	-4.105	-1.639	-0.299	0.14	0.564	-3.218	-1.866	-0.049	-0.26	-2.69	-0.841	-4.14	-3.346	-3.405	-3.289	-2.708	0.52
"YML073C"	-6.033	-4.919	-2.471	-2.401	-2.624	-3.718	-2.025	-0.227	-0.166	0.749	-2.14	-1.605	0.507	0.249	-2.084	-0.903	-2.783	-3.737	-3.765	-3.151	-2.415	0.343
"YMR079W"	-3.648	-2.011	-1.053	-1.666	-1.971	-2.855	-0.283	-0.157	-0.274	0.012	-1.33	-1.229	0.008	-0.229	-0.631	-0.676	-2.383	-1.935	-2.232	-2.162	-1.733	-0.045
"YMR116C"	-6.865	-3.586	-2.408	-2.906	-3.561	-4.003	-1.666	-0.203	-0.287	0.303	-3.355	-2.912	-0.231	-0.964	-2.803	-1.541	-3.221	-3.026	-3.169	-3.586	-2.54	-1.305
"YMR121C"	-4.199	-2.864	-1.698	-2.277	-2.155	-2.582	-1.432	0.22	0.007	0.422	-1.517	-1.794	-0.064	0.257	-1.83	-0.709	-3.713	-2.508	-3.436	-2.969	-2.254	0.267
"YMR142C"	-6.693	-4.4	-2.393	-2.774	-3.415	-4.248	-2.075	-0.065	0.117	0.701	-1.802	-1.584	0.6	0.236	-1.881	-0.574	-4.355	-3.347	-4.039	-3.538	-3.031	1.045
"YMR143W"	-4.466	-4.401	-2.562	-2.88	-3.111	-3.545	-2.162	-0.235	-0.32	0.526	-2.627	-2.351	0.187	-0.223	-2.601	-1.32	-4.133	-3.647	-4.75	-3.456	-3.199	0.157
"YMR305C"	-4.237	-1.774	-0.784	-1.996	-3.198	-3.355	1.163	-0.35	-0.785	0.192	-1.419	-0.718	0.607	0.003	-1.13	-1.001	-3.465	-1.982	-3.526	-2.134	-1.791	0.066
"YMR308C"	-4.033	-2.386	-1.539	-2.239	-2.796	-2.451	-0.891	-0.258	-0.346	-0.265	-1.343	-0.798	0.356	0.268	-0.793	-1.816	-2.434	-1.811	-2.061	-1.659	-1.58	0.573
"YNL119W"	-6.231	-3.55	-1.753	-2.822	-2.843	-3.318	-1.613	-0.181	0.314	0.745	-2.984	-1.914	0.072	0.533	-2.781	-1.524	-3.587	-2.801	-4.042	-2.748	-2.546	-0.587
"YNL132W"	-6.392	-4.353	-2.313	-3.396	-4.377	-4.049	-1.974	-0.163	-0.573	-0.229	-1.317	-1.658	-0.06	0.557	-1.701	-2.96	-2.994	-2.948	-3.989	-2.673	-2.3	-0.575
"YNL301C"	-6.272	-3.466	-1.992	-2.652	-2.985	-3.448	-1.909	0.002	0.111	0.215	-2.966	-2.195	0.573	0.42	-2.327	-1.871	-4.167	-3.163	-4.02	-3.032	-2.764	-1.096
"YNL302C"	-4.746	-2.3425	-1.4435	-1.1605	-1.0695	-1.549	-1.279	0.0635	0.578	0.654	-2.697	-1.739	1.155	0.525	-2.22	-1.266	-4.107	-3.25	-3.631	-3.426	-2.699	0.592
"YOL077C"	-6.552	-3.705	-2.565	-3.299	-3.894	-4.326	-2.119	-0.314	-0.021	0.402	-2.356	-1.027	1.111	0.445	-2.002	-2.011	-2.855	-2.586	-5.145	-2.894	-2.392	0.868
"YOL097C"	-6.314	-3.246	-2.063	-3.398	-4.044	-4.151	-1.1755	0.101	-0.675	0.188	-1.916	-1.31	0.12	-0.389	-1.734	-1.26	-2.626	-2.945	-3.063	-3.051	-2.335	-0.429
"YOL121C"	-1.754	-4.227	-2.02	-2.469	-2.67	-3.83	-1.924	-0.035	0.263	0.918	-2.457	-2.169	0.094	0.229	-2.397	-1.329	-3.912	-2.653	-3.465	-2.982	-2.546	0.752
"YOR063W"	-2.404	-2.57	-1.623	-2.871	-3.524	-4.297	-0.8485	-0.098	-0.379	0.34	-2.164	-2.179	0.522	-1.064	-2.155	-0.469	-2.334	-2.103	-2.317	-2.195	-2.269	0.861
"YOR369C"	-6.5475	-3.998	-2.456	-2.456	-2.662	-3.502	-2.1875	-0.197	-0.348	-0.103	-2.874	-3.052	-0.1	-0.385	-3.469	-1.688	-3.362	-2.395	-3.032	-3.003	-2.641	-0.924
"YPL037C"	-5.417	-2.203	-1.255	-2.115	-3.222	-3.654	-0.8305	-0.193	-0.167	0.608	-0.778	-0.687	-0.044	1.153	-0.794	-0.163	-2.236	-1.607	-1.437	-1.831	-1.289	0.132
"YPL079W"	-6.4765	-4.735	-2.781	-3.015	-3.498	-4.547	-2.1725	-0.045	0.053	0.136	-1.336	-1.307	-0.328	0.38	-1.665	-1.769	-2.865	-2.753	-3.573	-3.431	-2.725	-0.776
"YPL142C"	-5.604	-4.155	-2.082	-2.148	-2.632	-2.979	-1.7865	-0.209	0.152	0.403	-2.606	-1.971	-0.732	0.564	-2.604	-1.557	-3.763	-3.021	-3.677	-3.278	-2.971	-0.643
"YPL220W"	-6.1465	-3.51	-1.794	-2.247	-2.571	-3.926	-1.461	0.226	-0.241	0.086	-3.189	-2.698	-0.163	-0.696	-3.019	-1.556	-3.366	-2.375	-3.554	-2.774	-2.352	-1.21
"YPR110C"	-6.318	-3.88	-2.186	-2.993	-3.212	-3.358	-1.359	-0.159	-0.355	-0.012	-1.997	-1.273	0.5	-0.324	-1.695	-1.66	-2.851	-1.853	-3.882	-3.113	-2.597	0.531
"YPR187W"	-5.408	-2.563	-1.827	-2.28	-2.584	-3.22	-1.5435	-0.158	-0.42	0.099	-1.041	-0.562	-0.322	0.964	-0.965	-1.688	-2.584	-2.061	-2.896	-2.213	-1.752	-0.491
