	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13060.wt/crz1 Na 45min (2)"	"14946.Hydrostatic pressure (C2 vs P2)"	"21643..24 mM H2O2- 140 minutes"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"
"YGR118W"	-1.469	-2.204	-1.873	1.94	-2.097	-2.204	-5.471	-3.851	-2.117	-1.76	-2.214	-3.141	-1.324	0.016	-1.724	-0.002	-2.095	0.628	0.2275	0.502	-0.1625	-2.162	-1.82
"YGR185C"	-0.5725	-0.755	-1.289	1.186	-2.13	-5.306	-6.361	-2.754	-2.944	-4.576	-4.871	-5.006	-0.37	0.532	-0.9955	0.099	-2.438	0.072	-0.011	0.827	-0.118	-2.768	-2.136
"YGR264C"	-1.065	-1.217	-1.553	1.873	-2.945	-5.206	-4.616	-3.897	-3.468	-4.623	-4.957	-4.753	-0.719	0.53	-1.1595	-0.542	-2.468	0.373	-0.035	1.038	-1.004	-2.673	-1.736
"YGR285C"	-1.495	-2.027	-1.664	1.704	-1.645	-4.078	-6.1	-3.556	-2.811	-3.452	-4.07	-4.065	-0.812	0.2	-1.4295	0.701	-2.068	0.848	0.392	0.77	-0.403	-2.607	-1.583
"YHR064C"	-1.62	-1.872	-1.671	1.086	-1.77	-3.329	-5.238	-2.977	-2.25	-2.957	-3.678	-3.675	-1.096	0.61	-1.7365	-0.202	-2.056	0.562	0.172	1.29	-0.564	-2.097	-1.183
"YHR203C"	-1.815	-2.585	-1.621	2.714	-2.372	-3.782	-5.944	-4.669	-2.591	-2.575	-3.081	-3.941	-1.59	0.336	-1.9665	-0.29	-2.302	0.651	0.156	0.642	-0.246	-3.308	-2.46
"YIL052C"	-1.4375	-2.49	-2.029	1.842	-2.22	-2.895	-6.278	-4.174	-2.546	-2.162	-2.5	-3.158	-1.653	-0.077	-1.7635	-0.043	-1.743	0.798	0.266	-0.188	-0.185	-2.562	-2.217
"YIL078W"	-1.347	-1.481	-1.59	1.358	-2.498	-5.192	-6.059	-3.786	-3.226	-4.41	-4.902	-4.944	-0.87	0.531	-1.422	-0.033	-2.348	0.344	0.336	1.008	-0.48	-1.937	-1.36
"YIL131C"	-0.9565	-0.916	-0.384	1.558	-1.739	-2.028	-4.479	-0.914	-1.681	-1.725	-2.595	-1.95	-1.047	0.436	-1.002	0.224	-1.753	0.33	0.293	-0.066	-0.714	-0.634	-0.854
"YJL014W"	-0.1915	-0.423	-0.652	1.137	-1.494	-2.624	-3.962	-1.546	-1.58	-2.252	-3.068	-2.866	0.143	0.341	-0.561	-0.65	-1.31	0.084	-0.093	0.934	-0.115	-1.358	-1.024
"YJL051W"	-0.624	-0.61	-1.13	1.256	-1.422	-0.815	-5.305	-0.88	-1.332	-1.925	-1.694	-1.547	-0.54	0.606	-0.4055	-0.092	-0.834	0.114	-0.035	0.191	0.167	-0.372	-0.605
"YJL138C"	-1.288	-1.635	-1.457	1.129	-1.195	-3.125	-5.625	-2.086	-2.049	-2.542	-2.785	-3.522	-1.172	0.511	-1.659	-0.705	-1.828	0.633	0.31	1.016	-0.801	-1.737	-0.978
"YJR123W"	-1.822	-2.317	-1.807	2.779	-2.46	-4.381	-9.147	-4.282	-2.635	-2.639	-3.543	-4.006	-1.817	0.454	-2.0685	-0.275	-2.153	0.789	0.161	0.48	-0.38	-3.113	-2.761
"YKL056C"	-1.046	-1.904	-1.194	0.872	-1.541	-3.426	-5.119	-2.468	-2.281	-2.754	-3.265	-3.483	-1.28	0.083	-1.1915	0.176	-1.777	0.632	0.736	0.583	-0.69	-1.747	-1.084
"YKR059W"	-1.426	-1.546	-1.501	1.171	-1.543	-2.817	-4.998	-2.018	-2.106	-2.623	-2.96	-3.568	-1.243	0.478	-1.384	-0.352	-1.996	0.604	0.224	0.893	-0.971	-2.0	-0.738
"YLL044W"	-1.796	-2.783	-2.271	2.306	-2.211	-3.79	-6.48	-3.872	-2.736	-2.724	-3.494	-3.967	-1.795	0.75	-1.906	-0.904	-2.227	0.842	0.343	0.905	-0.384	-2.774	-2.055
"YLR061W"	-0.693	-1.995	-1.3	1.21	-2.908	-4.939	-6.591	-4.326	-2.88	-3.309	-3.833	-3.91	-1.569	0.241	-0.817	-0.263	-2.482	0.736	-0.133	0.216	-0.295	-2.246	-1.804
"YLR197W"	-1.737	-2.844	-2.358	0.81	-2.789	-4.736	-5.242	-5.671	-3.716	-4.423	-4.976	-5.033	-0.933	-0.127	-1.878	0.363	-2.488	0.837	0.103	1.062	0.122	-3.17	-1.095
"YLR264W"	-1.119	-1.987	-1.686	1.822	-1.529	-2.597	-5.152	-3.525	-2.158	-1.649	-2.334	-2.391	-1.521	0.227	-1.373	0.283	-1.833	0.774	0.667	0.63	-0.393	-2.202	-1.49
"YLR333C"	-0.585	-2.23	-2.055	1.643	-1.851	-3.011	-5.863	-4.032	-2.057	-1.584	-2.45	-2.848	-1.441	0.09	NaN	-0.172	-1.748	0.829	0.544	0.57	-0.119	-2.673	-1.894
"YLR388W"	-1.406	-2.289	-1.937	1.261	-1.98	-3.596	-5.506	-4.025	-2.555	-2.232	-2.581	-3.193	-1.558	0.154	-1.597	-0.292	-2.034	0.593	0.25	0.324	0.043	-2.798	-2.25
"YLR409C"	-0.942	-1.524	-0.875	1.471	-1.629	-3.204	-4.211	-2.708	-2.286	-2.713	-3.315	-3.47	-0.056	0.589	-1.148	-0.069	-1.502	0.191	0.169	0.17	0.071	-1.648	-1.097
"YML064C"	-0.053	-0.545	-0.503	1.091	-1.739	-2.421	-3.73	-0.642	-1.432	-1.338	-1.457	-1.948	-0.123	0.668	-0.274	0.629	-0.947	0.363	0.309	0.227	0.382	-0.678	-0.807
"YML074C"	-0.295	-0.623	-1.095	-0.324	-0.951	-2.837	-5.319	-1.88	-1.673	-2.826	-3.214	-3.466	-0.529	0.352	-0.69	0.07	-1.767	0.225	-0.106	0.976	0.458	-1.494	-1.074
"YMR242C"	-1.649	-2.703	-2.14	2.345	-2.522	-3.971	-6.226	-4.84	-3.004	-2.601	-3.133	-3.475	-1.534	0.227	-1.855	0.006	-2.4615	0.63	0.261	0.46	-0.008	-3.141	-2.446
"YNL178W"	-1.826	-2.761	-2.578	1.969	-1.857	-4.338	-6.62	-4.97	-2.981	-2.958	-3.483	-3.871	-1.96	0.139	-2.137	-0.432	-2.479	0.971	0.949	0.218	-0.394	-2.059	-1.999
"YOR100C"	0.626	0.083	-0.07	-1.339	3.108	2.225	3.667	3.743	3.605	4.227	4.288	3.467	-0.103	0.582	0.69	0.313	2.346	-0.002	0.329	-0.71	0.211	2.532	2.507
"YOR169C"	-0.241	-0.478	-0.804	1.23	-1.534	-1.656	-3.934	-2.535	-1.758	-2.363	-2.16	-3.14	-0.026	0.087	-0.683	0.067	-1.574	0.506	0.317	-0.078	-0.177	-1.554	-1.323
"YOR198C"	-0.566	0.241	0.191	-0.264	-1.6725	-4.452	-5.562	-2.46	-2.828	-4.384	-4.657	-4.415	0.138	-0.217	-0.817	-0.086	-2.297	-0.061	-0.209	0.938	-0.364	-2.131	-2.231
"YOR315W"	-1.524	-2.105	-2.388	2.338	-3.1035	-2.9775	-4.3035	-2.638	-3.165	-2.855	-2.774	-2.784	-1.725	0.418	-1.676	-0.599	-1.601	0.637	0.443	0.633	-1.085	-1.234	-1.281
"YOR369C"	-1.683	-2.175	-2.11	2.138	-2.805	-3.724	-6.5475	-3.998	-2.986	-2.456	-2.662	-3.502	-1.806	-0.377	-1.941	0.256	-2.309	0.861	0.753	-0.684	-0.602	-2.395	-1.842
"YPR033C"	-0.853	-0.763	-1.113	0.653	-2.534	-4.8805	-7.94	-2.203	-2.55	-3.951	-4.382	-4.54	-0.384	0.688	-1.174	0.003	-2.107	0.381	0.112	0.78	-0.358	-2.033	-1.22
"YPR102C"	-1.491	-2.43	-1.866	2.3265	-2.7315	-4.045	-6.451	-4.644	-3.232	-3.352	-3.749	-4.692	-1.183	0.125	-1.815	0.444	-2.384	0.802	0.519	0.297	-0.195	-2.614	-2.344
"YPR132W"	-1.078	-2.014	-1.741	2.133	-2.6445	-3.1925	-5.805	-3.788	-2.292	-1.968	-2.388	-3.151	-1.458	0.289	-1.376	-0.113	-2.217	0.559	0.452	0.198	-0.072	-2.466	-2.174
