	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YBL039C"	-1.695	-4.41	-4.793	-5.089	-4.124	-2.316	-1.083	-2.672	-4.307	-4.486	-3.781	0.149	-0.566	0.171	-1.92	-2.661	-2.891	-1.618	-1.351	-0.788	-0.279	-3.74	-7.004	-3.306	-1.782	0.434	-2.736	-2.628	-2.386	0.2045	-4.7305	-2.8885	-3.4265	-3.9535	0.1495	0.192	0.527	-1.647	-1.366	0.552	0.0245	0.408	0.659	1.237	1.247	0.274	-0.398	0.293	-4.956	0.889	-1.482	-1.446	-2.952	-4.509	-3.644	-4.264	-1.635	-2.769	-2.12	-3.951	-3.379	-2.546	-2.162	-0.005	-0.262	0.476	0.357	0.001	0.56
"YBR016W"	0.595	0.925	0.573	0.376	0.492	-1.086	0.08	0.527	0.211	0.429	0.402	0.555	0.19	-0.176	0.593	0.836	0.649	0.763	0.54	0.609	0.46	0.657	-1.006	0.591	2.148	-0.415	1.331	1.224	0.964	-0.043	0.442	-0.039	-0.474	-0.6105	0.0405	-0.086	-0.645	0.653	0.606	-0.519	-0.378	-0.199	0.028	-0.237	-0.461	-0.016	-0.312	0.073	0.127	0.092	-0.1055	-0.0205	0.523	0.216	0.176	1.207	0.819	0.828	0.265	0.983	0.293	0.345	-0.438	0.619	0.269	0.078	-0.207	-0.245	0.046
"YBR026C"	1.0875	1.631	2.326	2.417	2.554	1.708	1.079	1.669	2.178	2.688	2.577	0.1	-0.363	0.069	1.139	1.461	1.573	1.207	1.316	0.817	0.211	2.537	-1.474	1.689	1.308	-0.092	1.873	1.707	1.322	0.1585	2.1345	2.7165	2.379	2.4865	0.3225	-0.538	-0.316	NaN	1.432	0.248	0.3395	-0.278	0.127	-0.212	0.256	0.145	-0.034	-0.008	2.948	NaN	0.225	0.3985	0.961	1.969	2.05	2.418	1.372	1.981	1.786	2.689	2.244	1.827	2.507	0.139	0.216	-0.835	-0.567	0.077	0.01
"YBR053C"	0.9645	2.641	2.944	8.904	2.786	2.173	1.478	2.121	2.642	3.221	3.327	-1.031	-1.073	-0.478	1.302	1.621	1.865	1.932	1.633	1.304	0.678	2.807	-1.689	1.393	1.809	0.0	1.172	1.441	1.246	0.4475	3.252	2.288	1.624	1.686	0.3075	0.189	0.201	1.68	1.357	-0.073	-0.1335	-0.563	-0.429	-0.902	-0.921	-0.433	-0.101	0.441	4.137	-0.173	1.4965	0.4655	2.66	2.189	1.539	1.865	2.828	2.588	1.948	3.16	3.009	2.267	1.742	0.165	0.289	0.2	0.369	0.808	0.392
"YBR056W"	1.246	2.581	2.937	2.407	2.9	1.627	1.136	2.04	2.582	3.141	3.008	-0.9	-0.518	0.136	1.458	1.974	2.192	1.854	1.319	1.155	0.555	3.069	-2.429	1.46	2.069	0.096	1.657	1.624	0.913	0.547	2.803	2.2835	2.196	2.418	0.606	-0.611	-0.63	2.128	2.111	0.296	0.393	-0.642	-0.275	-1.34	-1.425	-0.888	-0.243	0.321	3.273	-0.283	0.6185	0.553	2.154	2.537	2.012	2.595	2.113	1.943	2.19	2.66	1.785	1.357	1.642	0.295	0.41	0.278	0.71	1.089	0.47
"YBR080C"	0.0375	0.253	0.599	0.699	0.594	0.066	0.23	0.314	0.579	0.531	0.458	0.251	0.189	0.325	0.066	0.329	0.186	0.449	0.227	0.225	0.162	-0.389	-2.0	0.261	-0.332	0.035	-0.132	-0.365	-0.659	-0.031	-0.926	-0.577	-0.6275	-0.7075	0.208	0.261	0.104	0.684	0.954	-0.074	-0.0225	0.549	0.446	-0.234	0.489	0.326	-0.064	-0.062	-0.289	0.589	0.7175	0.6015	-0.468	0.259	0.172	-0.305	-1.253	-1.325	-0.895	-0.626	-1.44	-1.068	-1.263	0.194	0.164	0.522	0.501	0.567	0.312
"YBR129C"	1.0195	-0.118	-0.373	-0.339	-0.395	-0.222	-0.322	0.15	0.122	-0.111	-0.222	0.502	-0.337	-0.151	0.567	0.523	0.415	0.548	0.437	0.248	0.159	0.665	-2.509	0.825	0.348	0.02	-0.166	-0.277	0.05	0.071	0.457	0.1585	-0.0045	-0.3015	-0.3945	-0.116	-0.114	-0.013	-0.172	0.24	0.192	-0.011	-0.042	-0.037	0.009	0.478	-0.069	-0.26	-0.228	-0.201	0.4315	0.324	-0.058	-0.58	0.48	-0.105	1.599	1.359	0.686	0.511	0.636	1.089	0.005	-0.116	-0.037	0.245	0.491	0.684	0.441
"YBR139W"	0.18	2.369	2.977	3.848	2.63	2.067	0.865	2.128	2.849	2.957	3.234	-1.059	-1.238	-0.362	1.338	1.611	1.625	1.581	1.19	0.48	0.224	3.123	-1.409	1.995	2.129	0.118	1.636	1.465	1.016	0.5935	3.3855	2.27	2.1415	2.114	0.0385	0.172	0.645	1.752	1.234	-0.398	-0.1465	-0.285	-0.543	-0.642	-0.875	-0.237	0.012	0.067	3.322	-0.633	0.612	0.534	1.285	2.237	1.973	2.398	3.063	2.319	1.317	3.026	2.805	1.931	1.564	0.952	0.897	0.111	0.513	0.189	0.185
"YBR142W"	-0.124	-2.785	-3.45	-0.764	-2.326	-1.313	-0.689	-1.469	-2.492	-2.93	-2.567	0.695	0.221	0.216	-1.415	-1.523	-1.681	-1.279	-1.104	-0.849	-0.524	-2.447	-4.241	-1.661	-1.229	0.171	-1.893	-1.12	-0.958	-0.049	-2.4525	-1.878	-2.0035	-2.148	-0.149	0.252	0.392	-0.846	-0.506	0.56	0.238	0.417	0.317	0.679	0.607	0.172	-0.306	-0.499	-2.999	0.176	-0.083	-0.6255	-3.167	-4.931	-3.065	-2.983	-2.312	-1.71	-1.544	-3.06	-2.661	-1.652	-1.41	-0.02	-0.12	0.422	0.834	0.295	0.273
"YBR218C"	-0.197666666666667	-0.4675	0.6785	0.6035	0.7155	0.7775	0.1045	0.5105	0.345	0.1825	0.109	-0.6485	0.0785	-0.08	-0.4055	-0.175	-0.107	0.084	-0.083	-0.401	-0.396	0.8185	-1.3885	0.921	0.424	-0.205	-0.1885	0.447	-0.157	0.195666666666667	0.371	0.405666666666667	0.544666666666667	0.457333333333333	-0.0823333333333333	0.286	0.309	0.885	0.789	0.1	-0.087	-0.05	0.17	0.236	0.1895	-0.13	-0.0635	0.029	-0.139	0.3345	-0.232	0.059	0.665	1.042	1.053	-0.143	1.108	1.596	1.466	1.421	1.493	1.665	1.043	0.143	0.265	0.209	-0.529	-0.252	-0.526
"YBR247C"	-2.0475	-4.144	-4.052	0.598	-3.103	-1.515	-0.654	-1.73	-2.541	-3.015	-3.19	0.412	-0.262	0.294	-2.007	-2.334	-2.222	-1.672	-1.243	-1.003	-0.522	-3.42	-3.969	-2.429	-2.164	0.315	-3.12	-1.618	-1.623	-0.0155	-3.3455	-2.0405	-1.839	-1.689	0.256	0.062	-0.16	-1.075	-0.692	0.428	0.2745	0.554	0.513	0.944	1.05	0.538	-0.413	-0.291	-2.961	0.064	-0.976	-0.85	-3.457	-2.974	-2.345	-2.802	-2.285	-2.153	-1.74	-1.576	-2.15	-1.289	-1.747	-0.102	-0.18	0.426	-0.25	-0.372	0.602
"YCL054W"	-1.201	-3.412	-3.545	-3.187	-2.942	-1.717	-0.534	-1.013	-2.871	-3.741	-3.668	1.03	0.452	0.279	-1.939	-2.492	-1.974	-1.659	-1.3	-0.987	-0.506	-3.386	-2.063	-2.044	-2.67	0.325	-2.121	-2.124	-1.496	-0.424	-4.0705	-2.049	-2.2245	-2.4215	-0.225	0.245	-0.132	-0.818	-0.022	0.516	0.1985	1.072	0.605	0.651	0.675	0.143	-0.218	-0.043	-4.039	0.212	-0.552	-0.367	-3.522	-4.037	-2.713	-3.835	-2.945	-2.617	-1.203	-3.761	-2.107	-2.043	-2.179	-0.207	-0.357	0.131	0.114	-0.184	0.771
"YCL059C"	-0.994	-1.314	-3.484	-4.56	-4.242	-2.249	-0.511	-2.109	-3.611	-4.218	-3.675	0.46	0.199	0.143	-1.116	-2.587	-2.904	-2.397	-1.424	-0.796	-0.303	-4.786	-5.277	-2.731	-1.244	0.343	-2.27	-1.67	-1.283	-0.183	-3.4015	-1.887	-1.4885	-1.846	-0.072	0.439	-0.019	-1.897	-1.776	0.642	0.6285	0.873	0.356	0.745	0.899	0.864	-0.442	0.057	-4.664	0.708	-1.203	-1.41	-2.026	-2.908	-2.614	-4.103	-3.887	-2.479	-0.967	-4.436	-2.396	-1.791	-1.456	0.003	-0.12	0.534	0.34	0.352	0.831
"YCR072C"	-0.716	-2.145	-4.048	-3.359	-3.587	-1.931	-0.757	-1.668	-2.626	-3.503	-2.949	-0.151	0.06	0.288	-1.81	-2.43	-1.537	-1.46	-1.045	-0.565	-0.481	-4.777	-4.875	-2.593	-3.05	-0.29	-3.092	-2.773	-1.346	-0.232	-1.4095	-1.4095	-1.6045	-1.42	0.0515	0.323	-0.165	-0.911	-0.651	-0.005	-0.249	0.585	0.22	0.912	1.144	0.291	0.197	-0.122	-4.635	0.887	-0.141	-0.614	-4.939	-4.551	-2.816	-2.665	-2.819	-2.44	-1.541	-3.703	-2.838	-1.67	-2.009	-0.426	-0.39	-0.038	-0.078	-0.744	0.038
"YDL019C"	0.155	1.37	1.4805	1.195	0.59	0.0225	-0.499	0.355	0.8775	0.99	1.0775	-0.952	0.025	0.1455	0.3625	0.594	0.365	0.3955	-0.1655	-0.7525	-0.3745	0.697	-1.673	0.684	-0.0785	0.2075	0.193	-0.3065	-0.3045	-0.0903333333333333	0.133	-0.0146666666666667	0.103666666666667	0.360666666666667	-0.274666666666667	-0.013	0.099	1.491	1.013	0.2485	0.0653333333333333	-0.2015	-0.347	-0.051	-0.382	-0.194	-0.027	0.327	1.344	-0.264	0.949	1.104	2.021	1.328	0.465	1.038	1.674	1.137	1.158	2.355	0.777	0.796	0.335	-0.13	0.153	-0.386	-0.191	0.091	0.256
"YDL031W"	-0.55	-2.218	-2.88	-2.123	-2.3335	-1.2555	-0.545	-1.516	-2.1535	-2.805	-2.451	0.401	0.196	0.309	-1.406	-1.7075	-1.604	-1.4565	-0.9485	-0.656	-0.521	-2.5295	-3.3365	-1.2945	-1.2675	0.179	-2.234	-1.5645	-1.2865	-0.2675	-2.49	-1.401	-1.0975	-1.1425	-0.155	0.126	0.621	-0.997	-0.5365	0.4635	-0.0015	0.4315	0.0885	0.278	0.1885	0.3485	-0.398	0.058	-2.6385	0.0995	-0.776	-0.614	-2.448	-2.583	-1.757	-1.283	-0.845	-1.181	-0.297	-2.16	-0.888	-0.525	-0.516	-0.039	-0.32	0.259	-0.191	-0.081	-0.144
"YDL060W"	-1.466	-2.135	-2.485	-1.111	-1.469	-1.838	-0.854	-1.609	-2.459	-2.961	-1.9	-0.14	-0.617	0.556	-1.081	-1.008	-1.932	-1.241	-0.925	-0.891	-0.399	-2.808	-2.3	-2.113	-1.754	0.136	-2.011	-1.942	-0.754	0.129	-1.721	-0.97	-0.803	-0.858	0.262	0.172	0.215	-0.531	-0.237	0.384	0.202	-0.114	0.106	0.874	0.296	0.08	-0.508	0.36	-2.833	0.697	-1.046	-1.354	-2.911	-2.676	-1.819	-2.62	-1.277	-2.018	-0.533	-2.496	-1.137	-0.776	-0.849	-0.1	-0.217	0.103	-0.645	-0.255	0.048
"YDL072C"	0.896	1.925	1.895	1.571	1.51	1.069	0.341	1.493	1.618	1.813	2.009	-0.05	-0.191	0.309	1.243	1.508	1.389	1.314	1.181	1.332	0.539	2.88	-2.459	0.643	1.023	-0.02	0.849	0.379	-0.059	0.139	1.552	0.656	0.529	0.534	0.293	0.069	0.182	1.036	0.635	-0.266	0.156	-0.189	0.148	-0.555	-0.751	-0.244	-0.13	0.266	1.938	-0.202	-0.256	0.315	1.595	1.98	1.99	2.229	1.752	1.534	1.07	2.416	1.841	1.433	0.425	1.04	1.069	-0.442	-0.421	-0.024	0.711
"YDL201W"	-1.211	-2.767	-2.68	2.807	-2.05	-1.561	-0.485	-1.327	-1.932	-2.515	-1.652	0.862	0.475	0.17	-1.115	-1.494	-1.274	-1.095	-0.696	-0.566	-0.376	-3.282	-4.94	-1.858	-2.19	0.168	-2.29	-2.112	-1.765	0.199	-2.178	-1.317	-1.176	-1.363	0.193	0.061	1.106	-0.978	-0.606	0.769	0.388	0.345	0.324	0.704	0.812	0.698	-0.027	0.26	-2.398	0.461	-0.305	-0.442	-3.323	-2.621	-1.767	-2.04	-2.098	-1.705	-1.428	-2.492	-1.838	-1.138	-0.792	-0.048	-0.266	0.679	0.35	-0.013	1.103
"YDR087C"	-0.519	-2.034	-3.126	-4.331	-4.143	-1.477	-0.456	-1.747	-2.758	-3.643	-3.468	0.445	0.171	-0.262	-1.63	-2.287	-2.337	-1.028	-0.921	-0.535	-0.179	-4.139	-4.944	-2.758	-1.846	0.245	-2.528	-2.208	-1.204	-0.12	-1.886	-1.819	-1.373	-2.022	-0.167	0.139	0.019	-1.345	-1.154	0.7	0.587	1.031	0.23	0.332	0.862	0.372	-0.364	0.318	-4.13	0.337	-1.166	-1.095	-2.803	-3.928	-2.942	-2.55	-2.338	-2.16	-1.413	-3.396	-3.436	-2.083	-2.155	-0.262	-0.137	0.136	-0.198	0.063	0.214
"YDR101C"	-0.889	-3.098	-3.513	-3.593	-3.404	-1.887	-1.132	-1.88	-3.0	-3.74	-3.659	-0.255	-0.456	0.141	-1.787	-2.603	-2.204	-1.77	-1.32	-0.599	-0.418	-4.306	-4.667	-2.997	-2.448	0.162	-3.385	-2.743	-1.752	0.188	-2.52	-2.005	-1.96	-2.252	0.136	0.45	0.292	-1.45	-1.361	0.557	-0.002	0.485	0.144	0.936	1.26	0.052	-0.084	0.041	-3.253	0.715	-1.04	-0.703	-2.688	-3.244	-2.428	-3.315	-2.088	-2.116	-0.956	-3.048	-2.294	-1.739	-1.524	-0.124	-0.361	0.67	0.326	-0.061	0.233
"YDR120C"	-0.577	-2.644	-3.186	-2.704	-2.84	-1.943	-0.626	-1.485	-2.699	-2.817	-2.359	1.079	0.765	0.169	-1.527	-2.287	-2.025	-1.583	-1.298	-1.093	-0.408	-2.742	-3.115	-2.604	-1.864	0.429	-2.891	-1.781	-1.643	0.119	-2.023	-1.211	-1.239	-1.169	0.116	0.05	-0.273	-1.429	-1.261	0.732	0.523	0.189	0.364	0.805	0.794	0.208	-0.71	-0.11	-2.159	0.637	-1.01	-0.513	-3.238	-3.752	-2.621	-2.093	-1.254	-0.98	-1.152	-2.616	-1.963	-1.33	-0.196	0.037	-0.077	0.322	0.061	0.119	0.246
"YDR165W"	-0.868	-2.444	-3.154	-3.024	-2.85	-1.603	-0.594	-1.053	-2.419	-2.874	-2.762	0.856	0.295	0.245	-1.089	-2.006	-1.752	-1.294	-0.968	-0.495	-0.352	-4.096	-5.309	-2.69	-1.82	0.322	-3.015	-2.243	-1.636	0.127	-3.057	-1.816	-1.396	-1.582	0.071	0.386	0.356	-0.999	-0.929	0.558	0.413	0.562	0.353	1.027	1.379	0.758	0.137	-0.1615	-2.787	0.776	-0.1035	-0.208	-2.796	-3.068	-1.809	-3.533	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	-2.255	-0.179	-0.187	0.067	0.0	-0.111	-0.057
"YDR171W"	2.4	6.617	6.083	5.884	5.56	3.369	3.422	3.287	5.126	6.153	6.24	-0.924	-0.812	-0.352	4.502	4.969	3.606	3.622	3.143	2.842	2.246	5.287	2.383	2.742	4.634	-0.585	5.134	4.94	4.375	0.664	2.893	2.504	2.852	3.724	1.788	0.178	0.277	2.854	2.434	-0.117	0.743	-0.497	-0.962	-2.487	-1.947	-0.918	0.0085	0.844	5.398	-0.898	1.677	1.2085	5.862	5.035	3.784	4.403	4.747	4.074	4.252	4.639	4.566	3.476	4.385	0.143	0.597	1.379	0.389	0.818	-0.05
"YDR206W"	-0.409	-1.221	-1.208	-1.157	-1.23	-0.647	-0.271	0.387	-0.766	-0.759	-0.716	-1.209	-0.541	0.076	-0.924	-0.931	-0.836	-0.636	-0.595	-0.532	-0.102	-0.488	-2.411	-0.314	-0.493	0.072	-0.755	-0.431	-0.106	-0.007	1.0	0.221	0.309	1.074	0.153	-0.098	-0.141	0.055	0.136	-0.021	-0.158	0.171	0.354	0.269	0.231	0.199	0.0325	-0.1625	-0.914	0.089	-0.675	-0.775	-1.0635	-1.534	-0.945	-1.581	-0.059	-1.1935	-0.7065	-1.295	-0.652	-0.3745	-0.709	-0.555	-0.3385	-0.1545	-0.1305	-0.487	-1.06
"YDR272W"	0.8465	1.4355	1.398	1.8245	1.726	0.7595	0.953	1.245	1.169	1.5475	1.5175	-0.202	-0.269	-0.0245	0.8835	1.201	1.139	1.15	0.984	0.699	0.368	2.977	0.476	0.836	1.229	0.1675	1.303	1.3	0.972	-0.0195	1.8585	1.706	1.6595	1.796	-0.008	0.0535	0.2215	0.87	1.1455	0.3475	0.438	0.14	0.1605	-0.019	0.189	0.167	-0.099	0.2015	1.611	-0.027	0.577	0.157	1.366	1.6255	1.1975	1.1665	2.7975	2.781	2.309	2.887	2.5605	2.5915	2.444	0.396	0.1515	0.1	-0.096	0.8135	-0.0755
"YDR276C"	0.031	1.313	1.29	0.963	0.69	0.075	-0.229	1.252	0.976	1.129	1.258	0.682	0.223	0.428	0.82	1.095	1.0	0.774	0.655	0.667	-0.146	1.654	0.958	0.815	1.0	0.014	1.061	1.391	0.915	-0.057	1.599	0.839	0.933	1.526	0.042	-0.185	0.003	0.644	0.838	0.136	0.062	0.398	-0.076	0.502	0.533	0.195	-0.028	-0.027	0.7	0.789	-0.354	0.205	2.48	3.145	1.909	3.0	1.766	1.723	2.048	2.086	2.628	1.805	1.506	1.29	1.243	-0.077	-0.219	0.072	1.14
"YDR361C"	-0.809	-2.014	-2.862	-3.79	-3.438	-1.872	-0.904	-1.896	-3.115	-3.356	-3.263	-0.145	0.791	-0.08	-1.141	-2.149	-2.256	-1.868	-1.139	-0.622	-0.384	-3.61	-3.634	-2.237	-1.254	0.403	-2.072	-1.799	-1.299	-0.081	-2.343	-1.435	-1.087	-1.208	-0.087	0.24	0.308	-1.544	-1.224	0.704	0.602	0.817	0.457	0.743	0.786	0.767	-0.289	0.038	-3.92	0.662	-0.309	0.615	NaN	-2.614	-2.362	-3.229	-2.708	-2.048	-1.74	-3.998	-2.423	-1.849	-1.244	-0.204	-0.297	0.291	-0.091	0.174	0.525
"YDR364C"	-0.17	-0.743	-0.544	-0.341	-0.373	-0.944	0.136	-0.011	-0.441	-0.434	-0.431	-0.119	-0.312	0.305	-0.336	-0.394	-0.154	-0.168	-0.121	-0.041	0.093	0.458	-1.503	-0.068	-0.957	0.104	-0.318	-0.223	0.047	-0.177	-0.122	0.014	0.297	0.464	-0.086	-0.05	0.147	-0.047	0.305	0.433	0.324	0.389	0.15	0.222	0.478	0.169	0.109	-0.348	-0.83	0.387	-0.26	-0.232	-1.18	-1.132	-1.202	-0.995	-0.399	0.005	0.573	-0.105	0.171	0.314	-0.093	-0.168	-0.11	0.063	-0.652	-0.249	-0.606
"YDR398W"	-1.837	-4.395	-5.035	-4.725	-4.358	NaN	-1.145	-1.272	-3.115	-4.082	-3.388	-0.449	-0.595	0.057	-2.086	-2.576	-1.783	-1.42	-0.783	-0.225	-0.275	-4.143	NaN	-2.012	-2.064	-0.353	-3.069	-2.517	-1.62	0.05	-2.112	-1.881	-1.798	-1.896	0.252	0.071	-0.028	-0.982	-0.528	0.491	0.207	0.307	0.596	0.727	0.877	-0.049	-0.336	0.055	-4.269	0.48	-1.166	-0.516	-3.627	-4.76	-2.67	-1.871	-1.745	-2.397	0.247	-3.061	-1.999	-1.457	-0.955	-0.52	-0.487	-0.232	-0.321	-0.569	-0.444
"YDR413C"	-0.992	-2.352	-2.496	-2.582	-2.392	-1.602	-0.832	-1.529	-1.803	-2.779	-2.502	0.218	0.103	-0.27	-1.066	-1.765	-1.55	-1.258	-0.903	-0.608	-0.375	-2.622	-2.057	-1.357	-1.696	0.167	-1.399	-1.215	-1.12	-0.135	-2.337	-1.725	-1.311	-1.594	-0.168	0.077	0.149	-1.113	-0.749	0.626	0.37	0.214	0.139	-0.274	0.524	0.116	-0.371	-0.014	-2.652	-0.074	-1.314	-0.841	-2.225	-2.964	-1.766	-1.818	-1.835	-1.046	-0.642	-2.336	-1.502	-1.256	-1.422	0.18	0.145	-0.022	-0.036	-0.102	0.143
"YDR513W"	1.327	2.457	2.412	2.018	1.899	1.699	0.411	1.858	2.432	2.488	2.811	0.056	0.518	0.241	2.659	2.714	2.567	2.457	1.923	1.338	0.639	3.15	-2.242	1.924	1.8	0.154	1.929	1.179	0.8	0.319	2.506	1.279	1.72	1.858	0.209	0.137	0.203	1.354	1.192	0.171	-0.126	0.165	-0.316	-0.397	-0.526	0.811	-0.006	NaN	2.825	-0.799	0.856	1.345	2.944	3.768	3.163	3.445	3.389	3.006	3.204	3.813	2.69	2.134	1.971	0.071	0.511	-0.614	-0.084	0.378	0.48
"YER127W"	-0.447	-2.534	-2.809	-2.346	-2.38	-1.464	-0.217	-0.933	-1.952	-3.051	-2.807	1.123	0.413	0.205	-1.506	-1.778	-1.278	-1.104	-0.7	-0.59	-0.211	-3.292	-4.439	-2.177	-2.422	0.065	-2.835	-2.486	-1.435	-0.123	-1.589	1.466	-1.363	-1.279	0.014	-0.115	-0.434	-0.715	-0.306	0.541	0.37	0.6	0.248	0.803	0.972	0.085	-0.1235	-0.0175	-3.328	1.112	-1.1995	-1.125	-5.069	-4.459	-2.508	-1.991	-2.692	-2.59	-1.44	-3.601	-3.002	-2.038	-2.575	-0.21	-0.232	0.338	0.014	0.058	0.344
"YFL018C"	-0.062	0.629	1.117	1.124	1.106	0.263	0.781	0.956	0.535	1.159	1.401	0.0	NaN	NaN	NaN	NaN	NaN	-1.005	NaN	NaN	NaN	1.647	-3.047	0.626	0.635	NaN	0.86	1.147	0.174	0.199	1.967	2.219	1.078	0.937	-0.183	0.103	0.142	0.733	0.999	0.499	0.274	0.4	0.217	0.109	0.183	-0.046	0.07	-0.211	0.902	0.974	0.4835	-0.0235	0.396	0.473	0.625	0.916	0.472	1.243	1.076	1.219	1.572	1.897	0.827	0.106	0.146	-0.259	-0.312	-0.017	0.451
"YFL044C"	1.173	0.952	1.565	1.399	1.725	1.349	1.177	0.928	1.59	2.099	1.443	-0.663	-0.648	0.206	0.477	1.025	1.183	0.951	1.244	1.434	0.862	1.734	-0.98	0.748	0.464	-0.726	0.584	1.074	1.084	0.055	1.328	1.227	1.111	0.922	0.344	-0.325	-0.848	0.652	0.537	-0.325	0.218	-0.36	-0.147	0.248	0.037	-0.064	0.072	0.218	1.819	0.21	-0.162	0.2345	0.495	1.582	1.807	1.059	1.939	1.235	1.053	1.629	0.891	0.959	2.223	0.728	0.363	0.263	0.04	0.316	0.604
"YFR044C"	0.47	0.934	0.937	0.569	0.427	0.472	0.369	0.631	0.328	0.64	0.588	-0.126	0.448	0.119	0.535	0.574	0.814	0.847	0.847	0.684	0.378	0.309	-5.917	-0.133	-0.162	0.108	-0.044	-0.269	-1.039	0.388	1.368	0.355	-0.706	-0.82	0.039	0.515	0.634	0.486	0.065	-0.129	0.162	0.506	0.146	0.167	0.564	0.304	-0.291	0.312	0.79	0.518	-0.2575	-0.689	0.84	1.525	0.649	0.651	0.667	-0.347	-0.492	1.736	0.409	0.272	0.014	0.78	0.516	-0.185	-0.613	-0.574	0.055
"YGL037C"	1.733	4.841	4.922	5.031	4.738	3.213	2.04	3.649	4.635	4.777	4.892	-0.641	-0.218	-0.03	3.167	3.634	3.327	3.128	2.237	1.935	0.912	4.226	-1.344	2.41	2.521	0.114	2.045	1.464	0.739	0.977	2.654	2.747	3.457	3.59	0.85	0.255	0.414	3.456	2.686	-0.073	0.221	-0.808	-0.68	-1.569	-1.591	-0.485	0.014	-1.66	4.782	-0.963	1.926	1.4855	5.215	5.736	4.948	4.25	3.734	3.731	3.099	4.634	3.141	3.145	3.313	0.251	0.174	0.224	0.438	1.743	0.654
"YGL062W"	0.009	1.4605	2.8935	1.461	3.078	2.4865	1.1715	2.227	2.461	0.855	0.399	0.0885	-0.0945	0.1875	0.099	0.6085	1.019	1.156	0.696	0.5045	0.322	0.315	0.4655	2.371	0.83	-0.2695	1.5475	2.091	1.158	0.1895	1.5605	1.271	1.0195	1.124	0.2425	0.1	0.313	2.779	2.6625	-0.048	-0.0155	-0.545	-0.815	-1.3045	-0.732	-0.604	0.199	-0.099	0.8245	0.0485	1.05466666666667	0.498666666666667	1.703	2.872	3.013	2.4685	1.0775	2.5255	1.042	-0.4955	2.885	2.3085	1.929	0.2735	0.023	-0.1845	-0.5535	0.3085	0.134
