	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12741.Nitrogen Depletion 1 h"	"17676.Na+FK 45min (4)"	"33774.DBY8778(wt)_stationary_phase_7hours"
"YGR094W"	-1.306	-2.002	-1.11	-1.322	-1.959	-2.156	-0.953	-0.937	-0.819	-1.28	-3.268	-2.215	-1.925	-2.093	-1.689	-4.521	NaN	-2.033	-3.175	-2.442	-2.85	-4.254	-4.392	-5.518	-0.483	-0.268	0.021	-0.302	-1.197	-0.307	-2.133	-2.594	-2.478	-2.327	-2.93	-0.726	-1.27	-1.562
"YGR185C"	-0.8605	-0.852	-0.835	-0.6275	-0.4115	-0.9665	-0.665	-0.5725	-0.608	-0.439	-3.192	-1.697	-1.31	-2.13	-2.168	-5.306	-6.361	-2.6	-2.754	-2.531	-2.944	-4.576	-4.871	-5.006	-0.37	-0.175	-0.072	0.056	-0.9955	-0.08	-2.438	-2.21	-2.316	-2.459	-2.363	-0.192	-1.044	-3.17
"YGR229C"	-1.1405	-0.791	0.195	-0.334	-0.5475	-0.9675	-0.267	-0.276	-0.207	0.116	-0.832	-0.57	-0.754	-1.164	-0.943	-2.847	-4.256	-1.987	-1.823	-1.569	-1.658	-2.401	-2.58	-3.391	0.28	0.025	0.286	0.314	-0.5415	0.584	-1.347	-1.255	-1.085	-1.061	-1.016	0.377	-0.918	-0.391
"YGR264C"	-1.599	-2.2015	-1.142	-1.728	-2.2555	-2.419	-1.489	-1.065	-0.823	-1.067	-3.787	-2.696	-3.156	-2.945	-3.206	-5.206	-4.616	-2.811	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	-0.719	-0.863	-0.77	-0.467	-1.1595	-0.687	-2.468	-2.246	-2.287	-2.376	-2.353	-1.144	-1.721	-3.556
"YGR265W"	-1.6145	-1.905	-1.0215	-1.8925	-2.17	-2.296	-1.25	-0.8935	-0.513	-1.061	-1.633	-2.361	-1.777	-2.017	-2.576	-2.202	-3.223	-1.703	-2.827	-2.395	-2.652	-2.824	-2.827	-2.343	-0.429	-0.63	-0.481	-0.604	-1.042	-0.49	-0.76	-1.65	-1.979	-2.026	-1.8	-0.989	0.586	-2.262
"YGR285C"	-1.162	-1.2065	-1.1715	-1.0655	-1.012	-1.4285	-1.082	-1.495	-1.078	-0.775	-3.959	-2.444	-1.794	-1.645	-1.67	-4.078	-6.1	-1.877	-3.556	-2.557	-2.811	-3.452	-4.07	-4.065	-0.812	-0.283	-0.178	0.071	-1.4295	-0.088	-2.068	-2.035	-2.466	-2.483	-3.514	-0.744	-1.816	-2.948
"YHR064C"	-0.676	-1.102	-0.715	-1.0925	-1.2935	-1.5555	-1.126	-1.62	-1.292	-0.994	-4.543	-2.196	-1.668	-1.77	-1.712	-3.329	-5.238	-2.559	-2.977	-1.754	-2.25	-2.957	-3.678	-3.675	-1.096	-0.309	-0.281	-0.169	-1.7365	-0.416	-2.056	-2.303	-1.252	-2.419	-2.332	-1.224	-1.825	-2.793
"YHR068W"	-0.981	-1.2965	-0.4015	-1.3575	-1.6155	-1.646	-1.125	-1.23	-0.728	-0.906	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	-2.526	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.78	-0.359	-0.382	-0.473	-1.4595	-0.672	-2.29	-2.522	-2.438	-2.761	-2.475	-0.795	-1.629	-2.437
"YHR216W"	-1.6175	-1.8525	-1.204	-1.571	-1.9425	-2.8755	-1.585	-1.653	-1.294	-1.664	-2.62	-2.056	-1.201	-1.128	-2.045	-3.15	-4.943	-3.038	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	-0.969	-0.38	-0.728	-0.355	-1.95	-0.692	-1.783	-3.09	-3.113	-3.341	-3.378	-1.656	-1.833	-2.109
"YIL078W"	-0.808	-1.524	-0.8605	-1.3535	-1.7065	-1.8365	-1.288	-1.347	-0.993	-1.543	-2.907	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-2.5	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	-0.87	-0.45	-0.212	-0.274	-1.422	-0.495	-2.348	-2.573	-2.57	-2.6	-2.341	-0.622	-1.579	-3.116
