	"40.alpha factor release sample029"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"585.21 deg growth"	"597.25 deg growth"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"906.w303a vs w303a hcm1"	"976.wt_plus_gamma_5_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1303.diauxic shift timecourse: 0 hr"	"2559.29C to 33C - 5 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"13067.Na/Na+FK 45min (1)"	"13493.Y10 mRNP vs. Poly"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YDL152W"	0.357	-1.59	-3.304	-2.545	-2.782	-2.848	-3.132	-2.053	0.709	0.798	-1.296	-1.734	-1.978	-1.821	-0.904	-0.757	0.313	-0.896	-2.301	-1.419	-1.394	-1.227	-0.025	-0.267	-1.513	-0.966	-0.026	-1.039	-0.31	-0.2865	-1.512	-0.697	-0.372	-1.397	-2.319	-1.539	-0.699	-1.558	-1.733	-0.722	-1.138	-0.752	0.07	-3.422	-0.534	0.063	-0.211	-1.552	-1.34	0.312	-1.277	-2.041	0.156	-1.316	-0.98	-1.145	-2.504	-4.602	-2.931	-1.962	-1.747	-3.56	-3.129	-3.722	-1.079
"YDL153C"	0.191	-2.245	-4.549	-4.406	-4.333	-3.047	-4.369	-3.668	0.872	0.944	-1.37	-2.034	-2.992	-3.698	-1.68	-1.855	0.277	-1.222	-2.633	-1.834	-1.682	-1.728	0.237	-0.026	-1.591	-0.983	0.491	-1.32	-0.504	-0.3345	-1.894	-0.872	-0.619	-1.669	-2.642	-2.132	-1.029	-2.125	-2.373	-0.971	-1.829	-0.705	0.164	-4.079	0.107	-0.35	-0.63	-2.489	-2.546	0.304	-2.448	-1.112	0.0	-0.532	-0.703	-0.146	-1.446	-2.5	-2.189	-1.476	-1.595	-1.85	-1.551	-5.47	-0.62
"YDR001C"	-0.203	3.246	3.722	3.661	3.273	3.0	3.255	3.511	-0.575	-0.462	1.113	1.664	1.935	3.121	1.561	2.293	-0.17	1.39	1.116	1.298	1.973	1.239	0.087	0.482	1.319	1.102	0.233	1.856	-0.256	0.154	2.826	1.554	0.194	1.431	1.674	2.013	1.254	1.607	1.921	0.551	1.078	0.76	0.01	3.574	0.271	-0.161	-0.087	1.792	1.597	0.507	2.673	4.175	-0.76	0.626	0.243	0.657	2.468	3.999	3.377	1.809	2.53	3.286	2.005	3.563	1.016
"YDR087C"	0.601	-2.034	-3.126	-4.331	-4.143	-2.758	-3.643	-3.468	0.725	0.517	-1.344	-1.475	-2.287	-4.139	-2.337	-3.312	0.245	-1.891	-1.886	-1.819	-1.373	-2.022	0.061	-0.308	-1.992	-1.264	0.139	-1.484	-0.0425	-0.208	-0.865	-1.038	-0.539	-1.075	-1.68	-1.547	-0.851	-1.708	-2.134	-0.535	-0.868	-0.358	0.315	-4.13	0.011	0.047	0.644	-1.552	-1.728	-0.146	-2.326	-1.654	0.046	-0.583	-0.285	-0.929	-2.803	-3.928	-2.942	-1.399	-1.143	-2.55	-1.348	-3.396	-0.641
"YDR120C"	0.206	-2.644	-3.186	-2.704	-2.84	-2.699	-2.817	-2.359	0.176	0.342	-1.297	-2.258	-2.287	-2.742	-1.333	-1.472	0.429	-1.947	-2.023	-1.211	-1.239	-1.169	0.134	0.173	-1.649	-0.914	0.05	-1.517	-0.2455	-0.35	-1.344	-1.147	-0.531	-1.629	-2.465	-1.515	-1.066	-1.415	-1.734	-0.433	-1.377	-0.104	-0.053	-2.159	-0.126	-0.058	NaN	-2.635	-3.092	-0.01	-2.098	-1.866	0.35	-0.554	-0.965	-1.206	-3.238	-3.752	-2.621	-1.347	-2.044	-2.093	-1.495	-2.616	-1.125
"YDR171W"	-0.23	6.617	6.083	5.884	5.56	5.126	6.153	6.24	-0.577	-0.97	2.045	2.489	4.969	5.287	4.359	4.392	-0.585	0.676	2.893	2.504	2.852	3.724	0.068	0.826	0.581	0.592	0.178	3.835	0.689	1.534	4.979	3.883	0.401	4.183	4.385	4.392	4.176	4.034	4.162	0.703	1.778	0.578	-0.594	5.398	0.703	0.6615	0.193	4.059	4.1315	0.2165	4.2405	3.991	-1.8205	1.8065	0.9365	1.24	5.862	5.035	3.784	2.318	4.239	4.403	3.061	4.639	2.243
"YDR184C"	0.011	-2.325	-3.745	-2.039	-3.004	-2.64	-3.408	-2.671	0.821	0.652	-1.074	-1.352	-2.056	-3.504	-2.067	-1.491	0.572	-1.762	-3.243	-1.65	-1.259	-1.431	0.107	-0.221	-1.527	-0.998	0.033	-1.322	0.207	-0.194	-1.546	-0.905	-0.27	-1.536	-1.882	-1.428	-1.136	-2.075	-2.168	0.452	-1.159	0.007	0.102	-3.644	0.04	-0.058	0.807	-2.3745	-2.677	-0.124	-1.369	-1.4265	0.6135	-0.4315	-0.3905	-0.467	-4.266	-3.588	-2.225	-0.801	-2.999	-2.068	-0.715	-3.208	-0.671
"YDR297W"	0.108	0.055	-0.654	-1.364	-1.683	-1.068	-0.773	-0.714	-0.449	-0.577	-1.131	-1.167	-1.302	-0.548	-0.679	-0.408	-0.163	0.889	-0.151	0.153	0.374	0.587	0.715	-0.16	0.074	-0.081	0.046	-0.302	-0.483	-1.04	-0.639	-0.491	-0.443	-0.813	-1.38	-1.452	-0.695	-1.05	-1.413	-0.184	-0.816	-0.144	-0.496	-1.014	0.465	0.216	0.373	-2.112	-2.096	-0.059	-1.522	-3.113	-1.22	-0.253	0.333	-0.489	-0.067	-1.04	-0.785	0.849	0.721	0.129	-0.248	-0.141	0.055
"YDR299W"	0.163	-2.03	NaN	-3.162	-5.126	-3.609	-4.521	-3.496	0.494	0.436	-0.922	-1.974	-2.959	NaN	NaN	NaN	0.075	-1.498	-3.272	-1.713	-1.248	-1.738	-0.013	-0.268	-1.076	-1.294	0.065	-1.716	-0.287	-0.548	-1.966	-1.497	-0.372	-1.773	-2.876	-2.118	-1.374	-2.405	-2.732	NaN	2.0	NaN	0.406	-4.453	-0.114	-0.39	0.796	-2.624	-2.625	0.304	-2.276	-3.266	-0.14	-0.084	-0.291	-0.741	-3.149	-2.672	-0.984	-0.915	-1.592	-1.696	-0.756	-3.212	-0.576
"YDR312W"	-0.129	-3.406	-3.237	-2.732	-2.335	-2.086	-2.512	-2.345	0.612	0.77	-0.775	-1.559	-2.137	-2.564	-1.312	-1.364	0.104	-1.059	-2.515	-1.444	-1.492	-1.373	-0.002	-0.068	-0.901	-0.924	0.069	-1.233	-0.223	-0.266	-1.7	-1.011	-0.426	-1.445	-2.148	-1.425	-0.951	-1.776	-2.069	-0.19	-0.466	-0.373	0.69	-3.04	-0.427	-0.779	-1.127	-2.071	-1.704	-0.084	-1.823	-2.999	0.241	-0.274	-0.522	0.182	-2.055	-2.314	-0.925	-0.884	-0.576	-1.418	-0.837	-2.572	-0.064
"YDR361C"	-0.194	-2.014	-2.862	-3.79	-3.438	-3.115	-3.356	-3.263	0.393	0.297	-1.023	-1.402	-2.149	-3.61	-1.951	-2.095	0.403	-1.782	-2.343	-1.435	-1.087	-1.208	0.0655	-0.101	-1.957	-0.766	0.24	-1.135	-0.138	-0.132	-1.049	-0.669	-0.522	-1.071	-1.767	-1.519	-0.855	-1.74	-1.823	-0.507	-1.541	-0.247	0.312	-3.92	0.395	0.368	0.569	-1.126	-1.352	-0.597	-1.086	-1.673	0.17	-0.274	0.014	-0.533	NaN	-2.614	-2.362	-1.056	-1.579	-3.229	-2.131	-3.998	-0.588
"YDR398W"	-0.158	-4.395	-5.035	-4.725	-4.358	-3.115	-4.082	-3.388	0.554	0.378	-1.152	-2.038	-2.576	-4.143	-2.114	-1.937	-0.353	-1.384	-2.112	-1.881	-1.798	-1.896	0.266	-0.332	-1.421	-0.935	0.071	-1.791	-0.401	-0.39	-1.798	-1.501	-0.468	-1.142	-2.147	-1.57	-0.887	-1.277	-2.006	-0.461	-1.234	-0.036	-0.872	-4.269	-0.418	-1.316	0.487	-1.666	-1.829	0.409	-2.002	NaN	0.447	-0.35	-1.163	-0.918	-3.627	-4.76	-2.67	-1.184	1.164	-1.871	-0.556	-3.061	-1.336
"YDR412W"	-0.091	-2.971	-2.735	-2.222	-2.09	-1.984	-2.552	-2.649	0.733	0.801	-0.924	-1.422	-1.5	-2.38	-1.391	-1.15	0.3	-0.795	-2.732	-1.576	-1.601	-1.419	0.225	0.111	-1.226	-0.656	0.105	-1.022	-0.018	-0.138	-0.638	-0.728	-0.712	-0.562	-1.139	-0.694	-0.205	-0.762	-1.264	-0.38	-1.275	-0.517	0.255	-2.914	0.033	0.063	-1.742	-1.488	-1.242	-0.314	-1.107	-1.237	0.23	-0.5	-0.76	-0.576	-2.903	-2.5	-2.181	-0.9	-1.957	-1.995	-1.165	-2.305	-0.369
"YDR413C"	0.183	-2.352	-2.496	-2.582	-2.392	-1.803	-2.779	-2.502	0.583	0.593	-0.889	-1.295	-1.765	-2.622	-1.802	-1.58	0.167	-0.958	-2.337	-1.725	-1.311	-1.594	0.15	0.199	-1.343	-0.776	0.077	-1.02	-0.097	-0.416	-0.755	-0.821	-0.619	-0.736	-1.14	-0.978	-0.414	-1.054	-1.243	-0.372	-1.316	-0.235	-0.081	-2.652	0.239	-0.067	-0.085	-1.38	-1.607	-0.331	-1.454	-1.885	0.133	-0.316	-0.381	0.601	-2.225	-2.964	-1.766	-0.868	-2.466	-1.818	-1.126	-2.336	-0.561
"YDR491C"	0.045	-1.528	-2.673	-2.282	-3.498	-1.706	-2.444	-2.248	0.07	0.006	-0.54	-1.091	-2.386	-1.127	-0.799	-0.066	-0.322	1.066	-0.858	-0.147	0.081	0.003	0.064	-0.017	0.437	-0.401	0.12	-2.214	0.431	-1.085	-1.873	-1.575	-0.053	-1.714	-2.023	-2.118	-1.844	-1.922	-2.271	-0.133	0.138	-0.316	-0.268	-2.665	-0.05	-0.766	-0.392	-1.548	-1.566	-0.174	-1.971	-3.491	-0.818	-0.176	0.371	0.064	-1.492	-2.336	-1.363	-0.844	-1.543	-0.986	-0.468	-1.021	-0.08
"YDR492W"	-0.134	-2.16	-2.792	-2.796	-2.895	-2.409	-2.677	-2.102	0.278	0.305	-0.822	-0.931	-2.901	-1.91	-0.297	-0.069	-0.225	1.385	-0.244	0.041	0.004	0.083	0.268	0.099	0.586	-0.321	0.197	-1.943	0.614	-0.594	-2.079	-1.727	-0.531	-1.629	-1.983	-2.093	-1.388	-1.733	-2.179	-0.263	0.135	0.48	-0.838	-3.429	0.14	0.123	0.075	-2.499	-2.287	-0.338	-2.908	-1.444	-0.655	0.163	0.136	0.198	-1.794	-1.412	-1.121	-0.617	-0.21	-0.545	-0.479	-0.938	0.215
"YER067W"	-0.324	4.551	5.719	5.663	5.641	4.993	5.958	6.295	-0.294	-0.686	2.979	3.262	3.726	6.406	5.077	3.816	0.037	2.016	4.292	3.451	3.489	3.258	-0.013	0.51	0.305	2.142	0.004	2.999	1.176	1.569	4.274	3.08	0.587	3.21	3.607	3.162	3.09	3.762	3.867	-0.054	1.064	0.587	-0.489	6.706	0.881	1.579	-0.27	2.018	1.861	0.257	3.181	3.351	-0.701	0.51	1.374	0.954	4.457	3.976	2.923	1.54	2.337	2.491	0.906	6.041	-0.134
"YFL016C"	-0.01	3.485	3.054	2.493	2.768	2.256	2.798	3.078	0.072	-0.041	0.187	0.229	2.16	1.102	0.768	1.17	0.225	-0.073	1.289	0.429	0.972	1.59	0.005	-0.245	0.0	0.402	0.046	1.78	0.03	1.073	1.644	1.596	0.292	1.776	1.671	1.342	1.75	1.581	1.288	0.589	0.879	0.313	-0.158	1.916	-0.4225	0.144	1.304	0.2955	0.305	0.294	0.59	-0.685	-0.2945	0.2535	0.0045	-0.0755	2.651	3.337	2.413	1.517	1.757	2.327	0.659	1.733	0.613
"YFR015C"	0.271	3.415	4.215	3.626	3.32	2.259	2.826	2.931	-0.358	-0.655	1.022	1.366	3.079	3.886	3.694	2.03	0.0	1.774	1.965	2.498	2.853	1.102	0.222	0.419	2.399	1.348	-0.595	NaN	0.759	0.78	2.831	2.63	0.789	2.185	2.024	0.867	2.067	1.997	2.124	-0.291	1.229	-0.373	-0.381	3.341	0.316	0.126	-0.282	0.818	0.928	0.1035	1.7085	0.81	-0.2905	0.2955	0.233	-0.3525	4.532	3.272	1.637	0.445	2.654	2.229	0.084	5.6	-0.73
"YGL055W"	-0.674	-1.948	-2.504	-2.789	-2.779	-2.446	-2.905	-1.633	-0.321	0.454	-0.095	-0.323	-3.574	-2.39	0.705	0.778	0.095	1.554	0.734	2.083	1.891	1.493	0.698	0.003	0.758	-0.053	0.39	-0.568	0.404	-0.064	-2.244	-1.096	-0.287	-2.002	-2.205	-2.67	-1.605	-1.774	-2.273	0.873	1.015	1.167	-0.3	-2.516	0.016	-0.459	0.279	-1.76	-1.572	-0.247	-2.039	-1.945	-0.5175	0.2105	-0.466	-0.552	-2.384	-2.832	-3.058	-1.457	-0.917	-2.378	-1.969	-1.5	0.312
"YGL111W"	-0.256	-1.886	-2.705	-2.012	-2.506	-2.165	-2.854	-2.867	0.267	0.192	-0.728	-1.202	-1.882	-3.668	-1.719	-2.081	0.068	-1.242	-2.617	-1.672	-1.665	-1.401	0.18	-0.07	-1.587	-0.939	0.416	-1.071	-0.17	-0.188	-1.234	-0.608	-0.442	-1.235	-1.614	-1.309	-0.941	-1.429	-1.56	-0.471	-1.04	-0.357	0.049	-2.724	0.498	0.131	0.317	-1.595	-1.182	-0.225	-0.936	-1.54	0.6015	0.0465	-0.1465	-0.14	-2.854	-3.188	-2.001	-1.053	-0.871	-2.456	-0.795	-3.063	-0.295
"YGL171W"	0.043	-3.422	-4.302	3.479	-4.243	-2.091	-3.818	-3.208	0.32	0.063	-1.77	-2.421	-3.432	-5.822	-2.078	-1.839	0.287	-2.126	-3.704	-1.8	-1.731	-1.978	0.044	-0.183	-1.88	-1.245	0.195	-1.846	-0.204	-0.422	-2.1	-1.418	-0.401	-2.007	-3.247	-2.573	-1.828	-2.897	-2.938	-0.503	-1.607	-0.538	-0.496	-3.658	-0.13	-0.754	NaN	-3.155	-2.678	-0.182	-2.812	-3.129	0.347	-0.175	-0.0215	-0.7395	-3.124	-3.355	-2.839	-1.317	-2.055	-2.722	-2.171	-3.848	-0.993
"YGL181W"	-0.033	1.168	0.955	1.077	0.649	0.837	0.781	0.548	0.402	0.161	0.014	0.032	1.071	0.037	0.417	0.364	-0.663	0.503	0.451	0.298	0.372	0.262	0.035	-0.004	-0.01	0.42	-0.617	0.353	-0.073	0.152	0.622	0.939	0.273	0.946	1.526	1.521	0.48	0.92	1.34	-0.529	0.26	-0.22	0.105	0.509	0.111	0.102	0.207	1.507	1.411	-0.035	1.651	1.965	-0.025	0.1035	-0.1305	0.025	1.553	1.286	0.871	0.54	0.272	0.918	-0.099	1.912	-0.356
"YGR079W"	-0.091	-3.894	-2.785	-4.644	-3.48	-2.556	-3.142	-2.355	0.122	-0.017	-0.767	-2.132	-1.334	-3.414	-1.325	-1.655	-0.869	-0.729	-0.503	-0.787	-0.398	-0.338	0.193	0.017	-0.971	-0.343	0.131	-1.461	0.096	-0.527	-2.203	-1.173	-0.377	-1.89	-2.09	-1.583	-1.187	-1.73	-1.993	0.269	-0.598	0.437	0.115	-3.774	-0.161	-0.099	-0.238	-0.529	-0.874	-0.132	-1.401	-1.745	0.307	0.514	-0.021	1.0945	-3.859	-3.401	-2.499	-1.484	-2.797	-1.94	-1.17	-2.99	0.263
