	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2064.Hypo-osmotic shock - 5 min"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"30463.Pomona/Brown pol2-12 red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YDL050C"	-1.678	-1.311	-0.721	-0.169	-0.611	-1.589	-2.937	-1.885	-1.637	-2.056	-1.022	-1.727	-0.096	0.234	0.371	0.934	0.727	0.123	0.284	0.334	0.498	0.273	0.45	0.409	1.131	-2.652	-1.983	-3.019	-2.086	-1.23	-0.968	-0.233	-0.124	-0.361	0.325
"YDL061C"	-3.45	-2.443	-2.345	-2.173	-2.665	-3.265	-4.279	-2.985	-2.81	-3.44	-1.095	-0.613	-1.256	0.224	0.306	0.595	0.672	-0.01	-0.08	0.242	0.271	0.376	0.951	0.503	0.168	-2.373	-2.153	-2.791	-2.682	-1.35	-1.842	-0.472	-0.479	-1.448	-1.191
"YDL219W"	-1.943	-1.18	-1.374	-1.684	-1.34	-3.152	-2.848	-1.832	-1.416	-1.531	-1.026	-2.015	-0.521	-0.108	-0.084	0.167	0.082	-0.106	-0.052	0.053	-0.01	-0.356	NaN	-0.758	-0.974	-1.798	-1.74	-1.718	-1.599	-1.432	-0.598	0.612	-0.166	-0.034	0.109
"YDR025W"	-3.904	-3.548	-2.573	-2.592	-2.705	-3.393	-6.697	-3.357	-3.356	-4.504	-2.503	-2.895	-3.518	0.446	0.188	0.418	0.657	-0.035	0.038	0.2095	0.205	0.238	0.249	-0.273	-0.739	-4.772	-3.127	-3.906	-3.552	-2.869	-2.535	-2.089	-1.009	-1.02	-0.813
"YDR037W"	-4.313	-3.427	-3.146	-3.858	-3.458	-4.551	-5.224	-3.226	-2.505	-1.971	-2.916	-3.368	-3.772	0.096	0.286	0.512	0.46	-0.13	-0.292	0.064	0.055	0.567	-1.569	-1.751	-1.379	-4.284	-3.366	-4.204	-3.541	-2.204	-3.047	-0.267	-1.901	-1.427	-1.117
"YDR064W"	-3.874	-3.241	-2.577	-2.639	-2.597	-3.761	-5.03	-3.208	-3.138	-3.65	-2.527	-2.531	-3.199	0.282	0.124	0.329	0.396	-0.36	0.157	0.142	0.0105	-0.3315	-0.164	-0.353	-1.721	-2.292	-2.803	-2.891	-2.804	-2.287	-2.842	-1.38	-1.267	-1.316	-0.802
"YDR087C"	-4.139	-2.976	-1.909	-2.277	-3.312	-3.817	-4.944	-2.528	-2.208	-1.886	-1.73	-3.407	-2.893	-0.167	-0.279	0.158	-0.109	0.311	0.146	0.413	0.915	-0.954	-0.886	-1.258	-0.929	-2.338	-2.16	-3.396	-3.436	-2.083	-2.155	-0.813	-1.188	-0.986	-0.787
"YDR165W"	-4.096	-2.538	-2.247	-1.905	-2.27	-3.111	-5.309	-3.015	-2.243	-3.057	-1.767	-2.409	-2.23	0.071	-0.18	0.252	0.004	-0.044	-0.044	0.1675	0.225	-0.5455	-1.091	-1.404	-1.252	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255	-1.067	-0.419	-0.837	-0.682
"YDR417C"	-3.705	-2.778	-2.407	-2.511	-3.327	-4.279	-5.062	-3.58	-3.209	-4.223	-2.861	-3.022	-3.606	0.106	0.206	0.383	0.373	0.078	0.41	0.423	0.292	-0.403	-1.24	-0.043	-0.093	-3.553	-2.61	-3.585	-3.332	-2.261	-2.404	-1.845	-1.198	-0.986	-1.109
"YDR447C"	-4.882	-3.934	-3.26	-2.507	-2.465	-3.659	-5.332	-3.574	-3.565	-4.249	-2.53	-2.625	-3.552	0.036	0.067	0.276	0.286	0.176	-0.004	0.5775	0.304	0.1595	-1.073	-0.515	NaN	-3.67	-2.356	-4.358	-3.418	-2.211	-3.223	-1.532	-1.031	-0.857	-0.928
"YDR496C"	-3.1645	-1.29	-2.027	-1.674	-2.018	-3.591	-4.393	-4.5275	-2.8145	-3.995	-2.6065	-3.579	-3.3065	0.099	-0.0075	0.4685	0.208	0.0765	-0.09	-0.0205	-0.2325	0.1055	-0.852	-0.576	-1.064	-1.074	-1.347	-1.917	-1.733	-1.551	-1.65	-0.752	-0.552	-0.718	-0.58
"YEL054C"	-3.654	-2.711	-1.871	-1.511	-2.981	-2.98	-7.056	-3.039	-3.52	-3.347	-2.504	-3.005	-3.554	0.238	0.664	0.894	0.945	0.091	0.065	0.227	0.33	0.3175	0.525	-0.076	-0.276	-4.422	-2.487	-3.815	-2.936	-2.194	-2.75	-1.627	-0.747	-0.873	-0.64
"YER055C"	-3.198	-2.991	-2.51	-2.576	-1.65	-2.242	-5.075	-0.301	-1.722	-0.64	-1.279	-2.06	-2.707	-0.066	0.327	0.218	0.094	0.041	0.298	-0.081	-0.061	0.314	-0.117	-0.547	-0.506	-2.631	-2.627	-2.981	-2.572	-2.387	-1.609	-0.772	-0.737	-0.787	-0.822
"YER117W"	-2.982	-2.613	-1.817	-2.008	-1.95	-2.832	-5.642	-3.05	-3.141	-3.768	-2.312	-2.562	-2.976	0.054	0.231	0.459	0.441	0.308	0.387	0.4475	0.465	0.058	-1.296	-0.787	-0.542	-3.319	-2.632	-3.238	-3.345	-2.147	-2.128	-1.467	-1.079	-1.07	-1.168
"YER127W"	-3.292	-2.064	-1.672	-1.949	-2.155	-2.611	-4.439	-2.835	-2.486	-1.589	-1.098	-2.485	-1.946	0.014	0.065	-0.302	-0.019	0.2	0.066	-0.118	-0.0035	-0.3205	-0.795	-1.458	-1.596	-2.692	-2.59	-3.601	-3.002	-2.038	-2.575	0.024	-1.395	-1.741	-1.059
"YFR005C"	-1.517	-1.008	-1.293	-1.451	-2.188	-2.379	-1.828	-0.861	-1.017	-0.889	-1.337	-1.895	-1.511	-0.094	-0.25	0.027	-0.003	0.151	-0.195	-0.163	0.077	-0.5315	-0.723	-0.219	-0.471	-0.994	-0.878	-0.558	-0.676	-0.432	-0.181	-0.849	-0.597	-0.94	-1.139
"YGL030W"	-3.613	-2.888	-1.861	-2.363	-2.008	-3.668	-5.484	-2.388	-2.751	-3.284	-1.668	-2.044	-3.011	0.193	0.083	0.321	0.348	-0.101	0.016	0.269	0.2045	-0.301	NaN	-0.75	-0.547	-3.939	-2.871	-3.575	-2.76	-2.198	-3.156	-1.387	-1.229	-0.705	-0.432
"YGL031C"	-3.366	-4.285	-2.9	-1.846	-3.104	-3.683	-5.763	-3.041	-2.881	-5.191	-2.92	-3.061	-3.473	0.053	0.159	0.343	0.476	0.114	-0.021	0.165	0.267	0.407	-0.629	-0.324	-1.027	-3.814	-2.458	-2.773	-2.852	-1.578	-1.636	-0.377	-0.125	-0.198	0.039
"YGL076C"	-3.969	-3.136	-2.564	-2.446	-2.401	-3.976	-5.667	-3.32	-2.996	-4.142	-2.836	-2.79	-3.782	0.155	0.36	0.661	0.609	-0.016	0.171	0.3355	0.3835	-0.434	-0.463	NaN	-0.402	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	-1.155	-1.101	-1.147	-1.023
"YGL102C"	-3.419	-2.825	-1.973	-2.112	-2.356	-2.658	-5.65	-3.301	-3.227	-3.32	-1.199	-1.938	-2.13	0.077	0.047	0.255	0.167	0.231	-0.044	0.414	0.519	-0.488	-1.832	-1.655	-1.025	-3.42	-2.202	-3.272	-2.955	-2.203	-3.411	-0.715	-0.265	-0.6	-0.892
"YGL120C"	-4.557	-3.087	-1.947	-2.077	-2.282	-4.088	-5.111	-3.171	-3.229	-3.459	-2.866	-3.888	-4.137	0.34	-0.002	0.295	0.099	0.0	0.081	0.22	0.251	-0.445	-1.497	-1.374	-1.166	-2.891	-3.416	-3.546	-0.554	-2.329	-3.124	-0.503	-1.106	-0.371	-0.883
"YGL123W"	-3.781	-3.757	-3.265	-2.802	-3.62	-4.004	-5.982	-4.112	-3.654	-3.511	-2.388	-2.65	-3.558	0.062	0.164	0.386	0.464	0.027	-0.229	0.421	0.408	-0.012	-1.688	-1.214	-1.208	-4.217	-3.27	-4.123	-3.488	-2.693	-2.743	-2.289	-1.327	-1.508	-1.217
"YGL135W"	-3.221	-2.573	-2.548	-2.301	-2.942	-3.418	-5.687	-3.217	-3.23	-3.581	-2.267	-2.874	-3.825	0.183	-0.033	0.277	0.482	-0.045	0.125	0.551	0.488	0.389	-1.623	-0.767	-1.559	-3.443	-2.903	-3.617	-3.009	-1.968	-2.509	-1.9	-1.225	-2.015	-1.759
"YGR027C"	-3.433	-2.572	-1.632	-1.57	-1.697	-2.797	-5.39	-3.005	-2.616	-4.002	-1.187	-1.867	-2.368	0.001	0.196	0.467	0.315	0.238	0.184	0.235	0.274	0.475	0.546	0.329	1.519	-2.956	-3.132	-3.188	-2.624	-2.011	-2.186	-0.522	0.393	0.46	0.047
"YGR034W"	-3.922	-3.172	-2.637	-2.107	-2.998	-3.052	-6.281	-3.268	-2.935	-3.635	-1.301	-1.401	-2.48	-0.087	0.014	0.14	0.207	0.049	0.09	0.27	0.116	-0.441	-0.947	-0.455	-0.585	-2.986	-3.003	-4.347	-3.643	-2.741	-2.179	-0.548	-1.365	-0.895	-1.0
"YGR085C"	-3.713	-3.301	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-4.359	-3.306	-3.54	-4.179	0.255	0.235	0.407	0.491	0.278	0.084	0.237	0.236	0.269	-0.859	-0.566	0.511	-4.004	-2.792	-3.45	-3.003	-2.048	-1.785	-1.463	-0.425	-0.497	-1.128
"YGR103W"	-4.825	-3.051	-2.66	-2.148	-2.349	-1.948	-5.518	-2.251	-2.402	-4.861	-2.768	-3.578	-3.882	0.142	0.141	0.797	0.521	0.129	-0.29	0.299	0.301	0.173	-1.259	-1.45	-1.06	-3.1195	-2.6665	-4.287	-2.4	-2.155	-1.886	-1.263	-0.984	-0.959	-0.8825
"YGR148C"	-3.45	-3.596	-3.033	-2.31	-2.615	-3.884	-5.757	-3.141	-3.011	-5.063	-3.022	-3.649	-4.092	0.055	0.187	0.399	0.476	0.022	-0.208	0.014	0.0495	0.491	0.077	-0.063	-0.328	-3.53	-2.779	-3.103	-2.693	-1.897	-2.334	-0.796	-0.386	0.192	-0.71
"YGR214W"	-4.3	-2.826	-2.24	-1.862	-2.776	-3.03	-5.16	-3.581	-2.953	-4.842	-0.955	-1.925	-3.246	0.088	0.209	0.508	0.448	0.128	-0.029	0.396	0.496	-0.154	-0.868	-0.112	-0.633	-3.673	-2.906	-3.805	-2.3	-2.11	-2.419	-1.955	-1.427	-0.516	-0.686
"YHR007C"	2.126	-0.3	0.2955	0.079	-0.1475	-1.2845	-2.621	-0.369	-0.3115	-1.4945	-1.4645	-1.194	-2.226	-0.123	-0.016	0.178	0.503	-0.0615	-0.1665	0.048	0.094	0.0405	0.087	0.056	-0.808	1.328	1.609	2.035	1.439	0.883	0.777	-0.61	0.142	0.402	-0.138
"YHR010W"	-3.693	-3.281	-2.926	-2.458	-3.025	-3.508	-4.514	-3.343	-3.288	-4.159	-1.71	-2.032	-2.684	0.3	0.127	0.183	0.332	-0.034	0.269	0.16	0.389	-0.634	-1.019	-1.087	-1.695	-3.363	-2.267	-3.56	-2.961	-1.715	-2.978	-0.902	-0.291	-0.505	-0.557
"YHR052W"	-4.199	-3.017	-2.075	-2.236	-2.282	-2.598	-4.447	-2.565	-2.428	-3.435	-2.182	-2.764	-1.203	-0.005	0.3	0.679	0.549	0.119	0.121	0.158	0.128	-0.121	NaN	-0.613	NaN	-1.892	-3.411	-3.47	-2.114	-2.463	-1.582	-1.133	-0.697	-0.762	-0.656
"YHR065C"	-4.558	-2.142	-1.573	-1.183	-2.105	-3.857	-4.644	-1.784	-1.098	-2.379	-1.762	-2.801	-2.479	-0.153	-0.033	0.118	0.009	0.252	0.044	-0.032	-0.197	-0.037	NaN	-0.933	-0.902	-0.941	-1.67	-3.429	-1.607	-1.054	-1.428	-1.258	-0.239	-0.313	-0.863
"YHR068W"	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.945	-2.724	-3.669	-3.425	0.136	-0.128	0.132	0.041	0.241	0.437	0.084	0.06	-0.187	-1.743	-2.194	-2.769	-2.437	-2.467	-2.406	-2.362	-1.8	-1.861	-0.929	-1.514	-1.571	-1.255
"YHR089C"	-3.409	-3.231	-2.468	-2.358	-2.702	-2.601	-4.276	-2.292	-1.864	-4.426	-3.254	-3.83	-3.913	0.043	-0.025	0.276	0.081	-0.45	-0.99	0.261	0.221	-0.327	-1.979	-2.364	-2.07	-2.523	-2.905	-3.956	-3.219	-2.005	-3.27	-1.481	-1.771	-1.474	-1.374
"YIL018W"	-4.365	-3.03	-2.724	-2.488	-2.78	-3.492	-5.749	-3.362	-3.505	-3.907	-2.661	-3.27	-3.914	0.416	0.018	0.32	0.229	-0.233	-0.299	0.22	0.186	0.345	-2.305	-1.838	-2.126	-4.277	-3.397	-4.06	-3.676	-2.806	-2.821	-2.633	-1.61	-1.191	-1.316
"YIL045W"	4.837	3.725	4.285	5.025	4.058	4.605	5.042	2.691	2.176	4.236	4.139	3.804	2.963	0.142	-0.019	-0.474	-0.165	-0.009	0.307	0.154	0.261	0.043	0.305	1.059	1.604	2.782	2.929	3.875	2.985	2.251	3.3	0.572	1.364	1.425	0.638
"YIL052C"	-3.856	-3.261	-2.61	-2.22	-3.178	-2.895	-6.278	-2.82	-2.793	-4.174	-2.162	-2.5	-3.158	0.125	0.155	0.31	0.411	0.24	0.09	0.302	0.266	0.117	-1.322	-1.465	-1.774	-3.32	-2.562	-2.821	-2.677	-1.94	-3.315	-1.092	-0.712	-0.886	-0.675
"YIL078W"	-2.907	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-3.786	-4.41	-4.902	-4.944	0.092	0.202	0.528	0.423	0.141	-0.013	0.305	0.336	0.074	-1.711	-1.748	-2.266	-3.116	-1.937	-1.996	-2.548	-1.189	-1.453	-2.019	-1.449	-1.625	-1.291
"YIL127C"	-3.825	-3.066	-2.16	-1.369	-1.833	-1.8	-4.521	-3.072	-1.756	-2.484	-0.898	-1.52	-1.247	-0.223	-0.282	0.116	0.0	0.202	0.012	0.248	0.321	-0.491	0.652	-0.657	-0.136	-2.676	-1.774	-3.693	-1.968	-1.42	-1.731	-0.155	-1.053	-0.975	-1.237
"YJL080C"	-2.655	-2.64	-1.79	-1.719	-1.923	-3.029	-3.232	-1.693	-1.793	-2.248	-2.401	-2.866	-3.001	0.061	0.246	0.422	0.514	0.026	0.004	-0.519	-0.485	0.451	-0.5485	-0.1925	-0.616	-1.83	-2.286	-1.905	-1.8825	-1.495	-1.6585	-0.3685	0.4705	0.0425	0.2055
"YJL189W"	-3.545	-2.317	-2.282	-1.647	-1.644	-2.901	-4.28	-2.446	-2.278	-3.49	-1.577	-2.282	-2.837	0.037	-0.062	0.261	0.231	-0.058	-0.041	0.175	0.302	-0.39	-1.441	-1.166	-0.475	-2.736	-2.597	-2.888	-2.522	-2.288	-1.966	-1.305	-0.441	-0.688	-0.487
"YJL190C"	-3.794	-3.553	-2.958	-2.413	-3.287	-3.585	-6.079	-3.969	-3.744	-4.469	-2.941	-3.365	-3.524	0.057	0.312	0.612	0.493	0.048	0.142	0.457	0.454	-0.534	-3.057	-2.893	-2.487	-4.772	-3.912	-4.874	-4.273	-3.311	-3.497	-3.363	-2.726	-2.224	-2.741
"YJR063W"	-3.233	-2.702	-2.034	-2.513	-2.698	-2.37	-3.68	-1.586	-2.243	-2.236	-1.715	-2.078	-1.317	-0.04	-0.1	0.225	0.171	0.019	0.057	0.106	0.195	-0.404	-1.44	-0.808	-0.804	-1.51	-1.289	-2.958	-2.455	-1.224	-2.045	-1.396	-1.004	-0.896	-1.252
"YJR145C"	-4.507	-3.488	-2.731	-2.328	-2.413	-3.54	-6.528	-3.551	-3.547	-4.857	-2.519	-3.105	-3.178	0.297	0.189	0.365	0.336	0.381	0.555	0.394	0.212	0.051	-1.972	-0.745	-1.431	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	-1.961	-0.862	-1.048	-0.845
"YKL009W"	-5.997	-3.719	-2.839	-2.973	-2.449	-3.082	-6.168	-3.144	-2.368	-4.341	-2.349	-3.318	-2.938	0.081	0.069	0.456	0.328	0.251	0.275	0.151	-0.004	-0.205	-1.573	-2.446	-1.535	-2.602	-2.728	-4.823	-3.636	-3.036	-2.444	-1.904	-1.195	-1.381	-1.178
"YKL143W"	-4.748	-1.715	-1.954	-1.458	-1.805	-2.312	-3.827	-2.756	-2.421	-2.734	-2.215	-3.005	-2.585	-0.042	0.034	0.593	0.446	0.06	-0.156	0.249	0.549	-0.394	-0.493	-1.373	-0.913	-2.618	-1.955	-3.914	-2.07	-1.525	-1.384	-0.701	-0.479	-1.237	-0.541
"YKL170W"	1.799	0.859	0.459	0.498	0.859	-0.096	-2.003	0.621	0.549	1.373	0.188	0.3	0.275	-0.223	0.285	-0.115	0.143	0.021	0.047	0.032	-0.055	0.135	-0.069	-0.361	-0.378	0.917	0.987	1.586	1.447	0.778	-0.347	0.14	0.018	0.156	0.13
"YKL173W"	-0.959	-0.788	-0.812	-0.25	-0.397	-1.42	NaN	-0.782	-1.493	-0.91	-0.843	-1.465	-0.866	-0.221	0.218	0.411	0.294	0.035	-0.022	-0.441	-0.433	-0.186	0.14	-0.553	-0.681	-0.383	-0.853	-1.15	-0.961	-0.381	-0.252	-0.836	-0.616	-0.513	0.215
"YKR094C"	-3.138	-2.914	-2.274	-1.978	-2.41	-2.464	-4.383	-2.102	-2.333	-2.785	-1.792	-2.197	-2.387	-0.185	0.205	0.404	0.425	0.016	0.004	0.52	0.292	-0.014	-1.512	-0.547	-1.233	-3.423	-2.549	-3.694	-3.422	-2.865	-3.683	-1.207	-0.997	-0.828	-0.707
"YLL008W"	-5.659	-3.509	-2.64	-2.165	-3.282	-2.899	-6.113	-2.364	-2.55	-3.473	-2.386	-2.487	-2.92	0.067	0.151	0.786	0.65	-0.01	-0.182	-0.051	0.215	-0.472	-0.921	-1.089	-1.436	-1.915	-1.563	-3.042	-2.072	-1.554	-2.201	-0.843	0.033	-0.339	-1.72
"YLL035W"	-3.565	-2.294	-1.497	-1.446	-1.47	-2.821	-3.138	-1.926	-1.295	-2.024	-1.67	-2.017	-1.979	0.251	0.038	0.55	0.598	-0.092	-0.168	-0.048	-0.038	0.137	-0.556	-1.279	-1.411	-2.055	-1.439	-3.158	-1.751	-1.604	-2.228	-1.778	-0.581	-0.836	-0.698
"YLL044W"	-4.871	-3.525	-2.869	-2.211	-2.963	-3.79	-6.48	-3.313	-3.031	-3.872	-2.724	-3.494	-3.967	0.083	0.061	0.256	0.342	-0.086	-0.133	0.284	0.343	0.513	-1.768	-1.296	-1.624	-3.189	-2.774	-3.806	-2.77	-2.196	-2.935	-1.475	-0.859	-0.924	-2.172
"YLL045C"	-3.851	-3.176	-2.189	-1.64	-2.221	-3.857	-6.618	-3.169	-3.335	-3.66	-2.943	-3.021	-3.731	0.239	0.283	0.593	0.455	0.223	0.18	0.158	0.219	0.453	-2.181	-1.823	-0.576	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	-1.068	-1.005	-0.983	-0.822
"YLR029C"	-3.174	-2.641	-2.572	-2.334	-3.108	-3.615	-6.877	-2.777	-2.809	-3.178	-2.242	-2.378	-2.987	0.23	0.05	0.304	0.325	-0.158	0.275	0.784	1.015	0.404	-2.543	-1.596	-1.824	-3.518	-2.733	-3.637	-2.766	-2.153	-2.685	-2.459	-1.794	-1.296	-1.455
"YLR051C"	-2.92	-1.697	-1.739	-0.793	-1.485	-0.213	-2.766	-1.169	-1.459	-2.192	-0.641	-1.295	-0.923	0.255	0.078	0.061	-0.004	0.15	-0.093	-0.197	0.164	-0.033	0.33	-0.12	-0.253	-1.68	-1.112	-2.885	-1.77	-0.982	-0.209	-0.134	-0.261	-0.764	-0.742
"YLR062C"	-4.53	-4.418	-3.067	-3.127	-4.077	-5.705	-6.896	-3.6	-3.985	-4.96	-4.299	-4.293	-5.234	0.098	0.306	0.518	0.507	0.023	0.353	0.105	0.185	0.467	-1.98	-1.929	-0.807	-3.806	-3.723	-4.54	-4.001	-2.894	-3.419	-1.613	-1.112	-0.982	-1.53
"YLR075W"	-4.356	-3.127	-2.246	-2.047	-2.366	-1.991	-6.109	-2.552	-2.46	-4.079	-1.003	-2.135	-2.586	0.359	-0.119	0.314	0.218	0.189	0.133	0.785	0.825	0.358	-1.56	-0.894	-1.094	-4.584	-2.951	-4.051	-3.6	-2.245	-2.384	-1.979	-1.96	-1.048	-1.903
"YLR129W"	-4.83	-2.28	-2.498	-2.028	-2.718	-2.877	-4.914	-3.12	-2.647	-3.861	-2.714	-2.42	-3.068	-0.048	0.069	0.476	0.471	0.139	-0.346	0.107	0.015	0.147	-2.079	-2.002	-1.786	-3.422	-2.781	-4.119	-2.843	-2.213	-1.072	-1.743	-1.086	-0.31	-0.931
"YLR185W"	-4.508	-3.498	-2.551	-2.201	-2.749	-2.578	-5.928	-2.94	-2.559	-4.019	-2.015	-2.479	-3.065	0.106	0.292	0.433	0.449	-0.006	0.114	0.318	0.507	-0.08	-0.561	0.035	-0.984	-3.712	-3.007	-3.488	-3.242	-2.643	-3.35	-0.816	-0.609	-0.563	-0.804
