	"686.YP ethanol vs reference pool"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YHR073W"	-0.071	-1.889	-2.844	0.155	-0.639	-0.99	-1.786	-1.676
"YHR098C"	-1.001	-2.065	-3.065	-1.159	-1.2865	-1.917	-1.925	-2.553
"YHR123W"	-0.716	-3.763	-4.132	-1.439	-2.046	-2.917	-2.775	-2.647
"YHR193C"	-0.427	-3.11	-4.166	-1.955	-1.2	-1.778	-2.357	-2.845
"YIL002C"	0.0	-1.756	-2.557	-0.529	-0.586	-1.128	-1.454	-1.742
"YIL021W"	0.037	-1.965	-3.289	-0.937	-0.841	-1.2	-1.693	-1.565
"YIL039W"	-0.214	-3.668	-4.517	-1.3	-0.337	-1.646	-2.122	-1.552
"YIL078W"	-1.288	-5.192	-6.059	-2.5	-2.462	-4.41	-4.902	-4.944
"YIL138C"	-0.404	-2.433	-3.747	-0.803	-0.493	-1.524	-2.298	-1.906
"YJL138C"	-0.635	-3.125	-5.625	-1.674	-1.959	-2.542	-2.785	-3.522
"YJL157C"	-0.778	-3.548	-7.731	-2.54	-2.599	-3.198	-3.396	-3.219
"YJL188C"	-0.164	-2.786	-4.633	-2.519	-1.879	-2.169	-2.54	-2.776
"YJL192C"	-0.097	-3.649	-4.214	-1.29	-1.458	-1.68	-2.446	-1.599
"YJR007W"	-0.919	-3.21	-8.057	-1.824	-1.91	-2.909	-3.009	-3.616
"YJR014W"	-0.134	-2.399	-3.649	-0.739	-0.484	-0.993	-1.578	-1.95
"YJR076C"	-0.276	-2.55	-4.614	-1.375	0.846	-1.815	-2.814	-3.117
"YJR139C"	-0.744	-2.333	-4.462	-1.32	-1.529	-1.914	-2.388	-2.051
"YJR143C"	-0.945	-4.675	-5.523	-2.573	-3.031	-3.335	-3.698	-3.382
"YKL080W"	-1.216	-4.229	-5.94	-1.461	-1.699	-2.874	-2.944	-2.866
"YKL122C"	-0.008	-2.027	-4.576	-1.249	-1.64	-2.178	-2.544	-2.706
"YKL212W"	-0.313	-3.014	-4.806	-1.651	-1.64	-2.516	-2.929	-3.374
"YKR003W"	-0.053	-2.549	-5.089	-0.352	-0.268	-1.246	-1.672	-1.612
"YKR059W"	-0.733	-2.817	-4.998	-2.531	-2.238	-2.623	-2.96	-3.568
"YKR082W"	-0.348	-2.473	-2.648	-0.832	-1.633	-1.45	-1.895	-2.598
"YKR084C"	-0.575	-2.455	-3.0	-0.683	-1.442	-1.177	-2.183	-1.971
"YLR060W"	-1.157	-4.941	-5.967	-2.672	-2.566	-3.118	-3.713	-4.371
"YLR062C"	-1.091	-5.705	-6.896	-3.965	-3.18	-4.299	-4.293	-5.234
"YLR101C"	-0.598	-2.239	-3.161	-0.811	-1.629	-1.911	-2.069	-2.518
"YLR314C"	-0.501	-2.218	-5.585	-1.368	-1.023	-2.906	-3.447	-3.937
"YLR404W"	-0.071	-1.556	-1.959	-0.252	-0.925	-0.684	-0.996	-1.185
"YML094W"	-0.202	-3.509	-3.049	-1.339	-1.555	-1.93	-2.071	-2.286
"YMR062C"	-0.377	-1.776	-2.211	-0.941	-0.949	-1.3415	-1.104	-1.7775
"YMR093W"	-0.977	-3.98	-4.21	-1.615	-2.068	-2.591	-3.429	-3.183
"YMR163C"	-0.051	-1.126	-2.462	0.508	-0.147	-0.617	-0.784	-1.126
"YMR231W"	-0.195	-1.771	-3.029	-0.281	-0.342	-1.443	-1.795	-2.243
"YMR235C"	-1.348	-3.534	-5.187	-1.879	-2.052	-2.838	-3.21	-3.756
"YNL041C"	0.0	-2.304	-3.473	-0.508	-0.522	-2.075	-2.743	-2.875
"YNL079C"	-0.208	-2.802	-4.703	-1.01	-0.652	-1.383	-2.486	-3.23
"YNL153C"	-0.265	-2.968	-3.338	-1.461	-1.561	-1.523	-2.302	-1.649
"YNL189W"	-0.751	-2.367	-4.06	-1.183	-1.19	-2.058	-2.641	-3.084
"YNL280C"	-0.128	-1.762	-3.802	-0.407	-0.826	-1.267	-1.071	-1.761
"YOR160W"	0.061	-2.6045	-4.2525	-0.599	-0.2445	-0.963	-1.386	-1.38
"YOR164C"	-0.251	-2.555	-4.0095	-1.1575	0.5865	-1.603	-1.956	-2.107
"YOR198C"	-0.646	-4.452	-5.562	-1.262	-0.9675	-4.384	-4.657	-4.415
"YOR205C"	-0.355	-1.8905	-3.583	-0.482	-0.8995	-0.923	-1.228	-1.303
"YOR239W"	-0.538	-3.232	-5.0985	-1.633	-1.8425	-3.149	-3.934	-3.704
"YOR295W"	0.444	-1.455	-2.262	-0.4645	-0.371	-0.685	-1.054	-1.312
"YOR323C"	-0.775	-4.2845	-6.434	-2.106	-2.053	-2.742	-3.497	-3.428
"YOR326W"	-0.926	-3.4635	-4.9875	-2.6115	-1.9335	-3.585	-3.591	-2.795
"YPL037C"	-0.462	-3.9955	-5.417	-2.148	-1.96	-2.115	-3.222	-3.654
"YPL178W"	-0.26	-2.0395	-3.2495	-0.3965	-0.2915	-1.535	-1.511	-1.922
"YPL243W"	-0.823	-4.1455	-5.276	-1.315	-1.5105	-2.602	-3.541	-3.544
"YPR033C"	-0.59	-4.8805	-7.94	-2.759	-2.6225	-3.951	-4.382	-4.54
"YPR102C"	-1.197	-4.045	-6.451	-3.673	-3.277	-3.352	-3.749	-4.692
"YPR118W"	-0.94	-3.9965	-5.524	-2.305	-2.577	-2.882	-3.334	-3.538
"YPR128C"	-0.333	-2.617	-3.863	-0.6715	-1.352	-1.326	-1.847	-1.979
"YPR139C"	0.051	-2.01	-3.5915	-0.321	-0.3065	-0.934	-1.637	-0.936
