	"686.YP ethanol vs reference pool"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"21657..24 mM H2O2- 063 minutes"	"30463.Pomona/Brown pol2-12 red"
"YLR276C"	-0.734	1.366	-3.174	-5.399	-2.386	-3.49	-1.977	-1.889	-2.427	-1.866	-3.17	-3.081	-0.042	-2.431	-2.252	0.055	0.3	-2.511	-0.089
"YLR333C"	-0.757	0.457	-3.011	-5.863	-3.538	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	0.253	-1.76	-1.922	-0.538	-0.009	-2.74	-0.536
"YLR340W"	-1.031	1.614	-4.11	-6.819	-2.128	-3.499	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	0.271	-1.445	-1.663	-0.136	0.264	-3.038	0.452
"YLR344W"	-0.63	0.49	-3.139	-4.414	-3.245	-3.619	-1.879	-2.264	-1.964	-1.824	-2.383	-3.724	0.007	-1.948	-1.685	-0.079	0.33	-3.143	0.182
"YLR367W"	-1.128	0.856	-2.78	-6.716	-3.055	-3.649	-2.095	-2.591	-2.935	-2.165	-2.476	-3.007	-0.223	-1.954	-2.124	-0.202	-0.326	-3.309	-0.432
"YLR388W"	-0.744	1.112	-3.596	-5.506	-3.204	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.228	-1.874	-2.12	-0.245	0.23	-2.555	0.253
"YLR432W"	-1.179	1.285	-3.532	-5.65	-2.412	-2.585	-0.9	-1.997	-2.641	-1.934	-2.482	-3.034	-0.003	-1.528	-1.225	-0.296	0.298	-1.947	0.305
"YLR448W"	-1.597	1.417	-3.552	-5.971	-3.425	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.171	-1.972	-1.41	-0.052	0.264	-3.651	0.054
"YML024W"	-1.295	0.42	-3.909	-4.621	-3.523	-3.455	-2.442	-2.512	-2.583	-1.81	-2.221	-2.415	0.032	-1.567	-2.011	-1.085	-0.23	-3.104	-0.429
"YML056C"	-1.807	1.415	-2.698	-5.251	-3.243	-2.774	-1.718	-2.437	-2.674	-1.337	-2.566	-2.751	0.162	-1.462	-1.486	0.124	0.216	-2.359	-0.067
"YMR116C"	-1.829	1.437	-4.551	-6.865	-2.937	-3.586	-2.408	-2.851	-2.888	-2.906	-3.561	-4.003	0.044	-1.918	-2.486	-0.739	-0.027	-3.505	0.528
"YMR215W"	-1.0	1.042	-3.705	-4.406	-1.896	-1.783	-0.62	-2.081	-3.365	-2.939	-2.956	-3.467	-0.519	-0.497	-0.899	-0.32	-0.103	-1.721	0.3835
"YMR230W"	-0.415	0.285	-3.24	-4.541	-2.924	-3.21	-2.361	-2.361	-1.71	-1.57	-1.442	-2.394	-0.05	-1.571	-1.981	-0.312	-0.486	-2.796	-0.655
"YMR241W"	-0.172	1.319	-1.771	-3.349	-1.507	-0.671	-0.572	-1.805	-1.831	-2.426	-3.0	-3.778	0.121	-1.472	-1.513	-0.149	-0.135	-1.151	0.462
"YMR242C"	-1.39	0.875	-3.971	-6.226	-3.832	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.038	-2.755	-2.478	-0.47	-0.298	-3.061	0.5545
"YNL067W"	-0.339	1.446	-2.84	-5.731	-2.866	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	0.136	-2.17	-2.392	0.033	-0.166	-3.078	0.4995
"YNL119W"	-0.865	1.229	-5.354	-6.231	-3.359	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	0.382	-2.044	-2.032	-0.024	-0.083	-3.444	0.235
"YNL162W"	-0.96	0.028	-2.858	-6.425	-2.86	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.066	-2.23	-1.918	-0.514	0.007	-3.365	-0.014
"YNL175C"	-0.733	1.113	-2.872	-6.011	-2.575	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	0.049	-2.034	-2.654	0.531	-0.301	-3.606	0.5575
"YNL178W"	-0.979	0.526	-4.338	-6.62	-3.239	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.019	-1.803	-1.852	-0.791	0.006	-2.804	0.52
"YNL301C"	-1.054	1.224	-5.123	-6.272	-2.943	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	0.303	-1.944	-2.088	-0.419	0.188	-3.652	0.402
"YOL039W"	-0.875	1.241	-2.068	-7.971	-0.1815	-3.972	-2.697	-2.946	-3.123	-2.476	-3.262	-3.256	0.217	-0.933	-1.434	-0.104	-0.02	-2.77	0.478
"YOL040C"	-1.284	1.288	-3.032	-6.413	-3.385	-3.938	-1.874	-2.247	-2.245	-2.028	-2.837	-3.657	0.212	-2.057	-1.629	0.085	-0.041	-3.623	0.448
"YOR176W"	-0.652	0.09	-1.862	-3.661	1.0515	1.46	1.189	0.463	0.608	-0.963	-1.364	-1.766	0.14	0.494	0.645	-0.237	-0.26	-1.21	0.452
"YOR224C"	-0.599	0.657	-3.348	-4.849	-2.254	-2.185	-1.678	-2.173	-2.296	-2.099	-2.615	-2.202	0.232	-1.367	-1.309	-0.064	-0.28	-2.461	0.262
"YOR253W"	-1.267	-0.055	-2.7935	-5.157	-1.6705	-1.88	-1.318	-1.139	-1.299	-1.872	-2.672	-2.633	-0.334	-1.306	-1.493	0.238	-0.027	-2.13	0.304
"YOR277C"	-1.391	0.345	-3.25	-4.571	-1.7745	-2.305	-1.656	-1.464	-2.047	-1.978	-2.103	-2.211	-0.247	-1.353	-1.627	-0.308	-0.049	-2.081	0.513
"YOR293W"	-1.549	0.646	-2.7875	-4.496	-3.442	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	0.041	-2.238	-2.131	-0.942	-0.543	-2.991	-0.215
"YOR361C"	-0.5475	-0.1075	-2.869	-2.21	-1.595	-2.3735	-1.763	-2.3155	-1.899	-2.266	-1.977	-2.109	-0.0225	-0.4505	-0.2705	-0.627	-0.194	-3.062	0.069
"YOR369C"	-1.178	0.747	-3.724	-6.5475	-3.0405	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	-0.011	-1.97	-2.181	-0.685	-0.365	-3.601	0.218
"YPL142C"	-0.787	0.8765	-3.5865	-5.604	-2.825	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.131	-1.839	-2.009	-0.273	-0.398	-3.138	0.481
"YPL220W"	-1.189	1.0405	-3.187	-6.1465	-3.0375	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.266	-2.078	-2.022	-0.281	0.237	-4.298	0.634
"YPL273W"	-1.52	1.314	-3.722	-5.69966666666667	-2.94366666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-0.345	-1.784	-1.728	0.137	0.023	-1.874	0.418
"YPR043W"	-0.4	0.194	-1.9405	-4.426	-2.7405	-2.953	-1.763	-1.831	-1.864	-0.871	-1.08	-2.187	-0.002	-1.227	-1.394	-0.325	-0.19	-1.769	0.047
"YPR044C"	-0.976	0.439333333333333	-2.87	-4.76433333333333	-3.21966666666667	-3.0915	-1.926	-2.14	-2.1115	-1.2955	-1.702	-1.9615	-0.004	-1.5965	-1.486	-0.812	-0.163	-3.336	-0.44
"YPR080W"	-1.309	0.707	-2.848	-5.6305	-2.094	-2.241	-0.95	-1.197	-1.321	-1.689	-2.389	-3.139	0.222	-0.995	-0.778	-0.621	-0.164	-2.981	0.529
"YPR102C"	-1.197	0.827	-4.045	-6.451	-3.5055	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.195	-2.23	-2.126	-0.251	-0.022	-2.905	0.448
"YPR132W"	-1.087	0.55	-3.1925	-5.805	-2.5895	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.155	-2.23	-2.231	-0.493	-0.251	-2.982	0.3
"YPR163C"	-1.144	0.88	-2.9485	-5.4905	-2.5635	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	0.319	-1.688	-1.806	-0.342	-0.222	-1.972	0.563
