	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"38145.03II01 batch p1"
"YHR019C"	-1.831	-4.051	-5.077	-2.109	-2.06	-3.117	-3.721	-4.387	0.336
"YHR025W"	-1.993	-2.666	-5.429	-1.97	-1.896	-1.471	-2.319	-2.178	-0.757
"YHR043C"	-0.943	-1.983	-3.778	-0.839	-1.062	-1.59	-1.963	-1.696	-0.159
"YHR047C"	-1.732	-3.032	-4.423	-1.632	-1.63	-1.978	-3.102	-3.056	0.292
"YHR063C"	-1.469	-3.309	-4.42	-1.385	-1.916	-2.162	-3.419	-3.036	-0.709
"YHR107C"	-0.339	-3.369	-2.898	-0.726	-1.032	-1.982	-2.205	-2.843	0.259
"YHR179W"	-1.971	-3.188	-4.68	-1.236	-2.035	-3.086	-5.251	-4.091	-0.97
"YHR193C"	-1.341	-3.11	-4.166	-1.494	-1.913	-1.778	-2.357	-2.845	0.095
"YHR208W"	-1.397	-3.12	-4.064	-1.232	-1.339	-2.263	-2.683	-2.939	-0.992
"YIL044C"	-0.463	-1.784	-2.248	-0.49	-0.505	-1.033	-1.385	-1.612	-0.039
"YIL078W"	-2.498	-5.192	-6.059	-2.436	-3.226	-4.41	-4.902	-4.944	0.169
"YIL110W"	1.513	-2.455	-3.072	-1.354	-1.444	-1.775	-2.473	-2.492	0.082
"YJL014W"	-1.494	-2.624	-3.962	-1.558	-1.58	-2.252	-3.068	-2.866	0.265
"YJL081C"	-0.905	-1.725	-4.519	-0.686	-0.81	-1.259	-1.944	-1.52	0.345
"YJL145W"	-1.431	-2.136	-3.628	-1.678	-1.482	-2.303	-2.334	-2.853	0.499
"YJR003C"	-0.767	-2.48	-3.457	-0.824	-0.91	-2.176	-2.349	-2.42	0.023
"YJR031C"	-0.479	-1.269	-2.438	-0.941	-0.791	-1.384	-1.85	-0.8	0.353
"YJR142W"	-0.689	-2.83	-2.392	-0.772	-0.821	-1.581	-2.204	-2.058	-0.464
"YJR143C"	-1.487	-4.675	-5.523	-1.986	-2.118	-3.335	-3.698	-3.382	-0.15
"YKL073W"	-0.732	-2.672	-3.282	-0.985	-1.089	-2.148	-2.623	-3.195	-0.275
"YKL104C"	-0.078	-2.463	-3.649	-0.898	-1.051	-2.53	-2.85	-2.774	-0.316
"YKL209C"	-1.273	-2.141	-3.7	-1.464	-2.155	-2.666	-3.668	-3.575	0.254
"YKL212W"	-1.247	-3.014	-4.806	-1.656	-1.598	-2.516	-2.929	-3.374	-1.065
"YKR026C"	-1.705	-2.863	-3.755	-1.369	-1.003	-1.858	-2.363	-2.231	-0.249
"YKR028W"	-0.742	-2.477	-4.381	-0.672	-0.248	-1.296	-1.963	-2.574	0.287
"YKR056W"	-1.492	-3.298	-4.34	-1.597	-1.637	-2.627	-3.787	-3.544	-0.024
"YKR059W"	-1.543	-2.817	-4.998	-1.844	-2.106	-2.623	-2.96	-3.568	-1.081
"YLL024C"	-1.683	-2.574	-5.009	-0.684	-0.85	-2.804	-3.024	-3.122	-0.816
"YLL035W"	-1.446	-2.821	-3.138	-1.355	-1.239	-1.67	-2.017	-1.979	0.027
"YLL044W"	-2.211	-3.79	-6.48	-2.654	-2.736	-2.724	-3.494	-3.967	1.849
"YLR045C"	-1.363	-1.804	-2.728	-1.092	-1.01	-1.829	-1.751	-2.74	0.129
"YLR060W"	-2.499	-4.941	-5.967	-2.397	-2.667	-3.118	-3.713	-4.371	-0.835
"YLR065C"	-1.191	-1.93	-3.028	-1.07	-1.137	-1.477	-1.554	-1.642	-0.607
"YLR101C"	-1.233	-2.239	-3.161	-1.073	-1.203	-1.911	-2.069	-2.518	-0.081
"YLR222C"	-0.88	-3.721	-4.745	-2.036	-2.29	-3.081	-2.929	-3.119	0.006
"YLR249W"	-3.403	-4.146	-6.742	-3.131	-3.778	-3.883	-4.549	-4.992	-0.372
"YLR314C"	-1.783	-2.218	-5.585	-2.505	-2.761	-2.906	-3.447	-3.937	-0.35
"YLR355C"	-0.712	-5.125	-6.009	-1.288	-1.519	-1.878	-1.989	-3.088	-0.843
"YML031W"	-1.017	-3.731	-3.953	-1.039	-1.033	-1.68	-1.828	-2.276	-0.473
"YMR013C"	-0.525	-1.202	-2.075	-0.76	-0.932	-1.687	-1.568	-1.395	-0.571
"YMR079W"	-1.001	-2.074	-3.648	-1.258	-1.294	-1.666	-1.971	-2.855	0.238
"YMR131C"	-2.414	-5.052	-6.665	-2.829	-3.214	-4.236	-5.241	-4.266	0.682
"YMR208W"	-0.82	-2.542	-3.618	-0.931	-1.136	-1.98	-2.454	-2.354	-0.129
"YMR217W"	-2.518	-4.735	-5.29	-3.341	-4.118	-3.713	-4.205	-4.469	-0.398
"YMR220W"	-0.681	-1.869	-3.12	-0.492	-0.881	-1.468	-2.008	-1.728	-0.378
"YMR235C"	-1.783	-3.534	-5.187	-2.046	-2.046	-2.838	-3.21	-3.756	-0.29
"YMR241W"	-1.351	-1.771	-3.349	-1.805	-1.831	-2.426	-3.0	-3.778	-1.237
"YNL035C"	-0.487	-2.242	-4.036	-0.766	-0.96	-1.517	-2.026	-1.167	-0.486
"YNL041C"	-0.323	-2.304	-3.473	-0.469	-0.451	-2.075	-2.743	-2.875	-0.379
"YNL085W"	-0.67	-2.342	-5.369	-1.668	-1.484	-2.001	-2.706	-3.291	-0.602
"YNL090W"	-1.485	-2.438	-2.292	-1.304	-1.549	-1.844	-1.862	-2.234	0.301
"YNR043W"	-1.86	-2.934	-5.1565	-2.078	-2.382	-2.655	-3.803	-3.856	-0.362
"YOR198C"	-1.6725	-4.452	-5.562	-2.3	-2.828	-4.384	-4.657	-4.415	0.209
"YOR239W"	-1.31	-3.232	-5.0985	-2.053	-2.15	-3.149	-3.934	-3.704	0.801
"YOR240W"	-1.044	-2.8765	-3.6975	-1.773	-1.486	-2.693	-3.23	-2.674	0.295
"YOR260W"	-1.6735	-2.507	-4.639	-1.513	-1.624	-2.257	-2.577	-3.081	-0.935
"YOR272W"	-1.682	-3.353	-4.712	-2.312	-2.009	-3.017	-3.307	-4.52	-0.87
"YOR305W"	-0.8795	-1.6535	-2.672	-0.719	-1.206	-1.227	-1.264	-1.883	-0.322
"YOR323C"	-1.941	-4.2845	-6.434	-1.557	-1.382	-2.742	-3.497	-3.428	-0.852
"YOR326W"	-1.329	-3.4635	-4.9875	-1.82	-2.099	-3.585	-3.591	-2.795	-0.427
"YPL037C"	-1.975	-3.9955	-5.417	-1.561	-1.872	-2.115	-3.222	-3.654	-0.234
"YPL160W"	-1.47166666666667	-3.08233333333333	-5.284	-2.449	-2.824	-3.1695	-3.499	-2.977	0.1245
"YPL178W"	-0.866	-2.0395	-3.2495	-1.104	-1.052	-1.535	-1.511	-1.922	-0.5945
"YPL210C"	-0.484333333333333	-2.00066666666667	-3.50166666666667	-1.072	-1.187	-1.31	-1.9415	-1.2345	-0.791
"YPL226W"	-1.80333333333333	-3.95033333333333	-5.67966666666667	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.483
"YPL241C"	-0.814	-1.9285	-3.6825	-0.924	-1.179	-1.429	-1.607	-1.54	0.162
"YPL243W"	-1.456	-4.1455	-5.276	-1.377	-1.873	-2.602	-3.541	-3.544	-0.014
"YPR029C"	-0.418	-1.735	-4.2395	-0.681	-0.605	-1.909	-1.836	-2.242	0.458
"YPR033C"	-2.534	-4.8805	-7.94	-2.096	-2.55	-3.951	-4.382	-4.54	-0.6415
"YPR118W"	-2.706	-3.9965	-5.524	-2.594	-2.077	-2.882	-3.334	-3.538	-1.347
"YPR145W"	-2.5015	-3.737	-5.02	-2.228	-2.21	-3.369	-3.625	-3.498	-1.414
"YPR187W"	-1.511	-3.609	-5.408	-1.816	-2.016	-2.28	-2.584	-3.22	0.0
"YPR190C"	-1.5705	-3.3155	-3.101	-0.983	-0.705	-1.601	-1.95	-2.429	0.452
