	"106.heat shock 05 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"977.wt_plus_gamma_10_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"12744.heat shock 17 to 37, 20 minutes"	"17473.Ca+FK 30min (5)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"
"YDR496C"	-2.3715	-3.671	-4.953	-4.7405	-1.9625	-2.742	-1.723	-0.617	-3.1645	-3.591	-4.393	-4.5275	-1.965	-0.854	-3.995	-2.1765	-2.168	-2.517	-2.6065	-3.579	-3.3065	0.0765	-5.1875	-0.9485	-3.216	-2.317	-1.02	1.059	-0.39	0.494	0.558
"YER025W"	-0.14	-1.694	-2.346	-2.611	-1.245	-1.594	-1.256	-0.364	-3.167	-2.274	-4.542	-2.203	-0.859	-0.915	-2.463	-1.42	-1.739	-2.023	-1.728	-2.125	-2.385	0.0	-2.832	-0.497	-1.549	-1.06	-1.736	-0.059	-0.19	-0.094	-0.255
"YER117W"	-0.236	-2.379	-2.386	-3.056	-0.947	-2.019	-1.321	-0.665	-2.982	-2.832	-5.642	-3.05	-0.388	-0.507	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.308	-3.314	-0.8595	-2.377	-1.067	-1.674	0.178	0.469	0.364	-0.038
"YGL120C"	-0.503	-3.301	-3.954	-3.877	-1.903	-1.614	-0.802	-0.561	-4.557	-4.088	-5.111	-3.171	-1.816	-1.043	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	0.0	-3.8	-0.075	-3.466	-2.416	-2.286	-0.796	-0.663	-0.745	-0.849
"YGL135W"	0.027	-2.468	-3.231	-3.984	-1.282	-2.804	-2.361	-0.854	-3.221	-3.418	-5.687	-3.217	-0.503	-0.456	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-0.045	-3.406	-0.089	-2.824	-1.612	-1.861	0.217	0.069	0.044	-0.125
"YGL147C"	-0.017	-2.704	-4.102	-4.319	-0.958	-2.743	-1.941	-1.071	-3.892	-3.921	-7.507	-3.0	-0.733	-1.031	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.326	-3.829	-0.536	-2.3925	-1.8665	-2.087	-0.5	-0.5765	-0.1075	-0.492
"YGR128C"	-1.545	-2.4315	-3.197	-2.749	-1.9845	-1.641	-1.342	-0.394	-3.032	-2.66	-4.271	-2.816	-1.872	-1.003	-3.207	-1.88	-2.107	-2.236	-2.017	-3.037	-2.679	0.096	-2.534	-0.3985	-2.714	-1.919	-1.414	-0.207	-0.349	-0.377	-0.559
"YGR173W"	-0.373	-1.958	-2.8095	-2.487	-1.1435	-1.243	-0.655	-0.283	-3.271	-2.218	-3.699	-2.709	-1.1	-0.369	-1.546	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	-0.074	-2.734	-0.2105	-1.911	-1.015	-0.995	-0.941	-0.797	-0.71	-1.0
"YHR010W"	-0.499	-2.0245	-3.406	-3.8525	-1.11	-2.214	-1.581	-0.428	-3.693	-3.508	-4.514	-3.343	-0.484	-0.502	-4.159	-2.399	-2.244	-2.541	-1.71	-2.032	-2.684	-0.034	-3.0485	-0.613	-2.868	-1.146	-2.166	-0.077	0.292	0.1	-0.005
"YHR066W"	-1.392	-2.9815	-3.762	-3.552	-1.7305	-1.966	-1.468	-0.142	-4.885	-3.164	-5.203	-2.974	-1.469	-0.287	-2.742	-1.611	-1.41	-1.569	-1.879	-2.539	-1.923	0.466	-4.347	-1.422	-3.068	-1.906	-2.219	-0.985	-0.506	-0.551	-0.717
"YHR089C"	-1.2425	-3.523	-4.938	-4.6915	-2.621	-2.991	-2.801	-1.534	-3.409	-2.601	-4.276	-2.292	-1.143	-1.447	-4.426	-3.154	-3.217	-3.48	-3.254	-3.83	-3.913	-0.45	-4.9325	-1.256	-3.579	-1.269	-3.412	-0.477	-0.03	-0.196	-0.381
"YHR141C"	-0.6205	-2.4395	-2.726	-3.094	-0.653	-1.998	-0.783	-0.435	-2.32	-2.472	-3.64	-2.31	-0.2	-0.273	-2.888	-1.591	-1.753	-1.569	-1.819	-1.838	-2.014	0.039	-3.0435	-0.497	-2.364	-1.307	-1.851	-0.148	0.343	0.228	0.078
"YIL018W"	-0.294	-2.2685	-3.509	-3.965	-1.079	-2.824	-2.493	-1.096	-4.365	-3.492	-5.749	-3.362	-0.596	-0.658	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.233	-3.4165	-0.046	-2.641	-1.895	-1.899	-0.116	-0.112	-0.118	-0.257
"YIL133C"	-0.2945	-2.027	-3.384	-3.811	-1.7035	-2.661	-2.068	-0.55	-3.333	-2.693	-5.79	-2.93	-0.77	-0.863	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.235	-3.3115	-0.302	-2.292	-0.756	-1.695	-0.837	-0.713	-0.736	-1.023
"YJL177W"	-0.36	-2.211	-3.2765	-3.7865	-1.46	-2.665	-1.964	-0.717	-4.132	-3.255	-5.49	-3.409	-0.52	-0.801	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.25	-3.293	-0.281	-2.626	-1.553	-1.517	-0.659	-0.609	-0.434	-0.684
"YJL190C"	-0.201	-2.8085	-3.022	-3.838	-1.301	-2.911	-2.272	-1.094	-3.794	-3.585	-6.079	-3.969	-0.403	-0.609	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.048	-3.7855	-0.806	-3.078	-2.014	-2.354	0.01	0.317	0.285	0.116
"YJR123W"	-0.187	-1.912	-3.5655	-4.258	-1.204	-2.317	-1.807	-0.576	-3.844	-4.381	-9.147	-3.809	-0.557	-0.64	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.56	-3.445	-0.214	-2.744	-1.277	-2.14	-0.259	-0.076	0.087	-0.472
"YKL006W"	-0.4415	-1.949	-3.315	-3.5445	-1.2065	-2.018	-1.646	-0.529	-4.299	-2.835	-5.113	-3.049	-0.45	-0.821	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	0.2	-3.02	-0.408	-2.654	-1.672	-1.927	-0.706	-0.256	-0.454	-0.655
"YKL180W"	-0.087	-2.16	-2.81	-3.531	-1.337	-2.553	-1.948	-0.635	-2.661	-2.561	-5.237	-2.625	-0.393	-0.793	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	0.469	-3.37	-0.598	-1.891	-0.777	-1.571	-0.605	-0.658	-0.425	-0.705
"YKR056W"	-2.701	-2.945	-3.217	-3.127	-1.83	-1.683	-1.237	-0.546	-4.495	-3.298	-4.34	-2.379	-1.64	-0.643	-1.986	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	-0.129	-3.682	-0.548	-2.586	-2.146	-2.061	-0.774	-0.886	-0.554	-0.79
"YLL045C"	0.047	-2.319	-3.116	-3.722	-1.434	-2.573	-1.975	-1.088	-3.851	-3.857	-6.618	-3.169	-0.87	-0.826	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.223	-3.545	-0.105	-2.751	-1.345	-1.04	-0.661	-0.703	-0.498	-0.789
"YLR002C"	-1.475	-2.585	-3.425	-2.737	-1.886	-2.281	-1.425	-0.384	-3.541	-3.154	-4.959	-2.611	-1.144	-0.616	-2.747	-1.603	-1.661	-1.599	-2.578	-3.265	-3.45	0.14	-4.018	NaN	-2.317	-2.108	-1.524	-0.303	-0.758	-0.379	-0.63
"YLR009W"	-2.48	-2.897	-4.204	-3.864	-1.651	-2.235	-1.527	-0.652	-4.675	-2.518	-5.388	-2.737	-1.835	-0.764	-3.455	-2.226	-1.984	-2.757	-2.555	-3.216	-2.799	-0.064	-4.344	-1.085	-3.436	-1.875	-1.829	-0.788	-0.71	-0.449	-0.829
"YLR196W"	-1.895	-3.221	-4.896	-4.532	-2.15	-2.273	-1.576	-0.56	-5.083	-4.437	-5.836	-2.858	-1.404	-0.682	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.24	-5.097	-1.752	-3.697	-2.702	-2.671	-0.771	-0.492	-0.388	-0.625
"YLR198C"	-0.945	-3.371	-4.643	-4.805	-2.272	-2.6	-2.306	-0.89	-5.143	-3.745	-3.401	-3.471	-0.963	-0.673	-5.282	-2.521	-3.21	-3.479	-3.841	-4.919	-4.589	0.231	-4.143	-2.094	-3.4	-2.256	-1.816	-0.943	-0.907	-0.537	-0.865
"YLR441C"	0.328	-2.436	-3.181	-3.61	-1.057	-2.485	-2.114	-0.59	NaN	NaN	-12.655	-3.365	-0.288	-0.737	-5.658	-2.294	-2.747	-3.345	-3.329	-3.986	-4.389	0.403	-3.408	-0.092	-2.634	-1.53	-2.059	-0.198	0.293	0.164	-0.153
"YML073C"	-0.316	-2.106	-3.093	-3.742	-1.576	-2.66	-2.111	-0.83	0.912	-3.862	-6.033	-3.5	-0.556	-0.597	-4.919	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	0.02	-3.187	-1.29	-2.475	-1.485	-2.813	-0.956	-0.816	-0.575	-0.862
"YMR242C"	-0.277	-1.639	-3.309	-3.708	-1.335	-2.703	-2.14	-0.635	-4.702	-3.971	-6.226	-3.832	-0.627	-0.853	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.442	-3.054	-0.02	-2.43	-1.144	-2.294	-0.514	-0.467	-0.236	-0.562
"YNL067W"	-0.083	-2.563	-3.335	-3.738	-0.894	-2.271	-1.499	-1.134	-4.019	-2.84	-5.731	-2.866	-0.666	-0.855	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	0.53	-3.16	-0.28	-2.636	-1.422	-2.256	-0.154	0.005	0.293	0.123
"YNL113W"	-1.182	-2.322	-2.536	-2.502	-1.445	-1.165	-0.592	-0.53	-5.347	-2.537	-7.034	-3.971	-1.332	-1.129	-3.24	-1.962	-1.673	-1.782	-1.889	-2.222	-2.123	-0.176	-3.986	-1.078	-2.788	-1.691	-2.526	-0.694	-0.229	-0.161	-0.449
"YNL162W"	-0.501	-1.97	-3.17	-3.58	-0.86	-2.232	-1.506	-0.56	-3.953	-2.858	-6.425	-2.86	-0.285	-0.254	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.03	-2.998	-0.951	-2.02	-1.415	-1.777	-0.332	-0.053	-0.014	-0.155
"YNL175C"	-0.457	-4.11	-4.362	-3.931	-1.794	-3.0	-2.194	-0.893	-4.877	-2.872	-6.011	-2.575	-1.975	-1.208	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	0.344	-5.147	-0.698	-2.388	-1.8585	-1.746	-0.9695	-0.673	-0.6575	-0.708
"YNL313C"	-1.588	-2.399	-2.935	-3.02	-1.945	-1.152	-0.746	-0.79	-4.999	-3.628	-5.714	-3.129	-1.095	-0.443	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	0.106	-3.009	-1.518	-2.824	-2.352	-1.81	-0.436	-0.05	-0.557	-0.623
"YOL139C"	-0.443	-1.217	-1.949	-2.236	-0.526	-1.581	-1.506	-0.355	-3.143	-2.31	-5.5	-1.666	-0.216	-0.353	-2.365	-1.489	-1.408	-1.945	-1.487	-1.966	-2.188	0.146	-2.026	-0.095	-1.768	-0.832	-1.898	-0.365	0.055	-0.022	-0.147
"YOR369C"	0.29	-2.312	-2.946	-2.962	-1.136	-2.175	-2.11	-0.795	-3.6225	-3.724	-6.5475	-3.0405	-0.678	-0.438	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	0.217	-2.806	-1.484	-2.698	-1.296	-1.708	0.262	0.389	0.384	0.046
"YPL079W"	-0.335	-2.277	-3.115	-3.828	-1.337	-2.516	-2.168	0.301	-4.616	-3.892	-6.4765	-3.085	-0.582	-0.613	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	-3.135	-0.789	-1.936	-0.886	-1.721	-0.721	-0.395	-0.302	-0.573
"YPL081W"	-0.456	-1.543	-2.931	-3.841	-1.106	-1.35	-0.98	-0.606	-4.5065	-3.4025	-6.801	-2.5355	-0.791	-0.732	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	-2.52	-0.371	-1.967	-1.181	-1.722	-0.736	-0.577	-0.312	-0.685
"YPL090C"	-0.408	-2.497	-3.529	-3.965	-1.348	-2.823	-2.737	-1.378	-3.9615	-4.364	-6.197	-3.398	-0.159	-0.457	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.045	-3.272	-1.019	-2.536	-1.416	-2.305	-0.174	-0.096	-0.088	-0.294
"YPL142C"	-0.067	-2.625	-2.913	-3.225	-0.99	-2.066	-1.527	-0.722	-3.1395	-3.5865	-5.604	-2.825	-0.319	-0.521	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.2	-3.034	-0.69	-2.333	-1.691	-1.946	0.125	0.134	0.254	-0.058
"YPL220W"	-0.077	-2.267	-3.278	-3.871	-1.265	-2.806	-2.333	-0.913	-3.389	-3.187	-6.1465	-3.0375	-0.202	-0.181	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.081	-3.09	-0.588	-2.654	-2.004	-1.963	-0.142	0.237	0.088	-0.169
"YPR041W"	-0.4505	-1.354	-1.831	-2.097	-0.4445	-0.954	-0.8655	-0.2345	-1.871	-2.36366666666667	-4.07266666666667	-2.403	-0.84	-0.5655	-1.646	-1.315	-1.658	-1.0965	-1.805	-1.8775	-2.441	-0.1465	-1.955	0.453	-1.59	-1.107	-1.922	-0.623	-0.416	-0.289	-0.498
"YPR102C"	-0.086	-2.206	-3.37	-4.232	-0.983	-2.43	-1.866	-0.617	-3.521	-4.045	-6.451	-3.5055	-0.324	-0.651	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.219	-3.007	-0.231	-2.5	-1.582	-1.611	-0.354	-0.05	-0.07	-0.369
"YPR132W"	-0.156	-1.962	-1.788	-3.128	-0.835	-2.014	-1.741	-0.526	-2.849	-3.1925	-5.805	-2.5895	-0.328	-0.482	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.125	-2.027	-0.44	-2.05	-1.357	-1.286	-0.345	-0.101	0.068	-0.23
"YPR163C"	-0.096	-2.415	-3.276	-3.939	-1.566	-2.061	-1.817	-0.88	-3.6815	-2.9485	-5.4905	-2.5635	-0.622	-0.321	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.06	-3.572	-0.232	-3.015	-1.939	-2.373	-0.665	-0.543	-0.424	-0.577
