	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"
"YDR144C"	-2.14	-1.667	-1.708	-1.406	-1.518	-1.173	-1.188	-1.588	-1.414	-1.246	-1.435	-2.119	-0.407	-1.155	-0.906	-3.536	-1.378	0.031	0.069	-0.498	-0.868	-1.12	-1.499	-1.424	-0.432	-1.648	-0.867	0.063	-1.887	-3.403
"YDR165W"	-3.154	-2.85	-2.419	-2.874	-2.762	-1.9	-2.006	-1.752	-1.294	-0.968	-4.096	-5.309	-2.69	-3.015	-0.443	-3.057	-1.398	-0.277	-0.214	-0.217	-1.292	-1.455	-2.129	-1.683	-0.891	-2.787	-1.322	-0.0245	-3.068	-3.205
"YDR361C"	-2.862	-3.438	-3.115	-3.356	-3.263	-2.556	-2.149	-2.256	-1.868	-1.139	-3.61	-3.634	-2.237	-2.072	-0.458	-2.343	-1.049	-0.373	-0.522	0.118	-1.418	-1.071	-1.767	-1.519	-0.855	-3.92	-1.07	-0.313	-2.614	-3.998
"YDR395W"	-1.464	-1.879	-1.049	-1.463	-1.481	-1.2	-1.587	-1.538	-0.965	-0.875	-2.27	-2.19	-1.669	-2.39	0.029	-2.87	-0.88	-0.159	0.061	-0.442	-0.637	-0.473	-0.598	-0.618	-0.534	-1.256	-0.662	-0.914	-1.657	-0.484
"YDR398W"	-5.035	-4.358	-3.115	-4.082	-3.388	-3.183	-2.576	-1.783	-1.42	-0.783	-4.143	NaN	-2.012	-3.069	-0.962	-2.112	-1.798	-0.321	-0.468	-0.321	-1.557	-1.142	-2.147	-1.57	-0.887	-4.269	-1.321	-0.584	-4.76	-3.061
"YDR413C"	-2.496	-2.392	-1.803	-2.779	-2.502	-1.652	-1.765	-1.55	-1.258	-0.903	-2.622	-2.057	-1.357	-1.399	-0.869	-2.337	-0.755	-0.568	-0.619	-0.519	-1.552	-0.736	-1.14	-0.978	-0.414	-2.652	-1.325	-0.471	-2.964	-2.336
"YDR496C"	-5.251	-3.9025	-3.671	-4.953	-4.7405	-3.085	-3.2695	-2.809	-2.2355	-1.793	-3.1645	-4.393	-2.7355	-4.5275	1.2345	-3.995	-3.063	-0.307	-0.342	-0.857	-2.126	-2.733	-3.5775	-2.461	-2.197	-5.1875	-1.7485	-1.2005	-3.216	-1.917
"YER126C"	-3.132	-2.634	-3.488	-4.626	-4.459	-2.724	-2.571	-2.383	-1.734	-0.766	-4.455	-5.367	-2.806	-2.355	-0.301	-2.303	-2.191	0.138	-0.425	-0.524	-1.715	-1.979	-3.035	-2.036	-1.422	-5.253	-1.134	-1.3585	-5.806	-3.761
"YFR001W"	-2.565	-2.237	-2.131	-3.2	-3.268	-1.841	-1.917	-1.672	-1.472	-1.166	-1.395	-3.337	-1.712	-1.717	-0.66	-2.122	-1.23	-0.592	-0.835	-0.594	-1.352	-1.659	-2.311	-2.148	-1.004	-2.982	-1.258	-0.7395	-1.484	-2.389
"YGL029W"	-4.276	-3.685	-2.755	-4.337	-3.57	-2.956	-3.043	-2.603	-2.066	-1.539	-3.653	-2.985	-2.591	-2.881	-0.812	-2.398	-1.812	-0.608	-0.689	-1.469	-2.269	-1.638	-2.553	-1.917	-0.947	-3.874	-1.612	-0.262	-1.19	-3.548
"YGL078C"	-4.33	-3.709	-3.238	-4.399	-3.428	-2.77	-2.908	-2.465	-1.909	-1.356	-4.866	-4.455	-2.562	-2.914	-0.916	-4.196	-2.446	-0.461	-0.649	-0.663	-2.075	-2.395	-3.376	-2.165	-1.541	-4.147	-2.333	-1.377	-3.538	-3.576
"YGR128C"	-2.985	-3.042	-2.4315	-3.197	-2.749	-2.704	-2.282	-2.352	-1.509	-0.92	-3.032	-4.271	-2.83	-2.816	-0.242	-3.207	-1.961	-0.006	-0.226	-0.675	-1.796	-1.643	-2.422	-1.522	-1.405	-2.534	-1.139	-0.988	-2.714	-0.921
"YGR160W"	-6.235	-5.9475	-5.567	-6.207	-4.6575	-5.116	-3.134	-2.687	-2.046	-1.56	-4.796	NaN	-1.923	-2.892	-0.874	-4.626	-3.109	-0.295	-0.569	-1.24	-2.54	-3.117	-3.857	-2.834	-2.737	-6.3385	-2.427	-0.0355	-4.64	-4.708
"YGR234W"	-2.176	-2.892	-2.5125	-2.6275	-2.703	-0.701	-0.733	-1.427	-1.619	-1.416	-2.039	-3.847	-1.535	-1.833	-0.259	-1.598	-0.701	0.05	0.083	-0.206	-0.105	-0.872	-1.766	-2.362	-0.638	-2.5315	-0.016	0.563	-2.689	-1.486
"YGR245C"	-5.097	-5.1995	-3.9345	-4.2355	-3.9115	-2.202	-3.099	-3.022	-2.579	-1.802	-4.207	-3.799	-3.177	-3.273	-0.989	-3.164	-1.64	-0.177	-0.512	-0.654	-1.989	-1.451	-2.621	-2.539	-1.117	-4.6765	-2.058	-0.632	-4.281	-3.415
"YHL011C"	-2.744	-2.467	-2.107	-3.0145	-3.024	-1.817	-1.603	-1.5	-0.737	-0.626	-2.604	-3.592	-1.461	-2.503	-0.352	-1.801	-1.129	-0.119	-0.246	-0.163	-0.853	-1.019	-1.859	-1.437	-1.066	-3.2715	-1.067	-1.056	-2.38	-2.086
"YHR066W"	-3.7505	-3.0515	-2.9815	-3.762	-3.552	-2.046	-2.473	-2.073	-1.432	-1.036	-4.885	-5.203	-2.29	-2.974	-0.17	-2.742	-2.029	-0.449	-0.381	-0.886	-1.684	-1.659	-2.447	-1.738	-1.335	-4.347	-1.494	-0.358	-3.068	-2.382
"YHR089C"	-4.5225	-3.658	-3.523	-4.938	-4.6915	-2.977	-1.926	-2.485	-1.843	-1.389	-3.409	-4.276	-1.808	-2.292	-1.784	-4.426	-1.105	-0.559	-0.806	-0.495	-1.732	-0.986	-2.24	-2.024	-0.489	-4.9325	-1.622	-1.695	-3.579	-3.956
"YHR169W"	-3.982	-3.384	-2.497	-3.146	-2.919	-2.289	-2.447	-2.003	-1.658	-0.952	-4.241	-3.088	-1.793	-3.141	-0.845	-1.554	-2.1	-0.522	-0.608	-0.287	-1.69	-1.557	-1.985	-1.624	-1.448	-3.6155	-1.512	-0.599	-2.583	-2.087
"YHR170W"	-5.3995	-4.622	-4.14	-4.723	-3.947	-3.256	-2.518	-2.551	-1.78	-1.288	-4.51	-4.858	-2.326	-2.759	-0.802	-2.314	-1.659	-0.196	-0.204	0.012	-1.252	-1.725	-2.244	-2.093	-0.835	-5.252	-1.66	-1.999	-3.576	-3.601
"YHR196W"	-4.423	-3.5265	-2.834	-3.894	-3.3595	-2.675	-2.143	-2.207	-1.513	-1.221	-3.061	0.884	-1.847	-2.461	-0.81	-3.843	-1.275	-0.305	-0.341	-0.972	-1.62	-1.65	-2.024	-1.232	-0.885	-3.967	-1.686	-0.531	-2.272	-2.306
"YHR197W"	-3.7705	-3.414	-2.9045	-3.415	-3.1475	-2.438	-2.573	-2.318	-1.815	-1.373	-2.813	-2.808	-2.03	-2.457	-0.7615	-1.99	-1.392	-0.318	-0.444	-1.056	-1.748	-1.293	-2.109	-1.761	-0.465	-2.7335	-1.864	-1.273	-2.933	-2.625
"YJL080C"	-1.102	-1.1275	-1.1655	-1.2035	-1.63	-0.858	-0.894	-0.87	-0.614	-0.83	-2.655	-3.232	-0.489	-1.693	-0.3435	-2.248	-1.181	0.414	0.084	-0.305	-0.056	-0.807	-1.073	-1.032	-0.445	-1.479	-0.234	-0.012	-0.8405	-1.905
"YJL109C"	-2.39833333333333	-2.722	-2.64066666666667	-3.525	-3.447	-2.585	-2.0655	-1.971	-1.73	-1.1765	-2.165	-2.278	-0.8495	-1.698	-0.176	-3.828	-1.063	0.3375	0.227	0.1015	-1.036	-0.908	-1.2615	-1.151	-0.5665	-3.01866666666667	-0.7225	-0.3625	-2.8695	-2.9815
"YJL130C"	-1.699	-1.453	-1.519	-1.76266666666667	-1.628	-1.2185	-0.4615	-0.484	-0.7655	-0.5125	-0.4955	-3.013	-0.321	-0.1665	-0.297	-1.5325	-0.8195	0.207	0.4035	-0.283	-0.592	-0.4445	-0.9595	-0.945	-0.2515	-1.73966666666667	0.1575	-0.056	-1.495	0.344
"YJR002W"	-3.52066666666667	-2.819	-2.21066666666667	-2.34	-3.20666666666667	-2.205	-1.834	-1.98	-1.6755	-1.28	-2.9885	-4.416	-2.145	-2.066	-0.6565	-2.212	-1.4075	-0.502	-0.4935	-0.248	-1.455	-1.3115	-2.0865	-1.753	-0.9595	-3.31866666666667	-1.5565	-1.043	-3.252	-2.426
"YJR041C"	-3.1145	-2.365	-1.6395	-2.2375	-2.9255	-2.113	-2.186	-1.824	-1.241	-1.201	-3.864	-4.286	-1.797	-1.873	-0.582	-2.769	-1.725	-0.079	-0.192	-0.605	-1.057	-1.386	-1.754	-1.639	-0.664	-2.673	-0.591	-0.598	-2.796	-3.443
"YKL009W"	-1.833	-3.58	-3.253	-4.1895	-4.13	-2.745	-2.089	-1.69	-1.644	-0.979	-5.997	-6.168	-3.014	-3.144	-0.705	-4.341	-1.886	-0.491	-0.452	-0.236	-2.044	-2.265	-2.841	-2.079	-1.492	-4.4285	-1.548	-1.597	-4.247	-4.823
"YKL021C"	-2.41	-1.988	-1.5375	-1.979	-2.0995	-1.487	-1.283	-1.171	-1.16	-1.018	-2.005	-3.469	-1.084	-1.026	-0.546	-2.158	-0.856	-0.293	-0.73	-0.079	-0.968	-0.93	-0.834	-0.93	-0.686	-2.5805	-0.821	0.8	-2.504	-2.274
"YKL099C"	-4.464	-3.88	-2.796	-3.564	-3.037	-3.158	-2.672	-2.33	-1.846	-1.081	-4.145	-3.312	-2.489	-2.585	-0.3	-3.26	-1.766	-0.632	-0.726	-0.563	-1.84	-2.002	-2.597	-2.271	-1.408	-3.926	-1.454	-1.419	NaN	-3.486
"YKL182W"	-1.693	-1.71	-1.778	-1.964	-1.663	-0.82	-0.431	-0.7085	-0.4555	-0.4885	-0.5625	-1.755	-1.07	-1.164	0.341	-1.9895	-0.8205	0.4055	0.4255	0.069	-0.1325	-0.631	-0.539	-0.75	0.027	-2.262	0.02	-0.0105	-1.374	-1.065
"YKR056W"	-4.01	-3.872	-2.945	-3.217	-3.127	-2.566	-2.718	-2.101	-1.554	-1.038	-4.495	-4.34	-2.352	-2.379	-0.459	-1.986	-2.462	-0.336	-0.18	-0.495	-1.875	-1.933	-2.896	-1.713	-1.662	-3.682	-1.644	-0.834	-2.586	-3.056
"YKR092C"	-2.199	-2.646	-2.78	-3.432	-2.595	-2.278	-1.995	-1.874	-1.308	-1.139	-3.321	-2.54	-2.673	-2.076	-0.643	-1.592	-1.571	-0.015	-0.134	-1.106	-1.663	-1.197	-1.588	-1.169	-0.867	-2.835	-1.618	-1.808	-2.794	-3.872
"YLL008W"	-4.973	-4.981	-3.751	-4.808	-4.019	-3.12	-3.718	-3.309	-2.293	-1.589	-5.659	-6.113	-3.126	-2.364	-0.582	-3.473	-1.385	0.175	-0.175	-0.626	-1.889	-1.558	-2.724	-1.847	-1.295	-4.642	NaN	-1.778	-4.08	-3.042
"YLR002C"	-4.273	-3.029	-2.585	-3.425	-2.737	-2.86	-2.267	-2.081	-1.647	-1.397	-3.541	-4.959	-1.928	-2.611	-0.587	-2.747	-1.581	-0.236	-0.405	-0.561	-1.598	-1.458	-2.016	-1.608	-1.005	-4.018	-1.174	-0.637	-2.317	-2.422
"YLR009W"	-4.735	-4.564	-2.897	-4.204	-3.864	-3.541	-2.25	-2.132	-1.593	-0.994	-4.675	-5.388	-2.78	-2.737	-0.137	-3.455	-2.459	0.278	-0.225	-0.605	-2.103	-2.563	-2.802	-2.013	-2.197	-4.344	-1.199	-0.777	-3.436	-3.361
"YLR196W"	-5.425	-5.04	-3.221	-4.896	-4.532	-3.946	-2.562	-2.364	-1.459	-1.106	-5.083	-5.836	-2.118	-2.858	-0.905	-4.378	-2.107	-0.356	-0.428	-0.278	-1.974	-1.656	-2.793	-1.956	-1.326	-5.097	-1.689	-1.113	-3.697	-3.658
"YLR276C"	-4.199	-3.855	-3.331	-3.732	-4.143	-3.073	-2.616	-1.884	-1.687	-1.31	-4.467	-5.399	-2.381	-2.386	-0.378	-3.49	-2.129	-0.348	-0.409	-0.596	-1.579	-1.864	-2.531	-1.558	-1.558	-2.51	-1.305	-1.044	-4.014	-3.838
"YLR342W"	-1.145	-1.39	-0.654	-1.276	-1.603	-1.217	-0.694	-0.632	-0.263	-0.33	-1.693	-2.686	-1.121	-1.462	-0.12	-1.594	-1.333	0.223	0.053	-0.218	-0.32	-0.376	-1.618	-1.415	-0.251	-1.514	-0.205	0.187	-0.497	-1.2085
"YML022W"	-1.818	-2.392	-2.188	-2.749	-2.982	-1.288	-1.089	-1.184	-0.988	-0.76	-3.236	-3.98	-2.206	-3.223	-0.493	-2.802	-1.389	-0.288	-0.643	-0.412	-0.938	-1.624	-1.859	-1.739	-1.156	-2.765	-0.443	-1.112	-2.245	-2.661
"YML093W"	-4.507	-2.615	-2.741	-3.357	-3.472	-2.92	-2.686	-2.477	-1.732	-1.528	-4.947	-5.889	-2.751	-2.797	-0.721	-3.309	-2.001	-0.477	-0.548	-0.681	-1.376	-1.621	-2.468	-1.633	-1.272	-3.703	-2.111	-0.683	-7.708	-4.548
"YML106W"	-1.813	-1.983	-1.799	-2.025	-1.971	-1.217	-0.632	-0.917	-0.651	-0.444	-1.425	-3.649	-1.226	-1.636	-0.368	-1.366	-0.91	-0.172	-0.105	0.052	-0.698	-1.074	-1.794	-1.616	-0.831	-2.304	-0.59	0.553	-1.93	-1.776
"YML131W"	1.256	0.744	1.533	2.116	1.871	1.305	3.926	3.755	2.906	3.309	2.58	0.75	1.299	2.523	2.305	1.761	3.315	3.351	2.289	2.418	4.637	2.759	3.557	3.515	2.751	2.199	4.949	0.638	2.26	2.396
"YMR006C"	-2.222	-2.402	-2.268	-2.539	-2.059	-1.493	-0.88	-0.826	-0.644	-0.537	-1.865	-3.323	-1.396	-1.491	-0.507	-2.057	-1.544	-0.865	-0.02	-1.264	-1.364	-1.231	-1.763	-1.855	-0.97	NaN	-0.904	-0.554	-1.091	-1.47
"YMR131C"	-4.819	-4.183	-3.849	-4.525	-4.347	-3.041	-2.255	-2.188	-1.713	-1.034	-5.631	-6.665	-3.153	-3.547	-0.664	-4.277	-2.232	-0.261	-0.558	-0.375	-1.767	-2.0	-3.012	-2.205	-1.855	-4.674	-1.264	-1.451	-3.866	-4.181
"YNL002C"	-4.666	-4.07	-3.305	-4.559	-4.222	-3.653	-2.627	-2.564	-1.766	-1.16	-5.196	-3.468	-2.839	-3.072	-0.558	-3.426	-1.603	-0.42	-0.409	-0.693	-2.134	-1.398	-2.774	-1.803	-1.355	-4.603	-1.47	-0.388	-3.481	-4.466
"YNL060C"	-2.662	-3.546	-2.78	-3.921	-3.668	-2.01	-2.747	-2.318	-1.793	-1.252	-5.032	-3.243	-2.061	-2.119	-0.436	-2.933	-2.139	-0.257	-0.332	-0.568	-1.445	-1.813	-2.555	-1.449	-1.755	-4.389	-1.416	-0.577	-3.38	-3.208
"YNL061W"	-4.928	-3.927	-4.143	-4.404	-3.948	-2.724	-2.673	-2.373	-1.799	-1.163	-4.329	-4.27	-2.724	-2.519	-0.465	-3.268	-2.327	-0.184	-0.154	-0.273	-1.115	-1.7	-2.599	-1.44	-1.586	-5.38	-1.399	-0.646	-3.925	-2.571
"YNL110C"	-4.43	-3.64	-3.768	-4.56	-4.991	-3.311	-2.66	-2.463	-1.926	-1.517	-5.108	-3.296	-1.641	-2.565	-0.979	-4.151	-2.56	-0.62	-0.958	-0.977	-2.112	-2.395	-3.662	-2.623	-2.07	-5.064	-1.785	-0.732	-4.907	-4.747
"YNL132W"	-4.679	-5.146	-3.658	-3.329	-4.954	-4.644	-2.754	-3.143	-2.262	-1.825	-5.826	-6.392	-3.883	-3.285	-0.612	-4.353	-2.275	-0.062	-0.148	-0.705	-2.055	-1.546	-2.468	-2.114	-1.26	-3.45	-1.575	-0.256	-4.311	-3.989
"YNL151C"	-2.707	-2.055	-2.682	-2.835	-2.667	-1.586	-1.236	-1.273	-1.04	-0.737	-1.688	-2.706	-1.45	-1.523	-0.549	-1.317	-1.333	-0.306	-0.413	-0.153	-0.592	-1.069	-1.545	-0.912	-0.942	-3.201	-0.901	-0.939	-2.152	-3.425
"YNL174W"	-5.157	-4.699	-4.233	-5.579	-4.714	-3.024	-2.857	-2.718	-2.427	-1.752	-5.141	-4.409	-3.149	-2.319	-0.929	-4.372	-0.842	-0.575	-0.606	-0.84	-2.264	-0.751	-2.4	-2.57	-0.803	-5.426	-1.724	0.053	-3.76	-3.816
"YNL182C"	-6.33	-4.05	-2.807	-4.805	-3.807	-2.573	-2.522	-2.311	-1.849	-1.146	-4.184	-2.532	-2.39	-2.667	-0.516	-3.931	-2.435	-0.42	-0.341	-0.859	-2.27	-1.884	-2.324	-1.727	-1.795	-4.61	-1.428	-0.642	-3.082	-3.607
"YNL247W"	-1.853	-1.793	-2.202	-1.358	-2.268	-1.048	-0.896	-1.095	-0.744	-0.809	-2.799	-4.64	-1.475	-2.34	-0.107	-2.936	-0.717	0.171	0.33	0.103	-0.151	-0.146	-1.241	-1.002	-0.223	-2.788	-0.178	0.257	-2.607	-2.994
"YNL248C"	-4.791	-4.315	-3.398	-4.455	-4.373	-3.395	-2.425	-2.173	-1.533	-0.87	-5.716	-5.215	-3.618	-3.866	-0.427	-5.072	-2.721	-0.217	-0.378	-0.549	-1.852	-2.371	-2.958	-1.972	-1.687	-4.868	-1.518	-0.201	NaN	-6.193
"YNL313C"	-3.472	-3.026	-2.399	-2.935	-3.02	-1.887	-2.31	-1.97	-1.468	-1.03	-4.999	-5.714	-2.852	-3.129	-0.479	-2.839	-1.862	-0.207	-0.249	-0.426	-1.094	-1.282	-1.939	-1.572	-0.925	-3.009	-0.755	-0.123	-2.824	-3.85
"YNR053C"	-5.074	-4.159	-3.104	-3.74	-3.215	-3.706	-2.944	-2.392	-2.167	-1.291	-3.029	-3.447	-1.2595	-1.445	-0.682	-1.032	-2.603	-0.211	-0.076	-1.133	-1.474	-2.286	-3.205	-1.883	-1.627	-4.11	-1.245	-0.627	-3.937	-4.56
"YOL077C"	-5.439	-5.04	-4.336	-5.22	-4.28	-1.4925	-2.83	-2.938	-2.428	-1.471	-5.186	-6.552	-2.1355	-4.174	-1.18	-3.705	-2.206	-0.583	-0.69	-0.499	-0.671	-2.121	-3.287	-2.054	-2.035	-4.7	-1.717	-1.214	-4.969	-5.145
"YOL150C"	1.247	0.794	2.402	2.034	2.11	1.485	3.71	2.945	2.639	2.954	0.4305	-1.8365	0.486	-0.293	2.581	0.876	4.365	4.048	1.575	1.96	4.802	3.292	4.208	4.324	2.898	2.19	4.51	1.41	1.943	1.266
"YOL151W"	1.468	0.809	2.416	2.102	2.366	1.2685	3.8	3.096	3.357	3.008	0.455	-3.604	1.118	-0.288	2.672	1.029	4.096	4.335	1.758	1.868	4.733	2.871	4.044	4.365	2.993	2.322	4.864	2.484	2.484	2.082
"YOR146W"	-3.231	-2.681	-3.597	-3.42	-3.036	-2.036	-2.093	-1.987	-1.521	-0.97	-3.402	-3.7465	-2.384	-2.648	-0.299	-0.296	-2.119	-0.301	-0.259	-0.279	-1.474	-1.605	-2.933	-1.348	-1.656	-4.259	-1.504	-0.194	-2.594	-2.731
"YOR169C"	-1.075	-1.116	-1.489	-2.107	-2.074	-1.2645	-0.814	-0.957	-0.674	-0.602	-1.8345	-3.934	-1.664	-2.193	-0.076	-2.535	-0.329	-0.261	-0.253	-0.541	-0.732	-0.694	-0.912	-0.588	-0.298	-1.66	-0.428	0.702	-1.334	-1.177
"YOR206W"	-5.087	-3.702	-3.585	-5.083	-4.513	-3.849	-2.894	-2.77	-1.859	-1.39	-5.827	-6.4785	-2.919	-3.1625	-0.799	-3.888	-2.465	-0.421	-0.344	-0.889	-2.025	-2.438	-3.65	-2.191	-1.944	-5.066	-1.705	-1.236	-3.839	-4.817
"YOR294W"	-4.574	-3.828	-3.73	-4.407	-3.632	-3.3475	-2.434	-2.234	-1.598	-1.099	-5.6475	-5.2465	-2.791	-3.318	-1.22	-1.284	-3.115	-0.582	-0.705	-0.773	-1.843	-3.09	-3.461	-1.971	-2.747	-4.852	-1.542	-1.823	-4.841	-5.145
"YPL043W"	-4.246	-4.0	-3.773	-4.198	-4.087	-3.299	-2.529	-2.671	-2.001	-1.51	-4.668	-3.79	-3.242	-3.157	-0.628	-3.89	-2.31	-0.039	-0.324	-0.62	-1.728	-2.339	-2.772	-2.128	-1.506	-4.555	-1.133	0.327	-3.988	-4.308
"YPL044C"	-4.106	-2.774	-3.653	-4.783	-4.009	-2.5765	-2.49	-1.67	-1.658	-1.684	-4.1695	-4.2355	-2.6845	-3.256	-0.64	-3.164	-2.488	-0.17	0.037	-0.566	-1.6	-2.268	-2.683	-1.927	-1.517	-4.807	-1.739	0.365	-2.213	-2.954
"YPR010C"	-3.225	-2.887	-3.0415	-3.3095	-3.049	-2.113	-1.94733333333333	-2.196	-1.75433333333333	-1.29866666666667	-2.19933333333333	-3.425	-1.76166666666667	-1.99066666666667	-0.178	-1.991	-1.604	0.392	0.021	-0.417	-0.785	-1.0915	-1.1495	-1.4615	-0.821	-3.0355	-0.8355	-0.502	-3.6845	-3.761
"YPR110C"	-3.178	-3.084	-2.507	-3.52	-3.728	-2.207	-1.572	-2.073	-1.383	-1.0145	-5.7185	-6.318	-2.6255	-3.01	-0.548	-3.88	-1.308	0.05	-0.27	-0.567	-1.375	-1.719	-2.308	-1.703	-1.435	-3.168	-1.271	-1.087	-3.436	-3.882
"YPR144C"	-4.441	-4.211	-2.783	-3.783	-3.366	-2.613	-2.554	-1.9485	-1.342	-0.8905	-3.855	-4.2065	-2.4285	-2.0425	-0.116	-2.256	-1.173	-0.344	-0.193	-0.636	-1.575	-0.532	-1.376	-0.956	-0.697	-4.107	-1.48	0.305	-3.213	-3.937
