	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"33776.DBY8778(wt)_stationary_phase_1day"
"YMR235C"	-3.534	-5.187	-1.879	-2.838	-3.21	-3.756	-1.305
"YNL064C"	-1.228	-3.31	-1.788	-1.535	-2.661	-2.805	-0.159
"YNL085W"	-2.342	-5.369	-1.365	-2.001	-2.706	-3.291	-1.039
"YNL189W"	-2.367	-4.06	-1.183	-2.058	-2.641	-3.084	-0.452
"YNL255C"	-2.208	-5.229	-1.604	-1.3	-2.442	-2.225	-0.798
"YNL297C"	-1.872	-3.457	0.1	-1.545	-2.132	-2.222	0.121
"YNR035C"	-0.9935	-2.4005	-0.406	-1.439	-1.077	-2.026	-0.478
"YNR043W"	-2.934	-5.1565	-1.949	-2.655	-3.803	-3.856	-0.593
"YOL139C"	-2.31	-5.5	-1.518	-1.487	-1.966	-2.188	-0.686
"YOR007C"	-0.729	-3.123	-0.435	-1.016	-2.096	-2.568	-0.1515
"YOR157C"	-1.899	-4.5095	-1.5025	-1.14	-2.012	-1.966	-0.85
"YOR163W"	-1.226	-3.0605	-0.269	-0.809	-1.31	-1.484	-0.462
"YOR168W"	-1.984	-4.808	-1.8785	-2.348	-2.353	-2.604	-1.533
"YOR206W"	-3.681	-6.4785	-2.2495	-3.151	-3.692	-3.694	-1.324
"YOR236W"	-2.4345	-3.971	-1.0385	-1.568	-2.695	-2.322	-0.454
"YOR239W"	-3.232	-5.0985	-1.633	-3.149	-3.934	-3.704	-0.884
"YOR254C"	-2.192	-6.426	-2.018	-2.354	-2.689	-2.309	-1.27
"YOR295W"	-1.455	-2.262	-0.4645	-0.685	-1.054	-1.312	-0.185
"YOR305W"	-1.6535	-2.672	-1.1315	-1.227	-1.264	-1.883	-0.341
"YOR320C"	-1.2535	-3.6785	-1.051	-1.291	-1.454	-1.828	-0.619
"YOR323C"	-4.2845	-6.434	-2.106	-2.742	-3.497	-3.428	-1.94
"YPL037C"	-3.9955	-5.417	-2.148	-2.115	-3.222	-3.654	-1.219
"YPL053C"	-1.561	-4.4065	-1.1555	-0.891	-1.562	-2.032	0.125
"YPL091W"	-1.9175	-3.471	-0.895	-1.614	-1.738	-2.295	-0.443
"YPL106C"	-2.219	-4.546	-1.2915	-3.281	-3.825	-4.33	0.422
"YPL240C"	-0.4075	-3.749	0.0855	-1.788	-2.471	-2.867	0.757
"YPL243W"	-4.1455	-5.276	-1.315	-2.602	-3.541	-3.544	-1.1
"YPL263C"	-1.689	-4.9735	-1.281	-1.742	-2.0455	-1.8115	-0.944
"YPR033C"	-4.8805	-7.94	-2.759	-3.951	-4.382	-4.54	-1.22
"YPR107C"	-1.3245	-3.49	0.251	-0.524	-1.0	-1.585	-0.343
"YPR108W"	-2.0125	-4.645	-1.428	-2.383	-3.07	-2.669	-0.349
"YPR129W"	-1.8015	-6.025	-1.057	-1.298	-2.61	-2.139	-0.047
"YPR142C"	-1.555	-3.138	-0.927	-0.85	-1.681	-1.456	0.278
"YPR169W"	-1.3815	-3.2805	-0.627	-1.098	-1.492	-1.764	-0.822
"YPR173C"	-1.224	-3.6935	-0.9365	-0.973	-1.241	-1.431	-0.832
