	"497.Heat Shock 000 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1313.diauxic shift timecourse: 20.5 hr"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7538.25C -- 60 min"	"8204.steady state 29 dec C"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"14946.Hydrostatic pressure (C2 vs P2)"	"16338.DES460 vs. DES460 YPD log phase control"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30773.Pomona/Brown Sir3x red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34362.batch 02X25 5"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YGL202W"	0.531	-0.622	-0.58	0.178	0.573	0.211	-0.368	-0.928	-0.343	-1.935	-3.334	-4.405	-1.664	-1.938	-2.233	-1.883	-1.756	-1.963	-2.379	-2.119	-2.237	-2.614	-0.215	-0.384	-0.369	0.433	-0.053	0.275	0.182	-0.072	0.612	0.099	0.704	0.388	0.259	-2.572	-0.13	-2.573	-2.639	-3.066	-3.457	0.641	-0.073	0.33	0.223	-1.089	-1.161	-1.369	-1.115	-2.201	-2.075	-2.072	-1.598	-1.279	-0.664	-0.754	0.002	-0.778	-1.935	-2.673	-2.285	-2.396	-2.904	-1.212
"YGR124W"	0.585	-0.209	-0.418	0.296	0.589	0.593	-0.499	-2.537	-1.595	-2.741	-2.597	-4.207	-1.704	-1.377	-1.518	-0.014	-2.554	-2.324	-2.426	-2.945	-3.169	-3.758	-0.102	-1.3	-0.102	-0.188	-0.13	0.082	-0.296	0.357	0.4	0.248	1.117	0.297	0.019	-2.916	-0.64	-2.723	-2.126	-1.788	-1.923	1.032	-0.268	0.014	0.3015	NaN	-0.78	-2.043	-1.667	-1.871	-2.389	-2.742	-2.935	-2.662	-1.764	-1.881	0.348	-1.261	-1.839	-1.971	-2.476	-2.581	-2.906	-1.634
"YGR264C"	1.02	-0.297	-0.578	0.044	0.85	0.737	-0.841	-3.787	-2.696	-2.945	-5.206	-4.616	-3.505	-3.321	-2.811	-3.49	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	-0.072	-1.778	-0.314	-0.079	-1.112	-0.128	-0.151	-0.026	-0.231	0.162	0.197	0.295	0.535	-2.468	0.159	-2.246	-2.287	-2.376	-2.353	1.038	0.147	-0.219	0.669	-2.725	-1.776	-2.271	-1.973	-2.386	-2.307	-3.556	-2.673	-3.082	-1.962	-2.066	0.276	-1.773	-3.483	-1.585	-2.247	-2.771	-2.462	-2.253
"YHR068W"	0.968	0.249	0.266	0.214	0.941	0.818	-0.554	-3.316	-2.566	-3.015	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.125	-0.65	0.017	0.241	-0.397	0.042	-0.023	-0.0565	-0.207	0.144	0.787	0.036	0.047	-2.29	0.019	-2.522	-2.438	-2.761	-2.475	1.07	0.153	-0.274	0.103	-1.743	-2.321	-2.248	-2.194	-1.888	-2.769	-2.437	-2.467	-2.362	-1.8	-1.861	0.538	-2.469	-0.929	-1.514	-1.571	-1.255	-1.08	-1.082
"YHR216W"	1.01	0.087	-0.709	0.405	0.917	0.816	-0.463	-2.62	-2.056	-1.128	-3.15	-4.943	-1.762	-2.914	-3.038	-2.589	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	-0.039	-1.848	-0.336	0.163	-0.198	0.019	-0.214	0.1095	-0.324	0.395	0.453	0.236	-0.095	-1.783	-0.233	-3.09	-3.113	-3.341	-3.378	0.288	-0.221	0.3	0.132	-3.653	-2.039	-2.543	-3.131	-3.177	-2.914	-2.109	-3.074	-2.823	-2.765	-2.773	-0.059	-3.04	-2.437	-2.108	-2.493	-2.056	-2.291	-3.107
"YIL078W"	0.897	0.617	0.257	0.067	0.771	0.648	-0.856	-2.907	-2.075	-2.498	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.181	-0.856	-0.295	0.141	-0.506	0.061	0.013	0.1345	0.015	0.156	0.605	0.104	0.108	-2.348	-0.295	-2.573	-2.57	-2.6	-2.341	1.008	0.158	0.343	0.351	-1.711	-2.545	-2.032	-1.748	-2.175	-2.266	-3.116	-1.937	-2.548	-1.189	-1.453	-0.2	-1.391	-2.019	-1.449	-1.625	-1.291	-2.866	-1.579
"YIL123W"	0.539	-0.177	-0.349	0.08	0.603	0.478	-0.519	-1.594	-0.976	-1.849	-1.416	-4.259	-1.673	-1.466	-2.173	-1.194	-0.806	-1.101	-1.299	-0.845	-1.447	-1.361	0.287	-0.17	-0.157	0.136	0.116	-0.056	-0.04	0.131	-0.228	0.086	0.652	0.187	0.15	-2.79	-0.174	-1.05	-1.213	-0.945	-1.476	0.719	-0.532	0.144	0.335	-2.181	-0.971	-2.64	-2.684	-2.381	-2.865	-1.368	-1.707	-1.014	-0.656	-1.009	0.485	-0.446	-2.468	-3.0	-3.072	-3.091	-3.697	-1.396
"YJL138C"	1.168	0.291	-0.631	0.497	1.287	0.865	-0.722	-2.487	-1.169	-1.195	-3.125	-5.625	-1.273	-2.285	-1.674	-1.959	-2.086	-1.763	-2.049	-2.542	-2.785	-3.522	0.027	-1.528	-0.462	0.058	-0.662	0.176	0.097	0.136	-0.09	0.286	1.077	0.505	0.327	-1.828	-0.552	-1.973	-1.925	-2.479	-1.961	1.016	0.131	0.213	0.344	-1.169	-1.28	-1.587	-0.79	-1.757	-2.141	-2.208	-1.737	-1.373	-1.584	-1.676	0.446	-1.607	-1.961	-2.763	-2.609	-3.469	-3.202	-2.483
"YJL158C"	0.4645	0.2165	-0.512	0.1415	0.569	0.456	-0.3905	-1.837	-0.961	-3.1025	-3.8195	-4.974	-1.52	-1.7025	-3.333	-3.0365	-1.6075	-0.8645	-1.9735	-1.8885	-2.2685	-1.03	0.048	-1.134	-0.139	0.654	-0.4055	0.4	0.194	0.283	0.015	0.118	0.8805	0.0955	-0.069	-2.763	-0.438	-2.2205	-2.379	-2.176	-3.08	0.549	-0.649	0.2665	0.119	-2.054	-2.265	-3.156	-3.301	-3.482	-3.58	-2.703	-1.893	-2.168	-0.862	-2.308	-0.397	-1.158	-2.002	-2.634	-2.852	-2.153	-3.769	-0.951
"YJR007W"	1.053	0.338	-0.117	0.083	0.742	-0.487	-0.366	-2.169	-1.704	-1.68	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	-1.755	-1.848	-2.051	-2.909	-3.009	-3.616	0.096	-1.17	-0.256	-0.054	-1.082	0.074	-0.148	0.099	-0.118	-0.088	0.848	0.375	-0.113	-1.685	-0.292	-1.412	-1.481	-1.506	-1.159	0.324	0.06	-0.056	-0.02	-1.447	-0.887	-1.579	-1.632	-1.218	-1.162	-2.064	-2.16	-1.44	-1.636	-1.386	-0.322	-0.692	-1.558	-1.128	-1.125	-0.966	-1.579	-0.768
"YJR143C"	0.597	-0.5	-0.776	0.007	0.657	0.447	-0.288	-1.748	-1.012	-1.487	-4.675	-5.523	-2.151	-2.716	-2.573	-3.031	-1.799	-1.986	-2.118	-3.335	-3.698	-3.382	0.213	-0.838	-0.252	0.239	-0.419	-0.167	-0.023	0.2165	0.063	-0.023	0.129	0.197	0.612	-1.896	0.003	-2.672	-2.162	-2.24	-2.832	0.644	0.144	0.194	0.162	-2.687	-4.657	-3.541	-1.68	-3.293	-3.862	-1.722	-1.351	-1.52	-1.322	-2.698	0.476	-0.677	-2.099	-2.036	-2.548	-2.735	-3.131	-1.379
"YKL081W"	1.515	0.57	0.642	0.223	1.025	0.724	-1.265	-3.858	-3.184	-2.542	-4.49	-5.155	-3.28	-3.157	-3.837	-3.37	-3.635	-3.222	-3.654	-2.997	-2.811	-3.497	-0.326	-2.013	-0.573	-0.042	-0.543	0.033	0.223	0.1445	-0.122	0.404	1.65	0.424	-0.02	-2.502	-0.718	-3.391	-3.581	-3.709	-3.833	0.745	-0.501	-0.047	0.208	-1.899	-2.447	-2.081	-2.459	-2.252	-1.484	-3.076	-3.449	-3.054	-2.989	-3.704	0.217	-1.84	-3.996	-2.135	-2.065	-2.093	-2.305	-2.01
"YKL212W"	0.473	-0.381	-0.397	0.18	0.381	0.092	-0.109	-1.431	-1.053	-1.247	-3.014	-4.806	-1.409	-1.065	-1.651	-1.64	-1.923	-1.656	-1.598	-2.516	-2.929	-3.374	0.18	-0.7	-0.416	-0.068	0.131	0.113	-0.203	-0.31	-0.279	0.188	-0.111	0.379	0.269	-1.089	-0.035	-1.816	-1.943	-2.101	-2.073	0.471	-0.145	-0.057	0.215	-2.456	-1.815	-2.39	-2.691	-2.996	-2.506	-1.052	-1.607	-1.481	-1.072	-1.839	0.597	-0.636	-0.475	-1.547	-1.262	-1.911	-1.421	-1.687
"YKR042W"	0.712	0.263	-0.114	0.062	0.48	0.26	-0.475	-1.62	-1.05	-2.313	-1.538	-3.497	-1.246	-1.983	-1.645	-1.869	-2.098	-1.735	-1.634	-1.958	-2.729	-2.548	-0.471	-0.232	-0.367	-0.175	-0.382	-0.04	0.104	NaN	-0.123	0.154	1.041	0.238	-0.32	-2.232	-0.112	-2.246	-2.442	-2.435	-2.894	0.983	-0.166	0.296	0.173	-2.828	-3.142	-3.077	-2.388	-3.059	-3.233	-0.718	-0.857	-0.227	-0.419	-1.038	0.494	-0.197	-2.303	-2.47	-2.058	-2.134	-1.4	-1.977
"YKR059W"	1.161	0.451	-0.01	0.206	1.252	0.993	-0.695	-2.144	-1.383	-1.543	-2.817	-4.998	-2.593	-2.103	-2.531	-2.238	-2.018	-1.844	-2.106	-2.623	-2.96	-3.568	-0.106	-1.914	-0.264	0.062	-0.52	0.223	0.257	-0.226	-0.115	0.184	0.953	0.498	0.418	-1.996	-0.533	-1.627	-1.854	-2.344	-1.696	0.893	0.272	-0.354	0.219	-2.639	-1.55	-1.993	-2.239	-2.057	-2.358	-2.448	-2.0	-1.849	-1.284	-2.698	0.373	-1.514	-2.97	-1.908	-2.161	-2.465	-2.469	-2.297
"YLR060W"	0.836	0.228	-0.256	-0.153	0.614	0.566	-0.643	-3.165	-2.617	-2.499	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	0.095	-1.817	-0.728	-0.212	-0.295	0.233	-0.153	0.076	0.082	0.04	0.109	0.303	0.194	-2.464	-0.613	-1.72	-1.77	-1.452	-2.018	0.764	-0.194	0.393	0.239	-3.176	-3.593	-3.552	-3.204	-4.441	-3.498	-2.734	-2.666	-2.996	-2.646	-3.346	0.075	-1.591	-3.341	-2.049	-1.932	-1.31	-1.459	-2.153
"YLR314C"	0.109	0.647	-0.017	-0.03	0.098	-0.084	-0.392	-0.76	-0.873	-1.783	-2.218	-5.585	-0.307	-0.846	-1.368	-1.023	-2.781	-2.505	-2.761	-2.906	-3.447	-3.937	0.095	-0.851	-0.654	-0.075	-0.016	-0.136	0.07	0.203	0.158	-0.326	0.571	0.323	0.353	-1.17	0.44	-2.48	-2.682	-2.101	-3.019	0.458	-0.29	-0.301	0.008	-2.225	-1.741	-2.506	-1.875	-2.295	-1.721	-1.633	-1.957	-1.746	-1.03	-1.259	-0.23	-0.372	-0.71	-0.524	-0.622	-0.515	-1.262	-0.668
"YLR372W"	0.939	0.677	0.73	0.25	1.022	0.965	-1.325	-4.565	-3.104	-2.818	-2.731	-4.512	-3.069	-2.683	-2.643	2.656	-4.078	-2.838	-3.773	-2.844	-3.456	-3.544	0.169	-1.677	-0.348	-0.081	-0.651	-0.08	-0.997	-0.066	-0.292	-0.498	0.682	0.189	-0.105	-2.188	-0.062	-2.936	-3.227	-3.423	-3.184	0.676	-0.016	0.258	0.133	-1.486	-3.36	-2.724	-2.645	-2.943	-3.321	-3.386	-2.674	-3.603	-2.623	-3.925	0.644	-2.233	-4.791	-3.571	-3.791	-3.13	-3.907	-3.184
"YML124C"	0.225	-0.07	-0.373	0.067	0.203	0.209	-0.437	2.147	-1.328	-2.318	-3.412	-4.107	-1.608	-1.596	-2.277	-1.951	-0.028	-1.625	-0.926	-1.685	-2.001	-2.075	-0.081	NaN	-0.34	-0.13	0.336	0.244	0.133	-0.146	-0.223	0.12	0.259	0.295	0.194	-1.572	0.223	-1.541	-0.942	-1.329	-1.454	0.812	-0.092	0.362	0.174	-2.28	-2.662	-2.598	-2.145	-3.743	-2.394	-1.007	-1.813	-1.385	-0.91	-1.554	-0.203	-1.044	-1.778	-1.082	-1.164	-0.916	-0.847	-1.101
"YMR033W"	0.485	0.044	-0.304	0.058	0.431	0.628	-0.27	-0.915	-1.816	-1.434	-3.063	-4.454	-1.114	-1.054	-1.514	-1.984	-1.647	-1.244	-1.469	-1.745	-1.826	-1.988	0.404	NaN	-0.276	-0.266	-0.64	-0.134	-0.174	0.071	-0.014	-0.276	-0.343	-0.048	-0.171	-1.013	-0.159	-0.924	-0.77	-0.709	-0.418	-0.001	0.0	-0.126	0.141	-1.978	-1.526	-2.382	-1.889	-2.536	-2.226	-1.219	-1.833	-1.453	-1.284	-1.188	-0.216	-0.901	-1.268	-1.367	-1.608	-1.615	-1.313	-1.04
"YMR215W"	0.545	-0.31	-0.492	-0.145	0.507	0.35	-2.084	-0.683	-1.425	-3.881	-3.705	-4.406	-1.896	-1.984	-2.601	-3.639	-1.783	-2.081	-3.365	-2.939	-2.956	-3.467	0.237	-0.654	-0.763	0.391	-0.77	0.057	-0.102	0.067	-0.152	-0.215	-0.484	0.187	0.313	-2.702	-0.076	-2.906	-2.833	-3.107	-2.889	0.702	0.341	-0.103	0.169	-2.536	-2.977	-2.51	-2.217	-2.297	-2.632	-2.516	-2.595	-2.789	-1.7	-3.226	-0.064	-0.806	-3.776	-2.586	-2.739	-2.197	-2.507	-2.017
"YMR305C"	1.061	-0.327	-0.541	0.224	0.958	0.852	-0.559	-3.802	-1.387	-1.962	-2.654	-4.237	-2.097	-2.213	-2.926	-3.562	-1.774	-1.607	-2.906	-1.996	-3.198	-3.355	0.365	-1.276	-0.059	0.336	-0.394	-0.039	-0.346	0.136	-0.306	0.0	0.959	-0.005	-0.323	-2.024	-0.92	-2.446	-2.501	-2.828	-3.591	1.197	-0.045	-0.257	0.373	-4.075	-4.224	-4.273	-3.547	-4.129	-4.786	-3.465	-1.982	-2.134	-1.791	-3.103	0.528	-1.147	-2.909	-3.949	-3.745	-2.987	-3.223	-2.007
"YMR307W"	0.693	0.153	-0.045	-0.051	0.655	0.605	-0.851	-2.669	-1.341	-3.74	-5.132	-5.877	-2.484	-2.482	-3.284	-3.878	-3.55	-2.493	-3.39	-4.432	-5.016	-4.56	0.177	-0.911	-0.404	0.827	-0.879	0.091	-0.702	0.095	-0.348	-0.005	0.281	0.52	0.403	-3.1665	-0.67	-3.414	-3.754	-3.788	-4.475	0.583	-0.079	-0.142	0.506	-3.757	-3.663	-3.702	-3.808	-3.826	-4.145	-4.574	-3.18	-2.995	-1.549	-2.736	0.083	-1.776	-4.115	-4.513	-4.259	-2.398	-3.634	-2.506
"YMR309C"	1.103	0.985	0.896	0.016	1.08	1.097	-0.357	-3.127	-2.334	-1.855	-3.731	-3.516	-2.787	-2.363	-1.881	-2.64	-3.374	-1.926	-2.303	-3.144	-3.173	-3.384	0.048	-1.273	-0.562	-0.046	-1.006	-0.291	-0.835	-0.047	-0.616	-0.145	-0.079	0.075	0.222	-1.607	-0.438	-2.067	-1.828	-1.969	-1.831	0.748	0.001	-0.425	0.3095	-2.368	-1.718	-1.779	-2.664	-3.686	-1.868	-3.723	-3.06	-2.122	-2.245	-2.356	-0.541	-1.564	-1.892	-2.148	-1.946	-1.717	-1.728	-2.292
