	"52.Elutriation2:Sample2:Time1.5hrs"	"53.Elutriation2:Sample2:Time2.0hrs"	"800.Heat Shock 015 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"865.Amino acid + adenine starvation 6 h"	"866.starv_in_H2O_0.5_h_30C"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1673.alpha factor release sample021"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4872.1M sorbitol - 60 min"	"7530.DBY msn2msn4 37C - 20 min"	"8229.dtt 030 min"	"11466.yO1 test hyb"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"32255.DBY8778_heat_shock2_60min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"
"YDR529C"	0.555	0.036	1.087	2.473	2.394	2.948	1.753	1.667	2.074	2.127	0.244	2.109	0.068	2.996	2.486	2.052	2.002	2.544	2.181	-0.034	0.105	0.644	0.118	-0.429	-0.208	NaN	-0.306	-2.173	0.53	0.793	1.131	3.301	3.917	3.456	2.364	3.342	3.698	3.514	2.1
"YEL024W"	0.421	0.543	0.983	3.871	4.61	4.009	3.979	3.509	3.632	3.238	0.556	2.147	0.977	3.986	3.281	2.635	2.156	2.171	2.77	-0.032	0.257	0.766	-0.042	-0.105	-0.546	2.36	-0.161	-2.146	0.316	0.809	1.275	2.957	3.587	2.637	2.609	3.024	3.3	3.32	1.302
"YER131W"	1.045	1.12	-1.287	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-0.403	-1.063	0.121	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	0.389	-0.032	0.554	0.487	-0.577	0.819	-2.4735	0.272	-0.8565	-0.55	-0.564	0.002	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	-3.858	-1.525
"YGL076C"	0.542	0.639	-1.065	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-0.407	-1.913	0.447	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	0.076	-0.13	0.313	-0.016	-0.63	0.642	-1.8735	0.529	-0.667333333333333	-0.429	-0.936	-0.021	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-2.894	-1.751
"YGL123W"	1.644	1.172	-1.363	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-0.456	-1.642	0.741	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	0.658	0.045	0.639	0.027	-0.991	0.521	-2.357	0.626	-1.406	-0.249	-1.488	-0.797	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	-2.743	-1.46
"YGL135W"	1.179	0.901	-1.047	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-0.325	-1.34	0.605	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	0.53	-0.148	0.896	-0.045	-1.108	0.575	-2.233	0.495	-1.587	-0.164	-1.859	-0.292	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	-2.509	-1.329
"YGR085C"	0.939	1.039	-1.162	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-0.411	-1.594	0.219	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	0.486	-0.16	0.765	0.278	-0.44	0.772	-2.156	0.301	-0.464	0.27	-1.108	0.3	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.785	-1.448
"YHR051W"	0.682	0.183	0.796	2.562	3.688	3.419	2.769	2.012	2.399	2.191	0.282	1.784	0.534	3.332	2.68	2.112	1.853	2.322	1.808	-0.072	-0.221	0.655	-0.172	-0.135	0.322	1.741	0.404	-1.73	0.241	1.02	0.764	3.028	3.999	3.435	2.435	3.973	4.032	2.958	1.031
"YHR203C"	0.142	0.701	-0.834	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-0.229	-1.998	0.329	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	0.112	0.032	0.489	0.264	-0.787	0.586	-2.302	0.467	-1.561	-0.662	-1.05	-0.276	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	-3.424	-1.066
"YJL166W"	0.241	0.461	1.246	3.137	3.667	3.5	3.101	2.498	3.751	3.849	0.634	2.392	0.715	3.028	2.833	2.507	2.963	3.264	3.664	0.146	0.101	0.721	0.021	-0.196	-0.013	1.113	-0.236	1.366	0.109	0.314	0.237	4.107	3.65	3.802	2.806	3.428	3.524	3.809	0.693
"YJL190C"	0.309	1.072	-1.283	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-0.643	-2.845	0.638	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	0.182	-0.571	0.767	0.048	-1.036	0.915	-2.43	0.144	-1.345	-0.668	-1.994	-0.276	-4.772	-3.912	-3.608	-4.874	-4.273	-3.311	-3.497	-2.179
"YJR145C"	0.72	0.762	-1.012	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-0.168	-1.781	0.424	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	0.181	0.007	0.351	0.381	-0.802	0.403	-2.312	0.515	-1.556	-0.731	-1.134	-0.564	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	-1.447
"YKL006W"	0.578	0.82	-1.048	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-0.465	-2.6	0.399	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	0.239	-0.239	0.2	0.2	-0.762	1.14	-2.458	0.35	-2.261	-0.75	-0.766	-0.844	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-3.593	-2.032
"YKL081W"	0.744	0.752	-0.348	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-0.846	-2.074	0.404	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	0.33	-0.31	-0.004	-0.042	-1.096	0.442	-2.502	0.223	-1.16	-0.722	-0.766	-0.433	-3.076	-3.449	-2.509	-3.386	-3.054	-2.989	-3.704	-1.242
"YKL085W"	0.71	0.553	1.096	4.338	4.621	4.735	3.853	2.829	3.112	1.63	0.669	2.486	0.758	3.733	3.587	2.72	2.135	1.338	1.027	-0.104	0.367	0.948	-0.293	-0.59	0.595	1.962	0.199	-2.362	0.282	1.436	0.818	3.126	3.575	3.463	2.917	3.615	3.704	3.219	2.829
"YKL109W"	0.224	-0.2	0.421	3.944	4.619	4.678	3.512	3.345	3.204	3.232	0.119	3.343	1.042	4.55	3.416	3.126	3.018	3.054	2.687	-0.038	-0.243	0.276	-0.678	-0.663	-0.504	2.198	0.005	1.323	0.166	-0.338	-0.333	3.675	3.213	3.394	3.231	3.514	3.295	2.285	1.661
"YKL141W"	0.104	-0.145	0.729	3.018	4.073	3.933	2.821	2.412	1.502	0.0	0.386	1.408	0.576	3.948	3.124	2.215	2.058	0.92	-0.048	0.14	-0.076	0.369	-0.298	-0.049	0.102	2.267	0.363	-1.771	1.327	1.072	0.989	3.281	4.116	3.983	2.82	3.791	4.053	3.155	1.481
"YKL180W"	0.791	0.689	-0.954	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-0.355	-1.48	0.523	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	0.332	0.051	0.469	0.469	-0.772	1.056	-2.393	0.34	-1.268	-0.208	-0.947	0.285	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	-2.482	-1.363
"YKR057W"	0.489	0.517	-1.093	-3.036	-2.945	-2.525	-2.033	-1.835	-1.678	-2.2	-0.658	-1.743	0.338	-4.013	-2.126	-2.625	-2.576	-1.161	-1.048	0.102	-0.1	0.336	0.085	-0.772	1.04	-2.079	0.202	-1.195	-0.55	-1.233	-0.581	-3.811	-2.631	-1.7	-3.29	-2.638	-2.13	-2.085	-2.35
"YLL041C"	0.495	0.307	1.013	4.794	5.323	5.655	5.102	4.997	4.796	5.281	0.861	2.48	1.037	4.827	4.436	3.693	3.746	4.25	4.703	-0.657	0.566	0.667	-0.018	0.131	-0.125	3.417	0.122	-2.73	0.433	1.315	0.558	3.903	4.684	4.285	3.781	4.867	4.49	4.704	2.35
"YLL045C"	0.968	1.171	-0.961	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-0.413	-1.489	0.473	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	0.309	0.228	0.933	0.223	-0.953	0.857	-2.165	0.565	-1.594	-0.707	-1.119	-0.123	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362	-2.09
"YLR029C"	1.193	1.128	-0.498	-3.174	-2.641	-3.465	-2.572	-2.334	-3.108	-3.615	-0.848	-0.543	0.138	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	0.491	0.205	0.973	-0.158	-0.715	0.3	-2.49	0.382	-0.894	-0.163	-1.462	-0.349	-3.518	-2.733	-2.594	-3.637	-2.766	-2.153	-2.685	-1.624
"YLR048W"	0.799	1.108	-1.734	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-0.342	-1.942	0.636	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	0.122	0.063	0.589	0.258	-0.959	0.476	-2.293	0.399	-1.467	-0.467	-1.444	-0.841	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-3.432	-1.956
"YLR062C"	0.701	0.893	-1.285	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-0.654	-1.847	0.037	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	0.143	-0.039	0.39	0.023	-0.665	0.537	-2.675	0.274	-0.45	-0.65	-0.685	-0.572	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419	-2.5
"YLR185W"	-0.281	0.224	-1.235	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-0.427	-1.464	0.196	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-0.13	0.005	-0.063	-0.006	-0.714	0.713	-2.023	-0.531	-1.577	-0.44	-0.48	-0.255	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35	-1.615
"YLR293C"	0.672	0.836	-0.198	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-0.248	-0.951	0.416	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	0.515	-0.09	0.392	0.078	-0.488	0.595	-2.235	0.396	-1.138	-0.101	-0.295	-0.168	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899	-2.582	-0.479
"YLR294C"	0.15	0.2	0.403	2.002	2.564	2.632	2.149	1.48	2.171	0.475	0.371	1.433	0.203	2.466	2.104	1.302	1.48	1.08	0.355	-0.352	-0.148	0.408	-0.103	-0.53	0.214	0.78	0.096	-1.238	-0.383	-0.296	-0.354	2.041	2.539	1.955	1.565	1.96	2.671	1.001	1.098
"YLR388W"	0.461	0.751	-0.943	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-0.568	-1.651	0.393	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	0.353	-0.126	0.652	0.202	-0.873	0.822	-2.034	0.364	-1.394	-0.862	-1.766	-0.684	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-2.864	-1.893
"YLR448W"	0.418	0.742	-1.357	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-0.463	-1.842	0.283	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-0.102	0.038	0.183	0.011	-0.572	0.323	-2.337	0.365	0.772	-0.799	-0.586	-0.58	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636	-1.818
"YML063W"	0.204	0.87	-0.915	-4.408	-3.73	-3.027	-2.778	-2.416	-2.904	-4.048	-0.578	-1.348	0.236	-5.57	-2.159	-2.658	-2.875	-3.123	-3.364	0.161	-0.54	0.221	-0.367	-0.647	0.737	-2.071	0.543	-1.177	-0.901	-1.58	-1.031	-4.819	-3.531	-2.707	-4.008	-3.578	-2.829	-3.392	-1.329
"YMR110C"	-0.741	-0.896	0.902	3.925	3.346	3.746	3.565	3.434	2.517	3.724	0.568	2.734	0.385	4.042	3.217	2.995	3.422	3.777	2.927	-0.129	0.082	-0.392	-0.312	1.049	-0.258	2.645	0.095	-2.058	1.149	1.854	0.839	3.97	4.096	2.779	3.64	3.462	2.896	2.522	2.932
"YMR202W"	0.376	0.332	-0.76	-3.652	-2.101	-2.009	-1.785	-2.236	-2.852	-4.391	-0.611	-1.019	0.323	-1.406	-1.172	-1.63	-1.208	-2.263	-2.876	0.515	-0.1	0.293	-0.052	-0.429	0.165	-1.541	-0.091	-1.044	0.239	-0.643	-0.1	-3.376	-2.583	-2.939	-3.34	-2.624	-2.11	-1.758	-0.474
"YNL119W"	0.558	0.955	-1.188	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-0.005	-1.542	0.326	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-0.123	-0.118	0.198	-0.324	-0.902	0.559	-1.92	0.559	-0.161	-0.853	-1.08	-0.891	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.406	-1.947
"YNL301C"	0.646	1.126	-0.772	-2.992	-2.551	-2.514	-2.036	-1.241	-3.266	-5.123	-0.505	-1.275	0.523	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-0.029	0.217	0.537	0.135	-0.727	0.52	-2.232	0.417	-0.607	-0.604	-0.865	-0.333	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	-3.161	-1.619
"YOL039W"	0.643	0.894	0.869	-0.9415	0.4395	0.183	-1.8	-0.399	-2.363	-2.068	-0.3665	-0.539	-0.019	-3.972	-2.697	-2.946	-3.123	-2.476	-3.262	-0.041	0.189	0.614	0.462	-1.325	-0.2495	-2.072	0.711	-1.211	-0.585	-1.695	-0.766	-3.167	-2.856	-2.746	-3.392	-3.542	-3.052	-2.882	-2.32
"YOR312C"	0.584	0.542	-1.2165	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-0.336	-2.054	0.477	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-0.041	-0.32	0.397	0.298	-0.731	0.733	-1.883	0.336	-1.284	-1.109	-1.861	-0.54	-4.379	-3.433	-3.512	-4.531	-3.454	-2.689	-2.886	-1.926
"YPL090C"	0.872	0.252	-1.289	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-0.49	-1.463	0.066	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	0.091	0.207	0.175	-0.045	-0.676	0.804	-2.061	0.457	-0.648	-0.133	-2.163	-0.558	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	-1.851
"YPL142C"	0.372	0.243	-0.8	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-0.481	-2.088	0.465	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	0.263	-0.282	-0.069	0.2	-0.95	0.702	-2.011	0.185	-1.573	-0.82	-2.263	-0.763	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	-3.35	-1.942
"YPL143W"	0.463	0.583	-1.1615	-4.4445	-3.3605	-3.232	-3.2955	-2.5465	-2.7845	-3.35	-0.5885	-2.2805	0.078	-4.372	-2.232	-2.155	-2.195	-1.391	-1.972	0.387	-0.257	0.249	0.005	-0.54	0.8305	-2.07	0.424	0.687	-0.607	-1.851	-0.923	-2.893	-2.234	-1.996	-3.13	-2.792	-2.506	-2.952	-2.05
"YPL220W"	0.881	0.905	-0.8855	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-0.486	-1.554	0.668	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	0.401	-0.423	0.217	0.081	-1.042	0.7055	-1.925	0.576	-1.773	-0.542	-1.918	-0.738	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	-3.007	-1.785
"YPR041W"	0.5075	0.839	-1.11933333333333	-1.871	-1.85166666666667	-1.45933333333333	-1.579	-1.647	-1.48733333333333	-2.36366666666667	-0.1	-1.954	0.3605	-1.646	-1.315	-1.658	-1.0965	-1.805	-1.8775	0.3035	-0.245	0.125	-0.1465	-0.2515	0.434	-1.977	0.3285	-0.906	-0.46	-0.764	-0.703	-3.035	-2.533	-1.793	-3.187	-2.708	-2.293	-1.616	-0.569
