	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"842.1.5 mM diamide (90 min)"	"961.1 mM Menadione (20 min) redo"	"4872.1M sorbitol - 60 min"	"5242.DES460 (wt) - mock irradiation - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"13098.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"17695.Missouri Western State College Galactose Cy5 (exp 1)"	"21654..24 mM H2O2- 275 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33259.delKIN82_heat shock _15min"	"38146.03II01 batch p2"	"40957.H2O2_II_120_min"
"YGR136W"	2.3745	2.244	2.0	1.1595	0.9985	1.4535	2.1705	2.362	0.909	0.99	0.718	0.825	0.592	0.447	0.043	-0.333	-0.3	2.5145	-0.3005	0.271	-0.467	0.122	1.577	2.461	1.839	1.82	0.907	2.564	-0.009	-0.543
"YHR089C"	-3.2685	-4.5225	-3.658	-1.743	-1.2945	-3.523	-4.938	-4.6915	-0.732	-1.926	-2.485	-1.843	-1.389	-0.845	-1.313	-0.45	-0.788	-4.9325	-0.415	0.061	-0.366	-0.321	-2.896	-3.579	-1.269	-2.94	-2.07	-3.412	1.054	-0.571
"YHR104W"	4.5615	4.906	4.6215	3.5845	3.2725	4.247	4.658	4.7775	2.174	2.864	2.908	3.044	2.511	1.539	1.069	-0.098	0.615	5.319	-1.013	-0.755	0.685	-0.178	4.201	5.002	2.775	2.367	3.372	3.432	-0.11	0.21
"YHR137W"	4.1055	4.9795	3.82	1.3125	1.9025	3.987	4.7775	4.6135	1.687	2.649	2.633	2.348	1.516	-0.404	-0.996	-0.184	-0.707	4.709	0.949	0.83	-1.525	0.601	4.005	4.573	3.11	2.95	1.979	4.461	-1.396	0.889
"YHR170W"	-3.765	-5.3995	-4.622	-2.4275	-2.085	-4.14	-4.723	-3.947	-1.62	-2.518	-2.551	-1.78	-1.288	-0.508	-0.646	0.037	-0.488	-5.252	-0.38	0.31	-0.861	1.103	-2.606	-3.576	-2.405	-1.767	-1.487	-2.772	-0.211	-1.393
"YJL217W"	2.749	3.121	2.9075	2.4475	1.044	1.454	2.6275	0.794	1.123	1.574	1.717	1.664	1.369	0.55	0.018	-0.629	-0.054	3.9495	0.253	0.134	-0.405	-0.103	1.926	2.153	2.053	-0.723	-1.232	2.74	-0.229	0.043
"YJR002W"	-3.138	-3.52066666666667	-2.819	-1.96566666666667	-1.408	-2.21066666666667	-2.34	-3.20666666666667	-1.7525	-1.834	-1.98	-1.6755	-1.28	-0.3565	-0.4795	-0.0345	-0.8435	-3.31866666666667	-0.772	0.531	-0.0725	-0.324	-2.667	-3.252	-2.36	-1.736	-0.912	-2.97	0.157	-0.513
"YKL091C"	3.351	4.009	3.851	2.35	2.444	2.683	3.567	3.623	1.543	2.351	2.383	2.135	1.239	0.246	1.43	-0.031	0.138	3.699	-0.644	-0.226	-0.007	-0.124	2.005	3.205	2.553	2.073	2.09	2.597	0.603	0.071
"YLR129W"	-4.191	-4.096	-3.022	-1.526	-1.034	-2.347	-3.676	-3.658	-0.933	-2.548	-1.12	-1.768	-0.629	-0.551	-0.411	0.139	-0.15	-4.108	-0.166	0.604	0.125	0.831	-4.157	-4.374	-2.07	-2.794	-1.786	-3.858	0.231	-1.189
"YLR177W"	2.8735	3.3095	2.643	1.001	0.9175	2.3305	3.1295	2.898	1.0265	1.8205	1.346	0.9945	0.3585	0.2465	0.2485	0.103	-0.137	3.1335	0.337	-0.359	-0.675	0.1185	3.122	3.163	2.146	1.906	1.252	3.156	0.533	-0.652
"YLR196W"	-4.71	-5.425	-5.04	-1.973	-2.108	-3.221	-4.896	-4.532	-1.792	-2.562	-2.364	-1.459	-1.106	-0.336	-0.464	0.24	-0.696	-5.097	-0.816	0.687	-1.008	0.891	-2.941	-3.697	-2.702	-1.499	-1.086	-2.671	0.648	0.48
"YLR197W"	-3.755	-4.98	-4.044	-2.606	-1.636	-3.638	-4.76	-5.179	-1.149	-2.263	-2.63	-1.881	-1.453	-0.496	-0.152	0.131	-0.533	-5.072	-1.247	1.062	-0.749	0.489	-2.322	-4.496	-2.603	-3.38	-1.921	-4.151	1.047	-0.931
"YLR216C"	3.219	3.481	2.876	2.456	1.759	3.323	3.894	4.174	2.018	2.396	1.958	1.537	1.692	1.634	-0.044	-0.304	0.298	4.484	-0.562	0.44	0.245	-0.66	3.371	3.69	2.706	1.086	1.031	2.926	0.498	-0.694
"YMR131C"	-3.068	-4.819	-4.183	-2.431	-1.969	-3.849	-4.525	-4.347	-1.061	-2.255	-2.188	-1.713	-1.034	-0.418	-0.311	-0.015	-0.248	-4.674	-1.712	0.435	-1.039	-0.333	-2.123	-3.866	-3.136	-3.389	-2.254	-3.736	0.258	-1.12
"YNL002C"	-3.547	-4.666	-4.07	-1.784	-2.094	-3.305	-4.559	-4.222	-1.685	-2.627	-2.564	-1.766	-1.16	-0.498	-0.336	-0.059	-0.924	-4.603	0.011	0.318	-0.81	-0.476	-3.249	-3.481	-2.594	-2.351	-1.171	-3.245	0.983	-0.152
"YNL062C"	-2.043	-3.459	-2.934	-1.18	-0.927	-2.143	-3.093	-2.844	-1.303	-1.917	-1.508	-0.829	-0.336	0.075	-0.348	-0.003	0.007	-2.71	-0.303	0.33	-0.6095	-1.222	-3.32	-4.112	-2.584	-1.513	-1.649	-2.778	0.563	-0.142
"YNL075W"	-2.664	-3.86	-3.164	-2.073	-1.324	-2.558	-3.304	-2.768	-1.244	-2.078	-1.5	-1.319	-1.01	-0.262	-0.238	-0.203	-0.545	-3.301	-0.1775	0.694	-0.61	-1.016	-3.326	-2.935	-2.361	-2.181	-1.639	-2.748	0.66	-1.467
"YNL182C"	-1.322	-6.33	-4.05	-1.434	-1.675	-2.807	-4.805	-3.807	-2.13	-2.522	-2.311	-1.849	-1.146	-0.539	-0.593	-0.103	-0.905	-4.61	-0.6155	0.558	-0.2345	0.376	-3.599	-3.082	-2.517	-2.906	-3.026	-3.01	-0.728	-1.045
"YNR038W"	-2.336	-2.862	-2.204	-1.159	-1.156	-1.84	-2.465	-2.713	-1.28	-1.516	-1.481	-0.95	-0.812	-0.274	-0.779	-0.1	0.764	-2.837	-0.334	0.269	-0.777	-0.117	-2.815	-2.459	-1.876	-2.07	-1.843	-2.866	-0.474	-0.31
"YOL077C"	-4.404	-5.439	-5.04	-2.828	-2.032	-4.336	-5.22	-4.28	-1.244	-2.83	-2.938	-2.428	-1.471	-0.624	-1.139	-0.102	-0.869	-4.7	-0.743	0.506	0.062	-0.08	-4.174	-4.969	-3.866	-2.624	-1.955	-4.679	0.69	-1.394
"YOR091W"	-2.076	-3.01	-2.688	-0.519	-0.957	-1.642	-2.72	-2.309	-1.362	-2.094	-1.799	-1.318	-0.783	-0.144	-0.727	0.123	-0.405	-2.366	0.544	0.302	-0.273	0.398	-3.107	-3.395	-1.759	-1.118	-1.024	-1.529	0.031	0.173
"YOR145C"	-3.045	-3.98	-3.795	-1.872	-1.583	-2.871	-3.492	-3.402	-1.668	-2.441	-1.805	-1.614	-0.843	-0.383	-0.98	-0.001	-0.474	-3.948	0.308	0.608	-0.148	-0.452	-3.355	-3.644	-2.806	-1.479	-1.201	-3.265	0.669	0.065
"YOR206W"	-3.294	-5.087	-3.702	-2.15	-1.66	-3.585	-5.083	-4.513	-1.977	-2.894	-2.77	-1.859	-1.39	-0.511	-0.796	-0.2	-0.703	-5.066	-0.861	0.54	-0.539	-0.207	-3.782	-3.839	-2.816	-3.513	-2.63	-4.003	1.08	-0.425
"YOR287C"	-1.639	-3.97	-2.174	-2.111	-0.891	-2.322	-3.247	-2.585	-1.758	-2.167	-2.019	-1.664	-1.44	-0.515	-0.783	-0.023	-1.115	-2.646	0.601	0.074	-0.568	0.533	-3.301	-3.942	-2.391	-2.023	-1.449	-2.109	0.393	-0.425
"YOR289W"	2.96	3.218	3.068	2.084	2.317	2.572	2.935	2.676	1.567	2.084	2.367	2.451	2.255	1.521	0.772	0.125	-0.464	3.401	0.299	-0.686	0.561	0.235	2.535	2.723	2.032	1.262	1.613	1.83	-0.391	-0.605
"YOR310C"	-4.866	-5.053	-4.365	-2.174	-2.299	-3.309	-4.639	-3.004	-1.362	-2.348	-2.686	-1.831	-1.366	-0.53	-0.732	0.202	-0.144	-4.948	0.068	0.67	-0.721	0.115	-3.619	-4.326	-3.006	-3.475	-1.99	-4.099	0.847	-0.271
"YPL043W"	-2.829	-4.246	-4.0	-1.47	-2.102	-3.773	-4.198	-4.087	-2.268	-2.529	-2.671	-2.001	-1.51	-0.891	-0.385	-0.112	-0.15	-4.555	0.309	0.428	-0.337	-0.358	-4.18	-3.988	-2.531	-1.716	-1.84	-2.639	0.739	-0.697
"YPL146C"	-2.261	-3.196	-2.458	-2.116	-0.984	-2.143	-3.003	-3.135	-1.669	-2.267	-2.0755	-1.626	-1.475	-0.8205	-0.604	-0.045	-0.416	-3.416	-0.568	0.723	-1.148	0.606	-3.452	-2.623	-1.919	-1.791	-1.163	-1.805	1.161	0.317
"YPL212C"	-2.2725	-2.8775	-2.504	-0.5295	-1.361	-2.069	-3.0655	-2.0715	-0.769333333333333	-1.24433333333333	-1.38833333333333	-0.963333333333333	-0.767666666666667	-0.287666666666667	-0.607	-0.0425	0.178	-2.912	-0.477	0.4345	-0.595	-0.0335	-2.2795	-2.6875	-1.5995	-1.265	-1.396	-1.685	-0.017	-0.2035
"YPL266W"	-2.487	-3.981	-3.222	-1.605	-1.233	-2.968	-3.585	-3.063	-0.843	-1.9705	-1.846	-1.773	-1.1315	-0.176	0.909	0.11	-0.33	-3.636	0.855	0.297	-1.458	-0.019	-3.195	-4.813	-2.51	-2.026	-1.313	-2.945	0.421	0.407
