	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12742.Nitrogen Depletion 2 h"	"13066.Na/Na+FK 30min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"
"YER009W"	-0.108	0.372	-2.671	-4.765	-0.33	-0.027	-2.143	-1.906	-1.465	-2.034	-2.393	-2.025	0.08	-0.484	-1.282	-1.276	-1.476	-0.662	-0.717	0.1255	0.327	0.4975
"YER043C"	0.191	0.891	-4.78	-6.476	-0.529	0.178	-3.096	-3.18	-3.716	-3.31	-4.857	-4.918	-0.031	-1.415	-2.015	-2.503	-2.487	-2.96	-0.494	-0.488	0.226	-0.045
"YER102W"	0.447	1.084	-3.64	-6.434	-1.581	-0.375	-3.37	-3.204	-2.593	-2.579	-3.326	-3.859	0.167	-2.388	-2.133	-1.446	-1.328	-1.097	-1.135	0.433	0.77	0.604
"YER117W"	0.3	1.391	-2.832	-5.642	-1.15	-0.332	-2.843	-2.483	-2.571	-2.312	-2.562	-2.976	0.036	-1.876	-1.852	-1.51	-1.633	-0.96	-0.842	0.2235	0.5425	0.6015
"YER118C"	0.012	0.622	-2.598	-3.457	-0.446	-0.011	-0.87	-1.557	-1.35	-1.371	-2.206	-1.965	-0.562	-1.1755	-1.062	-1.075	-0.815	-0.625	-0.257	0.0645	-0.001	0.026
"YFR009W"	-0.403	0.407	-3.004	-4.932	-0.486	-0.037	-1.586	-1.585	-2.511	-3.291	-3.978	-4.281	-0.052	-0.923	-1.896	-2.023	-2.107	-1.742	-0.377	0.176	-0.502	-0.2875
"YGL026C"	-0.118	0.336	-3.132	-4.669	0.335	0.342	-1.626	-1.543	-0.839	-1.868	-2.181	-2.636	0.048	-1.134	-1.872	-1.779	-1.863	-1.687	0.775	0.034	-0.56	-0.587
"YGL031C"	0.339	1.047	-3.683	-5.763	-1.287	-0.61	-3.063	-2.704	-2.899	-2.92	-3.061	-3.473	0.102	-2.655	-1.99	-1.105	-1.116	-0.673	-0.571	0.697	1.047	0.709
"YGL076C"	0.222	1.147	-3.976	-5.667	-1.338	-0.407	-2.857	-1.957	-2.648	-2.836	-2.79	-3.782	0.348	-1.8735	-2.237	-1.523	-1.742	-1.207	-1.041	0.494	0.624	0.7725
"YGL245W"	-0.156	0.55	-4.799	-6.655	-0.266	0.162	-1.699	-2.088	-2.121	-3.552	-4.345	-4.779	0.101	-1.658	-1.18	-1.236	-1.439	-1.16	0.222	0.124	-0.063	0.021
"YGR085C"	0.424	1.133	-3.406	-6.059	-1.043	-0.411	-3.013	-2.215	-2.77	-3.306	-3.54	-4.179	0.312	-2.156	-2.078	-1.442	-1.73	-1.234	-0.476	0.561	0.232	0.791
"YGR185C"	0.261	0.691	-5.306	-6.361	-0.344	-0.24	-2.6	-2.266	-2.944	-4.576	-4.871	-5.006	0.289	-2.438	-2.21	-2.316	-2.459	-2.363	0.247	-0.15	0.347	0.042
"YGR195W"	-0.114	0.641	-2.179	-3.999	-0.087	-0.253	-0.971	-1.268	-0.934	-1.872	-1.878	-1.911	0.295	-0.547	-0.897	-0.341	-0.896	-0.507	0.202	0.234	0.253	0.113
"YGR240C"	-0.063	0.288	-0.505	-3.806	0.241	-0.065	-1.546	-2.107	-0.425	-1.755	-2.545	-3.191	-0.048	-1.417	-1.082	-1.16	-1.42	-1.463	0.001	0.051	-0.062	0.48
"YHL003C"	-0.1	0.328	-2.186	-3.084	-0.141	-0.099	-1.135	-1.164	-0.883	-1.585	-1.707	-1.741	0.216	-0.878	-0.996	-0.937	-1.427	-1.005	-0.254	-0.2	0.221	0.285
"YHR019C"	0.039	0.875	-4.051	-5.077	-0.619	-0.152	-2.664	-2.76	-2.06	-3.117	-3.721	-4.387	-0.034	-1.834	-2.505	-2.098	-2.32	-2.222	-0.432	-0.186	-0.09	-0.051
"YHR068W"	0.214	0.941	-4.28	-6.532	0.213	-0.652	-2.526	-1.119	-2.429	-2.724	-3.669	-3.425	-0.025	-2.29	-2.522	-2.438	-2.761	-2.475	-0.502	0.244	0.449	0.225
"YHR203C"	0.133	1.011	-3.782	-5.944	-1.473	-0.229	-3.412	-3.049	-2.591	-2.575	-3.081	-3.941	0.017	-2.302	-2.621	-1.497	-1.605	-1.254	-1.078	0.668	0.508	0.677
"YIL078W"	0.067	0.771	-5.192	-6.059	-0.565	0.028	-2.5	-2.462	-3.226	-4.41	-4.902	-4.944	0.127	-2.348	-2.573	-2.57	-2.6	-2.341	0.018	-0.346	-0.211	-0.256
"YJL002C"	0.191	0.367	-2.469	-4.487	-0.256	-0.332	-1.766	-0.803	-1.17	-1.748	-2.556	-2.618	-0.339	-1.272	-1.155	-1.488	-1.752	-1.32	-0.39	-0.354	0.131	-0.182
"YJL097W"	-0.021	0.189	-2.596	-4.683	0.133	-0.083	-0.944	-1.483	-1.409	-1.461	-2.558	-2.276	-0.396	-1.401	-1.172	-1.561	-1.85	-1.278	-0.154	0.631	0.402	0.309
"YJR007W"	0.083	0.742	-3.21	-8.057	-0.655	-0.217	-1.824	-1.91	-2.051	-2.909	-3.009	-3.616	-0.148	-1.685	-1.412	-1.481	-1.506	-1.159	-0.682	0.166	0.183	0.231
"YJR145C"	0.282	1.341	-3.54	-6.528	-1.641	-0.168	-3.597	-3.707	-2.336	-2.519	-3.105	-3.178	0.033	-2.312	-2.272	-1.579	-1.347	-1.308	-1.007	0.43	0.311	0.639
"YKL080W"	0.132	0.72	-4.229	-5.94	0.063	-0.143	-1.461	-1.699	-1.962	-2.874	-2.944	-2.866	-0.061	-1.244	-1.168	-1.409	-1.635	-1.479	0.06	0.209	0.017	0.198
"YKL210W"	0.106	-0.077	-2.409	-4.432	0.202	-0.22	-0.982	-0.519	-0.125	-1.627	-1.844	-2.279	0.268	-0.691	-0.827	-0.749	-0.94	-0.965	-0.163	0.028	-0.59	-0.797
"YKL212W"	0.18	0.381	-3.014	-4.806	-0.173	0.198	-1.651	-1.64	-1.598	-2.516	-2.929	-3.374	0.451	-1.089	-1.816	-1.943	-2.101	-2.073	0.021	0.291	-1.16	-1.306
"YKR026C"	-0.06	0.523	-2.863	-3.755	-0.538	-0.251	-1.657	-1.681	-1.003	-1.858	-2.363	-2.231	0.044	-0.604	-0.942	-0.521	0.737	-0.249	-0.117	-0.201	-0.376	-0.069
"YLL045C"	0.374	1.348	-3.857	-6.618	-0.863	-0.413	-3.185	-2.744	-2.495	-2.943	-3.021	-3.731	0.226	-2.165	-1.749	-0.995	-1.237	-1.078	-0.703	0.508	0.937	0.57
"YLR043C"	0.291	0.741	-2.278	-4.337	-0.309	-0.261	-1.648	-1.81	-0.671	-1.762	-1.786	-1.552	0.078	-0.831	-0.777	-0.825	-0.942	-0.517	-0.281	0.384	0.514	0.818
"YLR061W"	0.31	1.127	-4.939	-6.591	-1.362	-0.244	-3.021	-3.058	-2.88	-3.309	-3.833	-3.91	0.068	-2.482	-1.368	-1.342	-1.363	-0.747	-0.536	0.4	0.112	0.608
"YLR062C"	-0.017	1.05	-5.705	-6.896	-1.355	-0.654	-3.965	-3.18	-3.706	-4.299	-4.293	-5.234	0.347	-2.675	-2.666	-1.934	-2.16	-1.658	-1.167	0.504	0.611	0.956
"YLR065C"	0.034	0.502	-1.93	-3.028	-0.557	-0.028	-1.411	-1.516	-1.137	-1.477	-1.554	-1.642	0.008	-0.712	-0.544	-0.786	-0.69	-0.544	-0.183	0.377	-0.235	-0.002
"YLR209C"	-0.037	0.232	-2.896	-3.171	0.038	0.164	-0.524	-1.124	-0.964	-1.123	-1.447	-1.271	-0.046	-1.471	-0.76	-0.534	-0.367	-0.695	-0.104	0.346	0.7	0.139
"YLR291C"	0.002	0.624	-3.037	-4.762	-0.474	-0.365	-1.104	-2.027	-1.283	-1.783	-2.216	-2.363	-0.385	-1.532	-1.466	-1.248	-1.501	-1.028	-0.434	0.311	0.059	0.112
"YLR293C"	0.148	0.877	-3.488	-6.281	-0.632	-0.248	-2.233	-2.661	-2.158	-2.379	-3.03	-3.186	0.089	-2.235	-1.553	-1.559	-1.887	-1.39	-0.472	0.555	0.662	0.874
"YLR301W"	-0.072	0.003	-3.676	-5.415	-0.023	0.407	-1.605	-2.439	-1.325	-2.581	-2.218	-2.268	0.431	-1.83	-0.843	-0.813	-1.276	-0.97	0.669	0.325	0.048	0.075
"YLR339C"	0.259	0.66	-4.988	-6.865	-1.597	-0.761	-3.201	-2.938	-2.474	-2.461	-3.161	-3.973	-0.067	-2.977	-1.944	-1.986	-1.859	-2.101	-1.552	0.744	0.6	0.783
"YLR340W"	0.495	1.164	-4.11	-6.819	-1.473	-0.688	-3.015	-2.689	-2.701	-2.702	-3.206	-4.105	0.004	-2.949	-2.564	-2.074	-2.033	-1.997	-1.249	0.445	0.523	0.899
"YLR388W"	0.456	1.145	-3.596	-5.506	-1.483	-0.568	-2.742	-2.362	-2.555	-2.232	-2.581	-3.193	0.18	-2.034	-2.289	-1.597	-1.72	-1.317	-1.196	0.767	1.319	1.037
"YML026C"	0.301	0.972	-4.268	-5.271	-1.498	-0.864	-3.131	-3.217	-2.821	-2.898	-2.803	-2.821	0.174	-1.928	-1.637	-1.208	-1.476	-1.04	-1.148	0.545	0.283	0.811
"YML073C"	0.516	1.148	-3.862	-6.033	-1.28	-0.641	-3.087	-2.501	-2.549	-2.401	-2.624	-3.718	0.084	-1.975	-2.293	-1.787	-1.89	-1.356	-1.21	0.335	0.586	0.691
"YML085C"	-0.118	0.198	-3.379	-4.526	-0.609	0.105	-2.04	-2.802	-1.564	-1.907	-2.298	-2.55	-0.004	-1.886	-1.682	-1.451	-1.872	-1.768	-0.28	-0.005	0.619	0.406
"YML106W"	0.425	1.074	-2.297	-3.649	-0.088	-0.039	-2.071	-1.349	-1.583	-1.423	-1.467	-1.771	-0.224	-0.025	-1.514	-1.191	-1.624	-1.551	0.013	-0.463	-0.551	-0.837
"YMR033W"	0.058	0.431	-3.063	-4.454	-0.289	-0.245	-1.514	-1.984	-1.469	-1.745	-1.826	-1.988	-0.151	-1.013	-0.924	-0.77	-0.709	-0.418	0.197	0.0	0.144	-0.453
"YMR203W"	0.241	0.528	-1.421	-4.985	-0.481	-0.376	-1.309	-1.337	-0.723	-0.486	-1.231	-1.861	0.029	-0.76	-1.822	-1.624	-1.93	-1.574	-0.855	0.178	-0.257	0.169
"YMR205C"	0.047	0.197	-1.015	-4.53	0.177	-0.251	-1.755	-1.654	0.455	-1.0	-1.671	-2.366	0.017	-0.815	-0.325	-0.395	-0.872	-1.115	0.444	-0.092	-0.253	-0.176
"YMR235C"	0.258	0.731	-3.534	-5.187	-0.339	-0.104	-1.879	-2.052	-2.046	-2.838	-3.21	-3.756	0.155	-1.782	-1.955	-1.504	-1.586	-1.878	0.038	0.286	0.076	0.006
"YMR242C"	0.463	1.333	-3.971	-6.226	-1.253	-0.482	-3.636	-3.62	-3.004	-2.601	-3.133	-3.475	-0.057	-2.4615	-2.447	-1.647	-1.596	-1.135	-0.992	0.211	0.655	0.874
"YNL010W"	0.294	0.664	-1.296	-4.52	-0.372	0.335	-1.922	-2.057	-1.936	-2.483	-2.738	-3.396	0.191	-1.9585	-1.417	-1.489	-1.522	-1.142	-0.15	0.46	0.484	0.246
"YNL085W"	0.142	0.149	-2.342	-5.369	-0.288	-0.282	-1.365	-1.115	-1.484	-2.001	-2.706	-3.291	-0.211	-0.946	-2.633	-2.361	-2.58	-2.844	-0.335	-0.678	-0.619	-0.848
"YNL119W"	0.18	1.033	-5.354	-6.231	-1.052	-0.005	-2.99	-2.998	-2.206	-2.822	-2.843	-3.318	-0.177	-1.92	-1.803	-1.188	-1.486	-1.342	-1.364	0.333	0.666	0.737
"YNL178W"	0.34	1.102	-4.338	-6.62	-1.624	-0.726	-3.272	-3.183	-2.981	-2.958	-3.483	-3.871	0.031	-2.479	-2.566	-1.607	-2.071	-1.449	-1.001	0.721	1.053	0.795
"YNL301C"	0.371	1.063	-5.123	-6.272	-1.521	-0.505	-3.098	-2.59	-2.781	-2.652	-2.985	-3.448	-0.018	-2.232	-2.389	-1.696	-1.836	-1.716	-1.511	0.463	1.202	0.875
"YOR163W"	-0.04	0.192	-1.226	-3.0605	0.0495	0.047	-0.269	-1.0775	-0.809	-0.809	-1.31	-1.484	0.372	0.188	-0.173	-0.818	-0.574	0.061	-0.169	0.35	0.052	0.357
"YOR224C"	-0.117	0.9	-3.348	-4.849	-0.8915	-0.356	-2.4505	-2.027	-2.296	-2.099	-2.615	-2.202	-0.188	-2.041	-2.013	-2.006	-2.085	-1.876	-0.856	0.348	0.657	0.891
"YOR270C"	0.059	0.208	-1.649	-4.932	-0.105	-0.468	-1.5115	-1.114	-0.859	-1.912	-2.307	-2.635	-0.136	-0.721	-1.313	-1.465	-1.872	-1.548	-0.141	0.105	-0.498	-0.222
"YOR277C"	0.237	0.518	-3.25	-4.571	-0.5215	-0.182	-2.148	-1.8895	-2.047	-1.978	-2.103	-2.211	-0.077	-1.884	-0.609	-0.929	-0.742	-0.457	0.111	0.497	0.218	0.287
"YOR323C"	-0.154	0.361	-4.2845	-6.434	-0.408	0.0785	-2.106	-2.053	-1.382	-2.742	-3.497	-3.428	0.078	-1.603	-1.289	-1.133	-0.748	-0.939	0.264	0.489	-0.283	-0.236
"YPL037C"	0.266	0.69	-3.9955	-5.417	-0.872	-0.131	-2.148	-1.96	-1.872	-2.115	-3.222	-3.654	0.36	-1.648	-0.934	-0.936	-0.989	-0.738	-0.541	0.32	0.522	0.742
"YPL142C"	0.5615	1.2695	-3.5865	-5.604	-1.525	-0.481	-2.8235	-2.16	-2.376	-2.148	-2.632	-2.979	0.256	-2.011	-1.836	-1.152	-1.22	-1.19	-0.793	0.525	0.869	0.778
"YPL198W"	0.2895	0.94	-4.3605	-6.879	-1.2855	-0.287	-3.022	-2.766	-2.449	-2.487	NaN	-3.133	0.281	-1.633	-2.16	-1.215	-1.439	-0.807	-0.753	-0.152	0.525	0.617
"YPR033C"	-0.0965	0.6725	-4.8805	-7.94	-0.032	-0.435	-2.759	-2.6225	-2.55	-3.951	-4.382	-4.54	0.268	-2.107	-2.213	-2.318	-2.374	-2.285	0.012	0.349	0.248	-0.066
"YPR118W"	0.0075	0.7795	-3.9965	-5.524	-0.8925	-0.52	-2.305	-2.577	-2.077	-2.882	-3.334	-3.538	-0.008	-1.794	-1.462	-0.745	-1.217	-1.063	-0.384	0.318	-0.117	-0.428
"YPR181C"	-0.1075	0.116	-2.057	-3.9085	-0.1655	0.521	-0.574	-1.7355	-0.641	-0.902	-1.196	-1.542	-0.105	-1.163	-0.858	-0.564	-0.75	-0.771	-0.913	-0.614	-0.27	-0.822
