	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YEL065W"	1.368	1.409	1.308	1.93	2.207	2.059	1.494	1.612	-0.172	-0.88	-0.547	-1.293	-1.25	-1.155	1.597	1.777	0.252	0.591	-1.161	-1.043	-1.48	0.655	0.013	-0.339	-1.352	-0.932	-0.417	-1.625	0.466	0.268	0.38	0.76	-0.041	0.855	0.056	-0.461	-1.108	-0.178	-0.005	-0.727	1.896	1.694	1.795	2.066	1.438	-0.104	0.681	2.308	-2.416	-2.294	-2.576	-2.121	-0.5225	0.385	1.591	0.666	-0.695	0.387	-0.514	0.356	0.934	0.322	0.894	0.314	0.542	0.433	1.731
"YER117W"	0.208	-0.031	0.241	0.323	0.318	0.492	0.413	0.13	-1.836	-1.868	-1.677	-2.379	-2.386	-3.056	-0.229	-0.285	-0.475	-1.02	-2.019	-1.428	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-2.458	-3.05	-3.141	-2.843	-2.483	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.292	0.347	0.39	0.377	0.261	-1.148	-1.783	0.24	-1.189	-0.888	-1.505	-1.573	-1.876	-2.734	-1.623	-2.116	-3.314	-2.377	-1.674	-3.319	-2.632	-3.238	-3.345	-2.147	-2.128	-2.922	-1.911
"YER126C"	-0.207	-0.376	0.126	0.022	0.341	0.123	0.335	0.23	-3.132	-2.634	-1.396	-3.488	-4.626	-4.459	0.006	0.319	-1.115	-2.724	-1.767	-1.051	-4.455	-2.713	-2.384	-1.898	-1.167	-2.335	-2.608	-5.367	-2.806	-2.355	-2.036	-1.58	-0.345	-2.303	-1.4	-1.206	-1.723	-1.575	-2.584	-2.842	0.432	0.132	0.27	0.061	0.197	-0.498	-1.176	0.493	-1.716	-1.693	-1.814	-1.491	-1.0895	-1.082	-1.185	-1.223	-5.253	-5.806	-3.166	-2.489	-2.31	-3.761	-2.961	-2.173	-1.909	-3.062	-2.794
"YER127W"	-0.006	-0.974	-0.17	-0.738	0.092	-0.355	-0.219	-0.082	-2.809	-2.38	-1.464	-1.952	-3.051	-2.807	-0.303	0.0	-0.434	-1.94	-1.222	-0.254	-3.292	-2.064	-1.821	-1.672	-1.949	-2.155	-2.611	-4.439	-2.177	-2.835	-2.486	-1.435	1.661	-1.589	1.466	-1.363	-1.279	-1.098	-2.485	-1.946	0.01	-0.017	-0.172	-0.483	0.063	0.048	-0.423	-0.13	-0.696	-0.401	-1.115	-1.037	-1.479	-0.497	-1.152	-0.467	-3.328	-4.459	-1.991	-2.692	-2.59	-3.601	-3.002	-2.038	-2.575	-1.871	-1.811
"YER172C"	0.8205	0.854	0.79	0.6625	0.7615	0.8025	0.847	0.8045	-0.038	-0.215	-0.437	-0.277	-0.065	0.05	0.7745	0.809	-0.531	0.0705	0.012	0.247	-0.1445	-0.1855	-0.1635	-0.34	0.0275	0.394	0.0695	-0.8935	0.412	0.5415	0.3935	0.4525	0.032	0.297	-0.152	0.0625	-0.29	0.209	0.322	-0.1025	0.6655	0.7245	0.8015	0.6255	0.4165	-0.119	0.205	0.572	-0.183	0.1235	0.00649999999999999	-0.472	0.143	0.4355	0.037	0.2835	-0.279	-0.3375	0.0025	0.279	5.0E-4	-0.0505	-0.5435	-0.1785	0.0795	-0.147	-0.163
"YGL078C"	-0.552	-1.121	-0.306	-0.188	0.294	-0.052	0.159	0.091	-4.33	-3.709	-1.968	-3.238	-4.399	-3.428	-0.014	0.254	-0.427	-2.77	-2.236	-1.982	-4.866	-2.556	-1.916	-1.553	-1.111	-2.045	-2.215	-4.455	-2.562	-2.914	-2.134	-2.156	-1.979	-4.196	-1.897	-1.879	-1.744	-2.103	-1.515	-2.198	0.222	0.119	0.04	0.009	0.198	-1.427	-1.962	0.295	-1.965	-1.838	-2.33	-1.775	-1.112	-3.042	-2.341	-2.548	-4.147	-3.538	-2.52	-3.53	-2.245	-3.576	-1.995	-1.225	-0.948	-2.616	-3.525
"YGL099W"	-0.473	-0.82	-0.409	0.024	0.112	0.011	-0.044	0.056	-2.253	-2.456	-1.048	-2.097	-3.122	-3.311	-0.368	0.035	-1.079	-2.018	-1.655	-1.092	-3.43	-2.011	-2.123	-1.774	-2.004	-2.335	-2.895	-5.764	-2.268	-2.454	-1.59	-1.291	-1.425	-2.755	-1.738	-1.805	-1.984	-2.516	-3.273	-3.42	-0.017	0.046	-0.013	0.058	0.124	-0.09	-0.713	0.19	-1.114	-1.325	-1.172	-1.564	-2.114	-1.546	-1.255	-0.756	-3.381	-1.974	-1.714	-2.608	-2.453	-3.506	-2.525	-1.211	-1.788	-0.852	-1.151
"YGL102C"	0.213	0.313	-0.048	0.335	0.355	0.411	0.354	0.43	-1.212	-1.538	-1.406	-1.384	-2.074	-2.584	0.0	0.303	-0.669	-0.538	-2.115	-1.23	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-2.658	-5.65	-1.718	-3.301	-3.227	-3.132	0.794	-3.32	-1.921	-2.077	-2.144	-1.199	-1.938	-2.13	0.184	0.352	0.229	0.113	0.086	-1.322	-2.161	0.164	-1.5	-1.758	-2.217	-1.881	-2.146	-2.0	-0.861	-1.483	-2.437	-2.289	-1.496	-3.42	-2.202	-3.272	-2.955	-2.203	-3.411	-3.529	-2.978
"YGL103W"	0.207	0.328	0.081	0.654	0.885	0.548	0.558	0.258	-1.262	-1.794	-1.147	-1.348	-2.193	-2.762	0.261	0.248	-0.924	-1.077	-1.799	-1.396	-3.452	-3.096	-2.876	-2.468	-2.373	-2.344	-1.452	-5.266	-2.039	-3.266	-2.763	-2.672	-1.362	-3.07	-1.762	-1.73	-2.048	-1.308	-1.735	-2.438	0.295	0.438	0.405	0.51	0.472	-1.433	-1.703	0.499	-1.716	-2.083	-2.138	-2.136	-1.88166666666667	-2.015	-1.415	-1.373	-2.243	-2.276	-1.845	-2.976	-2.146	-3.189	-2.934	-2.202	-2.821	-3.45	-1.493
"YGL123W"	0.379	0.373	0.171	0.754	0.851	0.66	0.772	0.438	-1.71	-2.557	-1.674	-2.339	-3.47	-4.378	0.431	0.481	-1.693	-1.363	-2.649	-2.338	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-3.013	-4.112	-3.654	-3.701	-3.959	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.508	0.551	0.576	0.538	0.497	-1.462	-1.703	0.658	-1.869	-2.178	-1.724	-1.983	-2.357	-2.897	-1.745	-2.237	-3.308	-2.292	-1.987	-4.217	-3.27	-4.123	-3.488	-2.693	-2.743	-3.674	-2.333
"YGL135W"	0.435	0.215	0.402	0.661	0.361	0.067	0.478	0.294	-1.664	-2.285	-1.835	-2.468	-3.231	-3.984	0.094	-0.11	-1.162	-1.047	-2.804	-2.254	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-2.615	-3.217	-3.23	-3.119	-2.071	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.592	0.274	0.527	0.65	0.502	-1.249	-1.595	0.53	-1.941	-2.203	-2.496	-1.561	-2.233	-3.473	-2.046	-2.497	-3.406	-2.824	-1.861	-3.443	-2.903	-3.617	-3.009	-1.968	-2.509	-3.261	-2.42
"YGL147C"	0.018	0.211	-0.046	0.57	0.553	0.336	0.509	0.261	-2.372	-3.006	-1.899	-2.704	-4.102	-4.319	-0.001	0.235	-1.473	-1.272	-2.743	-1.954	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-2.882	-3.0	-3.753	-3.466	-3.166	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.248	0.278	0.336	0.338	0.343	-1.054	-1.568	0.509	-2.034	-2.147	-2.118	-2.28	-2.532	-3.553	-1.167	-2.428	-3.829	-2.3925	-2.087	-3.1805	-2.6025	-3.1585	-3.3875	-2.3945	-3.135	-2.981	-2.5855
"YGL148W"	-0.038	0.104	-0.115	0.146	0.098	-0.055	0.141	0.272	-1.712	-2.027	-1.656	-1.735	-2.05	-2.295	0.037	0.268	-1.067	-1.064	-1.383	-0.669	-3.561	-2.137	-1.719	-1.873	-1.574	-2.182	-2.826	-3.915	-1.067	-2.983	-2.53	-2.64	-1.768	-2.555	-1.926	-2.049	-2.327	-1.666	-1.996	2.781	0.031	0.134	0.059	-0.101	0.123	-0.231	-0.914	0.257	-0.02	-0.237	-0.471	-1.1	-2.275	-2.048	-0.945	-0.892	-2.451	-2.144	-0.751	-3.932	-2.547	-3.123	-2.69	-2.266	-2.377	-0.993	-0.224
"YGR034W"	0.242	-0.007	0.223	0.343	0.238	0.089	0.411	0.157	-2.251	-2.191	-1.353	-2.26	-3.059	-2.884	-0.027	-0.203	-0.845	-1.764	-2.272	-1.25	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	-2.746	-3.268	-2.935	-2.282	-2.579	-3.635	-2.067	-2.022	-2.01	-1.301	-1.401	-2.48	0.335	0.285	0.451	0.471	0.29	-1.624	-1.283	0.213	-1.672	-2.02	-2.439	-2.337	-1.469	-2.891	-1.611	-2.06	-2.708	-2.451	-2.186	-2.986	-3.003	-4.347	-3.643	-2.741	-2.179	-1.101	-2.487
"YGR085C"	0.195	-0.091	0.268	0.451	0.401	0.785	0.287	0.271	-2.061	-1.952	-1.491	-2.023	-2.966	-3.664	-0.141	0.039	-0.601	-1.162	-2.388	-1.247	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-2.19	-3.071	-3.255	-3.013	-2.215	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.413	0.444	0.573	0.566	0.272	-0.876	-1.8	0.486	-1.577	-1.825	-2.233	-1.876	-2.156	-2.722	-1.073	-1.712	-2.908	-2.338	-1.551	-4.004	-2.792	-3.45	-3.003	-2.048	-1.785	-3.52	-1.674
"YGR187C"	-0.208	-0.608	-0.1	-0.577	-0.029	0.1	-0.163	-0.537	-2.837	-2.2925	-1.4205	-1.6905	-2.126	-2.5625	-0.427	-0.333	-0.454	-1.843	-1.618	-0.433	-2.942	-2.082	-1.876	-1.392	-1.08	-1.208	-2.024	-3.678	-1.765	-2.234	-2.079	-1.08	-0.348	-2.27	-1.613	-1.609	-1.84	-2.77	-2.482	-2.043	0.096	0.047	-0.01	-0.02	-0.061	-0.075	-1.047	0.03	-1.366	-1.479	-1.222	-0.945	-1.119	-1.413	-1.138	-0.594	-2.453	-2.287	-2.193	-2.525	-2.662	-3.256	-2.5	-0.898	-1.778	-1.891	-1.473
"YHR020W"	-0.251	-0.43	-0.271	0.376	0.221	0.106	0.234	0.237	-2.592	-3.22	-1.1335	-2.5795	-3.3085	-3.731	0.072	0.293	-1.623	-2.062	-1.683	-1.939	-4.019	-2.214	-3.114	-3.057	-2.887	-2.709	-2.69	-4.045	-2.469	-2.898	-3.053	-2.178	-2.045	-2.195	-1.642	-1.649	-1.837	-1.718	-2.26	-2.19	-0.024	0.245	0.351	0.188	0.291	-0.886	0.692	0.221	-1.081	-2.108	-0.879	-1.643	-2.656	-2.133	-1.068	-1.144	-3.5805	-3.021	-2.574	-3.043	-2.822	-3.861	-2.387	-2.242	-2.486	-1.982	-1.335
"YHR170W"	-0.342	-0.975	0.269	0.122	0.125	0.437	0.248	0.231	-5.3995	-4.622	-2.4275	-4.14	-4.723	-3.947	-0.17	-0.197	-0.829	-3.256	-2.797	-1.421	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-2.573	-4.858	-2.326	-2.759	-2.694	-1.887	-1.429	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	0.153	0.237	0.295	0.096	-0.027	-0.5	-0.652	0.294	-1.218	-1.234	-1.32	-1.391	-1.761	-1.546	-1.98	-2.142	-5.252	-3.576	-2.772	-3.186	-2.544	-3.601	-2.58	-2.061	-1.01	-0.477	-1.808
"YIL018W"	0.052	-0.053	0.031	0.327	-0.068	0.08	0.293	0.049	1.619	-2.4325	-1.4745	-2.2685	-3.509	-3.965	-0.136	-0.197	-1.109	-1.381	-2.824	-2.153	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-2.754	-3.362	-3.505	-3.056	-3.151	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.226	0.067	0.27	0.137	0.301	-1.306	-1.985	0.094	-1.545	-1.871	-2.173	-2.148	-2.495	-3.591	-2.106	-2.548	-3.4165	-2.641	-1.899	-4.277	-3.397	-4.06	-3.676	-2.806	-2.821	-3.555	-2.821
"YIL064W"	-0.211	-0.102	-0.241	0.123	0.296	0.069	0.036	-0.168	-2.354	-2.7345	-1.6085	-2.1515	-2.514	-2.1275	0.117	0.256	0.112	-1.887	-1.645	-0.46	-2.326	-0.657	-0.964	-1.031	-0.837	-1.415	-1.157	-2.687	-2.664	-2.125	-1.191	-0.356	-1.0	-0.443	-0.415	-0.205	-0.266	-0.013	-0.402	-0.479	0.157	-0.181	-0.125	-0.017	0.119	0.094	0.078	0.971	-0.971	-1.337	-0.873	-1.396	-0.69	-0.427	-0.28	-0.373	-2.1995	-2.286	-2.318	-1.706	0.708	-2.035	0.049	0.061	-0.749	-0.779	-1.023
"YIL080W"	4.546	5.161	4.354	3.929	3.588	4.071	3.536	3.874	0.0185	-0.439	-0.0365	0.0735	-0.0285	-0.4965	3.478	4.305	0.202	-0.02	0.438	0.121	0.937	0.86	0.081	0.229	0.467	0.483	-0.263	-1.466	0.636	0.159	-0.123	0.352	0.27	1.128	0.015	0.491	0.072	0.625	0.582	0.074	3.751	3.405	3.372	4.019	3.609	-0.221	-0.032	4.261	-0.473	-0.426	0.629	0.698	0.453	-0.841	-0.051	0.389	0.141	-0.568	-0.12	0.485	0.268	0.031	0.503	0.243	-0.068	0.647	0.558
"YIL082W"	5.289	5.631	4.931	4.239	3.231	4.112	3.966	4.309	-0.449	-0.381	-0.599	-0.034	-0.1925	-0.2965	4.848	4.738	-0.085	0.627	0.387	-0.014	1.221	0.413	0.504	0.373	0.485	0.549	0.209	-0.521	0.597	0.341	0.479	0.374	0.458	1.658	0.027	0.652	0.36	1.004	1.062	0.716	4.543	4.022	3.927	4.608	3.818	-0.076	-0.469	4.778	0.081	0.442	0.042	0.32	0.626	-1.326	0.172	0.481	-0.064	0.009	0.614	0.88	0.954	1.012	0.45	-0.049	-0.614	0.513	-0.046
"YIL127C"	-0.474	-0.339	-0.23	0.026	0.3	-0.239	0.33	-0.178	-2.724	-3.181	-1.5835	-1.7815	-2.8895	-2.6295	0.28	0.358	-0.21	-2.05	-1.677	-0.708	-3.825	-3.066	-2.308	-2.16	-1.369	-1.833	-1.8	-4.521	-2.293	-3.072	-1.756	-1.412	1.139	-2.484	-1.39	-1.039	-1.481	-0.898	-1.52	-1.247	0.198	-0.484	0.098	0.192	-0.027	0.191	-0.563	0.309	-1.44	-1.881	-1.569	-1.608	-1.671	-1.022	-0.406	-0.585	-2.6085	-2.784	-1.765	-2.676	-1.774	-3.693	-1.968	-1.42	-1.731	-1.234	-0.693
"YIR012W"	-0.493	-0.832	-0.093	0.048	-0.377	-0.186	0.077	-0.08	-1.5825	-1.894	-1.3355	-1.7575	-1.855	-2.3105	-0.328	-0.093	-0.85	-1.565	-1.37	-0.498	-4.7	-3.151	-2.338	-2.719	-2.544	-2.595	-3.791	-4.69	-1.778	-2.614	-2.412	-2.137	-2.092	-1.585	-1.366	-1.684	-1.486	-1.547	-2.217	-2.528	0.075	-0.531	0.165	0.066	0.111	-0.856	-1.104	0.205	-0.385	-0.729	-0.279	-0.908	-1.751	-1.664	-1.066	-1.559	-2.0615	-2.037	-2.222	-2.311	-2.322	-3.439	-2.222	-2.002	-1.829	-0.43	-1.476
