	"42.alpha factor release sample022"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"801.Heat Shock 030inutes"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"8233.dtt 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"9838.CLN3 induction 30 minutes"	"12744.heat shock 17 to 37, 20 minutes"	"21635..24 mM H2O2- 0 minutes"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34360.batch 02X25 4"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YDR450W"	0.719	-1.979	-2.844	-3.077	-0.729	-1.306	-2.423	0.239	-1.837	-3.254	-2.797	NaN	-2.564	-3.208	-4.313	0.302	0.119	0.282	0.285	-0.074	-0.583	-0.422	-0.795	-0.225	-0.254	-3.008	-0.5765	0.6965	-1.894	-0.95	-1.079	-3.787	-3.762	-2.344	-3.594	-3.453	-2.352	-1.63	-1.767	-1.824
"YDR511W"	0.018	0.806	1.386	1.18	0.553	0.734	0.659	-0.135	0.18	2.328	2.146	-1.54	0.437	0.794	1.628	0.226	-0.215	-0.219	-0.28	-0.561	0.087	-0.516	0.327	0.354	-0.112	1.853	-0.087	-0.414	2.02	1.818	2.134	1.649	1.154	0.243	1.681	0.643	1.511	1.283	1.401	1.597
"YER033C"	0.148	1.383	2.047	1.841	0.419	1.102	1.223	0.124	0.526	1.501	1.807	0.34	0.645	1.051	1.733	-0.251	0.073	0.207	0.071	0.004	0.121	0.227	0.294	-0.195	0.557	1.585	-0.55	0.021	1.224	1.253	0.921	1.683	1.656	1.667	2.421	1.772	1.164	-0.593	0.179	-0.097
"YGL047W"	-0.27	1.6	1.671	1.655	0.331	1.33	0.823	0.01	0.585	1.795	1.122	-2.977	0.677	1.171	0.983	-0.066	-0.091	0.652	-0.325	-0.694	-0.351	-0.798	0.424	-0.079	0.047	1.918	0.154	0.5765	0.797	1.315	2.216	-1.184	1.368	0.598	2.016	1.247	0.978	0.784	0.968	0.386
"YGL123W"	0.66	-2.557	-3.47	-4.378	-1.165	-1.483	-2.649	-0.234	-1.867	-3.781	-3.757	-5.982	-3.013	-4.112	-3.511	0.497	0.062	0.027	-0.229	-0.122	-1.227	-0.651	-0.652	0.199	-0.509	-3.308	0.107	-0.0655	-2.292	-1.348	-1.987	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	-1.729	-1.46	-2.536
"YGR103W"	0.124	-5.229	-5.118	-3.624	-3.662	-1.843	-3.031	-0.62	-2.386	-4.825	-3.051	-5.518	-2.869	-2.251	-4.861	0.136	0.142	0.129	-0.29	0.068	0.08	-0.125	-1.867	0.337	-1.328	-5.075	-0.163	-0.826	-4.921	-3.6885	-3.2185	-3.1195	-2.6665	-1.548	-4.287	-2.4	-2.155	-2.101	-2.564	-1.818
"YGR123C"	-0.117	-3.2965	-4.1895	-3.748	-1.145	-1.327	-2.061	-0.361	-1.298	-4.447	-2.7	-4.328	-2.958	-2.878	-2.118	0.124	-0.031	-0.141	0.106	0.824	0.265	0.342	-1.262	0.449	-0.535	-4.594	0.1545	-0.293	-2.795	-1.547	-2.966	-2.403	-3.664	-1.262	-3.836	-3.389	-2.052	-1.757	-1.701	-1.032
"YGR244C"	0.048	2.049	1.9605	2.018	0.856	0.173	-0.234	-0.017	-0.449	3.157	3.468	-1.22	2.449	1.812	1.022	0.169	0.213	-0.07	-0.103	0.089	0.053	0.111	1.324	-0.403	-0.46	2.629	-0.172	-0.573	2.468	2.595	2.59	2.511	2.85	2.137	2.452	3.511	2.916	0.355	1.561	-0.364
"YHR148W"	-0.077	-2.0375	-3.2345	-2.692	0.03	-1.397	-1.706	-0.176	-0.865	-3.086	-1.904	-3.377	-1.802	-1.557	-1.58	-0.032	-0.041	-0.024	0.176	0.074	0.29	0.109	-1.056	-0.081	-0.966	-3.95	0.224	-0.177	-2.565	-2.119	-2.035	-1.681	-1.749	-1.989	-2.893	-1.982	-1.373	-1.715	-1.811	-1.238
"YHR203C"	-0.175	-2.0645	-2.8785	-3.5975	-1.34	-1.279	-2.585	-0.001	-1.621	-3.926	-2.827	-5.944	-2.51	-3.917	-4.669	0.219	0.346	0.264	0.395	0.336	-0.531	-0.22	-0.611	0.109	-0.313	-2.809	-0.361	0.281	-2.942	-1.743	-1.471	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	-2.05	-1.066	-2.029
"YIL018W"	0.08	-2.4325	-3.509	-3.965	-1.189	-1.888	-2.824	-0.465	-2.493	-4.365	-3.03	-5.749	-2.754	-3.362	-3.907	0.301	0.416	-0.233	-0.299	-0.326	-0.737	-0.289	-0.777	-0.296	-0.483	-3.4165	-0.336	-0.522	-2.641	-1.895	-1.899	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	-1.765	-1.836	-2.419
"YIL096C"	0.071	-2.2225	-0.384	-2.05	0.267	-1.224	-1.794	-0.155	-1.541	-2.516	-1.562	-3.119	-1.917	-2.51	-1.535	0.126	0.0	0.224	0.191	0.209	0.16	0.05	-1.0	0.056	-0.484	-1.556	-0.309	-0.379	-2.651	-2.653	-2.295	-1.746	-1.132	-1.446	-2.167	-1.25	-1.163	-1.3	-1.812	-1.277
"YIL103W"	-0.115	-2.1455	-1.163	-1.311	-0.293	-0.254	-0.841	0.008	-0.549	-1.36	-0.912	-2.625	-1.316	-1.6	-0.074	-0.153	0.027	0.125	0.05	0.12	0.003	-0.163	0.082	-0.208	-0.03	-0.7685	-0.278	-0.594	-1.623	-1.048	-0.949	-0.705	-0.386	-0.599	-1.746	-0.954	-0.765	-0.826	-1.166	-0.545
"YJL020C"	0.128	1.672	1.6555	1.578	0.168	0.714	0.63	-0.081	0.0	2.17	1.031	-1.374	1.163	1.177	0.442	0.094	-0.028	0.021	-0.198	0.089	-0.114	0.077	0.222	-0.369	0.592	2.035	0.125	0.656	2.29	1.361	1.747	1.16	0.862	0.371	1.9	1.362	0.828	1.656	1.567	1.317
"YJL177W"	-0.007	-2.4035	-3.2765	-3.7865	-1.134	-1.329	-2.665	0.049	-1.964	-4.132	-3.846	-5.49	-2.648	-3.409	-5.074	0.263	0.351	0.25	0.273	0.374	-0.429	-0.296	-0.697	0.154	-0.382	-3.293	-0.269	-0.511	-2.626	-1.553	-1.517	-4.72	-4.004	-3.278	-4.54	-4.115	-3.056	-1.853	-1.743	-2.298
"YJL190C"	0.445	-2.525	-3.022	-3.838	-0.854	-2.095	-2.911	0.088	-2.272	-3.794	-3.553	-6.079	-3.053	-3.969	-4.469	0.252	0.057	0.048	0.142	0.117	-0.649	-0.286	-1.038	0.384	-0.793	-3.7855	-0.328	-0.476	-3.078	-2.014	-2.354	-4.772	-3.912	-3.608	-4.874	-4.273	-3.311	-2.045	-2.179	-2.86
"YJR097W"	-0.203	-3.0155	-1.7985	-1.3795	-1.06	-0.38	-1.091	-0.282	-0.135	-3.228	-3.349	-2.122	-2.194	-1.206	-1.155	0.216	-0.257	0.404	0.241	0.367	0.049	0.201	-0.825	-0.318	0.268	-1.425	-0.059	-0.617	-2.307	-2.198	-0.972	-1.029	-0.798	-1.34	-1.838	-1.945	-0.857	-0.878	-1.048	-0.69
"YJR123W"	-0.109	-2.5565	-3.5655	-4.258	-1.327	-1.269	-2.317	-0.1	-1.807	-3.844	-3.276	-9.147	-2.017	-3.809	-4.282	0.248	0.188	0.56	0.368	0.454	-0.401	-0.273	-0.837	0.224	-0.595	-3.445	-0.336	0.107	-2.744	-1.277	-2.14	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-1.533	-1.664	-3.029
"YJR145C"	0.013	-2.2535	-2.8575	-3.3335	-1.165	-1.245	-2.537	-0.008	-1.542	-4.507	-3.488	-6.528	-2.54	-3.551	-4.857	0.228	0.297	0.381	0.555	0.403	-0.338	-0.112	-0.856	0.112	-0.462	-2.7805	-0.247	-0.366	-2.804	-2.063	-1.349	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-1.724	-1.447	-2.894
"YKL006W"	0.256	-2.75	-3.315	-3.5445	-1.025	-1.129	-2.018	0.02	-1.646	-4.299	-3.901	-5.113	-2.919	-3.049	-4.545	0.303	-0.007	0.2	0.164	0.39	-0.716	-0.234	-0.959	0.175	-0.854	-3.02	0.069	-0.968	-2.654	-1.672	-1.927	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-1.683	-2.032	-2.841
"YKL143W"	0.071	-4.765	-3.979	-3.248	-3.108	-1.584	-2.74	-0.43	-1.471	-4.748	-1.715	-3.827	-4.588	-2.756	-2.734	0.1	-0.042	0.06	-0.156	0.066	-0.074	-0.484	-1.922	0.071	-0.825	-4.275	0.423	-0.497	-4.409	-3.625	-2.624	-2.618	-1.955	-1.456	-3.914	-2.07	-1.525	-0.754	-2.402	-1.487
"YKL180W"	0.341	-1.947	-2.81	-3.531	-0.807	-1.825	-2.553	0.15	-1.948	-2.661	-2.738	-5.237	-2.195	-2.625	-4.629	0.365	0.288	0.469	0.535	0.272	-0.472	-0.144	-0.672	0.417	-0.317	-3.37	-0.139	0.277	-1.891	-0.777	-1.571	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	-1.732	-1.363	-2.531
"YLL045C"	0.072	-2.105	-3.116	-3.722	-1.667	-1.602	-2.573	-0.167	-1.975	-3.851	-3.176	-6.618	-2.711	-3.169	-3.66	0.209	0.239	0.223	0.18	0.616	-0.211	0.25	-0.864	0.432	-0.672	-3.545	-0.435	-0.984	-2.751	-1.345	-1.04	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.053	-2.09	-2.416
"YLR003C"	-0.106	-2.957	-3.201	-3.212	-1.694	-0.978	-1.894	-0.289	-1.589	-3.378	-2.664	-3.267	-1.976	-2.206	-3.393	-0.23	-0.04	0.049	-0.444	-0.262	-0.178	-0.384	-1.152	-0.371	0.161	-3.305	0.155	0.099	-2.573	-1.447	-2.402	-2.516	-1.754	-1.05	-3.839	-2.794	-1.764	-1.041	-1.034	-0.277
"YLR048W"	0.4	-2.382	-2.988	-4.313	-0.881	-1.634	-2.441	-0.199	-1.93	-4.075	-2.679	-3.72	-2.627	-3.296	-5.136	0.091	0.359	0.258	0.252	0.455	-0.187	0.006	-0.998	0.0	-0.382	-3.563	-0.586	0.015	-3.068	-1.806	-3.098	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-2.177	-1.956	-2.984
"YLR167W"	0.185	-1.586	-2.464	-2.707	-1.389	-0.978	-1.294	0.072	-1.851	-1.481	-2.342	-4.496	-2.286	-1.882	-1.894	0.304	0.116	0.231	0.406	-0.046	-0.602	-0.184	-0.878	-0.15	-0.313	-2.342	-0.535	-0.271	-3.055	-2.49	-2.034	-3.929	-2.902	-2.68	-3.272	-3.393	-2.874	-1.489	-1.961	-2.63
"YLR175W"	-0.196	-3.679	-4.552	-4.902	-1.436	-1.615	-2.615	-0.548	-2.244	-5.607	-3.276	-5.468	-3.43	-3.996	-4.678	0.018	0.065	0.21	0.163	-0.078	-0.198	-0.432	-1.352	-0.265	-0.499	-4.431	0.426	-0.234	-4.177	-1.884	-3.986	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.713	-2.89	-2.115
"YLR180W"	-0.027	-3.001	-3.526	-3.649	-0.918	-0.435	-0.087	-0.426	-0.432	-4.201	-3.807	-5.707	0.753	-1.025	-1.373	-0.307	0.44	0.541	-0.117	0.2	0.016	-0.032	-0.905	0.003	-0.133	-3.682	0.117	-0.43	-3.224	-1.384	-4.226	-3.264	-3.42	-2.14	-3.37	-3.598	-3.199	-2.251	-0.38	-2.441
"YLR197W"	-0.125	-4.044	-4.76	-5.179	-2.02	-1.741	-2.844	0.046	-2.358	-5.817	-3.612	-5.242	-3.387	-3.899	-5.671	0.069	0.013	0.131	0.049	-0.127	-0.197	-0.314	-0.988	-0.315	-0.854	-5.072	0.247	-0.418	-4.496	-2.603	-4.151	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-3.015	-2.559	-2.613
"YLR221C"	-0.219	-2.286	-2.998	-2.528	-1.359	-1.198	-2.043	-0.258	-1.454	-2.998	-2.097	-1.577	-1.622	-1.591	-2.27	0.127	0.229	0.144	-0.04	0.097	-0.24	-0.399	-0.692	-0.472	-0.148	-3.231	0.1	0.331	-3.034	-2.382	-2.79	-1.916	-1.568	-1.339	-3.361	-1.731	-1.498	-1.541	-1.033	-0.758
"YLR333C"	0.16	NaN	2.731	NaN	-0.87	-1.343	-2.23	0.117	-2.055	-3.93	-3.067	-5.863	-2.247	-3.538	-4.032	0.252	0.253	0.246	0.067	0.09	-0.765	-0.182	-0.401	-0.049	-0.234	NaN	-0.337	-0.049	-1.94	-1.323	-0.439	-4.086	-2.673	-1.894	-3.582	-2.843	-2.359	-1.107	-1.31	-1.409
"YLR344W"	-0.1935	NaN	NaN	NaN	-0.82	-1.279	-2.125	0.123	-1.752	-3.262	-2.447	-4.414	-2.556	-3.245	-3.619	0.201	0.007	0.185	0.056	0.086	-0.58	-0.402	-0.755	0.303	-0.649	NaN	-0.621	-1.111	-1.984	-1.466	-1.605	-3.46	-2.977	-2.583	-4.22	-3.608	-2.781	-1.789	-1.921	-2.435
"YLR388W"	0.412	-2.382	-2.879	-3.074	-0.835	-1.394	-2.289	0.045	-1.937	-3.12	-2.544	-5.506	-2.593	-3.204	-4.025	0.289	0.228	0.202	-0.018	0.154	-0.845	-0.361	-0.913	0.052	-1.085	-2.761	-0.18	0.183	-2.178	-1.161	-0.623	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-1.536	-1.893	-2.133
"YLR441C"	-0.037	-1.733	-3.181	-3.61	-1.455	-1.301	-2.485	0.08	-2.114	NaN	-3.118	-12.655	-1.982	-3.365	-5.658	0.23	0.259	0.403	0.198	0.299	-0.617	-0.289	-0.724	0.336	-0.291	-3.408	-0.343	-0.429	-2.634	-1.53	-2.059	-4.558	-3.19	-2.531	-3.957	-3.819	-2.681	-1.474	-1.33	-2.944
"YLR448W"	0.104	-2.009	-2.821	-3.482	-0.839	-1.486	-2.804	-0.126	-1.88	-4.815	-3.882	-5.971	-2.157	-3.425	-4.891	-0.047	0.171	0.011	0.099	0.412	-0.584	-0.089	-0.868	0.501	-0.912	-2.983	0.124	-0.581	-2.6	-1.416	-1.143	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-1.946	-1.818	-2.737
"YML063W"	0.165	-1.871	-3.191	-3.74	-1.388	-1.399	-2.716	0.186	-2.087	-4.408	-3.73	-13.273	-2.243	-3.657	-5.57	0.251	0.424	-0.367	0.248	0.09	-0.535	-0.213	-0.682	0.659	-0.53	-3.158	-0.445	-0.276	-2.792	-2.048	-2.699	-4.819	-3.531	-2.707	-4.008	-3.578	-2.829	-1.582	-1.329	-2.775
"YML082W"	0.1	-1.497	-1.21	-1.621	-0.124	-0.994	-0.95	-0.092	-0.773	-1.047	-0.275	-4.007	-1.098	-2.592	-0.5	-0.098	-0.047	0.154	0.0	0.279	0.065	0.046	0.766	0.237	-0.214	-1.641	0.156	-0.793	-1.773	-1.409	-1.22	-2.276	-1.343	-1.572	-3.065	-1.125	-0.827	-1.029	-1.26	-0.648
"YMR049C"	0.048	3.17	NaN	3.087	-2.3	-1.43	-2.676	-0.371	-1.777	-5.984	-3.638	-9.471	-3.313	-3.131	-4.161	0.079	0.217	0.032	0.15	1.068	0.917	0.266	-1.507	-0.245	-0.662	1.822	0.485	0.453	-4.877	-3.19	-3.736	-3.221	-3.559	-2.595	-4.037	-2.722	-2.729	-1.991	-2.602	-2.59
"YMR229C"	-0.203	-2.7485	-3.288	-4.5955	-2.871	-1.511	-2.222	-0.2975	-1.7035	-6.1495	-3.5335	-5.288	-2.8345	-2.914	-4.826	-0.0255	0.022	0.0125	-0.182	1.0335	0.974	0.849	-2.0285	-0.2565	0.3255	-4.3425	-0.2645	0.091	-4.271	-3.0895	-3.375	-3.4135	-2.548	-2.1685	-3.9575	-2.553	-2.0965	-1.3175	-1.908	-1.956
"YMR242C"	0.045	-2.539	-3.309	-3.708	-1.34	-1.261	-2.703	0.2	-2.14	-4.702	-3.631	-6.226	-2.432	-3.832	-4.84	0.288	0.038	0.442	-0.025	0.227	-0.742	-0.352	-0.889	0.197	-0.461	-3.054	0.067	-0.044	-2.43	-1.144	-2.294	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-1.905	-1.655	-2.941
"YMR269W"	-0.116	-1.01	-2.375	-2.199	-1.165	-0.752	-1.505	-0.325	-1.131	-3.081	-2.384	-0.686	-1.125	-2.075	-2.556	-0.084	-0.059	-0.246	-0.383	-0.339	-0.544	-0.967	-0.737	0.415	-0.972	-2.034	0.427	-0.082	-2.334	-2.259	-1.58	-1.82	-1.836	-1.045	-3.852	-2.049	-1.436	-1.596	-1.839	-0.987
"YMR290C"	0.077	-3.689	-3.89	-3.624	-2.197	-1.501	-2.714	-0.349	-2.071	-5.132	-3.842	-5.217	-3.458	-3.243	-4.614	0.132	0.161	-0.092	0.063	0.517	0.563	0.188	-1.688	-0.323	-0.393	-4.129	-0.177	0.573	-4.343	-3.775	-3.98	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-2.21	-2.141	-1.773
"YMR301C"	0.271	-2.067	-1.764	-1.681	-0.422	-1.021	-1.362	0.033	-0.508	-2.923	-0.655	-1.804	1.197	-1.032	-0.727	0.226	-0.061	-0.043	-0.029	0.108	-0.34	0.063	-0.329	-0.181	0.058	-2.024	0.099	-0.357	-1.789	-1.034	-1.856	-2.453	-1.713	-1.232	-2.606	-1.806	-0.967	-0.241	-0.274	-1.039
"YNL062C"	-0.132	-2.934	-3.093	-2.844	-1.31	-0.492	-1.093	-0.229	-1.064	-4.157	-2.785	-6.263	-2.538	-2.304	-2.028	0.077	0.064	-0.003	-0.198	0.305	-0.004	-0.037	-0.681	-0.271	-0.129	-2.71	-0.243	0.679	-4.112	-2.584	-2.778	-2.698	-2.338	-1.801	-2.838	-2.509	-1.871	-1.431	-1.669	-1.33
"YNL096C"	-0.268	-2.093	-2.881	-3.202	-1.018	-1.163	-2.329	0.114	-1.871	-4.113	-3.765	-6.106	-2.454	-3.331	-4.716	0.182	-0.027	-0.057	-0.048	-0.056	-0.424	-0.23	-1.168	0.433	-0.21	-2.812	-0.283	-0.48	-2.02	-1.299	-1.586	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.208	-1.178	-2.045
"YNL110C"	-0.233	-3.64	-4.56	-4.991	-2.2	-1.327	-2.683	-0.371	-1.811	-5.108	-3.05	-3.296	-1.641	-2.565	-4.151	-0.179	-0.002	-0.088	-0.14	-0.255	-0.205	-0.34	-1.219	-0.095	0.016	-5.064	0.329	0.551	-4.907	-3.471	-3.973	-3.18	-2.579	-1.804	-4.747	-2.546	-2.431	-2.002	-1.758	-1.566
"YNL119W"	-0.265	-2.262	-2.438	-3.435	-0.946	-1.158	-1.88	-0.398	-1.412	-6.697	-3.692	-6.231	-2.598	-3.359	-3.55	-0.011	0.382	-0.324	-0.225	-0.289	-0.283	-0.266	-0.883	0.438	-0.188	-2.524	-0.532	-1.262	-2.669	-1.632	-1.697	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-1.972	-1.947	-2.566
"YNL162W"	0.182	-2.384	-3.17	-3.58	-0.808	-1.038	-2.232	0.006	-1.506	-3.953	-3.395	-6.425	-2.882	-2.86	-3.999	0.065	-0.066	-0.03	-0.153	-0.098	-0.905	-0.471	-0.997	0.132	-0.432	-2.998	-0.387	-0.671	-2.02	-1.415	-1.777	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-0.901	-1.809	-1.942
"YNL174W"	-0.254	-4.699	-5.579	-4.714	-2.93	-1.815	-3.257	-0.038	-2.252	-5.141	-3.51	-4.409	-3.149	-2.319	-4.372	0.014	0.011	0.29	-0.031	0.114	0.374	0.213	-1.881	-0.593	-0.574	-5.426	-0.224	-0.098	-3.76	-2.801	-2.503	-1.035	-2.624	-2.333	-3.816	-2.839	-1.053	-1.184	-1.539	-1.443
