	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1109.alpha factor release sample014"	"2108.cdc15 210 min"	"4872.1M sorbitol - 60 min"	"8193.steady state 15 dec C"	"8234.dtt 240 min"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"42056.U3Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42221.U2 Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42222.U2 Comp 07 hr 10 min Uracil Batch vs Chemostat Comparison"	"42369.CC PU 3A Phosphate-Uracil Chemostat Comparison"	"42378.CC PU 2A Phosphate-Uracil Chemostat Comparison"
"YER079W"	4.036	3.925	3.354	3.195	3.349	2.322	2.836	1.019	0.352	3.069	2.862	2.649	2.407	0.183	3.75	2.737	2.759	2.969	3.182	2.788	2.172	-0.155	0.526	0.244	-0.126	0.269	1.388	1.829	4.179	4.035	4.583	3.964	0.578	1.374	0.653	0.406	-0.567	0.036	0.264
"YGR174C"	3.717	3.294	2.305	1.833	2.188	0.356	0.737	0.128	-0.446	1.735	1.85	1.306	0.846	0.068	2.415	1.087	1.705	2.01	1.774	1.739	1.531	0.075	-0.026	NaN	0.008	0.279	0.595	0.934	3.235	3.542	3.947	3.312	-0.047	-0.076	0.278	0.637	0.32	-0.35	-0.311
"YHR170W"	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-2.573	-0.84	-0.728	-2.759	-2.694	-1.887	-1.429	0.213	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	-0.027	-0.297	0.033	0.037	0.242	-1.391	-3.576	-3.186	-2.544	-3.601	-2.58	-0.134	-0.654	-0.861	-0.041	-0.638	-0.278	-0.353
"YJL057C"	3.25	1.984	1.19	3.767	1.687	2.416	1.913	0.386	0.593	2.494	1.069	1.564	0.967	-0.021	2.196	1.484	2.196	2.148	1.847	1.904	1.108	-0.281	0.263	-0.126	-0.076	0.109	1.214	2.885	2.27	2.823	4.046	2.559	-0.196	-1.098	NaN	0.54	-1.185	0.367	-0.106
"YJL141C"	3.509	2.039	1.989	2.212	2.328	2.273	2.708	0.383	0.495	2.008	1.927	1.804	1.28	0.254	0.979	1.012	1.856	1.968	2.217	2.333	2.128	0.099	0.078	-0.354	-0.226	0.415	1.174	1.778	1.731	1.132	3.165	1.852	0.707	0.856	1.275	0.022	0.08	0.852	0.37
"YJL142C"	3.291	2.454	2.277	2.799	2.882	2.902	3.007	0.592	0.871	2.282	1.779	1.145	1.251	0.133	1.589	1.747	2.03	2.375	2.807	2.87	2.161	0.07	0.588	-0.973	-0.167	0.398	1.032	2.014	2.127	1.349	3.113	1.55	0.795	0.881	0.56	1.267	0.941	0.528	0.607
"YJL155C"	3.286	2.56	2.079	1.745	2.247	1.743	2.926	0.082	-0.128	2.032	1.618	1.556	1.182	0.22	2.864	2.005	2.466	2.552	3.346	3.436	3.129	-0.239	0.201	-0.08	0.096	0.059	0.491	0.722	3.737	3.76	3.452	3.254	0.416	0.597	0.696	0.793	0.401	0.168	0.351
"YKL009W"	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-3.082	-0.576	-0.531	-3.144	-2.368	-2.098	2.263	0.094	-4.341	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	0.31	-1.412	0.409	0.251	0.384	-1.783	-4.247	-2.602	-2.728	-4.823	-3.636	-0.304	-0.839	-1.124	-1.37	-1.174	0.031	0.442
"YLL008W"	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-0.852	-0.304	-2.364	-2.55	-1.847	-2.162	0.022	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	0.116	-1.015	-1.173	-0.01	-0.165	-1.714	-4.08	-1.915	-1.563	-3.042	-2.072	-0.354	-0.95	-1.161	-1.263	-1.105	-0.425	-0.091
"YLL045C"	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-0.863	-0.413	-3.169	-3.335	-3.185	-2.744	0.265	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.209	0.069	0.11	0.223	0.038	-1.957	-2.751	-3.449	-2.833	-3.788	-3.87	0.252	0.779	-0.343	-0.543	-0.944	0.786	0.833
"YLR129W"	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-0.675	-0.759	-3.12	-2.647	-2.185	-2.333	-0.062	-3.861	-2.137	-1.99	-2.481	-2.714	-2.42	-3.068	-0.04	-1.455	0.091	0.139	-0.089	-1.327	-4.374	-3.422	-2.781	-4.119	-2.843	-0.598	-1.045	-1.083	-0.317	-0.62	-0.188	-0.153
"YLR186W"	-4.787	-2.844	-2.506	-2.174	-2.293	-2.346	-4.298	-0.589	-0.515	-3.036	-2.821	-2.007	2.878	-0.004	-2.372	-1.577	-2.069	-1.671	-1.74	-2.678	-2.467	-0.29	-1.075	0.284	0.05	0.106	-1.521	-2.466	-3.381	-2.552	-4.173	-2.896	-0.607	-0.746	-0.817	-1.493	-0.985	-0.009	0.11
"YLR345W"	3.284	2.557	2.973	2.201	2.879	2.964	4.453	0.372	0.762	2.391	1.773	1.801	1.588	0.21	2.784	2.404	2.672	2.873	4.165	4.077	3.495	-0.123	0.234	-0.279	-0.333	0.247	1.016	2.676	3.184	2.929	2.961	2.519	-0.375	0.978	0.756	-0.392	0.294	0.265	0.427
"YLR448W"	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-0.947	-0.463	-3.425	-3.454	-3.179	-2.573	0.011	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-0.047	-0.231	0.055	0.011	-0.451	-2.034	-2.6	-4.85	-3.788	-4.791	-4.505	0.38	0.485	-0.732	-1.135	-0.444	0.42	0.361
"YML080W"	-3.965	-2.843	-1.705	-2.582	-1.617	-2.166	-2.489	-0.598	-0.258	-2.386	-2.094	-0.827	-0.987	-0.031	-1.716	-0.953	-1.037	-1.276	-1.274	-2.01	-0.745	0.133	-0.145	0.102	-0.117	-0.186	-0.776	-3.687	-1.011	-1.601	-3.22	-2.176	-0.286	-0.438	-1.202	-1.083	-0.801	-0.315	-0.152
"YMR049C"	-5.984	-3.638	-2.864	-3.076	-1.967	-2.748	-4.225	-0.716	-1.045	-3.131	-2.567	-2.163	-2.152	0.078	-4.161	-1.79	-2.318	-2.279	-3.3	-3.396	-4.217	0.079	-0.657	-0.046	0.032	-0.117	-1.618	-4.877	-3.221	-3.559	-4.037	-2.722	-0.075	-0.387	-1.817	-1.679	-0.876	0.071	-0.249
"YMR229C"	-6.1495	-3.5335	-3.765	-2.743	-2.443	-2.304	-4.4055	-0.8895	-1.9595	-2.914	-2.1435	-2.161	-2.184	-0.073	-4.826	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	-0.0255	0.059	0.503	0.0125	-0.1375	-2.115	-4.271	-3.4135	-2.548	-3.9575	-2.553	-0.557	-0.737	-1.3735	-1.8785	-1.5705	-0.4815	-0.462
"YMR290C"	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-0.68	-1.004	-3.243	-3.378	-2.625	-2.846	-0.08	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	0.132	-0.772	-1.3915	-0.092	0.417	-1.853	-4.343	-4.028	-3.856	-4.544	-3.558	-0.306	-0.525	-1.313	-1.045	-1.058	0.003	0.16
"YMR311C"	2.409	1.672	1.654	0.914	1.404	2.082	2.401	0.265	0.212	1.682	1.931	1.31	1.574	0.104	1.223	0.961	1.489	1.209	2.092	1.839	1.923	-0.173	0.079	0.033	-0.069	0.153	0.096	1.368	2.303	2.074	2.074	2.392	0.227	0.231	-0.208	-0.772	0.136	-0.018	0.045
"YPL079W"	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-1.563	-0.717	-3.085	-3.172	-3.0255	-3.112	0.148	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.085	-0.598	0.078	0.031	-0.489	-2.1725	-1.936	-2.865	-2.753	-3.573	-3.431	-0.302	-0.372	-0.634	-0.957	-0.648	0.106	0.326
"YPL081W"	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-0.895	-0.208	-2.5355	-2.916	-2.428	-2.3315	0.181	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.068	-0.841	0.209	0.099	0.0325	-1.5395	-1.967	-3.083	-2.359	-3.939	-2.717	-0.182	-0.342	-0.339	-0.797	-0.62	-0.062	-0.026
"YPL086C"	-3.4025	-1.371	-1.22	-1.1505	-1.1455	-0.869	-2.5065	-0.621	-0.735	-2.6475	-2.4025	-1.808	-1.6415	0.102	-2.484	-1.489	-1.604	-1.418	-1.907	-1.958	-2.56	-0.137	-0.561	0.265	0.072	-0.3025	-1.287	-3.386	-2.994	-2.108	-3.672	-1.773	-0.364	-0.677	-1.063	-0.874	-1.102	0.214	0.208
"YPL160W"	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-0.125	-0.722	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	0.111	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0355	-0.2405	-0.397	0.0515	-0.423	-1.13233333333333	-2.1325	-3.477	-2.958	-3.512	-2.719	-0.401	-0.3755	-0.7595	-0.637	-0.1345	0.4455	0.2045
"YPL196W"	3.0515	1.806	2.0705	1.65	1.3525	2.2245	0.833	0.3625	0.2425	1.9775	1.8525	1.408	1.024	0.409	2.946	1.677	1.543	1.99	1.71	1.745	0.942	-0.172	0.227	-0.328	0.06	-0.1325	0.408	1.167	2.951	2.852	2.732	2.827	-0.432	-0.465	0.755	-0.315	0.283	0.119	0.166
"YPL198W"	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-1.2855	-0.287	-3.4825	-3.3185	-3.022	-2.766	0.506	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	0.119	-0.18	0.181	-0.237	0.0955	-2.012	-2.3655	-4.2325	-3.528	-3.4955	-4.5575	0.1925	0.213	-1.0855	-1.6845	-1.154	-0.1495	0.167
"YPL226W"	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-0.600333333333333	-0.949666666666667	-3.37333333333333	-2.503	-2.786	-2.922	-0.0175	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.1885	-0.4555	-0.021	-0.0735	0.425666666666667	-1.60566666666667	-3.076	-2.657	-3.519	-3.811	-3.004	-0.123	-0.092	-0.862	-0.892	-0.922	0.058	-0.132
"YPR110C"	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-0.9515	-0.5555	-3.01	-3.296	-2.285	-2.0215	0.151	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.038	-0.53	0.248	-0.091	-0.1645	-1.359	-3.436	-2.851	-1.853	-3.882	-3.113	-0.53	-0.607	-0.698	-1.257	-1.345	-0.04	0.084
"YPR163C"	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-2.9485	-0.56	-0.456	-2.5635	-2.469	-2.6395	-2.0525	0.346	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.189	-0.672	-0.166	-0.06	-0.7315	-1.1135	-3.015	-3.506	-3.14	-3.575	-2.873	-0.204	-0.238	-1.843	-0.612	-1.86	-0.091	0.263
