	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8210.steady state 33 dec C"	"8282.Gal induced MCM1 vs. Glucose"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21634..24 mM H2O2- 155 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"21665..24 mM H2O2- 020 minutes/redo"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"38145.03II01 batch p1"	"40971.MD_II_77_min"	"40976.MD_II_140_min"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"
"YGL147C"	-0.941	-3.892	-3.111	-2.422	-3.921	-7.507	-1.716	-3.466	-4.384	-2.874	-3.388	-3.018	-2.755	-3.483	0.326	0.177	0.006	0.661	0.955	0.999	0.401	-1.487	1.242	-1.0465	-2.087	-3.1805	-2.6025	-3.0	-3.3875	-0.2225	-2.675	-3.298	1.4795	0.875
"YGR085C"	-0.828	-3.713	-3.301	-2.29	-3.406	-6.059	-1.594	-3.013	-4.359	-2.625	-2.77	-3.306	-3.54	-4.179	0.278	0.455	0.055	0.979	0.232	0.791	0.595	-1.059	0.914	-1.92	-1.551	-4.004	-2.792	-2.272	-3.003	0.58	-0.998	-0.792	1.401	1.697
"YGR108W"	-1.317	-1.178	-0.72	-2.564	-2.816	-3.123	-1.843	-1.595	-1.167	-0.428	-2.434	-1.657	-2.674	-1.962	0.038	0.179	0.041	0.024	0.788	0.504	-0.343	0.035	-0.831	-0.2325	-0.546	-0.194	-1.163	-1.854	-0.882	0.32	-0.865	-0.9655	0.04	-0.068
"YHL024W"	-0.05	2.217	1.514	1.992	3.734	1.947	1.068	1.881	1.134	1.329	2.436	-0.538	1.959	1.918	0.032	0.17	0.275	-0.482	1.06	-0.07	-0.38	-0.15	-0.41	-0.912	0.83	1.977	2.115	1.818	2.336	0.215	1.367	0.754	-0.392	-0.239
"YHR203C"	-1.054	-3.926	-2.827	-2.372	-3.782	-5.944	-1.998	-3.412	-4.669	-2.437	-2.591	-2.575	-3.081	-3.941	0.264	-0.02	-0.14	-1.162	0.508	0.677	0.736	-1.44	0.522	-1.83	-1.471	-4.467	-3.308	-2.46	-3.449	-0.658	-2.602	-2.356	0.99	0.906
"YHR211W"	-0.111	0.605	1.073	1.258	3.016	1.013	0.517	3.274	1.009	1.537	1.343	2.242	3.029	2.447	0.154	0.259	0.376	-0.212	0.37	-0.021	0.341	-0.453	0.323	-0.951	-0.918	0.953	1.269	0.989	1.205	-0.663	-2.049	0.238	-0.86	0.273
"YIL078W"	-0.876	-2.907	-2.075	-2.498	-5.192	-6.059	-0.376	-2.5	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.141	0.73	0.108	0.437	-0.211	-0.256	-0.138	-1.102	0.312	0.187	-1.891	-3.116	-1.937	-1.36	-2.548	0.169	-2.063	-2.433	1.305	0.309
"YJL014W"	-0.506	-1.884	-1.661	-1.494	-2.624	-3.962	-0.715	-1.425	-1.546	-1.558	-1.58	-2.252	-3.068	-2.866	0.045	0.392	-0.014	0.727	-0.336	-0.182	-0.166	-0.613	0.293	0.634	-0.632	-2.007	-1.358	-1.024	-1.416	0.265	-1.345	-1.201	0.221	0.622
"YJL188C"	-0.55	-2.525	-2.39	-1.323	-2.786	-4.633	-1.612	-2.519	-3.453	-1.885	-1.929	-2.169	-2.54	-2.776	0.017	0.044	-0.031	0.86	0.199	0.647	0.233	-0.312	0.508	-1.578	-1.115	-2.879	-1.947	-2.436	-2.447	0.25	-1.485	-1.667	0.951	0.037
"YJR123W"	-1.147	-3.844	-3.276	-2.46	-4.381	-9.147	-1.536	-3.442	-4.282	-2.391	-2.635	-2.639	-3.543	-4.006	0.56	-0.557	0.329	0.224	0.444	0.616	0.569	-2.396	0.858	-2.097	-2.14	-4.305	-3.113	-2.761	-4.025	-0.119	-3.049	-2.851	1.977	1.523
"YLL004W"	-0.479	-2.058	-1.449	-1.819	-0.83	-3.568	-0.215	0.302	-1.123	-0.953	-1.281	-1.508	-1.7	-0.656	0.095	0.105	-0.057	0.288	-0.146	-0.121	-0.264	-0.357	-0.341	-0.729	0.061	-0.928	-0.402	-0.576	-0.809	-0.214	0.285	0.311	0.125	0.028
"YLR060W"	-0.984	-3.165	-2.617	-2.499	-4.941	-5.967	-1.197	-2.672	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.212	0.795	0.194	0.115	-0.763	-0.472	0.177	-0.38	0.687	-0.087	-1.098	-2.734	-2.666	-1.403	-2.996	-0.835	-1.509	-1.071	0.253	0.167
"YLR293C"	-0.364	-3.594	-2.185	-2.207	-3.488	-6.281	-0.951	-2.233	-2.473	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	0.148	0.277	0.283	0.662	0.874	0.624	-0.054	0.566	0.637	0.091	-3.113	-2.525	-1.847	-2.422	0.992	-0.906	-1.731	-0.351	-0.327
"YLR333C"	-0.606	-3.93	-3.067	-1.851	-3.011	-5.863	-1.82	-2.939	-4.032	-2.092	-2.057	-1.584	-2.45	-2.848	0.246	0.032	-0.169	0.661	0.391	0.738	0.542	-1.053	0.237	-1.692	-0.439	-4.086	-2.673	-1.894	-2.843	1.157	-1.342	-1.631	1.112	0.391
"YLR339C"	-0.729	-3.243	-2.951	-3.285	-4.988	-6.865	-0.884	-3.201	-3.117	-2.647	-2.474	-2.461	-3.161	-3.973	-0.052	-0.714	-0.179	-0.156	0.6	0.783	0.328	-1.516	0.391	-2.637	-0.857	-4.034	-3.474	-3.052	-3.723	-0.82	-2.892	-1.546	-0.19	0.677
"YLR388W"	-0.766	-3.12	-2.544	-1.98	-3.596	-5.506	-1.651	-2.742	-4.025	-2.671	-2.555	-2.232	-2.581	-3.193	0.202	-0.682	-0.079	0.388	1.319	1.037	0.636	-1.083	0.645	-1.34	-0.623	-3.674	-2.798	-2.25	-3.521	0.776	-1.367	-2.105	1.027	0.982
"YMR001C"	-0.875	-1.137	-0.867	-2.749	-2.913	-3.219	-1.375	-1.485	-1.97	-2.089	-2.337	-2.372	-2.823	-2.825	-0.211	1.151	0.072	0.272	-1.021	0.879	-0.256	0.355	-0.098	0.454	-1.145	-1.727	-1.718	-1.926	-2.078	0.476	1.6	0.515	0.037	-0.27
"YMR116C"	-1.161	-3.012	-3.687	-3.089	-4.551	-6.865	-1.133	-3.535	-3.586	-2.851	-2.888	-2.906	-3.561	-4.003	-0.542	-1.441	-0.291	0.64	0.695	0.882	0.303	-2.271	0.65	-1.856	-1.904	-3.221	-3.026	-3.645	-3.586	-1.521	-2.439	-3.646	1.589	1.401
"YMR242C"	-1.255	-4.702	-3.631	-2.522	-3.971	-6.226	-2.004	-3.636	-4.84	-2.59	-3.004	-2.601	-3.133	-3.475	0.442	-0.052	0.068	0.607	0.655	0.874	0.571	-1.946	0.577	-1.61	-2.294	-4.158	-3.141	-2.446	-3.588	-1.007	-1.347	-1.911	0.938	0.532
"YNL009W"	1.223	2.337	2.658	3.931	3.672	5.794	2.261	2.771	2.794	2.625	2.456	4.699	4.803	3.897	-0.046	-0.017	-0.447	-0.116	0.138	-0.083	-0.259	0.386	-0.287	0.089	-0.138	1.866	3.281	1.58	2.572	0.12	1.164	-2.089	-0.48	0.236
"YNL096C"	-1.426	-4.113	-3.765	-2.81	-4.038	-6.106	-2.087	-2.761	-4.716	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	0.922	-0.197	0.674	0.748	0.652	0.511	-2.327	0.817	-1.783	-1.586	-3.52	-2.764	-2.627	-3.372	-0.263	-1.519	-2.629	1.046	-0.06
"YNL162W"	-1.168	-3.953	-3.395	-2.175	-2.858	-6.425	-1.564	-2.421	-3.999	-2.0	-2.0	-1.742	-2.487	-3.468	-0.03	-0.297	-0.173	0.868	0.884	0.462	0.46	-1.868	0.641	-0.667	-1.777	-2.704	-2.701	-2.189	-3.323	0.075	-1.905	-1.637	0.984	0.473
"YNR043W"	-0.385	-3.5005	-1.8155	-1.86	-2.934	-5.1565	-1.5865	-1.949	-1.36	-2.078	-2.382	-2.655	-3.803	-3.856	-0.264	-0.216	-0.1335	0.545	0.261	-0.081	0.169	-1.967	0.487	-0.208	-1.265	-1.759	-1.955	-0.593	-1.673	-0.362	-1.298	-1.211	0.514	-0.017
"YOR276W"	-0.669	-2.1185	-1.5925	-1.455	-3.943	-4.3595	-0.9165	-1.99	-2.37	-1.789	-1.815	-1.759	-1.888	-2.356	-0.227	0.95	-0.382	0.591	0.658	0.232	0.417	-0.768	0.864	-1.009	-1.208	-2.444	-1.699	-0.956	-1.526	0.032	-1.195	-1.64	0.362	-0.661
"YOR277C"	-0.719	-2.185	-2.1265	-1.713	-3.25	-4.571	-1.4635	-2.148	-2.305	-1.464	-2.047	-1.978	-2.103	-2.211	-0.271	0.84	-0.1105	0.458	0.218	0.287	0.139	-0.586	0.836	-1.033	-1.361	-1.552	-1.709	-0.85	-1.913	0.362	-1.722	-3.256	-0.942	-0.592
"YOR315W"	-2.65	-3.8935	-2.27	-3.1035	-2.9775	-4.3035	-2.563	-1.979	-2.638	-2.502	-3.165	-2.855	-2.774	-2.784	-0.191	0.141	-0.247	0.148	0.512	0.817	-1.03	-0.457	-0.974	-1.627	-3.042	-2.188	-1.234	-1.281	-2.187	0.781	-2.876	-1.791	0.538	0.126
"YPL079W"	-1.356	-4.616	-4.1965	-2.3565	-3.892	-6.4765	-1.7255	-3.0255	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	-0.126	-0.043	0.712	0.408	0.582	0.136	-1.074	0.378	-2.154	-1.721	-2.865	-2.753	-2.74	-3.431	0.117	-0.861	-2.506	0.729	0.47
"YPL081W"	-1.149	-4.5065	-3.3595	-2.508	-3.4025	-6.801	-1.7785	-2.428	-4.022	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	-0.046	-0.048	0.789	-0.015	0.445	0.257	-2.093	0.533	-1.399	-1.722	-3.083	-2.359	-1.427	-2.717	0.093	-1.103	-2.175	0.486	0.072
"YPL143W"	-0.99	-4.4445	-3.3605	-2.5465	-3.35	-5.0395	-2.2805	-2.7815	-4.372	-2.155	-2.195	-1.391	-1.972	-2.941	0.005	-0.279	-0.1735	0.678	0.551	0.831	0.431	-1.266	0.735	-0.679	-2.212	-2.893	-2.234	-1.996	-2.792	-0.71	-0.99	-1.973	-0.189	-0.54
"YPL273W"	-0.6445	-3.42133333333333	-2.60833333333333	-2.792	-3.722	-5.69966666666667	-2.034	-2.69266666666667	-2.8035	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.0235	0.394	-0.003	-0.037	0.253	0.101	0.362	-0.399	0.928	-1.346	-1.838	-1.883	-1.961	-1.127	-2.524	-1.828	-2.243	-3.347	-0.396	-0.422
"YPR102C"	-0.995	-3.521	-3.2315	-2.7315	-4.045	-6.451	-1.4375	-3.673	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	0.219	0.809	-0.1255	0.952	0.635	0.767	0.548	-1.161	0.777	-2.195	-1.611	-3.927	-2.614	-2.344	-3.517	0.64	-2.829	-2.66	1.332	0.863
"YPR119W"	-0.955	-2.692	-2.3105	-4.2055	-4.6155	-4.3695	-2.2045	-2.3625	-2.424	-2.207	-4.062	-3.433	-3.885	-3.308	0.153	0.413	-0.195	-0.249	0.882	0.599	-0.211	0.086	-0.467	-1.061	-1.72	-2.849	-2.418	-3.005	-2.925	0.796	-1.72	-2.607	-0.026	0.066
