	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"7541.DES459 (mec1) - log phase (IR time "	"7542.DES459 (mec1) - log phase (MMS time "	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8247.steady state 36 dec C: y14n095"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"33414.delKIN82_heat shock _0min_repeat"	"33417.delKIN82_heat shock _60min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"
"YDR097C"	-1.67	-1.703	-2.079	-1.555	-2.085	-1.692	-1.246	-1.191	-1.468	-1.696	-1.229	-0.161	-1.649	-2.765	-1.081	-0.242	-0.191	-0.98	-0.16	-0.119	-2.379	-0.761	-0.711	-0.954	-1.371	-1.795	-1.685	-0.1555	0.041	0.295	0.593	0.541	-0.249	-0.433	-0.176	-1.966	0.183	-0.3775	-0.001	-0.418	-0.2435	-0.357	-1.069	-0.4845	-0.0085	-0.3535	-1.3965	-0.082
"YDR101C"	-3.513	-3.593	-3.404	-3.0	-3.74	-3.659	-2.724	-2.357	-1.309	-4.306	-3.203	-3.082	-4.145	-4.667	-2.997	0.15	-0.224	-3.385	-2.743	-1.752	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	-0.251	-0.248	0.107	0.417	0.102	-0.002	-0.628	-0.225	-3.253	-0.103	-0.98	-0.785	-0.118	0.435	-0.197	-2.088	-2.116	0.525	0.254	-3.048	0.29
"YDR165W"	-3.154	-3.024	-2.85	-2.419	-2.874	-2.762	-1.9	-1.702	-1.335	-4.096	-2.538	-2.179	-3.111	-5.309	-2.69	0.326	-0.057	-3.015	-2.243	-1.636	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	-0.104	0.001	-0.044	0.523	0.184	0.277	0.05	0.086	-2.787	-0.157	-0.529	0.277	-0.544	-0.149	-0.758	-2.479	-2.722	-0.175	0.132	-3.205	0.194
"YDR246W"	0.568	0.62	0.586	0.574	0.702	0.655	0.545	0.316	0.116	1.81	0.84	0.956	-0.303	-1.956	0.743	-0.445	-0.371	0.589	0.725	0.496	0.553	-0.01	0.209	0.381	0.574	0.747	0.546	-0.094	0.018	-0.099	0.328	0.19	0.0	0.518	0.024	0.697	0.081	-0.006	0.101	0.016	-0.051	-0.193	0.842	0.426	0.171	-0.215	0.937	-0.157
"YDR321W"	-1.45	-2.249	-2.499	-2.037	-2.545	-2.484	-1.035	-1.555	-0.848	-3.554	-2.231	-2.695	-3.093	-4.43	-2.157	0.275	-0.653	-3.362	-3.039	-2.9	-2.857	-2.273	-2.389	-2.828	-2.704	-2.582	-2.75	0.016	0.2	-0.017	0.042	0.193	0.197	0.458	0.555	-2.221	0.05	1.17	0.106	0.823	0.16	-0.051	-2.082	-2.119	0.541	0.613	-3.214	0.187
"YDR450W"	-1.91	-1.876	-1.979	-1.959	-2.844	-3.077	-1.012	-2.423	-1.837	-3.254	-2.797	-2.204	-2.6	NaN	-2.564	0.889	0.107	-3.208	-3.201	-2.618	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	0.229	0.141	0.282	-0.429	0.037	0.635	0.142	0.137	-3.008	0.131	0.554	0.138	0.225	-0.208	0.389	-3.787	-3.762	-0.047	0.535	-3.594	0.463
"YDR492W"	-2.792	-2.796	-2.895	-2.409	-2.677	-2.102	-1.993	-1.497	-1.399	-1.91	0.186	-0.297	-0.347	-2.336	-0.985	0.241	0.148	-1.701	-0.997	-0.326	-0.244	0.041	0.004	0.083	0.91	0.855	0.317	-0.42	-0.594	-0.47	1.342	-0.407	-0.255	-0.263	0.48	-3.429	0.104	0.074	0.0	-0.338	-0.747	0.371	-0.717	-0.241	-0.003	0.093	-0.938	0.249
"YEL054C"	-2.122	-1.926	-2.095	-2.314	-1.907	-3.528	-0.856	-2.603	-2.173	-3.654	-2.711	-2.761	-2.98	-7.056	-2.484	0.377	-0.127	-3.039	-3.52	-3.003	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.166	0.22	0.091	-0.476	-0.165	0.344	-0.107	-0.239	-3.251	0.1225	1.897	0.782	0.946	0.21	0.099	-4.422	-2.487	0.453	-0.176	-3.815	0.124
"YER117W"	-1.836	-1.667	-1.868	-2.379	-2.386	-3.056	-1.02	-2.019	-1.321	-2.982	-2.613	-2.377	-2.832	-5.642	-2.458	-0.059	-0.084	-3.05	-3.141	-2.843	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.248	0.265	0.308	-1.392	-0.789	0.631	0.291	0.037	-3.314	-0.0185	0.196	-0.386	-0.035	0.121	0.012	-3.319	-2.632	-0.019	0.069	-3.238	0.179
"YFL023W"	-1.779	-1.7	-1.828	-1.585	-2.527	-2.423	-1.765	-1.669	-0.966	-3.263	-1.428	-1.597	-0.877	-2.632	-1.913	-0.153	-0.568	-2.392	-1.238	-0.487	-1.543	-0.616	-0.099	-0.228	-0.192	-0.973	-0.802	-0.537	-0.38	0.199	0.422	-0.701	0.149	-0.428	-0.455	-2.607	-0.2195	-0.068	-0.913	0.148	-0.157	-0.6	-0.497	-0.289	-0.475	-0.228	-0.212	-0.339
"YGL006W"	1.4845	1.354	1.0935	1.1365	1.2495	0.8775	0.7165	1.0935	0.2265	2.064	2.0155	2.1505	1.351	-0.6755	1.085	0.279	0.543	1.402	1.281	0.8145	2.137	1.681	1.4885	1.351	1.019	0.9175	0.527	0.306	0.3695	-0.1715	0.1645	0.2825	-0.4735	-0.1155	-0.269	0.371	0.1485	0.416	0.001	0.98	0.32	1.093	1.408	1.167	0.493	0.348	2.247	-0.01
"YGL120C"	-3.316	-3.34	-3.231	-3.301	-3.954	-3.877	-1.855	-1.614	-0.802	-4.557	-3.087	-2.692	-4.088	-5.111	-3.085	-0.318	-0.298	-3.171	-3.229	-1.739	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-0.136	-0.349	0.0	-0.46	-1.385	0.226	-0.384	-0.044	-3.8	0.27	0.118	-0.128	-0.015	0.166	-0.628	-2.891	-3.416	0.424	0.325	-3.546	0.104
"YGL123W"	-1.71	-2.094	-2.557	-2.339	-3.47	-4.378	-1.363	-2.649	-1.867	-3.781	-3.757	-3.726	-4.004	-5.982	-3.013	0.387	-0.461	-4.112	-3.654	-3.701	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.225	0.42	0.027	-1.1	-1.025	0.584	-0.03	-0.32	-3.308	0.216	1.212	-0.797	0.822	0.292	-0.365	-4.217	-3.27	0.49	0.525	-4.123	0.385
"YGL132W"	0.814	0.749	0.653	0.322	1.13	0.497	0.405	0.926	0.377	0.828	0.844	1.362	0.724	-1.404	0.104	-0.332	-0.166	0.386	0.585	0.262	0.272	0.324	0.723	0.671	0.897	0.775	0.362	-0.24	NaN	0.044	0.48	NaN	0.152	0.102	-0.544	0.908	-0.075	-0.1135	-0.157	0.0775	0.225	0.0045	0.6175	0.6115	-0.0815	-0.268	0.342	0.251
"YGL135W"	-1.664	-2.365	-2.285	-2.468	-3.231	-3.984	-1.047	-2.804	-2.361	-3.221	-2.573	-2.455	-3.418	-5.687	-2.615	0.361	-0.233	-3.217	-3.23	-3.119	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-0.12	-0.246	-0.045	-0.944	-0.499	0.244	-0.477	0.184	-3.406	0.149	0.529	-0.292	-0.325	0.193	-0.344	-3.443	-2.903	-0.108	0.113	-3.617	0.164
"YGL147C"	-2.372	-2.337	-3.006	-2.704	-4.102	-4.319	-1.272	-2.743	-1.941	-3.892	-3.111	-3.32	-3.921	-7.507	-2.882	0.64	-0.116	-3.0	-3.753	-3.466	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.094	-0.229	0.326	-1.211	-0.479	0.465	-0.087	0.098	-3.829	0.071	0.7655	-0.322	0.405	0.348	0.1065	-3.1805	-2.6025	0.282	0.4845	-3.1585	0.2635
"YGL148W"	-1.712	-2.044	-2.027	-1.735	-2.05	-2.295	-1.064	-1.383	-1.107	-3.561	-2.137	-1.719	-2.826	-3.915	-1.067	-0.353	-0.936	-2.983	-2.53	-2.64	-2.555	-1.926	-2.049	-2.327	-1.666	-1.996	2.781	0.078	0.054	0.038	-1.178	-1.049	0.165	-0.253	0.453	-2.451	0.018	0.929	0.539	0.152	0.025	-0.935	-3.932	-2.547	-0.294	0.274	-3.123	-0.194
"YGL259W"	2.667	NaN	2.285	1.563	1.944	2.157	1.285	1.028	0.335	3.517	2.619	2.908	1.014	-0.161	1.171	0.044	-0.273	0.895	0.846	1.426	2.817	1.509	1.254	1.404	0.856	1.59	0.906	0.394	0.036	0.681	-0.489	0.464	-0.646	-0.085	-0.387	2.842	-1.236	0.331	0.721	-0.088	0.203	1.168	2.021	2.412	0.579	0.2	3.466	0.323
"YGR090W"	-1.435	2.859	-1.265	-0.867	-1.784	-2.179	-0.99	-0.772	-0.76	-2.054	-1.475	-1.393	-0.463	-2.139	-0.451	0.352	-0.112	-0.971	-2.225	-0.787	-3.159	-1.61	-1.627	-1.404	-1.524	-1.54	-1.573	-0.244	-0.272	0.293	0.087	0.151	0.127	-0.082	-0.215	-1.831	-0.033	-0.7855	-0.8565	-0.2865	0.042	0.125	-0.1885	-1.082	-0.1955	-0.541	-1.573	-0.022
"YGR160W"	-6.235	-5.8935	-5.9475	-5.567	-6.207	-4.6575	-5.116	-1.851	-1.159	-4.796	-4.983	-4.886	-2.479	NaN	-1.923	-1.433	-0.018	-2.892	-2.69	-2.008	-4.626	-3.397	-2.991	-3.408	-3.544	-4.076	-4.24	-0.589	-1.034	-0.184	0.176	-0.239	-0.211	-1.431	-0.593	-6.3385	0.2235	0.04	-0.62	-0.786	0.009	-0.812	-2.945	-3.866	-0.254	0.369	-4.708	-0.321
"YGR187C"	-2.837	-0.1165	-2.2925	-1.6905	-2.126	-2.5625	-1.843	-1.618	-1.178	-2.942	-2.082	-1.876	-2.024	-3.678	-1.765	-0.041	-0.149	-2.234	-2.079	-1.08	-2.27	-1.613	-1.609	-1.84	-2.77	-2.482	-2.043	0.192	-0.25	-0.013	0.176	-0.253	0.222	-0.112	-0.222	-2.453	-0.043	-0.167	0.134	0.243	-0.093	-0.729	-2.525	-2.662	0.317	0.307	-3.256	-0.138
"YGR286C"	-1.4345	-0.991	-1.335	-0.762	-1.1635	-1.1705	-0.936	-1.019	-0.132	-1.853	-1.91	-1.314	-0.767	-2.211	-0.555	-0.223	-0.552	-1.839	-0.984	-0.493	-0.839	0.045	-0.208	-0.327	-0.35	-1.271	-0.58	-0.117	-0.178	-0.241	-0.017	0.04	0.488	0.458	0.194	-1.055	0.152	0.184	0.366	0.291	-0.006	0.109	-0.426	-0.957	0.344	0.793	-0.589	0.075
"YHL011C"	-2.744	-2.4425	-2.467	-2.107	-3.0145	-3.024	-1.817	-1.337	-1.155	-2.604	-1.684	-1.225	-2.023	-3.592	-1.461	0.464	-0.019	-2.503	-2.019	-1.597	-1.801	-0.989	-1.128	-1.272	-1.25	-1.552	-1.5	0.158	0.191	-0.008	-0.481	-0.466	0.436	0.402	0.289	-3.2715	0.231	0.162	-0.113	0.131	0.35	-0.152	-2.033	-1.74	0.536	0.495	-2.086	0.576
"YHR052W"	-4.2445	-2.638	-3.5175	-3.5215	-4.3935	-3.9395	-2.417	-2.069	-1.327	-4.199	-3.017	-2.239	-2.598	-4.447	-2.516	1.061	0.351	-2.565	-2.428	-1.756	-3.435	-2.249	-2.245	-2.297	-2.182	-2.764	-1.203	0.07	-0.158	0.119	0.515	-0.158	0.405	-0.36	-0.532	-4.9395	0.071	0.438	-0.099	-0.881	-0.693	-0.601	-1.892	-3.411	-0.35	0.53	-3.47	-0.271
"YHR066W"	-3.7505	-3.058	-3.0515	-2.9815	-3.762	-3.552	-2.046	-1.966	-1.468	-4.885	-2.062	-1.572	-3.164	-5.203	-2.29	0.153	-0.205	-2.974	-2.008	-1.599	-2.742	-1.611	-1.41	-1.569	-1.879	-2.539	-1.923	-0.341	-0.403	0.466	0.641	-0.456	0.085	-0.606	-0.372	-4.347	-0.185	-0.247	-0.163	-0.197	-0.062	-0.263	-1.623	-1.898	0.192	0.245	-2.382	0.536
"YHR170W"	-5.3995	-6.3835	-4.622	-4.14	-4.723	-3.947	-3.256	-2.797	-1.852	-4.51	-1.901	-2.071	-2.573	-4.858	-2.326	-0.454	-0.263	-2.759	-2.694	-1.887	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	-0.102	-0.182	0.037	0.122	-0.938	0.29	-0.425	-0.578	-5.252	0.187	-0.342	-0.609	-0.888	-0.4	-1.441	-3.186	-2.544	-0.37	-0.439	-3.601	-0.489
"YHR197W"	-3.7705	-3.293	-3.414	-2.9045	-3.415	-3.1475	-2.438	-1.534	-1.062	-2.813	-2.52	-2.262	-2.76	-2.808	-2.03	-1.88	-0.703	-2.457	-2.259	-1.542	-1.99	-1.778	-1.716	-1.524	-1.737	-2.343	-2.822	-0.252	-0.495	-0.004	-0.207	-0.608	-0.076	-0.664	-0.463	-2.7335	-0.054	-0.56	-0.47	-0.484	-0.127	-0.543	-1.648	-2.215	-0.276	-0.534	-2.625	-0.472
"YIL018W"	1.619	-2.245	-2.4325	-2.2685	-3.509	-3.965	-1.381	-2.824	-2.493	-4.365	-3.03	-2.782	-3.492	-5.749	-2.754	0.262	-0.694	-3.362	-3.505	-3.056	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.056	0.19	-0.233	-1.16	-1.031	0.321	-0.227	-0.014	-3.4165	0.152	0.28	-0.297	0.017	0.566	0.334	-4.277	-3.397	-0.208	0.051	-4.06	0.084
"YIL087C"	2.417	3.0805	1.9465	1.535	2.07	1.8265	1.037	1.158	0.023	3.671	3.897	2.31	NaN	1.261	1.5	0.307	-0.33	1.563	1.187	1.325	3.174	2.153	2.187	2.42	3.014	2.869	2.391	0.33	0.481	0.128	-0.538	0.104	-0.241	0.204	0.547	2.865	-0.07	0.213	-0.264	0.269	0.778	0.298	2.942	2.843	-0.019	0.151	3.578	-0.31
"YIL115C"	0.926666666666667	-0.776666666666667	-0.922666666666667	-0.879	-0.918666666666667	-0.859666666666667	-0.6305	-0.433	-0.6855	-0.3735	0.136	0.3365	-1.588	-2.385	-0.1575	0.388	-0.3135	-0.548	0.0175	0.2875	0.222	-0.204	-0.6145	-0.626	-1.4435	-1.8015	0.023	-0.2755	-0.19	-0.0975	0.438	-0.159	-0.3165	0.023	-0.2615	-0.922	-0.173	-0.0665	-0.061	-0.427	-0.2105	-0.5355	-0.5635	-0.424	-0.1985	-0.2745	-0.083	-0.403
"YIL133C"	-2.0235	-2.2305	-2.6465	-2.027	-3.384	-3.811	-1.505	-2.661	-2.068	-3.333	-3.196	-3.135	-2.693	-5.79	-2.633	0.283	-0.248	-2.93	-2.571	-2.194	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	-0.167	-0.018	0.235	-0.765	-0.5	0.525	-0.125	-0.038	-3.3115	-0.02	1.088	-0.111	0.842	0.329	0.259	-4.387	-3.183	-0.049	0.39	-4.098	0.67
"YJL188C"	-1.789	-1.259	-1.645	-1.9795	-2.06	-2.5615	-0.516	-2.075	-1.392	-2.525	-2.39	-2.043	-2.786	-4.633	-2.442	1.311	0.292	-2.24	-2.745	-2.519	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.274	-0.289	0.017	-0.349	0.022	0.566	-0.395	-0.252	-2.649	0.024	0.202	-0.667	-0.486	-0.414	-0.871	-2.879	-1.947	-0.593	-0.068	-2.777	-0.022
"YJL190C"	-2.166	-2.292	-2.525	-2.8085	-3.022	-3.838	-1.283	-2.911	-2.272	-3.794	-3.553	-3.267	-3.585	-6.079	-3.053	0.977	0.119	-3.969	-3.744	-3.536	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.16	0.362	0.048	-0.583	-0.056	0.708	-0.098	-0.208	-3.7855	0.084	0.115	-0.276	0.507	0.217	-0.193	-4.772	-3.912	-0.204	0.062	-4.874	-0.03
"YJR104C"	1.526	1.9435	1.508	1.005	1.3685	2.091	0.812	1.65	0.788	2.317	2.397	2.136	1.062	-0.653	0.451	0.305	0.576	0.986	0.864	0.573	1.115	0.579	0.913	1.399	1.117	0.685	0.915	0.359	0.538	0.455	-0.67	-0.641	0.286	0.73	0.417	0.961	0.116	0.155	0.191	0.758	0.386	0.224	1.206	1.462	0.026	0.414	1.506	-0.013
"YJR121W"	1.23233333333333	1.154	0.634333333333333	0.606666666666667	0.817333333333333	0.94	0.8	-0.399	-0.4455	2.582	3.5455	3.091	0.1715	-1.588	0.3345	0.1405	0.4325	0.8405	1.255	0.6115	3.147	2.742	1.605	1.2845	0.8815	0.7525	-0.413	0.244	0.232	-0.0745	0.0495	0.2775	0.1265	0.1815	0.0195	0.630666666666667	-0.027	0.7	-0.154	-0.066	0.176	0.456	1.577	2.57	-0.31	0.281	1.773	0.201
"YJR123W"	-1.798	-2.13	-2.5565	-1.912	-3.5655	-4.258	-1.277	-2.317	-1.807	-3.844	-3.276	-3.279	-4.381	-9.147	-2.017	0.483	-0.128	-3.809	-3.529	-3.442	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.237	0.058	0.56	-1.173	-0.422	0.357	-0.414	-0.153	-3.445	-0.629	1.029	-1.029	0.571	0.553	0.526	-4.305	-3.113	0.518	0.491	-3.711	0.217
"YKL099C"	-4.464	-4.014	-3.88	-2.796	-3.564	-3.037	-3.158	-2.266	-1.372	-4.145	-2.015	-2.146	-1.671	-3.312	-2.489	0.618	-0.038	-2.585	-1.842	-1.608	-3.26	-1.746	-1.419	-1.618	-0.653	-3.165	-2.644	0.064	-0.331	0.19	0.57	-0.394	0.124	-0.903	-0.517	-3.926	-0.691	-0.656	-0.382	-0.587	0.019	-0.097	-1.88	-1.394	0.604	0.405	-3.486	0.446
"YKL201C"	0.581	1.171	0.859	0.79	1.046	1.231	0.664	0.852	0.569	1.444	0.633	0.669	1.374	-0.705	3.003	1.012	0.382	1.761	2.608	1.361	0.762	1.329	1.425	1.551	-0.229	-0.533	-0.35	-0.84	-0.32	0.455	0.042	-0.023	0.027	0.387	-0.254	1.935	0.358	0.489	0.471	0.593	0.097	0.99	0.88	0.658	1.029	0.085	1.571	0.86
"YKR044W"	-1.037	1.807	-1.752	-0.951	-0.866	-0.946	-0.568	-0.906	-0.491	-1.912	-0.454	-0.284	-0.836	-2.244	-0.718	0.087	-0.228	-1.433	-2.162	-1.042	-0.009	-0.135	-0.141	-0.042	0.29	-0.197	-0.317	-0.135	-0.304	-0.158	-0.396	-0.587	0.058	-0.087	0.09	-0.406	0.199	0.288	-0.243	-0.006	0.54	-0.146	-0.561	0.286	-0.087	-0.331	-0.935	-0.368
"YLL044W"	-1.737	-2.245	-2.526	-2.196	-3.582	-4.162	-1.173	-2.783	-2.271	-4.871	-3.525	-3.158	-3.79	-6.48	-2.802	-0.171	-0.369	-3.313	-3.031	-3.269	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.289	0.001	-0.086	-0.761	-0.863	0.294	-0.391	-0.275	-3.517	0.202	0.405	-0.293	0.875	0.482	0.391	-3.189	-2.774	0.452	0.47	-3.806	0.324
