	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"297.Kb vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4047.0.8M NaCl +FK506 - 15 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7758.Na 15min"	"7762.Na+FK 15min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"13496.G0 mRNP vs. Poly"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"38152.03II01 batch p8"	"38154.03II01 batch p10"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"
"YJL145W"	-1.4405	-0.994	0.236	-1.124	-1.1075	-1.1695	-2.076	-0.742	-2.136	-3.628	-0.972	-1.713	-1.117	-1.535	-1.17	-1.482	-2.303	-2.334	-2.853	0.109	-0.185	0.355	-0.368	-0.262	0.479	0.183	0.289	-0.9195	0.837	0.552	-1.162	-1.117	-1.581	-1.582	-0.307	-0.826	-0.229	0.159	0.222
"YJR069C"	-0.3655	-0.9195	-0.052	-0.757	-1.1045	-1.034	-2.056	-2.026	-3.527	-4.151	-1.541	-1.806	-1.64	-1.021	-1.033	-1.09	-1.656	-1.806	-1.42	0.306	0.063	0.154	0.288	0.079	-0.468	0.279	0.32	-1.066	-0.01	0.785	-1.227	-0.774	-1.685	-2.036	-0.124	-0.429	-1.458	-0.579	-1.675
"YLR175W"	-4.176	-3.679	-0.123	-3.07	-4.552	-4.902	-5.607	-2.657	-3.401	-5.468	-2.275	-3.996	-3.068	-4.678	-2.413	-3.408	-3.701	-4.364	-4.96	0.101	-1.754	-0.329	-1.987	-2.214	-1.76	0.436	0.272	-4.431	-1.303	0.375	-4.177	-3.986	-4.338	-2.959	-2.978	-2.89	-3.083	-2.593	-2.074
"YLR197W"	-4.98	-4.044	-0.061	-3.638	-4.76	-5.179	-5.817	-2.795	-4.736	-5.242	-1.811	-3.899	-3.238	-5.671	-2.611	-3.716	-4.423	-4.976	-5.033	0.063	-1.807	-0.229	-2.103	-2.453	-1.574	0.476	0.362	-5.072	-1.161	0.51	-4.496	-4.151	-4.545	-3.045	-2.647	-2.559	-1.459	NaN	-1.507
"YLR335W"	-0.509	-0.442	-0.159	-0.855	-0.593	-0.773	-1.25	-1.666	-1.306	-3.177	-0.889	-1.332	-1.29	-1.839	-1.228	-1.323	-1.448	-1.681	-2.238	-0.477	-0.33	-0.064	-0.144	-0.165	-0.081	-0.094	-0.175	-0.894	0.248	0.299	-1.007	-0.986	-1.209	-1.065	0.185	0.178	-1.52	-1.035	-0.527
"YMR131C"	-4.819	-4.183	0.161	-3.849	-4.525	-4.347	-5.631	-2.698	-5.052	-6.665	-2.016	-3.547	-2.98	-4.277	-2.776	-3.214	-4.236	-5.241	-4.266	-0.703	-1.726	-0.375	-1.234	-2.295	-1.767	-0.429	-0.381	-4.674	-1.264	-0.051	-3.866	-3.736	-4.181	-2.68	-2.149	-2.21	-2.513	-2.742	-3.442
"YMR321C"	-1.944	-2.035	-0.282	-1.737	-2.174	-2.078	-2.201	-2.138	-3.288	-3.811	-1.77	-2.632	-2.309	-2.252	-1.952	-2.8	-2.409	-2.567	-2.424	-0.35	-0.661	0.086	-1.041	-0.663	0.007	-0.238	-0.28	-2.265	0.223	-0.369	-0.894	-0.92	-2.994	-2.044	-0.863	-1.141	-1.192	-0.959	-0.646
"YNL010W"	-0.915	-1.273	0.276	-1.097	-1.633	-1.606	-1.718	-2.229	-1.296	-4.52	-1.486	-1.758	-1.467	-1.705	-1.502	-1.936	-2.483	-2.738	-3.396	0.007	-0.936	-0.276	-1.223	-1.409	-0.797	-0.029	0.186	-1.246	-0.512	0.566	-1.233	-1.339	-0.991	-0.83	0.428	-0.262	-1.308	-1.066	-1.11
"YNL132W"	-4.679	-5.146	0.334	-3.658	-3.329	-4.954	-5.826	-3.25	-4.956	-6.392	-2.3	-3.285	-3.141	-4.353	-2.313	-2.936	-3.396	-4.377	-4.049	-1.037	-1.266	-0.705	-1.739	-1.64	-2.055	-0.404	-0.327	-3.45	-1.575	0.755	-4.311	-3.564	-3.989	-2.673	-2.333	-2.393	-2.128	-1.908	-1.989
"YNL175C"	-5.334	-4.901	0.1	-4.11	-4.362	-3.931	-4.877	-2.4	-2.872	-6.011	-1.179	-2.575	-2.601	-4.587	-2.405	-2.484	-2.404	-3.809	-2.849	0.149	-1.726	-0.409	-1.857	-1.834	-1.707	0.217	0.325	-5.147	-1.679	-0.162	-2.388	-1.746	-2.5475	-1.882	-1.506	-2.0935	-4.49	-2.353	-2.696
"YOL097C"	-0.908	-1.899	0.064	-1.737	-1.732	-1.845	-4.26	-2.906	-0.491	-6.314	-1.722	-2.427	-2.464	-3.246	-2.063	-2.685	-3.398	-4.044	-4.151	-0.179	-1.016	-0.342	-1.602	-1.055	-0.351	-0.018	0.096	-1.456	-0.419	0.735	-1.903	-1.913	-3.063	-3.051	-1.266	-1.708	-2.01	-2.156	-2.172
"YOR243C"	-3.594	-3.234	0.394	-2.436	-3.633	-3.982	-3.8055	-2.1915	-3.3625	-4.3935	-2.119	-2.588	-2.1815	-3.635	-2.371	-2.726	-2.865	-4.484	-3.863	-0.892	-1.441	-0.516	-1.451	-2.226	-1.497	-0.574	-0.461	-4.099	-1.0	0.672	-2.845	-2.616	-2.825	-2.065	-1.778	-1.962	-2.909	-2.358	-2.809
"YOR254C"	-0.773	-0.87	0.824	-0.897	-0.904	-0.787	-2.6515	-1.406	-2.192	-6.426	-1.5605	-2.053	-1.8245	-2.631	-1.666	-1.86	-2.354	-2.689	-2.309	-0.171	-0.117	-0.06	-0.016	-0.746	-0.176	-0.293	0.105	-0.782	-0.09	0.792	-1.03	-1.29	-2.342	-2.212	-0.153	-0.376	-1.57	-1.671	-1.337
"YOR260W"	-1.101	-1.113	0.289	-0.79	-1.147	-1.554	-2.6835	-1.432	-2.507	-4.639	-1.2355	-2.1155	-1.8705	-1.898	-1.26	-1.624	-2.257	-2.577	-3.081	0.215	0.372	0.228	0.321	0.124	-0.064	0.272	0.352	-1.421	-0.001	0.929	-1.272	-1.843	-2.099	-1.944	-0.319	-0.402	-0.885	-0.952	-0.766
"YOR309C"	-4.991	-4.328	-0.168	-3.697	-5.523	-5.514	-6.798	-4.227	-4.234	-6.859	-2.054	-3.709	-3.9105	-5.839	-3.084	-4.353	-4.746	-5.449	-5.009	0.161	-2.169	-0.712	-2.746	-2.255	-2.004	0.242	0.168	-4.939	-1.411	-0.777	-2.102	-2.645	-4.097	-3.518	-2.874	-3.595	-2.818	-2.231	-2.331
"YOR310C"	-5.053	-4.365	0.11	-3.309	-4.639	-3.004	-6.006	-3.0705	-4.7765	-7.1385	-2.5655	-3.766	-3.585	-5.777	-2.773	-4.105	-4.745	-5.099	-4.866	0.362	-1.862	-0.225	-2.082	-2.194	-1.71	0.744	0.377	-4.948	-1.398	0.654	-4.326	-4.099	-5.14	-4.292	-2.639	-2.539	-3.155	-2.87	-2.127
"YPL079W"	-2.261	-2.597	-0.306	-2.277	-3.115	-3.828	-4.616	-3.3525	-3.892	-6.4765	-1.7255	-3.085	-3.172	-4.735	-2.781	-3.087	-3.015	-3.498	-4.547	-0.393	-1.29	-0.779	-2.19	-1.564	-0.751	-0.874	-1.34	-3.135	-0.455	-0.056	-1.936	-1.721	-3.573	-3.431	-1.255	-1.662	-1.754	-2.843	-4.476
"YPL081W"	-2.088	-2.158	-0.3	-1.543	-2.931	-3.841	-4.5065	-3.083	-3.4025	-6.801	-1.7785	-2.5355	-2.916	-4.022	-2.461	-2.929	-2.789	-2.909	-3.725	-0.793	-1.145	-1.129	-2.064	-1.266	-0.635	-1.007	-1.48	-2.52	-0.185	0.039	-1.967	-1.722	-3.939	-2.717	-1.575	-1.555	-1.652	-2.062	-2.429
"YPL160W"	-1.6415	-1.5095	0.431	-1.541	-1.989	-2.429	-3.26033333333333	-1.608	-3.08233333333333	-5.284	-1.495	-2.22666666666667	-2.35066666666667	-4.0365	-1.8835	-2.824	-3.1695	-3.499	-2.977	-0.023	0.259	0.119	-0.1985	-0.3205	0.1465	0.1315	0.5065	-2.203	0.1075	1.405	-2.1325	-2.404	-3.512	-2.719	-0.929	-0.9655	-1.866	-1.7795	-2.4765
"YPL226W"	-3.457	-3.002	-0.1885	-2.4945	-3.229	-4.183	-4.86566666666667	-2.407	-3.95033333333333	-5.67966666666667	-2.84333333333333	-3.37333333333333	-2.503	-4.0095	-2.363	-2.8955	-3.407	-2.9025	-3.983	-0.2215	-1.373	-0.652	-1.404	-1.3215	-1.074	-0.087	-0.297	-3.215	-0.7665	0.962	-3.076	-3.793	-3.811	-3.004	-1.494	-1.471	-2.1345	-2.386	-1.6895
"YPL237W"	-2.227	-1.872	-0.003	-1.576	-2.008	-2.033	-2.6285	-2.3465	-2.875	-5.7585	-1.3595	-1.791	-1.39	-2.288	-1.665	-1.927	-2.006	-2.44	-3.024	0.192	-0.587	-0.076	-0.866	-0.869	-0.668	0.17	0.211	-2.215	-0.138	0.524	-1.428	-1.184	-1.535	-1.455	-0.538	-0.317	-0.883	-0.879	-2.781
"YPL238C"	-2.231	-1.665	0.139	-2.064	-2.04	-1.979	-1.898	-1.85	-2.431	-4.788	-1.105	-1.551	-1.391	-2.451	-1.817	-1.989	-1.843	-2.517	-2.586	0.581	-0.568	0.218	-0.643	-0.343	-0.602	0.039	0.43	-2.123	-0.053	0.416	-1.228	-1.238	-1.846	-1.135	-0.22	-0.694	-0.384	-0.85	-1.128
"YPL273W"	-1.992	-2.2005	-0.0675	-1.7945	-2.3665	-2.375	-3.42133333333333	-2.59566666666667	-3.722	-5.69966666666667	-2.034	-2.94366666666667	-2.86466666666667	-2.8035	-2.088	-3.2755	-2.794	-3.21	-3.3575	-0.3955	-0.7275	-0.062	-1.191	-0.912	0.025	-0.554	-0.338	-2.24	0.21	-0.142666666666667	-1.97	-1.838	-3.012	-2.524	-0.924	-1.113	-1.046	-1.601	-0.744
"YPR060C"	-0.966	-1.302	-0.088	-0.817	-1.077	-1.389	-3.5465	-3.075	-2.069	-3.801	-1.514	-1.7345	-1.7935	-2.71	-2.301	-2.627	-2.107	-3.352	-2.894	-0.019	-0.463	-0.212	-0.813	-0.258	-0.772	-0.244	-0.109	-0.94	-0.446	-0.378	-1.339	-0.842	-2.784	-2.741	-0.561	-0.771	-1.816	-1.601	-1.275
"YPR102C"	-2.11	-2.298	-0.074	-2.206	-3.37	-4.232	-3.521	-3.3515	-4.045	-6.451	-1.4375	-3.5055	-4.118	-4.644	-2.495	-3.232	-3.352	-3.749	-4.692	-0.144	-1.928	-0.681	-2.058	-1.98	-0.708	-0.496	-0.263	-3.007	-0.388	0.019	-2.5	-1.611	-4.015	-3.517	-1.694	-2.16	-3.07	-2.791	-2.274
"YPR110C"	-3.178	-3.084	0.085	-2.507	-3.52	-3.728	-5.7185	-2.9215	-3.662	-6.318	-1.862	-3.01	-3.296	-3.88	-2.186	-2.703	-2.993	-3.212	-3.358	-0.236	-1.496	-0.567	-1.994	-1.245	-1.375	-0.52	-0.335	-3.168	-1.271	-0.4235	-3.436	-3.503	-3.882	-3.113	-1.564	-1.842	-2.88	-2.431	-2.452
