	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"830.1.5 mM diamide (10 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1012.YPD 12 h (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"21661..24 mM H2O2- 049 minutes/redo"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33779.delYPL230w_stationary_phase_5hours"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"
"YER082C"	-2.842	-2.255	-1.288	-1.081	-1.948	-2.651	-2.474	0.964	-1.576	-1.597	-2.646	-3.108	-0.869	-1.211	-1.978	-1.17	-1.187	0.265	-0.237	-1.244	-0.956	-0.7	-1.05	-1.315	-1.843	-1.491	-0.785	-1.161	-1.57	-2.385	-1.301	-0.706	0.368	-1.081	-0.321	-1.343	-0.548	-0.986	-0.147	-0.518	-0.266	0.672	-0.209	1.598	-0.052	-0.21	-0.226	-0.129	-0.049
"YER117W"	-1.836	-1.868	-1.677	-0.166	-2.379	-2.386	-3.056	0.782	-1.02	0.401	-2.982	-5.642	-2.458	-1.947	-3.05	-3.141	-2.843	-0.247	-0.453	-3.768	-0.851	0.036	-0.997	-1.322	-1.82	-1.278	-0.903	-1.931	-1.863	-3.314	-0.612	-0.531	0.411	-0.4975	-0.323	-0.5245	-0.3695	-0.9125	-0.8595	-1.0745	-0.731	-2.377	0.121	-3.238	-0.127	-0.239	-0.178	-0.232	-0.009
"YER126C"	-3.132	-2.634	-1.396	-1.83	-3.488	-4.626	-4.459	0.966	-2.724	-1.531	-4.455	-5.367	-2.806	-1.149	-2.355	-2.036	-1.58	-0.069	-0.208	-2.303	-2.191	-0.966	-1.302	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	-5.253	-2.2045	-0.913	0.256	-2.315	-1.2935	-2.484	-0.0785	-1.4275	0.186	-1.882	-0.572	-5.806	0.283	-3.761	0.14	-0.309	-0.361	0.107	-0.157
"YGL076C"	-1.995	-2.09	-1.909	-1.019	-1.99	-2.744	-3.119	1.006	-1.065	0.191	-3.969	-5.667	-2.396	-1.913	-3.32	-2.996	-2.857	-0.131	-0.223	-4.142	-0.655	0.348	-0.901	-0.764	-1.847	-1.305	-1.223	-1.888	-1.94	-2.656	-1.6305	-0.8405	0.321	-1.2155	-0.689	-1.4615	-0.048	-1.469	-0.5705	-1.346	-0.116666666666667	-2.625	0.344	-3.347	0.478	0.616	0.551	0.406	0.582
"YGL078C"	-4.33	-3.709	-1.968	-1.926	-3.238	-4.399	-3.428	1.169	-2.77	-1.98	-4.866	-4.455	-2.562	-1.861	-2.914	-2.134	-2.156	-0.112	-0.2	-4.196	-2.446	-1.161	-1.862	-2.395	-3.376	-2.165	-1.541	-2.267	-2.353	-4.147	-2.646	-1.422	0.312	-3.155	-0.971	-2.412	-0.549	-1.981	-0.437	-2.06	-1.1165	-3.538	0.169	-3.576	-0.348	-0.465	-0.786	-0.155	-0.284
"YGL111W"	-2.705	-2.506	-1.189	-1.203	-2.165	-2.854	-2.867	0.933	-2.19	-1.109	-3.668	-2.826	-1.167	-1.62	-2.085	-1.026	-0.515	-0.024	-0.022	-2.617	-1.234	-0.608	-0.926	-1.235	-1.614	-1.309	-0.941	-1.429	-1.56	-2.724	-1.595	-0.892	0.5	-1.182	-0.844	-1.733	-0.689	-0.936	-0.432	-1.296	-0.2315	-3.188	-0.409	-3.063	-0.094	-0.377	-0.48	-0.299	-0.247
"YGL120C"	-3.316	-3.231	-1.542	-1.43	-3.301	-3.954	-3.877	0.987	-1.855	-1.488	-4.557	-5.111	-3.085	-2.298	-3.171	-3.229	-1.739	-0.229	0.021	-3.459	-0.663	-0.358	-1.003	-0.384	-1.588	-1.59	-0.047	-1.027	-1.427	-3.8	-2.094	-1.42	0.572	-2.406	-1.863	-2.085	-0.301	-1.088	-0.075	-1.06	-0.4465	-3.466	0.166	-3.546	-0.225	-0.162	-0.427	-0.216	0.001
"YGL181W"	0.955	0.649	0.18	0.469	0.837	0.781	0.548	-0.073	0.336	0.955	0.037	-1.003	1.056	0.943	0.799	0.613	1.279	-0.115	0.157	0.451	0.622	0.939	0.394	0.946	1.526	1.521	0.48	0.92	1.34	0.509	1.507	0.967	0.421	1.411	1.077	1.696	0.789	1.651	1.279	1.111	0.2815	1.286	0.213	1.912	0.303	0.644	0.476	0.419	0.349
"YGR034W"	-2.251	-2.191	-1.353	-0.609	-2.26	-3.059	-2.884	1.165	-1.764	0.216	-3.922	-6.281	-2.746	-2.052	-3.268	-2.935	-2.282	-0.225	-0.259	-3.635	-1.06	-0.157	-1.19	-1.586	-2.077	-1.514	-0.867	-1.605	-1.776	-2.708	-0.615	-0.337	0.453	-0.429	-0.3	-1.835	-0.717	-0.692	-0.839	-1.995	1.0285	-2.451	0.211	-4.347	0.267	0.26	0.137	0.201	0.35
"YGR123C"	-3.5875	-3.2965	-1.9375	-1.1295	-3.0495	-4.1895	-3.748	0.986	-2.491	-0.857	-4.447	-4.328	-2.958	-1.859	-2.878	-2.97	-2.137	-0.117	-0.389	-2.118	-1.64	-0.345	-1.05	-1.22	-1.73	-1.141	-0.923	-1.647	-1.535	-4.594	-1.682	-1.392	0.848	-1.8045	-0.917	-1.537	-0.6955	-1.606	-0.9865	-0.8925	-0.293	-2.795	-0.361	-3.836	0.033	-0.18	-0.453	0.044	-0.342
"YGR160W"	-6.235	-5.9475	-4.248	-3.6965	-5.567	-6.207	-4.6575	1.481	-5.116	-1.966	-4.796	NaN	-1.923	-1.624	-2.892	-2.69	-2.008	0.122	-0.365	-4.626	-3.109	-1.846	-2.876	-3.117	-3.857	-2.834	-2.737	-3.507	-3.412	-6.3385	-3.0265	-1.9205	0.276	-3.017	-2.1055	-2.625	-1.073	-2.6695	-0.8185	-3.5665	0.1605	-4.64	0.009	-4.708	-0.625	-1.013	-0.968	-0.672	-0.712
"YGR162W"	-2.26833333333333	-2.57833333333333	-1.561	-1.04166666666667	-1.89433333333333	-2.97266666666667	-3.149	0.572	-1.9045	-1.0985	-2.589	-3.2845	-1.063	-0.7695	-1.906	-1.361	-1.469	0.1015	-0.097	-1.6895	-1.837	-0.3155	-0.6605	-1.5535	-1.7475	-1.4005	-1.3635	-0.8165	-1.1905	-2.80166666666667	-1.701	-1.028	0.487	-1.78933333333333	-1.371	-1.727	-0.907333333333333	-1.57066666666667	-0.566666666666667	-1.46566666666667	0.375333333333333	-2.32	0.225	-2.225	0.393	0.096	0.062	0.064	0.092
"YGR173W"	-2.503	-1.71	-0.761	-0.7595	-1.958	-2.8095	-2.487	0.789	-1.968	-0.513	-3.271	-3.699	-1.899	-1.732	-2.709	-2.065	-1.747	0.351	0.0	-1.546	0.185	0.06	-0.517	0.117	-0.388	-0.135	0.217	-0.354	-0.522	-2.734	-1.338	-0.995	0.473	-1.374	-0.652	-1.176	-0.65	-0.973	-0.2105	-0.331	-0.4405	-1.911	0.045	-2.139	-0.157	-0.021	0.062	0.196	-0.139
"YGR214W"	-1.7475	-2.4095	-1.2835	-0.612	-2.2525	-3.7315	-4.254	0.903	-1.52	0.109	-4.3	-5.16	-3.099	-1.901	-3.581	-2.953	-2.7	-0.095	-0.498	-4.842	-1.101	-0.164	-1.562	-1.306	-2.222	-1.645	-1.191	-2.061	-1.791	-3.3975	-0.722	-0.694	1.143	-1.176	-0.557	-0.867	-0.548	-0.82	-0.157	-2.77	-0.421	-2.003	0.38	-3.805	0.708	0.515	0.517	0.429	0.687
"YGR283C"	-2.8315	-2.1325	-1.041	-1.4615	-1.4595	-0.842	-1.164	0.65	-1.048	-1.25	-1.969	-2.758	-1.966	-1.329	-1.848	-1.485	-1.07	0.203	0.045	-1.242	-1.467	-0.859	-1.606	-1.594	-2.493	-1.546	-0.915	-2.019	-2.054	-1.9485	-2.577	-1.227	0.344	-2.663	-0.815	-2.528	-0.725	-2.263	-0.353	-1.488	0.171	-0.712	0.406	-0.701	-0.107	-0.602	-0.84	-0.759	-0.776
"YHR010W"	-2.471	-2.255	-1.9545	-0.52	-2.0245	-3.406	-3.8525	0.826	-1.609	0.238	-3.693	-4.514	-2.294	-1.864	-3.343	-3.288	-3.007	0.265	-0.18	-4.159	-1.158	-0.011	-1.106	-1.441	-1.972	-1.452	-1.084	-1.912	-1.667	-3.0485	-0.415	-0.184	0.088	-0.602	-0.44	-0.223	-0.532	-0.756	-0.613	-1.324	0.988	-2.868	0.196	-3.56	0.076	0.273	0.138	0.296	0.142
"YHR052W"	-4.2445	-3.5175	-2.1725	-1.499	-3.5215	-4.3935	-3.9395	1.084	-2.417	-1.274	-4.199	-4.447	-2.516	-2.571	-2.565	-2.428	-1.756	-0.232	-0.372	-3.435	-2.447	-1.119	-1.839	-2.417	-2.621	-1.95	-1.349	-2.318	-2.298	-4.9395	-1.76	-1.037	0.598	-2.126	-1.241	-1.849	-0.397	-1.695	-0.857	-1.339	0.545	-2.827	-0.693	-3.47	0.049	-0.314	-0.663	-0.135	-0.22
"YHR066W"	-3.7505	-3.0515	-1.2655	-1.4695	-2.9815	-3.762	-3.552	0.948	-2.046	-1.993	-4.885	-5.203	-2.29	-2.064	-2.974	-2.008	-1.599	-0.128	-0.223	-2.742	-2.029	-1.419	-2.058	-1.659	-2.447	-1.738	-1.335	-2.494	-2.346	-4.347	-2.765	-1.648	1.127	-2.504	-1.513	-1.998	-0.378	-2.15	-1.422	-1.438	-0.541	-3.068	-0.062	-2.382	-0.115	-0.094	-0.536	-0.159	-0.241
"YHR148W"	-3.0225	-2.0375	-1.108	-1.2945	-2.8705	-3.2345	-2.692	0.758	-1.426	-1.294	-3.086	-3.377	-1.802	-1.649	-1.557	-1.816	-0.327	0.434	-0.2	-1.58	-2.068	-1.049	-1.697	-2.063	-2.43	-1.54	-1.509	-2.013	-1.969	-3.95	-1.428	-0.674	0.48	-1.566	-0.81	-2.008	-0.461	-1.694	-0.281	-1.702	-0.177	-2.565	-0.751	-2.893	0.033	-0.557	-0.251	-0.258	-0.49
"YHR170W"	-5.3995	-4.622	-2.4275	-2.085	-4.14	-4.723	-3.947	0.893	-3.256	-1.62	-4.51	-4.858	-2.326	-1.722	-2.759	-2.694	-1.887	-0.034	0.194	-2.314	-1.659	-0.636	-0.963	-1.725	-2.244	-2.093	-0.835	-1.733	-1.888	-5.252	-2.303	-1.547	0.31	-2.354	-1.291	-1.571	-0.645	-1.429	-0.243	-1.579	-1.396	-3.576	-0.4	-3.601	-0.175	-0.506	-0.782	-0.411	-0.501
"YHR203C"	-1.486	-2.0645	-1.586	-0.512	-1.915	-2.8785	-3.5975	0.884	-0.834	0.284	-3.926	-5.944	-2.51	-1.998	-3.917	-3.774	-3.412	0.0915	-0.252	-4.669	-1.394	0.017	-0.83	-1.777	-2.455	-1.726	-1.356	-2.243	-1.865	-2.809	-0.594	-0.401	0.642	-0.606	-0.501	-0.495	0.189	-0.438	-0.038	-1.268	0.281	-2.942	0.323	-3.717	0.154	0.033	0.145	0.248	0.539
"YIL014W"	-0.329	-0.627	0.15	-0.597	-0.0675	-0.456	-0.401	0.064	-0.039	-0.419	0.022	-2.126	0.372	-0.398	-0.419	-0.547	-0.377	-0.1315	0.041	0.218	-0.681	0.002	-0.42	-0.93	-0.851	-0.696	-0.771	-0.703	-0.155	-0.4125	-0.256	-0.163	0.065	-0.413	-0.388	-0.744	0.425	0.486	0.249	-0.422	0.17	-0.976	0.476	0.371	-0.258	-0.349	-0.083	-0.003	0.088
"YIL052C"	-2.0235	-2.1565	-1.9465	-0.511	-1.989	-2.7275	-2.972	1.136	-1.116	0.415	-3.856	-6.278	-2.539	-1.912	-2.82	-2.793	-2.559	0.108	-0.0785	-4.174	-0.416	0.388	-0.875	-0.6	-1.273	-0.905	-0.684	-1.141	-1.223	-2.531	-1.129	-0.52	-0.188	-1.108	-0.577	-1.191	-0.526	-1.426	-0.623	-0.129	-0.216	-2.337	0.088	-2.821	0.546	0.566	0.24	0.233	0.327
"YIL064W"	-2.354	-2.7345	-1.6085	-1.2675	-2.1515	-2.514	-2.1275	0.69	-1.887	-0.637	-2.326	-2.687	-2.664	-1.501	-2.125	-1.191	-0.356	-0.066	0.158	-0.443	-0.997	-0.456	-0.857	-1.059	-1.511	-1.65	-0.805	-1.392	-1.751	-2.1995	-1.533	-0.633	-0.047	-1.615	-0.883	-1.418	-0.663	-2.385	-1.013	-0.327	-0.614	-2.286	-0.059	-2.035	-0.116	-0.059	-0.503	0.007	0.093
"YJL107C"	3.4	1.104	1.367	0.7015	1.161	0.949	0.7425	-0.107	0.174	-1.115	-0.87	-6.293	-0.112	0.215	-0.648	0.288	0.238	NaN	NaN	-0.99	4.721	0.214	0.329	3.788	4.248	3.643	3.592	3.753	4.069	1.1455	2.14	-0.571	0.11	1.843	-0.834	0.694	-0.167	1.721	-0.679	-1.253	0.401	0.149	-0.415	-1.1125	-0.5785	-0.0905	-0.114	-0.104	-0.222
"YJL177W"	-2.0	-2.4035	-1.5595	-1.137	-2.211	-3.2765	-3.7865	0.893	-1.397	0.095	-4.132	-5.49	-2.648	-1.729	-3.409	-3.772	-3.428	-0.333	-0.23	-5.074	-1.063	0.119	-1.16	-1.264	-2.129	-1.64	-1.431	-2.455	-2.061	-3.293	-0.944	-0.595	0.653	-0.815	-0.86	-1.196	-0.32	-0.561	-0.281	-0.723	-0.511	-2.626	0.034	-4.54	0.501	0.319	0.421	0.232	0.481
"YJL190C"	-2.166	-2.525	-1.748	-0.659	-2.8085	-3.022	-3.838	1.126	-1.283	0.344	-3.794	-6.079	-3.053	-2.845	-3.969	-3.744	-3.536	-0.171	-0.3	-4.469	-1.232	0.122	-1.474	-1.753	-2.412	-1.772	-1.163	-2.255	-2.211	-3.7855	-1.068	-0.587	0.902	-0.741	-0.602	-0.37	-0.291	-1.42	-0.806	-1.538	-0.476	-3.078	0.217	-4.874	-0.112	-0.198	0.131	-0.137	0.18
"YKL006W"	-1.828	-2.75	-1.283	-0.9195	-1.949	-3.315	-3.5445	1.089	-1.048	0.121	-4.299	-5.113	-2.919	-2.6	-3.049	-3.027	-2.997	0.094	-0.476	-4.545	-1.03	-0.132	-1.404	-1.562	-2.111	-1.56	-1.268	-2.103	-1.94	-3.02	-0.139	-0.538	0.154	-0.219	-0.252	-0.434	-0.093	-0.838	-0.408	-1.145	-0.968	-2.654	0.286	-4.756	0.02	0.034	0.062	0.065	0.263
"YKL180W"	-1.731	-1.947	-1.228	-0.487	-2.16	-2.81	-3.531	0.983	-0.954	0.264	-2.661	-5.237	-2.195	-1.48	-2.625	-3.204	-2.593	-0.014	-0.21	-4.629	-0.868	0.217	-1.123	-1.234	-2.003	-1.241	-0.999	-1.883	-1.742	-3.37	-1.161	-0.762	0.664	-0.352	-0.561	-0.687	-0.511	-1.153	-0.598	-1.135	0.277	-1.891	0.331	-3.071	0.541	0.267	0.486	0.105	0.41
"YKR056W"	-4.01	-3.872	-1.682	-1.497	-2.945	-3.217	-3.127	0.804	-2.566	-1.962	-4.495	-4.34	-2.352	-2.076	-2.379	-1.808	-1.061	0.069	-0.584	-1.986	-2.462	-1.734	-1.795	-1.933	-2.896	-1.713	-1.662	-3.105	-2.539	-3.682	-2.118	-1.626	0.458	-2.059	-1.508	-2.186	-0.384	-2.055	-0.548	-0.401	-0.661	-2.586	-0.656	-3.056	-0.339	-0.697	-0.631	-0.44	-0.432
"YLR003C"	-3.442	-2.957	-1.197	-1.386	-2.644	-3.201	-3.212	0.979	-2.485	-1.399	-3.378	-3.267	-1.976	-1.369	-2.206	-1.397	-1.028	-0.02	0.153	-3.393	-1.374	-1.017	-1.689	-1.627	-1.985	-1.287	-1.157	-1.946	-1.909	-3.305	-2.208	-1.551	0.344	-2.329	-1.863	-2.654	-1.099	-2.502	-1.01	-1.19	0.099	-2.573	-0.548	-3.839	-0.258	-0.586	-0.499	-0.384	-0.115
"YLR009W"	-4.735	-4.564	-1.981	-1.697	-2.897	-4.204	-3.864	0.872	-3.541	-1.475	-4.675	-5.388	-2.78	-2.555	-2.737	-2.637	-1.705	0.06	0.287	-3.455	-2.459	-1.592	-2.176	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	-4.344	-2.856	-1.157	0.374	-2.849	-1.501	-2.61	-0.495	-3.247	-1.085	-1.58	-0.365	-3.436	-0.097	-3.361	0.145	-0.269	-0.38	-0.057	0.079
