	"83.cdc15 160 min repeat"	"93.cdc15 180 min"	"94.cdc15 200 min"	"584.17 deg growth"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"7538.25C -- 60 min"	"8197.steady state 25 dec C"	"11827.Pomona College Bio164: WT/dna2-1"	"12053.GAL-vector expression 0 hr (repeat 01)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42196.L2 Comp 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YGR085C"	0.219	-0.171	-0.561	-0.382	-3.713	-3.301	-2.511	-3.406	-6.059	0.421	-3.071	-3.255	-3.013	-4.359	-2.77	-3.306	-3.54	-4.179	-0.876	-1.8	1.081	0.605	0.415	0.409	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.785	-2.54	0.545	-0.578	0.75	-0.028	0.355	1.08	0.932	1.099	1.115	1.098
"YGR148C"	-0.691	-1.401	-0.756	-0.358	-3.45	-3.596	-3.464	-3.884	-5.757	0.237	-3.141	-3.011	-2.956	-5.063	-2.896	-3.022	-3.649	-4.092	-1.75	-2.234	1.279	0.436	-0.1935	-0.124	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	-2.334	-2.573	0.892	-0.62	1.019	-0.527	1.045	0.956	0.957	1.104	1.669	1.103
"YIL133C"	-0.887	-1.209	-0.308	-0.338	-3.333	-3.196	-3.135	-2.693	-5.79	0.306	-2.93	-2.571	-2.194	-4.433	-2.757	-2.615	-3.007	-3.393	-1.562	-1.852	1.569	0.612	0.311	-0.45	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-3.633	-2.461	-0.655	-0.499	-0.468	0.339	1.476	0.802	1.127	1.164	1.191	1.163
"YIR012W"	-0.206	-0.336	0.323	-0.534	-4.7	-3.151	-2.338	-3.791	-4.69	-0.222	-2.614	-2.412	-2.137	-1.585	-1.486	-1.547	-2.217	-2.528	-0.856	-1.104	1.503	0.174	-0.517	-0.16	-2.311	-2.322	-1.2	-3.439	-2.222	-2.002	-1.829	-1.706	0.523	0.227	0.776	-0.18	0.503	1.251	1.31	1.286	1.149	1.285
"YJL138C"	NaN	0.594	0.334	-0.133	-2.487	-1.169	-1.274	-3.125	-5.625	0.293	-1.273	-2.285	-1.674	-2.086	-2.049	-2.542	-2.785	-3.522	-1.338	-1.528	1.077	0.526	0.182	0.823	-2.208	-1.737	-0.978	-1.902	-1.373	-1.584	-1.676	-1.607	1.088	0.019	0.93	0.544	0.542	1.869	1.682	1.392	1.401	1.391
"YJR007W"	0.0645	0.2135	0.635	-0.201	-2.169	-1.704	-1.629	-3.21	-8.057	0.423	-1.588	-1.339	-1.824	-1.755	-2.051	-2.909	-3.009	-3.616	-0.932	-1.17	0.848	0.493	0.474	-0.363	-2.064	-2.16	-1.818	-1.742	-1.44	-1.636	-1.386	-0.692	0.382	0.231	0.172	0.286	-0.065	1.008	0.594	0.569	0.757	0.568
"YJR123W"	-0.302	-1.127	-0.432	-0.36	-3.844	-3.276	-3.279	-4.381	-9.147	0.169	-3.809	-3.529	-3.442	-4.282	-2.635	-2.639	-3.543	-4.006	-1.789	-2.097	1.916	0.329	0.184	0.074	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-3.587	-2.636	1.199	0.029	1.415	0.959	0.738	1.667	1.862	1.73	1.95	1.729
"YJR145C"	0.586	0.447	0.701	-0.467	-4.507	-3.488	-3.177	-3.54	-6.528	0.4	-3.551	-3.547	-3.597	-4.857	-2.336	-2.519	-3.105	-3.178	-1.469	-2.236	1.834	0.494	0.476	-0.102	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	-2.609	-1.097	-0.601	0.135	0.488	1.603	1.246	1.624	1.481	1.693	1.48
"YLL044W"	0.221	-0.666	-0.52	-0.304	-4.871	-3.525	-3.158	-3.79	-6.48	0.211	-3.313	-3.031	-3.269	-3.872	-2.736	-2.724	-3.494	-3.967	-2.05	-2.154	1.189	0.324	0.577	-0.136	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935	-2.593	0.67	0.034	0.925	0.89	0.866	1.263	1.278	1.125	1.296	1.123
"YLL045C"	NaN	0.711	-0.085	-0.126	-3.851	-3.176	-2.506	-3.857	-6.618	0.755	-3.169	-3.335	-3.185	-3.66	-2.495	-2.943	-3.021	-3.731	-1.89	-2.692	1.673	0.549	0.265	0.233	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362	-2.703	0.983	1.16	0.825	0.829	1.231	1.509	1.383	1.273	1.48	1.272
"YLR150W"	-0.618	-1.054	-1.101	-0.366	-2.804	-2.168	-1.847	-2.579	-6.397	-0.27	-2.284	-2.442	-2.752	-3.403	-1.386	-1.785	-1.84	-2.771	-0.689	-1.843	1.258	0.581	0.284	-0.546	-3.064	-2.211	-1.554	-2.235	-2.285	-1.844	-1.664	-2.164	0.94	-0.476	0.96	0.832	0.751	1.183	1.179	1.012	1.218	1.011
"YLR293C"	-0.173	-0.499	-0.488	-0.42	-3.594	-2.185	-2.087	-3.488	-6.281	0.162	-2.107	-1.751	-2.233	-2.473	-2.158	-2.379	-3.03	-3.186	-1.218	-1.392	1.095	0.239	0.399	0.26	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899	-2.582	-1.721	0.512	0.363	0.889	0.805	1.153	1.746	1.448	1.196	1.606	1.195
"YMR143W"	0.229	-1.462	0.128	-0.644	-3.748	-3.175	-3.477	-2.287	-4.466	0.311	-3.563	-3.61	-3.657	-4.401	-2.873	-2.88	-3.111	-3.545	NaN	NaN	1.507	0.181	-0.172	0.035	-4.133	-3.647	-3.943	-4.75	-3.456	-3.199	-2.887	-2.117	0.995	1.066	0.408	0.804	0.461	1.152	1.11	1.203	1.508	1.202
"YNL096C"	NaN	-0.77	NaN	-0.58	-4.113	-3.765	-3.642	-4.038	-6.106	0.236	-3.331	-3.045	-2.761	-4.716	-3.041	-3.644	-4.096	-4.68	-2.14	-2.19	1.36	0.333	0.338	0.11	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779	-2.516	1.212	-0.734	0.654	-0.175	0.095	0.863	0.848	0.995	1.358	0.994
"YNL178W"	0.078	NaN	NaN	-0.199	-4.244	-3.755	-3.785	-4.338	-6.62	0.351	-3.239	-3.307	-3.272	-4.97	-2.981	-2.958	-3.483	-3.871	-0.772	-1.754	1.616	0.331	0.263	0.326	-2.898	-2.059	-1.999	-2.548	-2.616	-2.364	-2.764	-2.344	-0.201	1.055	0.688	0.514	0.404	1.277	1.378	1.301	1.455	1.318
"YOL022C"	-0.989	-0.747	-0.329	-0.546	-1.8955	-1.2855	-1.054	-1.388	-4.073	0.28	-2.0495	-1.1435	-0.378	-1.88	-0.866	-1.681	-2.027	-1.748	-0.78	-0.728	0.346	-0.1685	-0.184	-0.277	-2.213	-1.709	-1.129	-2.775	-1.991	-1.02	-0.524	-0.857	-0.151	0.289	0.596	0.022	0.539	1.848	1.435	1.216	1.395	1.215
"YOR312C"	-1.641	-1.037	-0.819	-0.328	-3.8645	-3.381	-2.919	-3.3005	-4.8175	0.462	-2.99	-3.177	-3.0	-4.638	-2.402	-2.039	-1.569	-3.224	-1.537	-2.235	1.709	0.499	-0.214	-0.112	-4.379	-3.433	-3.512	-4.531	-3.454	-2.689	-2.886	-1.836	0.451	0.905	1.292	0.068	0.809	1.277	1.283	1.546	1.576	1.545
"YPL081W"	-0.335	-1.367	-0.981	-0.542	-4.5065	-3.3595	-3.199	-3.4025	-6.801	-0.007	-2.5355	-2.916	-2.428	-4.022	-2.929	-2.789	-2.909	-3.725	-1.483	-1.813	0.691	-0.1415	0.527	0.146	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	-2.468	-0.684	-0.402	0.948	-1.232	0.762	1.234	1.524	1.891	2.0	1.89
"YPL090C"	NaN	0.716	NaN	-0.318	-3.9615	-3.256	-2.7785	-4.364	-6.197	0.681	-3.398	-3.223	-3.3795	-5.307	-2.954	-3.292	-3.309	-4.719	-1.221	-1.174	1.588	0.749	0.704	0.155	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	-2.426	0.857	1.173	1.187	0.392	1.605	1.584	1.763	1.668	1.728	1.667
"YPL142C"	0.555	1.032	0.605	-0.1375	-3.1395	-2.973	-2.7515	-3.5865	-5.604	0.6495	-2.825	-3.3035	-2.8235	-4.155	-2.376	-2.148	-2.632	-2.979	-1.553	-1.909	1.735	0.421	-1.038	-0.051	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	-3.35	-2.78	1.052	0.245	1.207	-0.539	0.326	1.456	1.64	1.575	1.794	1.574
"YPL198W"	0.005	-0.183	-0.407	-0.296	-4.269	-3.194	-2.836	-4.3605	-6.879	0.3955	-3.4825	-3.3185	-3.022	-3.875	-2.449	-2.487	NaN	-3.133	-1.761	-1.912	1.57	0.361	-0.177	-0.292	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	-3.5	-2.5865	0.016	0.307	0.879	0.713	1.1025	1.1795	1.2575	1.3255	1.527	1.3245
"YPR102C"	0.131	-0.494	-0.395	-0.3865	-3.521	-3.2315	-3.2945	-4.045	-6.451	0.0895	-3.5055	-4.118	-3.673	-4.644	-3.232	-3.352	-3.749	-4.692	-1.231	-1.781	1.344	0.671	-0.089	0.014	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247	-2.691	-1.348	-0.87	0.51	-1.191	0.186	1.042	1.255	1.129	1.211	1.128
