	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YPL195W"	-1.607	-4.488	0.51
"YPL231W"	-0.832	-3.48	0.5595
"YPL237W"	-2.875	-5.7585	1.209
"YPL238C"	-2.431	-4.788	-0.653
"YPL263C"	-1.689	-4.9735	0.358
"YPR009W"	-2.5965	-4.371	2.427
"YPR034W"	-2.303	-5.4365	0.988
"YPR063C"	-1.6485	-2.9805	NaN
"YPR074C"	-5.337	-5.42	0.638
"YPR110C"	-3.662	-6.318	2.592
"YPR129W"	-1.8015	-6.025	NaN
"YPR132W"	-3.1925	-5.805	0.284
"YPR141C"	-1.7215	-3.8215	0.536
"YPR148C"	-1.599	-3.536	0.914
"YPR163C"	-2.9485	-5.4905	-1.062
