	"680.YP glucose vs reference pool"	"684.YP fructose vs reference pool"	"686.YP ethanol vs reference pool"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8282.Gal induced MCM1 vs. Glucose"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"13062.wt/crz1 Ca 15min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"
"YDR418W"	0.371	0.835	-0.817	-3.074	-5.866	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	-1.471	-1.854	-1.819	-2.892	-0.173	-0.032	-2.345	0.501	0.753	0.584	0.67	0.861	0.774	0.416	-0.151	-4.005	-2.423	-3.263	-3.057	-2.027	-3.381	-3.519
"YDR447C"	0.463	0.532	-0.646	-3.659	-5.332	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-1.914	-1.973	-1.879	-1.963	0.641	-0.21	-2.1165	0.351	0.579	0.512	0.6895	1.0175	0.5445	-0.1845	-0.285	-3.67	-2.356	-4.358	-3.418	-2.211	-3.223	-3.648
"YDR471W"	0.75	0.608	-0.975	-3.599	-4.747	-4.253	-2.034	-2.122	-2.633	-0.472	-2.405	-2.908	-1.353	-1.112	-1.692	-1.702	0.327	-0.299	-1.7695	0.1645	0.7185	0.5655	0.7605	0.8615	0.88	-0.2145	-0.12	-3.645	-2.464	-3.608	-3.311	-2.499	-2.873	-3.549
"YEL026W"	1.041	1.206	-1.012	-3.458	-4.755	-3.331	-2.232	-2.812	-1.923	-2.288	-3.073	-0.452	-0.562	-1.413	-0.905	-1.178	0.609	0.322	-2.6875	0.023	0.43	0.5505	1.404	1.097	0.6175	0.1515	0.0495	-3.877	-2.787	-3.527	-2.617	-2.218	-2.423	-3.512
"YEL054C"	1.049	0.94	-0.77	-2.98	-7.056	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	-1.198	-1.943	-1.6	-1.922	0.156	-0.158	-2.202	0.2755	0.765	0.4735	1.1175	0.757	0.505	-0.2875	0.1225	-4.422	-2.487	-3.815	-2.936	-2.194	-2.75	-3.7
"YER117W"	1.143	0.896	-0.475	-2.832	-5.642	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	-1.322	-1.227	-1.189	-1.505	0.742	-0.148	-1.876	0.3275	0.141	0.2935	0.5425	0.6015	0.5525	-0.731	-0.0185	-3.319	-2.632	-3.238	-3.345	-2.147	-2.128	-2.922
"YER131W"	1.021	0.591	-1.21	-3.664	-6.55	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	-1.557	-1.147	-1.214	-1.561	0.661	0.677	-2.4735	0.3255	0.783	0.4395	0.976	0.977	0.7025	-0.1855	0.0585	-3.884	-3.237	-3.578	-4.068	-2.732	-3.858	-3.708
"YER141W"	-0.426	-0.01	0.17	2.602	0.498	3.192	1.925	2.102	1.894	2.876	2.591	1.792	0.708	0.198	0.721	0.801	-1.28	0.216	1.118	0.215	-0.72	-0.257	-0.3185	-0.2725	-0.2475	-0.248	0.1485	2.233	1.521	2.726	1.877	1.854	2.2	0.877
"YGL103W"	0.472	0.345	-0.924	-1.452	-5.266	-3.07	-1.762	-1.73	-2.048	-1.308	-1.735	-2.438	-1.748	-1.8	-1.716	-2.138	0.535	0.249	-1.88166666666667	-0.061	0.583333333333333	0.509333333333333	0.724	0.729	0.527	0.37725	-0.07	-2.976	-2.146	-3.189	-2.934	-2.202	-2.821	-3.45
"YGL123W"	0.232	0.44	-1.693	-4.004	-5.982	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	-1.745	-2.071	-1.869	-1.724	0.146	0.199	-2.357	0.393	0.475	0.429	0.721	0.775	0.814	-0.0655	0.216	-4.217	-3.27	-4.123	-3.488	-2.693	-2.743	-3.674
"YGL135W"	0.143	0.657	-1.162	-3.418	-5.687	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-2.078	-2.268	-1.941	-2.496	0.199	-0.181	-2.233	0.492	0.789	0.333	0.573	0.689	0.6685	-0.276	0.149	-3.443	-2.903	-3.617	-3.009	-1.968	-2.509	-3.261
"YGR118W"	0.619	0.604	-0.939	-2.204	-5.471	-3.851	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	-1.752	-1.818	-1.052	-1.485	0.883	0.472	-2.095	0.346	0.1615	0.346	0.6025	0.5595	0.685	-0.0425	-0.026	-2.477	-2.162	-2.13	-2.249	-1.697	-1.94	-2.942
"YGR171C"	-0.562	-0.126	0.202	-1.266	-1.682	1.254	0.105	0.115	0.022	-0.812	-0.987	-0.99	0.357	-0.219	0.238	-0.158	-0.548	0.455	0.0665	0.0425	-0.0725	-0.039	-0.0915	-0.018	0.2675	-0.0535	0.328	1.075	0.37	1.197	0.054	0.144	-0.261	-0.588
"YGR195W"	0.632	0.481	0.163	-2.179	-3.999	-1.137	-0.81	-0.914	-0.934	-1.872	-1.878	-1.911	-0.369	-0.744	-0.384	-0.312	0.156	0.394	-0.547	-0.089	-0.15	0.087	0.253	0.113	0.388	-0.498	-0.037	-0.405	-0.497	-0.433	-0.702	-0.664	-1.17	-1.006
"YHR013C"	0.252	0.188	-0.576	-1.576	-3.226	-0.815	-1.227	-1.73	-1.411	-2.229	-2.475	-3.122	0.118	-0.522	0.411	-0.748	0.424	0.215	-1.208	0.005	0.09	0.228	0.214	0.516	0.493	0.0	0.101	-1.354	-0.912	-0.94	-1.651	-0.678	-1.41	-1.476
"YIL052C"	0.472	0.279	-0.87	-2.895	-6.278	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-1.557	-1.902	-1.484	-2.459	0.716	0.003	-1.743	0.124	0.628	0.595	0.664	0.881	0.635	-0.216	-0.255	-3.32	-2.562	-2.821	-2.677	-1.94	-3.315	-3.128
"YIL128W"	0.963	0.021	0.064	-2.602	-4.056	-1.035	-0.494	-0.572	-0.961	-1.552	-2.023	-1.64	-0.195	0.663	0.691	-0.237	-0.274	0.367	-0.775	-0.292	-0.033	0.177	-0.146	-0.348	1.063	-0.362	0.276	-0.912	-1.308	-1.59	-1.355	-0.992	-1.593	-2.154
"YIL133C"	0.059	0.535	-1.126	-2.693	-5.79	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	-1.753	-1.358	-1.863	-2.617	0.145	0.12	-2.13	0.052	0.52	0.353	0.843	0.621	0.648	0.066	-0.02	-4.387	-3.183	-4.098	-3.154	-2.466	-3.633	-3.117
"YIL148W"	0.111	0.84	-0.695	-1.931	-3.41	-2.319	-1.404	-1.39	-1.549	-0.901	-1.348	-2.118	-1.564	-1.569	-0.895	-0.816	0.442	-0.108	-1.59	-0.071	0.382	0.037	0.412	0.428	0.389	0.201	-0.312	-2.58	-2.025	-2.552	-2.609	-1.815	-2.449	-2.748
"YJL124C"	-0.702	0.122	-0.175	-1.574	-5.188	-0.646	-0.87	-1.173	-0.919	-1.15	-1.134	-1.758	-0.441	-0.462	-0.107	-0.378	0.544	-0.012	-0.894	0.208	0.145	0.214	0.311	0.275	0.463	0.436	-0.117	-1.507	-0.976	-0.481	-0.937	-1.114	-1.728	-0.85
"YJL177W"	0.51	0.52	-1.171	-3.255	-5.49	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	-1.604	-1.656	-1.663	-2.127	0.506	0.154	-2.348	0.327	0.761	0.479	0.413	0.689	0.587	-0.511	-0.127	-4.72	-4.004	-4.54	-4.115	-3.056	-3.266	-3.25
"YJR043C"	0.402	0.278	-0.322	-2.002	-2.641	-1.626	-0.981	-0.996	-1.074	-1.699	-2.504	-2.339	-0.109	-0.316	-0.127	-0.384	0.592	0.027	-0.656	-0.007	-0.103	-0.606	0.386	0.008	0.209	-0.085	0.091	-2.57	-2.65	-2.68	-1.994	-1.516	-1.817	-1.174
"YJR123W"	0.475	0.423	-1.858	-4.381	-9.147	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	-1.723	-1.625	-1.746	-1.71	0.224	0.224	-2.153	0.408	0.739	0.421	0.444	0.616	0.75	0.107	-0.629	-4.305	-3.113	-3.711	-4.025	-2.566	-3.587	-3.755
"YJR145C"	0.514	0.549	-1.487	-3.54	-6.528	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	-1.592	-1.792	-1.525	-1.761	0.062	0.112	-2.312	0.389	0.727	0.514	0.311	0.639	0.589	-0.366	0.106	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	-3.905
"YKL006W"	0.748	0.831	-1.288	-2.835	-5.113	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-1.685	-1.702	-1.659	-1.708	0.345	0.175	-2.458	0.27	0.706	0.508	0.637	0.843	0.701	-0.968	-0.795	-4.432	-3.39	-4.756	-4.221	-2.993	-3.593	-3.514
"YKL009W"	1.196	0.584	-1.098	-3.082	-6.168	-4.341	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	-1.03	-1.007	-1.509	-2.08	-1.002	0.112	-2.269	-0.81	0.039	0.082	0.871	0.678	-0.15	-0.637	-0.274	-2.602	-2.728	-4.823	-3.636	-3.036	-2.444	-3.087
"YKL172W"	0.394	0.413	-0.071	-2.813	-5.305	-3.248	-1.664	-1.613	-2.079	-2.271	-2.723	-3.135	-1.253	-1.66	-1.418	-1.75	1.18	0.326	-1.592	-1.064	-0.339	-0.028	0.227	0.653	0.144	-0.568	-0.124	-2.694	-2.344	-3.42	-2.734	-1.952	-1.96	-0.909
"YLL044W"	0.335	0.452	-1.193	-3.79	-6.48	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-1.929	-2.239	-1.949	-2.356	0.526	-0.21	-2.227	0.194	0.352	0.229	0.8	0.44	0.754	0.416	0.202	-3.189	-2.774	-3.806	-2.77	-2.196	-2.935	-3.902
"YLL045C"	0.799	0.732	-0.971	-3.857	-6.618	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-1.724	-1.799	-1.813	-2.284	0.593	0.432	-2.165	0.238	0.905	0.261	0.937	0.57	0.802	-0.984	0.142	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	-2.778
"YLR062C"	0.654	0.974	-1.091	-5.705	-6.896	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-2.019	-2.123	-2.266	-2.807	0.704	0.401	-2.675	0.38	0.256	0.437	0.611	0.956	0.682	-0.785	0.034	-3.806	-3.723	-4.54	-4.001	-2.894	-3.419	-3.141
"YLR075W"	0.519	0.584	-0.786	-1.991	-6.109	-4.079	-1.489	-1.706	-1.888	-1.003	-2.135	-2.586	-0.589	-0.901	-0.086	-0.507	0.408	-0.304	-2.132	0.796	0.674	0.556	0.392	0.59	0.613	0.124	0.209	-4.584	-2.951	-4.051	-3.6	-2.245	-2.384	-3.5
"YLR182W"	0.749	0.034	-0.115	-2.064	-3.638	-0.595	-0.441	-0.884	-1.165	-0.93	-2.368	-2.165	0.088	-0.08	-0.285	-0.689	0.308	0.038	-0.5	0.078	-0.319	-0.031	-0.403	-0.268	0.003	-0.713	0.031	-1.086	-1.225	0.047	-0.889	-0.366	-0.271	-0.219
"YLR185W"	-0.8	0.505	-0.889	-2.578	-5.928	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	-1.649	-1.769	-1.51	-2.077	-1.773	0.0	-2.023	0.572	0.634	0.504	1.01	0.742	0.56	0.028	-0.133	-3.712	-3.007	-3.488	-3.242	-2.643	-3.35	-3.237
"YLR333C"	0.476	0.814	-0.757	-3.011	-5.863	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	-1.741	-2.07	-1.359	-1.844	0.661	-0.049	-1.748	0.518	0.66	0.423	0.391	0.738	0.685	-0.049	-0.722	-4.086	-2.673	-3.582	-2.843	-2.359	-1.826	-3.031
"YLR388W"	-0.165	0.888	-0.744	-3.596	-5.506	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	-1.467	-1.872	-1.591	-2.41	0.388	0.052	-2.034	0.42	0.411	0.427	1.319	1.037	0.487	0.183	0.076	-3.674	-2.798	-3.762	-3.521	-2.816	-2.864	-3.334
"YLR448W"	0.748	0.513	-1.597	-3.552	-5.971	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-1.664	-2.157	-1.955	-2.356	0.181	0.501	-2.337	-0.243	0.4	0.318	0.47	0.358	0.186	-0.581	-0.053	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	-3.657
"YML073C"	-0.479	0.788	-0.935	-3.862	-6.033	-4.919	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	-1.651	-2.21	-1.623	-1.884	-0.127	0.398	-1.975	0.086	0.295	0.266	0.586	0.691	0.52	-1.143	0.121	-2.783	-3.737	-3.765	-3.151	-2.415	-2.901	-2.839
"YML093W"	0.705	0.431	-0.188	-2.962	-5.889	-3.309	-1.656	-1.961	-2.236	-2.547	-2.745	-3.262	0.178	-0.748	-0.974	-1.264	0.522	0.232	-1.522	-0.553	-0.011	0.028	0.244	0.405	-0.748	-0.471	-0.133	-2.999	-2.533	-4.548	-2.489	-2.192	-2.403	-1.725
"YMR142C"	0.524	0.617	-1.248	-0.651	-6.693	-4.4	-2.393	-2.974	-2.468	-2.774	-3.415	-4.248	-1.327	-1.971	-1.658	-2.359	0.901	NaN	-1.565	0.179	0.304	0.292	0.593	0.503	0.557	-0.349	-0.201	-4.355	-3.347	-4.039	-3.538	-3.031	-3.042	-3.238
"YMR242C"	0.414	0.652	-1.39	-3.971	-6.226	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-1.705	-1.826	-1.668	-1.87	0.607	0.197	-2.4615	0.464	0.697	0.543	0.655	0.874	0.153	-0.044	0.1305	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	-3.582
"YMR260C"	0.734	0.337	-1.121	-2.549	-5.138	-3.636	-1.666	-1.968	-2.005	-1.338	-1.729	-2.229	-0.74	-0.973	-0.797	-0.388	1.104	-0.213	-1.548	0.348	0.388	0.198	0.728	0.603	0.492	0.283	0.1505	-2.426	-1.742	-2.447	-2.023	-1.573	-1.636	-1.866
"YNL067W"	1.167	0.625	-0.339	-2.84	-5.731	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	-2.002	-1.825	-1.793	-2.568	0.631	0.418	-1.5625	0.546	0.548	0.347	0.835	0.812	0.693	-0.284	-5.0E-4	-2.698	-2.15	-3.107	-2.534	-2.013	-2.982	-3.163
"YNL119W"	0.632	0.311	-0.865	-5.354	-6.231	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-1.909	-2.324	-1.602	-2.239	0.325	0.438	-1.92	0.363	0.32	0.321	0.666	0.737	0.482	-1.262	0.129	-3.587	-2.801	-4.042	-2.748	-2.546	-2.406	-3.264
"YNL162W"	0.924	0.555	-0.96	-2.858	-6.425	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-1.613	-1.726	-1.47	-2.002	0.868	0.132	-1.852	0.254	0.369	0.243	0.884	0.462	0.949	-0.671	-0.5945	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	-2.553
"YNL163C"	0.6075	-0.1935	-0.018	-3.636	-4.2975	-1.58	-0.935	-0.9985	-0.648	-2.331	-2.9335	-0.995	-0.174	0.01	-0.6745	-0.9105	0.462	0.344	-0.934333333333333	-0.4715	-0.063	-0.217	0.0595	-0.112	0.5585	-0.3995	0.3795	-1.709	-1.982	-2.761	-2.055	-1.24	-0.907	-0.836
"YNL301C"	0.795	0.897	-1.054	-5.123	-6.272	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	-1.96	-2.126	-1.604	-2.558	0.458	0.322	-2.232	0.689	0.881	0.29	1.202	0.875	0.638	0.469	0.04	-4.167	-3.163	-4.02	-3.032	-2.764	-3.161	-3.527
"YOL040C"	0.518	0.392	-1.284	-3.032	-6.413	-3.938	-1.874	-2.247	-2.245	-2.028	-2.837	-3.657	-1.538	-1.723	-1.672	-1.944	0.268	0.296	-2.005	0.283	0.685	0.598	1.072	1.118	0.766	-0.273	0.121	-4.411	-3.555	-3.746	-3.451	-2.823	-2.976	-3.39
"YOR232W"	0.372	0.085	-0.398	-1.6365	-2.046	-0.679	-1.061	-1.406	-1.348	-1.334	-1.039	-1.303	0.081	-0.348	0.098	-0.11	0.111	0.383	-0.664	0.244	0.254	0.243	0.4	0.419	0.264	-0.335	0.081	-0.762	-1.238	-0.618	-1.044	-0.71	-1.094	-0.932
"YOR276W"	0.554	0.499	-0.599	-3.943	-4.3595	-2.37	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	-0.956	-1.063	-0.631	-1.098	0.591	0.37	-1.657	-0.095	0.259	-0.388	0.658	0.232	0.434	-0.787	0.198	-2.444	-1.699	-2.349	-1.526	-1.139	-1.571	-1.953
"YOR369C"	1.242	0.865	-1.178	-3.724	-6.5475	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	-2.02	-2.336	-1.93	-2.294	0.481	-0.529	-2.309	0.734	0.47	0.564	0.751	1.004	0.883	0.972	-0.123	-3.362	-2.395	-3.032	-3.003	-2.641	-3.203	-4.066
"YPL018W"	0.222	-0.222	-0.415	1.8105	-0.34	1.615	0.78	1.285	2.291	1.469	1.225	1.677	0.467	0.047	0.256	0.637	-0.184	0.072	1.066	-0.09	0.067	-0.015	-0.099	0.105	-0.201	-0.113	-0.146	0.178	1.09	0.871	1.561	1.028	1.978	2.279
"YPL142C"	0.966	0.964	-0.787	-3.5865	-5.604	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	-1.466	-1.921	-1.324	-1.579	-0.131	0.142	-2.011	0.489	0.584	0.513	0.869	0.778	1.239	0.294	0.142	-3.763	-3.021	-3.677	-3.278	-2.971	-3.35	-3.379
"YPL160W"	0.1095	0.405	-1.226	-3.08233333333333	-5.284	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.07	0.2175	0.259	-0.3205	0.22	0.386	-1.8045	-0.27	-0.522	-0.45	-0.1965	-0.2565	-0.047	-5.0E-4	0.309	-3.477	-2.958	-3.512	-2.719	-2.2345	-2.589	-1.7245
"YPL220W"	1.152	0.745	-1.189	-3.187	-6.1465	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	-1.91	-2.323	-1.705	-2.24	0.572	0.659	-1.925	0.19	0.393	0.284	0.584	0.434	0.672	-0.663	0.216	-3.366	-2.375	-3.554	-2.774	-2.352	-3.007	-3.294
"YPR102C"	0.34	0.609	-1.197	-4.045	-6.451	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	-1.642	-1.848	-1.928	-1.98	0.952	0.189	-2.384	0.435	0.413	0.364	0.635	0.767	0.535	-0.354	0.117	-3.927	-2.614	-4.015	-3.517	-2.547	-3.247	-3.663
"YPR125W"	0.55	-0.101	-0.341	-1.846	-4.04	-1.231	-0.784	-0.602	-0.532	-1.108	-1.757	-2.566	0.981	0.666	0.821	0.765	-0.146	0.485	-0.622	-0.073	-0.016	0.045	0.299	0.051	0.353	-0.478	0.157	-1.254	-1.785	-1.445	-2.16	-1.37	-0.608	-0.87
"YPR132W"	1.044	0.6	-1.087	-3.1925	-5.805	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	-1.473	-1.319	-1.434	-1.878	0.869	0.0655	-2.217	0.565	0.829	0.529	1.02	0.858	0.701	-0.084	0.031	-2.884	-2.466	-2.903	-2.829	-2.063	-2.893	-2.864
"YPR187W"	0.314	0.536	-0.605	-3.609	-5.408	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	-1.157	-1.284	-0.879	-1.556	1.005	0.028	-1.604	0.38	0.075	0.185	0.405	0.822	0.142	0.697	0.088	-2.584	-2.061	-2.896	-2.213	-1.752	-2.009	-1.933
