	"107.heat shock 10 min"	"517.2.5mM DTT 090 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"584.17 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"1168.PHO81c vs. wild type, exp.1"	"1301.PHO81c vs. wild type, exp.2"	"2064.Hypo-osmotic shock - 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"11828.Pomona College Bio164: WT/rad27 mRNA"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"14763.Ca 60min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15182.Ca 60min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34347.wt_hypo_osmotic_shock_0min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"
"YLR120C"	1.169	1.3	1.724	1.796	-0.06	-0.599	2.293	1.096	1.531	1.064	1.477	2.262	2.436	1.964	-1.528	-1.287	1.131	1.571	-0.368	-3.513	-1.178	-1.847	-1.096	-1.163	-1.783	-2.129	-1.861	-1.746	-1.016	-0.893	-0.44	-0.849	-2.082	-2.129	-2.095	-1.777	2.201	2.279	2.623	1.106	2.307	2.568	2.666	1.313	-1.587	2.126	2.065	2.269
"YLR194C"	1.223	2.743	3.379	3.674	-0.58	-0.372	3.217	1.617	0.92	0.434	1.825	2.454	2.544	2.086	-2.882	-3.264	1.529	1.948	-1.411	-1.524	-2.562	-2.843	-2.246	-2.204	-4.955	-4.641	-4.727	-4.224	-2.337	-2.394	-2.277	-2.176	-2.051	-4.484	-4.529	-4.198	4.0	5.025	4.963	2.609	3.944	4.424	5.096	2.877	-1.862	2.658	2.491	2.965
"YLR414C"	1.155	1.941	2.658	2.713	-0.764	-0.544	1.356	0.688	1.501	1.038	1.261	2.82	3.29	3.073	-0.987	-1.27	1.214	1.138	-2.199	-5.577	-3.751	-3.673	-3.595	-3.66	-4.473	-4.423	-3.266	-3.098	-2.836	-3.026	-3.172	-3.477	-3.695	-4.18	-2.682	-2.811	3.498	3.887	2.808	1.041	3.347	3.451	2.857	1.075	-1.698	1.586	1.243	1.352
"YML118W"	1.346	0.397	0.646	0.591	-0.703	-1.337	1.006	0.095	1.349	0.295	0.751	0.834	0.808	0.746	-0.848	-1.132	0.438	0.791	-2.202	NaN	-0.866	-0.694	-0.679	-0.416	-1.367	-1.221	-1.556	-1.366	-0.963	-0.737	-0.641	-0.242	-1.518	-1.755	-2.203	-1.814	3.592	3.118	2.391	0.721	3.945	3.424	1.892	1.356	-2.263	1.028	1.462	1.99
"YMR007W"	1.276	0.859	1.47	2.468	-1.306	-1.585	-0.607	0.185	1.553	1.325	0.363	0.583	0.559	1.229	-1.922	-2.415	0.949	1.57	-0.369	-4.954	-0.792	-0.662	-0.416	-0.579	-1.108	-1.26	-0.918	-1.076	-0.699	-0.48	-0.764	-0.279	-1.5	-1.315	-1.569	-1.692	2.037	3.154	2.786	1.146	1.953	2.964	2.723	1.207	-0.813	1.132	1.301	0.895
"YMR316W"	0.809	2.01	2.128	2.684	-0.531	-0.88	2.665	1.628	1.893	1.22	1.94	3.341	3.181	1.56	-2.159	-2.277	1.061	0.798	-1.645	-3.851	-3.02	-2.915	-1.932	-2.098	-3.989	-3.832	-3.578	-3.353	-2.558	-2.749	-1.973	-2.537	-4.018	-3.865	-3.985	-3.569	5.191	4.886	4.462	2.654	5.073	4.931	4.724	2.522	-1.942	2.016	1.64	2.142
"YNL043C"	0.055	2.023	2.608	2.395	-1.088	-0.065	0.072	0.46	0.705	-0.052	0.967	-0.166	-0.491	-0.712	-0.488	-0.449	1.258	0.839	-0.2705	-1.868	-0.828	-0.28	-0.647	-0.564	-1.99	-1.831	-2.419	-2.102	-0.712	-0.514	-0.618	-1.478	-2.423	-1.841	-1.893	-1.853	0.876	1.665	2.515	1.579	0.832	1.546	2.339	1.762	-0.195	1.025	0.814	0.846
"YNL093W"	1.961	-0.845	-0.376	-0.546	-0.936	-1.455	0.138	-0.373	3.606	1.079	0.585	2.136	3.17	3.15	-1.186	-1.615	0.571	1.245	-1.35	-2.4055	0.315	-0.763	-1.324	-1.439	-3.104	-4.011	-2.92	-2.42	-1.54	-0.761	-0.545	-0.694	-3.003	-3.237	-3.705	-3.403	2.576	4.798	4.512	1.704	2.997	4.913	3.444	1.846	-1.092	0.167	0.495	0.848
"YNL192W"	0.213	1.394	1.426	1.86	-0.955	-0.367	1.654	0.332	0.573	0.54	1.291	1.382	1.56	1.049	-1.172	-1.712	0.953	0.884	0.975	-0.7555	-2.555	-2.652	-1.783	-1.774	-3.216	-3.107	-2.583	-2.717	-1.86	-1.622	-1.427	-1.364	-2.83	-2.874	0.215	-2.035	1.894	2.333	2.032	-0.023	2.572	2.473	2.485	0.408	-0.816	1.465	1.26	1.657
"YNR010W"	0.771	0.543	1.104	1.041	-0.604	-0.175	0.022	0.102	NaN	0.474	0.438	0.949	1.014	1.11	-0.246	-0.3435	0.743	1.1025	-2.385	-3.698	-0.147	-0.138	-0.225	-0.078	-1.179	-0.963	-1.159	-0.647	-0.491	-0.531	0.068	-0.122	-1.389	-1.09	-1.141	-0.962	1.463	1.622	2.125	0.56	1.364	2.082	2.105	1.482	-0.348	0.591	0.454	0.613
"YNR059W"	0.406	0.491	0.243	0.74	0.076	-0.216	0.447	0.336	1.112	1.083	0.846	1.014	0.915	0.269	-0.36	-1.6885	0.5955	0.285	-1.268	-0.094	-1.13	-1.417	-0.679	-0.835	-1.912	-2.008	-1.974	-2.002	-1.761	-1.233	-1.241	-0.773	-2.106	-2.426	-2.509	-2.052	2.324	3.401	3.145	1.594	2.65	3.426	3.132	1.679	-0.341	0.457	0.43	0.777
"YOL016C"	2.4395	1.8165	1.9855	1.929	-0.1355	-1.913	2.1995	1.132	1.387	1.368	2.6825	2.4005	2.069	1.449	-2.452	-2.3275	0.881	0.622666666666667	-1.4165	-1.054	-3.0285	-3.055	-1.852	-1.9605	-3.6935	-3.617	-4.014	-3.77	-2.6295	-2.723	-1.4575	-1.619	-3.3025	-3.5205	-4.459	-4.5475	4.7085	5.138	5.1835	2.755	4.824	4.98	4.8805	2.8245	-1.745	2.477	2.357	3.005
"YOR036W"	1.095	0.981	1.779	2.069	-0.784	-0.472	1.264	0.338	0.82	0.312	0.374	2.219	2.449	2.16	-0.7635	-0.569	0.945	0.448	NaN	-1.795	-1.007	-0.657	-0.432	-0.519	-0.939	-1.101	-0.675	-0.905	-0.71	-0.204	-0.204	-0.151	-1.204	-1.238	-1.47	-1.423	2.99	3.527	3.335	1.538	3.056	3.508	3.273	1.61	-1.33	0.256	0.274	0.801
"YOR134W"	2.535	0.092	1.607	2.415	-1.531	-2.55	3.537	0.518	NaN	0.499	0.617	2.624	2.915	2.315	-1.6895	-3.217	0.36	1.588	-0.353	-1.444	-1.628	-1.799	-1.338	-1.236	-2.568	-2.912	-2.322	-2.091	-0.75	-0.88	-0.492	-0.323	-1.995	-1.876	-2.368	-2.239	1.921	2.753	2.875	-0.185	2.21	2.812	2.713	0.214	-1.79	0.391	0.281	1.511
"YOR220W"	2.441	1.953	2.535	2.291	-0.452	-1.516	1.96	1.095	1.449	0.941	1.209	3.142	3.406	3.128	-1.891	-2.0315	1.4305	1.207	-0.757	-1.092	-2.157	-2.522	-1.503	-1.473	-2.295	-2.323	-2.53	-2.576	-1.777	-1.938	-0.901	-1.163	-2.244	-2.272	-3.506	-3.331	4.314	4.767	4.442	2.243	4.226	4.737	4.484	2.547	-0.8	1.459	1.384	1.726
"YOR385W"	1.193	2.062	2.348	2.724	-1.156	-1.059	2.059	0.866	1.941	1.52	0.484	1.419	1.335	0.666	-2.1895	-1.869	1.152	0.496	0.374	-1.44	-2.3	-2.38	-0.815	-0.805	-4.954	-4.802	-4.094	-3.713	-1.848	-1.874	-0.801	-0.566	-4.705	-5.155	-4.702	-3.739	4.989	6.013	5.195	1.146	5.028	5.679	4.748	1.289	-1.87	1.662	0.763	1.775
"YPL149W"	-0.007	0.2215	0.446	0.751	-0.5655	-0.209	1.505	0.8665	1.056	0.735	0.172	0.379	0.741	0.308	-0.6825	-0.556	1.0645	0.8175	-0.427	-1.007	-1.156	-1.114	-0.884	-0.93	-1.988	-2.029	-1.791	-1.5	-1.147	-1.105	-1.368	-1.216	-2.42	-2.395	-2.162	-2.052	2.302	2.897	2.618	1.256	2.234	2.995	2.227	1.145	-0.728	-0.134	-0.243	-0.1
"YPR197C"	0.118	0.9565	1.2045	1.2755	-0.528	-0.6095	0.0	0.0305	0.882	0.567	1.014	0.171	0.223	-0.188	-1.113	-0.726	0.914	0.68	-2.302	-1.28	-0.446	-0.962	-0.714	-0.651	-1.394	-1.21	-1.142	-0.905	-1.315	-0.999	-0.902	-0.724	-1.61	-1.294	-1.606	-1.532	0.881	1.253	1.179	0.212	0.831	1.214	1.4	0.355	-0.184	-0.12	0.144	0.301
"YPR198W"	0.29	1.329	1.291	1.791	-0.5035	-0.2725	0.3445	0.26	0.84	0.601	0.273	-0.063	0.127	-0.112	-0.629	-0.682	1.2155	1.2015	-1.044	NaN	-0.874	-1.244	-0.703	-0.936	-1.802	-1.772	-1.451	-1.337	-0.527	-0.652	-0.744	-0.496	-1.908	-1.968	-1.772	-1.795	1.834	2.199	1.985	1.241	1.708	2.045	2.109	0.946	-0.356	-0.219	0.048	0.119
