	"52.Elutriation2:Sample2:Time1.5hrs"	"86.cdc15 250 min"	"405.W303a vs GZY45-15c"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"989.constant 0.32 mM H2O2 (10 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1257.mec1_plus_gamma_120_min"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2144.heat shock 37 to 37, 30 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"30319.usv1("	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34351.wt_hypo_osmotic_shock_60min"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YDL223C"	1.7	-0.682	-1.107	0.16	2.518	0.899	1.657	3.234	1.919	3.774	1.932	2.549	2.496	0.637	1.687	2.299	1.337	-0.299	3.469	0.181	1.541	2.6	1.702	0.9	0.063	-0.047	-0.035	-0.208	0.109	0.053	5.086	-0.111	-0.174	0.314	-1.183	-1.367	-1.364	-1.349	0.076	-0.014	1.147	1.822	0.207	1.525	1.451	2.281	2.477	1.989	2.875	3.774	3.265	3.228	4.804	3.972	2.889	4.595	-0.293	1.89	1.389	1.358	1.666	1.585	1.375
"YDR022C"	-0.604	-0.8105	0.146	0.144	2.343	1.223	2.014	2.693	1.663	0.566	0.782	0.772	0.495	0.047	0.566	1.05	1.832	1.061	1.393	0.072	1.068	1.165	-0.89	-0.068	-0.277	0.018	-0.297	0.132	0.399	-0.454	1.385	0.098	1.054	0.443	0.381	0.652	0.115	0.148	0.1	-0.071	0.702	1.302	-0.156	2.149	2.526	1.672	1.827	2.421	1.697	1.451	0.889	1.306	1.807	1.957	1.454	1.475	-0.165	0.708	1.144	1.469	2.115	1.355	1.841
"YDR059C"	-0.187	0.1225	0.306	0.375	2.272	2.385	2.07	2.509	3.136	3.497	0.624	1.202	1.309	0.147	1.443	1.963	2.24	3.116	2.735	0.165	1.34	1.855	0.476	0.048	0.235	0.14	0.139	-0.217	-0.091	-0.267	2.1185	-0.021	0.219	0.392	-0.444	-0.083	-0.2445	-0.4815	0.092	0.0665	-0.06	0.941	0.245	2.227	1.351	1.889	2.63	2.842	2.036	1.646	2.488	2.593	2.081	2.345	1.247	2.69	-0.252	0.88	1.179	1.983	1.718	2.096	1.95
"YDR158W"	-0.081	-0.24	-0.455	-0.398	-1.349	-1.008	-0.799	-1.356	-0.19	-3.546	-1.689	-1.965	-1.881	0.337	-0.514	-0.996	-1.763	-3.109	-3.802	0.167	-0.459	-0.581	0.631	0.191	0.129	0.465	0.207	-0.089	-0.883	0.182	0.253	0.702	1.087	0.878	0.832	-0.139	-0.051	-0.197	0.165	0.504	0.943	1.676	-0.812	-3.16	-2.786	-2.476	-2.774	-2.884	-3.011	-2.154	-1.805	-1.437	-1.747	-1.752	-1.359	-1.966	0.091	-0.993	-0.624	-2.745	-3.156	-2.35	-2.832
"YDR223W"	0.043	0.843	0.221	0.291	1.746	1.828	2.763	3.652	2.034	2.43	2.812	2.866	2.65	0.512	3.012	3.874	4.487	3.088	2.15	-0.708	1.242	1.437	0.422	-0.213	0.264	0.159	-0.106	0.681	-0.153	-0.129	1.669	0.048	-0.086	0.176	-0.223	-0.161	0.0085	0.0325	-0.0975	0.057	0.494	0.8565	-0.0995	3.934	4.887	3.875	3.779	4.388	4.066	1.291	1.566	2.338	1.389	1.824	1.801	3.251	-0.201	3.021	2.724	4.327	4.46	4.117	4.174
"YDR245W"	NaN	-0.399	-0.6295	-0.051	0.179	-1.6455	-1.899	-1.947	-1.19	-1.932	-1.5815	-1.5755	-2.319	-0.1455	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-0.026	NaN	NaN	NaN	0.046	0.0415	-0.081	0.047	NaN	0.079	0.358	-1.29866666666667	0.4115	-0.0535	-0.171	0.0296666666666667	-0.205333333333333	0.198	0.169333333333333	-0.0513333333333333	-0.0433333333333333	-0.254666666666667	-0.349666666666667	0.602333333333333	-1.746	-1.6965	-1.806	-1.316	-1.8665	-1.5185	-1.844	-2.011	-1.61	-1.8525	-1.6895	-1.6385	-1.94	0.176	-0.701	-0.636	-0.971	-1.4545	-2.049	-1.782
"YDR262W"	-0.1025	0.307	0.167	0.8595	1.7335	1.8585	2.06	2.6665	3.1335	3.3725	1.473	1.6855	1.6875	0.161	2.2405	3.0895	3.2615	4.491	4.8085	-0.339	1.191	1.36	-0.2045	-0.00599999999999999	0.1505	0.2325	-0.0015	-0.0205	0.0515	0.214	2.2315	0.2945	0.4825	0.5795	-0.145	-0.246	0.139	0.121	0.2175	-0.14	1.093	1.4085	0.3675	1.69	1.7205	1.854	2.2475	1.8935	1.645	2.14	2.6925	2.8525	1.7955	2.334	2.1775	2.708	0.0115	2.064	2.2825	1.0145	1.2705	0.9105	1.545
"YDR313C"	0.272	0.765	0.23	0.073	2.369	1.675	1.7	1.941	2.03	2.161	1.576	1.583	1.359	0.342	1.141	2.304	2.311	2.992	2.624	0.316	1.827	1.676	-0.036	-0.08	0.078	0.187	-0.22	0.346	-0.093	-0.055	1.537	0.276	0.079	0.336	0.354	0.333	0.398	0.431	-0.033	-0.084	0.825	0.698	-0.243	1.814	NaN	2.482	3.079	2.237	NaN	2.226	1.983	2.889	2.852	2.095	1.738	3.986	0.063	1.65	1.504	1.129	1.634	1.188	2.089
"YGR066C"	-0.385	0.837	-0.035	0.138	2.428	2.083	1.927	2.589	0.703	0.327	2.448	1.965	1.914	NaN	1.104	2.191	2.792	0.857	1.601	-0.209	2.092	1.686	0.303	0.085	0.262	0.234	-0.383	0.323	0.536	-0.33	2.077	0.125	0.572	0.985	-0.053	0.148	0.316	0.488	0.274	-0.08	0.0495	0.107	0.075	3.114	3.591	3.413	3.715	3.15	2.621	1.317	0.531	1.334	2.752	1.989	0.626	3.046	-0.389	-2.969	0.877	2.37	3.257	2.053	2.143
"YGR161C"	0.091	1.432	1.8005	-0.163	2.79	2.794	3.795	4.323	4.178	3.723	2.714	0.639	3.109	0.541	1.291	3.03	2.077	2.081	2.788	0.303	0.909	1.116	0.038	0.161	0.021	0.127	0.767	0.037	0.457	0.258	3.1405	-0.278	0.665	0.145	-0.3885	-0.544	0.3425	0.2935	-0.109	0.365	-0.003	-0.176	0.1685	2.24	3.372	3.021	3.193	2.501	3.605	3.205	1.965	1.579	2.534	1.882	0.904	3.209	1.439	-0.046	-0.22	1.75	2.041	1.448	2.014
"YGR256W"	0.8805	-0.549	0.207	0.902	3.72	2.681	3.671	3.059	2.565	1.047	3.158	3.0	1.857	1.585	1.664	2.298	3.218	1.733	1.439	-0.134	1.826	1.778	0.4995	-0.388	NaN	0.174	0.189	0.293	0.56	0.071	4.405	0.043	-0.478	-0.113	-0.328	-0.68	-0.212	-0.133	0.484	-0.235	0.924	1.225	0.424	5.367	5.613	5.601	4.874	4.957	5.039	5.292	4.157	4.348	5.625	4.269	3.003	5.491	-0.065	3.603	2.748	2.442	2.964	2.306	2.81
"YHR020W"	0.19	1.277	-0.132	-0.261	-4.019	-2.214	-3.057	-2.887	-2.709	-2.69	-3.053	-2.178	-2.045	-0.21	-1.642	-1.649	-1.837	-1.718	-2.26	-0.252	-0.886	0.692	-0.19	0.087	-0.16	-0.26	0.1685	0.015	-0.127	0.236	-2.656	0.091	-1.068	-1.144	0.576	0.204	0.137	0.093	-0.461	0.113	-0.657	-0.87	0.111	-1.882	-2.591	-2.113	-1.258	-1.769	-1.493	-3.043	-2.822	-1.496	-3.861	-2.387	-2.242	-2.486	0.119	-1.982	-1.193	-1.709	-1.756	-1.542	-1.68
"YHR068W"	-0.156	NaN	-0.2755	-0.085	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-2.52	-2.526	-1.119	0.017	-1.652	-1.927	-2.429	-2.724	-3.669	-0.194	-0.414	-0.65	-0.407	0.276	0.241	0.437	-0.0565	0.011	-0.153	-0.253	-2.29	-0.003	-0.905	-0.795	0.46	0.214	0.084	0.06	0.153	-0.274	0.432	-0.021	0.273	-1.743	-2.321	-2.248	-2.194	-1.888	-2.769	-2.437	-2.467	-0.487	-2.406	-2.362	-1.8	-1.861	0.155	-2.43	-1.87	-1.514	-1.571	-1.255	-1.08
"YHR096C"	0.621	-0.286	-0.129	1.377	4.284	5.741	5.155	5.155	4.52	5.687	4.823	4.644	4.582	-0.807	4.069	4.974	4.183	5.745	6.472	-0.577	1.841	3.498	0.315	-0.031	-0.001	0.83	0.166	-0.108	0.125	-0.181	2.974	-0.336	-0.992	-0.544	-0.554	-0.616	-0.954	-1.036	-0.009	-0.327	1.026	0.999	-0.275	3.942	5.956	6.697	6.26	5.093	4.392	5.589	5.478	4.324	4.216	6.151	4.914	6.856	-0.837	5.733	4.467	3.821	4.401	4.015	4.219
"YHR140W"	-0.554	0.028	-0.097	0.89	3.244	1.975	2.314	2.51	1.949	2.192	0.41	1.418	2.511	-0.045	2.11	2.125	2.401	1.874	1.433	-0.415	0.863	1.033	-0.358	0.203	0.474	0.555	0.0165	0.159	0.051	0.053	1.246	-0.04	-0.146	0.007	-0.662	-0.408	-0.637	-0.701	0.334	-0.327	0.515	0.398	-0.464	1.499	2.29	2.524	3.593	4.121	3.126	3.287	2.9	2.509	3.676	2.973	1.775	2.155	-0.067	2.68	2.39	1.611	2.3	2.234	2.559
"YIL087C"	-0.801	-0.101	0.3435	0.009	3.671	3.897	2.048	2.39	1.61	NaN	1.187	1.325	1.48	-0.113	2.153	2.187	2.42	3.014	2.869	-0.263	2.13	2.095	-0.002	-0.232	0.128	-0.221	0.022	0.077	-0.514	-0.143	1.636	-0.009	-0.004	0.207	0.204	0.093	-0.056	-0.089	0.594	0.554	0.586	1.116	-0.298	1.968	3.024	2.21	2.305	2.912	0.586	2.942	2.843	1.679	3.578	3.235	2.076	2.399	0.142	2.813	2.636	1.582	1.966	2.146	1.647
"YIR037W"	0.228	0.785	0.47	0.96	2.365	2.359	2.529	2.554	2.21	2.393	1.617	0.942	1.262	1.456	1.952	1.864	2.343	2.858	2.315	0.278	1.184	0.924	0.555	0.138	0.334	0.216	0.0375	0.318	-0.363	-0.208	1.663	-0.035	0.659	1.022	0.01	-0.279	-0.6	-0.42	0.007	0.195	0.514	0.925	-0.288	2.915	3.632	2.728	2.889	3.001	1.752	2.251	2.551	1.775	2.719	2.741	2.341	2.351	0.41	1.528	1.243	1.976	2.0	1.811	1.7
"YIR038C"	0.704	0.928	0.673	1.106	2.688	2.939	3.094	3.422	2.764	4.672	2.091	1.659	1.539	0.9875	2.776	2.764	3.481	4.704	4.358	0.178	2.245	2.037	0.127	0.033	1.223	0.115	0.1125	-0.004	-0.451	-0.161	2.816	0.121	0.867	1.357	-0.43	-0.583	-0.869	-0.808	-0.367	0.25	1.118	1.153	-0.239	3.369	3.88	3.662	3.895	3.896	2.382	2.945	3.199	2.621	4.229	3.133	2.934	3.154	0.398	2.331	2.376	1.258	2.237	0.679	1.889
"YIR039C"	-0.398	0.932	1.0355	0.448	4.648	3.836	2.996	3.204	3.092	1.688	1.932	1.562	1.427	0.488	2.453	1.744	1.941	1.645	2.212	-0.071	2.328	2.498	0.163	0.001	0.12	0.44	-0.04	0.777	-0.203	-0.228	1.233	0.075	0.607	0.826	-0.467	-0.464	-0.502	-0.621	-0.185	-0.275	0.634	0.865	-0.46	1.484	2.602	2.398	1.429	1.295	2.01	2.417	2.921	2.163	4.051	2.778	2.53	3.2	0.17	1.815	1.843	1.71	2.045	2.143	0.698
"YJL045W"	0.751	0.349	-0.792	0.154	3.762	5.051	5.065	4.295	3.987	1.932	2.055	3.365	3.223	-0.281	1.26	1.796	1.562	1.608	1.356	0.104	1.543	3.019	0.218	-0.128	-0.188	0.0	0.02	-0.199	-0.085	-0.339	2.982	-0.111	-0.15	0.041	0.122	0.334	-0.037	0.005	-1.298	-0.142	0.52	0.636	-0.285	1.239	3.44	4.833	3.93	2.494	3.629	0.783	2.014	2.155	1.659	2.497	2.168	3.953	-0.193	1.171	0.73	1.046	2.26	1.576	1.169
"YJL158C"	-0.932	-0.216	-0.127333333333333	0.33	-1.837	-0.961	-0.968	-3.1025	-1.2025	-3.8195	-1.7025	-3.333	-3.0365	-0.805	-0.368	-0.8645	-1.9735	-1.8885	-2.2685	0.0645	-0.72	-1.134	0.4885	-0.114	0.654	-0.0685	0.283	0.481	-0.6145	0.1505	-2.763	-0.9745	-0.836	-0.977	0.059	-0.106	-0.277	-0.18	-0.649	0.2665	-1.245	-1.415	0.3085	-2.054	-2.265	-3.156	-3.301	-3.482	-3.58	-2.703	-1.893	-2.792	-2.027	-2.168	-0.862	-2.308	0.506	-2.315	-2.156	-2.634	-2.852	-2.153	-3.769
"YJR007W"	0.44	-0.2625	-0.1275	0.047	-2.169	-1.704	-2.107	-1.68	-2.662	-3.21	-1.339	-1.824	-1.91	-0.058	-1.571	-1.848	-2.051	-2.909	-3.009	-0.124	-0.932	-1.17	-0.399	0.286	-0.054	0.028	0.099	0.366	-0.28	0.055	-1.685	-0.053	-0.563	-0.572	0.309	0.314	0.089	0.114	0.06	-0.056	-0.273	-0.302	0.452	-1.447	-0.887	-1.579	-1.632	-1.218	-1.162	-2.064	-2.16	-1.818	-1.742	-1.44	-1.636	-1.386	0.095	-0.797	-0.994	-1.128	-1.125	-0.966	-1.579
"YJR069C"	-0.1765	-0.302	-0.0445	-0.022	-2.056	-1.976	-2.026	-2.741	-2.017	-3.527	-1.64	-1.696	-0.539	-0.152	-1.033	-1.358	-1.09	-1.656	-1.806	0.232	-0.792	-1.118	-0.119	0.204	-0.156	0.036	-0.029	0.103	0.111	0.136	-1.603	0.109	-0.259	0.114	0.312	0.578	0.049	0.002	-0.009	0.456	-0.611	-0.328	0.32	-1.083	-1.4	-1.737	-1.684	-0.586	-1.461	-1.467	-1.181	-0.635	-1.685	-2.036	-1.662	-2.416	-0.022	-1.359	-0.405	-0.789	-1.338	-0.215	-0.118
"YKL026C"	-0.083	0.982	0.1435	1.487	4.553	3.42	4.429	4.068	3.618	5.561	3.239	3.305	3.067	-0.648	2.687	3.137	3.607	4.354	3.97	-0.325	3.843	3.191	-0.354	-0.003	0.101	0.002	-0.1325	-0.104	0.059	-0.15	1.288	0.164	0.59	0.631	-0.193	-0.071	-0.481	-0.463	0.358	-0.323	0.704	1.121	0.037	2.02	2.444	2.044	2.17	3.242	1.801	3.937	5.449	4.434	3.949	4.063	3.2	3.668	-0.075	4.872	4.16	3.385	2.394	3.546	2.959
"YKL081W"	0.744	-0.559	-0.1425	-0.537	-3.858	-3.184	-2.096	-2.542	-3.137	-4.49	-3.157	-3.837	-3.37	-0.546	-2.171	-3.222	-3.654	-2.997	-2.811	-0.171	-2.104	-2.013	-0.31	-0.129	-0.042	0.247	0.1445	-0.212	-1.086	-0.179	-2.502	-1.085	-1.88	-2.474	0.524	-0.363	-0.002	-0.045	-0.501	-0.047	0.145	-0.289	0.311	-1.899	-2.447	-2.081	-2.459	-2.252	-1.484	-3.076	-3.449	-2.509	-3.386	-3.054	-2.989	-3.704	0.521	-2.812	-2.654	-2.135	-2.065	-2.093	-2.305
"YKL093W"	-0.029	0.169	0.062	0.915	5.448	4.655	4.393	4.525	4.208	4.369	3.212	2.953	3.082	0.353	3.902	2.916	2.536	2.725	3.515	-0.339	2.251	2.314	0.07	-0.181	0.06	0.401	0.125	0.35	0.346	0.167	2.745	-0.074	0.706	0.898	-0.136	-0.183	0.103	0.11	-0.076	-0.288	0.307	-0.321	0.001	3.468	3.17	3.353	3.117	2.932	2.024	4.428	4.865	2.992	4.992	4.664	3.337	3.528	-0.257	3.144	3.011	0.919	1.775	0.941	1.4
"YKL107W"	0.254	-0.487	-0.465	-0.247	1.977	2.059	3.68	4.957	3.01	2.551	3.458	3.261	3.268	0.148	1.672	3.239	2.313	2.83	4.046	-0.193	1.061	1.854	0.416	-0.162	0.263	0.383	-0.1	0.246	0.089	-0.152	3.415	-0.143	-0.115	0.068	-0.199	-0.161	-0.096	-0.188	-0.139	0.013	1.066	1.121	0.104	1.467	3.393	3.641	2.223	2.745	2.901	0.468	2.498	2.107	1.177	2.125	1.052	2.807	0.143	2.837	1.872	2.534	3.094	3.18	2.366
"YKR046C"	-0.445	-0.004	0.1	0.257	2.019	1.967	1.883	2.062	2.784	2.157	1.285	1.321	1.142	-0.345	1.388	1.957	2.152	2.781	2.063	-0.044	0.669	2.092	0.308	-0.242	0.186	0.132	0.049	-0.164	-0.357	-0.111	2.559	-0.163	0.047	0.522	0.116	-0.168	-0.065	-0.043	-0.238	0.457	0.077	0.75	-0.319	1.846	2.495	1.937	2.207	2.435	1.397	2.081	1.626	1.556	1.834	2.303	1.054	2.377	-0.097	1.769	0.878	0.996	0.923	1.254	1.124
