	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1251.mec1_plus_gamma_20_min"	"1252.mec1_plus_gamma_30_min"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7549.33C no sorbitol 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12744.heat shock 17 to 37, 20 minutes"	"13496.G0 mRNP vs. Poly"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"32253.DBY8778_heat_shock2_15min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38154.03II01 batch p10"
"YGR088W"	5.667	6.373	5.936	3.673	3.332	4.829	5.213	6.038	3.101	2.69	4.755	2.547	4.317	3.203	4.316	4.414	4.325	2.994	6.03	3.589	5.131	5.593	6.165	5.734	4.754	1.465	3.755	3.901	3.493	3.678	4.067	2.752	4.878	5.242	6.064	6.265	5.206	6.919	6.036	0.786	-0.077	3.937	3.389	5.535	1.018	-0.175	4.425	1.017	4.761	5.015	4.802	4.788	5.016	4.381	4.536	4.467	6.94	-0.084	4.807	4.652	-1.566	1.854	4.961	4.689	1.683	5.339	5.379	4.207	4.971	3.96	4.824	3.814	3.89	3.224	3.092
"YGR294W"	0.594	0.3375	-0.196	0.059	-0.7375	-0.005	0.361	0.2785	-0.1905	-0.0265	0.0755	-0.282	-0.284	-0.156	-0.309	-0.258	0.041	0.098	-0.235	0.238	0.334	-0.085	0.647	1.142	0.282	-1.093	0.394	-0.218	-0.212	-0.911	0.453	0.253	0.955	0.596	1.328	1.53	1.144	1.003	1.151	-0.803	-1.117	0.183	0.101	0.883	-0.456	-0.432	-0.235	-0.56	0.704	0.858	0.552	0.25	0.401	0.628	0.64	0.392	0.738	-1.3	-0.339	-0.465	-0.763	-0.223	-0.146	-0.3	-0.241	0.014	-0.673	0.075	-0.923	-0.786	0.598	0.873	2.348	0.599	-0.013
"YHL046C"	0.895	0.371	-0.3155	0.09	-0.1395	0.1105	0.115	0.0695	-0.1845	-0.224	0.0145	-0.285	-0.055	-0.233	-0.295	-0.258	0.123	0.13	-0.345	-0.248	-0.005	-0.152	0.536	0.913	0.094	-1.2	0.257	0.319	-0.55	0.114	0.207	0.768	0.913	0.59	1.181	1.444	1.156	0.884	0.984	-0.778	-0.796	0.299	0.459	0.697	-0.374	-0.707	-0.151	-0.659	0.622	0.743	0.55	0.416	0.494	0.785	0.853	0.334	0.39	-0.973	-0.566	-0.238	-0.573	-0.405	0.103	-0.451	-0.318	-0.565	-0.259	-0.249	-0.364	-0.518	0.998	0.524	0.298	0.396	-0.294
"YIL176C"	0.4895	0.2795	0.0135	-0.365	-0.091	-0.03	0.3885	0.524	-0.178	-0.0135	0.104	-0.267	-0.424	0.152	-0.043	0.029	0.283	0.305	0.661	0.695	1.158	0.981	1.545	1.003	0.193	-0.845	0.649	0.705	0.051	0.72	0.53	0.064	1.236	0.684	1.565	1.991	1.388	1.395	0.847	-0.673	-0.721	0.303	0.369	0.845	-0.472	-0.477	-0.131	-0.483	1.034	1.23	0.866	0.589	0.508	0.94	0.585	0.719	0.565	-0.888	-0.135	-0.391	-0.03	-0.268	0.257	-0.251	0.024	0.158	-0.017	-0.387	-0.496	-0.582	0.388	1.515	1.741	1.057	-0.011
"YIR041W"	0.7955	0.3065	0.4475	-0.0725	0.3835	0.3215	0.6365	0.515	-0.1305	0.024	0.0805	-0.005	0.031	0.119	0.264	0.098	0.4	0.119	1.165	1.216	1.559	1.066	1.689	1.754	1.323	-0.379	1.064	0.273	0.469	0.831	1.111	0.8395	1.315	0.695	1.309	1.516	1.574	1.329	1.1	-0.566	-0.586	0.417	-0.031	1.123	-0.109	-0.817	0.454	-0.17	1.069	1.125	1.196	0.814	1.02	0.703	0.998	0.602	0.5145	-0.796	0.243	-0.116	-1.293	0.238	0.119	-0.025	-0.24	0.355	0.036	0.009	-0.7	-0.504	0.21	1.599	2.688	2.219	0.774
"YJL163C"	2.5895	3.0055	2.034	0.5145	0.881	1.6395	2.0905	2.1745	1.0985	1.6895	1.039	0.246	0.055	1.775	1.559	1.842	1.566	1.112	3.842	2.233	3.424	2.79	3.922	3.8	5.291	3.049	2.03	1.602	1.835	1.743	1.668	0.95	3.863	3.154	4.047	4.772	5.26	5.571	4.674	-0.107	-0.504	1.402	2.308	2.28	-0.29	-0.099	1.955	0.275	1.958	2.335	1.774	1.902	2.075	1.213	2.537	3.309	2.3505	0.279	0.597	0.694	-0.562	0.612	0.666	0.803	0.131	1.107	0.765	0.281	1.377	0.448	2.248	2.039	2.553	2.425	1.105
"YJL164C"	2.1985	3.007	2.5085	1.8445	1.16	2.594	3.178	2.788	1.4875	2.291	1.931	0.541	1.345	1.956	2.135	1.957	1.707	0.92	2.713	2.389	2.642	3.115	3.387	3.53	3.922	1.183	2.268	1.602	2.024	1.678	1.432	1.586	1.968	2.744	2.975	3.214	3.039	3.766	3.209	0.263	-0.084	1.887	1.674	3.32	0.681	0.648	2.02	1.56	2.635	2.616	2.669	3.102	2.783	1.964	2.003	1.459	3.0105	0.735	1.808	1.839	0.231	1.009	1.417	1.623	1.238	3.526	2.362	1.231	1.542	1.011	2.22	1.661	1.916	1.472	1.986
"YJL223C"	0.6825	0.4165	-0.275	0.0735	-1.1545	-0.3415	0.191	0.313	-0.0865	-0.156	-0.033	-0.168	-0.133	-0.147	-0.28	-0.238	0.168	0.2	0.362	0.188	0.025	0.432	0.921	1.347	0.051	-0.565	0.441	-0.078	-0.001	0.368	0.08	0.088	0.992	0.562	1.339	1.78	1.303	1.124	1.015	-0.908	-0.781	0.062	0.152	0.688	-0.452	-0.641	-0.18	-0.634	0.817	0.962	0.747	0.529	0.564	0.83	0.633	0.369	0.4465	-1.266	0.034	-0.492	-2.46	0.28	-0.154	-0.298	-0.176	-0.156	-0.377	-0.347	-0.516	-0.34	-0.159	1.203	1.45	1.281	-0.051
"YKL093W"	1.489	2.467	1.872	0.931	0.654	1.138	1.891	2.147	0.332	0.475	0.917	0.915	1.477	0.5	0.826	0.677	0.56	0.288	5.448	4.655	4.714	4.393	4.525	4.208	4.369	0.273	0.562	2.966	3.199	3.212	3.082	0.63	4.872	3.902	2.916	2.536	2.725	3.515	2.14	0.178	-0.1	2.251	2.314	2.515	0.197	0.085	0.568	0.46	1.45	1.642	1.688	1.819	1.784	2.745	2.544	1.743	2.213	-0.032	0.743	0.508	-1.923	0.363	0.675	1.001	0.335	0.925	0.389	0.111	0.848	0.531	0.575	2.899	3.144	3.011	2.4
"YKL124W"	0.868	1.258	1.206	0.654	0.675	1.193	1.036	0.766	0.019	0.171	0.337	0.462	0.798	0.134	0.67	0.588	0.258	0.299	1.903	1.965	2.202	2.028	2.103	2.176	2.289	-0.524	1.229	1.521	1.344	1.974	1.21	0.523	2.162	1.862	2.086	2.271	2.09	2.043	1.423	-0.223	-0.052	0.85	0.722	1.573	-0.048	-0.107	0.978	0.141	1.357	1.524	0.955	1.337	1.068	1.337	1.692	2.0	0.796	-0.234	-0.336	-0.283	-0.605	-0.102	-0.019	-0.705	-0.109	-0.765	-0.589	-0.173	-0.162	-0.247	0.264	0.221	1.15	0.81	0.706
"YKL146W"	0.31	0.737	0.561	0.496	0.332	0.429	0.916	0.692	-0.104	-0.514	-0.101	-0.022	0.268	0.22	0.312	0.677	0.554	0.411	1.781	2.54	1.784	2.024	1.679	1.376	1.449	0.144	0.124	0.45	0.495	0.635	0.39	0.127	2.188	1.466	1.453	1.611	2.189	2.953	1.873	-0.631	-0.719	1.504	1.193	1.194	-0.229	-0.229	0.474	-0.377	1.025	0.985	0.719	0.777	0.816	1.162	0.348	0.945	0.706	0.051	0.249	0.1	-1.354	-1.051	0.48	-0.081	-0.079	0.641	0.443	-0.309	0.6	-0.128	0.159	0.837	0.866	0.387	0.824
"YKL224C"	0.553	0.253	0.264	-0.322	0.189	0.411	0.53	0.396	-0.027	-0.128	-0.143	-0.175	-0.415	0.081	-0.012	0.033	0.076	0.128	0.625	0.859	0.96	0.871	2.423	1.591	0.695	-0.191	0.865	0.411	0.077	0.618	0.37	0.098	1.133	0.724	1.298	1.812	1.424	1.34	0.848	-0.693	-0.684	-0.221	-0.386	0.904	-0.513	-0.392	-0.075	-0.521	0.94	1.099	1.003	0.849	0.635	0.793	0.733	0.417	0.471	-0.95	0.034	-0.2	0.027	0.065	-0.166	-0.997	-0.236	-1.12	-0.351	-0.069	-0.918	-0.841	-0.152	0.16	0.88	0.721	0.069
"YLL019C"	0.9315	1.734	1.559	0.8705	0.463	1.4005	1.8155	1.6465	-0.1445	0.1675	0.9705	0.21	0.193	0.0015	0.435	0.557	0.622	0.1915	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	0.3835	1.0215	1.102	1.0635	1.257	0.6375	0.3665	1.397	1.255	1.789	1.8515	1.9515	1.767	1.3115	0.109	0.171	1.042	1.507	1.291	0.401	0.263	0.671	0.6275	1.322	1.5565	1.4665	1.2295	1.324	1.933	0.8285	0.943	1.6225	0.793	0.411	0.261	-0.456	0.42	0.619	0.085	0.208	0.079	0.198	-0.083	0.046	-0.031	1.304	1.02	1.395	1.358	1.265
"YLL020C"	2.301	2.175	1.787	1.146	0.835	1.436	2.303	1.547	0.036	-0.117	1.2	0.328	0.348	0.2	0.742	0.631	0.807	0.528	2.548	2.425	2.819	2.393	2.931	3.266	3.846	2.385	1.63	1.718	1.37	1.193	1.423	0.284	1.886	1.633	2.494	2.677	3.623	3.679	3.754	-0.267	-0.198	0.554	1.512	2.004	0.018	0.006	0.414	0.207	2.105	2.161	1.839	1.562	1.456	2.314	1.227	1.505	1.901	0.104	0.545	0.288	0.399	0.667	0.961	0.82	0.374	0.053	-1.051	-0.473	0.356	0.003	0.429	1.243	1.257	1.354	0.397
"YLL025W"	0.361	0.654	0.4705	0.1415	0.309	0.3445	0.7705	0.6115	-0.146	0.1565	0.0205	0.006	-0.0335	0.17	0.2445	0.19	0.154	0.137	1.2535	1.3645	1.4295	1.5045	1.898	2.4405	1.1005	0.42	0.5205	0.462	0.471	0.3935	0.5675	0.1695	1.368	1.104	1.3765	1.6155	1.706	1.66	1.3355	-0.208	-0.233	0.12	0.247	0.761	-0.003	-0.2875	0.17	-0.2965	0.8585	0.9815	0.868	0.827	0.8555	1.209	1.061	1.305	0.772	-0.411	-0.079	0.076	-0.329	0.409	0.23	-0.035	0.417	-0.564	-0.161	-0.141	-0.665	-0.179	0.006	0.712	1.587	1.024	0.426
"YLL064C"	0.642	0.168	-0.276	0.053	-0.121	-0.216	0.124	0.036	-0.324	-0.192	0.243	-0.229	-0.11	-0.002	-0.053	-0.148	0.122	0.092	0.071	0.473	0.274	0.448	1.083	0.446	0.384	-1.405	0.678	0.164	-0.378	0.395	0.359	NaN	0.965	0.601	1.26	1.673	1.423	0.761	0.871	-0.882	-0.612	0.196	0.313	0.732	-0.483	-0.53	-0.367	-0.606	0.786	0.932	0.747	0.555	0.662	0.553	0.563	0.453	0.186	-0.938	-0.125	0.001	-2.61	-0.013	-0.208	-0.426	-0.107	-0.899	-0.768	-0.792	-0.675	-0.842	0.325	0.961	0.975	0.908	0.269
"YLR037C"	1.128	0.479	-0.039	0.233	0.276	0.617	0.54	0.455	0.073	-0.4	0.379	-0.177	-0.148	0.016	-0.129	-0.018	0.183	0.194	1.024	0.847	0.471	0.463	1.558	NaN	0.104	-1.083	0.709	0.433	0.235	0.408	0.796	0.209	0.832	0.392	1.211	1.346	0.853	0.91	1.062	-0.752	-0.692	0.01	0.104	0.88	-0.527	-0.86	0.256	-0.845	0.703	0.861	0.22	0.379	0.491	1.738	0.475	0.445	1.069	-1.208	0.06	0.053	-0.064	0.215	0.275	0.329	0.38	-0.181	-0.383	-0.491	-0.202	-0.077	0.507	0.629	1.488	1.121	0.371
"YLR149C"	3.684	4.616	4.196	2.173	2.764	3.715	4.069	3.872	1.758	2.136	2.08	1.429	1.909	1.742	2.478	1.922	2.187	1.356	4.105	3.465	3.717	3.85	3.986	3.387	4.874	3.471	2.715	3.839	3.078	3.191	3.163	2.442	4.749	3.585	4.206	4.313	5.295	5.72	4.926	-0.095	0.23	3.172	3.392	2.949	0.36	0.564	2.757	1.528	2.647	2.93	2.4	2.382	2.61	3.396	2.42	2.99	4.23	0.32	1.01	1.083	-0.933	0.469	1.236	1.203	0.588	1.229	0.682	0.379	2.648	1.169	3.532	2.879	3.795	3.4	3.177
"YLR461W"	0.373	-0.042	-0.037	-0.317	-0.108	-0.213	0.022	-0.073	-0.298	-0.22	-0.08	0.084	-0.382	-0.205	-0.261	-0.21	0.126	0.055	-0.171	0.506	0.716	0.639	1.074	1.439	0.77	-0.848	0.572	0.078	0.078	0.574	0.426	0.248	1.082	0.594	1.062	1.251	1.226	1.088	1.155	-0.667	-0.672	-0.06	-0.043	0.854	-0.403	-0.594	-0.203	-0.329	0.935	1.1	1.042	0.518	0.806	0.867	0.704	0.279	-0.138	-0.958	-0.065	-0.173	-1.393	0.069	0.113	-0.144	-0.482	-0.232	-0.515	-0.594	-0.81	-0.569	-0.805	0.335	0.484	0.387	-0.379
"YMR053C"	1.521	1.551	1.591	0.905	0.294	1.0	2.111	1.65	-0.026	0.427	0.33	0.274	0.102	0.493	0.848	0.696	0.838	0.095	1.798	1.628	2.251	2.192	1.757	2.883	2.067	-1.195	1.664	1.433	1.234	1.495	1.295	0.538	1.509	1.545	2.639	2.612	2.509	2.095	1.236	0.101	0.225	0.569	0.554	1.32	-0.057	-0.088	2.101	0.236	1.063	1.112	0.865	0.756	1.031	0.423	1.725	1.943	1.927	0.347	-0.297	-0.424	-0.666	-0.068	-0.504	-0.953	-0.093	-0.619	-0.385	0.153	-0.754	-0.969	1.02	0.852	1.379	0.912	0.441
"YMR141C"	1.422	1.139	1.214	0.274	0.464	0.594	1.488	1.256	-0.106	0.321	0.452	0.0	0.033	0.374	0.558	0.245	-0.02	-0.061	2.011	1.703	1.77	1.847	2.036	2.507	1.379	-0.979	0.965	1.113	1.047	0.819	0.925	0.49	0.842	0.702	0.966	1.268	1.396	1.391	0.544	-0.046	-0.25	0.512	0.654	1.451	0.141	0.153	0.798	0.365	1.288	1.384	1.479	1.304	1.257	1.272	1.059	1.238	1.344	-0.645	0.932	0.562	-1.021	0.603	0.574	0.799	-0.423	0.876	0.855	0.255	0.661	0.035	0.521	0.975	1.265	0.907	1.047
"YMR325C"	0.621	0.33	0.278	0.108	0.299	0.636	0.695	0.432	-0.135	0.115	-0.066	-0.115	-0.021	0.06	0.093	0.05	0.009	0.061	0.549	0.712	0.854	0.944	1.429	0.946	0.944	-0.674	0.812	0.194	0.38	0.628	0.97	0.638	0.391	0.567	1.246	1.528	1.374	1.072	0.939	-0.423	-0.436	0.082	-0.072	0.834	-0.398	-0.294	0.083	-0.363	0.858	1.04	0.797	0.569	0.706	0.8585	0.872	0.709	0.775	-0.845	-0.532	-0.389	-0.6885	-0.249	-0.343	-0.786	-0.121	0.016	-0.098	-0.143	-0.481	-0.191	NaN	NaN	NaN	NaN	NaN
"YNL237W"	2.047	2.66	1.746	1.153	0.082	1.28	2.231	2.365	0.688	1.421	1.058	0.093	0.469	0.372	0.63	0.516	0.539	0.232	2.908	2.738	3.066	2.427	2.484	2.386	2.376	-0.419	1.152	0.855	1.081	1.479	1.373	0.421	3.489	2.884	2.871	2.949	2.902	2.38	1.751	0.463	0.209	0.787	0.907	1.027	0.584	0.366	2.285	0.206	0.74	1.013	1.313	0.987	1.113	1.759	2.528	2.211	2.673	0.487	0.411	0.386	-3.211	0.702	-0.074	0.347	0.361	0.358	0.803	0.712	-0.262	-0.102	0.741	2.15	2.425	2.199	1.828
