	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"584.17 deg growth"	"800.Heat Shock 015 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34348.wt_hypo_osmotic_shock_7min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YDL004W"	0.201	0.892	0.826	0.827	0.703	1.191	1.162	NaN	0.668	0.183	0.023	1.917	2.735	2.739	0.489	1.338	1.16	1.361	2.575	0.0015	1.838	1.613	0.033	-0.185	-0.801	-0.05	-0.542	-0.494	-0.543	-0.114	-0.353	-0.598	1.417	0.655	-0.323	1.85	2.842	2.421	1.8	2.409	2.622	2.317	0.098	-0.159	-0.343	-0.05	0.988	0.824	0.484	1.349	1.907	1.188	1.377
"YDR148C"	0.7	0.886	1.266	1.391	1.308	1.634	1.746	NaN	0.662	0.537	0.229	2.92	3.978	3.726	0.844	1.233	1.906	1.862	3.077	-0.374	2.154	1.878	0.139	0.575	-0.167	0.555	0.652	0.827	0.967	0.206	0.621	0.99	1.71	0.654	0.323	2.437	3.376	2.708	2.528	3.96	3.729	2.598	0.377	0.416	0.134	0.078	1.347	1.303	1.268	2.11	2.267	2.216	1.635
"YDR178W"	1.154	2.331	2.489	2.252	1.935	2.655	3.122	-0.351	1.414	0.317	0.415	4.036	4.991	4.84	0.798	2.618	2.667	2.86	3.646	-0.176	2.948	3.054	0.624	1.686	-0.65	1.077	1.863	2.168	1.852	1.422	1.564	1.291	2.656	2.002	1.619	4.18	4.862	4.365	3.685	4.946	4.481	3.474	0.236	0.442	0.142	0.531	1.615	1.884	1.791	2.491	3.1	2.272	2.486
"YDR196C"	0.269	0.5	0.434	0.544	0.658	0.823	0.82	-0.275	0.735	0.668	0.813	2.663	1.675	1.285	1.324	1.129	1.272	0.69	1.474	-0.054	0.86	0.337	0.361	0.798	-0.304	0.193	0.193	0.768	0.809	0.347	0.522	0.305	0.669	0.617	0.559	1.44	1.539	0.537	2.049	1.427	1.305	0.575	0.318	0.069	0.01	0.252	1.717	1.676	1.901	1.281	2.022	2.027	1.289
"YDR230W"	0.877	1.591	1.339	1.203	0.794	1.359	1.208	-0.521	0.863	0.206	0.333	2.982	2.771	2.13	1.57	1.608	1.552	1.968	1.441	0.307	1.415	0.953	0.134	0.528	-0.421	0.043	0.325	0.778	0.876	0.596	0.688	0.538	1.065	1.589	1.332	2.869	3.05	2.718	2.759	2.891	2.348	2.31	-0.361	-0.039	0.182	-0.014	1.656	1.159	1.07	1.656	2.225	2.122	2.373
"YDR231C"	0.755	1.589	1.341	1.206	1.114	1.463	1.261	-0.596	0.754	0.063	0.147	2.73	2.763	1.325	1.015	1.347	1.529	1.517	0.935	0.161	2.102	1.959	-0.047	0.62	-0.243	-0.074	0.285	0.823	0.693	0.38	0.616	0.533	1.215	1.502	1.841	3.034	2.843	3.073	3.219	2.829	2.373	2.628	-0.187	0.039	0.105	0.031	0.938	1.567	0.447	1.563	1.92	2.237	1.618
"YDR328C"	0.326	0.487	0.39	0.351	0.465	0.575	0.528	-0.602	0.526	0.007	-0.59	0.195	-0.015	0.506	0.19	0.423	0.274	0.117	0.371	0.141	1.117	0.176	0.467	-0.082	-0.118	0.058	-0.644	-0.534	-0.083	-0.441	-0.783	-0.927	0.76	0.151	0.0	1.032	1.658	0.873	0.743	1.105	1.0	0.914	-0.509	-0.046	0.17	-0.564	0.879	0.039	1.213	0.994	1.576	1.628	0.217
"YDR529C"	0.442	1.938	1.334	1.146	1.227	1.631	1.548	-1.107	1.087	0.259	0.302	2.473	2.394	2.948	0.871	2.109	1.792	1.637	2.996	-0.1	2.851	2.996	-0.067	0.526	-0.86	-0.028	-0.272	-0.048	-0.152	-0.023	-0.144	-0.176	2.531	1.321	1.282	3.301	3.917	3.456	2.364	3.342	3.698	3.514	0.081	-0.063	-0.295	-0.287	1.295	1.024	1.251	2.057	2.478	2.1	2.437
"YER067W"	4.327	4.551	5.719	5.641	4.993	5.958	6.295	-0.901	2.194	3.087	3.471	6.406	5.001	5.077	2.109	5.893	5.941	6.056	4.292	1.954	3.522	3.049	1.631	4.274	-1.625	0.893	3.21	3.607	3.162	3.09	3.762	3.867	6.706	3.976	2.923	5.257	4.359	3.463	6.041	5.036	4.169	4.367	0.266	0.218	0.05	0.109	3.857	3.569	3.118	4.079	3.309	3.955	5.219
"YER150W"	4.472	2.798	5.585	4.101	4.447	4.749	4.983	-1.943	1.714	2.395	2.944	6.012	5.312	5.241	2.376	4.953	4.743	4.495	5.006	1.877	3.847	3.832	2.406	4.737	-0.427	1.844	4.325	4.609	4.764	3.727	4.306	4.749	6.349	4.957	3.453	7.981	7.796	6.325	6.994	6.618	5.594	4.621	2.552	3.282	3.122	1.879	4.459	5.499	5.656	3.673	4.15	3.586	4.221
"YER182W"	0.497	1.404	1.099	1.188	1.036	1.214	1.322	-0.68	0.392	0.272	1.096	2.175	1.778	1.437	0.717	1.377	1.467	1.606	2.131	-0.349	2.181	1.585	-0.093	1.137	-0.018	-0.175	0.521	0.78	0.27	0.569	0.576	0.316	1.545	1.135	1.1	3.153	3.205	2.632	3.239	2.573	1.604	1.35	-0.121	-0.051	-0.012	0.163	1.827	1.805	0.695	1.98	1.981	2.342	-0.647
"YFR011C"	-0.01	0.759	0.346	0.355	0.475	0.252	0.183	NaN	0.123	0.429	0.017	1.171	1.697	1.773	0.408	0.557	0.946	0.432	1.148	-0.263	1.25	1.435	-0.695	0.008	-0.361	-0.506	-0.444	0.061	-0.084	-0.573	-0.287	-0.375	0.344	0.946	0.094	1.141	2.38	1.176	1.421	1.483	1.593	-0.083	-0.742	0.07	-0.062	-0.162	0.508	0.18	-0.052	1.192	1.714	1.464	0.646
"YFR033C"	0.429	1.505	0.955	1.342	1.12	1.331	1.406	NaN	0.843	-0.211	-0.19	2.495	2.806	2.426	1.1	2.34	2.088	2.219	1.93	-0.018	2.538	2.376	0.318	0.473	-0.682	0.372	0.016	0.291	0.582	-0.051	0.144	0.267	1.718	0.662	0.357	2.538	2.962	2.881	2.114	3.078	3.198	1.953	-0.023	-0.154	0.067	0.34	0.734	0.689	0.328	0.81	1.683	1.434	1.918
"YFR049W"	0.222	0.792	0.819	0.884	0.525	1.215	1.347	-0.407	0.511	0.526	0.973	3.095	2.899	2.852	0.648	1.613	2.145	1.941	2.298	-0.33	0.845	1.171	0.398	0.883	-0.558	0.478	0.42	1.152	1.273	0.369	0.669	0.735	0.43	1.24	1.281	1.618	1.781	1.725	1.479	1.717	1.251	1.31	0.201	-0.392	-0.295	-0.548	0.968	0.545	1.027	1.79	2.33	1.484	1.97
"YGL002W"	0.0	0.559	0.38	0.095	0.199	0.601	0.415	-0.269	0.245	0.042	0.589	1.445	1.037	1.343	0.409	0.722	0.758	0.564	1.93	-0.05	0.83	0.2	0.439	0.32	-0.317	0.342	0.092	0.313	0.15	0.313	0.003	0.099	-0.138	1.14	0.801	1.595	1.1	0.668	1.271	1.522	1.081	0.606	-0.39	0.115	0.049	0.122	1.164	1.122	1.451	1.094	1.331	1.139	0.78
"YGL095C"	-0.17	0.229	0.781	-0.004	0.621	0.276	0.255	-0.727	0.043	0.147	-0.267	1.133	0.936	0.821	0.382	0.341	0.486	0.871	0.752	-0.15	0.739	0.816	-0.199	-0.317	0.111	0.126	-0.232	0.067	0.165	-0.192	-0.259	0.143	-0.176	0.037	0.046	1.103	0.97	0.404	1.392	1.397	1.198	0.28	0.1	0.011	0.151	0.159	0.188	0.676	1.152	1.386	1.292	1.285	0.485
"YGL191W"	0.362	1.672	1.432	0.865	1.325	1.464	1.522	-0.217	0.674	0.602	0.201	2.252	3.271	3.144	0.258	2.011	1.736	2.578	2.806	-0.123	2.618	2.781	0.287	0.435	-0.432	0.128	-0.074	0.079	0.16	-0.349	-0.57	-0.374	1.23	1.151	0.791	3.825	4.404	4.251	2.257	3.94	3.719	2.721	0.771	0.576	0.383	0.562	1.161	1.208	1.336	1.589	2.26	1.445	2.009
"YGR008C"	2.061	3.769	3.569	3.526	3.322	3.458	3.861	-0.113	1.573	1.725	0.327	3.053	2.638	2.899	2.608	3.62	3.51	2.45	2.838	0.97	2.943	2.5	0.759	2.541	-1.243	0.449	2.15	2.784	2.708	1.767	2.067	2.355	3.879	3.801	2.668	5.3	5.554	3.966	5.566	4.887	3.59	2.98	0.77	0.386	0.924	1.04	4.242	3.795	4.035	4.148	2.895	3.801	0.944
"YGR174C"	0.309	1.7315	1.5265	1.478	1.135	1.285	1.3405	-0.263	0.664	0.267	0.127	3.717	3.294	2.305	0.98	2.02	1.735	1.85	2.415	-0.032	2.465	2.259	0.068	0.363	-0.362	0.166	-0.253	0.357	0.237	-0.162	0.007	-0.018	1.809	0.934	0.985	3.235	3.542	2.336	3.947	3.312	2.576	2.911	-0.956	-0.347	-0.248	-1.363	0.582	1.915	1.554	2.054	2.348	2.397	2.245
"YGR182C"	-0.071	1.0175	0.6515	0.3325	0.3295	0.7845	0.823	-0.79	0.454	-0.11	0.29	1.187	1.651	2.039	0.455	1.102	0.957	0.975	2.497	-1.142	0.898	1.618	0.009	0.464	-0.583	0.164	-0.071	0.299	0.181	-0.11	-0.015	-0.102	1.19	1.949	0.869	2.978	3.508	3.434	2.308	3.002	3.048	2.462	0.586	0.032	-0.104	0.157	1.452	1.229	0.822	1.112	2.065	0.579	2.022
"YGR289C"	2.2165	2.4155	2.263	1.4575	1.0295	1.8545	1.6355	-0.801	0.879	0.042	0.199	4.002	2.79	2.471	0.767	2.726	2.287	2.614	2.822	-0.379	1.761	1.433	0.25	1.075	0.224	0.268	0.777	0.942	0.867	0.398	0.729	0.934	2.0125	0.79	0.306	3.924	3.187	2.322	4.308	3.322	2.465	2.479	-0.816	-0.14	-0.008	-0.379	4.832	5.108	6.131	4.088	3.498	4.647	5.123
"YGR290W"	1.4805	0.804	1.52	0.6375	0.5375	0.8915	0.9865	-0.799	0.594	0.056	-0.449	4.054	2.3	2.169	1.071	2.332	1.65	1.231	1.852	-0.674	0.835	1.045	-0.174	0.906	-0.346	-0.194	0.428	0.435	0.239	0.199	0.271	0.745	1.8045	-0.286	0.32	2.483	2.467	1.036	3.293	2.545	0.873	1.39	-0.731	-0.326	-0.193	-0.151	2.21	2.981	3.24	2.464	-1.279	2.279	1.932
"YHL021C"	4.2195	5.6195	5.88	5.508	4.666	5.5395	5.718	-1.514	2.162	1.708	3.595	5.13	4.387	4.461	3.387	5.062	4.726	4.548	3.904	1.13	3.263	2.987	2.104	4.431	-0.373	1.478	3.59	3.443	3.832	2.99	3.239	3.337	5.9365	6.107	5.446	6.428	4.596	3.722	6.624	4.847	4.725	3.995	0.624	0.601	1.408	1.048	3.506	3.953	3.438	3.632	2.568	3.841	2.332
"YHL032C"	0.6645	0.8555	1.395	1.1415	0.741	0.995	0.998	-0.634	0.558	0.049	0.304	3.295	4.517	2.199	0.683	1.419	2.655	2.794	1.994	-0.661	1.408	1.95	-0.232	0.307	-0.263	0.037	0.148	0.484	0.294	-0.233	0.341	0.691	1.431	0.923	0.778	2.223	2.68	1.187	2.558	3.059	1.023	2.259	0.141	-0.167	0.022	0.322	0.91	1.533	0.705	1.907	1.835	2.385	1.716
"YHR051W"	0.5035	1.5435	1.3665	1.0225	1.058	1.313	1.449	-0.619	0.796	0.16	0.086	2.562	3.688	3.419	0.329	1.784	1.64	1.91	3.332	-0.384	2.302	2.934	-0.108	-0.131	-0.73	-0.257	-0.655	-0.155	-0.346	-0.313	-0.241	-0.286	1.196	1.271	-0.011	3.028	3.999	3.435	2.435	3.973	4.032	2.958	0.377	0.217	0.03	0.049	0.85	0.996	0.804	1.401	1.907	1.031	1.293
"YIL136W"	2.6195	4.318	2.297	4.5115	3.5705	4.093	3.794	-0.9	1.621	1.164	1.759	5.349	6.184	4.276	3.374	3.633	3.895	4.339	3.382	-0.232	3.914	2.318	0.79	2.974	-0.107	1.308	3.068	3.701	3.756	2.993	3.409	3.592	3.8555	3.125	1.974	5.402	5.624	5.235	5.469	5.356	5.332	4.327	-0.018	0.574	1.107	0.604	2.611	3.858	4.147	3.653	3.715	4.429	3.453
"YIL157C"	-0.101	1.3025	0.976	0.5435	0.732	0.733	0.7635	-0.66	0.295	-0.16	-0.056	1.305	1.048	0.929	0.115	0.902	0.89	0.907	1.653	-0.097	1.02	0.804	-0.502	-0.741	-0.504	-0.471	-1.151	-0.575	-0.494	-0.745	-0.766	-0.645	1.035	0.564	0.92	1.595	0.925	0.109	1.345	0.516	1.0	0.415	-0.37	-0.46	-0.417	0.031	0.833	1.087	-0.091	1.509	2.14	1.771	1.138
"YIL162W"	0.238	0.254	2.126	0.655	-0.053	0.896	2.128	-1.612	1.178	-0.226	1.041	4.225	2.733	2.017	0.081	2.088	2.918	2.714	4.085	0.218	3.083	1.785	0.011	-0.323	-0.098	0.309	-0.228	-0.54	-0.802	-0.506	-0.332	-0.666	3.5285	1.322	-0.196	3.506	2.478	0.632	4.653	3.362	2.33	1.951	-0.863	-0.532	-0.443	-0.217	2.789	2.13	0.377	3.648	2.331	3.552	0.827
"YJL055W"	0.257	1.138	0.7225	0.539	0.8065	0.87	1.045	-1.123	0.296	0.187	0.174	0.504	0.536	0.223	0.292	0.157	0.708	-0.467	-0.075	-0.188	1.443	0.727	0.049	0.38	-0.204	-0.147	-0.297	0.264	0.146	-0.313	-0.101	-0.16	1.165	1.327	0.65	1.165	1.141	1.739	1.138	0.661	0.507	0.212	-0.272	-0.296	-0.153	-0.08	0.841	0.761	0.672	0.756	0.998	1.218	0.416
"YJL152W"	0.27	1.3385	0.9595	0.976	0.5475	1.014	1.005	-0.877	0.55	-0.253	-0.454	2.157	2.551	1.326	0.426	1.5	1.489	1.661	1.795	0.046	1.138	0.461	0.395	0.725	-0.783	0.74	0.215	0.469	0.799	0.126	0.168	0.031	1.228	0.877	0.826	2.011	1.197	1.356	1.681	1.337	1.059	1.719	0.213	0.812	0.504	0.653	1.763	1.477	1.442	1.463	2.326	1.197	1.907
"YJL185C"	0.4015	1.414	0.475	0.768	0.6965	0.9725	0.984	-0.743	0.43	0.039	0.316	2.062	2.22	2.091	0.381	1.358	1.2	1.493	2.666	-0.653	0.875	1.918	0.698	1.018	-0.212	0.519	0.917	1.013	1.133	0.835	0.875	0.895	1.1405	0.484	0.317	2.152	1.808	0.81	1.727	2.015	1.118	1.24	0.074	0.141	0.016	0.061	1.555	2.0	2.908	1.17	1.651	0.948	1.376
"YJR051W"	0.086	0.29	0.766	0.4615	0.355	0.9145	0.743	-1.3	0.47	0.326	-0.019	0.911	0.961	1.088	0.185	0.333	0.63	0.895	1.332	0.221	1.481	1.096	-0.129	-0.533	0.159	-0.116	-0.398	-0.47	-0.507	-0.249	-0.307	-0.242	1.0595	-0.026	-0.62	0.802	1.163	0.147	1.042	0.986	0.849	-0.153	-0.2	0.021	-0.147	-0.127	0.581	0.399	0.438	1.035	1.022	1.37	-0.154
"YJR096W"	0.7805	2.743	3.153	3.311	3.07	3.2195	3.4165	-1.0	1.119	1.91	1.799	5.037	3.379	3.713	2.856	3.16	2.524	1.951	3.887	0.913	3.067	1.771	0.507	1.841	-0.615	0.253	1.156	1.931	2.208	1.411	1.935	1.934	3.707	2.099	1.271	4.119	3.857	2.962	3.463	3.161	2.762	3.428	0.482	0.277	0.102	0.134	2.387	2.94	2.989	2.925	4.063	3.516	3.369
"YKL003C"	-0.3195	0.7435	0.7555	0.057	0.4875	0.2855	0.1995	-0.831	0.186	0.185	-0.064	1.716	0.338	0.149	-0.282	0.402	0.352	0.495	1.062	-0.218	1.279	0.607	-0.353	-0.017	-0.338	-0.553	-0.513	-0.222	-0.238	-0.135	-0.386	-0.459	0.5075	0.146	0.634	1.054	1.021	1.133	1.433	0.357	0.459	0.25	0.159	-0.263	-0.212	-0.04	0.685	0.531	-0.482	0.467	1.434	1.065	0.633
"YKL093W"	0.86	1.489	2.467	1.872	1.138	1.891	2.147	-0.77	1.052	0.915	2.013	5.448	4.655	4.714	0.562	2.966	3.199	3.212	4.872	-0.163	2.251	2.314	0.622	2.515	0.269	0.358	1.45	1.642	1.688	1.52	1.819	1.784	2.213	0.575	0.0	4.428	4.865	2.992	4.992	4.664	3.337	3.528	-0.141	-0.278	-0.304	-0.189	2.271	2.899	3.144	2.451	2.976	2.4	2.533
"YKL141W"	0.721	1.899	1.653	1.297	1.155	1.526	1.914	-0.874	0.729	0.244	0.613	3.018	4.073	3.933	0.581	1.408	1.988	2.335	3.948	-0.266	2.174	3.126	0.095	0.687	-0.27	-0.061	0.066	0.619	0.44	0.381	0.424	0.446	1.887	2.197	1.274	3.281	4.116	3.983	2.82	3.791	4.053	3.155	0.115	-0.08	0.056	0.27	1.399	1.62	1.288	1.453	1.583	1.481	0.994
"YKL151C"	1.97	3.971	4.653	4.533	3.849	4.45	4.63	-0.89	1.515	0.46	0.053	3.642	2.407	1.558	2.405	1.361	1.609	1.937	0.711	0.442	2.799	2.188	0.761	2.972	-0.507	0.221	1.652	2.498	2.582	1.567	2.276	2.615	4.996	2.694	2.443	3.213	2.768	3.047	3.988	2.909	2.395	3.103	0.241	0.209	-0.288	-0.045	0.796	2.981	3.558	2.513	3.462	3.47	1.672
"YKL169C"	0.257	0.698	0.331	0.138	-0.774	0.214	-0.023	-0.033	0.673	0.082	-0.387	1.731	0.585	0.396	0.216	0.879	0.633	-0.43	0.908	-0.244	1.094	0.677	-1.007	-0.13	-0.344	-0.835	-0.831	-0.171	-0.429	-0.595	-0.381	-0.527	0.566	-0.116	0.043	0.658	0.908	0.228	0.95	0.898	0.443	-0.098	0.073	0.026	-0.163	0.005	-0.182	0.818	-0.103	1.189	2.143	1.648	1.017
"YKR016W"	0.684	1.249	1.336	1.235	1.365	1.066	1.121	-0.912	1.035	0.042	0.297	2.503	2.672	1.938	0.979	2.08	1.448	1.295	1.737	-0.289	2.199	1.997	-0.96	0.427	-0.221	-0.615	0.066	0.622	0.288	0.044	0.553	0.532	1.232	0.453	0.008	1.907	2.262	1.947	2.294	1.735	1.96	0.673	0.286	0.241	0.165	0.024	1.155	0.378	0.397	0.495	0.15	1.41	0.31
"YKR035C"	0.246	0.024	0.243	0.618	0.523	0.472	0.105	-0.393	0.132	0.013	-0.2	1.615	0.764	0.785	0.856	1.546	1.059	0.925	-0.033	0.22	1.273	0.684	-0.55	-0.112	-0.3	-0.416	-0.49	0.056	0.152	-0.417	-0.073	-0.237	0.147	0.262	0.236	1.296	1.245	0.49	1.299	0.78	0.782	0.398	0.471	-0.099	-0.358	-0.267	1.013	0.614	0.611	0.523	0.6	0.731	0.503
"YKR046C"	-0.127	1.403	1.623	1.465	1.316	2.034	1.513	-0.513	0.413	0.257	-0.121	2.019	1.967	1.595	1.119	1.344	1.841	1.285	1.726	0.328	0.669	2.092	0.175	1.233	-0.33	0.0	0.816	1.561	1.521	0.139	0.948	1.168	2.093	0.327	0.102	2.081	1.626	1.556	1.834	2.303	1.054	2.377	-0.507	-0.269	-0.269	-0.017	1.168	2.061	1.769	1.727	2.667	1.716	1.25
"YLR097C"	0.422	0.531	0.421	0.408	0.441	0.745	0.71	-0.615	0.278	0.331	0.317	1.765	0.623	0.727	0.836	1.212	0.701	1.134	1.901	0.05	1.256	1.016	0.096	0.482	-0.449	0.362	0.242	0.433	0.379	-0.109	0.14	0.142	0.872	0.508	0.474	1.332	1.184	0.995	1.792	1.378	0.89	0.52	0.274	-0.084	-0.019	0.142	1.235	1.09	2.005	1.061	1.417	1.068	1.221
