	"56.Elutriation2:Sample2:Time3.5hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"297.Kb vs. Ctrl"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"814.DBYmsn2-4- 37degree heat - 20 min"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"976.wt_plus_gamma_5_min"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1173.PHO4c vs. wild type"	"2064.Hypo-osmotic shock - 5 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"4784.29C to 33C - 90 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"6824.Sporulation t0"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"8247.steady state 36 dec C: y14n095"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32250.DBY8778_heat_shock2_0min"	"32253.DBY8778_heat_shock2_15min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38149.03II01 batch p5"
"YDR037W"	0.056	0.215	0.174	-2.701	-2.679	-1.231	-0.38	1.105	-4.313	-3.427	-3.607	-3.146	-3.458	-4.551	-5.224	-0.977	-3.226	-2.505	-2.756	-2.42	-0.561	0.253	-1.971	0.096	0.041	0.286	-0.2065	-0.058	-0.067	-1.144	-0.837	0.016	-0.463	-0.227	-0.304	-2.354	0.575	-1.462	1.579	-4.284	-3.366	-4.204	-3.541	-2.204	-3.047	-0.151
"YDR165W"	-0.129	-0.271	0.192	-2.874	-2.762	-0.581	-0.982	1.323	-4.096	-2.538	-2.179	-2.247	-2.27	-3.111	-5.309	-2.69	-3.015	-2.243	-1.636	-1.883	-1.593	0.127	-3.057	0.071	-0.183	-0.18	-0.126	-0.104	-0.599	-1.071	-1.573	-0.097	-1.274	0.086	-1.047	-2.787	-0.348	-3.068	-0.529	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255	0.247
"YDR413C"	0.112	-0.102	-0.087	-2.779	-2.502	-0.729	-0.592	0.378	-2.622	-2.121	-1.802	-1.452	-1.58	-1.42	-2.057	-1.357	-1.399	-1.215	-1.12	-1.347	-0.958	-0.135	-2.337	-0.168	-0.47	-0.207	-0.097	-0.331	-0.326	-0.972	-1.288	0.229	-1.356	-0.235	-0.601	-2.652	0.044	-2.964	-0.062	-1.835	-1.046	-2.336	-1.502	-1.256	-1.422	-0.917
"YDR447C"	-0.011	-0.077	-0.11	-3.242	-3.562	-0.646	-1.392	0.463	-4.882	-3.934	-3.531	-3.26	-2.465	-3.659	-5.332	-2.316	-3.574	-3.565	-2.813	-3.129	-0.509	0.24	-4.249	0.036	-0.816	0.067	0.033	-0.139	0.0	-1.879	-1.963	-0.032	-1.266	-0.316	-2.014	-2.593	0.298	-3.102	0.613	-3.67	-2.356	-4.358	-3.418	-2.211	-3.223	-0.157
"YDR465C"	-0.152	-0.527	-0.194	-3.765	-3.563	-0.183	-0.982	0.941	-4.438	-3.006	-2.225	-1.892	-1.621	-2.676	-2.557	-3.43	-1.835	-1.963	-0.623	-0.896	-1.428	-0.166	-1.809	0.039	-0.003	-0.057	-0.111	-0.273	-0.13	-1.022	-1.119	-0.146	-1.083	-0.25	-0.682	-3.782	0.04	-4.693	0.854	-2.313	-2.306	-3.552	-2.632	-2.225	-1.799	0.293
"YER126C"	0.224	-0.326	0.087	-4.626	-4.459	-1.115	-1.051	0.51	-4.455	-2.713	-2.384	-1.898	-2.335	-2.608	-5.367	-2.806	-2.355	-2.036	-1.58	-0.345	-1.557	0.014	-2.303	-0.197	0.056	0.072	0.122	0.38	-0.285	-1.716	-1.814	-0.147	-1.302	-0.496	-1.223	-5.253	-0.314	-5.806	0.102	-2.489	-2.31	-3.761	-2.961	-2.173	-1.909	0.368
"YER131W"	0.7	0.445	-0.146	-3.171	-3.29	-1.21	-1.543	1.259	-2.813	-3.262	-2.7	-2.3	-2.47	-3.664	-6.55	-2.634	-2.621	-2.795	-2.905	0.589	-0.225	0.229	-4.139	0.172	-1.363	0.309	0.477	0.158	0.244	-1.214	-1.561	-0.265	-0.6	-0.39	-1.433	-3.097	0.782	-2.338	1.501	-3.884	-3.237	-3.578	-4.068	-2.732	-3.858	0.347
"YGL030W"	0.194	-0.173	-0.307	-2.592	-0.272	-1.242	-1.756	0.592	-3.613	-2.888	-2.582	-1.861	-2.008	-3.668	-5.484	-2.315	-2.388	-2.751	-2.6	-2.361	-0.564	0.137	-3.284	0.193	-0.485	0.083	0.059	-0.268	0.413	-1.651	-2.589	0.155	-0.563	-0.082	-2.376	-2.603	0.615	-2.86	1.264	-3.939	-2.871	-3.575	-2.76	-2.198	-3.156	-0.161
"YGL041C"	0.041	-0.128	-0.326	-0.106	0.0	0.09	0.199	-0.156	1.793	1.159	1.064	0.083	-0.311	-2.04	-0.898	0.28	0.67	0.65	0.548	0.31	-0.15	0.131	0.778	0.027	0.138	-0.268	-0.151	0.088	-0.232	-0.058	0.318	0.064	0.438	-0.737	0.404	0.055	0.484	0.951	0.641	2.033	0.925	1.413	1.16	1.339	0.636	-0.244
"YGL042C"	0.135	-0.198	0.062	-0.136	-0.369	-0.361	0.254	-0.35	-0.923	-0.241	-0.225	0.385	0.017	-0.604	-2.089	-0.124	-0.726	-0.503	-0.244	-0.035	-0.238	0.138	-0.353	0.007	-0.179	0.096	-0.003	-0.094	-0.178	0.053	0.116	0.174	0.0	0.034	-0.153	-0.234	0.024	-0.315	0.051	-0.389	-0.703	-0.772	-0.635	-0.144	0.192	-0.332
"YGL076C"	0.289	0.282	-0.117	-2.744	-3.119	-0.842	-1.867	1.617	-3.969	-3.136	-2.73	-2.564	-2.401	-3.976	-5.667	-2.396	-3.32	-2.996	-2.857	-1.957	-0.796	0.372	-4.142	0.155	-0.297	0.36	0.189	-0.018	0.316	-2.046	-2.361	-0.125	-0.901	0.004	-2.099	-2.656	0.493	-2.625	0.755	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	-1.174
"YGL099W"	-0.069	-0.148	-0.077	-3.122	-3.311	-1.079	-1.092	1.175	-3.43	-2.011	-2.123	-1.774	-2.335	-2.895	-5.764	-2.268	-2.454	-1.59	-1.291	-1.425	-1.468	-0.087	-2.755	-0.113	0.227	-0.229	-0.109	0.188	-0.272	-1.114	-1.172	0.168	-1.303	-0.33	-0.756	-3.381	-0.425	-1.974	0.133	-2.608	-2.453	-3.506	-2.525	-1.211	-1.788	0.26
"YGL102C"	0.851	0.539	-0.079	-2.074	-2.584	-0.669	-1.23	0.933	-3.419	-2.825	-2.081	-1.973	-2.356	-2.658	-5.65	-1.718	-3.301	-3.227	-3.132	0.794	-0.516	0.309	-3.32	0.077	-0.489	0.047	-0.091	-0.009	0.312	-1.5	-2.217	-0.26	-0.749	-0.011	-1.483	-2.437	0.298	-2.289	-0.127	-3.42	-2.202	-3.272	-2.955	-2.203	-3.411	-0.594
"YGL123W"	1.042	0.756	-0.342	-3.47	-4.378	-1.693	-2.338	1.598	-3.781	-3.757	-3.726	-3.265	-3.62	-4.004	-5.982	-3.013	-4.112	-3.654	-3.701	-3.959	-0.539	0.589	-3.511	0.062	0.078	0.164	0.04	0.225	0.301	-1.869	-1.724	-0.079	-0.257	-0.32	-2.237	-3.308	1.226	-2.292	1.212	-4.217	-3.27	-4.123	-3.488	-2.693	-2.743	0.524
"YGL135W"	0.672	0.24	-0.54	-3.231	-3.984	-1.162	-2.254	1.173	-3.221	-2.573	-2.455	-2.548	-2.942	-3.418	-5.687	-2.615	-3.217	-3.23	-3.119	-2.071	-0.503	0.488	-3.581	0.183	0.021	-0.033	-0.099	-0.12	0.42	-1.941	-2.496	0.082	-1.193	0.184	-2.497	-3.406	0.331	-2.824	0.529	-3.443	-2.903	-3.617	-3.009	-1.968	-2.509	-0.064
"YGL225W"	0.495	0.067	-0.215	-1.26	-1.371	-1.027	-0.77	0.446	-2.616	-2.746	-1.792	-2.343	-1.309	-0.784	-3.965	-1.402	-2.503	-2.746	-2.572	-2.426	-0.254	0.438	-1.606	-0.023	-0.027	-0.224	-0.193	0.015	0.472	-1.532	-1.68	-0.189	-0.668	-0.039	-0.718	-0.999	0.32	0.151	0.431	-2.951	-2.246	-3.038	-2.974	-1.996	-2.208	0.595
"YGR034W"	0.261	0.146	-0.3	-3.059	-2.884	-0.845	-1.25	0.01	-3.922	-3.172	-3.096	-2.637	-2.998	-3.052	-6.281	-2.746	-3.268	-2.935	-2.282	-2.579	-0.376	0.112	-3.635	-0.087	0.203	0.014	0.179	0.115	0.006	-1.672	-2.439	0.093	-1.19	0.063	-2.06	-2.708	0.575	-2.451	0.683	-2.986	-3.003	-4.347	-3.643	-2.741	-2.179	-0.876
"YGR103W"	-0.014	-0.529	0.225	-5.118	-3.624	-1.088	-2.13	1.273	-4.825	-3.051	-3.013	-2.66	-2.349	-1.948	-5.518	-2.869	-2.251	-2.402	-2.149	-1.634	-2.179	-0.038	-4.861	0.142	-0.075	0.141	-0.503	-0.172	-0.143	-2.563	-2.583	-0.127	-1.403	-1.01	-2.925	-5.075	-0.52	-4.921	0.2755	-3.1195	-2.6665	-4.287	-2.4	-2.155	-1.886	-0.5975
"YGR123C"	-0.094	0.059	0.125	-4.1895	-3.748	-1.046	-1.415	1.824	-4.447	-2.7	-2.234	-2.041	-2.224	-3.794	-4.328	-2.958	-2.878	-2.97	-2.137	-0.249	-2.101	0.022	-2.118	-0.031	0.113	-0.043	-0.115	-0.181	0.119	-0.632	-0.801	-0.129	-1.05	-0.328	-0.628	-4.594	0.222	-2.795	0.894	-2.403	-3.664	-3.836	-3.389	-2.052	-2.048	0.687
"YGR173W"	0.413	0.013	0.424	-2.8095	-2.487	-0.507	-0.955	0.685	-3.271	-1.888	-1.436	-1.194	-1.91	-2.218	-3.699	-1.899	-2.709	-2.065	-1.747	-1.752	-1.1	0.151	-1.546	0.374	-0.184	-0.217	-0.176	-0.183	0.098	-0.809	-0.503	0.031	-0.517	0.251	-0.761	-2.734	-0.366	-1.911	0.718	-2.164	-1.798	-2.139	-1.259	-0.642	-1.525	0.442
"YHR021C"	0.261	-0.028	-0.523	-2.8035	-3.2995	-0.585	-0.859	-0.457	-3.57	-3.061	-2.341	-2.215	-1.757	-1.221	-2.894	-2.206	-2.639	-2.717	-1.787	-2.085	-1.406	-0.184	-2.705	0.126	-0.711	-0.054	0.401	0.299	0.327	-1.158	-1.995	-0.392	-0.505	0.258	-1.927	-2.676	0.291	-2.042	0.894	-2.576	-2.1	-3.519	-3.078	-2.345	-2.663	-0.128
"YHR203C"	0.946	0.594	-0.115	-2.8785	-3.5975	-2.628	-2.357	1.292	-3.926	-2.827	-3.148	-2.671	-2.895	-3.782	-5.944	-2.51	-3.917	-3.774	-3.412	-3.049	-0.804	0.088	-4.669	0.346	-0.034	0.117	0.083	0.137	0.345	-1.848	-1.8	0.058	-0.83	0.304	-2.11	-2.809	0.36	-2.942	0.626	-4.467	-3.308	-3.717	-3.449	-2.785	-3.424	0.157
"YIL133C"	0.081	0.003	-0.501	-3.384	-3.811	-1.126	-1.825	0.981	-3.333	-3.196	-3.135	-2.331	-2.883	-2.693	-5.79	-2.633	-2.93	-2.571	-2.194	-0.38	-0.77	0.251	-4.433	-0.11	-0.184	0.095	0.394	-0.167	0.296	-1.863	-2.617	-0.165	-1.205	-0.038	-2.349	-3.3115	0.572	-2.292	1.088	-4.387	-3.183	-4.098	-3.154	-2.466	-3.633	0.172
"YIR037W"	0.114	0.086	0.639	1.6065	1.702	1.005	0.646	-0.626	2.365	2.359	2.605	2.529	2.21	2.393	-0.895	0.519	1.584	1.617	0.942	1.262	1.081	0.376	2.657	0.025	0.083	0.402	0.217	0.096	0.722	0.986	1.278	0.318	0.881	0.23	1.022	1.691	0.237	1.153	0.784	2.251	2.551	2.719	2.741	2.341	2.351	0.154
"YJL022W"	-0.278	-0.336	-0.271	-0.0215	-0.14	-0.372	0.559	-0.476	1.872	1.245	1.422	1.196	0.347	1.348	0.03	0.775	0.906	0.957	1.563	1.057	0.236	-0.248	0.761	-0.246	0.149	-0.295	-0.29	-0.33	-0.271	-0.364	-0.633	0.0	0.231	-0.187	0.26	0.2845	-0.461	-0.801	-0.705	1.391	1.702	1.225	1.393	0.665	1.404	-0.08
"YJL057C"	-0.751	-0.683	-0.129	2.351	2.617	-0.363	1.366	-0.178	3.25	1.984	1.19	3.767	2.416	1.913	1.166	1.987	2.494	1.069	1.564	0.967	0.617	-0.021	2.196	-0.1	-0.006	0.19	-0.207	-0.191	-0.095	1.468	1.815	-0.052	2.289	-0.322	1.182	3.139	0.45	2.885	0.669	2.27	2.823	4.046	2.559	2.652	2.786	0.769
"YJL066C"	0.031	0.166	-0.029	2.2855	2.4895	1.51	0.849	-0.286	3.176	3.323	3.479	2.755	3.462	4.019	2.471	1.057	1.811	1.934	1.663	1.583	1.224	0.385	2.344	0.288	0.18	0.205	0.154	-0.045	0.194	0.686	0.368	-0.197	0.722	0.527	-0.297	2.9045	-0.047	1.4	0.292	2.893	2.947	4.144	3.6	3.185	2.863	0.542
"YJL148W"	-0.26	-0.534	0.044	-3.2015	-2.403	-0.585	-0.878	0.545	-3.572	-2.334	-2.266	-1.974	-1.709	-2.742	-4.104	-1.997	-3.006	-1.938	-2.149	-1.644	-1.666	-0.078	-3.662	0.288	-0.502	0.141	-0.09	-0.166	-0.166	-1.812	-2.549	-0.208	-1.789	-0.698	-1.415	-2.967	-0.982	-3.84	-0.949	-3.568	-2.484	-3.944	-2.823	-2.113	-2.731	-0.176
"YJL177W"	0.489	0.284	-0.208	-3.2765	-3.7865	-1.171	-1.951	1.177	-4.132	-3.846	-3.2	-2.981	-2.747	-3.255	-5.49	-2.648	-3.409	-3.772	-3.428	-3.164	-0.52	0.541	-5.074	0.351	-0.537	0.173	0.558	0.324	0.259	-1.663	-2.127	0.17	-1.16	-0.023	-2.301	-3.293	0.224	-2.626	0.558	-4.72	-4.004	-4.54	-4.115	-3.056	-3.266	0.205
"YJL191W"	0.234	0.296	-0.629	-1.67	-1.93	-1.291	-1.209	0.953	-3.452	-1.944	-1.991	-1.784	-2.462	-2.009	-3.556	-1.886	-2.533	-2.223	-1.537	-1.523	-0.489	0.218	-2.213	0.263	-0.298	-0.047	0.567	0.206	0.647	-1.329	-1.993	-0.157	-1.403	0.181	-1.643	-0.1725	0.049	-1.314	-0.232	-2.593	-2.512	-3.407	-2.434	-2.23	-2.497	0.089
"YJR021C"	0.114	-0.099	-0.027	0.789	0.5975	0.472	-0.12	-2.118	0.746	1.094	0.403	1.117	-1.89	-0.911	-1.641	0.468	0.981	0.7	0.965	1.243	0.01	-0.662	0.934	-0.923	1.57	0.219	0.235	-0.155	0.043	-0.474	-0.096	0.002	-0.382	0.211	0.095	0.8455	-0.593	-0.67	-0.309	1.213	1.201	1.341	1.096	0.358	-0.182	0.01
"YJR070C"	0.058	0.052	-0.039	-4.828	-4.332	-1.502	-0.767	1.601	-5.317	-3.975	-3.514	-3.056	-3.68	-3.511	-7.226	-3.689	-3.471	-2.777	-2.792	0.534	-1.678	0.391	-2.102	-0.111	-0.039	-0.091	0.312	0.045	-0.575	-1.659	-1.736	-0.414	-1.611	-0.075	-1.195	-4.7655	-0.248	-3.81	0.149	-3.069	-2.355	-3.754	-3.104	-2.692	-3.23	0.877
"YJR096W"	-0.106	-0.14	0.245	3.2195	3.4165	1.195	0.505	-1.02	5.037	3.379	3.713	3.638	3.478	2.355	0.846	2.856	2.524	1.951	1.994	1.889	1.003	0.213	3.887	0.913	-0.14	0.18	-0.155	-0.207	0.217	1.931	2.208	0.136	3.388	0.057	1.045	3.707	0.046	2.099	0.001	4.119	3.857	3.463	3.161	2.762	3.428	-0.454
"YJR123W"	0.576	0.308	-0.185	-3.5655	-4.258	-1.858	-2.227	1.098	-3.844	-3.276	-3.279	-3.375	-3.124	-4.381	-9.147	-2.017	-3.809	-3.529	-3.442	-3.646	-0.557	0.398	-4.282	0.188	-0.191	0.171	0.14	0.237	0.404	-1.746	-1.71	-0.57	-0.962	-0.153	-1.982	-3.445	0.58	-2.744	1.029	-4.305	-3.113	-3.711	-4.025	-2.566	-3.587	0.307
"YJR145C"	0.717	0.499	-0.156	-2.8575	-3.3335	-1.487	-2.239	1.14	-4.507	-3.488	-3.177	-2.731	-2.413	-3.54	-6.528	-2.54	-3.551	-3.547	-3.597	-3.707	-0.519	0.524	-4.857	0.297	0.052	0.189	0.027	0.066	0.289	-1.525	-1.761	0.112	-0.955	-0.139	-2.084	-2.7805	0.015	-2.804	0.879	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	0.245
"YKL006W"	0.785	0.223	-0.49	-3.315	-3.5445	-1.288	-1.656	0.818	-4.299	-3.901	-3.389	-2.854	-3.16	-2.835	-5.113	-2.919	-3.049	-3.027	-2.997	-2.743	-0.45	0.47	-4.545	-0.007	-0.306	0.188	0.077	-0.563	0.346	-1.659	-1.708	-0.106	-1.404	-0.113	-2.306	-3.02	0.337	-2.654	1.204	-4.432	-3.39	-4.756	-4.221	-2.993	-3.593	-0.292
"YKL009W"	-0.473	-0.362	0.274	-4.1895	-4.13	-1.098	-0.676	0.698	-5.997	-3.719	-3.38	-2.839	-2.449	-3.082	-6.168	-3.014	-3.144	-2.368	-2.098	2.263	-1.9	0.094	-4.341	0.081	-0.528	0.069	0.163	0.071	-0.085	-1.509	-2.08	0.037	-1.843	-0.623	-1.665	-4.4285	-0.823	-4.247	-0.028	-2.602	-2.728	-4.823	-3.636	-3.036	-2.444	-0.068
"YKL091C"	-0.262	0.069	-0.09	3.567	3.623	1.368	1.008	-0.315	5.27	3.548	3.187	3.034	2.535	2.96	0.173	2.75	3.432	2.619	2.057	1.956	1.47	0.331	3.642	0.2	-0.078	0.06	0.219	0.223	0.035	1.135	1.905	0.138	2.512	0.291	1.857	3.699	0.116	3.205	0.735	3.707	2.805	4.146	3.248	2.188	2.104	0.517
"YKL180W"	0.732	0.446	-0.059	-2.81	-3.531	-0.73	-1.901	1.57	-2.661	-2.738	-2.549	-1.831	-1.857	-2.561	-5.237	-2.195	-2.625	-3.204	-2.593	-2.296	-0.393	0.427	-4.629	0.288	-0.694	0.403	0.469	0.035	0.658	-1.229	-1.563	0.441	-1.123	-0.1	-2.019	-3.37	0.355	-1.891	0.723	-3.827	-3.339	-3.071	-2.962	-2.254	-2.482	0.172
"YKL181W"	0.057	-0.137	-0.112	-2.822	-2.81	-0.912	-1.259	1.193	-3.28	-1.879	-1.488	-1.945	-1.771	-1.818	-4.28	-2.097	-2.604	-2.243	-1.935	-2.1	-1.137	0.172	-1.405	0.185	0.457	-0.126	-0.466	0.097	0.386	-1.264	-1.534	0.101	-1.014	-0.165	-0.935	-2.802	-0.524	-2.543	-0.056	-2.367	-2.119	-2.308	-2.024	-1.566	-1.833	0.684
"YLL045C"	1.063	0.803	0.01	-3.116	-3.722	-0.971	-1.94	1.742	-3.851	-3.176	-2.506	-2.189	-2.221	-3.857	-6.618	-2.711	-3.169	-3.335	-3.185	-2.744	-0.87	0.265	-3.66	0.239	-0.157	0.283	0.184	-0.092	0.402	-1.813	-2.284	0.258	-1.297	-0.04	-2.279	-3.545	0.384	-2.751	1.033	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	0.495
"YLR029C"	0.913	0.705	-0.175	-2.241	-2.238	-1.619	-1.807	0.87	-3.174	-2.641	-3.465	-2.572	-3.108	-3.615	-6.877	-1.294	-2.777	-2.809	-2.78	-2.648	-0.44	0.376	-3.178	0.23	-0.379	0.05	-0.221	-0.181	0.12	-1.633	-1.702	0.37	-0.613	-0.148	-1.119	-1.757	0.209	-2.781	0.302	-3.518	-2.733	-3.637	-2.766	-2.153	-2.685	0.165
"YLR185W"	0.072	0.472	-0.299	-2.305	-2.948	-0.889	-1.36	0.37	-4.508	-3.498	-3.001	-2.551	-2.749	-2.578	-5.928	-2.356	-2.94	-2.559	-2.616	-2.445	-0.444	0.193	-4.019	0.106	0.25	0.292	0.724	0.468	0.23	-1.51	-2.077	-0.035	-1.03	-0.21	-2.22	-2.487	0.478	-2.373	0.297	-3.712	-3.007	-3.488	-3.242	-2.643	-3.35	-0.565
