	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"983.wt_plus_gamma_120_min"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"4872.1M sorbitol - 60 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"21657..24 mM H2O2- 063 minutes"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"30463.Pomona/Brown pol2-12 red"	"30464.Rich vs. Minimal II"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YCR072C"	0.385	-2.205	-2.8	-4.4	-4.875	-3.092	-2.773	-1.346	-0.447	-0.9395	-2.6635	-1.797	0.197	0.6405	-0.0405	0.011	0.198	0.328	-1.431	-1.061	0.115	-1.403	-2.819	-2.44	-3.703	-2.838	-1.67
"YDL191W"	1.943	-1.853	-1.975	-2.737	-5.192	-2.911	-2.813	-2.518	-0.25	-1.362	-1.942	-2.86	0.632	1.822	0.158	0.491	0.7115	0.5245	-1.328	-0.8865	-0.1425	-1.1075	-3.35	-2.399	-3.234	-2.557	-1.83
"YDL219W"	0.246	-1.684	-1.34	-3.152	-2.848	-1.832	-1.416	-1.124	0.166	-1.026	-2.015	-0.521	0.666	0.729	-0.106	0.163	0.053	-0.01	-0.341	-0.306	-0.356	0.724	-1.798	-1.74	-1.718	-1.599	-1.432
"YDR002W"	-0.187	-1.992	-1.109	-2.756	-4.542	-1.195	-1.43	-1.99	0.126	-1.672	-2.746	-2.987	0.202	-0.247	0.03	0.179	0.452	0.267	-1.009	-0.225	0.564	-1.329	-2.472	-2.057	-0.877	-1.465	-0.942
"YDR025W"	2.153	-2.592	-2.705	-3.393	-6.697	-3.357	-3.356	-3.471	-0.104	-2.503	-2.895	-3.518	0.844	2.767	-0.035	0.298	0.2095	0.205	-2.693	-1.355	0.238	-1.431	-4.772	-3.127	-3.906	-3.552	-2.869
"YDR063W"	0.033	-0.693	-0.075	-2.255	-3.698	0.347	-1.046	-0.267	-0.304	-0.701	-1.675	-0.585	0.329	-0.533	-0.094	-0.103	-0.407	-0.43	0.335	-0.171	0.328	-0.203	0.981	0.646	1.884	1.337	0.715
"YDR101C"	0.907	-2.315	-2.948	-4.145	-4.667	-3.385	-2.743	-1.752	-0.837	-2.862	-3.177	-3.516	0.193	0.961	0.107	0.191	0.204	0.01	0.483	-0.927	-0.186	-1.567	-2.088	-2.116	-3.048	-2.294	-1.739
"YDR161W"	1.01	-1.24	-2.356	-2.842	-4.816	-1.842	-2.024	-0.877	-0.003	-2.298	-2.511	-2.286	0.167	0.761	0.168	0.442	0.173	0.341	-0.471	-0.914	-0.448	-0.997	-0.425	-1.141	-2.335	-1.162	-1.357
"YDR165W"	0.499	-1.905	-2.27	-3.111	-5.309	-3.015	-2.243	-1.636	-0.763	-1.767	-2.409	-2.23	0.376	0.927	-0.044	0.793	0.1675	0.225	-0.1925	-0.0245	-0.5455	0.369	-2.479	-2.722	-3.205	-2.632	-2.085
"YDR211W"	0.3	-0.984	-1.38	-1.706	-4.77	-2.051	-1.869	-1.476	-0.422	-2.119	-2.043	-3.034	0.324	0.66	0.515	0.245	0.3765	0.3695	-0.7615	-0.3155	-0.6485	-1.056	-1.084	-1.222	-1.631	-1.241	-0.588
"YDR418W"	2.098	-2.192	-2.976	-3.074	-5.866	-3.315	-3.181	-2.797	-0.107	-2.866	-3.091	-4.066	1.206	2.482	0.253	0.078	0.287	0.634	-3.095	-1.719	-0.194	-1.337	-4.005	-2.423	-3.263	-3.057	-2.027
"YDR447C"	1.974	-2.507	-2.465	-3.659	-5.332	-3.574	-3.565	-2.813	-0.145	-2.53	-2.625	-3.552	0.812	1.98	0.176	0.375	0.5775	0.304	-2.7985	-1.992	0.1595	-1.5935	-3.67	-2.356	-4.358	-3.418	-2.211
"YDR471W"	2.008	-2.514	-2.857	-3.599	-4.747	-3.144	-2.929	-2.398	-0.332	-0.472	-2.405	-2.908	0.583	1.771	0.415	0.114	0.185	0.14	-1.943	-1.6755	0.0045	-1.113	-3.645	-2.464	-3.608	-3.311	-2.499
"YEL042W"	1.315	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-0.064	-1.896	-2.665	-3.071	0.74	1.337	-0.007	0.571	-0.362	-0.1995	-0.4735	-0.486	0.4415	-1.749	-1.793	-1.936	-1.842	-1.963	-0.946
"YEL046C"	0.61	-0.877	-0.889	-2.038	-4.746	-1.962	-1.751	-1.196	-0.472	-0.148	-0.5	-1.163	-0.159	0.53	-0.145	0.049	-0.4625	-0.192	-0.6795	-0.605	0.715	0.514	-1.557	-1.283	-1.85	-1.559	-0.353
"YEL054C"	2.108	-1.511	-2.981	-2.98	-7.056	-3.039	-3.52	-3.003	0.257	-2.504	-3.005	-3.554	1.009	2.322	0.091	0.343	0.227	0.33	-2.9535	-1.7545	0.3175	-0.5945	-4.422	-2.487	-3.815	-2.936	-2.194
"YER043C"	1.283	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-0.215	-3.31	-4.857	-4.918	1.257	1.395	-0.103	0.714	-0.222	0.0	NaN	-0.331	0.516	-2.963	-3.094	-2.542	-2.164	-2.202	-1.71
"YER127W"	0.013	-1.949	-2.155	-2.611	-4.439	-2.835	-2.486	-1.435	-0.295	-1.098	-2.485	-1.946	-0.47	-0.17	0.2	0.339	-0.118	-0.0035	-0.566	-0.9645	-0.3205	-0.571	-2.692	-2.59	-3.601	-3.002	-2.038
"YER131W"	2.084	-1.895	-2.47	-3.664	-6.55	-2.621	-2.795	-2.905	0.333	-2.105	-2.654	-3.304	1.173	2.33	0.487	0.56	-0.056	0.0515	-2.3985	-1.2775	0.3525	-1.255	-3.884	-3.237	-3.578	-4.068	-2.732
"YER162C"	-1.223	2.241	1.633	3.374	3.649	1.514	1.531	1.656	-0.287	2.103	2.72	2.163	-0.574	-1.117	-0.319	-0.08	-0.202	-0.1155	0.2925	0.7385	-0.308	-1.588	1.615	1.844	1.959	1.466	1.393
"YFL045C"	0.546	-1.85	-2.231	-2.163	-4.897	-2.591	-2.185	-2.463	0.128	-1.923	-2.307	-2.378	0.0	0.586	0.031	0.741	0.174	0.2195	-1.2635	-0.585	0.1105	0.081	-1.909	-1.289	-1.798	-1.949	-0.774
"YGL030W"	1.208	-2.363	-2.008	-3.668	-5.484	-2.388	-2.751	-2.6	-0.253	-1.668	-2.044	-3.011	0.848	1.403	-0.101	0.546	0.269	0.2045	-1.6345	-2.059	-0.301	-0.3055	-3.939	-2.871	-3.575	-2.76	-2.198
"YGL076C"	2.346	-2.446	-2.401	-3.976	-5.667	-3.32	-2.996	-2.857	-0.563	-2.836	-2.79	-3.782	0.897	2.882	-0.016	0.565	0.3355	0.3835	-2.4035	-1.68166666666667	-0.434	-1.0835	-4.003	-3.509	-3.347	-3.315	-2.544
"YGL102C"	1.605	-2.112	-2.356	-2.658	-5.65	-3.301	-3.227	-3.132	-0.077	-1.199	-1.938	-2.13	0.751	1.606	0.231	0.278	0.414	0.519	-2.45	-1.4015	-0.488	-1.901	-3.42	-2.202	-3.272	-2.955	-2.203
"YGL120C"	-0.1	-2.077	-2.282	-4.088	-5.111	-3.171	-3.229	-1.739	-0.612	-2.866	-3.888	-4.137	-0.138	0.531	0.0	0.141	0.22	0.251	0.11	-0.647	-0.445	-0.843	-2.891	-3.416	-3.546	-0.554	-2.329
"YGR085C"	1.922	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-0.132	-3.306	-3.54	-4.179	1.018	2.15	0.278	0.538	0.237	0.236	-2.855	-1.92	0.269	-1.171	-4.004	-2.792	-3.45	-3.003	-2.048
"YGR103W"	0.325	-2.148	-2.349	-1.948	-5.518	-2.251	-2.402	-2.149	-0.231	-2.768	-3.578	-3.882	0.41	1.312	0.129	0.332	0.299	0.301	-2.3	-1.273	0.173	-0.223	-3.1195	-2.6665	-4.287	-2.4	-2.155
"YGR185C"	1.186	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	0.017	-4.576	-4.871	-5.006	0.895	1.522	0.181	-0.156	-0.002	-0.011	-0.43	1.035	0.272	-1.014	-3.17	-2.768	-2.136	-2.312	-2.205
"YHR025W"	2.08	-1.993	-1.868	-2.666	-5.429	-2.472	-2.269	-2.199	-0.203	-1.471	-2.319	-2.178	0.744	2.255	-0.196	0.157	-0.022	-0.112	-1.541	-0.326	0.479	0.455	-3.915	-2.334	-3.0	-1.597	-1.63
"YHR042W"	0.74	-1.128	-1.322	-2.228	-4.647	-1.619	-1.459	-1.35	0.217	-1.986	-1.732	-1.698	0.433	0.638	-0.009	-0.12	-0.032	-0.019	-0.848	-0.481	0.52	0.211	-1.231	-1.658	-1.113	-1.442	-0.915
"YHR064C"	1.086	-1.77	-1.712	-3.329	-5.238	-3.074	-2.229	-2.559	-0.458	-2.957	-3.678	-3.675	0.763	1.42	-0.069	-0.324	0.195	0.172	-1.4	-0.997	0.044	-0.23	-2.793	-2.097	-2.415	-2.781	-1.789
"YHR065C"	0.649	-1.183	-2.105	-3.857	-4.644	-1.784	-1.098	-1.01	-0.064	-1.762	-2.801	-2.479	-0.158	0.466	0.252	-0.007	-0.032	-0.197	0.557	0.737	-0.037	-0.81	-0.941	-1.67	-3.429	-1.607	-1.054
"YHR123W"	0.965	-1.555	-1.135	-3.763	-4.132	-1.118	-1.492	-1.439	-0.398	-2.917	-2.775	-2.647	0.939	0.979	0.254	-0.118	-0.173	-0.1	-0.615	-0.968	0.309	1.295	-1.868	-2.221	-1.457	-2.231	-1.326
"YHR133C"	0.589	-1.453	-1.561	-1.885	-3.501	-1.51	-1.708	-1.622	-0.295	-1.64	-1.82	-2.45	0.683	0.938	-0.043	-0.059	-0.179	-0.077	-0.637	-0.118	-0.151	-0.307	-0.918	-0.652	-1.475	-1.273	-1.046
"YHR170W"	0.745	-1.404	-2.063	-2.573	-4.858	-2.759	-2.694	-1.887	-0.209	-2.036	-2.758	-2.443	0.039	0.516	0.037	0.296	0.423	0.199	-1.101	-1.999	0.205	-0.637	-3.186	-2.544	-3.601	-2.58	-2.061
"YHR179W"	-0.327	-1.971	-1.311	-3.188	-4.68	-1.089	-0.861	-1.054	-0.765	-3.086	-5.251	-4.091	0.074	-0.137	-0.598	-0.186	0.55	0.531	0.612	0.665	0.493	-1.111	-1.787	-1.702	-0.645	-1.414	-1.142
"YHR203C"	2.714	-2.372	-2.895	-3.782	-5.944	-3.917	-3.774	-3.412	-0.303	-2.575	-3.081	-3.941	1.332	2.739	0.264	0.251	0.073	0.156	-2.988	-1.83	0.322	1.73	-4.467	-3.308	-3.717	-3.449	-2.785
"YIL052C"	1.842	-2.22	-3.178	-2.895	-6.278	-2.82	-2.793	-2.559	-0.261	-2.162	-2.5	-3.158	0.638	1.879	0.24	0.308	0.302	0.266	-0.475	-2.074	0.117	-0.893	-3.32	-2.562	-2.821	-2.677	-1.94
"YIR012W"	0.35	-2.544	-2.595	-3.791	-4.69	-2.614	-2.412	-2.137	-0.256	-1.547	-2.217	-2.528	0.134	1.223	0.194	-0.09	-0.138	0.062	0.018	-0.643	-0.153	-2.052	-2.311	-2.322	-3.439	-2.222	-2.002
"YIR026C"	0.841	-2.11	-2.2	-4.02	-4.724	-2.112	-2.284	-1.499	-0.053	-1.519	-2.47	-1.168	0.116	1.08	0.057	-0.134	0.388	0.113	-0.542	-1.686	0.1	0.568	-1.822	-1.135	-2.578	-1.739	-1.698
"YJL069C"	0.959	-2.233	-2.386	-3.072	-6.298	-1.49	-2.566	-2.033	-0.453	-1.613	-1.653	-2.017	0.109	0.968	-0.09	0.126	-0.103	0.114	-1.257	0.916	-0.101	1.319	-1.21	-2.027	-2.354	-1.803	-1.315
"YJL075C"	0.356	-0.784	-0.834	-2.151	-3.941	-1.051	-1.665	-0.957	-0.285	-1.434	-1.779	-1.075	-0.43	0.354	-0.007	-0.291	0.0	-0.098	-0.28	-1.238	-0.126	-0.385	-0.666	-0.6015	-0.9075	-1.2075	-0.1445
"YJL080C"	0.7	-1.719	-1.923	-3.029	-3.232	-1.693	-1.793	-1.545	0.051	-2.401	-2.866	-3.001	0.516	1.258	0.026	0.224	-0.519	-0.485	0.406	-0.012	0.451	-1.179	-1.83	-2.286	-1.905	-1.8825	-1.495
"YJL179W"	0.448	-1.103	-1.235	-2.457	-4.843	-1.417	-1.763	-1.397	0.154	-1.17	-1.585	-0.391	0.294	0.335	-0.042	0.105	0.252	0.303	0.171	-0.228	-0.536	-0.801	-1.241	-1.288	-1.339	-1.722	-1.504
"YJR024C"	-0.356	-0.681	-1.151	-1.994	-4.204	-1.417	-1.692	-1.386	-0.444	-0.288	-0.937	-1.571	-0.917	-0.396	0.145	0.199	0.378	0.517	-0.831	-1.068	-0.521	0.555	-1.633	-1.206	-1.467	-1.09	-1.104
"YJR032W"	-0.041	-1.137	-1.097	-2.635	-3.054	-1.562	-1.115	-0.935	-0.409	-1.546	-1.609	-1.727	-0.182	0.294	0.034	0.27	-0.09	-0.156	0.788	0.228	-0.276	-0.803	-1.432	-1.954	-2.495	-1.712	-1.064
"YJR068W"	0.116	-0.417	-0.947	-1.221	-3.298	-0.618	-0.125	-0.474	-0.29	-0.364	-0.709	-1.0	-0.134	0.023	0.027	0.033	0.127	0.064	-1.151	0.112	-0.445	NaN	-0.545	-0.013	-1.622	-0.993	-0.923
"YJR069C"	0.359	-2.741	-2.017	-3.527	-4.151	-1.806	-1.64	-1.696	0.013	-1.656	-1.806	-1.42	0.121	0.341	-0.156	-0.12	0.049	0.002	-0.303	-0.047	-0.226	0.492	-1.467	-1.181	-1.685	-2.036	-1.662
"YJR070C"	0.781	-2.526	-3.68	-3.511	-7.226	-3.471	-2.777	-2.792	-0.848	-1.463	-2.254	-2.322	0.156	1.038	-0.067	0.133	0.43	0.565	-0.996	-1.82	-0.979	-1.651	-3.069	-2.355	-3.754	-3.104	-2.692
"YJR071W"	0.655	-2.185	-2.81	-2.688	-4.787	-3.257	-2.877	-2.517	-0.809	-1.382	-1.931	-0.391	0.507	1.335	-0.435	0.075	0.325	0.203	-0.83	-0.057	-0.322	-0.645	-0.988	-1.193	-1.797	-2.307	-1.08
"YJR145C"	2.605	-2.328	-2.413	-3.54	-6.528	-3.551	-3.547	-3.597	-0.065	-2.519	-3.105	-3.178	1.101	2.789	0.381	0.237	0.394	0.212	-2.65	-2.065	0.051	-2.223	-4.335	-3.373	-4.108	-3.771	-2.74
"YKL009W"	0.293	-2.973	-2.449	-3.082	-6.168	-3.144	-2.368	-2.098	-0.748	-2.349	-3.318	-2.938	0.061	0.683	0.251	0.196	0.151	-0.004	-1.113	-1.597	-0.205	-1.997	-2.602	-2.728	-4.823	-3.636	-3.036
"YKL024C"	-0.186	-1.278	-1.678	-2.025	-5.4	-1.547	-1.696	-1.45	-0.524	-0.542	-1.239	-1.798	-0.775	-0.36	0.216	0.072	0.271	0.135	-0.463	-0.602	0.385	-0.613	-1.628	-1.143	-1.568	-2.021	-1.027
"YKL068W"	0.947	-1.406	-1.208	-1.98	-3.325	-1.369	-1.594	-1.066	-0.401	-1.121	-1.563	-1.621	-0.066	1.122	0.014	0.121	-0.073	-0.148	-0.179	0.928	-0.059	0.875	-1.778	-1.692	-1.99	-1.247	-1.421
"YKL078W"	0.9	-2.968	-3.615	-4.795	-8.494	-2.736	-2.03	-1.384	0.232	-2.866	-3.401	-1.845	-0.466	0.844	0.317	0.394	0.259	0.048	1.411	-1.539	0.006	-2.162	-2.079	-2.464	-3.291	-2.654	-2.137
"YKL081W"	2.461	-2.542	-3.137	-4.49	-5.155	-3.28	-3.157	-3.837	-0.012	-2.997	-2.811	-3.497	-0.818	-0.264	-0.042	0.601	-0.002	-0.045	-1.881	-0.476	0.452	0.535	-3.076	-3.449	-3.386	-3.054	-2.989
"YLL008W"	0.934	-2.165	-3.282	-2.899	-6.113	-2.364	-2.55	-1.847	-0.239	-2.386	-2.487	-2.92	-0.049	1.277	-0.01	0.03	-0.051	0.215	0.197	-1.778	-0.472	-1.495	-1.915	-1.563	-3.042	-2.072	-1.554
"YLL045C"	2.311	-1.64	-2.221	-3.857	-6.618	-3.169	-3.335	-3.185	-0.074	-2.943	-3.021	-3.731	0.814	2.059	0.223	0.456	0.158	0.219	-2.895	-1.72	0.453	-0.788	-3.449	-2.833	-3.788	-3.87	-2.635
"YLR002C"	0.714	-1.168	-0.99	-3.154	-4.959	-2.611	-1.589	-1.157	-0.434	-2.578	-3.265	-3.45	0.12	0.86	0.14	0.054	-0.231	-0.439	0.03	-0.637	0.596	0.199	-1.828	-1.445	-2.422	-2.55	-1.453
"YLR029C"	2.166	-2.334	-3.108	-3.615	-6.877	-2.777	-2.809	-2.78	0.363	-2.242	-2.378	-2.987	0.983	2.331	-0.158	0.456	0.784	1.015	-2.352	-0.869	0.404	-0.74	-3.518	-2.733	-3.637	-2.766	-2.153
"YLR185W"	1.932	-2.201	-2.749	-2.578	-5.928	-2.94	-2.559	-2.616	-0.2	-2.015	-2.479	-3.065	0.346	1.929	-0.006	-0.109	0.318	0.507	-1.619	-1.679	-0.08	-1.064	-3.712	-3.007	-3.488	-3.242	-2.643
"YLR186W"	0.805	-2.293	-2.346	-4.298	-5.516	-3.036	-2.821	-2.007	-0.686	-1.74	-2.678	-2.467	0.227	1.062	0.05	-0.679	0.226	0.375	0.989	-0.92	0.168	-0.951	-3.381	-2.552	-4.173	-2.896	-1.936
"YLR210W"	0.33	-1.529	0.949	-1.644	-4.137	0.454	-0.498	0.103	-0.361	-1.551	-1.527	-1.71	0.318	0.358	-0.057	-0.059	0.395	0.182	0.164	-0.155	-0.18	0.498	-0.807	-0.792	-0.579	-0.944	-0.538
"YLR212C"	0.986	-0.23	-0.755	-1.846	-6.673	-1.003	-1.234	-0.697	0.537	-0.696	-1.095	-0.695	-0.114	0.537	0.243	-0.089	0.386	0.326	0.638	-0.41	-0.451	-2.145	-2.607	-2.302	-2.98	-1.959	-1.533
"YLR243W"	-0.232	-1.307	-2.063	-1.955	-3.657	-1.171	-0.3	-1.501	-0.891	-1.542	-2.373	-1.983	-0.08	0.506	0.041	0.013	-0.051	0.021	-0.27	-1.112	-0.109	1.384	-2.153	-1.993	-2.756	-1.58	-1.411
"YLR276C"	0.348	-1.655	-1.858	-3.174	-5.399	-2.386	-2.199	-1.65	-0.594	-1.866	-3.17	-3.081	-0.002	0.462	-0.088	0.217	-0.131	-0.486	-2.511	-1.044	-0.089	0.684	-2.141	-1.833	-3.838	-1.145	-2.088
"YLR291C"	0.754	-1.482	-1.792	-3.037	-4.762	-1.324	-1.096	-1.104	-0.583	-1.783	-2.216	-2.363	0.128	0.783	-0.181	0.029	-0.005	-0.067	-1.154	-0.224	0.149	-2.091	-1.832	-1.747	-1.36	-1.191	-1.555
"YLR293C"	1.003	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-0.738	-2.379	-3.03	-3.186	0.585	1.2	0.078	-0.145	0.406	0.387	-1.525	0.637	0.5	-1.648	-3.113	-2.525	-2.822	-2.422	-1.899
"YLR314C"	0.929	-1.783	-1.658	-2.218	-5.585	-0.307	-0.846	-1.368	-0.098	-2.906	-3.447	-3.937	0.632	0.975	-0.075	-0.065	0.068	-0.065	-0.489	0.412	-0.295	-1.629	-1.633	-1.957	-0.79	-1.746	-1.03
"YLR333C"	1.643	-1.851	-2.342	-3.011	-5.863	-3.538	-3.334	-2.939	0.355	-1.584	-2.45	-2.848	0.821	1.926	0.246	0.34	0.51	0.544	-2.74	-1.692	-0.536	-1.97	-4.086	-2.673	-3.582	-2.843	-2.359
"YLR388W"	1.261	-1.98	-1.738	-3.596	-5.506	-3.204	-3.058	-2.742	-0.22	-2.232	-2.581	-3.193	0.835	1.216	0.202	0.337	0.131	0.25	-2.555	-1.34	0.253	-0.597	-3.674	-2.798	-3.762	-3.521	-2.816
"YLR432W"	0.599	-1.818	-2.129	-3.532	-5.65	-2.412	-2.49	-3.15	0.175	-1.934	-2.482	-3.034	0.502	1.413	0.228	0.88	-0.403	-0.258	-1.947	0.401	0.305	-1.021	-3.491	-3.179	-3.412	-2.927	-2.885
"YML080W"	0.184	-1.617	-2.166	-2.489	-5.947	-2.386	-2.094	-0.827	-0.253	-1.274	-2.01	-0.745	-0.243	0.378	-0.117	0.162	0.202	0.141	0.749	-0.176	-0.256	-2.837	-1.011	-1.601	-3.22	-2.176	-1.929
"YML093W"	-0.122	-1.272	-2.007	-2.962	-5.889	-2.797	-2.437	-1.818	-0.398	-2.547	-2.745	-3.262	-0.172	0.743	0.305	0.114	-0.171	-0.148	0.776	-0.683	-0.002	-0.006	-2.999	-2.533	-4.548	-2.489	-2.192
"YMR033W"	0.696	-1.434	-1.22	-3.063	-4.454	-1.114	-1.054	-1.514	-0.597	-1.745	-1.826	-1.988	0.378	0.72	-0.266	0.175	0.065	0.011	-0.059	0.258	0.078	-1.288	-1.219	-1.833	-1.181	-1.453	-1.284
"YMR047C"	0.6675	-0.448	-0.4935	-1.2605	-3.61	-0.4725	-0.2015	-0.414	-0.282	-0.7645	-1.0335	-1.4915	0.0765	0.5005	0.0695	-0.044	-0.055	-0.057	0.618	-0.04	0.15	-0.5985	-0.552	-0.903	-0.313	-0.686	-0.709
"YMR049C"	0.697	-1.967	-2.748	-4.225	-9.471	-3.131	-2.567	-2.163	-0.261	-3.3	-3.396	-4.217	0.101	1.377	0.032	0.266	-0.281	-0.265	0.331	1.066	0.49	-0.415	-3.221	-3.559	-4.037	-2.722	-2.729
"YMR131C"	0.69	-2.414	-2.914	-5.052	-6.665	-3.547	-2.98	1.316	-0.432	-4.236	-5.241	-4.266	0.677	1.251	-0.015	0.359	-0.018	0.064	-0.263	-1.451	-0.141	-1.212	-1.412	-2.944	-4.181	-2.68	-1.908
"YMR242C"	2.345	-2.522	-3.032	-3.971	-6.226	-3.832	-4.338	-3.636	-0.178	-2.601	-3.133	-3.475	0.863	2.029	0.442	0.413	0.125	0.261	-3.061	-1.61	0.5545	-1.4325	-4.158	-3.141	-4.607	-3.588	-2.771
"YMR260C"	1.129	-2.112	-2.098	-2.549	-5.138	-2.251	-2.22	-2.366	-0.023	-1.338	-1.729	-2.229	0.43	1.145	0.124	0.251	0.353	0.338	-0.832	-0.827	0.4915	0.4435	-2.426	-1.742	-2.447	-2.023	-1.573
"YMR305C"	1.439	-1.962	-1.885	-2.654	-4.237	-2.097	-2.213	-2.926	0.22	-1.996	-3.198	-3.355	-0.154	1.184	0.336	-0.257	-0.126	-0.293	-1.253	-1.411	0.5695	0.834	-3.465	-1.982	-3.526	-2.134	-1.791
"YNL062C"	-0.373	-1.556	-2.835	-3.07	-6.263	-2.304	-2.254	-1.829	-0.286	-1.717	-2.639	-2.206	-0.405	0.269	-0.003	-0.033	0.533	0.44	-0.456	1.147	-0.448	0.6995	-2.698	-2.338	-2.838	-2.509	-1.871
