	"120.w303a vs w303a fkh1 fkh2"	"404.W303a vs GZY29-3b"	"405.W303a vs GZY45-15c"	"409.heat shock 25 to 37, 20 minutes"	"584.17 deg growth"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"827.wt vs zap1 - 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13067.Na/Na+FK 45min (1)"	"17676.Na+FK 45min (4)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34368.batch 02X25 7"
"YIL045W"	0.624	0.7465	0.3295	1.7175	-0.791	1.313	2.771	0.372	1.316	4.837	3.725	3.789	4.285	5.025	4.058	4.605	2.2	2.313	4.236	3.986	4.311	4.378	4.139	3.804	2.963	1.21	0.72	0.594	1.384	3.234	0.553	2.141	2.037	1.75	1.892	1.915	1.491	2.832	3.822	3.84	3.974	3.622	3.653	1.9585	0.093	1.123	2.782	2.929	2.827	2.985	2.251	3.3	2.223
"YIL046W"	-0.84	-1.7425	-0.832	-0.2625	-0.565	-0.029	0.218	-0.028	-0.415	0.936	0.638	0.578	0.487	1.004	1.062	0.0	0.765	1.022	0.979	0.501	1.184	1.395	1.413	1.943	1.916	-0.316	0.057	0.573	-0.171	0.611	-0.112	0.153	-0.018	-0.106	0.136	0.115	-0.019	1.215	0.002	0.608	0.63	1.136	0.621	-0.606	-0.384	-0.113	0.878	0.593	0.993	0.422	0.625	1.051	0.19
"YIL146C"	0.188	0.3905	-0.168	0.3675	-0.555	-0.053	0.983	0.635	0.356	2.334	2.196	2.111	2.234	2.539	2.94	3.637	1.658	1.857	2.306	1.867	2.177	2.693	3.595	3.491	2.947	0.046	0.95	1.522	-0.027	0.525	0.531	0.41	0.761	0.807	0.245	0.383	0.471	1.477	2.292	2.114	2.336	1.873	2.441	0.3855	-0.083	0.189	0.62	0.878	1.079	1.778	0.827	2.204	1.95
"YJL103C"	0.562	0.562	0.7985	1.3855	-0.98	0.172	1.137	0.596	0.166	3.518	3.541	3.739	3.366	3.386	3.31	4.161	2.107	1.985	3.108	2.803	2.436	3.198	3.063	3.151	2.006	0.06	2.229	2.668	-0.685	0.772	-0.269	0.448	1.066	0.805	0.197	0.758	0.867	0.352	1.466	1.552	1.399	1.989	2.047	1.6965	0.307	-0.197	1.9115	3.146	2.8995	3.1435	2.411	2.663	1.6935
"YJL163C"	0.367	0.9245	0.786	2.0905	-0.834	0.246	1.877	0.055	0.037	3.842	2.233	3.424	2.79	3.922	3.8	5.291	1.552	1.668	3.863	3.154	4.047	4.772	5.26	5.571	4.674	1.072	1.402	2.308	0.466	2.28	0.393	1.958	2.335	1.774	1.304	1.902	2.075	1.213	2.517	2.537	3.309	1.252	3.589	2.3505	1.134	0.077	1.762	2.681	2.677	2.17	1.792	2.68	2.425
"YKL093W"	0.04	0.163	0.062	1.891	-0.77	0.915	2.013	1.477	-0.392	5.448	4.655	4.714	4.393	4.525	4.208	4.369	2.953	3.082	4.872	3.902	2.916	2.536	2.725	3.515	2.14	-0.287	2.251	2.314	0.622	2.515	0.358	1.45	1.642	1.688	1.52	1.819	1.784	2.745	1.924	2.544	1.743	1.753	2.33	2.213	0.873	0.957	4.428	4.865	2.992	4.664	3.337	3.528	3.011
"YKR097W"	0.55	1.281	0.644	0.746	-0.882	0.024	0.256	0.266	-0.272	5.028	6.83	7.19	6.862	7.33	5.367	5.07	5.974	6.148	6.922	6.534	5.735	5.448	6.528	6.693	5.565	-0.632	0.553	4.283	-0.068	0.102	-0.065	0.108	0.163	0.06	0.202	0.482	0.141	5.059	1.384	2.05	3.289	3.323	4.123	0.572	0.178	-0.223	4.862	5.975	3.416	5.295	5.763	4.982	4.865
"YLL041C"	0.617	1.764	0.18	2.775	-0.623	0.27	0.295	0.019	0.79	4.794	5.323	5.655	5.102	4.997	4.796	5.281	2.712	2.855	4.827	4.436	3.693	3.746	4.25	4.703	3.334	0.297	2.67	2.991	-0.124	0.756	-0.158	0.461	1.377	1.116	0.278	0.928	1.163	3.417	0.627	1.415	1.799	1.493	2.09	2.274	0.586	1.295	3.903	4.684	4.285	4.867	4.49	4.704	1.738
"YLL056C"	-0.381	-1.064	-0.314	0.258	-0.984	-0.005	-0.431	-0.096	-0.528	1.224	0.963	1.119	1.573	1.698	1.624	2.137	1.055	1.298	0.52	1.017	1.396	1.478	1.672	1.402	0.929	-0.561	0.75	0.862	-0.335	0.408	-0.444	0.001	0.355	0.212	-0.185	0.362	0.531	1.61	0.135	0.89	0.9	0.82	1.086	0.341	-0.041	0.027	1.336	1.984	2.499	1.808	1.334	1.469	0.929
"YLR311C"	0.41	0.945	0.424	0.316	-1.138	0.489	0.703	0.376	0.162	3.535	3.882	4.224	3.277	3.765	2.811	3.182	2.73	2.447	2.587	1.807	2.447	3.128	3.92	3.702	3.13	0.702	1.47	2.503	NaN	2.014	0.021	1.325	1.916	1.573	1.557	1.675	1.912	-0.359	2.186	2.432	2.609	2.017	2.606	1.29	0.542	1.512	3.194	4.272	2.736	4.89	3.742	4.728	1.16
"YLR312C"	0.908	1.047	0.505	1.793	-0.4	1.737	2.15	0.945	0.425	4.821	5.627	6.446	5.561	5.97	4.818	6.051	4.286	4.34	4.955	5.214	4.896	5.569	6.764	7.043	6.406	0.888	1.69	2.783	1.032	3.408	0.326	2.156	2.71	2.679	2.276	2.596	2.62	3.462	4.649	4.618	4.916	4.296	5.025	2.405	0.766	2.274	3.148	4.818	3.267	4.667	4.284	4.571	2.954
"YMR081C"	-0.121	0.213	-0.064	1.351	-1.071	2.39	1.057	0.183	0.532	5.134	4.866	4.127	4.854	4.825	5.524	6.678	4.182	4.914	5.537	4.601	3.765	5.056	4.13	4.987	4.226	-0.535	2.582	2.79	0.03	1.049	0.09	0.599	0.557	0.25	0.322	0.255	0.177	4.371	2.369	3.016	3.007	3.482	3.108	2.226	-0.393	0.514	6.135	5.714	4.436	4.766	3.029	3.912	2.795
"YNL009W"	0.529	0.33	0.265	1.345	-0.872	0.049	1.223	0.308	-0.308	2.337	2.658	3.346	3.36	3.931	2.976	3.672	2.771	2.567	2.794	3.455	2.625	2.456	4.699	4.803	3.897	-0.076	1.628	2.612	1.0	2.231	0.716	1.431	1.475	1.276	1.891	1.952	1.968	2.142	1.43	2.776	2.656	2.059	2.155	1.288	0.828	1.754	1.866	3.281	1.58	2.572	2.335	2.0	1.499
"YNL117W"	-0.485	-0.485	0.112	0.359	-1.62	0.092	0.347	0.205	-0.702	4.201	6.739	5.741	6.63	5.482	4.27	1.0	6.774	5.751	4.764	3.868	3.325	4.285	3.313	2.979	2.83	-0.468	0.92	3.696	0.252	1.086	0.316	0.71	0.499	0.808	0.495	0.408	0.659	5.7225	1.262	1.762	2.504	2.844	2.616	0.636	0.159	0.085	2.388	5.666	4.173	4.998	6.407	3.865	5.259
"YNL331C"	0.098	-0.172	0.395	0.967	-0.651	0.027	-0.215	0.107	-0.047	1.445	1.026	1.912	1.358	1.774	1.767	1.928	0.905	0.879	1.647	1.295	2.409	2.476	2.825	2.807	1.595	-0.167	0.808	1.518	-0.133	0.132	-0.296	0.108	0.313	0.231	0.067	0.297	0.536	1.222	0.098	0.949	2.008	1.647	2.247	0.576	-0.141	0.167	0.913	0.703	1.433	0.59	0.793	1.018	1.699
"YOR032C"	-0.193	-1.619	-1.872	0.508	-0.822	-0.196	-0.205	-0.224	-0.173	1.409	0.91	1.8835	2.276	2.372	2.21	3.784	1.946	2.901	1.009	1.033	2.599	2.772	3.53	4.701	3.536	0.011	1.974	1.357	0.057	0.796	0.04	0.263	0.353	0.274	0.642	0.59	0.663	1.863	1.62	2.379	3.006	2.397	2.188	0.838	0.135	0.173	1.284	0.931	-0.005	1.236	0.958	1.0	0.603
"YPL054W"	1.0	1.671	0.469	1.508	-0.688	0.353	2.085	0.53	-0.13	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	4.589	0.651	5.006	4.065	4.256	4.91	5.184	5.018	3.449	0.227	0.839	2.322	0.602	1.691	0.173	1.208	1.505	0.825	0.48	0.699	0.628	4.457	4.466	4.26	4.568	4.886	4.785	1.832	-0.483	1.257	3.025	3.262	2.468	3.741	3.176	4.439	2.936
