	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"1254.mec1_plus_gamma_60_min"	"1257.mec1_plus_gamma_120_min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6377.constant 0.32 mM H2O2 (40 min) rescan"	"6668.wt - 0.1 mM H2O2 - 10 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"15728.Lycoming College - peroxide vs. control"	"18429.2mM MD 210min"	"21662..24 mM H2O2- 230 minutes"	"21665..24 mM H2O2- 020 minutes/redo"	"27097.P1Comp 11 hr 10 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"
"YDR465C"	-1.599	-3.378	-3.723	-4.511	-2.21	-2.252	-3.218	-3.765	-3.563	-1.045	-1.299	0.714	-1.603	-1.222	-2.535	-2.812	-4.438	-3.43	0.349	-0.033	0.196	-0.622	0.305	-0.193	-0.314	-3.782	-0.099	-1.225	-0.296	0.126	-0.449	-1.059	-4.693	-2.965	-2.543	-2.313	-3.552
"YER054C"	4.318	1.7915	3.606	4.981	2.384	0.434	1.141	2.0915	1.7225	-0.1545	-0.4355	-1.24	0.713	1.0335	2.119	2.687	2.141	1.102	-0.047	-0.0325	-0.329	-0.487333333333333	0.073	0.09	1.413	2.5985	0.5865	0.045	0.238	-0.1655	0.1935	-0.1445	1.607	1.7865	0.896	0.209	0.956
"YER126C"	-2.129	-3.132	-5.661	-2.634	-1.396	-1.83	-3.488	-4.626	-4.459	-0.877	-1.585	0.966	-2.724	-1.531	-2.571	-2.383	-4.455	-2.806	0.337	-0.129	0.402	0.164	0.138	-0.422	-0.335	-5.253	-0.252	-0.693	-0.379	-0.046	-0.061	-1.3585	-5.806	-2.916	-3.166	-2.489	-3.761
"YER127W"	-2.534	-2.809	-2.346	-2.38	-1.464	-0.933	-1.952	-3.051	-2.807	-0.747	-1.02	0.934	-1.94	-1.506	-1.778	-1.278	-3.292	-2.177	0.3	0.196	0.37	-0.465	-0.336	-0.1235	-0.453	-3.328	-0.2705	-0.97175	-0.0675	-0.4715	-0.6295	-0.9645	-4.459	-2.508	-1.991	-2.692	-3.601
"YGL037C"	4.841	4.922	5.031	4.738	3.213	3.649	4.635	4.777	4.892	2.756	3.246	-2.43	1.69	3.167	3.634	3.327	4.226	2.41	-0.689	-0.129	0.221	NaN	0.228	0.014	1.035	4.782	-0.009	1.842	0.839	-0.349	1.0075	1.9385	5.736	4.948	4.25	3.734	4.634
"YGL111W"	-1.886	-2.705	-2.012	-2.506	-1.189	-1.203	-2.165	-2.854	-2.867	-0.728	-1.202	0.933	-2.19	-1.109	-1.882	-1.684	-3.668	-1.167	0.15	-0.072	0.433	-1.316	-0.324	-0.342	-0.146	-2.724	-0.927	-1.0905	0.079	0.124	-0.2055	-0.1845	-3.188	-2.001	-2.456	-2.663	-3.063
"YGR145W"	-2.7705	-5.791	-6.346	-5.902	-2.435	-2.868	-3.702	-3.7955	-3.4415	-1.8235	-2.293	0.901	-2.86	-2.516	-3.204	-2.632	-4.245	-1.819	0.368	-0.128	0.423	-1.582	-0.36	-0.271	-1.291	-4.7725	-1.1285	-0.09075	-0.1835	-0.449	0.351	-2.1245	-4.182	-3.769	-2.255	-2.313	-4.009
"YGR245C"	-2.6095	-5.097	-5.457	-5.1995	-3.444	-2.66	-3.9345	-4.2355	-3.9115	-1.8945	-2.3165	1.066	-2.202	-1.933	-3.099	-3.022	-4.207	-3.177	0.073	-0.055	0.051	-1.839	-0.177	-0.075	-1.177	-4.6765	0.732	-0.784	-0.485	-0.438	1.564	-0.632	-4.281	-2.645	-2.373	-2.292	-3.415
"YGR248W"	5.5605	6.0655	6.403	5.962	4.6435	4.041	5.4885	6.052	5.5355	3.2505	3.599	-2.305	1.448	3.298	4.562	4.584	5.321	3.331	-1.043	0.16	-0.676	1.221	0.585	0.082	2.947	7.005	-0.046	0.207	-0.076	-0.329	0.279	2.629	4.665	3.242	3.854	6.168	6.811
"YHR020W"	-1.45	-2.592	-2.9105	-3.22	-1.1335	-1.6135	-2.5795	-3.3085	-3.731	-0.8915	-0.9435	0.727	-2.062	-0.834	-1.864	-2.358	-4.019	-2.469	-0.286	-0.252	-0.183	-0.852	0.707	-0.561	-0.855	-3.5805	-0.24	-1.335	-1.066	0.733	-0.301	-1.214	-3.021	-1.53	-2.574	-3.043	-3.861
"YHR088W"	-2.3875	-5.1145	-5.3925	-4.6805	-1.854	-1.928	-3.058	-3.613	-2.3075	-1.1035	-1.08	0.612	-2.628	-2.104	-3.19	-2.738	-5.002	-2.407	0.399	0.265	0.384	-0.778	-0.367	-0.306	0.414	-3.3645	-0.014	-0.231	0.11	-0.497	1.39	-0.909	-2.779	-2.184	-1.48	-2.04	-2.768
"YHR104W"	4.5615	4.906	4.8105	4.6215	3.5845	3.2725	4.247	4.658	4.7775	1.73	2.4095	-2.708	1.524	2.174	2.864	2.908	3.691	1.404	-0.367	-0.061	-0.141	1.926	0.073	-0.156	0.984	5.319	-1.067	0.695	0.443	0.451	0.712	1.863	5.002	2.775	3.432	2.457	3.963
"YHR170W"	-3.765	-5.3995	-6.3835	-4.622	-2.4275	-2.085	-4.14	-4.723	-3.947	-1.2945	-1.526	0.893	-3.256	-1.62	-2.518	-2.551	-4.51	-2.326	0.321	-0.148	0.469	-1.935	-0.196	-0.306	-1.179	-5.252	1.141	-1.8355	-0.019	0.638	-0.7	-1.999	-3.576	-2.405	-2.772	-3.186	-3.601
"YIL019W"	-2.3275	-4.4845	-3.9755	-3.631	-1.9705	-1.5405	-3.3725	-2.9215	-2.461	-1.506	-1.545	0.846	-1.542	-2.26	-2.869	-2.382	-2.459	-2.529	0.453	0.276	0.488	-1.914	-0.575	-0.028	0.267	-3.595	-0.31	-0.141	0.107	0.029	-0.053	-2.03	-4.534	-3.09	-3.039	-2.377	-4.006
"YIL117C"	1.765	2.1615	2.206	2.037	2.13933333333333	1.37766666666667	1.79	2.43933333333333	1.79866666666667	0.489333333333333	0.946	-0.5635	0.5505	0.7565	1.1215	1.8745	-0.56	1.269	0.385	0.0805	0.161	0.253	-0.0465	-0.082	0.5315	1.96633333333333	-0.173	-0.284333333333333	0.1565	0.3235	0.6955	-0.6385	2.212	2.206	1.589	1.285	1.182
"YJL217W"	2.749	3.121	3.01	2.9075	2.4475	1.044	1.454	2.6275	0.794	-0.328	0.1755	-0.658	0.541	1.123	1.574	1.717	1.191	0.726	0.045	0.242	-0.023	0.3965	-0.191	-0.007	-0.501	3.9495	0.592	-0.589	-0.213	0.062	-0.276	0.43	2.153	2.053	2.74	0.94	2.001
"YKL150W"	2.809	2.913	3.192	3.05	1.553	2.057	2.55	3.068	2.915	0.93	2.119	-1.03	1.401	1.577	2.049	1.842	3.989	1.556	-0.235	0.281	-0.476	-0.362	-0.232	0.012	0.877	2.857	0.267	1.356	0.89	-0.314	0.593	0.802	2.259	1.645	2.22	2.7	4.12
"YLL008W"	-2.364	-4.973	-6.033	-4.981	-1.744	-2.133	-3.751	-4.808	-4.019	-1.64	-1.904	0.91	-3.12	-2.363	-3.718	-3.309	-5.659	-3.126	0.104	0.112	0.106	-1.647	0.175	-0.613	-1.803	-4.642	1.516	-0.41	NaN	-0.525	-0.359	-1.778	-4.08	-2.614	-2.378	-1.915	-3.042
