	"56.Elutriation2:Sample2:Time3.5hrs"	"634.Elutriation2:Sample2:Time6.5hrs"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"13059.wt/crz1 Na 45min (1)"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YHR068W"	0.272	0.004	0.543	-3.316	-4.28	-6.532	-1.119	0.349	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.09	0.159	0.241	0.437	-0.048	0.084	-0.805	-1.743	-2.248	-2.194	-1.888	-2.769	-2.467	0.289	0.367	0.752	-2.469	-2.43	-1.87	-1.514	-1.571	-1.255	-1.08
"YHR098C"	-0.043	-0.089	0.1095	-0.239	-2.065	-3.065	-1.2865	0.1935	-0.983	-1.1365	-1.2075	-1.218	-1.917	-1.925	-2.553	0.0275	-0.2695	-0.289	-0.1045	0.018	-0.206	-1.451	-0.118	-1.663	0.503	-1.389	-1.544	-0.815	-0.229	-0.265	0.099	-1.136	-1.206	-0.603	-0.644	-0.484	-1.051	-0.322
"YHR170W"	0.306	-0.075	0.4	-4.51	-2.573	-4.858	-1.429	0.213	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	-0.027	-0.356	0.037	-0.156	0.296	0.423	-1.767	-1.477	-1.751	-1.893	-2.002	-1.487	-2.544	-0.298	-0.501	-0.59	-0.796	-0.477	-0.326	-1.206	-1.158	-0.676	-1.55
"YHR193C"	0.59	0.51	0.006	-1.48	-3.11	-4.166	-1.2	0.215	-1.731	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.008	-0.797	-0.018	-0.522	-0.136	0.559	-1.891	-3.042	-1.961	-2.308	-2.597	-1.78	-1.013	0.415	0.58	0.388	-0.513	-1.414	-2.053	-0.915	-1.093	-2.042	-0.784
"YHR204W"	0.232	0.111	0.034	-1.236	-1.658	-2.025	-0.949	0.18	-0.97	-0.86	-0.697	-0.447	-0.668	-0.88	-1.121	-0.081	-0.191	0.26	0.312	0.032	0.181	-0.79	-0.77	-0.941	-1.234	-1.877	-1.195	-1.648	0.005	0.438	0.337	-0.473	-0.645	-0.697	-0.751	-0.719	-0.236	-0.293
"YIL039W"	0.222	0.274	0.112	-0.945	-3.668	-4.517	-0.337	0.342	-0.324	-0.319	-1.043	-1.386	-1.646	-2.122	-1.552	0.113	-0.019	0.233	0.117	0.065	-0.19	-0.801	-1.384	-1.335	-0.752	-0.904	-1.313	-0.821	0.261	0.185	0.173	0.208	-0.367	-0.285	-0.489	-0.349	-0.447	-0.655
"YIL078W"	-0.147	-0.291	0.142	-2.907	-5.192	-6.059	-2.462	0.423	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.017	-0.486	0.141	-0.013	0.306	0.305	-2.298	-1.711	-2.032	-1.748	-2.175	-2.266	-1.937	-0.089	0.145	0.153	-1.391	-1.874	-1.442	-1.449	-1.625	-1.291	-2.866
"YIR040C"	-0.197	-0.145	0.212	0.023	1.004	-0.767	0.393	-0.179	0.968	0.601	0.839	0.723	1.347	1.025	1.271	0.064	-0.065	0.072	0.027	-0.14	0.061	0.214	0.845	0.672	0.467	1.254	0.738	-0.405	-0.055	-0.342	-0.157	-0.573	-0.309	-0.645	0.234	-0.348	-0.013	0.211
"YJL145W"	-0.101	-0.019	0.507	-2.076	-2.136	-3.628	-1.747	0.282	-1.535	-1.17	-1.678	-1.482	-2.303	-2.334	-2.853	0.215	-0.184	-0.225	-0.171	0.03	0.445	0.75	-0.361	-1.007	-0.726	-0.582	-1.618	-0.792	-0.188	-0.173	-0.423	-0.42	-0.946	-1.119	-0.024	-0.565	-0.95	-0.888
"YJL190C"	0.515	0.021	0.515	-3.794	-3.585	-6.079	-3.062	0.176	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.252	-1.33	0.048	0.142	0.678	0.457	-2.967	-3.057	-2.724	-2.893	-2.75	-2.487	-3.912	-0.284	0.18	0.274	-2.93	-3.692	-3.73	-2.726	-2.224	-2.741	-3.046
