	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5244.DES459 (mec1) - mock irradiation -15 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"17676.Na+FK 45min (4)"	"21660..24 mM H2O2- 120 minutes"	"33780.delYPL230w_stationary_phase_7hours"
"YIL133C"	0.08	0.154	0.081	-3.333	-3.196	-3.135	-2.883	-2.693	-5.79	-2.93	-2.571	-2.194	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.204	0.363	0.235	-1.207	0.028	-0.373	0.179	-2.339	-1.436	-2.453	-1.872	0.287	-2.13	-0.023	-0.044	-2.184	-0.308	-3.154
"YJL014W"	0.218	0.021	0.294	-1.884	-1.661	-1.298	-1.383	-2.624	-3.962	-1.585	-1.866	-1.425	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	0.122	0.193	0.045	0.225	0.125	-0.075	0.1285	-0.971	-0.795	-1.033	-0.78	0.298	-1.31	-0.03	-0.093	-1.12	0.277	-1.416
"YJL116C"	0.976	0.615	0.268	1.7	2.294	3.349	5.231	5.373	4.79	0.969	1.069	1.944	2.676	3.619	3.157	3.183	3.735	3.029	-0.192	-0.111	0.489	0.733	0.464	0.15	-0.0685	0.529	0.778	0.35	0.592	0.044	4.083	-0.059	0.241	-1.192	-0.338	1.788
"YJL138C"	0.968	0.83	0.562	-2.487	-1.169	-1.274	-1.358	-3.125	-5.625	-1.273	-2.285	-1.674	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.091	0.758	0.058	0.097	0.188	0.097	0.136	-1.26	-1.141	-1.49	-1.665	0.527	-1.828	0.361	0.31	-1.681	-0.648	-1.373
"YJL177W"	0.675	0.691	0.489	-4.132	-3.846	-3.2	-2.747	-3.255	-5.49	-3.409	-3.772	-3.428	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.263	0.367	0.25	-1.011	-0.296	0.027	0.352	-2.129	-1.64	-2.455	-2.061	0.298	-2.348	0.107	0.093	-2.943	0.095	-4.115
"YJR139C"	0.0	0.343	0.083	-1.149	-0.382	-0.297	-0.736	-2.333	-4.462	-0.156	-0.816	-1.32	-0.158	-0.762	-1.269	-1.914	-2.388	-2.051	0.306	0.269	0.025	-0.002	-0.276	-0.047	0.25	-1.07	-1.268	-1.009	-1.136	0.398	-1.02	0.683	0.428	-1.536	-0.133	-0.835
"YJR145C"	0.667	0.733	0.717	-4.507	-3.488	-3.177	-2.413	-3.54	-6.528	-3.551	-3.547	-3.597	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.228	0.336	0.381	-1.198	-0.112	0.247	0.362	-2.162	-1.723	-2.369	-1.818	0.237	-2.312	0.394	0.212	-3.157	0.091	-3.771
"YKL180W"	0.93	0.503	0.732	-2.661	-2.738	-2.549	-1.857	-2.561	-5.237	-2.625	-3.204	-2.593	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	0.365	0.577	0.469	-0.912	-0.144	-0.042	0.5	-2.003	-1.241	-1.883	-1.742	0.338	-2.393	-0.131	-0.174	-2.497	-0.38	-2.962
"YKR059W"	1.124	0.901	0.513	-2.144	-1.383	-1.242	-1.54	-2.817	-4.998	-2.593	-2.103	-2.531	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.175	0.499	0.062	0.206	0.263	0.257	-0.226	-1.197	-1.102	-1.284	-1.65	0.514	-1.996	0.059	0.224	-1.975	-0.721	-1.849
"YLL044W"	0.757	0.713	0.871	-4.871	-3.525	-3.158	-2.963	-3.79	-6.48	-3.313	-3.031	-3.269	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.04	0.342	-0.086	-0.366	0.094	-0.187	0.136	-2.344	-1.619	-2.075	-2.07	0.456	-2.227	0.284	0.343	-2.458	-0.643	-2.77
"YLL065W"	0.104	0.04	-0.174	0.579	0.965	0.869	1.195	0.213	-0.851	-0.04	0.01	1.012	0.762	0.647	0.969	1.772	1.289	1.212	0.008	-0.35	0.492	0.549	0.532	0.206	-0.399	1.015	0.995	0.299	0.169	-0.094	0.747	0.638	0.37	0.639	-0.024	-0.008
"YLR060W"	0.675	0.45	0.612	-3.165	-2.617	-2.047	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	0.224	-0.212	-0.434	-0.061	-0.153	0.076	-1.345	-0.976	-1.106	-0.9	0.376	-2.464	-0.058	-0.301	-0.992	0.381	-2.996
"YLR145W"	-0.211	-0.07	-0.343	-0.834	-1.305	-0.764	-1.528	-1.432	-2.672	-1.302	-1.254	-0.475	-0.91	-0.729	-0.774	-1.389	-1.959	-1.17	-0.252	-0.048	-0.003	-1.504	-0.765	0.197	-0.312	-0.331	-0.326	-0.32	-0.615	-0.107	-0.555	0.413	0.25	0.036	0.233	-0.677
"YLR264W"	0.703	0.589	0.605	-3.105	-2.523	-2.018	-1.693	-2.597	-5.152	-2.945	-2.94	-2.616	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.338	0.631	-0.175	-0.493	-0.239	0.279	0.246	-1.665	-1.642	-1.413	-1.913	0.618	-1.833	0.768	0.667	-1.162	-0.924	-2.797
"YLR333C"	0.774	0.812	0.395	-3.93	-3.067	-2.402	-2.342	-3.011	-5.863	-3.538	-3.334	-2.939	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	0.252	0.373	0.246	-1.038	-0.182	0.103	0.315	-1.8	-1.502	-1.76	-1.922	0.34	-1.748	0.51	0.544	-1.828	-0.45	-2.843
"YLR457C"	0.138	0.035	-0.118	-0.271	0.248	0.783	1.317	1.928	-1.065	-0.149	0.455	0.803	0.247	0.704	1.113	0.311	0.341	0.381	-0.098	-0.233	0.119	-0.116	-0.129	-0.06	-0.1	0.74	0.525	0.714	0.729	0.11	0.544	0.235	0.323	0.261	0.023	-0.337
"YML008C"	0.061	0.079	0.013	-2.795	-2.419	-1.034	-2.236	-4.23	-4.829	-1.558	-1.093	-1.94	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.143	0.657	0.03	0.677	0.098	-0.059	0.296	-0.537	-0.652	-0.807	-0.813	-0.051	-1.469	-0.039	0.06	-1.11	0.109	-2.487
"YML024W"	NaN	NaN	NaN	-3.616	-3.535	-3.016	-3.285	-3.909	-4.621	-3.523	-3.666	-3.004	-2.442	-2.512	-2.583	-1.81	-2.221	-2.415	NaN	0.359	-0.183	-0.926	-0.326	-0.164	0.177	-2.106	-1.671	-1.567	-2.011	0.366	-1.868	0.321	0.312	-2.513	-0.221	-2.573
"YMR052W"	-0.433	-0.499	-0.514	0.466	0.436	1.14	0.677	1.012	-1.39	0.231	0.292	0.895	0.856	0.992	1.049	0.719	0.395	0.383	-0.161	-0.235	-0.085	-0.777	-0.662	-0.055	-0.255	0.932	0.914	0.677	0.495	0.052	0.109	0.227	0.373	-1.336	0.013	1.274
"YMR107W"	-1.828	-1.695	-0.987	4.775	5.066	5.686	4.338	6.497	6.511	6.054	6.663	6.747	3.069	2.589	3.698	4.755	5.373	4.702	-0.367	-0.492	-0.109	0.504	-0.494	-0.077	-0.187	2.098	2.132	1.528	1.578	-1.121	4.765	-1.038	-1.222	1.21	-0.414	5.59
"YMR114C"	-0.481	-0.413	-0.212	2.727	2.543	2.068	2.327	4.1	4.572	2.095	2.582	2.58	1.024	2.032	2.343	3.614	3.555	3.502	0.0	-0.057	0.124	-0.858	-0.719	0.028	-0.008	1.179	0.867	1.037	0.779	-0.084	1.879	0.125	0.032	NaN	-0.228	2.753
"YMR130W"	0.096	0.154	0.043	-2.063	-1.784	-1.864	-1.215	-1.972	-3.845	-1.058	-1.571	-0.671	-1.422	-1.36	-1.47	-2.339	-2.247	-2.295	0.124	-0.034	-0.001	-0.814	-0.299	-0.365	0.169	-1.08	-1.055	-1.205	-1.195	0.202	-1.328	-0.077	0.0	-0.938	0.46	-1.807
"YMR136W"	-1.121	-0.634	-0.266	1.284	1.459	1.521	1.253	3.822	3.472	1.675	1.86	1.615	0.71	1.491	2.1	3.818	3.637	3.119	-0.047	-0.219	-0.136	-0.043	0.047	-0.254	0.062	1.499	1.185	0.736	0.867	-0.528	1.164	-0.181	-0.132	-1.952	-0.295	1.336
"YMR208W"	-0.058	-0.105	-0.076	-1.479	-0.769	0.126	-1.063	-2.542	-3.618	-0.766	-0.389	-0.674	-0.429	-0.931	-1.136	-1.98	-2.454	-2.354	0.159	-0.023	-0.022	-0.756	-0.331	-0.305	0.047	-0.794	-0.647	-0.995	-0.706	0.101	-0.6815	-0.045	-0.139	-0.457	0.237	-1.026
"YMR242C"	0.822	0.67	0.515	-4.702	-3.631	-3.819	-3.032	-3.971	-6.226	-3.832	-4.338	-3.636	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.288	0.408	0.442	-1.121	-0.352	-0.063	0.19	-2.598	-2.072	-2.755	-2.478	0.413	-2.4615	0.125	0.261	-2.152	0.025	-3.588
"YMR308C"	0.367	0.326	-0.061	-1.769	-1.565	-1.814	-1.375	-3.091	-4.033	-1.731	-1.443	-0.193	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.085	0.235	0.006	0.507	0.871	-0.209	0.173	-1.353	-0.981	-0.507	-0.179	0.176	-1.504	-0.523	-0.351	-0.989	-0.332	-1.659
"YNL067W"	0.717	0.486	0.482	-4.019	-2.871	-2.193	-2.908	-2.84	-5.731	-2.866	-3.241	-2.399	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	0.133	0.452	0.53	-0.583	-0.282	0.112	-1.685	-2.232	-1.859	-2.17	-2.392	0.818	-1.5625	0.377	0.393	-1.22	0.191	-2.534
"YNL119W"	0.885	0.411	0.465	-6.697	-3.692	-2.694	-3.337	-5.354	-6.231	-3.359	-3.366	-2.99	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.011	0.315	-0.324	-0.674	-0.266	-0.328	0.044	-1.868	-1.26	-2.044	-2.032	0.234	-1.92	0.084	0.018	-1.853	0.084	-2.748
