	"93.cdc15 180 min"	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"684.YP fructose vs reference pool"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8193.steady state 15 dec C"	"8195.steady state 21 dec C"	"8217.steady state 17 dec C"	"8234.dtt 240 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"16338.DES460 vs. DES460 YPD log phase control"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34357.batch 02X25 1"	"34359.batch 02X25 3"	"40968.MD_II_49_min"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"
"YER043C"	-0.288	1.109	0.191	0.321	-1.172	0.891	0.879	-3.945	-1.445	-2.553	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.18	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.343	0.708	-0.103	0.078	-0.009	-1.657	-1.941	0.489	0.444	0.345	-0.012	-2.015	-2.503	-2.487	-2.96	0.277	-0.575	0.21	-3.094	-2.542	-2.164	-2.202	-1.71	-1.767	0.561	0.157	-0.579	0.36
"YER070W"	NaN	0.79	0.183	0.33	-0.133	0.648	0.338	-3.377	-1.093	0.093	-1.901	-1.51	-3.252	-3.737	-3.09	-2.84	-2.667	-2.624	-3.198	-0.318	-1.289	-2.288	-2.637	-3.229	-3.359	-0.041	0.476	0.731	0.229	0.133	-0.516	-0.502	0.479	0.365	-0.311	-0.47	-2.798	-1.897	-1.946	-2.811	-0.041	-0.495	-0.159	-1.276	-1.325	-1.516	-1.3	-0.259	0.415	-0.131	-0.047	-1.074	-1.089
"YER102W"	-0.555	1.351	0.447	0.477	-1.525	1.084	1.107	-3.932	-3.965	-2.924	-2.3	-2.578	-3.64	-6.434	-3.101	-3.625	-3.37	-3.204	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	0.356	0.413	0.299	0.334	0.068	-1.931	-1.792	-0.267	0.683	0.549	-2.128	-2.133	-1.446	-1.328	-1.097	-0.107	0.037	0.011	-3.324	-2.758	-2.385	-2.329	-2.436	-2.527	1.149	0.691	-1.275	0.424
"YGL076C"	-1.196	1.317	0.222	0.804	-0.842	1.147	1.006	-3.969	-3.136	-2.564	-2.446	-2.401	-3.976	-5.667	-3.32	-2.996	-2.857	-1.957	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.155	0.661	-0.016	0.104	-0.125	-1.888	-1.94	-0.145	0.434	0.422	-2.239	-2.237	-1.523	-1.742	-1.207	0.2195	0.188	-0.0315	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	0.692	-0.175	0.2745	0.373
"YGR085C"	-0.171	1.473	0.424	0.809	-0.601	1.133	1.122	-3.713	-3.301	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.255	0.407	0.278	0.311	0.29	-1.917	-2.035	-0.493	0.353	0.369	-1.876	-2.078	-1.442	-1.73	-1.234	0.105	0.279	0.177	-4.004	-2.792	-3.45	-3.003	-2.048	-1.785	0.876	0.453	-1.176	0.456
"YGR124W"	-0.952	0.585	0.296	0.161	-1.414	0.589	0.593	-2.537	-1.595	-1.917	-2.741	-2.43	-2.597	-4.207	-1.704	-1.377	-1.518	-0.014	-2.554	-1.658	-2.324	-2.426	-2.945	-3.169	-3.758	0.044	0.475	-0.188	0.357	-0.278	-1.216	-0.745	0.203	0.779	0.056	-0.162	-2.723	-2.126	-1.788	-1.923	-0.268	0.348	0.3015	-2.742	-2.935	-2.228	-2.662	-1.764	-1.881	0.276	0.131	-0.8075	-0.948
"YGR185C"	0.319	0.667	0.261	0.66	-0.665	0.691	0.336	-3.192	-1.697	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.093	0.46	0.181	0.0675	0.162	-0.772	-0.521	-0.088	0.329	0.237	-0.708	-2.21	-2.316	-2.459	-2.363	-0.191	0.158	0.247	-3.17	-2.768	-2.136	-2.312	-2.205	-2.277	0.562	0.403	-0.683	0.169
"YGR264C"	-1.948	1.02	0.044	0.299	-1.489	0.85	0.737	-3.787	-2.696	-3.156	-2.945	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-3.49	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	0.234	0.495	-0.079	-0.026	0.088	-1.599	-1.584	-0.254	0.381	-0.108	-1.659	-2.246	-2.287	-2.376	-2.353	0.147	-0.527	0.669	-3.556	-2.673	-3.33	-3.082	-1.962	-2.066	0.521	0.317	-2.295	-1.696
"YGR285C"	-1.241	1.014	0.061	0.524	-1.082	0.764	0.578	-3.959	-2.444	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-1.393	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.288	0.704	0.15	-0.0025	-0.248	-1.577	-1.929	-0.122	0.178	-0.001	-1.025	-2.035	-2.466	-2.483	-3.514	-0.264	-0.032	0.188	-2.948	-2.607	-2.323	-2.554	-1.851	-2.062	0.312	0.029	-1.612	-0.614
"YHL033C"	-0.185	1.291	0.416	0.732	-0.792	1.299	1.093	-3.758	-2.864	-1.944	-1.277	-2.205	-3.984	-6.65	-3.056	-3.153	-3.005	-2.318	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.283	0.537	0.08	-0.0885	0.348	-1.866	-2.127	0.068	0.753	0.335	-1.747	-1.93	-1.111	-1.445	-1.336	-0.224	0.292	0.265	-1.38	-1.757	-0.001	-1.385	-1.492	-1.18	0.755	0.52	-1.134	0.414
"YHR068W"	NaN	0.968	0.214	0.581	-1.125	0.941	0.818	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.136	0.132	0.241	-0.0565	0.011	-1.096	-0.878	0.025	0.833	0.203	-1.25	-2.522	-2.438	-2.761	-2.475	0.153	-0.449	0.103	-2.437	-2.467	-2.406	-2.362	-1.8	-1.861	-0.29	0.029	-0.891	-0.575
"YHR089C"	1.874	1.373	0.393	0.603	-1.102	1.353	1.252	-3.409	-3.231	-2.468	-2.358	-2.702	-2.601	-4.276	-2.292	-1.864	-1.513	-1.332	-4.426	-3.154	-3.217	-3.48	-3.254	-3.83	-3.913	0.043	0.276	-0.45	-0.174	0.141	-1.588	-2.465	0.428	0.428	0.714	-1.661	-2.454	-2.539	-2.595	-2.945	-0.458	-0.511	-0.293	-2.523	-2.905	-3.956	-3.219	-2.005	-3.27	0.339	-1.183	-0.172	-0.31
"YHR138C"	-0.063	-2.313	-0.537	-0.604	1.379	-2.105	-1.282	1.82	1.858	2.388	3.006	2.612	3.544	2.855	2.4	1.92	2.565	1.54	2.435	2.254	2.655	3.218	4.205	3.69	3.178	0.345	-1.355	-0.208	0.2205	-0.01	1.981	2.33	0.527	-0.765	0.307	1.457	2.392	2.678	2.405	3.187	0.332	0.389	-0.18	3.498	3.114	2.652	2.302	2.584	2.256	-0.82	-0.064	1.283	0.938
"YIL078W"	-0.363	0.897	0.067	0.177	-1.288	0.771	0.648	-2.907	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.092	0.528	0.141	0.1345	-0.127	-1.447	-1.466	-0.217	0.401	-0.235	-1.285	-2.573	-2.57	-2.6	-2.341	0.158	0.205	0.351	-3.116	-1.937	-1.996	-2.548	-1.189	-1.453	0.338	0.183	-2.429	-1.188
"YJL002C"	-0.32	0.0	0.191	0.427	-1.028	0.367	0.351	-1.243	-1.923	-1.454	-1.243	-1.658	-2.469	-4.487	-1.154	-1.141	-1.766	-0.803	-0.96	-0.838	-0.942	-1.17	-1.748	-2.556	-2.618	-0.372	0.173	-0.075	0.138	-0.467	-0.63	-0.436	0.081	0.542	0.256	-0.075	-1.155	-1.488	-1.752	-1.32	0.586	-0.006	0.285	-0.969	-1.076	-0.813	-1.344	-0.567	-0.934	0.541	0.266	-0.91	-0.064
"YJR143C"	-0.283	0.597	0.007	0.385	-0.945	0.657	0.447	-1.748	-1.012	-1.648	-1.487	-1.713	-4.675	-5.523	-2.151	-2.716	-2.573	-3.031	-1.799	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	-0.171	0.303	0.239	0.2165	-0.256	-1.016	-0.848	0.151	0.135	-0.009	-0.789	-2.672	-2.162	-2.24	-2.832	0.144	-0.195	0.162	-1.722	-1.351	-1.32	-1.52	-1.322	-2.698	0.43	0.204	-1.616	0.084
"YJR145C"	0.447	1.17	0.282	0.549	-1.487	1.341	0.963	-4.507	-3.488	-2.731	-2.328	-2.413	-3.54	-6.528	-3.551	-3.547	-3.597	-3.707	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.297	0.365	0.381	0.362	0.112	-2.369	-1.818	-0.174	0.413	0.493	-1.921	-2.272	-1.579	-1.347	-1.308	0.044	-0.099	0.106	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	0.957	0.606	-0.877	-0.487
"YKL026C"	0.652	-1.322	-0.289	-0.796	0.848	-1.167	-0.206	4.553	3.42	4.429	4.068	3.618	5.561	6.641	3.848	3.239	3.305	3.067	3.106	2.687	3.137	3.607	4.354	3.97	3.468	0.059	-1.48	0.101	-0.1325	-0.104	1.227	1.317	0.798	-0.485	0.121	1.407	2.371	2.834	2.644	2.609	0.358	0.384	-0.287	3.937	5.449	3.949	4.063	3.2	3.668	-0.259	0.106	1.032	1.0
"YKL212W"	0.33	0.473	0.18	0.208	-0.313	0.381	0.092	-1.431	-1.053	-0.845	-1.247	-1.079	-3.014	-4.806	-1.409	-1.065	-1.651	-1.64	-1.923	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	0.267	0.429	-0.068	-0.31	0.314	-0.702	-0.712	0.354	0.199	0.319	0.381	-1.816	-1.943	-2.101	-2.073	-0.145	0.034	0.215	-1.052	-1.607	-1.036	-1.481	-1.072	-1.839	0.751	0.463	0.039	-0.083
"YLL044W"	-0.666	1.121	0.218	0.452	-1.193	1.115	1.006	-4.871	-3.525	-2.869	-2.211	-2.963	-3.79	-6.48	-3.313	-3.031	-3.269	-2.156	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.083	0.256	-0.086	0.136	-0.024	-2.075	-2.07	-0.1	1.015	0.119	-2.173	-1.93	-1.508	-1.37	-1.373	-0.381	0.627	0.202	-3.189	-2.774	-3.806	-2.77	-2.196	-2.935	0.919	0.371	-0.469	0.218
"YLR060W"	-0.767	0.836	-0.153	0.444	-1.157	0.614	0.566	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.298	0.199	-0.212	0.076	0.144	-1.106	-0.9	-0.461	0.144	-0.189	-0.882	-1.72	-1.77	-1.452	-2.018	-0.194	-0.095	0.239	-2.734	-2.666	-2.64	-2.996	-2.646	-3.346	0.743	0.31	-2.206	0.489
"YLR197W"	-1.278	1.23	0.271	0.264	-1.17	1.252	1.224	-5.817	-3.612	-2.795	-2.789	-3.255	-4.736	-5.242	-3.899	-3.238	-3.258	-3.282	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	0.013	0.357	0.131	-0.125	-0.183	-1.768	-2.254	0.137	0.371	0.511	-1.869	-3.052	-3.145	-3.099	-2.81	0.141	-0.304	0.08	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321	0.384	-0.142	-0.739	0.074
"YLR198C"	-0.517	0.626	0.532	0.466	-0.846	0.538	0.338	-5.143	-2.989	-2.376	-2.064	-2.252	-3.745	-3.401	-3.471	-3.106	-2.998	-2.5	-5.282	-2.521	-3.21	-3.479	-3.841	-4.919	-4.589	-0.011	0.522	0.231	0.009	0.089	-1.502	-2.042	0.381	0.418	0.168	-1.66	-2.706	-2.917	-3.086	-3.164	-0.082	0.111	0.124	-2.271	-2.674	-3.761	-2.805	-1.946	-1.701	0.131	-0.406	-1.619	-0.2
"YLR246W"	1.024	-0.28	-0.279	-0.127	0.78	-0.201	-0.461	1.539	1.682	1.901	2.089	2.836	2.503	1.083	0.834	0.655	0.527	0.39	1.861	1.556	1.704	2.228	2.212	2.565	2.24	-0.081	-0.462	0.396	0.082	-0.277	0.957	1.013	0.47	-0.274	0.199	1.02	1.455	2.156	1.839	2.368	-0.026	-0.113	-0.217	0.596	1.116	1.127	0.715	0.78	0.996	0.197	-0.029	-0.609	0.422
"YLR312C"	1.845	-2.244	-0.752	-2.241	1.801	-1.371	-1.778	4.821	5.627	5.561	5.97	4.818	6.051	6.5	3.545	2.674	4.286	4.34	4.955	5.214	4.896	5.569	6.764	7.043	6.406	-0.646	-0.762	0.426	-0.288	-0.091	2.596	2.62	0.451	-0.661	0.392	1.737	4.618	4.916	4.296	5.025	0.092	0.898	-0.06	3.148	4.818	4.18	4.667	4.284	4.571	-0.973	0.044	1.101	0.483
"YLR314C"	-0.872	0.109	-0.03	0.051	-0.501	0.098	-0.084	-0.76	-0.873	-0.859	-1.783	-1.658	-2.218	-5.585	-0.307	-0.846	-1.368	-1.023	-2.781	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	0.001	-0.076	-0.075	0.203	-0.223	0.282	0.127	-0.034	0.029	-0.229	-0.252	-2.48	-2.682	-2.101	-3.019	-0.29	-0.147	0.008	-1.633	-1.957	-0.79	-1.746	-1.03	-1.259	0.32	0.338	-0.088	-0.252
"YLR388W"	0.916	1.213	0.456	0.888	-0.744	1.145	0.956	-3.12	-2.544	-1.926	-1.98	-1.738	-3.596	-5.506	-3.204	-3.058	-2.742	-2.362	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.228	0.648	0.202	0.371	0.204	-1.874	-2.12	0.07	0.692	0.944	-1.953	-2.289	-1.597	-1.72	-1.317	0.301	0.166	0.076	-3.674	-2.798	-3.762	-3.521	-2.816	-2.864	0.512	0.443	-1.039	0.559
"YLR448W"	-0.146	1.062	0.101	0.513	-1.597	0.837	0.739	-4.815	-3.882	-3.083	-2.052	-2.688	-3.552	-5.971	-3.425	-3.454	-3.179	-2.573	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.171	0.467	0.011	0.184	-0.209	-1.972	-1.41	-0.451	0.563	0.452	-2.034	-2.386	-1.783	-1.497	-1.449	-0.009	-0.102	-0.053	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	0.568	-0.017	0.9	0.918
"YMR001C"	-0.866	0.591	-0.048	-0.007	-0.396	0.631	0.457	-1.137	-0.867	-0.562	-2.749	-1.732	-2.913	-3.219	-0.825	-1.094	-1.485	-2.528	-1.97	-1.026	-2.089	-2.337	-2.372	-2.823	-2.825	-0.151	-0.273	-0.211	-0.064	0.086	-0.824	-0.81	0.162	0.358	-0.252	-0.249	-1.91	-1.784	-1.628	-1.319	0.228	0.118	0.336	-1.727	-1.718	-1.757	-2.078	-0.606	-1.375	0.373	0.572	1.032	-1.911
"YMR242C"	0.064	1.262	0.463	0.652	-1.39	1.333	1.294	-4.702	-3.631	-3.001	-2.522	-3.032	-3.971	-6.226	-3.832	-4.338	-3.636	-3.62	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.038	0.408	0.442	0.19	0.115	-2.755	-2.478	-0.495	0.57	0.768	-2.26	-2.447	-1.647	-1.596	-1.135	0.257	0.293	0.1305	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	0.801	0.181	-0.184	-0.603
"YMR307W"	0.501	0.693	-0.051	0.239	-0.587	0.655	0.605	-2.669	-1.341	-1.909	-3.74	-1.803	-5.132	-5.877	-2.484	-2.482	-3.284	-3.878	-3.55	-1.413	-2.493	-3.39	-4.432	-5.016	-4.56	0.138	0.224	0.827	0.095	-0.13	-2.047	-1.686	0.553	0.144	0.06	-0.004	-3.414	-3.754	-3.788	-4.475	-0.079	-0.5735	0.506	-4.574	-3.18	-2.866	-2.995	-1.549	-2.736	0.464	-0.285	-1.084	1.76
"YNL096C"	-0.77	1.017	0.286	0.236	-1.968	0.749	0.741	-4.113	-3.765	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.027	0.381	-0.057	0.169	-0.25	-1.701	-1.39	-0.304	0.417	0.413	-2.448	-2.296	-1.647	-1.704	-1.302	0.272	0.2435	0.112	-3.52	-2.764	-3.087	-3.372	-2.098	-2.779	0.462	0.201	-1.026	-0.599
