	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1254.mec1_plus_gamma_60_min"	"2144.heat shock 37 to 37, 30 minutes"	"2560.29C to 33C - 15 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8234.dtt 240 min"	"9836.cdc15 220 min"	"12744.heat shock 17 to 37, 20 minutes"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15729.Lycoming College - AICAr vs. no purine"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"38151.03II01 batch p7"	"38154.03II01 batch p10"
"YJR003C"	-2.6315	-1.374	-1.5255	-2.372	-1.43	-2.48	-3.457	-1.374	-1.107	-2.02	-2.176	-2.349	-2.42	-0.092	-0.017	-0.852	-0.0655	-0.324	-0.412	-0.3665	-1.7235	0.461	0.387	-0.64	-1.252	-0.704	-0.919	-1.021	-0.936	-0.083	-0.076	-1.307	-2.567	-1.637	-1.267	-0.151	-0.397
"YKL009W"	-3.58	-3.253	-4.13	-5.997	-2.449	-3.082	-6.168	-3.014	-3.144	-4.341	-2.349	-3.318	-2.938	0.357	0.336	-1.116	-0.1195	0.037	-1.783	-0.968	-4.4285	0.151	-0.004	-2.068	-3.064	-1.961	-2.401	-2.756	-1.381	0.746	0.741	-2.728	-4.823	-3.636	-3.036	0.205	-3.422
"YKL021C"	-1.988	-1.5375	-2.0995	-2.005	-1.387	-2.503	-3.469	-1.084	-1.026	-2.158	-2.25	-2.126	-2.619	0.316	0.08	-0.824	-0.271	0.19	-0.862	-0.787	-2.5805	-0.135	-0.31	-0.572	-1.309	-0.855	-0.938	-1.371	-0.747	0.786	0.13	-1.862	-2.274	-1.591	-1.403	-0.063	-0.521
"YKL113C"	-1.858	-1.396	-1.709	-2.701	-0.721	-2.6995	-2.644	-0.9745	-2.212	-1.6035	-1.4465	-1.3135	-1.721	-0.124	-0.2655	-0.761	-0.051	-0.288	-0.5155	0.608	-2.0815	0.429	0.411	-1.337	-1.779	-1.843	-1.473	-1.925	-2.175	0.678	-0.654	-1.556	-3.3	-1.92	-0.94	0.329	-0.778
"YLR083C"	-2.035	-1.6	-2.248	-3.703	-2.216	-3.767	-5.137	-2.111	-2.718	-3.208	-2.29	-3.88	-3.36	-0.043	0.358	-0.756	-0.098	0.128	-0.683	0.381	-2.311	-0.101	-0.063	-1.034	-1.619	-1.416	-0.894	-1.966	-2.003	0.398	-0.407	-2.942	-3.492	-2.869	-2.182	-0.348	-1.058
"YLR129W"	-3.022	-2.347	-3.658	-4.83	-2.718	-2.877	-4.914	-3.214	-3.12	-3.861	-2.714	-2.42	-3.068	0.092	-0.029	-0.739	-0.376	-0.185	-1.327	-0.405	-4.108	0.107	0.015	-1.316	-1.749	-1.205	-1.978	-1.272	-1.812	0.829	0.006	-2.781	-4.119	-2.843	-2.213	-0.642	-2.087
"YLR175W"	-3.679	-3.07	-4.902	-5.607	-3.068	-3.401	-5.468	-3.43	-3.996	-4.678	-3.701	-4.364	-4.96	-0.055	0.171	-1.287	-0.038	-0.029	-1.58	-1.434	-4.431	0.276	0.202	-1.689	-2.55	-1.317	-1.803	-2.519	-1.543	-0.28	-0.597	-3.16	-4.338	-2.959	-2.455	-0.703	-2.89
"YLR183C"	-1.938	-1.242	-1.354	-3.26	-1.912	-3.664	-3.782	-1.887	-1.854	-2.966	-1.791	-3.695	-3.132	-0.879	-0.148	-0.779	-0.089	-0.18	-0.498	-1.974	-1.377	0.765	0.723	-1.369	-2.448	-2.234	-1.609	-2.52	-1.499	1.074	0.607	-2.055	-3.342	-2.647	-1.395	-0.567	-0.407
"YLR186W"	-2.221	-2.011	-2.122	-4.787	-2.346	-4.298	-5.516	-2.004	-3.036	-2.372	-1.74	-2.678	-2.467	-0.061	0.258	-0.508	0.161	0.054	-1.521	-0.568	-3.083	0.226	0.375	-1.947	-2.164	-1.226	-2.139	-1.941	-0.768	0.859	0.564	-2.552	-4.173	-2.896	-1.936	0.01	-1.736
"YLR196W"	-5.04	-3.221	-4.532	-5.083	-2.276	-4.437	-5.836	-2.118	-2.858	-4.378	-3.933	-4.664	-4.392	0.137	0.127	-1.306	-0.191	0.305	-1.12	-0.381	-5.097	-0.422	-0.316	-2.335	-1.034	-1.483	-2.266	-2.435	-1.58	0.177	0.592	-2.83	-3.658	-2.412	-1.969	-0.512	-1.73
"YLR197W"	-4.044	-3.638	-5.179	-5.817	-3.255	-4.736	-5.242	-3.387	-3.899	-5.671	-4.423	-4.976	-5.033	0.05	0.341	-1.497	-0.125	-0.183	-1.869	-1.346	-5.072	0.045	0.103	-1.367	-2.537	-1.484	-1.38	-2.659	-1.783	-1.451	0.255	-3.17	-4.545	-3.045	-2.593	-0.12	-2.559
"YLR198C"	-4.694	-3.371	-4.805	-5.143	-2.252	-3.745	-3.401	-3.057	-3.471	-5.282	-3.841	-4.919	-4.589	0.482	0.407	-1.379	0.009	0.089	-1.66	-1.378	-4.143	-0.098	-0.073	-1.828	-2.99	-2.002	-1.933	-3.258	-1.912	0.149	0.371	-2.674	-3.761	-2.805	-1.946	0.185	-2.734
"YLR249W"	-3.122	-3.317	-4.758	-6.529	-3.637	-4.146	-6.742	-2.985	-3.879	-4.679	-3.883	-4.549	-4.992	-0.111	0.273	-0.742	-1.1	-0.113	-1.42	-0.215	-4.59	0.139	-0.052	-1.122	-2.403	-1.781	-1.105	-2.425	-1.876	0.605	-0.373	-5.102	-5.085	-4.9	-3.269	-0.335	-1.871
"YLR300W"	-0.956	-0.243	-1.053	-2.167	0.751	-2.944	-2.662	0.117	-2.112	-1.818	-2.287	-3.195	-3.99	-0.13	-0.178	0.009	0.135	-0.181	0.266	0.11	-1.206	0.05	0.031	-1.458	-2.205	-1.91	-1.89	-2.346	-1.98	-0.031	-0.774	-1.838	-1.974	-2.178	-1.488	-0.138	-0.535
"YLR409C"	-3.176	-2.574	-3.852	-4.402	-2.222	-3.204	-4.211	-2.874	-2.308	-2.708	-2.713	-3.315	-3.47	0.12	-0.055	-0.837	-0.282	0.39	-1.55	-0.391	-4.473	0.292	0.169	-1.442	-1.735	-1.373	-1.71	-1.598	-1.334	-0.532	0.564	-1.648	-3.231	-1.992	-1.204	-1.066	-1.761
"YML093W"	-2.615	-2.741	-3.472	-4.947	-2.007	-2.962	-5.889	-2.751	-2.797	-3.309	-2.547	-2.745	-3.262	0.233	-0.082	-0.938	-0.226	-0.114	-1.695	-1.195	-3.703	-0.171	-0.148	-2.27	-2.15	-1.333	-2.133	-2.251	-1.252	0.187	-0.824	-2.533	-4.548	-2.489	-2.192	-0.345	-2.353
"YMR131C"	-4.183	-3.849	-4.347	-5.631	-2.914	-5.052	-6.665	-3.153	-3.547	-4.277	-4.236	-5.241	-4.266	0.523	0.028	-1.343	-0.17	-0.1	-1.718	-0.277	-4.674	-0.018	0.064	-1.597	-2.526	-1.638	-2.226	-2.228	-1.145	0.49	0.003	-2.944	-4.181	-2.68	-1.908	-0.869	-2.21
"YMR217W"	-3.444	-2.705	-3.238	-5.293	-3.785	-4.735	-5.29	-2.699	-3.48	-4.287	-3.713	-4.205	-4.469	0.14	0.516	-1.29	-0.132	0.121	-1.816	0.682	-3.402	0.353	0.478	-1.415	-2.784	-2.531	-1.43	-2.975	-2.255	0.7385	-0.294	-2.927	-4.222	-3.421	-2.938	-0.511	-3.146
"YNL132W"	-5.146	-3.658	-4.954	-5.826	-3.653	-4.956	-6.392	-3.883	-3.285	-4.353	-3.396	-4.377	-4.049	0.212	-0.302	-1.657	-0.156	0.05	-1.974	-0.499	-3.45	-0.001	0.148	-1.977	-2.48	-1.999	-1.811	-2.637	-1.934	-0.2455	0.348	-2.948	-3.989	-2.673	-2.3	-0.442	-2.393
"YNL247W"	-1.793	-2.202	-2.268	-2.799	-1.928	-3.191	-4.64	-1.475	-2.34	-2.936	-2.658	-3.388	-2.515	-0.014	0.106	-0.214	-0.394	0.118	-0.959	-0.213	-2.788	0.067	-0.046	-1.29	-1.385	-1.079	-1.22	-1.802	-1.285	0.579	-0.175	-2.246	-2.994	-2.147	-1.583	-0.33	-0.334
"YNL248C"	-4.315	-3.398	-4.373	-5.716	-3.857	-4.575	-5.215	-3.618	-3.866	-5.072	-2.98	-3.902	-3.609	0.188	0.292	-1.065	0.027	-0.372	-1.978	-0.22	-4.868	0.097	0.268	-1.853	-2.666	-1.254	-1.984	-2.526	-1.33	-0.186	0.503	-4.217	-6.193	-3.878	-3.385	-0.084	-3.147
"YNL313C"	-3.026	-2.399	-3.02	-4.999	-2.126	-3.628	-5.714	-2.852	-3.129	-2.839	-2.01	-2.343	-2.518	-0.035	-0.028	-0.925	-0.1	0.138	-0.962	-0.907	-3.009	-0.053	-0.085	-1.324	-2.161	-1.226	-1.718	-2.263	-1.239	1.204	-0.399	-1.835	-3.85	-2.129	-1.672	-0.572	-1.686
"YNR009W"	-2.0	-1.426	-1.585	-3.025	-1.752	-2.496	-3.9935	-0.9845	-2.0265	-1.544	-0.836	-1.35	-1.218	-0.572	0.137	-0.343	0.144	-0.155	-0.861	0.784	-2.193	0.435	0.59	-1.129	-1.88	-1.424	-1.195	-1.939	-1.94	0.556	-0.459	-2.286	-2.487	-2.406	-1.298	-0.367	-0.666
"YOL077C"	-5.04	-4.336	-4.28	-5.186	-2.79	-3.02	-6.552	-2.1355	-4.174	-3.705	-3.299	-3.894	-4.326	0.15	0.025	-1.609	-0.085	-0.072	-2.119	-1.054	-4.7	-0.032	0.152	-1.957	-3.214	-2.152	-2.073	-3.346	-2.318	-0.624	0.055	-2.586	-5.145	-2.894	-2.392	-0.087	-2.379
"YOR206W"	-3.702	-3.585	-4.513	-5.827	-2.174	-3.681	-6.4785	-2.919	-3.1625	-3.888	-3.151	-3.692	-3.694	0.287	-0.071	-1.193	-0.152	-0.078	-1.716	-1.371	-5.066	0.029	-0.013	-2.692	-2.957	-1.76	-2.678	-3.013	-1.528	-0.675	-0.678	-2.539	-4.817	-2.585	-1.507	-0.298	-2.141
"YOR243C"	-3.234	-2.436	-3.982	-3.8055	-2.2855	-3.3625	-4.3935	-1.9265	-2.588	-3.635	-2.865	-4.484	-3.863	0.066	0.047	-1.245	-0.109	-0.194	-1.1555	0.551	-4.099	0.086	0.118	-1.522	-1.65	-1.367	-1.719	-1.815	-1.539	-1.218	-0.785	-1.808	-2.825	-2.065	-1.562	-0.649	-1.962
"YOR309C"	-4.328	-3.697	-5.514	-6.798	-3.942	-4.234	-6.859	-3.07	-3.709	-5.839	-4.746	-5.449	-5.009	0.263	-0.072	-1.217	0.089	0.067	-1.968	-0.233	-4.939	-0.085	0.043	-1.992	-3.13	-1.903	-2.119	-3.264	-1.846	1.182	0.033	-3.28	-4.097	-3.518	-2.477	-0.225	-3.595
"YOR310C"	-4.365	-3.309	-3.004	-6.006	-3.319	-4.7765	-7.1385	-3.101	-3.766	-5.777	-4.745	-5.099	-4.866	0.372	0.311	-0.998	-0.205	0.049	-1.8115	0.003	-4.948	-0.037	0.008	-1.968	-3.17	-1.755	-2.1	-3.489	-1.697	-0.344	-0.03	-4.629	-5.14	-4.292	-3.502	-0.451	-2.539
"YPL160W"	-1.5095	-1.541	-2.429	-3.26033333333333	-2.13233333333333	-3.08233333333333	-5.284	-0.784	-2.22666666666667	-4.0365	-3.1695	-3.499	-2.977	0.698	-0.0136666666666667	-0.0095	0.0565	0.202	-1.13233333333333	-0.57	-2.203	-0.174	-0.216	-0.81	-1.417	-1.1215	-0.809	-1.1225	-0.7315	0.4865	0.169	-2.958	-3.512	-2.719	-2.2345	-0.5	-0.9655
"YPL226W"	-3.002	-2.4945	-4.183	-4.86566666666667	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-4.0095	-3.407	-2.9025	-3.983	0.4195	-0.11	-0.8535	0.0465	-0.253	-1.60566666666667	-0.3455	-3.215	-0.148	-0.0335	-1.697	-2.3	-1.5835	-1.8595	-2.5885	-1.7665	-0.3005	-1.077	-3.519	-3.811	-3.004	-2.748	-0.358	-1.471
"YPR110C"	-3.084	-2.507	-3.728	-5.7185	-3.133	-3.662	-6.318	-2.6255	-3.01	-3.88	-2.993	-3.212	-3.358	0.316	0.196	-0.882	0.102	0.137	-1.359	-0.638	-3.168	0.048	0.305	-1.321	-1.628	-0.902	-1.537	-1.899	-1.179	0.449	0.037	-1.853	-3.882	-3.113	-2.597	-0.629	-1.842
