	"53.Elutriation2:Sample2:Time2.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"977.wt_plus_gamma_10_min"	"1009.YPD 2 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1250.mec1_plus_gamma_10_min"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34348.wt_hypo_osmotic_shock_7min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34357.batch 02X25 1"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YDL222C"	-0.805	4.852	5.532	5.359	5.486	4.18	3.112	4.452	4.933	5.493	-0.784	1.557	0.882	1.225	3.042	1.765	3.588	2.273	2.058	0.808	0.714	0.576	-0.762	0.361	2.26	1.652	-0.82	0.766	-0.363	0.29	1.782	2.326	1.989	3.739	3.922	3.845	1.796	2.785	2.677	0.887	2.359	5.7	4.364	5.632	3.848	2.43	4.011	1.077	6.788	0.506	-0.042	-0.659	-0.057	0.358	-0.315	-0.503	-1.047	-1.696	-2.298
"YDR101C"	0.793	-3.098	-3.513	-3.593	-3.404	-1.887	-1.88	-3.0	-3.74	-3.659	-0.255	-2.357	-1.309	-0.561	-2.603	-2.204	-1.77	-1.32	-4.306	-4.145	-4.667	-1.541	0.188	-2.862	-3.177	-3.516	-0.076	-1.153	0.45	0.292	-1.45	-2.426	-1.252	-2.295	-2.352	-1.867	-2.185	-2.477	-2.261	-1.341	-1.291	-3.253	-2.526	-3.244	-2.428	-1.704	-3.315	-2.327	-3.048	-0.134	-0.516	-0.548	-0.124	-0.361	-0.282	-0.567	0.67	-0.061	0.233
"YDR165W"	0.471	-2.444	-3.154	-3.024	-2.85	-1.603	-1.053	-2.419	-2.874	-2.762	0.856	-1.702	-1.335	-0.712	-2.006	-1.752	-1.294	-0.968	-4.096	-3.111	-5.309	-1.215	0.127	-1.767	-2.409	-2.23	0.203	-0.547	0.386	0.356	-0.999	-1.398	-0.784	-1.455	-2.129	-1.683	-0.891	-1.967	-1.516	-0.889	-1.145	-2.787	-1.7495	-3.068	-1.809	-1.222	-3.533	-1.545	-3.205	0.008	-0.501	-0.349	-0.179	-0.187	-0.234	-0.472	0.067	-0.111	-0.057
"YDR312W"	0.597	-3.406	-3.237	-2.732	-2.335	-1.08	-0.918	-2.086	-2.512	-2.345	0.927	-1.579	-1.303	-0.058	-2.137	-2.099	-1.48	-1.004	-2.564	-2.612	-3.564	-0.18	0.007	-2.214	-2.451	-2.68	0.192	0.256	0.069	-0.149	-0.762	-1.7	-0.899	-1.445	-2.148	-1.425	-0.951	-1.776	-2.069	-0.955	-0.466	-3.04	-1.795	-2.314	-0.925	-0.884	-1.418	-0.837	-2.572	0.275	-0.027	-0.098	0.026	-0.078	-0.236	-0.237	-0.064	0.11	1.031
"YDR361C"	0.813	-2.014	-2.862	-3.79	-3.438	-1.872	-1.896	-3.115	-3.356	-3.263	-0.145	-2.99	-2.171	-0.315	-2.149	-2.256	-1.868	-1.139	-3.61	-1.945	-3.634	-1.074	-0.081	-1.477	-2.005	-1.44	0.238	-1.15	0.24	0.308	-1.544	-1.049	-1.222	-1.071	-1.767	-1.519	-0.855	-1.74	-1.823	-0.814	-1.541	-3.92	-1.975	-2.614	-2.362	-1.056	-3.229	-2.131	-3.998	-0.266	-0.55	-0.357	-0.204	-0.297	-0.298	-0.165	0.291	0.174	0.525
"YER126C"	0.99	-2.129	-3.132	-5.661	-2.634	-1.396	-1.83	-3.488	-4.626	-4.459	-0.197	-1.767	-0.431	-0.324	-2.571	-2.383	-1.734	-0.766	-4.455	-2.608	-5.367	-0.569	0.014	-1.575	-2.584	-2.842	0.569	-0.562	0.234	0.192	-1.183	-2.191	-1.344	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	-1.087	-1.491	-5.253	-3.7255	-5.806	-2.916	-0.975	-3.166	-1.501	-3.761	0.022	-0.309	-0.361	0.249	0.107	-0.157	-0.183	0.597	0.148	0.651
"YFR001W"	0.608	-1.696	-2.565	-2.31	-2.237	-1.779	-1.424	-2.131	-3.2	-3.268	1.034	-2.06	-1.647	-0.694	-1.917	-1.672	-1.472	-1.166	-1.395	-2.138	-3.337	-0.672	-0.15	-1.731	-2.216	-2.13	0.593	-0.823	0.294	0.458	-1.205	-1.23	-1.094	-1.659	-2.311	-2.148	-1.004	-2.022	-2.164	-0.769	-1.556	-2.982	-1.952	-1.484	-0.893	-0.814	-1.535	-1.182	-2.389	-0.24	-0.606	-0.513	0.0	-0.021	-0.316	-0.201	-0.198	0.343	0.849
"YGL171W"	0.753	-3.422	-4.302	3.479	-4.243	-1.503	-2.269	-2.091	-3.818	-3.208	0.21	-2.42	-1.431	-0.954	-3.432	-3.363	-2.576	-1.644	-5.822	-2.903	-4.649	-1.168	0.029	-2.292	-3.082	-2.503	-0.127	-0.638	0.195	0.047	-1.805	-2.1	-1.31	-2.007	-3.247	-2.573	-1.828	-2.897	-2.938	-1.474	-1.607	-3.658	-2.994	-3.355	-2.839	-1.317	-2.722	-2.171	-3.848	-0.223	-0.364	-0.307	0.041	0.057	-0.127	-0.237	-0.027	-0.111	0.589
"YGR128C"	0.534	-2.88	-2.985	-2.926	-3.042	-1.3415	-1.357	-2.4315	-3.197	-2.749	0.909	-1.641	-1.342	-0.394	-2.282	-2.352	-1.509	-0.92	-3.032	-2.66	-4.271	-1.003	-0.071	-2.017	-3.037	-2.679	0.065	-0.442	0.349	0.275	-0.8	-1.961	-0.961	-1.643	-2.422	-1.522	-1.405	-1.874	-1.85	-1.024	-1.173	-2.534	-3.083	-2.714	-1.919	-0.878	-1.414	-0.404	-0.921	-0.54	-0.378	-0.457	-0.005	-0.091	-0.41	-0.46	0.393	-0.324	0.288
"YGR160W"	1.336	-5.206	-6.235	-5.8935	-5.9475	-4.248	-3.6965	-5.567	-6.207	-4.6575	1.047	-1.851	-1.159	-1.161	-3.134	-2.687	-2.046	-1.56	-4.796	-2.479	NaN	-1.382	0.109	-3.544	-4.076	-4.24	0.93	-1.603	0.391	0.225	-1.511	-3.109	-0.6445	-3.117	-3.857	-2.834	-2.737	-3.507	-3.412	-2.317	-2.325	-6.3385	-4.147	-4.64	-4.207	-2.649	-4.966	-4.293	-4.708	-0.527	-1.013	-0.968	-0.175	-0.672	-0.712	-0.875	0.42	-0.578	0.905
"YGR245C"	0.922	-2.6095	-5.097	-5.457	-5.1995	-3.444	-2.66	-3.9345	-4.2355	-3.9115	0.668	-2.429	-1.585	-1.372	-3.099	-3.022	-2.579	-1.802	-4.207	-2.482	-3.799	-1.387	-0.049	-2.194	-2.446	-3.203	0.574	-0.952	0.283	0.157	-2.04	-1.64	-1.91	-1.451	-2.621	-2.539	-1.117	-2.046	-2.492	-1.821	-2.034	-4.6765	NaN	-4.281	-2.645	-1.008	-2.373	-2.036	-3.415	-0.051	-0.015	-0.429	0.173	0.164	-0.386	-0.142	0.249	-0.364	-0.415
"YHL011C"	0.876	-2.166	-2.744	-2.4425	-2.467	-1.4255	-0.997	-2.107	-3.0145	-3.024	-0.102	-1.337	-1.155	-0.821	-1.603	-1.5	-0.737	-0.626	-2.604	-2.023	-3.592	-0.987	0.22	-1.25	-1.552	-1.5	-0.053	-0.174	0.144	0.142	-0.422	-1.129	-1.111	-1.019	-1.859	-1.437	-1.066	-2.057	-2.013	-0.231	-0.296	-3.2715	-1.872	-2.38	-1.532	-0.563	-2.437	-0.978	-2.086	0.092	0.024	-0.485	0.438	0.296	0.133	-0.091	0.288	-0.085	0.253
"YHR020W"	0.622	-1.45	-2.592	-2.9105	-3.22	-1.1335	-1.6135	-2.5795	-3.3085	-3.731	-0.255	-1.683	-0.828	-0.614	-1.864	-2.358	-1.797	-1.288	-4.019	-2.69	-4.045	-0.671	0.286	-1.718	-2.26	-2.19	-0.325	-0.348	1.959	NaN	-0.73	-1.46	-1.636	-1.212	-2.165	-1.735	-1.186	-1.753	-2.038	-1.172	-1.643	-3.5805	-2.847	-3.021	-1.53	-0.342	-2.574	-0.324	-3.861	0.367	0.65	0.119	0.147	0.381	0.594	0.234	0.286	0.05	0.056
"YHR052W"	0.927	-3.848	-4.2445	-2.638	-3.5175	-2.1725	-1.499	-3.5215	-4.3935	-3.9395	0.916	-2.069	-1.327	-0.687	-1.975	-1.663	-1.389	-0.911	-4.199	-2.598	-4.447	-0.902	-0.107	-2.182	-2.764	-1.203	-0.286	-0.374	0.146	-0.008	-2.71	-2.447	-1.0745	-2.417	-2.621	-1.95	-1.349	-2.318	-2.298	-1.184	-1.408	-4.9395	-2.641	-2.827	-1.875	-1.073	-2.212	-0.857	-3.47	0.131	-0.314	-0.663	0.026	-0.135	-0.22	0.092	0.208	-0.393	0.411
"YHR066W"	0.511	-2.6315	-3.7505	-3.058	-3.0515	-1.2655	-1.4695	-2.9815	-3.762	-3.552	1.083	-1.966	-1.468	-0.142	-2.473	-2.073	-1.432	-1.036	-4.885	-3.164	-5.203	-0.287	-0.274	-1.879	-2.539	-1.923	0.968	0.113	0.136	0.097	-1.0	-2.029	-0.9025	-1.659	-2.447	-1.738	-1.335	-2.494	-2.346	-1.151	-1.507	-4.347	-3.667	-3.068	-1.906	-1.292	-2.219	-0.845	-2.382	-0.01	-0.094	-0.536	-0.19	-0.159	-0.241	-0.306	0.099	-0.544	0.18
"YHR069C"	0.39	-0.922	-1.337	-1.3575	-2.037	-0.3545	-0.675	-1.0745	-1.995	-2.0825	0.611	-1.076	-0.559	-0.198	-1.368	-1.253	-0.719	-0.244	-1.296	-1.447	-4.482	-0.093	-0.134	-0.848	-2.012	-1.571	0.65	-0.134	0.074	0.075	-0.435	-0.883	-0.587	-0.658	-1.008	-1.047	-0.856	-1.437	-1.578	-0.408	-0.481	-2.1605	-1.126	-2.228	-0.947	-0.834	-0.946	0.156	-0.905	-0.433	-0.256	-0.468	-0.307	-0.02	-0.273	-0.505	-0.377	-0.359	-0.512
"YHR170W"	0.924	-3.765	-5.3995	-6.3835	-4.622	-2.4275	-2.085	-4.14	-4.723	-3.947	-0.734	-2.797	-1.852	NaN	-2.518	-2.551	-1.78	-1.288	-4.51	-2.573	-4.858	-0.994	0.213	-2.036	-2.758	-2.443	-0.241	-0.488	0.154	0.418	-1.321	-1.659	-1.9105	-1.725	-2.244	-2.093	-0.835	-1.733	-1.888	-1.598	-1.391	-5.252	-1.963	-3.576	-2.405	-1.181	-2.772	-2.333	-3.601	-0.394	-0.506	-0.782	-0.298	-0.411	-0.501	-0.59	-0.051	-0.187	-0.107
"YIL131C"	0.018	-0.2255	-1.085	-1.6205	-2.0535	-1.007	-0.8195	-1.189	-1.73	-1.71	0.103	-0.916	-0.384	-0.408	-0.651	-0.986	-0.732	-0.22	-2.024	-2.028	-4.479	-0.767	-0.273	-1.725	-2.595	-1.95	0.077	-0.177	0.11	-0.068	0.212	-1.215	-1.002	-1.236	-1.731	-1.687	-0.887	-1.27	-1.135	-0.903	-0.246	-1.52	-1.242	-1.881	-0.961	0.503	-0.751	0.1	-1.787	0.152	0.392	0.351	-0.231	-0.346	0.174	0.191	0.289	-0.168	-0.376
"YJL034W"	-0.116	2.3345	2.3265	1.6115	1.0535	1.4205	0.779	2.095	2.375	2.4665	0.409	2.767	2.386	-0.017	1.605	1.493	1.882	1.95	-0.72	-1.542	-3.805	-0.508	0.419	-2.417	-3.286	-3.187	-0.055	-0.73	0.442	0.379	1.44	-0.465	1.917	-0.533	-2.08	-0.121	-0.702	-0.167	-0.223	0.88	0.847	2.325	-0.595	2.567	1.781	1.118	2.266	2.209	0.324	0.353	0.586	1.14	-0.068	0.189	0.244	0.545	0.354	0.193	0.176
"YJR063W"	0.29	-2.0025	-2.675	-1.716	-2.1255	-1.323	-0.9985	-2.576	-2.555	-2.2705	0.234	-1.634	-1.035	-0.263	-1.453	-1.153	-0.993	-0.608	-3.233	-2.37	-3.68	-0.813	-0.062	-1.715	-2.078	-1.317	-0.534	-0.321	0.084	-0.358	-0.48	-1.662	-0.885	-2.045	-1.804	-1.2	-1.258	-1.476	-1.422	-0.732	-1.182	-3.415	-1.705	-1.276	-1.173	-0.947	-2.068	-0.94	-2.958	-0.187	-0.411	-0.338	0.002	-0.218	-0.214	-0.265	0.611	0.035	0.527
"YJR070C"	0.844	-3.0685	-4.6905	-4.6305	-4.824	-1.8185	-2.426	-3.895	-4.828	-4.332	0.143	-2.253	-1.098	-1.079	-2.536	-2.577	-1.538	-0.712	-5.317	-3.511	-7.226	-1.615	0.391	-1.463	-2.254	-2.322	-0.276	-0.865	0.257	0.238	-1.418	-0.876	-1.6565	-0.684	-2.306	-2.277	-1.265	-2.616	-3.193	-1.079	-2.021	-4.7655	-3.782	-3.81	-2.429	-1.002	-4.096	-1.614	-3.754	-0.098	-0.027	-0.395	0.052	0.084	-0.137	-0.364	0.604	0.154	0.642
"YKL103C"	-0.909	3.901	4.422	4.528	4.114	3.959	2.741	3.921	4.231	4.041	0.299	2.448	1.749	1.816	3.367	3.367	3.61	3.041	3.523	-0.295	-2.533	1.927	0.387	-1.098	0.032	-0.423	0.346	1.74	-0.011	0.258	2.513	2.137	2.308	1.72	2.804	3.086	0.852	1.841	2.296	1.357	1.289	4.119	1.384	3.183	2.564	1.652	3.995	2.43	2.724	0.531	0.863	0.748	0.311	0.406	-0.386	0.114	-0.479	0.125	-0.235
"YKL109W"	-0.2	2.832	3.026	2.525	2.615	1.098	0.101	2.322	2.127	2.389	-0.112	0.416	-0.523	-1.408	0.622	-0.073	-0.43	-1.21	3.944	3.232	3.376	-0.941	1.267	3.054	2.687	2.59	0.378	-1.342	0.258	0.703	-0.653	1.006	-0.182	-0.206	-0.459	-0.369	-0.185	0.112	-0.101	-0.744	0.515	2.019	-0.019	0.877	0.587	0.166	0.734	-0.338	3.231	-0.155	-0.104	-0.005	-0.15	0.245	0.506	0.542	-0.286	0.355	0.234
"YKL129C"	-0.205	1.194	1.591	1.769	1.397	1.336	0.583	1.562	1.524	1.295	-0.35	0.745	-0.604	0.77	0.22	0.667	0.318	-0.036	0.848	-1.289	-2.121	0.565	-0.059	-1.232	-1.396	-1.463	0.557	0.177	0.059	-0.067	1.214	0.969	1.191	0.853	0.942	0.824	0.653	0.764	0.901	0.275	0.286	1.684	0.345	0.175	0.308	-0.316	1.149	1.442	1.112	0.151	0.462	0.003	0.141	0.381	-0.103	0.131	0.086	-0.211	-0.315
"YKR056W"	0.542	-3.646	-4.01	-3.863	-3.872	-1.682	-1.497	-2.945	-3.217	-3.127	0.432	-1.683	-1.237	-0.546	-2.718	-2.101	-1.554	-1.038	-4.495	-3.298	-4.34	-0.643	-0.137	-2.627	-3.787	-3.544	0.803	-0.397	0.402	0.173	-1.048	-2.462	-0.816	-1.933	-2.896	-1.713	-1.662	-3.105	-2.539	-1.058	-0.763	-3.682	-0.997	-2.586	-2.146	-1.597	-2.061	-1.311	-3.056	-0.248	-0.697	-0.631	-0.318	-0.44	-0.432	-0.462	0.164	-0.439	0.069
"YKR066C"	-0.054	2.624	2.51	1.788	1.413	1.918	0.448	1.608	2.365	2.919	-0.485	0.043	0.261	0.457	1.228	1.185	0.628	0.406	1.967	2.009	1.166	0.516	-0.328	0.451	1.072	1.206	-0.507	0.073	-0.042	0.373	0.916	1.471	0.612	0.936	1.508	1.253	0.934	1.338	1.462	-0.011	0.288	3.045	1.277	1.743	1.815	0.261	1.151	0.785	2.047	0.014	0.786	0.298	-0.064	0.428	0.47	0.321	-0.195	-0.231	-0.442
"YKR081C"	0.767	-4.01	-4.459	-3.157	-3.308	-1.663	-1.493	-1.58	-3.81	-3.431	-0.38	-1.773	-1.322	-0.464	-2.342	-0.41	-1.517	-1.149	-4.081	-2.08	-4.632	-1.03	-0.003	-2.282	-2.696	-2.515	-0.252	-0.396	0.298	0.326	-1.249	-2.166	-1.565	-1.865	-2.808	-1.645	-1.476	-2.276	-2.28	-1.255	-1.645	-3.505	-4.501	-2.666	-1.731	-1.18	-2.514	-1.758	-3.261	0.119	-0.326	-0.303	0.047	0.073	-0.175	-0.157	0.131	-0.463	0.842
"YLL008W"	0.543	-2.364	-4.973	-6.033	-4.981	-1.744	-2.133	-3.751	-4.808	-4.019	0.515	-2.387	-1.409	-0.896	-3.718	-3.309	-2.293	-1.589	-5.659	-2.899	-6.113	-0.835	0.022	-2.386	-2.487	-2.92	0.022	-0.611	0.212	0.142	-1.45	-1.385	-1.31	-1.558	-2.724	-1.847	-1.295	-2.071	-2.458	-1.692	-1.714	-4.642	-3.707	-4.08	-2.614	-1.681	-2.378	-1.863	-3.042	-0.169	-0.221	-0.754	-0.301	-0.145	-0.358	-0.401	-0.124	-0.345	-0.372
"YLR003C"	0.519	-2.628	-3.442	-2.921	-2.957	-1.197	-1.386	-2.644	-3.201	-3.212	0.679	-1.894	-1.589	-0.348	-2.267	-2.257	-1.657	-1.142	-3.378	-3.993	-3.267	-0.8	0.103	-2.966	-3.316	-3.421	0.641	-0.856	0.319	0.348	-1.163	-1.374	-0.962	-1.627	-1.985	-1.287	-1.157	-1.946	-1.909	-1.152	-1.447	-3.305	-1.938	-2.573	-1.447	-0.496	-2.402	-1.32	-3.839	-0.363	-0.586	-0.499	-0.294	-0.384	-0.115	-0.29	0.534	0.337	0.786
"YLR009W"	1.207	-2.705	-4.735	-4.567	-4.564	-1.981	-1.697	-2.897	-4.204	-3.864	-0.06	-2.235	-1.527	-0.652	-2.25	-2.132	-1.593	-0.994	-4.675	-2.518	-5.388	-0.764	-0.092	-2.555	-3.216	-2.799	0.296	-0.956	0.175	-0.163	-1.042	-2.459	-1.069	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	-1.908	-1.555	-4.344	-2.788	-3.436	-1.875	-1.385	-1.829	-0.663	-3.361	0.083	-0.269	-0.38	0.121	-0.057	0.079	-0.09	0.187	-0.034	0.318
