	"120.w303a vs w303a fkh1 fkh2"	"405.W303a vs GZY45-15c"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"4784.29C to 33C - 90 min"	"30773.Pomona/Brown Sir3x red"	"40957.H2O2_II_120_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YGR148C"	-0.203	-0.1815	-0.934	0.859	0.933	-3.45	-2.615	-3.884	-5.757	-3.141	-3.011	-2.956	-2.722	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.127	-0.032	-0.026	-0.091	-0.185	0.117	0.0455	-1.8265	-1.9105	-1.9535
"YGR175C"	-0.444	-0.8375	-0.186	0.477	0.493	-1.507	-1.083	-3.074	-4.5	-1.675	-0.985	-1.563	-1.196	0.5	0.085	-0.251	-2.53	-2.628	-3.285	-0.233	0.332	0.794	0.313	0.485	0.272	-1.6035	-1.6305	-1.1105	-1.5295
"YGR214W"	-0.737	-0.2245	-1.254	0.967	0.903	-4.3	-2.776	-3.03	-5.16	-3.581	-2.953	-2.7	-1.615	-1.984	-2.119	-1.46	-0.955	-1.925	-3.246	0.302	-0.062	0.371	-0.154	0.437	-0.096	-1.173	-2.769	-1.662	-2.448
"YHL033C"	-0.345	-0.1635	-0.792	1.299	1.093	-3.758	-2.205	-3.984	-6.65	-3.056	-3.153	-3.005	-2.318	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.264	-0.265	0.086	0.032	0.253	0.265	-1.007	-1.998	-2.029	-2.273
"YHR010W"	-0.475	-0.121	-0.678	1.068	0.826	-3.693	-3.025	-3.508	-4.514	-3.343	-3.288	-3.007	-2.769	-2.399	-2.244	-2.541	-1.71	-2.032	-2.684	0.271	0.221	0.535	0.214	0.139	-0.571	-1.568	-2.33	-2.466	-2.436
"YHR019C"	-0.45	0.206	-1.258	0.875	0.762	-2.949	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-2.76	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.046	-0.179	0.345	0.011	0.426	0.257	-1.501	0.45	-1.071	-2.063
"YHR072W"	-0.531	-0.4435	-0.962	0.676	0.604	-1.051	-0.532	-1.575	-3.144	-1.309	-1.149	-0.816	-0.747	-0.303	-0.501	-0.761	-0.248	-0.722	-1.53	-0.098	-0.325	0.203	-0.4	0.297	0.414	-0.534	-1.813	-0.992	-2.388
"YHR179W"	-0.344	-0.587	-1.879	0.505	0.505	-2.165	-1.311	-3.188	-4.68	-1.089	-0.861	-1.054	-1.483	-1.674	-1.236	-2.035	-3.086	-5.251	-4.091	0.103	-0.014	0.465	0.017	-0.035	0.199	-0.468	0.922	2.413	1.542
"YHR201C"	-0.351	-0.2585	-1.351	0.454	0.447	-0.362	-1.721	-1.811	-4.155	-0.686	-0.926	-1.009	-1.505	-1.228	-1.193	-1.428	-1.103	-1.632	-2.134	-0.078	0.367	-0.037	-0.009	-0.198	0.181	-1.229	-1.963	-1.803	-2.003
"YHR203C"	-0.283	-0.066	-2.628	1.011	0.884	-3.926	-2.895	-3.782	-5.944	-3.917	-3.774	-3.412	-3.049	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.219	0.108	0.243	-0.087	0.345	0.138	-1.476	-2.385	-2.351	-2.356
"YIL018W"	-0.753	-0.4095	-1.109	1.177	1.056	-4.365	-2.78	-3.492	-5.749	-3.362	-3.505	-3.056	-3.151	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.301	0.085	0.193	-0.012	0.443	0.152	-1.765	-2.534	-1.725	-2.409
"YIL052C"	-0.247	-0.1895	-0.87	0.998	1.136	-3.856	-3.178	-2.895	-6.278	-2.82	-2.793	-2.559	-2.622	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.265	-0.077	0.19	0.106	0.106	-0.255	-0.218	-1.332	-1.838	-0.966
"YIL078W"	-0.037	-0.2945	-1.288	0.771	0.648	-2.907	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.017	-0.021	-0.09	0.107	0.026	0.351	-1.624	-2.818	-2.344	-2.433
"YJL177W"	-0.174	0.0495	-1.171	1.042	0.893	-4.132	-2.747	-3.255	-5.49	-3.409	-3.772	-3.428	-3.164	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.263	-0.392	0.057	-0.216	0.259	-0.127	0.68	-1.949	-2.596	-1.624
"YJR047C"	-0.153	-0.2595	-1.016	0.68	0.494	-1.68	-0.619	-1.06	-3.054	-0.793	-0.663	-1.522	-1.153	-0.531	-0.923	-1.015	-0.66	-1.285	-2.504	0.113	-0.244	-0.162	-0.277	0.49	0.079	0.767	-1.131	-1.38	-1.709
"YJR123W"	-0.396	-0.034	-1.858	1.246	1.081	-3.844	-3.124	-4.381	-9.147	-3.809	-3.529	-3.442	-3.646	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.248	-0.173	0.09	-0.184	0.404	-0.629	-0.785	-3.256	-1.979	-2.851
"YKL009W"	0.057	-0.331	-1.098	1.639	1.192	-5.997	-2.449	-3.082	-6.168	-3.144	-2.368	-2.098	2.263	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	0.31	-0.868	-0.226	-0.587	-0.085	-0.274	-0.709	-1.884	-2.461	-2.02
"YKL056C"	-0.084	-0.035	-1.453	1.083	1.069	-3.205	-1.771	-3.426	-5.119	-1.914	-2.359	-2.371	-2.389	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.287	0.225	0.241	0.246	0.507	0.125	-0.916	-1.512	-2.123	-2.444
"YKL127W"	0.074	-0.076	-1.285	0.424	0.491	-1.313	-1.474	-3.89	-5.619	-1.273	-1.132	-1.708	-1.963	-0.161	-0.069	-1.171	-1.956	-2.206	-1.858	0.349	-0.123	0.368	-0.016	0.194	0.159	-0.545	-0.909	-0.714	-0.915
"YKL196C"	0.277	-0.017	-0.165	0.509	0.34	-0.912	-0.696	-0.723	-3.143	-0.662	-0.725	-0.833	-0.52	-0.49	-0.598	-0.546	-0.503	-0.744	-0.773	0.215	0.312	0.075	0.371	-0.01	-0.009	-0.758	-1.818	-0.645	-1.334
"YKR059W"	-0.214	-0.084	-0.733	1.252	0.993	-2.144	-1.54	-2.817	-4.998	-2.593	-2.103	-2.531	-2.238	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.175	-0.242	0.412	-0.066	0.714	0.219	-0.892	-1.852	-0.927	-1.138
"YKR094C"	-0.248	-0.124	-1.08	0.977	0.785	-3.138	-2.41	-2.464	-4.383	-2.102	-2.333	-1.972	-2.7	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	0.144	-0.112	-0.21	-0.2	0.129	-0.022	0.657	-1.585	-0.978	-1.398
"YLL024C"	-0.857	-0.064	-1.779	-0.655	-0.757	-1.952	-1.16	-2.574	-5.009	-1.061	-1.923	-1.621	-1.443	-0.942	-0.684	-0.85	-2.804	-3.024	-3.122	-0.098	-0.262	-0.387	-0.21	0.388	0.372	-0.902	-2.029	-2.229	-1.68
"YLR029C"	0.027	0.232	-1.619	0.903	0.831	-3.174	-3.108	-3.615	-6.877	-2.777	-2.809	-2.78	-2.648	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	0.219	0.306	0.385	0.572	0.12	0.243	-0.819	-1.645	-1.092	-1.255
"YLR056W"	-0.248	0.239	0.622	0.747	0.63	-4.337	-0.672	-3.197	-3.977	-2.405	-1.791	-1.625	-1.158	0.302	-0.397	-1.396	-2.642	-2.935	-3.507	0.259	-0.4	-0.155	-0.361	0.3	0.131	0.33	-2.265	-2.191	-1.083
"YLR060W"	-0.383	0.261	-1.157	0.614	0.566	-3.165	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	-0.235	-0.052	-0.236	0.044	0.239	0.082	-1.777	-1.909	-1.071
"YLR175W"	-0.245	-0.317	-1.501	1.304	1.12	-5.607	-3.068	-3.401	-5.468	-3.996	-3.068	-3.13	-3.152	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	0.018	-0.174	0.676	-0.12	-0.125	0.268	-1.875	-2.004	-2.356	-1.628
"YLR249W"	-1.097	-0.378	-1.649	1.219	0.978	-6.529	-3.637	-4.146	-6.742	-3.879	-4.141	-3.557	-3.199	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.174	0.168	0.035	-0.561	0.519	0.414	-1.965	-2.727	-2.013	-3.381
"YLR293C"	-0.019	-0.046	-1.282	0.877	1.013	-3.594	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	-0.556	-0.186	-0.54	0.46	0.092	0.336	-1.028	-2.46	-1.731
"YLR301W"	0.369	0.389	-1.068	0.003	0.124	-2.642	-1.84	-3.676	-5.415	-1.53	-1.429	-1.605	-2.439	-1.36	-0.925	-1.325	-2.581	-2.218	-2.268	-0.063	0.46	-0.012	0.25	0.197	0.093	0.409	-0.965	-0.836	-0.836
"YLR339C"	-0.602	-0.114	-1.371	0.66	0.586	-3.243	-3.76	-4.988	-6.865	-2.453	-3.194	-3.201	-2.938	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	0.472	-0.403	0.214	0.006	0.475	0.106	0.542	-3.282	-1.484	-1.546
"YLR340W"	-0.724	-0.068	-1.031	1.164	0.822	-2.59	-2.876	-4.11	-6.819	-2.128	-2.646	-3.015	-2.689	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	0.223	-0.219	0.399	0.112	0.593	0.222	0.015	-2.253	-1.541	-1.324
"YLR388W"	-0.012	0.116	-0.744	1.145	0.956	-3.12	-1.738	-3.596	-5.506	-3.204	-3.058	-2.742	-2.362	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.289	0.074	0.428	0.299	0.381	0.076	0.073	-1.571	-1.036	-2.105
"YLR432W"	-0.229	-0.178	-1.179	0.949	0.793	-2.58	-2.129	-3.532	-5.65	-2.412	-2.49	-3.15	-3.001	-0.9	-1.997	-2.641	-1.934	-2.482	-3.034	-0.128	-0.165	0.302	-0.101	0.423	0.244	-0.693	1.592	-1.607	-1.779
"YML106W"	0.037	0.04	-0.407	1.074	0.733	-1.425	-0.968	-2.297	-3.649	-1.636	-1.809	-2.071	-1.349	-0.814	-1.501	-1.583	-1.423	-1.467	-1.771	0.064	0.098	0.506	0.24	0.459	0.074	0.527	-0.249	-1.269	-1.122
"YMR235C"	0.287	-0.038	-1.348	0.731	0.601	-1.54	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.037	0.216	0.478	0.251	0.002	0.1645	-0.929	-0.814	-0.572	-1.292
"YMR242C"	0.034	0.071	-1.39	1.333	1.294	-4.702	-3.032	-3.971	-6.226	-3.832	-4.338	-3.636	-3.62	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.288	0.037	0.25	0.061	0.24	0.1305	-0.048	-1.097	-0.925	-1.911
"YNL010W"	0.273	0.293	-1.069	0.664	0.776	-1.718	-2.892	-1.296	-4.52	-1.758	-1.467	-1.922	-2.057	-1.502	-1.834	-1.936	-2.483	-2.738	-3.396	0.035	0.469	-0.174	0.173	0.159	0.1305	-0.678	-2.243	-1.278	-1.77
"YNL085W"	-0.017	-0.21	-0.656	0.149	0.132	-0.849	-0.991	-2.342	-5.369	-1.302	-1.277	-1.365	-1.115	-0.652	-1.668	-1.484	-2.001	-2.706	-3.291	-0.027	-0.094	-0.049	0.015	0.173	0.3045	-0.75	-1.738	-1.942	-2.348
"YNL096C"	-0.487	-0.383	-1.968	0.749	0.741	-4.113	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.182	-0.148	-0.411	-0.297	-0.053	0.112	-0.339	-1.923	-2.086	-2.629
"YNL111C"	0.113	-0.602	-0.645	0.541	0.506	-3.314	-1.759	-2.884	-4.012	-2.336	-2.275	-1.42	-1.342	-0.974	-1.478	-1.513	-1.911	-1.834	-1.049	-0.196	-0.684	-0.496	-0.569	0.465	-0.111	-0.038	-1.618	-1.731	-1.492
"YNL119W"	-0.361	-0.222	-0.865	1.033	0.844	-6.697	-3.337	-5.354	-6.231	-3.359	-3.366	-2.99	-2.998	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.011	0.014	0.251	-0.011	0.302	0.129	-0.909	-2.147	-1.577	-2.961
"YNL291C"	-0.137	-0.041	-0.394	0.49	0.525	-1.038	-0.405	-2.472	-4.479	-1.065	-0.793	-0.594	-1.114	-0.715	-0.864	-0.702	-1.166	-1.572	-1.833	-0.154	0.123	0.287	-0.04	0.424	0.114	0.263	0.555	-0.799	0.963
"YNR043W"	-0.639	-0.35	-1.019	0.308	0.7105	-3.5005	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.223	-0.498	-0.138	-0.424	0.617	0.113	-0.991	-1.206	-1.566	-1.211
"YOL077C"	-0.052	-0.325	-0.775	1.273	-0.096	-5.186	-2.79	-3.02	-6.552	-4.174	-0.219	-2.917	-1.374	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	0.035	-0.034	-0.01	-0.626	-0.003	0.014	-1.394	-3.886	-1.894	-2.036
"YOL097C"	-0.555	-0.193	-1.34	0.582	0.175	-4.26	-2.768	-0.491	-6.314	-2.427	-2.464	-0.2345	-1.513	-2.063	-2.609	-2.685	-3.398	-4.044	-4.151	-0.099	-0.196	0.243	-0.151	-0.054	0.149	-0.386	-2.829	-2.315	-1.6
"YOR276W"	0.13	-0.233	-0.599	0.917	0.847	-2.1185	-1.655	-3.943	-4.3595	-1.8885	-1.44	-1.99	-1.6405	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	0.074	-0.192	-0.077	-0.215	0.045	0.198	-0.983	-1.296	-1.878	-1.64
"YOR293W"	-0.364	0.093	-1.549	0.782	0.753	-4.155	-2.697	-2.7875	-4.496	-3.442	-3.1085	-3.0195	-2.64	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	0.213	-0.104	-0.011	-0.114	0.387	0.035	-1.159	-1.721	-2.319	-2.251
"YOR310C"	-0.231	-0.383	-1.081	1.223	1.0465	-6.006	-3.319	-4.7765	-7.1385	-3.766	-3.585	-3.5415	-2.603	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	-0.06	-0.458	0.261	-0.375	0.02	0.099	-0.271	-2.448	-1.956	-1.711
"YOR312C"	-0.094	-0.056	-0.553	1.167	0.9475	-3.8645	-2.2895	-3.3005	-4.8175	-2.99	-3.177	-3.0	-2.5975	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	-0.004	-0.226	0.164	-0.184	0.238	-0.008	-0.156	-1.325	-1.319	-1.228
