	"585.21 deg growth"	"598.29 deg growth"	"814.DBYmsn2-4- 37degree heat - 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1252.mec1_plus_gamma_30_min"	"2554.Hypo-osmotic shock -15 minutes"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"7540.pRS-ROX1 GAL media"	"8521.dun1- + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12741.Nitrogen Depletion 1 h"	"30773.Pomona/Brown Sir3x red"	"32250.DBY8778_heat_shock2_0min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33258.delKIN82_heat shock _5min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YDR091C"	-0.14	0.007	-1.219	-0.155	-3.288	-1.547	-1.362	-3.384	-2.268	-2.971	-1.728	-2.044	-2.636	-3.222	-3.423	-0.204	0.11	0.078	-0.12	-0.128	0.11	-0.898	-0.452	-0.973	-0.379	-0.684	-0.444	-0.319	-0.397	-0.533	-0.24	-2.31	-1.977	-1.695	-1.907	-1.535	-1.821	0.205	-0.394	-2.647	-1.715	-1.898	-0.683	-1.32	-0.735	-1.764	-1.645	-0.2	-3.117	-2.299	-1.712	-2.953	-2.242	-1.817	-1.095	-1.864	-2.241	-1.869	-1.953	-2.635	-2.297
"YDR262W"	0.2825	-0.0135	0.535	0.2665	1.7335	2.6665	3.1335	3.3725	1.473	2.2555	3.0895	3.2615	4.491	4.8085	4.03	-0.2655	0.0065	-0.471	-0.118	-0.1735	0.1505	-0.4055	0.241	0.067	0.2715	0.269	0.129	0.1975	0.2645	0.259	0.327	1.5505	2.226	2.8725	2.6455	3.067	0.5795	-0.2305	0.1705	1.1785	1.69	1.7205	1.854	2.2475	1.8935	1.645	0.062	0.301	2.14	2.6925	2.8525	1.7955	2.334	2.1775	2.708	1.5025	2.064	2.2825	1.0145	1.2705	1.545
"YDR275W"	-0.1375	-0.36	0.1025	0.2305	1.553	3.009	3.1575	3.166	0.947	1.749	2.324	3.0055	1.5585	2.794	2.3525	-0.565	0.1195	-1.162	-0.453	-0.3825	-0.0385	-0.186	0.236	-0.3245	-0.3615	0.3325	0.1715	0.3595	0.4455	-0.5255	-0.418	1.1725	1.796	2.3905	2.416	2.4885	0.44	-0.1705	0.5085	NaN	1.895	2.0795	2.622	1.511	2.6505	1.4915	0.2725	0.6765	1.086	2.1325	2.2755	1.091	1.3175	1.8335	2.0735	-0.047	2.0975	1.977	1.205	1.532	1.886
"YER084W"	0.465	-0.458	-0.292	-0.388	1.668	2.564	1.484	1.357	0.782	0.474	1.559	0.938	3.401	3.695	2.476	-0.088	-0.47	-0.166	-0.496	-0.433	-0.041	0.176	-0.492	-0.014	-0.534	-0.925	-0.962	-0.678	-0.803	-0.339	-0.7	-0.148	0.11	0.644	0.389	1.085	-0.104	-0.461	0.402	1.924	1.382	2.287	2.274	2.195	2.005	1.275	0.852	1.128	1.863	1.733	1.775	2.413	1.995	1.317	2.099	0.72	0.745	0.653	0.255	0.48	0.164
"YFL020C"	0.154	-0.139	0.31	0.716	1.022	1.349	1.595	1.176	0.877	1.275	1.239	1.256	1.361	1.219	1.153	-0.485	-0.057	-1.058	0.11	-0.226	-0.008	0.196	0.237	0.47	0.977	0.23	0.167	0.376	0.462	0.244	0.518	0.638	0.806	0.814	0.69	0.711	0.429	-0.015	0.534	NaN	2.984	NaN	2.654	NaN	NaN	NaN	0.613	0.615	3.449	2.349	1.517	1.735	1.133	1.815	2.137	1.348	2.488	1.923	2.419	2.591	2.372
"YGR256W"	-0.224	-0.312	-0.03	0.404	3.72	3.059	2.565	1.047	3.158	1.308	2.298	3.218	1.733	1.439	0.241	-0.984	0.011	-0.197	-0.247	0.051	NaN	0.019	0.173	0.24	0.102	-0.141	-0.027	0.004	-0.043	0.211	0.286	0.123	1.11	1.793	1.519	1.772	-0.113	0.448	-1.087	2.811	5.367	5.613	5.601	4.874	4.957	5.039	0.707	-0.149	5.292	4.157	4.348	5.625	4.269	3.003	5.491	4.817	3.603	2.748	2.442	2.964	2.81
"YGR264C"	0.075	0.044	-1.067	0.305	-3.787	-2.945	-3.206	-5.206	-3.321	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	-0.043	0.316	0.465	0.495	0.275	-0.079	-1.112	-0.135	-0.026	-0.422	0.03	0.069	-0.052	-0.149	-0.043	-0.037	-2.274	-2.246	-2.287	-2.376	-2.353	-1.144	0.669	0.321	-1.289	-2.725	-1.776	-2.271	-1.973	-2.386	-2.307	0.715	1.782	-3.556	-2.673	-1.736	-3.33	-3.082	-1.962	-2.066	-1.773	-2.661	-1.432	-1.585	-2.247	-2.462
"YHR053C"	-0.828	-0.009	1.65	0.432	-0.4	1.315	1.532	1.371	4.712	0.369	3.055	3.892	2.475	2.282	2.329	0.591	1.01	0.942	0.639	0.464	-0.06	0.464	0.757	0.538	-0.669	0.782	0.506	0.151	0.275	0.1325	-0.6155	0.988	2.241	2.632	3.38	3.667	-0.451	0.081	1.157	3.628	3.119	4.476	3.667	3.217	3.14	3.712	0.961	1.331	3.32	3.374	3.939	0.206	2.851	2.482	4.668	2.449	3.423	3.522	2.693	2.778	3.414
"YHR068W"	0.213	0.214	-0.906	0.543	-3.316	-3.015	-2.166	-4.28	-2.52	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.081	0.003	0.072	0.132	0.041	0.241	-0.397	0.116	0.002	-0.074	0.388	0.424	0.14	0.362	-0.317	-0.0865	-2.544	-2.522	-2.438	-2.761	-2.475	-0.795	0.103	0.067	-0.805	-1.743	-2.321	-2.248	-2.194	-1.888	-2.769	1.121	1.046	-2.437	-2.467	-0.487	-2.406	-2.362	-1.8	-1.861	-2.469	-2.43	-1.87	-1.514	-1.571	-1.08
"YHR208W"	-0.316	0.311	-1.448	0.14	-3.191	-1.397	-1.898	-3.12	-2.137	-2.228	-1.232	-1.339	-2.263	-2.683	-2.939	0.387	0.497	0.303	0.434	0.293	-0.359	-0.675	0.412	-1.074	0.277	-0.304	-0.125	-0.427	-0.446	0.418	0.453	-1.932	-1.888	-1.355	-1.943	-1.719	0.113	0.189	0.154	-3.661	-3.002	-2.376	-2.423	-2.871	-3.037	-2.838	-0.195	0.324	-4.041	-3.355	-2.435	-3.596	-3.088	-2.843	-3.189	-3.035	-3.633	-2.98	-3.068	-4.177	-3.369
"YHR209W"	0.0	0.138	0.755	0.512	2.459	2.005	1.434	1.612	0.956	1.247	1.807	2.297	1.566	1.635	0.986	-0.312	0.156	-0.198	-0.274	-0.547	0.173	-0.276	0.248	0.298	0.383	0.474	0.224	0.114	0.274	0.404	0.57	0.848	1.059	1.23	1.507	1.496	0.213	0.109	-0.029	1.762	0.897	2.026	1.614	1.179	1.22	0.794	-0.229	0.269	NaN	1.24	0.798	2.567	1.491	1.015	0.691	1.044	1.053	1.518	1.261	0.679	1.607
"YIL078W"	0.168	0.067	-1.543	0.142	-2.907	-2.498	-1.911	-5.192	-2.288	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.024	0.219	0.291	0.528	0.423	0.141	-0.506	-0.204	-0.117	-0.1785	0.095	0.133	-0.002	-0.013	0.0785	0.056	-1.855	-2.573	-2.57	-2.6	-2.341	-0.622	0.351	0.333	-2.298	-1.711	-2.545	-2.032	-1.748	-2.175	-2.266	-0.039	0.414	-3.116	-1.937	-1.36	-1.996	-2.548	-1.189	-1.453	-1.391	-1.874	-1.442	-1.449	-1.625	-2.866
"YIL087C"	-0.128	-0.32	0.055	-0.336	3.671	2.39	1.61	NaN	1.187	3.174	2.187	2.42	3.014	2.869	2.391	-0.823	-0.652	-0.929	-0.586	-0.443	0.128	0.271	0.22	0.234	0.077	0.242	0.193	0.175	0.363	0.1785	0.278	1.051	1.107	1.001	0.887	0.481	0.207	-0.07	0.089	2.019	1.968	3.024	2.21	2.305	2.912	0.586	0.387	0.213	2.942	2.843	1.679	3.578	3.235	2.076	2.399	0.969	2.813	2.636	1.582	1.966	1.647
"YIR037W"	-0.053	0.018	0.646	0.028	2.365	2.554	2.21	2.393	1.617	2.657	1.864	2.343	2.858	2.315	1.399	0.663	0.344	-0.024	-0.13	-0.207	0.334	0.333	0.48	0.717	0.559	0.512	0.413	0.536	0.496	0.2645	0.6285	1.853	1.626	1.519	1.07	1.82	1.022	-0.085	0.237	2.982	2.915	3.632	2.728	2.889	3.001	1.752	1.328	0.784	2.251	2.551	1.775	2.719	2.741	2.341	2.351	1.673	1.528	1.243	1.976	2.0	1.7
"YIR038C"	0.049	-0.232	0.497	-0.214	2.688	3.422	2.764	4.672	2.091	2.776	2.764	3.481	4.704	4.358	3.022	0.763	0.084	-0.256	-0.513	-0.636	1.223	0.462	0.153	0.408	0.937	0.322	0.278	0.319	0.697	0.3085	0.961	2.428	2.533	2.361	2.143	2.408	1.357	0.043	0.499	2.117	3.369	3.88	3.662	3.895	3.896	2.382	0.528	0.343	2.945	3.199	2.621	4.229	3.133	2.934	3.154	2.478	2.331	2.376	1.258	2.237	1.889
"YJL015C"	-0.228	-0.518	-0.132	-0.113	2.844	2.491	2.168	1.691	1.386	1.9	1.844	2.505	0.978	0.561	0.236	-0.515	-0.148	-0.245	-0.249	-0.106	-0.012	0.302	-0.154	0.493	0.2105	-0.291	-0.19	-0.27	-0.141	-0.284	-0.067	0.857	0.858	1.284	1.009	1.294	0.112	-0.279	-0.339	2.104	2.686	2.687	3.477	2.837	2.18	1.984	0.3	0.676	2.092	1.401	1.512	2.743	1.901	1.166	2.36	1.776	1.899	1.725	1.461	1.833	2.671
"YJL016W"	0.0	-0.672	0.35	0.031	2.131	1.837	1.53	0.975	0.753	1.44	1.358	1.998	0.867	-0.196	0.201	-0.513	-0.246	0.013	0.005	0.12	-0.2	0.281	-0.064	0.08	-0.266	-0.361	-0.12	-0.203	-0.072	-0.076	-0.084	0.478	1.123	1.075	1.097	1.129	-0.164	-0.118	-0.203	1.808	2.544	2.558	2.858	3.254	2.722	2.107	0.822	0.458	2.392	1.989	1.685	3.118	1.983	1.482	2.508	2.088	2.246	1.573	1.735	1.783	2.559
"YJL183W"	-0.19	0.099	-0.504	0.021	-2.65	-2.434	-1.944	-2.097	-1.218	-1.695	-1.436	-1.333	-1.66	-2.208	-2.121	0.258	0.132	0.019	0.102	0.007	0.247	-0.689	-0.087	-0.03	0.0345	0.111	0.093	0.018	0.037	-0.1035	0.088	-0.935	-0.968	-0.825	-0.931	-0.987	-0.501	-0.071	-0.791	-0.504	-1.248	-1.792	-1.152	-0.899	-1.026	-1.128	-1.122	-0.514	-2.838	-2.286	-1.656	-2.116	-1.595	-1.189	-0.764	-0.546	-1.475	-0.827	-1.25	-1.346	-1.382
"YJR070C"	-0.362	0.311	-0.767	0.059	-5.317	-2.526	-3.68	-3.511	-2.777	-2.102	-1.543	-1.829	-1.463	-2.254	-2.322	-0.387	0.552	0.721	0.552	0.346	-0.067	-0.423	-0.659	-0.611	-0.5145	0.038	-0.154	-0.118	-0.208	-0.4815	-0.235	-1.125	0.259	-1.201	-0.286	-0.707	-1.195	0.168	-0.248	-3.489	-2.399	-3.628	-2.832	-1.764	-3.263	-2.232	-1.02	0.149	-3.069	-2.355	-1.434	-3.754	-3.104	-2.692	-3.23	-1.812	-2.472	-1.859	-1.337	-1.806	-1.314
"YKL081W"	0.058	0.223	-2.253	0.468	-3.858	-2.542	-3.137	-4.49	-3.157	-3.635	-3.222	-3.654	-2.997	-2.811	-3.497	-0.663	0.456	0.343	0.538	0.429	-0.042	-0.543	-0.222	-0.171	0.308	-0.33	-0.524	-0.485	-0.031	0.058	0.1115	-3.204	-3.391	-3.581	-3.709	-3.833	-2.474	0.208	0.551	-1.875	-1.899	-2.447	-2.081	-2.459	-2.252	-1.484	0.453	0.753	-3.076	-3.449	-2.509	-3.386	-3.054	-2.989	-3.704	-1.84	-2.812	-2.654	-2.135	-2.065	-2.305
"YKL093W"	-0.072	-0.114	0.501	0.118	5.448	4.525	4.208	4.369	3.212	4.872	2.916	2.536	2.725	3.515	2.14	-0.1	-0.344	-0.599	-0.223	-0.138	0.06	0.242	0.356	0.567	0.143	-0.082	-0.308	0.206	0.21	-0.047	-0.161	1.924	2.544	1.743	1.753	2.33	0.898	-0.011	-0.519	0.753	3.468	3.17	3.353	3.117	2.932	2.024	-0.26	-0.766	4.428	4.865	2.992	4.992	4.664	3.337	3.528	2.899	3.144	3.011	0.919	1.775	1.4
"YKL212W"	-0.091	0.18	-0.332	0.21	-1.431	-1.247	-1.079	-3.014	-1.065	-1.923	-1.656	-1.598	-2.516	-2.929	-3.374	0.007	0.18	0.291	0.429	0.461	-0.068	0.131	0.127	0.055	-0.011	0.293	0.323	0.166	0.112	0.088	-0.007	-0.821	-1.816	-1.943	-2.101	-2.073	-0.312	0.215	0.081	-1.416	-2.456	-1.815	-2.39	-2.691	-2.996	-2.506	0.317	-0.004	-1.052	-1.607	-1.166	-1.036	-1.481	-1.072	-1.839	-0.636	-1.336	-0.866	-1.547	-1.262	-1.421
"YKR046C"	-0.264	-0.148	0.021	-0.523	2.019	2.062	2.784	2.157	1.285	1.726	1.957	2.152	2.781	2.063	1.529	-0.804	-0.269	-0.436	-0.255	-0.036	0.186	-0.51	-1.44	-0.319	-1.827	-1.761	-2.041	-2.324	-2.052	-1.446	-2.164	1.657	2.167	2.136	2.618	1.142	0.522	0.123	-0.129	1.757	1.846	2.495	1.937	2.207	2.435	1.397	0.48	0.142	2.081	1.626	1.556	1.834	2.303	1.054	2.377	2.061	1.769	0.878	0.996	0.923	1.124
"YKR059W"	0.424	0.206	-1.601	0.58	-2.144	-1.543	-1.54	-2.817	-2.103	-2.018	-1.844	-2.106	-2.623	-2.96	-3.568	-0.244	0.483	0.544	0.673	0.499	0.062	-0.52	0.186	-0.058	0.074	0.06	-0.228	0.19	0.059	-0.134	0.243	-1.593	-1.627	-1.854	-2.344	-1.696	-1.638	0.219	0.487	-2.861	-2.639	-1.55	-1.993	-2.239	-2.057	-2.358	-0.326	0.359	-2.448	-2.0	-0.738	-2.025	-1.849	-1.284	-2.698	-1.514	-2.329	-1.931	-1.908	-2.161	-2.469
"YKR076W"	0.035	-0.567	0.639	-0.142	3.875	4.76	3.109	4.215	3.119	3.911	4.042	4.538	4.985	4.234	3.654	0.779	0.119	-0.369	-0.687	-0.33	0.449	0.727	0.741	0.366	1.194	1.289	1.314	1.172	1.054	1.055	0.796	2.489	3.59	3.693	3.257	3.773	1.894	-0.051	-0.527	2.239	2.256	2.918	2.279	1.633	2.698	1.393	0.434	-0.191	3.013	2.863	1.964	4.538	3.998	2.687	3.66	1.7	2.512	2.075	1.69	1.369	1.37
"YLL025W"	-0.2425	-0.115	0.178	0.287	1.2535	1.898	2.4405	1.1005	0.3935	1.368	1.3765	1.6155	1.706	1.66	1.3355	-0.233	-0.1165	-0.354	-0.3265	-0.0835	0.11	0.084	-0.038	0.258	0.4035	-0.1455	-0.158	-0.0035	-0.0615	0.0825	0.3615	1.2055	1.061	1.305	0.908	1.228	0.2085	-0.304	-0.301	1.184	2.012	2.162	1.013	1.173	1.433	0.832	-0.067	-0.347	0.778	0.983	1.096	1.225	1.502	1.187	0.559	0.712	1.587	1.024	0.814	1.134	1.242
"YLR060W"	-0.117	-0.153	-0.551	0.52	-3.165	-2.499	-2.849	-4.941	-1.988	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	0.236	0.264	0.276	0.199	0.224	-0.212	-0.295	-0.395	-0.091	0.437	0.156	0.423	0.185	-0.005	0.289	0.409	-1.534	-1.72	-1.77	-1.452	-2.018	-0.589	0.239	-0.409	-3.103	-3.176	-3.593	-3.552	-3.204	-4.441	-3.498	0.69	0.644	-2.734	-2.666	-1.403	-2.64	-2.996	-2.646	-3.346	-1.591	-2.55	-2.175	-2.049	-1.932	-1.459
"YLR061W"	-0.005	0.31	-1.376	0.297	-4.925	-2.908	-3.127	-4.939	-3.818	-4.326	-2.433	-2.88	-3.309	-3.833	-3.91	-0.386	0.191	0.048	0.317	0.377	0.078	-0.438	-0.216	-0.536	-0.225	0.156	0.033	0.142	0.164	0.174	0.029	-2.383	-1.368	-1.342	-1.363	-0.747	-1.87	0.031	-0.718	-1.78	-2.022	-3.05	-2.455	-2.442	-1.882	-1.358	-0.468	0.111	-2.468	-2.246	-1.804	-4.004	-2.793	-2.94	-3.717	-2.08	-2.915	-2.108	-1.781	-1.908	-1.516
