	"597.25 deg growth"	"598.29 deg growth"	"809.DBY7286 37degree heat - 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5358.1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"
"YGL253W"	0.092	0.202	0.55	-2.17	-4.666	0.013	-0.279	-0.799	-0.067	-0.348	-0.677	-1.66	-1.811	-2.803	0.038	0.034	0.079	0.594	-0.409	-1.085	-1.066	-1.143	0.673	0.642	-0.279
"YGR085C"	0.456	0.424	-1.501	-3.406	-6.059	-3.071	-3.255	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.278	0.084	0.185	-1.815	-2.722	-2.078	-1.442	-1.73	0.995	1.185	1.125
"YGR148C"	0.399	0.259	-1.796	-3.884	-5.757	-3.141	-3.011	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.022	-0.208	-0.158	-2.072	-3.258	-1.848	-1.084	-1.162	0.376	1.186	0.472
"YGR173W"	0.238	0.09	-0.708	-2.218	-3.699	-2.709	-2.065	-1.546	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	-0.074	-0.018	-0.076	-0.8395	-1.53	-1.113	-0.826	-1.177	0.709	0.511	-0.327
"YGR189C"	-0.177	-0.306	0.2705	-2.638	-4.894	-1.24	-1.054	-1.108	0.076	-0.377	-0.919	-2.106	-2.635	-2.874	0.48	0.032	-0.199	-0.0015	0.008	-1.716	-1.665	-1.411	0.299	-0.899	-0.143
"YGR285C"	0.208	0.061	-1.495	-4.078	-6.1	-1.648	-1.332	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.15	-0.78	-0.203	-1.4295	-1.682	-2.035	-2.466	-2.483	1.112	0.205	0.386
"YHL003C"	0.25	-0.1	-0.2855	-2.186	-3.084	-0.746	-0.691	0.05	-0.273	-0.886	-0.883	-1.585	-1.707	-1.741	-0.067	0.159	0.076	-0.527	-0.531	-0.996	-0.937	-1.427	-0.751	-0.768	0.728
"YHR019C"	0.12	0.039	-1.5475	-4.051	-5.077	-3.299	-2.825	-2.07	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.071	-0.182	0.107	-1.678	-2.529	-2.505	-2.098	-2.32	0.858	0.828	-0.073
"YHR020W"	-0.086	-0.216	-1.1305	-2.69	-4.045	-2.898	-3.053	-2.195	-1.642	-1.649	-1.837	-1.718	-2.26	-2.19	-0.16	-0.26	-0.214	-1.636	-2.133	-1.395	-1.192	-0.999	-0.206	0.724	0.569
"YHR023W"	-0.0855	-0.1565	-0.297666666666667	-1.6435	-2.4215	-0.2105	-0.26	-1.301	-0.5915	-1.5025	-1.4145	-1.563	-1.5635	-1.046	-0.034	0.002	0.1235	-0.382666666666667	-0.023	-0.893	-0.793	-1.1405	-0.194	0.972	-0.04
"YHR047C"	-0.3	-0.393	0.024	-3.032	-4.423	-0.188	-0.437	-0.677	-1.388	-1.632	-1.63	-1.978	-3.102	-3.056	-0.23	0.071	0.038	-0.235	-0.523	-1.223	-0.882	-1.06	-1.213	-0.558	0.248
"YHR064C"	0.042	0.035	-1.62	-3.329	-5.238	-3.074	-2.229	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.069	0.156	-0.025	-1.7365	-2.303	-2.303	-1.252	-2.419	0.493	-0.103	0.42
"YHR068W"	0.014	0.214	-1.23	-4.28	-6.532	-2.873	-2.52	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.241	0.437	-0.023	-1.4595	-2.544	-2.522	-2.438	-2.761	0.985	0.344	0.345
"YHR170W"	0.677	0.508	-1.343	-2.573	-4.858	-2.759	-2.694	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	0.037	-0.156	0.226	-1.9105	-1.546	-1.358	-0.854	-1.032	1.12	-0.517	-0.106
"YHR203C"	0.078	0.133	-1.815	-3.782	-5.944	-3.917	-3.774	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.264	0.395	-0.2	-1.9665	-3.65	-2.621	-1.497	-1.605	-0.534	1.072	-0.195
"YHR208W"	0.124	0.311	-1.117	-3.12	-4.064	-2.446	-2.137	-2.228	-1.185	-1.232	-1.339	-2.263	-2.683	-2.939	-0.359	0.115	-0.077	-1.1345	-1.932	-1.888	-1.355	-1.943	-0.304	0.164	0.747
"YIL018W"	0.057	0.234	-1.7325	-3.492	-5.749	-3.362	-3.505	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.233	-0.299	-0.126	-2.158	-3.591	-1.845	-1.798	-1.414	1.184	1.253	0.635
"YIL052C"	0.331	0.428	-1.4375	-2.895	-6.278	-2.82	-2.793	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.24	0.09	-0.094	-1.7635	-2.937	-2.008	-1.012	-1.026	1.089	-0.15	-0.882
"YIL078W"	0.155	0.067	-1.347	-5.192	-6.059	-2.282	-2.288	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.141	-0.013	0.013	-1.422	-1.855	-2.573	-2.57	-2.6	0.557	0.422	0.834
"YIL133C"	0.212	0.26	-1.6275	-2.693	-5.79	-2.93	-2.571	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.235	0.221	-0.373	-1.6925	-3.329	-1.869	-1.755	-1.812	-0.137	1.539	0.182
"YIL148W"	0.367	0.425	-0.768	-1.931	-3.41	-1.789	-2.019	-2.319	-1.404	-1.39	-1.549	-0.901	-1.348	-2.118	0.067	0.025	-0.083	-0.71	-1.447	-0.923	-0.326	-0.369	-0.763	0.549	0.436
"YJL002C"	-0.006	0.191	-0.3215	-2.469	-4.487	-1.154	-1.141	-0.96	-0.838	-0.942	-1.17	-1.748	-2.556	-2.618	-0.075	-0.054	-0.152	-0.541	-0.81	-1.155	-1.488	-1.752	-0.501	0.359	0.137
"YJL177W"	0.009	0.311	-1.6385	-3.255	-5.49	-3.409	-3.772	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.25	0.273	0.027	-1.9425	-3.809	-2.547	-1.676	-1.519	-0.164	0.793	-0.53
"YJR143C"	-0.205	0.007	-1.328	-4.675	-5.523	-2.151	-2.716	-1.799	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	0.239	0.236	-0.023	-1.3065	-1.659	-2.672	-2.162	-2.24	-0.324	-0.121	0.103
"YJR145C"	0.085	0.282	-1.7845	-3.54	-6.528	-3.551	-3.547	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.381	0.555	0.247	-1.93	-3.331	-2.272	-1.579	-1.347	-0.129	0.852	-0.206
"YKL006W"	0.18	0.546	-1.634	-2.835	-5.113	-3.049	-3.027	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	0.2	0.164	-0.331	-1.727	-3.013	-2.189	-1.848	-1.826	0.749	1.236	-0.565
"YKL014C"	-0.112	-0.429	-1.11666666666667	-2.13	-2.7895	-1.0925	-0.8005	-2.185	-1.51	-1.767	-1.4065	-1.294	-2.075	-1.805	-0.156	-0.19	-0.1305	-0.655333333333333	-2.1595	-1.22	-1.477	-1.4825	-0.9515	-0.7515	-0.243
"YKL056C"	0.064	0.293	-1.046	-3.426	-5.119	-1.914	-2.359	-2.468	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.072	0.097	-0.211	-1.1915	-1.827	-1.76	-1.251	-1.522	-0.122	0.722	0.331
"YKL072W"	-0.236	-0.296	-0.3915	-3.695	-3.566	-0.625	-0.835	-1.052	-0.907	-0.337	-0.796	-1.028	-1.93	-1.302	0.028	0.006	-0.277	-0.373	0.707	0.706	0.627	0.633	0.464	0.297	0.097
"YKL127W"	0.012	-0.007	0.574	-3.89	-5.619	-1.273	-1.132	-0.726	-0.161	-0.069	-1.171	-1.956	-2.206	-1.858	-0.364	-0.452	0.081	0.832	-0.172	-0.972	-1.023	-1.654	-0.412	-0.048	0.255
"YKL212W"	0.089	0.18	-0.228	-3.014	-4.806	-1.409	-1.065	-1.923	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	-0.068	0.176	-0.203	-0.453	-0.821	-1.816	-1.943	-2.101	1.506	-0.947	-0.229
"YKR059W"	0.397	0.206	-1.426	-2.817	-4.998	-2.593	-2.103	-2.018	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.062	0.323	0.257	-1.384	-1.593	-1.627	-1.854	-2.344	0.51	0.132	0.286
"YKR094C"	0.345	0.356	-0.895	-2.464	-4.383	-2.102	-2.333	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	0.016	0.004	-0.041	-0.882	-2.111	-1.385	-0.909	-0.711	1.119	0.388	0.256
"YLL008W"	0.007	-0.252	-1.147	-2.899	-6.113	-2.364	-2.55	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	-0.01	-0.182	-0.307	-1.31	-2.656	-1.641	-2.042	-1.447	0.093	0.757	0.263
"YLL044W"	0.279	0.218	-1.796	-3.79	-6.48	-3.313	-3.031	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.086	-0.133	-0.187	-1.906	-3.04	-1.93	-1.508	-1.37	-0.04	1.402	0.212
"YLL045C"	0.333	0.374	-1.721	-3.857	-6.618	-3.169	-3.335	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.223	0.18	-0.24	-1.965	-2.953	-1.749	-0.995	-1.237	0.494	0.844	0.356
"YLR045C"	-0.047	-0.066	-0.062	-1.804	-2.728	-0.266	-0.988	-1.631	-0.724	-1.092	-1.01	-1.829	-1.751	-2.74	-0.077	0.066	0.089	-0.682	-0.253	-1.124	-1.177	-0.419	-0.978	-0.258	0.386
"YLR062C"	-0.024	-0.017	-1.524	-5.705	-6.896	-3.6	-3.985	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.023	0.353	-0.012	-1.928	-3.446	-2.666	-1.934	-2.16	-0.642	0.738	0.118
"YLR083C"	0.064	0.124	-1.173	-3.767	-5.137	-2.718	-2.103	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	0.145	-0.129	-0.482	-1.513	-2.227	-2.339	-2.644	-3.016	-1.208	-0.772	-0.801
"YLR129W"	0.291	-0.054	-0.998	-2.877	-4.914	-3.12	-2.647	-3.861	-2.137	-1.99	-2.481	-2.714	-2.42	-3.068	0.139	-0.346	-0.357	-0.967	-2.651	-1.801	-1.628	-1.639	-0.9	0.479	0.914
"YLR167W"	0.399	0.489	-0.617	-1.761	-4.496	-1.882	-1.934	-1.894	-1.27	-1.479	-1.439	-1.334	-1.976	-2.263	0.231	0.406	-0.222	-0.688	-1.709	-0.958	-0.432	-0.496	0.525	0.145	-0.331
"YLR175W"	0.333	0.253	-1.318	-3.401	-5.468	-3.996	-3.068	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	0.21	0.163	-0.783	-1.587	-3.576	-2.388	-2.612	-2.291	0.607	0.317	-0.216
"YLR185W"	0.168	0.323	-1.355	-2.578	-5.928	-2.94	-2.559	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	-0.006	0.114	-0.025	-1.486	-3.193	-1.665	-1.248	-1.099	-0.205	0.921	0.108
"YLR196W"	0.586	0.55	-1.52	-4.437	-5.836	-2.858	-2.859	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.24	0.082	-0.701	-1.454	-2.149	-1.727	-2.058	-2.19	1.922	-0.03	0.76
"YLR208W"	0.298	0.232	-0.148	-1.968	-4.432	-1.163	-0.959	-1.032	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	-0.252	-0.148	-0.107	-0.44	-0.91	-1.398	-1.331	-1.525	-0.731	-0.311	-0.274
"YLR209C"	-0.013	-0.037	-0.217	-2.896	-3.171	0.046	-0.214	0.503	-0.089	-0.605	-0.964	-1.123	-1.447	-1.271	0.022	-0.096	0.051	-0.502	0.365	-0.76	-0.534	-0.367	-0.295	-0.331	-0.186
"YLR249W"	0.107	0.099	-2.168	-4.146	-6.742	-3.879	-4.141	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.257	-0.006	0.0	-2.345	-2.684	-2.296	-2.606	-2.316	-0.079	1.278	0.648
"YLR264W"	0.137	0.228	-1.119	-2.597	-5.152	-2.945	-2.94	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	-0.175	0.181	0.279	-1.373	-2.072	-1.844	-1.555	-1.912	0.983	1.134	0.367
"YLR293C"	-0.044	0.148	-0.547	-3.488	-6.281	-2.107	-1.751	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	-0.083	0.527	-0.733	-1.494	-1.553	-1.559	-1.887	0.383	-0.339	-0.276
"YLR314C"	0.151	-0.03	-0.251	-2.218	-5.585	-0.307	-0.846	-2.781	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	-0.075	-0.178	0.07	-0.07	-0.984	-2.48	-2.682	-2.101	-1.098	-0.966	0.389
"YLR328W"	-0.056	-0.061	0.129	-1.935	-4.106	0.105	-0.258	-0.491	-1.126	-1.037	0.634	-1.734	-2.256	-2.558	0.12	0.247	0.067	-0.169	-0.604	-1.164	-0.595	-1.437	-1.498	0.141	-0.077
"YLR333C"	0.068	0.231	-0.585	-3.011	-5.863	-3.538	-3.334	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	0.246	0.067	0.103	NaN	-2.565	-1.875	-0.853	NaN	0.305	0.801	0.399
"YLR339C"	0.118	0.259	-1.401	-4.988	-6.865	-2.453	-3.194	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	-0.052	0.02	-0.203	-1.958	-3.05	-1.944	-1.986	-1.859	0.144	-0.258	-0.921
"YLR409C"	0.097	-0.125	-0.942	-3.204	-4.211	-2.308	-2.578	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	0.013	0.033	-0.394	-1.148	-2.578	-1.602	-1.49	-1.64	0.682	0.715	0.324
"YML056C"	-0.011	0.378	-1.502	-2.698	-5.251	-3.243	-3.63	-2.774	-1.718	-2.437	-2.674	-1.337	-2.566	-2.751	-0.123	-0.279	-0.199	-1.921	-3.888	-3.29	-2.954	-3.217	1.046	0.6	0.632
"YML085C"	-0.213	-0.118	-0.296	-3.379	-4.526	-1.307	-1.049	-0.121	-0.504	-1.408	-1.564	-1.907	-2.298	-2.55	0.135	-0.219	0.102	-0.578	-0.427	-1.682	-1.451	-1.872	-0.123	-1.063	0.075
"YMR011W"	0.854	0.604	NaN	-2.802	-4.162	3.646	3.052	-2.75	-2.986	-2.517	-3.183	-2.255	-2.278	-2.421	-0.734	-0.226	-0.037	NaN	-0.547	-0.906	-1.753	-1.857	-0.386	-0.35	-0.398
"YMR015C"	-0.747	-0.3	0.353	-3.115	-4.638	-1.078	-0.281	-2.163	0.901	1.451	0.103	-2.837	-3.222	-4.784	-0.253	0.098	-0.403	-0.038	1.455	1.571	1.618	1.107	-0.762	-0.566	-0.692
"YMR242C"	0.253	0.463	-1.649	-3.971	-6.226	-3.832	-4.338	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.442	-0.025	-0.063	-1.855	-3.185	-2.447	-1.647	-1.596	-0.228	0.629	-0.424
"YMR260C"	0.113	0.272	-1.28	-2.549	-5.138	-2.251	-2.22	-3.636	-1.666	-1.968	-2.005	-1.338	-1.729	-2.229	0.124	0.092	0.066	-1.686	-1.242	-1.126	-0.737	-0.377	-0.272	0.148	0.098
"YMR308C"	0.112	0.151	-0.363	-3.091	-4.033	-1.731	-1.443	-2.386	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.006	0.227	-0.209	-0.405	-1.745	-2.395	-1.855	-2.005	0.682	-0.387	-0.543
"YNL096C"	0.013	0.286	-1.149	-4.038	-6.106	-3.331	-3.045	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	-0.048	0.063	-1.523	-3.171	-2.296	-1.647	-1.704	-0.857	-0.002	-0.88
"YNL132W"	0.149	-0.201	-1.718	-4.956	-6.392	-3.285	-3.141	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.079	0.067	0.034	-1.837	-3.487	-2.527	-2.718	-2.565	1.372	-0.886	0.268
