	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"517.2.5mM DTT 090 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"811.DES459 (mec1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"7541.DES459 (mec1) - log phase (IR time "	"7542.DES459 (mec1) - log phase (MMS time "	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8230.dtt 060 min"	"8233.dtt 120 min"	"8247.steady state 36 dec C: y14n095"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"33417.delKIN82_heat shock _60min_repeat"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"
"YHR170W"	-3.765	-5.3995	-6.3835	-4.622	-4.14	-4.723	-3.947	-1.652	-1.933	-1.877	-2.797	-2.518	-2.551	-4.51	-4.858	-2.326	-2.759	-2.149	-1.819	-0.317	0.122	-0.938	0.29	-0.425	-0.675	-1.598	-0.578	-5.252	-3.576	0.098	-0.609	-0.4	-1.441	-0.37	-0.439	-3.601	-2.58	-0.489
"YKL142W"	2.597	2.225	2.927	2.56	1.871	2.261	2.353	1.905	2.595	2.909	2.224	2.219	2.01	3.233	-0.706	1.764	2.258	2.199	2.117	0.323	0.98	0.953	0.029	0.357	0.841	1.118	0.559	2.572	2.578	-0.697	1.094	0.561	1.056	0.291	0.172	2.695	1.44	0.393
"YKR011C"	2.771	2.754	3.134	3.114	2.849	3.092	2.411	2.315	3.171	2.995	2.234	2.145	2.022	2.562	-1.776	1.707	2.063	1.11	1.068	0.268	0.205	0.752	0.067	-0.073	0.548	1.326	0.121	2.868	2.828	0.255	1.578	0.898	0.898	0.619	0.558	2.508	1.325	0.796
"YKR056W"	-3.646	-4.01	-3.863	-3.872	-2.945	-3.217	-3.127	-0.927	-1.859	-1.531	-1.683	-2.718	-2.101	-4.495	-4.34	-2.352	-2.379	-1.597	-1.637	-0.166	0.123	-0.269	0.009	-0.519	-0.876	-1.058	-0.468	-3.682	-2.586	-0.485	-0.92	-0.656	-1.156	-0.266	-0.286	-3.056	-2.089	-0.507
"YKR060W"	-2.456	-2.755	-2.342	-2.43	-1.512	-2.593	-2.337	-0.739	-1.352	-1.162	-1.355	-1.758	-1.31	-3.243	-3.796	-1.826	-2.014	-1.536	-1.719	-0.126	-0.021	-0.509	0.078	-0.309	-0.76	-0.909	-0.137	-2.833	-0.972	-0.148	-0.743	-0.182	0.43	0.432	0.219	-2.055	-1.281	0.366
"YLL008W"	-2.364	-4.973	-6.033	-4.981	-3.751	-4.808	-4.019	-1.806	-2.609	-2.04	-2.387	-3.718	-3.309	-5.659	-6.113	-3.126	-2.364	-2.154	-2.612	-0.544	0.192	-0.321	0.395	-0.423	-0.899	-1.692	-0.488	-4.642	-4.08	0.121	-0.415	0.135	0.115	0.814	0.111	-3.042	-2.072	0.267
"YLR002C"	-4.018	-4.273	-2.83	-3.029	-2.585	-3.425	-2.737	-1.084	-1.722	-1.392	-2.281	-2.267	-2.081	-3.541	-4.959	-1.928	-2.611	-1.661	-1.599	-0.324	0.063	-0.688	0.092	-0.346	-0.483	-0.942	-0.301	-4.018	-2.317	-0.245	-0.397	-0.071	-0.718	-0.102	-0.074	-2.422	-2.55	-0.307
"YLR196W"	-4.71	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	-1.621	-1.871	-2.123	-2.273	-2.562	-2.364	-5.083	-5.836	-2.118	-2.858	-2.66	-2.604	-0.219	0.212	-0.588	0.133	-0.595	-1.098	-1.306	-0.758	-5.097	-3.697	-0.391	-0.307	-0.452	-1.261	-0.539	-0.287	-3.658	-2.412	-0.317
"YLR257W"	1.596	1.565	1.674	1.651	0.857	1.824	2.095	1.212	1.889	2.061	0.844	1.106	0.784	1.492	-1.659	1.165	2.494	1.03	1.158	-0.074	0.431	0.723	0.214	-0.139	0.442	0.924	0.077	1.785	1.157	-0.365	0.59	0.577	0.738	0.367	1.032	1.67	1.274	-0.182
"YMR173W"	2.077	2.238	2.5085	2.3905	3.1995	2.774	2.5865	2.8925	3.2425	3.5885	3.1145	2.494	2.3415	3.7635	-1.418	1.9575	1.4325	2.7	2.318	0.0605	-0.2335	-0.074	-0.6625	0.027	1.106	1.756	-0.006	2.395	3.067	-0.332	1.463	-0.252	0.843	0.09	0.345	2.384	1.115	-0.385
"YMR290C"	-2.333	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	-1.839	-2.572	-2.637	-2.714	-2.545	-2.5	-5.132	-5.217	-3.458	-3.243	-3.295	-3.716	-0.121	-0.351	-0.394	-0.057	-0.349	-0.595	-1.688	-0.468	-4.129	-4.343	-0.416	-0.478	-0.591	-1.329	-0.356	-0.32	-4.544	-3.558	-0.553
"YNL002C"	-3.547	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-0.698	-1.412	-0.891	-2.677	-2.627	-2.564	-5.196	-3.468	-2.839	-3.072	-1.856	-2.186	-0.25	-0.063	-0.778	0.302	-0.454	-0.914	-1.345	-0.697	-4.603	-3.481	-0.519	-1.015	-0.517	-1.22	-0.448	-0.177	-4.466	-2.41	0.021
"YNL061W"	-3.447	-4.928	-4.17	-3.927	-4.143	-4.404	-3.948	-1.39	-1.88	-1.971	-2.446	-2.673	-2.373	-4.329	-4.27	-2.724	-2.519	-1.555	-1.548	-0.005	0.398	-0.676	0.194	-0.396	-0.916	-1.52	-0.244	-5.38	-3.925	-0.47	-0.357	-0.46	-1.27	0.151	0.087	-2.571	-1.387	-0.309
"YNL151C"	-1.51	-2.707	-1.814	-2.055	-2.682	-2.835	-2.667	-1.342	-1.715	-2.005	-1.246	-1.236	-1.273	-1.688	-2.706	-1.45	-1.523	-0.771	-0.414	0.036	0.158	-0.837	0.554	-0.109	-0.53	-0.871	-0.351	-3.201	-2.152	-0.612	-0.776	-0.373	-1.146	-0.256	-0.025	-3.425	-2.373	-0.712
"YNL174W"	-2.195	-5.157	-5.094	-4.699	-4.233	-5.579	-4.714	-1.897	-2.616	-2.393	-3.257	-2.857	-2.718	-5.141	-4.409	-3.149	-2.319	-2.682	-2.061	-0.26	0.339	-0.2	0.02	-0.874	-0.769	-1.881	-0.367	-5.426	-3.76	-1.134	-1.448	-0.643	-1.514	-0.257	-0.308	-3.816	-2.839	-0.486
"YNL175C"	-2.67	-5.334	-4.914	-4.901	-4.11	-4.362	-3.931	-2.116	-2.429	-2.447	-3.0	-2.567	-2.692	-4.877	-6.011	-3.06	-2.575	-2.804	-2.484	-0.209	0.424	-0.051	0.436	-0.281	-0.751	-2.156	-0.592	-5.147	-2.388	-0.9825	-1.1605	-0.4345	-0.546	-0.57	-0.484	-2.5475	-1.882	-0.3645
"YNL248C"	-4.024	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	-1.118	-2.114	-1.982	-2.352	-2.425	-2.173	-5.716	-5.215	-3.618	-3.866	-2.444	-2.924	-0.016	-0.397	-0.284	0.12	-0.248	-0.642	-1.498	-0.176	-4.868	NaN	-0.374	-1.008	-0.412	-1.087	-0.43	-0.088	-6.193	-3.878	-0.524
"YNL313C"	-3.06	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-1.406	-1.771	-1.141	-1.152	-2.31	-1.97	-4.999	-5.714	-2.852	-3.129	-1.333	-1.551	-0.453	-0.046	-0.08	0.151	0.088	-0.478	-0.971	-0.015	-3.009	-2.824	-0.07	0.31	-0.553	-0.756	-0.015	-0.124	-3.85	-2.129	-0.298
"YOL077C"	-4.404	-5.439	-5.781	-5.04	-4.336	-5.22	-4.28	-2.12	-2.979	-3.07	-3.046	-2.83	-2.938	-5.186	-6.552	-2.1355	-4.174	-2.549	-3.046	0.035	0.078	0.107	0.109	-0.44	-0.569	-1.67	-0.445	-4.7	-4.969	-0.054	-0.442	-0.331	-0.873	-0.33	-0.302	-5.145	-2.894	0.187
"YOR220W"	2.441	2.667	0.583	2.539	2.425	2.923	2.555	1.953	2.535	2.291	1.567	1.615	1.493	3.7725	3.0645	1.8255	3.113	2.692	2.751	0.438	-0.368	0.625	-0.0365	0.322	0.9685	1.4305	0.1315	2.684	2.514	0.175	0.957	-0.181	-0.147	-0.399	-0.204	2.732	3.108	-0.962
"YOR294W"	-3.856	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	-1.839	-1.895	-1.423	-2.027	-2.434	-2.234	-5.6475	-5.2465	-2.791	-3.318	-1.08	-0.98	0.059	0.184	-0.547	0.3245	-0.219	-0.6255	-1.377	-0.443	-4.852	-4.841	-0.348	-0.599	-0.539	-1.389	-0.383	-0.036	-5.145	-2.254	-0.393
